KPN_04005	RSc2064
KPN_00021	RSc2458
KPN_01470	RSp0605
KPN_00020	RSc2457
KPN_00141	RSc2630
KPN_02560	RSc2381
KPN_01471	RSp0606
KPN_00008	RSc1231
KPN_00369	RSc2768
KPN_02305	RSc0977
KPN_02305	RSc2291
KPN_02668	RSc2051
KPN_03757	RSc2879
KPN_03878	RSc0330
KPN_02306	RSc1452
KPN_04607	RSc3363
KPN_02308	RSc1371
KPN_02309	RSc0926
KPN_02550	RSc0100
KPN_02671	RSc2054
KPN_03761	RSc2970
KPN_03760	RSc2969
KPN_02672	RSc2055
KPN_00370	RSc2769
KPN_01221	RSc2435
KPN_03521	RSc1080
KPN_03521	RSp0834
KPN_01464	RSc1641
KPN_02674	RSc2057
KPN_02797	RSc2767
KPN_02797	RSc2123
KPN_02798	RSc1231
KPN_03767	RSc2976
KPN_02677	RSc2061
KPN_01104	RSc1068
KPN_02799	RSc2750
KPN_00256	RSc0028
KPN_00256	RSp1611
KPN_00255	RSc0029
KPN_00134	RSc0277
KPN_00373	RSc2222
KPN_00372	RSc2221
KPN_03109	RSc1643
KPN_03108	RSc1644
KPN_03112	RSp0166
KPN_03112	RSc3166
KPN_03114	RSc2422
KPN_01056	RSc0262
KPN_00083	RSc2076
KPN_00082	RSc2077
KPN_03355	RSc0571
KPN_03113	RSc2421
KPN_03597	RSc2823
KPN_03357	RSc2750
KPN_03599	RSc2953
KPN_00080	RSc2072
KPN_03236	RSc0947
KPN_04325	RSp0676
KPN_02380	RSc0466
KPN_00089	RSc2849
KPN_00088	RSc2850
KPN_04441	RSc1010
KPN_03352	RSc0385
KPN_04440	RSc1371
KPN_04308	RSc0137
KPN_03339	RSc3295
KPN_04428	RSc2686
KPN_02495	RSc0683
KPN_00195	RSc1417
KPN_04674	RSc1239
KPN_02496	RSc0684
KPN_00194	RSc1416
KPN_01165	RSc1306
KPN_04673	RSc1240
KPN_02497	RSc0682
KPN_00193	RSc1415
KPN_03587	RSc1527
KPN_04313	RSc2774
KPN_03466	RSc2033
KPN_03586	RSc1528
KPN_00192	RSc1414
KPN_03465	RSc2035
KPN_04675	RSc1246
KPN_03226	RSc1250
KPN_03225	RSc2539
KPN_02379	RSc0468
KPN_03467	RSc2032
KPN_04677	RSc1238
KPN_03349	RSc1232
KPN_03106	RSc1204
KPN_02490	RSc0684
KPN_00079	RSc1988
KPN_02491	RSc0682
KPN_04670	RSc2536
KPN_04670	RSp1055
KPN_00078	RSc1990
KPN_00077	RSc1989
KPN_00198	RSc1169
KPN_03580	RSc2553
KPN_04430	RSc2085
KPN_03341	RSc3293
KPN_01041	RSc3301
KPN_02494	RSc0685
KPN_03340	RSc3294
KPN_01284	RSc1172
KPN_03461	RSc0701
KPN_04671	RSc1237
KPN_02118	RSp0894
KPN_02119	RSp0891
KPN_00184	RSc1406
KPN_04663	RSc2236
KPN_04783	RSp1613
KPN_04783	RSc1591
KPN_04665	RSc2415
KPN_02365	RSp1190
KPN_02366	RSp1560
KPN_03454	RSp1191
KPN_04785	RSc2419
KPN_02367	RSp1559
KPN_02488	RSc0685
KPN_04304	RSc2357
KPN_04424	RSc2140
KPN_04424	RSc1267
KPN_02489	RSc0683
KPN_04787	RSp0890
KPN_02369	RSc0572
KPN_02481	RSc2946
KPN_00187	RSc1408
KPN_02482	RSc2945
KPN_01272	RSc2003
KPN_00186	RSc1410
KPN_00065	RSp1145
KPN_04782	RSp1572
KPN_01018	RSc3128
KPN_01018	RSc2110
KPN_03318	RSc1028
KPN_01139	RSc2720
KPN_02594	RSc1758
KPN_02594	RSc1757
KPN_01142	RSc2724
KPN_03442	RSc2329
KPN_01144	RSc2490
KPN_02476	RSc2952
KPN_01266	RSp0616
KPN_02598	RSc2863
KPN_03688	RSc0072
KPN_02235	RSc2900
KPN_04413	RSc1719
KPN_04413	RSc2137
KPN_02478	RSc2950
KPN_02237	RSc0396
KPN_02116	RSp1595
KPN_02238	RSc0395
KPN_02117	RSp0895
KPN_00179	RSc1393
KPN_03682	RSc2777
KPN_02592	RSc0604
KPN_02230	RSc1127
KPN_00316	RSc2989
KPN_00678	RSp0932
KPN_00678	RSc2260
KPN_00678	RSc3408
KPN_00678	RSc0484
KPN_00678	RSc2106
KPN_01526	RSc2730
KPN_01526	RSp0949
KPN_03947	RSc0981
KPN_00679	RSc0483
KPN_01527	RSp0954
KPN_01527	RSp0951
KPN_01527	RSc2733
KPN_03825	RSc0029
KPN_02738	RSp1557
KPN_00680	RSc0482
KPN_00681	RSc0481
KPN_00681	RSc2261
KPN_03952	RSc0357
KPN_02862	RSc1019
KPN_03951	RSc1162
KPN_03951	RSp1439
KPN_03954	RSc0355
KPN_02743	RSp0520
KPN_02865	RSc1160
KPN_00440	RSp1012
KPN_00309	RSc1758
KPN_00309	RSc1757
KPN_03813	RSc1264
KPN_02844	RSc1216
KPN_00667	RSc0062
KPN_03812	RSc1265
KPN_01636	RSp1143
KPN_01999	RSp1446
KPN_03817	RSc2438
KPN_02848	RSc1211
KPN_01517	RSp1279
KPN_03816	RSc2437
KPN_03816	RSp0017
KPN_03819	RSc2440
KPN_03818	RSc2439
KPN_01880	RSp0974
KPN_01881	RSp0975
KPN_00792	RSc2644
KPN_00793	RSc2645
KPN_01883	RSp0977
KPN_00674	RSc2744
KPN_00795	RSc2647
KPN_00796	RSc2646
KPN_00312	RSc0379
KPN_03809	RSc1268
KPN_00414	RSc0343
KPN_02833	RSc1431
KPN_03923	RSc0526
KPN_03801	RSc0441
KPN_02834	RSc1429
KPN_03922	RSc0524
KPN_02713	RSp0357
KPN_00778	RSp1144
KPN_03807	RSp0274
KPN_02719	RSc1566
KPN_03928	RSc2128
KPN_01990	RSc0520
KPN_01992	RSc2904
KPN_03930	RSp1633
KPN_01994	RSc2526
KPN_00664	RSc0327
KPN_03811	RSc1266
KPN_03932	RSp1635
KPN_03931	RSc2757
KPN_03931	RSp1634
KPN_03931	RSc1242
KPN_03810	RSc2140
KPN_03810	RSc1267
KPN_00886	RSc1734
KPN_02701	RSc2905
KPN_02702	RSc1976
KPN_01976	RSc0767
KPN_00645	RSc2011
KPN_02824	RSc2623
KPN_00768	RSc0353
KPN_01978	RSc0495
KPN_02825	RSc2454
KPN_02705	RSc1979
KPN_03915	RSc1034
KPN_03915	RSp0945
KPN_02706	RSc1980
KPN_02827	RSc1537
KPN_00773	RSp1101
KPN_01622	RSc3261
KPN_00119	RSc1601
KPN_00118	RSc1600
KPN_02778	RSc2539
KPN_02899	RSc2447
KPN_03746	RSc2882
KPN_02779	RSc2192
KPN_01449	RSc3131
KPN_03869	RSp0277
KPN_00480	RSc1163
KPN_03752	RSp1222
KPN_03751	RSc1594
KPN_01211	RSc2831
KPN_02784	RSc3127
KPN_02542	RSc2128
KPN_03754	RSc2420
KPN_03996	RSc2155
KPN_04843	RSc1640
KPN_02543	RSc2129
KPN_01455	RSc3128
KPN_01455	RSc2110
KPN_03753	RSp1221
KPN_01576	RSp0020
KPN_03998	RSc2153
KPN_02303	RSp0277
KPN_00367	RSc0712
KPN_00366	RSc0715
KPN_00124	RSp0332
KPN_00484	RSc1596
KPN_00120	RSc1603
KPN_00482	RSc1167
KPN_00106	RSc2828
KPN_00227	RSc1515
KPN_03736	RSc3096
KPN_02889	RSc1066
KPN_02769	RSc0917
KPN_03979	RSc2461
KPN_02770	RSc1347
KPN_03980	RSc2463
KPN_02771	RSc1346
KPN_03983	RSc0139
KPN_02772	RSc1345
KPN_02773	RSc1336
KPN_02410	RSc1072
KPN_01202	RSc1760
KPN_03745	RSc2435
KPN_03624	RSc2965
KPN_00478	RSc0575
KPN_00235	RSc0537
KPN_00112	RSc2806
KPN_00111	RSc2448
KPN_00472	RSc1717
KPN_03846	RSc1321
KPN_03845	RSc1319
KPN_02758	RSc1398
KPN_03847	RSc1322
KPN_03608	RSc0412
KPN_03607	RSc0413
KPN_01791	RSc2099
KPN_02761	RSc0917
KPN_02882	RSc1722
KPN_03972	RSc0693
KPN_02762	RSc2861
KPN_02762	RSp1282
KPN_02641	RSc0898
KPN_00585	RSc3128
KPN_00585	RSc2110
KPN_03974	RSc0390
KPN_02764	RSc2861
KPN_02764	RSp1282
KPN_03852	RSc1382
KPN_03854	RSc2866
KPN_03854	RSc1885
KPN_00103	RSc2817
KPN_00464	RSc3348
KPN_00100	RSc2837
KPN_00221	RSc1154
KPN_00208	RSc2816
KPN_01538	RSc1570
KPN_01538	RSc2254
KPN_01539	RSc1571
KPN_01539	RSc2253
KPN_02629	RSp0814
KPN_02991	RSc3128
KPN_02991	RSc2110
KPN_01540	RSc2252
KPN_02750	RSc1179
KPN_01661	RSp0223
KPN_03963	RSc0915
KPN_01542	RSc2250
KPN_03962	RSp0961
KPN_03965	RSc0692
KPN_02876	RSc0729
KPN_03964	RSc0565
KPN_01787	RSc2120
KPN_00456	RSc2533
KPN_00213	RSc0920
KPN_00212	RSc0921
KPN_00211	RSc0922
KPN_00211	RSc3386
KPN_00451	RSc0417
KPN_00839	RSc3409
KPN_00955	RSc1010
KPN_00715	RSc3384
KPN_00716	RSc3383
KPN_00838	RSp0932
KPN_00838	RSc2260
KPN_00838	RSc3408
KPN_00838	RSc0484
KPN_00838	RSc2106
KPN_01927	RSc1734
KPN_00717	RSc3382
KPN_00941	RSc2200
KPN_00942	RSc2530
KPN_00701	RSc0791
KPN_01912	RSc2548
KPN_00945	RSc2532
KPN_04074	RSc2077
KPN_00935	RSc0903
KPN_00936	RSc0907
KPN_00937	RSc0908
KPN_00920	RSc2342
KPN_00800	RSc0266
KPN_00801	RSc1478
KPN_00803	RSc1479
KPN_00925	RSc2337
KPN_04178	RSp0886
KPN_04178	RSc1258
KPN_04291	RSp1006
KPN_04175	RSc3284
KPN_00754	RSc2449
KPN_02812	RSc1145
KPN_00513	RSp1284
KPN_00514	RSp1285
KPN_00758	RSc0743
KPN_00758	RSc2660
KPN_00516	RSc2862
KPN_02821	RSc2188
KPN_01853	RSc3130
KPN_00864	RSc1381
KPN_00865	RSc1382
KPN_00502	RSc1028
KPN_00986	RSc0900
KPN_02923	RSc0743
KPN_02923	RSc2660
KPN_02805	RSc1390
KPN_00871	RSc0327
KPN_00992	RSc2185
KPN_00632	RSc1594
KPN_02910	RSp0007
KPN_02910	RSp0075
KPN_00974	RSc1619
KPN_00732	RSc1269
KPN_00733	RSc1270
KPN_00734	RSc0554
KPN_00735	RSc0555
KPN_00861	RSc1378
KPN_00862	RSc1176
KPN_00862	RSc1379
KPN_01952	RSp0069
KPN_01952	RSc0605
KPN_00863	RSc1380
KPN_01819	RSc0775
KPN_00842	RSc2802
KPN_00967	RSc1031
KPN_00968	RSc2125
KPN_00727	RSc1991
KPN_00969	RSc1341
KPN_00970	RSc1340
KPN_00971	RSc1339
KPN_00730	RSc1994
KPN_00972	RSc1338
KPN_00731	RSc1993
KPN_00973	RSc1337
KPN_00852	RSc1081
KPN_04094	RSp0828
KPN_04096	RSc2752
KPN_04095	RSc2751
