KPN_04245	YPO3929
KPN_00327	YPO2298
KPN_03835	YPO3820
KPN_02991	YPO1166
KPN_02750	YPO2984
KPN_03843	YPO2418
KPN_00711	YPO2686
KPN_00955	YPO1410
KPN_00955	YPO0322
KPN_00956	YPO1222
KPN_00715	YPO2690
KPN_00716	YPO2691
KPN_00717	YPO2692
KPN_00961	YPO1412
KPN_00707	YPO2635
KPN_00707	YPO0893
KPN_00941	YPO1395
KPN_00942	YPO1396
KPN_00700	YPO1608
KPN_00700	YPO2628
KPN_00701	YPO2630
KPN_00945	YPO1400
KPN_04074	YPO2293
KPN_04073	YPO2294
KPN_00930	YPO1381
KPN_00931	YPO1383
KPN_00932	YPO1384
KPN_00935	YPO1389
KPN_00936	YPO1390
KPN_00937	YPO1391
KPN_00928	YPO3323
KPN_00920	YPO1374
KPN_00925	YPO1379
KPN_00926	YPO3325
KPN_04292	YPO3858
KPN_04291	YPO3859
KPN_04294	YPO3856
KPN_04295	YPO3855
KPN_00754	YPO1127
KPN_00755	YPO1128
KPN_00756	YPO1129
KPN_00758	YPO3286
KPN_01847	YPO1511
KPN_02937	YPO1106
KPN_01610	YPO1654
KPN_02700	YPO2774
KPN_00502	YPO0888
KPN_00986	YPO1435
KPN_02922	YPO3285
KPN_02923	YPO3286
KPN_00992	YPO1441
KPN_00974	YPO1415
KPN_00732	YPO1113
KPN_00733	YPO1114
KPN_00734	YPO1115
KPN_00735	YPO1116
KPN_00736	YPO1117
KPN_00737	YPO1118
KPN_00983	YPO1430
KPN_00729	YPO1110
KPN_01819	YPO3319
KPN_02908	YPO3273
KPN_02902	YPO2705
KPN_00967	YPO1413
KPN_00968	YPO1414
KPN_00727	YPO1108
KPN_00969	YPO3627
KPN_02905	YPO3270
KPN_00728	YPO1109
KPN_00970	YPO3626
KPN_00971	YPO3625
KPN_00730	YPO1111
KPN_00972	YPO3624
KPN_00731	YPO1112
KPN_00973	YPO3623
KPN_01099	YPO1608
KPN_01099	YPO2628
KPN_03036	YPO2957
KPN_01090	YPO1598
KPN_01091	YPO1599
KPN_02180	YPO2433
KPN_01092	YPO1600
KPN_01093	YPO1601
KPN_01094	YPO1603
KPN_01096	YPO1605
KPN_02186	YPO2193
KPN_02176	YPO2429
KPN_01089	YPO1597
KPN_03029	YPO3305
KPN_04591	YPO3326
KPN_04350	YPO3760
KPN_02175	YPO2428
KPN_04352	YPO3758
KPN_03009	YPO2646
KPN_04344	YPO3761
KPN_04343	YPO3762
KPN_02166	YPO2423
KPN_02169	YPO2425
KPN_03019	YPO3301
KPN_03018	YPO3300
KPN_02160	YPO2409
KPN_01071	YPO2448
KPN_04340	YPO3766
KPN_02162	YPO3286
KPN_01074	YPO1587
KPN_03252	YPO0796
KPN_03010	YPO2645
KPN_04329	YPO3781
KPN_03244	YPO0792
KPN_03485	YPO0091
KPN_04576	YPO0378
KPN_01068	YPO3632
KPN_03245	YPO0793
KPN_04337	YPO3769
KPN_03006	YPO2649
KPN_04339	YPO3767
KPN_03008	YPO2647
KPN_03007	YPO2648
KPN_04338	YPO3768
KPN_04331	YPO3779
KPN_04157	YPO0008
KPN_04399	YPO3722
KPN_04395	YPO3726
KPN_04153	YPO0007
KPN_04152	YPO0006
KPN_04394	YPO3727
KPN_04155	YPO2499
KPN_04154	YPO3964
KPN_04154	YPO2256
KPN_04154	YPO4036
KPN_04154	YPO0958
KPN_04154	YPO1508
KPN_04154	YPO3907
KPN_04396	YPO3725
KPN_04388	YPO3728
KPN_04387	YPO3729
KPN_04149	YPO0003
KPN_04140	YPO4124
KPN_04142	YPO4126
KPN_04141	YPO4125
KPN_04144	YPO4128
KPN_04143	YPO4127
KPN_04135	YPO4119
KPN_04134	YPO4118
KPN_04376	YPO3739
KPN_02199	YPO2180
KPN_04137	YPO4121
KPN_04379	YPO3734
KPN_04136	YPO4120
KPN_04378	YPO3736
KPN_04139	YPO4123
KPN_04138	YPO4122
KPN_02190	YPO2188
KPN_04371	YPO3743
KPN_02193	YPO3999
KPN_02194	YPO4000
KPN_04131	YPO4115
KPN_04130	YPO4114
KPN_04372	YPO3742
KPN_04133	YPO4117
KPN_04375	YPO3740
KPN_04374	YPO3741
KPN_04132	YPO4116
KPN_01494	YPO1963
KPN_03672	YPO3132
KPN_02584	YPO1512
KPN_01253	YPO2203
KPN_01254	YPO2204
KPN_01496	YPO1965
KPN_01255	YPO2205
KPN_03432	YPO0676
KPN_01497	YPO1966
KPN_02586	YPO1509
KPN_02587	YPO3964
KPN_02587	YPO2256
KPN_02587	YPO4036
KPN_02587	YPO0958
KPN_02587	YPO1508
KPN_02587	YPO3907
KPN_01256	YPO2206
KPN_01014	YPO2494
KPN_01015	YPO2496
KPN_01257	YPO2208
KPN_02588	YPO1507
KPN_04526	YPO0345
KPN_03436	YPO0672
KPN_00169	YPO3389
KPN_00168	YPO3390
KPN_00167	YPO3391
KPN_00166	YPO3392
KPN_00164	YPO3393
KPN_01493	YPO1962
KPN_02569	YPO1177
KPN_02328	YPO1773
KPN_02330	YPO1771
KPN_00393	YPO3165
KPN_00392	YPO3166
KPN_02573	YPO1176
KPN_03664	YPO3659
KPN_00391	YPO3167
KPN_00390	YPO3168
KPN_02333	YPO1758
KPN_02334	YPO1757
KPN_03665	YPO3658
KPN_02335	YPO1756
KPN_03426	YPO0682
KPN_03425	YPO0683
KPN_03667	YPO3657
KPN_00395	YPO3162
KPN_00394	YPO3164
KPN_00139	YPO3403
KPN_00140	YPO3402
KPN_03895	YPO3999
KPN_02322	YPO2074
KPN_02564	YPO1199
KPN_03897	YPO4001
KPN_02565	YPO1198
KPN_03896	YPO4000
KPN_02566	YPO1199
KPN_01236	YPO1207
KPN_01478	YPO3767
KPN_03899	YPO4003
KPN_03898	YPO4002
KPN_02568	YPO0616
KPN_00142	YPO3400
KPN_00141	YPO3401
KPN_02560	YPO1522
KPN_00369	YPO3180
KPN_00127	YPO3411
KPN_03878	YPO3992
KPN_02308	YPO0321
KPN_02309	YPO2147
KPN_02550	YPO2859
KPN_02792	YPO2567
KPN_00370	YPO3179
KPN_01221	YPO1962
KPN_01222	YPO1963
KPN_01223	YPO1964
KPN_02312	YPO2142
KPN_03644	YPO3516
KPN_02797	YPO3034
KPN_01224	YPO1965
KPN_02313	YPO2141
KPN_02798	YPO0463
KPN_01225	YPO1966
KPN_02799	YPO0926
KPN_00378	YPO3171
KPN_00134	YPO3407
KPN_00133	YPO3408
KPN_00375	YPO3173
KPN_00373	YPO3176
KPN_00372	YPO3177
KPN_04318	YPO3832
KPN_04321	YPO3830
KPN_02388	YPO2046
KPN_03236	YPO0783
KPN_04325	YPO3788
KPN_04327	YPO3786
KPN_02380	YPO2053
KPN_04320	YPO3831
KPN_04308	YPO3845
KPN_00195	YPO1057
KPN_02374	YPO2059
KPN_04553	YPO0360
KPN_00194	YPO1056
KPN_02133	YPO2393
KPN_04552	YPO0359
KPN_00193	YPO1055
KPN_04313	YPO3837
KPN_02134	YPO2394
KPN_00192	YPO1054
KPN_03226	YPO1022
KPN_04557	YPO0364
KPN_03225	YPO1023
KPN_02379	YPO2054
KPN_04558	YPO0365
KPN_04316	YPO3834
KPN_02370	YPO2063
KPN_00198	YPO1060
KPN_01041	YPO1851
KPN_03462	YPO0648
KPN_02372	YPO2061
KPN_04551	YPO0358
KPN_02373	YPO2060
KPN_04550	YPO0357
KPN_00184	YPO1046
KPN_01274	YPO2223
KPN_04784	YPO1766
KPN_02364	YPO1775
KPN_02365	YPO2067
KPN_04302	YPO3851
KPN_02366	YPO2533
KPN_03454	YPO0658
KPN_01277	YPO2227
KPN_02367	YPO2066
KPN_04304	YPO3849
KPN_04303	YPO3850
KPN_04305	YPO3848
KPN_00188	YPO1050
KPN_00188	YPO2816
KPN_00187	YPO1049
KPN_03690	YPO0239
KPN_01272	YPO2221
KPN_00186	YPO1048
KPN_01273	YPO2222
KPN_01018	YPO1166
KPN_04528	YPO0347
KPN_04529	YPO0348
KPN_03442	YPO0670
KPN_00173	YPO3385
KPN_03202	YPO0091
KPN_01266	YPO2214
KPN_00170	YPO3388
KPN_02598	YPO1300
KPN_03688	YPO0241
KPN_02599	YPO1299
KPN_00179	YPO1041
KPN_02591	YPO1505
KPN_03682	YPO0246
KPN_02592	YPO1501
KPN_00175	YPO3383
KPN_00174	YPO3384
KPN_02855	YPO2889
KPN_01524	YPO2306
KPN_00678	YPO2514
KPN_00678	YPO2612
KPN_00678	YPO2777
KPN_01526	YPO2303
KPN_00679	YPO2613
KPN_01527	YPO2302
KPN_03949	YPO1569
KPN_00680	YPO2614
KPN_00681	YPO2615
KPN_00682	YPO2616
KPN_03952	YPO0068
KPN_02862	YPO2896
KPN_03951	YPO0070
KPN_03954	YPO0066
KPN_02865	YPO2899
KPN_00687	YPO2621
KPN_02844	YPO2878
KPN_00667	YPO2604
KPN_02845	YPO2879
KPN_01999	YPO2390
KPN_02604	YPO1283
KPN_01515	YPO2263
KPN_03936	YPO4082
KPN_01516	YPO3335
KPN_03935	YPO4080
KPN_02848	YPO2883
KPN_03939	YPO4054
KPN_00671	YPO2607
KPN_01761	YPO3249
KPN_02851	YPO1194
KPN_00674	YPO2610
KPN_03943	YPO4067
KPN_03942	YPO4068
KPN_00415	YPO3141
KPN_00414	YPO3142
KPN_02833	YPO2870
KPN_03923	YPO4072
KPN_00897	YPO1352
KPN_02834	YPO2871
KPN_03922	YPO4071
KPN_03929	YPO4038
KPN_03928	YPO4039
KPN_01990	YPO2381
KPN_01992	YPO2383
KPN_03930	YPO4037
KPN_01994	YPO4061
KPN_00664	YPO2601
KPN_03932	YPO4035
KPN_02600	YPO1298
KPN_03931	YPO3964
KPN_03931	YPO2256
KPN_03931	YPO4036
KPN_03931	YPO0958
KPN_03931	YPO1508
KPN_03931	YPO3907
KPN_00886	YPO1332
KPN_00886	YPO2846
KPN_01975	YPO2369
KPN_01976	YPO2370
KPN_00887	YPO1333
KPN_02824	YPO2828
KPN_00888	YPO1334
KPN_01978	YPO2372
KPN_02825	YPO2829
KPN_02826	YPO2836
KPN_03915	YPO4078
KPN_02827	YPO2837
KPN_00893	YPO1351
KPN_00894	YPO1349
KPN_00895	YPO1350
KPN_00896	YPO1351
KPN_01985	YPO3375
KPN_02899	YPO2710
KPN_03746	YPO0169
KPN_02658	YPO2523
KPN_02659	YPO2524
KPN_02417	YPO1845
KPN_04837	YPO0436
KPN_04839	YPO0439
KPN_02660	YPO2525
KPN_00480	YPO3075
KPN_03752	YPO0161
KPN_02662	YPO2527
KPN_03751	YPO0162
KPN_04840	YPO0440
KPN_02663	YPO2528
KPN_04601	YPO3854
KPN_03754	YPO0158
KPN_03996	YPO0040
KPN_04843	YPO0442
KPN_03753	YPO0160
KPN_03998	YPO0038
KPN_03756	YPO0156
KPN_02666	YPO2543
KPN_04845	YPO0444
KPN_02667	YPO2544
KPN_03755	YPO0157
KPN_00004	YPO0461
KPN_00003	YPO0460
KPN_00002	YPO0459
KPN_00484	YPO2824
KPN_00482	YPO3073
KPN_02404	YPO1209
KPN_02888	YPO2929
KPN_02889	YPO2930
KPN_02648	YPO3825
KPN_03979	YPO0048
KPN_02649	YPO3824
KPN_03980	YPO0047
KPN_03983	YPO0045
KPN_04830	YPO2295
KPN_02410	YPO1867
KPN_03745	YPO1962
KPN_00478	YPO3076
KPN_00236	YPO3243
KPN_00235	YPO3244
KPN_00477	YPO3077
KPN_00472	YPO3080
KPN_00458	YPO3095
KPN_02877	YPO2908
KPN_00699	YPO2627
KPN_02636	YPO1222
KPN_03968	YPO0416
KPN_02882	YPO2921
KPN_03972	YPO0055
KPN_02641	YPO1215
KPN_03974	YPO0053
KPN_02645	YPO3827
KPN_00221	YPO1075
KPN_00208	YPO1068
KPN_02870	YPO2904
KPN_01540	YPO3767
KPN_03961	YPO0060
KPN_03963	YPO0058
KPN_00695	YPO2623
KPN_03962	YPO0059
KPN_03965	YPO0056
KPN_02876	YPO2907
KPN_03964	YPO0057
KPN_00698	YPO2626
KPN_00456	YPO3118
KPN_00214	YPO1074
KPN_00213	YPO1073
KPN_00212	YPO1072
KPN_00451	YPO3123
KPN_00839	YPO2513
KPN_01926	YPO2959
KPN_00838	YPO2514
KPN_00838	YPO2612
KPN_00838	YPO2777
KPN_01927	YPO1332
KPN_01927	YPO2846
KPN_00840	YPO2512
KPN_01906	YPO3854
KPN_04189	YPO4057
KPN_04188	YPO4056
KPN_00800	YPO1151
KPN_00801	YPO1152
KPN_04178	YPO0024
KPN_04170	YPO0015
KPN_03909	YPO0794
KPN_02812	YPO3062
KPN_02814	YPO3064
KPN_00880	YPO1327
KPN_02821	YPO2827
KPN_00885	YPO1331
KPN_01974	YPO2368
KPN_00865	YPO4001
KPN_02805	YPO3053
KPN_00871	YPO2601
KPN_00873	YPO1324
KPN_00632	YPO0162
KPN_02810	YPO3059
KPN_00874	YPO4048
KPN_00612	YPO1916
KPN_01952	YPO1502
KPN_00606	YPO3392
