KPN_01099	H16_A0312
KPN_03454	H16_B1223
KPN_04785	H16_A0624
KPN_02367	H16_A0316
KPN_02367	H16_B1501
KPN_02367	H16_B2566
KPN_02488	H16_A1848
KPN_02488	H16_A2906
KPN_04304	H16_A2920
KPN_04424	H16_A2327
KPN_02489	H16_A1850
KPN_02489	H16_A2908
KPN_04787	H16_B0547
KPN_02369	H16_A0567
KPN_00188	H16_A2088
KPN_02481	H16_A3410
KPN_00187	H16_A2051
KPN_02482	H16_A3409
KPN_01272	H16_A2638
KPN_00186	H16_A2049
KPN_00065	H16_A0675
KPN_04782	H16_A1733
KPN_04782	H16_B1548
KPN_04782	H16_A1737
KPN_04782	H16_B1401
KPN_01273	H16_B1576
KPN_01018	H16_B1939
KPN_01018	H16_A2747
KPN_01018	H16_B1879
KPN_01018	H16_B1960
KPN_01018	H16_A1495
KPN_03318	H16_A1167
KPN_01139	H16_A3124
KPN_02594	H16_B2472
KPN_02594	H16_A1525
KPN_01142	H16_A3127
KPN_01144	H16_A3056
KPN_02476	H16_A3416
KPN_01266	H16_A2969
KPN_03688	H16_A3699
KPN_02235	H16_A3339
KPN_04413	H16_A1502
KPN_04413	H16_B1502
KPN_02478	H16_A3414
KPN_02237	H16_A0374
KPN_02116	H16_A0858
KPN_02238	H16_A0372
KPN_02117	H16_B0552
KPN_02117	H16_A1807
KPN_00179	H16_A2066
KPN_03682	H16_A3161
KPN_02592	H16_B1194
KPN_02230	H16_A1186
KPN_00316	H16_A3453
KPN_00314	H16_A0037
KPN_00314	H16_A0038
KPN_00314	H16_A1263
KPN_02734	H16_B0047
KPN_00678	H16_A0045
KPN_00678	H16_A0475
KPN_00678	H16_A2756
KPN_00678	H16_A3308
KPN_00678	H16_B1810
KPN_01646	H16_A0107
KPN_01526	H16_A0850
KPN_01526	H16_A3128
KPN_01526	H16_B1715
KPN_01526	H16_A1264
KPN_03947	H16_A2665
KPN_03947	H16_B0090
KPN_00679	H16_A0474
KPN_01527	H16_A1266
KPN_01527	H16_A0852
KPN_01527	H16_B1714
KPN_01527	H16_A3131
KPN_03825	H16_B0981
KPN_02738	H16_B2564
KPN_03949	H16_B0460
KPN_00680	H16_A0473
KPN_00681	H16_A0771
KPN_00681	H16_A0472
KPN_01770	H16_B2126
KPN_03952	H16_A0336
KPN_02862	H16_B0494
KPN_02862	H16_A1158
KPN_03951	H16_A1216
KPN_03954	H16_A0334
KPN_02865	H16_A1214
KPN_00440	H16_B0032
KPN_00309	H16_B2472
KPN_00309	H16_A1525
KPN_03813	H16_A2330
KPN_02844	H16_A2363
KPN_02723	H16_A1719
KPN_00667	H16_A0116
KPN_03812	H16_A2329
KPN_03817	H16_A1244
KPN_03817	H16_A3027
KPN_03817	RALH11797
KPN_03817	H16_A2623
KPN_03817	H16_A0286
KPN_02848	H16_A2368
KPN_01517	H16_B0103
KPN_03816	H16_B2012
KPN_03816	H16_A3026
KPN_03816	H16_A1543
KPN_03816	H16_A2622
KPN_03816	H16_B2040
KPN_03816	H16_A1709
KPN_03819	H16_A3029
KPN_03819	H16_A2625
KPN_03819	H16_B2037
KPN_03818	H16_A3028
KPN_03818	H16_A2624
KPN_01880	H16_B2265
KPN_01880	PHG270
KPN_01881	PHG271
KPN_01881	H16_B2266
KPN_00792	H16_A3015
KPN_00793	H16_A0044
KPN_01761	H16_A1465
KPN_01761	H16_A3589
KPN_01883	PHG273
KPN_01883	H16_B2268
KPN_03820	H16_A2626
KPN_00674	H16_A3139
KPN_00795	H16_A0695
KPN_00795	H16_A3017
KPN_00796	H16_A3018
KPN_03822	H16_A2626
KPN_00313	H16_B0890
KPN_00312	H16_A0357
KPN_00311	H16_B0888
KPN_03809	H16_A2326
KPN_00414	H16_A0321
KPN_02833	H16_A2028
KPN_03923	H16_A0523
KPN_01865	H16_B1454
KPN_03801	H16_A1179
KPN_02834	H16_A2030
KPN_03922	H16_A0521
KPN_01866	H16_B1453
KPN_00778	H16_A0676
KPN_01867	H16_B1452
KPN_00537	H16_B2165
KPN_00537	H16_B1082
KPN_01869	H16_A1960
KPN_03807	H16_A0784
KPN_03807	RALH12597
KPN_02719	H16_A1317
KPN_01990	H16_A0517
KPN_01870	H16_A1961
KPN_01992	H16_A3343
KPN_01871	H16_A1962
KPN_01872	H16_A1963
KPN_01994	H16_A0610
KPN_01873	H16_A1964
KPN_00664	H16_A0302
KPN_03811	H16_A2328
KPN_01874	PHG404
KPN_01874	PHG393
KPN_01874	RALH10490
KPN_01874	H16_A1967
KPN_01874	PHG384
KPN_01874	H16_B1584
KPN_03931	H16_B1498
KPN_03810	H16_A2327
KPN_01875	PHG405
KPN_01875	PHG394
KPN_01875	H16_B0536
KPN_01875	H16_A1966
KPN_00409	RALH12814
KPN_00886	H16_B1829
KPN_00886	H16_B0109
KPN_00886	H16_B1951
KPN_00886	H16_B0462
KPN_02701	H16_B2447
KPN_02701	H16_A3372
KPN_02701	H16_A3344
KPN_02702	H16_A2607
KPN_01976	H16_A2802
KPN_00645	H16_A1104
KPN_02824	H16_A3077
KPN_00768	H16_A0332
KPN_01978	H16_A0488
KPN_02825	H16_A3042
KPN_02705	H16_A2610
KPN_03915	H16_A2586
KPN_03915	H16_B1813
KPN_02706	H16_A2611
KPN_02827	H16_A2436
KPN_00773	RALH11977
KPN_00773	H16_B0226
KPN_03800	H16_A3011
KPN_01622	H16_A3574
KPN_00119	H16_A1375
KPN_00118	H16_A1753
KPN_00118	H16_B1300
KPN_00118	H16_A1374
KPN_00116	H16_B2165
KPN_00116	H16_B1082
KPN_02778	H16_A0597
KPN_02899	H16_A3036
KPN_03746	H16_A3320
KPN_02779	H16_A0914
KPN_01449	H16_A1681
KPN_01449	H16_A1682
KPN_01207	H16_B0295
KPN_03869	H16_B2096
KPN_02660	H16_B1695
KPN_00480	H16_A1217
KPN_03752	H16_B0779
KPN_01210	H16_B1945
KPN_03751	H16_B1593
KPN_01211	H16_A3261
KPN_02784	H16_B0096
KPN_04601	H16_B2165
KPN_04601	H16_B1082
KPN_03754	H16_A2994
KPN_03754	H16_B2285
KPN_03996	H16_A0953
KPN_04843	H16_A1452
KPN_01455	H16_B1939
KPN_01455	H16_A2747
KPN_01455	H16_B1879
KPN_01455	H16_B1960
KPN_01455	H16_A1495
KPN_03753	H16_B0778
KPN_01576	H16_A0530
KPN_03998	H16_A0955
KPN_02303	H16_B2096
KPN_00367	H16_A2855
KPN_00366	H16_A2848
KPN_00124	H16_B0568
KPN_00484	H16_A1370
KPN_00120	H16_A1377
KPN_00482	H16_A1221
KPN_00106	H16_A3258
KPN_00227	H16_A2464
KPN_03736	H16_A3527
KPN_02889	H16_A2552
KPN_02769	H16_B2378
KPN_02769	H16_A0807
KPN_03979	H16_A3048
KPN_02770	H16_A2237
KPN_03980	H16_A3049
KPN_02771	H16_A2238
KPN_03983	H16_A0224
KPN_02772	H16_A2239
KPN_02773	H16_A2247
KPN_02410	H16_A2546
KPN_01202	H16_A1527
KPN_03745	H16_A3025
KPN_03624	H16_A3431
KPN_00478	H16_A0570
KPN_00236	H16_A3578
KPN_00112	H16_A3236
KPN_00111	H16_A3037
KPN_00111	H16_B0560
KPN_00472	H16_A1500
KPN_03846	H16_B1640
KPN_02877	PHG200
KPN_01788	H16_B2482
KPN_03845	H16_A1425
KPN_03845	H16_B1642
KPN_02758	H16_A2060
KPN_03847	H16_B1639
KPN_03607	H16_A0391
KPN_01791	H16_A1013
KPN_02761	H16_B2378
KPN_02761	H16_A0807
KPN_02882	H16_A1511
KPN_03972	H16_A2883
KPN_03851	H16_A2950
KPN_02762	H16_A0311
KPN_02641	H16_A0787
KPN_00585	H16_B1939
KPN_00585	H16_A2747
KPN_00585	H16_B1879
KPN_00585	H16_B1960
KPN_00585	H16_A1495
KPN_03974	H16_A0367
KPN_02764	H16_A0311
KPN_03852	H16_A2951
KPN_03852	H16_A1472
KPN_03852	H16_A2098
KPN_03854	H16_B0716
KPN_03854	H16_A1304
KPN_03854	H16_A2953
KPN_03854	H16_A3294
KPN_03854	H16_A1471
KPN_03854	H16_B1124
KPN_00103	H16_A3247
KPN_00464	H16_A3668
KPN_00464	H16_A1976
KPN_00464	H16_A2173
KPN_00100	H16_A3266
KPN_00221	H16_B2162
KPN_00208	H16_A3246
KPN_01538	H16_B0198
KPN_01538	H16_A1331
KPN_01538	PHG388
KPN_01539	H16_A1332
KPN_01539	PHG387
KPN_01539	H16_B0199
KPN_02991	H16_B1939
KPN_02991	H16_A2747
KPN_02991	H16_B1879
KPN_02991	H16_B1960
KPN_02991	H16_A1495
KPN_01540	H16_B0200
KPN_02750	H16_A2403
KPN_01661	H16_B0739
KPN_01661	H16_B1279
KPN_01661	H16_B2135
KPN_03963	H16_A0804
KPN_01542	H16_B1583
KPN_01542	H16_A1968
KPN_03962	H16_B0819
KPN_03965	H16_A2884
KPN_02876	H16_A2834
KPN_03964	H16_A0559
KPN_01787	H16_B2483
KPN_01787	H16_A1006
KPN_00698	H16_A0314
KPN_00456	H16_A0603
KPN_00213	H16_A0811
KPN_00212	H16_A0812
KPN_00212	H16_B1477
KPN_00211	H16_A2125
KPN_00211	H16_B2232
KPN_00211	H16_A0813
KPN_00211	H16_B1479
KPN_00451	H16_A0395
KPN_00839	H16_A0046
KPN_00839	H16_A3309
KPN_00955	H16_B1081
KPN_00955	H16_A1151
KPN_00955	H16_A1494
KPN_00715	H16_B0896
KPN_00716	H16_B0897
KPN_00838	H16_A0045
KPN_00838	H16_A0475
KPN_00838	H16_A2756
KPN_00838	H16_A3308
KPN_00838	H16_B1810
KPN_01927	H16_B1829
KPN_01927	H16_B0109
KPN_01927	H16_B1951
KPN_01927	H16_B0462
KPN_00717	H16_B0898
KPN_04190	H16_B1452
KPN_00941	H16_A2666
KPN_00941	H16_A0904
KPN_00942	H16_A0606
KPN_00700	H16_A0312
KPN_00701	H16_A2784
KPN_00945	H16_A0604
KPN_04074	H16_A1035
KPN_01906	H16_B2165
KPN_01906	H16_B1082
KPN_00935	H16_A0791
KPN_00936	H16_A0795
KPN_00937	H16_A0797
KPN_04189	H16_B1453
KPN_04188	H16_B1454
KPN_00920	H16_A0753
KPN_00800	H16_A0183
KPN_00801	H16_A0181
KPN_00803	H16_A0182
KPN_00925	H16_A0764
KPN_04178	H16_A2335
KPN_04178	H16_B0618
KPN_04291	H16_B0039
KPN_04175	H16_A3615
KPN_00754	H16_A3038
KPN_02812	H16_A1204
KPN_01603	H16_A1560
KPN_00758	H16_B1076
KPN_00758	H16_A1122
KPN_02821	H16_B1595
KPN_02821	H16_A0918
KPN_00864	H16_A2099
KPN_00865	H16_A2951
KPN_00865	H16_A1472
KPN_00865	H16_A2098
KPN_00502	H16_A1167
KPN_00986	H16_A0788
KPN_02923	H16_B1076
KPN_02923	H16_A1122
KPN_02805	H16_A2069
KPN_00871	H16_A0302
KPN_00992	H16_A0932
KPN_00632	H16_B1593
KPN_00974	H16_A1401
KPN_00732	H16_A2325
KPN_00733	H16_A2324
KPN_00612	H16_B1693
KPN_00734	H16_A0547
KPN_00735	H16_A0548
KPN_00861	H16_A2102
KPN_00862	H16_B2463
KPN_00862	H16_A2406
KPN_00862	H16_A2085
KPN_00862	H16_A2101
KPN_01952	H16_B1195
KPN_01952	H16_B2470
KPN_01952	H16_B1745
KPN_00863	H16_A2100
KPN_01819	H16_A2777
KPN_00842	H16_B0783
KPN_00967	H16_A2589
KPN_00968	H16_A1000
KPN_00727	H16_A2627
KPN_00969	H16_A2242
KPN_00970	H16_A2243
KPN_00971	H16_A2244
KPN_00730	H16_A2630
KPN_00731	H16_A2629
KPN_00973	H16_A2246
