KPN_04005	RSPSI07_01301
KPN_03114	RSPSI07_00993
KPN_01056	RSPSI07_03035
KPN_00083	RSPSI07_01288
KPN_00082	RSPSI07_01287
KPN_03355	RSPSI07_02686
KPN_03113	RSPSI07_00994
KPN_03597	RSPSI07_00649
KPN_03357	RSPSI07_00719
KPN_03599	RSPSI07_00510
KPN_00080	RSPSI07_01294
KPN_03236	RSPSI07_02349
KPN_04325	RSPSI07_03779
KPN_02380	RSPSI07_02803
KPN_00089	RSPSI07_00622
KPN_00088	RSPSI07_00621
KPN_04441	RSPSI07_02297
KPN_03352	RSPSI07_04048
KPN_03352	RSPSI07_02909
KPN_04320	RSPSI07_02959
KPN_04440	RSPSI07_01904
KPN_04308	RSPSI07_03119
KPN_03339	RSPSI07_00139
KPN_04428	RSPSI07_00776
KPN_02495	RSPSI07_02577
KPN_00195	RSPSI07_01856
KPN_04674	RSPSI07_02028
KPN_03222	RSPSI07_04496
KPN_02496	RSPSI07_02576
KPN_00194	RSPSI07_01857
KPN_01165	RSPSI07_01968
KPN_04673	RSPSI07_02029
KPN_02497	RSPSI07_02578
KPN_00193	RSPSI07_01858
KPN_03587	RSPSI07_01497
KPN_04313	RSPSI07_00696
KPN_03466	RSPSI07_01333
KPN_03586	RSPSI07_01498
KPN_00192	RSPSI07_01859
KPN_03465	RSPSI07_01331
KPN_03226	RSPSI07_02023
KPN_03225	RSPSI07_00873
KPN_02379	RSPSI07_02801
KPN_03467	RSPSI07_01334
KPN_04677	RSPSI07_02027
KPN_03349	RSPSI07_02051
KPN_03106	RSPSI07_02080
KPN_02490	RSPSI07_02576
KPN_00079	RSPSI07_01378
KPN_02491	RSPSI07_02578
KPN_04670	RSPSI07_04245
KPN_00078	RSPSI07_01376
KPN_00077	RSPSI07_01377
KPN_00198	RSPSI07_02122
KPN_03580	RSPSI07_00860
KPN_04430	RSPSI07_01279
KPN_03341	RSPSI07_00141
KPN_01041	RSPSI07_00132
KPN_02494	RSPSI07_02575
KPN_03340	RSPSI07_00140
KPN_01284	RSPSI07_02118
KPN_03461	RSPSI07_02558
KPN_04671	RSPSI07_02026
KPN_00184	RSPSI07_01867
KPN_04663	RSPSI07_01127
KPN_04783	RSPSI07_01600
KPN_04783	RSPSI07_04803
KPN_04665	RSPSI07_01000
KPN_02365	RSPSI07_04367
KPN_02366	RSPSI07_04750
KPN_03454	RSPSI07_04368
KPN_04785	RSPSI07_00996
KPN_02367	RSPSI07_04749
KPN_02488	RSPSI07_02575
KPN_04304	RSPSI07_01056
KPN_04424	RSPSI07_02006
KPN_02489	RSPSI07_02577
KPN_02369	RSPSI07_02685
KPN_02481	RSPSI07_00518
KPN_00187	RSPSI07_01865
KPN_02482	RSPSI07_00519
KPN_01272	RSPSI07_01362
KPN_00186	RSPSI07_01863
KPN_00065	RSPSI07_04330
KPN_04782	RSPSI07_04761
KPN_01018	RSPSI07_00325
KPN_03318	RSPSI07_02280
KPN_01139	RSPSI07_00749
KPN_02594	RSPSI07_01714
KPN_02594	RSPSI07_01715
KPN_01142	RSPSI07_00745
KPN_01144	RSPSI07_00921
KPN_02476	RSPSI07_00512
KPN_01266	RSPSI07_03709
KPN_02598	RSPSI07_00608
KPN_03688	RSPSI07_03177
KPN_02235	RSPSI07_00566
KPN_04413	RSPSI07_01681
KPN_02478	RSPSI07_00514
KPN_02237	RSPSI07_02897
KPN_02116	RSPSI07_04780
KPN_02238	RSPSI07_02899
KPN_00179	RSPSI07_01881
KPN_03682	RSPSI07_00693
KPN_02592	RSPSI07_02649
KPN_02230	RSPSI07_02162
KPN_00316	RSPSI07_00474
KPN_00678	RSPSI07_03844
KPN_00678	RSPSI07_01103
KPN_00678	RSPSI07_01257
KPN_00678	RSPSI07_00029
KPN_00678	RSPSI07_02785
KPN_01526	RSPSI07_03827
KPN_01526	RSPSI07_00739
KPN_03947	RSPSI07_02327
KPN_00679	RSPSI07_02786
KPN_01527	RSPSI07_00736
KPN_01527	RSPSI07_03825
KPN_03825	RSPSI07_03220
KPN_02738	RSPSI07_04747
KPN_03949	RSPSI07_01236
KPN_00680	RSPSI07_02787
KPN_00681	RSPSI07_02788
KPN_00681	RSPSI07_01102
KPN_03952	RSPSI07_02937
KPN_02862	RSPSI07_02288
KPN_03951	RSPSI07_02129
KPN_03954	RSPSI07_02939
KPN_02743	RSPSI07_03668
KPN_02865	RSPSI07_02131
KPN_00440	RSPSI07_04165
KPN_00309	RSPSI07_01714
KPN_00309	RSPSI07_01715
KPN_03813	RSPSI07_02009
KPN_02844	RSPSI07_02068
KPN_00667	RSPSI07_03187
KPN_03812	RSPSI07_02008
KPN_02724	RSPSI07_02726
KPN_01636	RSPSI07_04327
KPN_01999	RSPSI07_04553
KPN_03817	RSPSI07_00976
KPN_02848	RSPSI07_02073
KPN_01517	RSPSI07_04455
KPN_03816	RSPSI07_00977
KPN_03816	RSPSI07_03271
KPN_03819	RSPSI07_00974
KPN_03818	RSPSI07_00975
KPN_01880	RSPSI07_04624
KPN_01881	RSPSI07_04623
KPN_00792	RSPSI07_00821
KPN_00793	RSPSI07_00820
KPN_01883	RSPSI07_04621
KPN_00674	RSPSI07_00725
KPN_00795	RSPSI07_00818
KPN_00796	RSPSI07_00819
KPN_00312	RSPSI07_02915
KPN_03809	RSPSI07_02005
KPN_00414	RSPSI07_02951
KPN_02833	RSPSI07_01842
KPN_03923	RSPSI07_02739
KPN_03801	RSPSI07_02828
KPN_02834	RSPSI07_01844
KPN_03922	RSPSI07_02741
KPN_00778	RSPSI07_04329
KPN_01869	RSPSI07_01793
KPN_03807	RSPSI07_03485
KPN_02719	RSPSI07_01572
KPN_01990	RSPSI07_02745
KPN_01870	RSPSI07_01794
KPN_01992	RSPSI07_00561
KPN_01871	RSPSI07_01795
KPN_03930	RSPSI07_04820
KPN_01872	RSPSI07_01796
KPN_01994	RSPSI07_00884
KPN_01873	RSPSI07_01797
KPN_00664	RSPSI07_02968
KPN_03811	RSPSI07_02007
KPN_01874	RSPSI07_01798
KPN_03932	RSPSI07_04822
KPN_03931	RSPSI07_04821
KPN_03931	RSPSI07_00712
KPN_03931	RSPSI07_02031
KPN_03810	RSPSI07_02006
KPN_01875	RSPSI07_01799
KPN_00886	RSPSI07_01523
KPN_00886	RSPSI07_01694
KPN_02701	RSPSI07_00560
KPN_02702	RSPSI07_01390
KPN_01976	RSPSI07_02484
KPN_00645	RSPSI07_01354
KPN_02824	RSPSI07_00840
KPN_00768	RSPSI07_02941
KPN_01978	RSPSI07_02773
KPN_02825	RSPSI07_00960
KPN_02705	RSPSI07_01387
KPN_03915	RSPSI07_03831
KPN_03915	RSPSI07_02274
KPN_02706	RSPSI07_01386
KPN_02827	RSPSI07_01507
KPN_00773	RSPSI07_04296
KPN_01622	RSPSI07_00175
KPN_00119	RSPSI07_01609
KPN_00118	RSPSI07_01608
KPN_02778	RSPSI07_00873
KPN_02899	RSPSI07_00967
KPN_03746	RSPSI07_00586
KPN_02779	RSPSI07_01173
KPN_01449	RSPSI07_00320
KPN_03869	RSPSI07_03488
KPN_00480	RSPSI07_02128
KPN_03752	RSPSI07_04395
KPN_03751	RSPSI07_01603
KPN_01211	RSPSI07_00640
KPN_02784	RSPSI07_00326
KPN_03754	RSPSI07_00995
KPN_03996	RSPSI07_01210
KPN_04843	RSPSI07_01652
KPN_01455	RSPSI07_00325
KPN_03753	RSPSI07_04394
KPN_01576	RSPSI07_03275
KPN_03998	RSPSI07_01212
KPN_02303	RSPSI07_03488
KPN_00367	RSPSI07_02537
KPN_00366	RSPSI07_02534
KPN_00484	RSPSI07_01605
KPN_00120	RSPSI07_01611
KPN_00482	RSPSI07_02124
KPN_00106	RSPSI07_00643
KPN_00227	RSPSI07_01485
KPN_03736	RSPSI07_00355
KPN_02889	RSPSI07_02242
KPN_02769	RSPSI07_02379
KPN_03979	RSPSI07_00953
KPN_02770	RSPSI07_01927
KPN_03980	RSPSI07_00951
KPN_02771	RSPSI07_01928
KPN_03983	RSPSI07_03117
KPN_02772	RSPSI07_01929
KPN_02773	RSPSI07_01938
KPN_02410	RSPSI07_02236
KPN_01202	RSPSI07_01717
KPN_03745	RSPSI07_00979
KPN_03624	RSPSI07_00498
KPN_00478	RSPSI07_02682
KPN_00235	RSPSI07_02723
KPN_00112	RSPSI07_00666
KPN_00111	RSPSI07_00966
KPN_00472	RSPSI07_01679
KPN_03846	RSPSI07_01953
KPN_03845	RSPSI07_01955
KPN_02758	RSPSI07_01875
KPN_03847	RSPSI07_01952
KPN_03608	RSPSI07_02881
KPN_03607	RSPSI07_02880
KPN_01791	RSPSI07_01266
KPN_02761	RSPSI07_02379
KPN_02882	RSPSI07_01684
KPN_03972	RSPSI07_02566
KPN_02762	RSPSI07_00610
KPN_02762	RSPSI07_04255
KPN_02641	RSPSI07_02398
KPN_00585	RSPSI07_00325
KPN_03974	RSPSI07_02904
KPN_02764	RSPSI07_00610
KPN_02764	RSPSI07_04255
KPN_03852	RSPSI07_01894
KPN_03854	RSPSI07_01437
KPN_03854	RSPSI07_00605
KPN_00103	RSPSI07_00655
KPN_00464	RSPSI07_00086
KPN_00100	RSPSI07_00634
KPN_00208	RSPSI07_00656
KPN_01538	RSPSI07_01576
KPN_01538	RSPSI07_01109
KPN_01539	RSPSI07_01577
KPN_01539	RSPSI07_01110
KPN_02629	RSPSI07_03942
KPN_02991	RSPSI07_00325
KPN_01540	RSPSI07_01111
KPN_02750	RSPSI07_02111
KPN_01661	RSPSI07_03414
KPN_03963	RSPSI07_02381
KPN_01542	RSPSI07_01113
KPN_03965	RSPSI07_02567
KPN_02876	RSPSI07_02521
KPN_03964	RSPSI07_02692
KPN_01787	RSPSI07_01249
KPN_00456	RSPSI07_00877
KPN_00213	RSPSI07_02376
KPN_00212	RSPSI07_02375
KPN_00211	RSPSI07_02374
KPN_00211	RSPSI07_00051
KPN_00451	RSPSI07_02876
KPN_00839	RSPSI07_00028
KPN_00839	RSPSI07_01258
KPN_00955	RSPSI07_02297
KPN_00715	RSPSI07_00053
KPN_00716	RSPSI07_00054
KPN_00838	RSPSI07_03844
KPN_00838	RSPSI07_01103
KPN_00838	RSPSI07_01257
KPN_00838	RSPSI07_00029
KPN_00838	RSPSI07_02785
KPN_01927	RSPSI07_01523
KPN_01927	RSPSI07_01694
KPN_00717	RSPSI07_00055
KPN_00840	RSPSI07_01259
KPN_00941	RSPSI07_02329
KPN_00941	RSPSI07_01165
KPN_00942	RSPSI07_00880
KPN_00701	RSPSI07_02462
KPN_01912	RSPSI07_00865
KPN_00945	RSPSI07_00878
KPN_04074	RSPSI07_01287
KPN_00935	RSPSI07_02393
KPN_00936	RSPSI07_02389
KPN_00937	RSPSI07_02388
KPN_00920	RSPSI07_01073
KPN_00800	RSPSI07_03031
KPN_00801	RSPSI07_01790
KPN_00803	RSPSI07_01789
KPN_00925	RSPSI07_01078
KPN_04178	RSPSI07_02015
KPN_04178	RSPSI07_04023
KPN_04291	RSPSI07_04159
KPN_04175	RSPSI07_00151
KPN_00754	RSPSI07_00965
KPN_02812	RSPSI07_02144
KPN_00513	RSPSI07_04257
KPN_00514	RSPSI07_04258
KPN_00758	RSPSI07_00805
KPN_00758	RSPSI07_02509
KPN_00516	RSPSI07_00609
KPN_01847	RSPSI07_01235
KPN_02821	RSPSI07_01177
KPN_01853	RSPSI07_00321
KPN_00864	RSPSI07_01895
KPN_00865	RSPSI07_01894
KPN_00502	RSPSI07_02280
KPN_00986	RSPSI07_02396
KPN_02923	RSPSI07_00805
KPN_02923	RSPSI07_02509
KPN_02805	RSPSI07_01884
KPN_00507	RSPSI07_02024
KPN_00871	RSPSI07_02968
KPN_00992	RSPSI07_01180
KPN_00632	RSPSI07_01603
KPN_02910	RSPSI07_03261
KPN_02910	RSPSI07_03308
KPN_00974	RSPSI07_01629
KPN_00732	RSPSI07_02004
KPN_00733	RSPSI07_02003
KPN_00734	RSPSI07_02704
KPN_00735	RSPSI07_02703
KPN_00861	RSPSI07_01898
KPN_00862	RSPSI07_01897
KPN_00862	RSPSI07_03920
KPN_00862	RSPSI07_02114
KPN_01952	RSPSI07_02648
KPN_00863	RSPSI07_01896
KPN_01819	RSPSI07_02477
KPN_00842	RSPSI07_00670
KPN_00967	RSPSI07_02277
KPN_00968	RSPSI07_01244
KPN_00605	RSPSI07_03625
KPN_00727	RSPSI07_01375
KPN_00969	RSPSI07_01933
KPN_00970	RSPSI07_01934
KPN_00971	RSPSI07_01935
KPN_00730	RSPSI07_01372
KPN_00972	RSPSI07_01936
KPN_00731	RSPSI07_01373
KPN_00973	RSPSI07_01937
KPN_00852	RSPSI07_02224
KPN_04094	RSPSI07_03963
KPN_04096	RSPSI07_00717
KPN_04095	RSPSI07_00718
