KPN_04245	STM4119
KPN_00926	STM0964
KPN_04292	STM3926
KPN_04291	STM3925
KPN_04294	STM3928
KPN_04295	STM3929
KPN_00754	STM0756
KPN_00755	STM0757
KPN_00756	STM0758
KPN_01603	STM2916
KPN_00758	STM1347
KPN_00758	STM2670
KPN_00758	STM0760
KPN_00516	STM4066
KPN_01847	STM1566
KPN_02937	STM2683
KPN_01853	STM1567
KPN_02700	STM2354
KPN_02700	STM2355
KPN_00502	STM3040
KPN_02922	STM2669
KPN_02923	STM1347
KPN_02923	STM2670
KPN_02923	STM0760
KPN_00992	STM1076
KPN_02910	STM2654
KPN_00974	STM1058
KPN_00732	STM0736
KPN_00733	STM0737
KPN_00734	STM0738
KPN_00735	STM0739
KPN_00736	STM1792
KPN_00736	STM0740
KPN_00737	STM0741
KPN_00737	STM1793
KPN_00983	STM1067
KPN_00500	STM0234
KPN_00500	STM2559
KPN_02920	STM2667
KPN_00729	STM0733
KPN_01819	STM4106
KPN_02908	STM2652
KPN_00963	STM1002
KPN_02902	STM2646
KPN_02902	STM0843
KPN_00967	STM1004
KPN_00968	STM1057
KPN_00727	STM0730
KPN_02905	STM2649
KPN_00728	STM0732
KPN_00730	STM0734
KPN_00731	STM0735
KPN_04094	STM3827
KPN_04094	STM2962
KPN_04095	STM3828
KPN_04097	STM3829
KPN_01099	STM0685
KPN_01099	STM1203
KPN_03037	STM2832
KPN_03036	STM2831
KPN_04367	STM4301
KPN_03039	STM2834
KPN_03038	STM2833
KPN_01090	STM1194
KPN_01091	STM1195
KPN_02180	STM1333
KPN_01092	STM1196
KPN_01093	STM1197
KPN_01094	STM1198
KPN_02183	STM1326
KPN_01096	STM1200
KPN_02186	STM1737
KPN_02176	STM1337
KPN_01089	STM1193
KPN_03029	STM2827
KPN_04591	STM0101
KPN_04591	STM4388
KPN_04591	STM3677
KPN_04590	STM4387
KPN_04350	STM4137
KPN_03264	STM3091
KPN_03264	STM3016
KPN_02175	STM1338
KPN_04352	STM4139
KPN_03021	STM2820
KPN_03009	STM2810
KPN_04344	STM3987
KPN_04343	STM3986
KPN_02166	STM1342
KPN_04585	STM4382
KPN_04588	STM4385
KPN_04587	STM4384
KPN_02169	STM1340
KPN_04589	STM4386
KPN_03019	STM2818
KPN_03018	STM2817
KPN_03491	STM2973
KPN_02160	STM1349
KPN_01071	STM1160
KPN_04340	STM3983
KPN_02162	STM1347
KPN_02162	STM2670
KPN_02162	STM0760
KPN_01074	STM1163
KPN_03494	STM4108
KPN_03494	STM3529
KPN_03252	STM3013
KPN_03010	STM2811
KPN_04329	STM3970
KPN_03244	STM3009
KPN_03485	STM4087
KPN_03485	STM2037
KPN_03488	STM2041
KPN_04576	STM4366
KPN_01068	STM1155
KPN_01068	STM2401
KPN_03245	STM3010
KPN_03487	STM2042
KPN_04337	STM3978
KPN_03006	STM2807
KPN_03489	STM2040
KPN_04339	STM3982
KPN_03008	STM2809
KPN_03007	STM2808
KPN_04338	STM3979
KPN_02392	STM1928
KPN_02393	STM1929
KPN_04331	STM3972
KPN_04157	STM3885
KPN_04156	STM3884
KPN_03060	STM2851
KPN_03061	STM2852
KPN_04395	STM4183
KPN_04153	STM3881
KPN_04152	STM3880
KPN_04394	STM4182
KPN_04155	STM3883
KPN_04154	STM3882
KPN_04154	STM2189
KPN_04396	STM4184
KPN_04388	STM4176
KPN_03057	STM2848
KPN_04387	STM4175
KPN_03056	STM2847
KPN_03059	STM2850
KPN_03058	STM2849
KPN_04149	STM3877
KPN_04140	STM3868
KPN_04142	STM3870
KPN_04141	STM3869
KPN_04144	STM3872
KPN_04143	STM3871
KPN_04135	STM3862
KPN_03046	STM2841
KPN_03045	STM2840
KPN_04134	STM3861
KPN_04376	STM4164
KPN_02199	STM1749
KPN_04137	STM3865
KPN_04379	STM4167
KPN_04136	STM3864
KPN_04378	STM4166
KPN_04139	STM3867
KPN_04138	STM3866
KPN_02190	STM1739
KPN_04371	STM4159
KPN_03040	STM2835
KPN_02193	STM1742
KPN_02193	STM3626
KPN_02194	STM1743
KPN_02194	STM3627
KPN_04131	STM3855
KPN_04373	STM4161
KPN_04130	STM3854
KPN_04372	STM4160
KPN_02195	STM1744
KPN_04133	STM3857
KPN_04375	STM4163
KPN_02196	STM1745
KPN_04374	STM4162
KPN_04132	STM3856
KPN_03428	STM3161
KPN_03673	STM3391
KPN_01494	STM1304
KPN_03672	STM3390
KPN_02584	STM2183
KPN_01253	STM1727
KPN_01254	STM1726
KPN_01496	STM1306
KPN_01255	STM1725
KPN_03432	STM3165
KPN_01497	STM1307
KPN_02586	STM2188
KPN_02587	STM3882
KPN_02587	STM2189
KPN_01256	STM1724
KPN_01257	STM1723
KPN_02588	STM2190
KPN_04526	STM4323
KPN_03436	STM3173
KPN_00169	STM0202
KPN_00168	STM0194
KPN_00167	STM0193
KPN_00166	STM0590
KPN_00166	STM0192
KPN_00165	STM0364
KPN_00165	STM0191
KPN_00164	STM0190
KPN_01493	STM1303
KPN_01493	STM3468
KPN_02569	STM2167
KPN_04506	STM4299
KPN_02328	STM1824
KPN_04505	STM4298
KPN_03416	STM3139
KPN_02330	STM3240
KPN_02330	STM1826
KPN_02330	STM2196
KPN_02330	STM2971
KPN_00393	STM0442
KPN_00392	STM0441
KPN_02573	STM2168
KPN_03664	STM3379
KPN_00391	STM0440
KPN_00390	STM0439
KPN_02333	STM1830
KPN_02334	STM1831
KPN_03665	STM3380
KPN_02335	STM1832
KPN_03426	STM3159
KPN_03425	STM3158
KPN_03667	STM3382
KPN_00395	STM0444
KPN_00394	STM0443
KPN_00139	STM0180
KPN_01228	STM1310
KPN_00140	STM0181
KPN_01473	STM2093
KPN_03895	STM1742
KPN_03895	STM3626
KPN_02322	STM1818
KPN_02564	STM2162
KPN_02564	STM2164
KPN_03410	STM4100
KPN_03410	STM3624A
KPN_03897	STM0851
KPN_03897	STM3628
KPN_02565	STM2163
KPN_03896	STM1743
KPN_03896	STM3627
KPN_02566	STM2162
KPN_02566	STM2164
KPN_01236	STM1318
KPN_01478	STM3982
KPN_03899	STM3630
KPN_02567	STM2165
KPN_03898	STM3629
KPN_04503	STM4290
KPN_00142	STM0183
KPN_00141	STM0182
KPN_02560	STM2155
KPN_00369	STM0419
KPN_00127	STM0166
KPN_03878	STM3614
KPN_02306	STM1800
KPN_02549	STM2141
KPN_03639	STM3354
KPN_02308	STM1802
KPN_02308	STM4247
KPN_02309	STM1803
KPN_02550	STM2146
KPN_02792	STM2338
KPN_02792	STM2466
KPN_03640	STM3355
KPN_00370	STM0420
KPN_02551	STM2147
KPN_01221	STM1303
KPN_01221	STM3468
KPN_01222	STM1304
KPN_01223	STM1305
KPN_02312	STM1806
KPN_03644	STM3359
KPN_02797	STM2472
KPN_01224	STM1306
KPN_02313	STM1807
KPN_02798	STM2473
KPN_02798	STM0007
KPN_01225	STM1307
KPN_02799	STM3076
KPN_02799	STM2474
KPN_00378	STM0434
KPN_00134	STM0171
KPN_00133	STM0170
KPN_00375	STM0425
KPN_00132	STM0169
KPN_00373	STM0423
KPN_00131	STM0168
KPN_00372	STM0422
KPN_04318	STM3959
KPN_04321	STM3961
KPN_01056	STM1135
KPN_02388	STM1909
KPN_03236	STM3001
KPN_04325	STM3965
KPN_04567	STM4358
KPN_04327	STM3968
KPN_02380	STM1901
KPN_04320	STM3960
KPN_04308	STM3947
KPN_00195	STM0229
KPN_02374	STM1893
KPN_04553	STM4343
KPN_00194	STM0228
KPN_02133	STM1378
KPN_04552	STM4342
KPN_00193	STM0227
KPN_04313	STM3952
KPN_02134	STM1377
KPN_00192	STM0226
KPN_01288	STM1695
KPN_03226	STM2992
KPN_04557	STM4348
KPN_03225	STM2450
KPN_03225	STM2991
KPN_02379	STM1900
KPN_04558	STM4349
KPN_04316	STM3957
KPN_00199	STM0234
KPN_00199	STM2559
KPN_02370	STM1889
KPN_00198	STM0232
KPN_01041	STM1124
KPN_03462	STM3206
KPN_02372	STM1891
KPN_04551	STM4341
KPN_01284	STM1700
KPN_03461	STM3205
KPN_01042	STM1125
KPN_04550	STM4340
KPN_03207	STM2042
KPN_00184	STM0218
KPN_01274	STM1710
KPN_03453	STM3190
KPN_04784	STM1105
KPN_04783	STM1106
KPN_04783	STM2289
KPN_02364	STM1883
KPN_02365	STM1884
KPN_04302	STM3936
KPN_04786	STM1103
KPN_02366	STM1885
KPN_03454	STM3195
KPN_04785	STM1104
KPN_01277	STM1707
KPN_02367	STM1886
KPN_04304	STM3938
KPN_04788	STM1101
KPN_04787	STM1102
KPN_04303	STM3937
KPN_02369	STM1888
KPN_03217	STM2052
KPN_04305	STM3939
KPN_04789	STM1101
KPN_03216	STM2051
KPN_03216	STM2463
KPN_00188	STM0222
KPN_04780	STM1099
KPN_00187	STM0221
KPN_03690	STM3409
KPN_01272	STM1712
KPN_00186	STM0220
KPN_04782	STM1107
KPN_01273	STM1711
KPN_01018	STM3680
KPN_04528	STM3599
KPN_04528	STM4325
KPN_04529	STM4326
KPN_02594	STM2200
KPN_03442	STM3179
KPN_00173	STM0206
KPN_03202	STM4087
KPN_03202	STM2037
KPN_01266	STM1718
KPN_00170	STM0203
KPN_03443	STM3180
KPN_02598	STM2204
KPN_02598	STM3255
KPN_03688	STM3407
KPN_02599	STM2205
KPN_04779	STM1098
KPN_01027	STM1117
KPN_03206	STM2041
KPN_03205	STM2040
KPN_00179	STM0213
KPN_02591	STM2193
KPN_03682	STM3401
KPN_02592	STM2194
KPN_00175	STM0208
KPN_00174	STM0207
KPN_02593	STM2199
KPN_02855	STM2536
KPN_01524	STM1477
KPN_00678	STM0662
KPN_00678	STM2351
KPN_00678	STM0828
KPN_01526	STM1479
KPN_03947	STM3692
KPN_00679	STM0663
KPN_01527	STM1480
KPN_03949	STM3694
KPN_00680	STM0664
KPN_00681	STM0665
KPN_00682	STM0666
KPN_03952	STM3700
KPN_02862	STM2543
KPN_03951	STM3699
KPN_03954	STM3702
KPN_02865	STM2546
KPN_00687	STM0671
KPN_00440	STM0472
KPN_02844	STM2522
KPN_00667	STM0640
KPN_02845	STM2523
KPN_01999	STM1427
KPN_02604	STM3135
KPN_01515	STM1467
KPN_03936	STM3665
KPN_01516	STM1468
KPN_01516	STM4300
KPN_03935	STM3664
KPN_02848	STM2526
KPN_01517	STM1469
KPN_02849	STM2531
KPN_03939	STM3683
KPN_00670	STM0643
KPN_00671	STM0645
KPN_02851	STM2533
KPN_00674	STM0648
KPN_03943	STM3686
KPN_03942	STM3256
KPN_03942	STM3685
KPN_00415	STM0464
KPN_00414	STM0463
KPN_02833	STM2510
KPN_03923	STM3656
KPN_00897	STM0891
KPN_00655	STM0628
KPN_02834	STM2511
KPN_03922	STM3655
KPN_03929	STM3661
KPN_03928	STM3660
KPN_01990	STM1435
KPN_01992	STM1433
KPN_01994	STM4055
KPN_01994	STM1431
KPN_00664	STM0863
KPN_00664	STM2062
KPN_00664	STM0637
KPN_02600	STM2206
KPN_03931	STM3882
KPN_03931	STM2189
KPN_00408	STM0457
KPN_00886	STM1226
KPN_00886	STM0878
KPN_00886	STM0428
KPN_01975	STM1449
KPN_01976	STM1448
KPN_00887	STM0879
KPN_00888	STM0880
KPN_01978	STM1446
KPN_02825	STM2500
KPN_02826	STM2501
KPN_03915	STM3646
KPN_02827	STM2502
KPN_00649	STM0607
KPN_00893	STM0887
KPN_00893	STM0890
KPN_00894	STM0888
KPN_00895	STM0889
KPN_00896	STM0887
KPN_00896	STM0890
KPN_01985	STM1044
KPN_01985	STM1440
KPN_00654	STM0627
KPN_02899	STM2641
KPN_02657	STM2295
KPN_03746	STM3469
KPN_02658	STM2305
KPN_04838	STM4568
KPN_02659	STM2306
KPN_04837	STM4567
KPN_02419	STM1963
KPN_04839	STM4569
KPN_02660	STM2307
KPN_00480	STM0535
KPN_03752	STM3474
KPN_02662	STM2309
KPN_03751	STM3334
KPN_04840	STM4570
KPN_02663	STM2310
KPN_04601	STM0150
KPN_04601	STM4398
KPN_04601	STM0568
KPN_04601	STM1584
KPN_03754	STM3477
KPN_03996	STM3740
KPN_04843	STM4578
KPN_03753	STM3475
KPN_01576	STM1490
KPN_03998	STM3742
KPN_03756	STM3482
KPN_02667	STM2317
KPN_03755	STM3481
KPN_00004	STM0004
KPN_00003	STM0003
KPN_00002	STM0002
KPN_00484	STM0542
KPN_00482	STM0537
KPN_00227	STM0261
KPN_03736	STM0086
KPN_03736	STM3457
KPN_02646	STM2283
KPN_02404	STM1937
KPN_02888	STM2577
KPN_02889	STM2578
KPN_02647	STM2284
KPN_02648	STM2285
KPN_03979	STM3730
KPN_02649	STM2286
KPN_03980	STM3731
KPN_03983	STM3733
KPN_02410	STM1945
KPN_03501	STM3218
KPN_03745	STM1303
KPN_03745	STM3468
KPN_00478	STM0534
KPN_00236	STM0310
KPN_00235	STM0309
KPN_00477	STM0533
KPN_00233	STM2645
KPN_00472	STM0506
KPN_00458	STM0491
KPN_02877	STM2556
KPN_00699	STM0684
KPN_02636	STM0999
KPN_02636	STM1473
KPN_02636	STM2267
KPN_01547	STM0618
KPN_03968	STM3723
KPN_01308	STM1681
KPN_01309	STM1680
KPN_02882	STM2565
KPN_03972	STM3724
KPN_02641	STM2276
KPN_01310	STM1679
KPN_03974	STM3725
KPN_02642	STM2277
KPN_02643	STM2278
KPN_02645	STM2282
KPN_00464	STM0498
KPN_00464	STM0353
KPN_00221	STM0255
KPN_00461	STM0494
KPN_00208	STM0242
KPN_03956	STM3704
KPN_02870	STM2554
KPN_01540	STM3982
KPN_03961	STM3708
KPN_03963	STM3710
KPN_00695	STM0680
KPN_03962	STM3709
KPN_03965	STM3712
KPN_02876	STM2555
KPN_03964	STM3711
KPN_00698	STM0683
KPN_00456	STM0488
KPN_00214	STM0248
KPN_00213	STM0247
KPN_00212	STM0246
KPN_00211	STM0245
KPN_00451	STM0483
KPN_00839	STM0829
KPN_01924	STM1597
KPN_00838	STM0662
