KPN_00316	BSU28130
KPN_01144	BSU29130
KPN_02476	BSU34910
KPN_02598	BSU12010
KPN_02598	BSU14400
KPN_03688	BSU15730
KPN_00970	BSU08850
KPN_02478	BSU34900
KPN_00971	BSU08860
KPN_02479	BSU34890
KPN_02238	BSU00510
KPN_04094	BSU02480
KPN_00179	BSU14180
KPN_00055	BSU38770
KPN_00174	BSU27270
