KPN_04005	RSK60_03114
KPN_04011	RSK60_02182
KPN_04132	RSK60_03301
KPN_00039	RSK60_02516
KPN_03428	RSK60_04105
KPN_03673	RSK60_04320
KPN_03673	RSK60_01710
KPN_00041	RSK60_03292
KPN_01132	RSK60_00070
KPN_03672	RSK60_04321
KPN_03672	RSK60_01709
KPN_00040	RSK60_03290
KPN_00281	RSK60_02439
KPN_01254	RSK60_03195
KPN_01255	RSK60_02369
KPN_01255	RSK60_04193
KPN_00280	RSK60_02520
KPN_03795	RSK60_03789
KPN_02587	RSK60_00425
KPN_02587	RSK60_05093
KPN_01256	RSK60_04194
KPN_01256	RSK60_02370
KPN_03798	RSK60_03785
KPN_01015	RSK60_05041
KPN_01015	RSK60_04519
KPN_03797	RSK60_03784
KPN_02468	RSK60_01416
KPN_03799	RSK60_03191
KPN_00049	RSK60_01174
KPN_00169	RSK60_01027
KPN_00046	RSK60_01012
KPN_00045	RSK60_00759
KPN_00044	RSK60_02138
KPN_03792	RSK60_02189
KPN_01492	RSK60_01217
KPN_01493	RSK60_02787
KPN_02206	RSK60_03251
KPN_04627	RSK60_02491
KPN_04626	RSK60_03058
KPN_02328	RSK60_02626
KPN_02330	RSK60_01889
KPN_00393	RSK60_02337
KPN_00392	RSK60_02338
KPN_03540	RSK60_04332
KPN_02573	RSK60_03462
KPN_03785	RSK60_04681
KPN_03664	RSK60_02487
KPN_00391	RSK60_02339
KPN_02211	RSK60_04927
KPN_02696	RSK60_02939
KPN_02696	RSK60_01766
KPN_02696	RSK60_01213
KPN_01365	RSK60_00709
KPN_02213	RSK60_04929
KPN_02455	RSK60_03316
KPN_03665	RSK60_02486
KPN_02214	RSK60_04930
KPN_01126	RSK60_00441
KPN_02215	RSK60_04931
KPN_01127	RSK60_02511
KPN_02458	RSK60_02401
KPN_00395	RSK60_01572
KPN_00395	RSK60_01571
KPN_00394	RSK60_02336
KPN_00139	RSK60_02530
KPN_01106	RSK60_02965
KPN_01469	RSK60_04090
KPN_04615	RSK60_00921
KPN_04736	RSK60_05100
KPN_04739	RSK60_04319
KPN_03409	RSK60_03823
KPN_00140	RSK60_02830
KPN_01472	RSK60_04093
KPN_01473	RSK60_04094
KPN_03895	RSK60_03237
KPN_03895	RSK60_02391
KPN_01474	RSK60_02382
KPN_04621	RSK60_02879
KPN_02322	RSK60_02400
KPN_02564	RSK60_02706
KPN_01475	RSK60_02381
KPN_04623	RSK60_00425
KPN_04623	RSK60_05093
KPN_02202	RSK60_03624
KPN_02202	RSK60_02957
KPN_03897	RSK60_00286
KPN_01476	RSK60_01500
KPN_03896	RSK60_03238
KPN_03896	RSK60_02390
KPN_02566	RSK60_02706
KPN_02445	RSK60_03774
KPN_01236	RSK60_05025
KPN_01478	RSK60_02947
KPN_01479	RSK60_02379
KPN_00024	RSK60_02778
KPN_01590	RSK60_00954
KPN_00142	RSK60_02631
KPN_00021	RSK60_02762
KPN_01470	RSK60_04091
KPN_00020	RSK60_02763
KPN_00141	RSK60_02629
KPN_02560	RSK60_02836
KPN_01471	RSK60_04092
KPN_00008	RSK60_00441
KPN_00369	RSK60_02504
KPN_02305	RSK60_02917
KPN_02305	RSK60_00739
KPN_02668	RSK60_03128
KPN_03757	RSK60_02375
KPN_03878	RSK60_01413
KPN_02306	RSK60_00222
KPN_02308	RSK60_00296
KPN_02309	RSK60_00778
KPN_02550	RSK60_01620
KPN_02671	RSK60_03125
KPN_03761	RSK60_02272
KPN_03760	RSK60_02273
KPN_02672	RSK60_03124
KPN_00370	RSK60_02503
KPN_01221	RSK60_02787
KPN_03521	RSK60_04336
KPN_01464	RSK60_03502
KPN_01464	RSK60_02392
KPN_02674	RSK60_03122
KPN_02797	RSK60_02505
KPN_02797	RSK60_03061
KPN_02798	RSK60_00441
KPN_03767	RSK60_02266
KPN_02677	RSK60_03118
KPN_01104	RSK60_00652
KPN_02799	RSK60_02511
KPN_00256	RSK60_00977
KPN_00256	RSK60_04518
KPN_00256	RSK60_01691
KPN_00256	RSK60_05040
KPN_00255	RSK60_01690
KPN_00134	RSK60_01469
KPN_00373	RSK60_02972
KPN_00372	RSK60_02973
KPN_03109	RSK60_03504
KPN_03108	RSK60_03505
KPN_03112	RSK60_02056
KPN_03112	RSK60_03742
KPN_03114	RSK60_02801
KPN_01056	RSK60_01485
KPN_00083	RSK60_03102
KPN_00082	RSK60_03101
KPN_03355	RSK60_01112
KPN_03113	RSK60_02802
KPN_03597	RSK60_02435
KPN_03357	RSK60_02511
KPN_03599	RSK60_02289
KPN_00080	RSK60_03106
KPN_03236	RSK60_00758
KPN_04325	RSK60_04189
KPN_02380	RSK60_01231
KPN_00089	RSK60_02408
KPN_00088	RSK60_02407
KPN_04441	RSK60_00709
KPN_03352	RSK60_04639
KPN_04440	RSK60_00296
KPN_04308	RSK60_01586
KPN_03339	RSK60_01890
KPN_04428	RSK60_02573
KPN_02495	RSK60_01010
KPN_00195	RSK60_00252
KPN_04674	RSK60_00422
KPN_03222	RSK60_04452
KPN_02496	RSK60_01009
KPN_00194	RSK60_00253
KPN_01165	RSK60_00359
KPN_04673	RSK60_00423
KPN_02497	RSK60_01011
KPN_00193	RSK60_00254
KPN_03587	RSK60_03298
KPN_04313	RSK60_02499
KPN_03466	RSK60_03146
KPN_03586	RSK60_03299
KPN_00192	RSK60_00255
KPN_03465	RSK60_03144
KPN_03226	RSK60_00417
KPN_04557	RSK60_03813
KPN_03225	RSK60_02673
KPN_02379	RSK60_01229
KPN_03467	RSK60_03147
KPN_04677	RSK60_00421
KPN_03349	RSK60_00440
KPN_03106	RSK60_00469
KPN_02490	RSK60_01009
KPN_00079	RSK60_03190
KPN_02491	RSK60_01011
KPN_04670	RSK60_04564
KPN_00078	RSK60_03188
KPN_00077	RSK60_03189
KPN_00198	RSK60_00511
KPN_03580	RSK60_02659
KPN_04430	RSK60_03093
KPN_03341	RSK60_01892
KPN_01041	RSK60_01877
KPN_02494	RSK60_01008
KPN_03340	RSK60_01891
KPN_01284	RSK60_00507
KPN_03461	RSK60_00991
KPN_04671	RSK60_00420
KPN_00184	RSK60_00263
KPN_04663	RSK60_02958
KPN_04783	RSK60_03397
KPN_04783	RSK60_05042
KPN_04665	RSK60_02808
KPN_02365	RSK60_04682
KPN_02366	RSK60_05003
KPN_03454	RSK60_04683
KPN_04785	RSK60_02804
KPN_02367	RSK60_05002
KPN_02488	RSK60_01008
KPN_04304	RSK60_02871
KPN_04424	RSK60_00400
KPN_02489	RSK60_01010
KPN_02369	RSK60_01111
KPN_02481	RSK60_02297
KPN_00187	RSK60_00261
KPN_02482	RSK60_02298
KPN_01272	RSK60_03174
KPN_00186	RSK60_00259
KPN_00065	RSK60_04653
KPN_04782	RSK60_05016
KPN_01273	RSK60_04726
KPN_01018	RSK60_02104
KPN_03318	RSK60_00692
KPN_01139	RSK60_02541
KPN_02594	RSK60_00104
KPN_02594	RSK60_00103
KPN_01142	RSK60_02537
KPN_01144	RSK60_02735
KPN_04654	RSK60_04426
KPN_02476	RSK60_02291
KPN_01266	RSK60_04108
KPN_02598	RSK60_02394
KPN_03688	RSK60_01647
KPN_02235	RSK60_02353
KPN_04413	RSK60_00056
KPN_02478	RSK60_02293
KPN_02237	RSK60_01345
KPN_02238	RSK60_01347
KPN_00179	RSK60_00277
KPN_03682	RSK60_02496
KPN_02592	RSK60_01075
KPN_02230	RSK60_00554
KPN_00316	RSK60_02252
KPN_00678	RSK60_02939
KPN_00678	RSK60_01766
KPN_00678	RSK60_01213
KPN_01526	RSK60_02531
KPN_03947	RSK60_00735
KPN_00679	RSK60_01214
KPN_01527	RSK60_02528
KPN_03825	RSK60_01690
KPN_02738	RSK60_05000
KPN_00680	RSK60_01215
KPN_00681	RSK60_02938
KPN_00681	RSK60_01216
KPN_03952	RSK60_01385
KPN_02862	RSK60_00700
KPN_03951	RSK60_00518
KPN_03954	RSK60_01387
KPN_02743	RSK60_04030
KPN_02865	RSK60_00520
KPN_00440	RSK60_04484
KPN_00309	RSK60_00104
KPN_00309	RSK60_00103
KPN_03813	RSK60_00403
KPN_02844	RSK60_00457
KPN_00667	RSK60_01657
KPN_03812	RSK60_00402
KPN_01636	RSK60_04651
KPN_03817	RSK60_02782
KPN_02848	RSK60_00462
KPN_01517	RSK60_04777
KPN_03816	RSK60_02783
KPN_03816	RSK60_03635
KPN_03819	RSK60_02780
KPN_03818	RSK60_02781
KPN_01880	RSK60_04930
KPN_01881	RSK60_04929
KPN_00792	RSK60_02616
KPN_00793	RSK60_02615
KPN_01883	RSK60_04927
KPN_00674	RSK60_02517
KPN_00795	RSK60_02613
KPN_00796	RSK60_02614
KPN_00312	RSK60_01363
KPN_03809	RSK60_00399
KPN_00414	RSK60_01400
KPN_02833	RSK60_00238
KPN_03923	RSK60_01165
KPN_03801	RSK60_01256
KPN_02834	RSK60_00240
KPN_03922	RSK60_01167
KPN_02713	RSK60_03917
KPN_00778	RSK60_04652
KPN_00537	RSK60_04458
KPN_01869	RSK60_00185
KPN_03807	RSK60_03819
KPN_02719	RSK60_03351
KPN_01990	RSK60_01171
KPN_01870	RSK60_00186
KPN_01992	RSK60_02349
KPN_01871	RSK60_00187
KPN_03930	RSK60_05092
KPN_01872	RSK60_00188
KPN_01994	RSK60_02684
KPN_01873	RSK60_00189
KPN_00664	RSK60_01416
KPN_03811	RSK60_00401
KPN_01874	RSK60_00190
KPN_03932	RSK60_05094
KPN_03931	RSK60_00425
KPN_03931	RSK60_05093
KPN_03810	RSK60_00400
KPN_01875	RSK60_00191
KPN_00886	RSK60_00070
KPN_02701	RSK60_02348
KPN_02702	RSK60_03202
KPN_01976	RSK60_00918
KPN_00645	RSK60_03164
KPN_02824	RSK60_02636
KPN_00768	RSK60_01389
KPN_01978	RSK60_01201
KPN_02825	RSK60_02766
KPN_02705	RSK60_03199
KPN_03915	RSK60_00686
KPN_02706	RSK60_03198
KPN_02827	RSK60_03308
KPN_00773	RSK60_04624
KPN_01622	RSK60_01924
KPN_00119	RSK60_03453
KPN_00118	RSK60_03452
KPN_00116	RSK60_04458
KPN_02778	RSK60_02673
KPN_02899	RSK60_02773
KPN_03746	RSK60_02372
KPN_02779	RSK60_03004
KPN_01449	RSK60_02101
KPN_03869	RSK60_03824
KPN_00480	RSK60_00517
KPN_03752	RSK60_04715
KPN_03751	RSK60_03447
KPN_01211	RSK60_02426
KPN_02784	RSK60_02105
KPN_04601	RSK60_04458
KPN_03754	RSK60_02803
KPN_03996	RSK60_03048
KPN_04843	RSK60_03501
KPN_01455	RSK60_02104
KPN_03753	RSK60_04714
KPN_01576	RSK60_03638
KPN_03998	RSK60_03050
KPN_02303	RSK60_03824
KPN_00367	RSK60_00972
KPN_00366	RSK60_00969
KPN_00366	RSK60_00968
KPN_00484	RSK60_03449
KPN_00120	RSK60_03455
KPN_00482	RSK60_00513
KPN_00106	RSK60_02429
KPN_00227	RSK60_03287
KPN_03736	RSK60_02138
KPN_02889	RSK60_00654
KPN_02769	RSK60_00787
KPN_03979	RSK60_02758
KPN_04707	RSK60_01731
KPN_02770	RSK60_00317
KPN_01560	RSK60_00151
KPN_03980	RSK60_02756
KPN_02771	RSK60_00318
KPN_01561	RSK60_00150
KPN_03983	RSK60_01584
KPN_02772	RSK60_00319
KPN_02773	RSK60_00329
KPN_02410	RSK60_00648
KPN_01202	RSK60_00106
KPN_03745	RSK60_02787
KPN_03624	RSK60_02277
KPN_00478	RSK60_01108
KPN_00235	RSK60_01153
KPN_00112	RSK60_02452
KPN_00111	RSK60_02772
KPN_00472	RSK60_00054
KPN_03846	RSK60_00344
KPN_03845	RSK60_00346
KPN_02758	RSK60_00271
KPN_03847	RSK60_00343
KPN_03608	RSK60_01329
KPN_03607	RSK60_01328
KPN_01791	RSK60_03079
KPN_02761	RSK60_00787
KPN_02882	RSK60_00059
KPN_03972	RSK60_00999
KPN_02762	RSK60_02396
KPN_02762	RSK60_04575
KPN_02641	RSK60_00807
KPN_00585	RSK60_02104
KPN_03974	RSK60_01353
KPN_02764	RSK60_02396
KPN_02764	RSK60_04575
KPN_03852	RSK60_00286
KPN_03854	RSK60_03237
KPN_03854	RSK60_02391
KPN_00103	RSK60_02441
KPN_00464	RSK60_01828
KPN_00100	RSK60_02420
KPN_00221	RSK60_00527
KPN_00208	RSK60_02442
KPN_01538	RSK60_03355
KPN_01538	RSK60_02945
KPN_01539	RSK60_03356
KPN_01539	RSK60_02946
KPN_02629	RSK60_04317
KPN_02991	RSK60_02104
KPN_01540	RSK60_02947
KPN_02750	RSK60_00500
KPN_03963	RSK60_00789
KPN_01542	RSK60_02950
KPN_03962	RSK60_04393
KPN_03965	RSK60_01000
KPN_02876	RSK60_00955
KPN_03964	RSK60_01118
KPN_01787	RSK60_03065
KPN_00456	RSK60_02677
KPN_00213	RSK60_00784
KPN_00212	RSK60_00783
KPN_00211	RSK60_00782
KPN_00211	RSK60_01790
KPN_00451	RSK60_01324
KPN_00839	RSK60_01765
KPN_00955	RSK60_00709
KPN_00715	RSK60_01794
KPN_00716	RSK60_01795
KPN_00838	RSK60_02939
KPN_00838	RSK60_01766
KPN_00838	RSK60_01213
KPN_01927	RSK60_00070
KPN_00717	RSK60_01796
KPN_00941	RSK60_02996
KPN_00942	RSK60_02680
KPN_00701	RSK60_00899
KPN_00945	RSK60_02678
KPN_04074	RSK60_03101
KPN_01906	RSK60_04458
KPN_00935	RSK60_00802
KPN_00936	RSK60_00798
KPN_00937	RSK60_00797
KPN_00920	RSK60_02886
KPN_00800	RSK60_01481
KPN_00801	RSK60_00183
KPN_00803	RSK60_00182
KPN_00925	RSK60_02891
KPN_04178	RSK60_00409
KPN_04178	RSK60_04391
KPN_04291	RSK60_04477
KPN_04175	RSK60_01902
KPN_00754	RSK60_02771
KPN_02812	RSK60_00536
KPN_00513	RSK60_04577
KPN_00514	RSK60_04578
KPN_00514	RSK60_04579
KPN_00758	RSK60_00943
KPN_00758	RSK60_02600
KPN_00516	RSK60_02395
KPN_02821	RSK60_03008
KPN_01853	RSK60_02102
KPN_00864	RSK60_00287
KPN_00865	RSK60_00286
KPN_00502	RSK60_00692
KPN_00986	RSK60_00805
KPN_02923	RSK60_00943
KPN_02923	RSK60_02600
KPN_02805	RSK60_00280
KPN_00507	RSK60_00418
KPN_00871	RSK60_01416
KPN_00992	RSK60_03011
KPN_00632	RSK60_03447
KPN_02910	RSK60_03666
KPN_02910	RSK60_03625
KPN_00974	RSK60_03478
KPN_00732	RSK60_00398
KPN_00733	RSK60_00397
KPN_00612	RSK60_04511
KPN_00734	RSK60_01131
KPN_00735	RSK60_01130
KPN_00861	RSK60_00290
KPN_00862	RSK60_00503
KPN_00862	RSK60_00289
KPN_01952	RSK60_01074
KPN_00863	RSK60_00288
KPN_01819	RSK60_00914
KPN_00842	RSK60_02473
KPN_00963	RSK60_02560
KPN_00967	RSK60_00689
KPN_00968	RSK60_03059
KPN_00605	RSK60_04395
KPN_00727	RSK60_03187
KPN_00969	RSK60_00323
KPN_00970	RSK60_00324
KPN_00971	RSK60_00325
KPN_00730	RSK60_03184
KPN_00972	RSK60_00326
KPN_00731	RSK60_03185
KPN_00973	RSK60_00328
KPN_04094	RSK60_04330
