KPN_04005	RSBA7_01909
KPN_04143	RSBA7_03019
KPN_04135	RSBA7_00170
KPN_04256	RSBA7_01800
KPN_03045	RSBA7_00715
KPN_04134	RSBA7_00171
KPN_04376	RSBA7_00113
KPN_04137	RSBA7_03013
KPN_04379	RSBA7_02995
KPN_04136	RSBA7_03012
KPN_04136	RSBA7_03982
KPN_04139	RSBA7_03015
KPN_04138	RSBA7_03014
KPN_02193	RSBA7_01780
KPN_02193	RSBA7_02561
KPN_02194	RSBA7_01779
KPN_02194	RSBA7_02562
KPN_04131	RSBA7_01737
KPN_04130	RSBA7_01736
KPN_04372	RSBA7_00110
KPN_04133	RSBA7_01739
KPN_04375	RSBA7_00109
KPN_04374	RSBA7_00351
KPN_04011	RSBA7_02819
KPN_04132	RSBA7_01738
KPN_00039	RSBA7_02453
KPN_03428	RSBA7_04170
KPN_03673	RSBA7_03968
KPN_03673	RSBA7_00014
KPN_03673	RSBA7_04846
KPN_00041	RSBA7_01747
KPN_01132	RSBA7_01551
KPN_03672	RSBA7_00015
KPN_03672	RSBA7_03967
KPN_03672	RSBA7_03966
KPN_00040	RSBA7_01749
KPN_00281	RSBA7_02513
KPN_01254	RSBA7_01824
KPN_01255	RSBA7_02585
KPN_01255	RSBA7_04114
KPN_00280	RSBA7_02449
KPN_03795	RSBA7_03261
KPN_02587	RSBA7_04940
KPN_02587	RSBA7_01211
KPN_01256	RSBA7_02584
KPN_01256	RSBA7_04113
KPN_01256	RSBA7_04112
KPN_03798	RSBA7_03257
KPN_01015	RSBA7_04925
KPN_01015	RSBA7_03728
KPN_03797	RSBA7_03256
KPN_02468	RSBA7_00289
KPN_03799	RSBA7_01828
KPN_00049	RSBA7_00524
KPN_00169	RSBA7_00714
KPN_00046	RSBA7_00729
KPN_00045	RSBA7_00935
KPN_00044	RSBA7_02864
KPN_03792	RSBA7_02812
KPN_01492	RSBA7_00485
KPN_01493	RSBA7_02214
KPN_02206	RSBA7_01768
KPN_04627	RSBA7_02478
KPN_04626	RSBA7_01966
KPN_03537	RSBA7_02957
KPN_02328	RSBA7_02345
KPN_02330	RSBA7_02976
KPN_00393	RSBA7_02615
KPN_00392	RSBA7_02614
KPN_03540	RSBA7_03953
KPN_02573	RSBA7_01632
KPN_01121	RSBA7_03611
KPN_03785	RSBA7_04536
KPN_03664	RSBA7_02482
KPN_00391	RSBA7_02613
KPN_02211	RSBA7_03410
KPN_02696	RSBA7_03836
KPN_02696	RSBA7_02076
KPN_02696	RSBA7_00489
KPN_02696	RSBA7_03106
KPN_01365	RSBA7_00983
KPN_02213	RSBA7_03408
KPN_02455	RSBA7_01723
KPN_03665	RSBA7_02483
KPN_02214	RSBA7_03407
KPN_01126	RSBA7_01197
KPN_02215	RSBA7_03406
KPN_01127	RSBA7_02458
KPN_02458	RSBA7_02551
KPN_00395	RSBA7_00149
KPN_00394	RSBA7_02616
KPN_00139	RSBA7_02439
KPN_01106	RSBA7_02050
KPN_01469	RSBA7_04187
KPN_04615	RSBA7_00815
KPN_04736	RSBA7_04956
KPN_04739	RSBA7_03969
KPN_03409	RSBA7_03305
KPN_00140	RSBA7_02169
KPN_01472	RSBA7_04184
KPN_01473	RSBA7_04183
KPN_03895	RSBA7_01780
KPN_03895	RSBA7_02561
KPN_01474	RSBA7_02572
KPN_04621	RSBA7_02129
KPN_02322	RSBA7_02552
KPN_02322	RSBA7_00544
KPN_02564	RSBA7_02279
KPN_01475	RSBA7_02573
KPN_04623	RSBA7_04940
KPN_04623	RSBA7_01211
KPN_02202	RSBA7_02058
KPN_02202	RSBA7_03135
KPN_03897	RSBA7_01343
KPN_01476	RSBA7_00194
KPN_03896	RSBA7_01779
KPN_03896	RSBA7_02562
KPN_02566	RSBA7_02279
KPN_02445	RSBA7_04820
KPN_01236	RSBA7_04902
KPN_01478	RSBA7_02068
KPN_01479	RSBA7_02575
KPN_00024	RSBA7_02221
KPN_01590	RSBA7_00783
KPN_00142	RSBA7_02340
KPN_00021	RSBA7_02237
KPN_01470	RSBA7_04186
KPN_00020	RSBA7_02236
KPN_00141	RSBA7_02342
KPN_02560	RSBA7_02163
KPN_01471	RSBA7_04185
KPN_00008	RSBA7_01197
KPN_00369	RSBA7_02465
KPN_02305	RSBA7_00952
KPN_02668	RSBA7_01895
KPN_03757	RSBA7_02579
KPN_03878	RSBA7_00292
KPN_02306	RSBA7_01427
KPN_04607	RSBA7_03060
KPN_02308	RSBA7_01333
KPN_02309	RSBA7_00905
KPN_02550	RSBA7_00106
KPN_02671	RSBA7_01898
KPN_03761	RSBA7_02731
KPN_03760	RSBA7_02730
KPN_02672	RSBA7_01899
KPN_00370	RSBA7_02466
KPN_01221	RSBA7_02214
KPN_03521	RSBA7_03949
KPN_01464	RSBA7_02560
KPN_01464	RSBA7_01593
KPN_02674	RSBA7_01901
KPN_02797	RSBA7_02464
KPN_02797	RSBA7_01963
KPN_02798	RSBA7_01197
KPN_03767	RSBA7_02737
KPN_02677	RSBA7_01905
KPN_01104	RSBA7_01040
KPN_01467	RSBA7_03480
KPN_02799	RSBA7_02458
KPN_00256	RSBA7_03729
KPN_00256	RSBA7_00033
KPN_00256	RSBA7_00761
KPN_00256	RSBA7_04924
KPN_00255	RSBA7_00034
KPN_00134	RSBA7_00235
KPN_00373	RSBA7_02043
KPN_00372	RSBA7_02042
KPN_03109	RSBA7_01591
KPN_03108	RSBA7_01590
KPN_03112	RSBA7_04777
KPN_03114	RSBA7_02200
KPN_01056	RSBA7_00220
KPN_00083	RSBA7_01920
KPN_00082	RSBA7_01921
KPN_03355	RSBA7_00614
KPN_03113	RSBA7_02199
KPN_03597	RSBA7_02517
KPN_03357	RSBA7_02458
KPN_03599	RSBA7_02714
KPN_00080	RSBA7_01916
KPN_03236	RSBA7_00936
KPN_04325	RSBA7_04118
KPN_02380	RSBA7_00471
KPN_00089	RSBA7_02544
KPN_00088	RSBA7_02545
KPN_04441	RSBA7_00983
KPN_03352	RSBA7_04485
KPN_04440	RSBA7_01333
KPN_04308	RSBA7_00135
KPN_03339	RSBA7_02975
KPN_04428	RSBA7_02396
KPN_02495	RSBA7_00731
KPN_00195	RSBA7_01377
KPN_04674	RSBA7_01214
KPN_03222	RSBA7_03791
KPN_02496	RSBA7_00732
KPN_00194	RSBA7_01376
KPN_01165	RSBA7_01274
KPN_04673	RSBA7_01213
KPN_02497	RSBA7_00730
KPN_00193	RSBA7_01375
KPN_03587	RSBA7_01741
KPN_04313	RSBA7_02470
KPN_03466	RSBA7_01877
KPN_03586	RSBA7_01740
KPN_00192	RSBA7_01374
KPN_03465	RSBA7_01879
KPN_03226	RSBA7_01219
KPN_04557	RSBA7_03288
KPN_03225	RSBA7_02302
KPN_02379	RSBA7_00473
KPN_03467	RSBA7_01876
KPN_04677	RSBA7_01215
KPN_03349	RSBA7_01198
KPN_03106	RSBA7_01169
KPN_02490	RSBA7_00732
KPN_00079	RSBA7_01830
KPN_02491	RSBA7_00730
KPN_04670	RSBA7_03683
KPN_00078	RSBA7_01832
KPN_00077	RSBA7_01831
KPN_00198	RSBA7_01126
KPN_03580	RSBA7_02315
KPN_04430	RSBA7_01929
KPN_03341	RSBA7_02973
KPN_01041	RSBA7_02993
KPN_02494	RSBA7_00733
KPN_03340	RSBA7_02974
KPN_01284	RSBA7_01130
KPN_03461	RSBA7_00753
KPN_04671	RSBA7_01216
KPN_00184	RSBA7_01366
KPN_04663	RSBA7_02057
KPN_04783	RSBA7_04926
KPN_04783	RSBA7_01650
KPN_04665	RSBA7_02193
KPN_02365	RSBA7_04537
KPN_02366	RSBA7_04882
KPN_03454	RSBA7_04538
KPN_04785	RSBA7_02197
KPN_02367	RSBA7_04881
KPN_02488	RSBA7_00733
KPN_04304	RSBA7_02137
KPN_04424	RSBA7_01236
KPN_02489	RSBA7_00731
KPN_02369	RSBA7_00615
KPN_02481	RSBA7_02706
KPN_00187	RSBA7_01368
KPN_02482	RSBA7_02705
KPN_01272	RSBA7_01846
KPN_00186	RSBA7_01370
KPN_00065	RSBA7_04504
KPN_04782	RSBA7_04893
KPN_01273	RSBA7_03616
KPN_01018	RSBA7_02402
KPN_01018	RSBA7_02897
KPN_03318	RSBA7_01000
KPN_01139	RSBA7_02428
KPN_02594	RSBA7_01531
KPN_02594	RSBA7_01532
KPN_01142	RSBA7_02432
KPN_01144	RSBA7_02250
KPN_04654	RSBA7_03824
KPN_02476	RSBA7_02712
KPN_01266	RSBA7_04167
KPN_02598	RSBA7_02558
KPN_03688	RSBA7_00077
KPN_02235	RSBA7_02599
KPN_04413	RSBA7_01564
KPN_02478	RSBA7_02710
KPN_02237	RSBA7_00396
KPN_02238	RSBA7_00394
KPN_00179	RSBA7_01352
KPN_03682	RSBA7_02473
KPN_02592	RSBA7_00650
KPN_02230	RSBA7_01084
KPN_00316	RSBA7_02750
KPN_00678	RSBA7_03836
KPN_00678	RSBA7_02076
KPN_00678	RSBA7_00489
KPN_00678	RSBA7_03106
KPN_01526	RSBA7_03854
KPN_01526	RSBA7_02438
KPN_03947	RSBA7_00956
KPN_00679	RSBA7_00488
KPN_01527	RSBA7_02441
KPN_01527	RSBA7_03856
KPN_03825	RSBA7_00034
KPN_02738	RSBA7_04879
KPN_00680	RSBA7_00487
KPN_00681	RSBA7_02079
KPN_00681	RSBA7_00486
KPN_03952	RSBA7_00357
KPN_02862	RSBA7_00992
KPN_03951	RSBA7_01119
KPN_03954	RSBA7_00355
KPN_02743	RSBA7_04324
KPN_02865	RSBA7_01117
KPN_00440	RSBA7_03763
KPN_00309	RSBA7_01531
KPN_00309	RSBA7_01532
KPN_03813	RSBA7_01233
KPN_02844	RSBA7_01181
KPN_00667	RSBA7_00067
KPN_03812	RSBA7_01234
KPN_01636	RSBA7_04502
KPN_03817	RSBA7_02217
KPN_02848	RSBA7_01176
KPN_01517	RSBA7_03564
KPN_03816	RSBA7_03146
KPN_03816	RSBA7_02216
KPN_03819	RSBA7_02219
KPN_03818	RSBA7_02218
KPN_01880	RSBA7_03407
KPN_01881	RSBA7_03408
KPN_00792	RSBA7_02355
KPN_00793	RSBA7_02356
KPN_01883	RSBA7_03410
KPN_00674	RSBA7_02452
KPN_00795	RSBA7_02358
KPN_00796	RSBA7_02357
KPN_00312	RSBA7_00379
KPN_03809	RSBA7_01237
KPN_00414	RSBA7_00343
KPN_02833	RSBA7_01391
KPN_03923	RSBA7_00533
KPN_03801	RSBA7_00445
KPN_02834	RSBA7_01389
KPN_03922	RSBA7_00531
KPN_02713	RSBA7_04708
KPN_00778	RSBA7_04503
KPN_00537	RSBA7_03784
KPN_00779	RSBA7_04814
KPN_01869	RSBA7_01461
KPN_03807	RSBA7_03300
KPN_02719	RSBA7_01677
KPN_01990	RSBA7_00527
KPN_01870	RSBA7_01460
KPN_01992	RSBA7_02603
KPN_01871	RSBA7_01459
KPN_03930	RSBA7_04939
KPN_01872	RSBA7_01458
KPN_01994	RSBA7_02291
KPN_01873	RSBA7_01457
KPN_00664	RSBA7_00289
KPN_03811	RSBA7_01235
KPN_01874	RSBA7_01456
KPN_03932	RSBA7_04941
KPN_03931	RSBA7_04940
KPN_03931	RSBA7_01211
KPN_03810	RSBA7_01236
KPN_01875	RSBA7_01455
KPN_00886	RSBA7_01551
KPN_02701	RSBA7_02604
KPN_02702	RSBA7_01817
KPN_01976	RSBA7_00818
KPN_00645	RSBA7_01854
KPN_02824	RSBA7_02335
KPN_00768	RSBA7_00353
KPN_01978	RSBA7_00501
KPN_02825	RSBA7_02233
KPN_02705	RSBA7_01820
KPN_03915	RSBA7_03849
KPN_03915	RSBA7_01006
KPN_02706	RSBA7_01821
KPN_02827	RSBA7_01731
KPN_00773	RSBA7_04470
KPN_01622	RSBA7_02935
KPN_00119	RSBA7_01641
KPN_00118	RSBA7_01642
KPN_00116	RSBA7_03784
KPN_02778	RSBA7_02302
KPN_02899	RSBA7_02226
KPN_03746	RSBA7_02582
KPN_02779	RSBA7_02011
KPN_03625	RSBA7_05015
KPN_01449	RSBA7_02900
KPN_03869	RSBA7_03306
KPN_00480	RSBA7_01120
KPN_03752	RSBA7_04567
KPN_03751	RSBA7_01647
KPN_01211	RSBA7_02526
KPN_02784	RSBA7_02896
KPN_04601	RSBA7_03784
KPN_03754	RSBA7_02198
KPN_03996	RSBA7_01976
KPN_04843	RSBA7_01594
KPN_01455	RSBA7_02402
KPN_01455	RSBA7_02897
KPN_03753	RSBA7_04566
KPN_01576	RSBA7_03149
KPN_03998	RSBA7_01974
KPN_02303	RSBA7_03306
KPN_00367	RSBA7_00766
KPN_00366	RSBA7_00769
KPN_00484	RSBA7_01645
KPN_00120	RSBA7_01639
KPN_00482	RSBA7_01124
KPN_00106	RSBA7_02523
KPN_00227	RSBA7_01752
KPN_03736	RSBA7_02864
KPN_02889	RSBA7_01038
KPN_02769	RSBA7_00896
KPN_03979	RSBA7_02240
KPN_02770	RSBA7_01311
KPN_03980	RSBA7_02242
KPN_02771	RSBA7_01310
KPN_03983	RSBA7_00137
KPN_02772	RSBA7_01309
KPN_02773	RSBA7_01304
KPN_02410	RSBA7_01044
KPN_01202	RSBA7_01529
KPN_03745	RSBA7_02214
KPN_03624	RSBA7_02726
KPN_00478	RSBA7_00618
KPN_00235	RSBA7_00547
KPN_00112	RSBA7_02500
KPN_00111	RSBA7_02227
KPN_00472	RSBA7_01566
KPN_03846	RSBA7_01289
KPN_03845	RSBA7_01287
KPN_02758	RSBA7_01358
KPN_03847	RSBA7_01290
KPN_03608	RSBA7_00412
KPN_03607	RSBA7_00413
KPN_01791	RSBA7_01945
KPN_02761	RSBA7_00896
KPN_02882	RSBA7_01561
KPN_03972	RSBA7_00746
KPN_02762	RSBA7_03672
KPN_02762	RSBA7_02556
KPN_02641	RSBA7_00877
KPN_00585	RSBA7_02402
KPN_00585	RSBA7_02897
KPN_03974	RSBA7_00389
KPN_02764	RSBA7_03672
KPN_02764	RSBA7_02556
KPN_03852	RSBA7_01343
KPN_03854	RSBA7_01780
KPN_03854	RSBA7_02561
KPN_00103	RSBA7_02511
KPN_00464	RSBA7_03045
KPN_00100	RSBA7_02532
KPN_00221	RSBA7_01111
KPN_00208	RSBA7_02510
KPN_01538	RSBA7_01673
KPN_01538	RSBA7_02070
KPN_01539	RSBA7_01672
KPN_01539	RSBA7_02069
KPN_02629	RSBA7_03971
KPN_02991	RSBA7_02402
KPN_02991	RSBA7_02897
KPN_01540	RSBA7_02068
KPN_02750	RSBA7_01137
KPN_01661	RSBA7_03234
KPN_03963	RSBA7_00894
KPN_01542	RSBA7_02066
KPN_03962	RSBA7_03889
KPN_03965	RSBA7_00745
KPN_02876	RSBA7_00782
KPN_03964	RSBA7_00608
KPN_01787	RSBA7_01960
KPN_00456	RSBA7_02298
KPN_00213	RSBA7_00899
KPN_00212	RSBA7_00900
KPN_00211	RSBA7_00901
KPN_00211	RSBA7_03080
KPN_00451	RSBA7_00417
KPN_00839	RSBA7_03107
KPN_00955	RSBA7_00983
KPN_00715	RSBA7_03078
KPN_00716	RSBA7_03077
KPN_00838	RSBA7_03836
KPN_00838	RSBA7_02076
KPN_00838	RSBA7_00489
KPN_00838	RSBA7_03106
KPN_01927	RSBA7_01551
KPN_00717	RSBA7_03076
KPN_00941	RSBA7_02019
KPN_00942	RSBA7_02295
KPN_00701	RSBA7_00840
KPN_01912	RSBA7_03478
KPN_00945	RSBA7_02297
KPN_04074	RSBA7_01921
KPN_01906	RSBA7_03784
KPN_00935	RSBA7_00882
KPN_00936	RSBA7_00886
KPN_00937	RSBA7_00887
KPN_00920	RSBA7_02121
KPN_00800	RSBA7_00224
KPN_00801	RSBA7_01463
KPN_00803	RSBA7_01464
KPN_00925	RSBA7_02104
KPN_04178	RSBA7_03891
KPN_04178	RSBA7_01227
KPN_04291	RSBA7_03769
KPN_04175	RSBA7_02961
KPN_00754	RSBA7_02228
KPN_02812	RSBA7_01102
KPN_00513	RSBA7_03670
KPN_00514	RSBA7_03669
KPN_00758	RSBA7_02371
KPN_00758	RSBA7_00794
KPN_00516	RSBA7_02557
KPN_02821	RSBA7_02007
KPN_01853	RSBA7_02899
KPN_00864	RSBA7_01342
KPN_00865	RSBA7_01343
KPN_00502	RSBA7_01000
KPN_00986	RSBA7_00879
KPN_02923	RSBA7_02371
KPN_02923	RSBA7_00794
KPN_02805	RSBA7_01349
KPN_00507	RSBA7_01218
KPN_00871	RSBA7_00289
KPN_00992	RSBA7_02004
KPN_00632	RSBA7_01647
KPN_02910	RSBA7_03186
KPN_02910	RSBA7_03136
KPN_00974	RSBA7_01621
KPN_00732	RSBA7_01238
KPN_00733	RSBA7_01239
KPN_00612	RSBA7_03736
KPN_00734	RSBA7_00577
KPN_00735	RSBA7_00578
KPN_00861	RSBA7_01339
KPN_00862	RSBA7_01340
KPN_00862	RSBA7_01134
KPN_01952	RSBA7_00651
KPN_00863	RSBA7_01341
KPN_01819	RSBA7_00825
KPN_00842	RSBA7_02496
KPN_00963	RSBA7_02410
KPN_00967	RSBA7_01003
KPN_00968	RSBA7_01965
KPN_00605	RSBA7_03886
KPN_00727	RSBA7_01833
KPN_00730	RSBA7_01836
KPN_00731	RSBA7_01835
KPN_00973	RSBA7_01305
KPN_04094	RSBA7_03955
