KPN_04005	RSRUN2340_01147
KPN_00040	RSRUN2340_01302
KPN_00281	RSRUN2340_02913
KPN_01254	RSRUN2340_01227
KPN_01255	RSRUN2340_04216
KPN_01255	RSRUN2340_02983
KPN_00280	RSRUN2340_02842
KPN_03795	RSRUN2340_03776
KPN_03432	RSRUN2340_01103
KPN_02587	RSRUN2340_02665
KPN_02587	RSRUN2340_05145
KPN_02587	RSRUN2340_01914
KPN_01256	RSRUN2340_04217
KPN_01256	RSRUN2340_02982
KPN_03798	RSRUN2340_03773
KPN_01015	RSRUN2340_05127
KPN_03797	RSRUN2340_03772
KPN_02468	RSRUN2340_00359
KPN_03799	RSRUN2340_01223
KPN_00049	RSRUN2340_00561
KPN_00169	RSRUN2340_00691
KPN_00046	RSRUN2340_00705
KPN_00045	RSRUN2340_02268
KPN_00044	RSRUN2340_03192
KPN_03792	RSRUN2340_03148
KPN_01492	RSRUN2340_00520
KPN_01493	RSRUN2340_02553
KPN_02206	RSRUN2340_02112
KPN_02206	RSRUN2340_01283
KPN_04627	RSRUN2340_02877
KPN_04626	RSRUN2340_01088
KPN_03537	RSRUN2340_03391
KPN_02328	RSRUN2340_02714
KPN_02330	RSRUN2340_03403
KPN_02330	RSRUN2340_02118
KPN_00393	RSRUN2340_01653
KPN_00393	RSRUN2340_03013
KPN_00392	RSRUN2340_01654
KPN_00392	RSRUN2340_03012
KPN_03540	RSRUN2340_04276
KPN_02573	RSRUN2340_01399
KPN_03785	RSRUN2340_04754
KPN_03664	RSRUN2340_02881
KPN_00391	RSRUN2340_03011
KPN_02211	RSRUN2340_04498
KPN_02696	RSRUN2340_00524
KPN_02696	RSRUN2340_01106
KPN_02696	RSRUN2340_03525
KPN_02696	RSRUN2340_00937
KPN_02696	RSRUN2340_04451
KPN_01365	RSRUN2340_02213
KPN_02213	RSRUN2340_04496
KPN_02455	RSRUN2340_01329
KPN_03665	RSRUN2340_02882
KPN_02214	RSRUN2340_04495
KPN_01126	RSRUN2340_01927
KPN_02215	RSRUN2340_04494
KPN_01127	RSRUN2340_02851
KPN_02458	RSRUN2340_02953
KPN_00395	RSRUN2340_00174
KPN_00394	RSRUN2340_03014
KPN_00394	RSRUN2340_01652
KPN_00139	RSRUN2340_02831
KPN_01106	RSRUN2340_00968
KPN_01469	RSRUN2340_04115
KPN_04615	RSRUN2340_00803
KPN_04736	RSRUN2340_04915
KPN_04739	RSRUN2340_04261
KPN_03409	RSRUN2340_03806
KPN_00140	RSRUN2340_02510
KPN_01472	RSRUN2340_04118
KPN_01473	RSRUN2340_04119
KPN_03895	RSRUN2340_02962
KPN_03895	RSRUN2340_01271
KPN_01474	RSRUN2340_02970
KPN_04621	RSRUN2340_02465
KPN_02322	RSRUN2340_02954
KPN_02322	RSRUN2340_00580
KPN_02564	RSRUN2340_02635
KPN_01475	RSRUN2340_02971
KPN_04623	RSRUN2340_02665
KPN_04623	RSRUN2340_05145
KPN_04623	RSRUN2340_01914
KPN_02202	RSRUN2340_03553
KPN_02202	RSRUN2340_00960
KPN_03897	RSRUN2340_01766
KPN_01476	RSRUN2340_00269
KPN_03896	RSRUN2340_02963
KPN_03896	RSRUN2340_01272
KPN_02566	RSRUN2340_02635
KPN_02445	RSRUN2340_03740
KPN_01236	RSRUN2340_05106
KPN_01478	RSRUN2340_00945
KPN_01479	RSRUN2340_02973
KPN_00024	RSRUN2340_02560
KPN_01590	RSRUN2340_00768
KPN_00142	RSRUN2340_02709
KPN_00021	RSRUN2340_02576
KPN_01470	RSRUN2340_04116
KPN_00020	RSRUN2340_02575
KPN_00141	RSRUN2340_02711
KPN_02560	RSRUN2340_02504
KPN_01471	RSRUN2340_04117
KPN_00008	RSRUN2340_01927
KPN_00369	RSRUN2340_02864
KPN_02305	RSRUN2340_00039
KPN_02305	RSRUN2340_02251
KPN_02305	RSRUN2340_00913
KPN_02668	RSRUN2340_01161
KPN_03757	RSRUN2340_02977
KPN_03878	RSRUN2340_00362
KPN_02306	RSRUN2340_01691
KPN_04607	RSRUN2340_03470
KPN_04607	RSRUN2340_03471
KPN_02308	RSRUN2340_01777
KPN_02309	RSRUN2340_02288
KPN_02550	RSRUN2340_00125
KPN_02671	RSRUN2340_01158
KPN_03761	RSRUN2340_03067
KPN_03760	RSRUN2340_03066
KPN_02672	RSRUN2340_01157
KPN_00370	RSRUN2340_02865
KPN_01221	RSRUN2340_02553
KPN_03521	RSRUN2340_04280
KPN_03521	RSRUN2340_02138
KPN_01464	RSRUN2340_01433
KPN_02674	RSRUN2340_01155
KPN_02797	RSRUN2340_01091
KPN_02797	RSRUN2340_02863
KPN_02798	RSRUN2340_01927
KPN_03767	RSRUN2340_03073
KPN_02677	RSRUN2340_01151
KPN_01104	RSRUN2340_02155
KPN_02799	RSRUN2340_02851
KPN_00256	RSRUN2340_05126
KPN_00256	RSRUN2340_00052
KPN_00255	RSRUN2340_00053
KPN_00134	RSRUN2340_00309
KPN_00373	RSRUN2340_00975
KPN_00372	RSRUN2340_00976
KPN_03109	RSRUN2340_01435
KPN_03108	RSRUN2340_01436
KPN_03112	RSRUN2340_03264
KPN_03112	RSRUN2340_03693
KPN_03114	RSRUN2340_02539
KPN_01056	RSRUN2340_00293
KPN_00083	RSRUN2340_01136
KPN_00082	RSRUN2340_01135
KPN_03355	RSRUN2340_00623
KPN_03113	RSRUN2340_02538
KPN_03597	RSRUN2340_02917
KPN_03357	RSRUN2340_02851
KPN_03599	RSRUN2340_03050
KPN_00080	RSRUN2340_01140
KPN_03236	RSRUN2340_02267
KPN_04325	RSRUN2340_04212
KPN_02380	RSRUN2340_00506
KPN_00089	RSRUN2340_02946
KPN_00088	RSRUN2340_02947
KPN_04441	RSRUN2340_02213
KPN_03352	RSRUN2340_00419
KPN_04440	RSRUN2340_01777
KPN_04308	RSRUN2340_00159
KPN_03339	RSRUN2340_03402
KPN_04428	RSRUN2340_02767
KPN_02495	RSRUN2340_00707
KPN_00195	RSRUN2340_01730
KPN_04674	RSRUN2340_02656
KPN_04674	RSRUN2340_01917
KPN_02496	RSRUN2340_00708
KPN_00194	RSRUN2340_01731
KPN_01165	RSRUN2340_01849
KPN_04673	RSRUN2340_02657
KPN_04673	RSRUN2340_01916
KPN_02497	RSRUN2340_00706
KPN_00193	RSRUN2340_01732
KPN_03587	RSRUN2340_01310
KPN_04313	RSRUN2340_02869
KPN_03466	RSRUN2340_01179
KPN_03586	RSRUN2340_01311
KPN_00192	RSRUN2340_01733
KPN_03465	RSRUN2340_01177
KPN_04675	RSRUN2340_01910
KPN_04675	RSRUN2340_02659
KPN_03226	RSRUN2340_01906
KPN_04557	RSRUN2340_03802
KPN_03225	RSRUN2340_02671
KPN_02379	RSRUN2340_00508
KPN_03467	RSRUN2340_01180
KPN_04677	RSRUN2340_01918
KPN_03349	RSRUN2340_01926
KPN_03106	RSRUN2340_01955
KPN_02490	RSRUN2340_00708
KPN_00079	RSRUN2340_01221
KPN_02491	RSRUN2340_00706
KPN_04670	RSRUN2340_02668
KPN_04670	RSRUN2340_04578
KPN_00078	RSRUN2340_01219
KPN_00077	RSRUN2340_01220
KPN_00198	RSRUN2340_01996
KPN_03580	RSRUN2340_02684
KPN_04430	RSRUN2340_01127
KPN_03341	RSRUN2340_03400
KPN_01041	RSRUN2340_03409
KPN_02494	RSRUN2340_00709
KPN_03340	RSRUN2340_03401
KPN_01284	RSRUN2340_01992
KPN_03461	RSRUN2340_00726
KPN_04671	RSRUN2340_02655
KPN_04671	RSRUN2340_01919
KPN_00184	RSRUN2340_01741
KPN_04663	RSRUN2340_00961
KPN_04783	RSRUN2340_05128
KPN_04783	RSRUN2340_01381
KPN_04665	RSRUN2340_02532
KPN_02365	RSRUN2340_04755
KPN_02366	RSRUN2340_05087
KPN_03454	RSRUN2340_04756
KPN_04785	RSRUN2340_02536
KPN_02367	RSRUN2340_05086
KPN_02488	RSRUN2340_00709
KPN_04304	RSRUN2340_02473
KPN_04424	RSRUN2340_01889
KPN_02489	RSRUN2340_00707
KPN_02369	RSRUN2340_00624
KPN_02481	RSRUN2340_03042
KPN_00187	RSRUN2340_01739
KPN_02482	RSRUN2340_03041
KPN_01272	RSRUN2340_01206
KPN_00186	RSRUN2340_01737
KPN_00065	RSRUN2340_04720
KPN_04782	RSRUN2340_05097
KPN_01018	RSRUN2340_03222
KPN_03318	RSRUN2340_02195
KPN_01139	RSRUN2340_02820
KPN_02594	RSRUN2340_01552
KPN_02594	RSRUN2340_01553
KPN_01142	RSRUN2340_02824
KPN_01144	RSRUN2340_02607
KPN_02476	RSRUN2340_03048
KPN_01266	RSRUN2340_04129
KPN_02598	RSRUN2340_02960
KPN_03688	RSRUN2340_00099
KPN_02235	RSRUN2340_02997
KPN_04413	RSRUN2340_01515
KPN_02478	RSRUN2340_03046
KPN_02237	RSRUN2340_00431
KPN_02116	RSRUN2340_05110
KPN_02238	RSRUN2340_00429
KPN_00179	RSRUN2340_01755
KPN_03682	RSRUN2340_02872
KPN_02592	RSRUN2340_00654
KPN_02230	RSRUN2340_02039
KPN_00316	RSRUN2340_03086
KPN_00678	RSRUN2340_00524
KPN_00678	RSRUN2340_01106
KPN_00678	RSRUN2340_03525
KPN_00678	RSRUN2340_00937
KPN_00678	RSRUN2340_04451
KPN_01526	RSRUN2340_04468
KPN_01526	RSRUN2340_02830
KPN_03947	RSRUN2340_02247
KPN_00679	RSRUN2340_00523
KPN_01527	RSRUN2340_02833
KPN_01527	RSRUN2340_04470
KPN_03825	RSRUN2340_00053
KPN_02738	RSRUN2340_05084
KPN_00680	RSRUN2340_00522
KPN_00681	RSRUN2340_00521
KPN_00681	RSRUN2340_00936
KPN_03952	RSRUN2340_00390
KPN_02862	RSRUN2340_02204
KPN_03951	RSRUN2340_02003
KPN_03954	RSRUN2340_00388
KPN_02743	RSRUN2340_04017
KPN_02865	RSRUN2340_02005
KPN_00440	RSRUN2340_04532
KPN_00309	RSRUN2340_01552
KPN_00309	RSRUN2340_01553
KPN_03813	RSRUN2340_01892
KPN_02844	RSRUN2340_01943
KPN_00667	RSRUN2340_00089
KPN_03812	RSRUN2340_01891
KPN_01636	RSRUN2340_04718
KPN_01999	RSRUN2340_04972
KPN_03817	RSRUN2340_02556
KPN_02848	RSRUN2340_01948
KPN_01517	RSRUN2340_04845
KPN_03816	RSRUN2340_02555
KPN_03816	RSRUN2340_03565
KPN_03819	RSRUN2340_02558
KPN_03818	RSRUN2340_02557
KPN_01880	RSRUN2340_04495
KPN_01881	RSRUN2340_04496
KPN_00792	RSRUN2340_02724
KPN_00793	RSRUN2340_02725
KPN_01883	RSRUN2340_04498
KPN_00674	RSRUN2340_02845
KPN_00795	RSRUN2340_02727
KPN_00796	RSRUN2340_02726
KPN_00312	RSRUN2340_00413
KPN_03809	RSRUN2340_01888
KPN_00414	RSRUN2340_00376
KPN_02833	RSRUN2340_01714
KPN_03923	RSRUN2340_00570
KPN_03801	RSRUN2340_00483
KPN_02834	RSRUN2340_01716
KPN_03922	RSRUN2340_00568
KPN_02713	RSRUN2340_03883
KPN_00778	RSRUN2340_04719
KPN_00537	RSRUN2340_04951
KPN_03807	RSRUN2340_03804
KPN_02719	RSRUN2340_01354
KPN_01990	RSRUN2340_00564
KPN_01992	RSRUN2340_03001
KPN_03930	RSRUN2340_05144
KPN_01994	RSRUN2340_02645
KPN_00664	RSRUN2340_00359
KPN_03811	RSRUN2340_01890
KPN_03932	RSRUN2340_05146
KPN_03931	RSRUN2340_02665
KPN_03931	RSRUN2340_05145
KPN_03931	RSRUN2340_01914
KPN_03810	RSRUN2340_01889
KPN_00886	RSRUN2340_01528
KPN_02701	RSRUN2340_03002
KPN_02702	RSRUN2340_01234
KPN_01976	RSRUN2340_00806
KPN_00645	RSRUN2340_01198
KPN_02824	RSRUN2340_02704
KPN_00768	RSRUN2340_00386
KPN_01978	RSRUN2340_00538
KPN_02825	RSRUN2340_02572
KPN_02705	RSRUN2340_01231
KPN_03915	RSRUN2340_02189
KPN_03915	RSRUN2340_04464
KPN_02706	RSRUN2340_01230
KPN_02827	RSRUN2340_01320
KPN_00773	RSRUN2340_04634
KPN_01622	RSRUN2340_03372
KPN_00119	RSRUN2340_01390
KPN_00118	RSRUN2340_01389
KPN_00116	RSRUN2340_04951
KPN_02778	RSRUN2340_02671
KPN_02899	RSRUN2340_02565
KPN_03746	RSRUN2340_02980
KPN_02779	RSRUN2340_01037
KPN_01449	RSRUN2340_03225
KPN_03869	RSRUN2340_03807
KPN_00480	RSRUN2340_02002
KPN_03752	RSRUN2340_04783
KPN_03751	RSRUN2340_01384
KPN_01211	RSRUN2340_02926
KPN_02784	RSRUN2340_03221
KPN_04601	RSRUN2340_04951
KPN_03754	RSRUN2340_02537
KPN_03996	RSRUN2340_01077
KPN_04843	RSRUN2340_01432
KPN_01455	RSRUN2340_03222
KPN_03753	RSRUN2340_04782
KPN_01576	RSRUN2340_03568
KPN_03998	RSRUN2340_01079
KPN_02303	RSRUN2340_03807
KPN_00367	RSRUN2340_00750
KPN_00366	RSRUN2340_00753
KPN_00124	RSRUN2340_03856
KPN_00484	RSRUN2340_01386
KPN_00120	RSRUN2340_01392
KPN_00482	RSRUN2340_01998
KPN_00106	RSRUN2340_02923
KPN_00227	RSRUN2340_01299
KPN_03736	RSRUN2340_03192
KPN_02889	RSRUN2340_02157
KPN_02769	RSRUN2340_02300
KPN_03979	RSRUN2340_02579
KPN_02770	RSRUN2340_01802
KPN_03980	RSRUN2340_02581
KPN_02771	RSRUN2340_01803
KPN_03983	RSRUN2340_00161
KPN_02772	RSRUN2340_01804
KPN_02773	RSRUN2340_01813
KPN_02410	RSRUN2340_02149
KPN_01202	RSRUN2340_01555
KPN_03745	RSRUN2340_02553
KPN_03624	RSRUN2340_03062
KPN_00478	RSRUN2340_00627
KPN_00235	RSRUN2340_00582
KPN_00112	RSRUN2340_02898
KPN_00111	RSRUN2340_02566
KPN_00472	RSRUN2340_01513
KPN_03846	RSRUN2340_01830
KPN_03845	RSRUN2340_01832
KPN_02758	RSRUN2340_01749
KPN_03847	RSRUN2340_01829
KPN_03608	RSRUN2340_00447
KPN_03607	RSRUN2340_00448
KPN_01791	RSRUN2340_01113
KPN_02761	RSRUN2340_02300
KPN_02882	RSRUN2340_01518
KPN_03972	RSRUN2340_00718
KPN_02762	RSRUN2340_04848
KPN_02762	RSRUN2340_02958
KPN_02641	RSRUN2340_02319
KPN_00585	RSRUN2340_03222
KPN_03974	RSRUN2340_00424
KPN_02764	RSRUN2340_04848
KPN_02764	RSRUN2340_02958
KPN_03852	RSRUN2340_01766
KPN_03854	RSRUN2340_02962
KPN_03854	RSRUN2340_01271
KPN_00103	RSRUN2340_02911
KPN_00464	RSRUN2340_02404
KPN_00464	RSRUN2340_03456
KPN_00100	RSRUN2340_02934
KPN_00221	RSRUN2340_02012
KPN_00208	RSRUN2340_02910
KPN_01538	RSRUN2340_01358
KPN_01538	RSRUN2340_00943
KPN_01539	RSRUN2340_01359
KPN_01539	RSRUN2340_00944
KPN_02629	RSRUN2340_04258
KPN_02991	RSRUN2340_03222
KPN_01540	RSRUN2340_00945
KPN_02750	RSRUN2340_01985
KPN_01661	RSRUN2340_03752
KPN_03963	RSRUN2340_02302
KPN_01542	RSRUN2340_00947
KPN_03962	RSRUN2340_04482
KPN_03965	RSRUN2340_00717
KPN_02876	RSRUN2340_00767
KPN_03964	RSRUN2340_00615
KPN_01787	RSRUN2340_01093
KPN_00456	RSRUN2340_02652
KPN_00213	RSRUN2340_02297
KPN_00212	RSRUN2340_02296
KPN_00211	RSRUN2340_03496
KPN_00211	RSRUN2340_02295
KPN_00451	RSRUN2340_00452
KPN_00839	RSRUN2340_03526
KPN_00955	RSRUN2340_02213
KPN_00715	RSRUN2340_03494
KPN_00716	RSRUN2340_03493
KPN_00838	RSRUN2340_00524
KPN_00838	RSRUN2340_01106
KPN_00838	RSRUN2340_03525
KPN_00838	RSRUN2340_00937
KPN_00838	RSRUN2340_04451
KPN_01927	RSRUN2340_01528
KPN_00717	RSRUN2340_03492
KPN_00941	RSRUN2340_00998
KPN_00942	RSRUN2340_02649
KPN_00701	RSRUN2340_00825
KPN_00945	RSRUN2340_02651
KPN_04074	RSRUN2340_01135
KPN_01906	RSRUN2340_04951
KPN_00935	RSRUN2340_02314
KPN_00936	RSRUN2340_02310
KPN_00937	RSRUN2340_02309
KPN_00920	RSRUN2340_02458
KPN_00800	RSRUN2340_00298
KPN_00801	RSRUN2340_01664
KPN_00803	RSRUN2340_01663
KPN_00925	RSRUN2340_02453
KPN_04178	RSRUN2340_01898
KPN_04178	RSRUN2340_04333
KPN_04291	RSRUN2340_04526
KPN_04175	RSRUN2340_03392
KPN_00754	RSRUN2340_02567
KPN_02812	RSRUN2340_02021
KPN_00513	RSRUN2340_04850
KPN_00514	RSRUN2340_04851
KPN_00758	RSRUN2340_02740
KPN_00758	RSRUN2340_00782
KPN_00516	RSRUN2340_02959
KPN_02821	RSRUN2340_01041
KPN_01853	RSRUN2340_03224
KPN_00864	RSRUN2340_01767
KPN_00865	RSRUN2340_01766
KPN_00502	RSRUN2340_02195
KPN_00986	RSRUN2340_02317
KPN_02923	RSRUN2340_02740
KPN_02923	RSRUN2340_00782
KPN_02805	RSRUN2340_01758
KPN_00871	RSRUN2340_00359
KPN_00992	RSRUN2340_01044
KPN_00632	RSRUN2340_01384
KPN_02910	RSRUN2340_03554
KPN_02910	RSRUN2340_03609
KPN_00974	RSRUN2340_01411
KPN_00732	RSRUN2340_01887
KPN_00733	RSRUN2340_01886
KPN_00734	RSRUN2340_00604
KPN_00735	RSRUN2340_00605
KPN_00861	RSRUN2340_01770
KPN_00862	RSRUN2340_01769
KPN_00862	RSRUN2340_01988
KPN_01952	RSRUN2340_00655
KPN_00863	RSRUN2340_01768
KPN_01819	RSRUN2340_00810
KPN_01819	RSRUN2340_02072
KPN_00842	RSRUN2340_02894
KPN_00963	RSRUN2340_02805
KPN_00967	RSRUN2340_02192
KPN_00968	RSRUN2340_01089
KPN_00727	RSRUN2340_01218
KPN_00969	RSRUN2340_01808
KPN_00970	RSRUN2340_01809
KPN_00971	RSRUN2340_01810
KPN_00730	RSRUN2340_01215
KPN_00972	RSRUN2340_01811
KPN_00731	RSRUN2340_01216
KPN_00973	RSRUN2340_01812
KPN_00852	RSRUN2340_02137
KPN_04094	RSRUN2340_04274
KPN_04096	RSRUN2340_02853
KPN_04095	RSRUN2340_02852
