KPN_04005	RSGMI1000_02110
KPN_02468	RSGMI1000_00332
KPN_03799	RSGMI1000_02034
KPN_00049	RSGMI1000_00529
KPN_00169	RSGMI1000_00688
KPN_00046	RSGMI1000_00703
KPN_00045	RSGMI1000_00966
KPN_00044	RSGMI1000_03160
KPN_03792	RSGMI1000_03109
KPN_01492	RSGMI1000_00489
KPN_01493	RSGMI1000_02487
KPN_02206	RSGMI1000_01927
KPN_02206	RSGMI1000_03556
KPN_02206	RSGMI1000_01125
KPN_04627	RSGMI1000_02834
KPN_04626	RSGMI1000_02171
KPN_03537	RSGMI1000_03343
KPN_02328	RSGMI1000_02683
KPN_02330	RSGMI1000_01119
KPN_02330	RSGMI1000_03536
KPN_02330	RSGMI1000_03356
KPN_00393	RSGMI1000_01909
KPN_00393	RSGMI1000_02970
KPN_00392	RSGMI1000_02969
KPN_00392	RSGMI1000_01910
KPN_03540	RSGMI1000_04290
KPN_02573	RSGMI1000_01653
KPN_03785	RSGMI1000_04649
KPN_03664	RSGMI1000_02838
KPN_00391	RSGMI1000_02968
KPN_02211	RSGMI1000_04438
KPN_02696	RSGMI1000_03470
KPN_02696	RSGMI1000_02151
KPN_02696	RSGMI1000_02307
KPN_02696	RSGMI1000_00493
KPN_02696	RSGMI1000_04389
KPN_01365	RSGMI1000_01028
KPN_02213	RSGMI1000_04436
KPN_02455	RSGMI1000_01584
KPN_03665	RSGMI1000_02839
KPN_02214	RSGMI1000_04435
KPN_01126	RSGMI1000_01262
KPN_02215	RSGMI1000_04434
KPN_03547	RSGMI1000_02189
KPN_01127	RSGMI1000_02802
KPN_02458	RSGMI1000_02907
KPN_00395	RSGMI1000_00157
KPN_00394	RSGMI1000_01908
KPN_00394	RSGMI1000_02971
KPN_00139	RSGMI1000_02782
KPN_01106	RSGMI1000_02276
KPN_01469	RSGMI1000_04068
KPN_04615	RSGMI1000_00789
KPN_04736	RSGMI1000_04385
KPN_04739	RSGMI1000_04277
KPN_03409	RSGMI1000_03753
KPN_00140	RSGMI1000_02437
KPN_01472	RSGMI1000_04071
KPN_01473	RSGMI1000_04072
KPN_03895	RSGMI1000_02916
KPN_03895	RSGMI1000_01939
KPN_01474	RSGMI1000_02925
KPN_04621	RSGMI1000_02399
KPN_02322	RSGMI1000_00550
KPN_02322	RSGMI1000_02908
KPN_02564	RSGMI1000_02567
KPN_01475	RSGMI1000_02926
KPN_04623	RSGMI1000_01273
KPN_04623	RSGMI1000_05082
KPN_04623	RSGMI1000_02809
KPN_02202	RSGMI1000_02284
KPN_02202	RSGMI1000_03499
KPN_03897	RSGMI1000_01414
KPN_01476	RSGMI1000_00248
KPN_03896	RSGMI1000_02917
KPN_03896	RSGMI1000_01938
KPN_02566	RSGMI1000_02567
KPN_02445	RSGMI1000_03691
KPN_01236	RSGMI1000_05034
KPN_01478	RSGMI1000_02299
KPN_01479	RSGMI1000_02928
KPN_00024	RSGMI1000_02494
KPN_01590	RSGMI1000_00753
KPN_00142	RSGMI1000_02678
KPN_00021	RSGMI1000_02510
KPN_01470	RSGMI1000_04069
KPN_00020	RSGMI1000_02509
KPN_00141	RSGMI1000_02680
KPN_02560	RSGMI1000_02431
KPN_01471	RSGMI1000_04070
KPN_00008	RSGMI1000_01262
KPN_00369	RSGMI1000_02820
KPN_02305	RSGMI1000_02338
KPN_02305	RSGMI1000_00995
KPN_02668	RSGMI1000_02096
KPN_03757	RSGMI1000_02932
KPN_03878	RSGMI1000_00335
KPN_02306	RSGMI1000_01490
KPN_04607	RSGMI1000_03424
KPN_02308	RSGMI1000_01403
KPN_02309	RSGMI1000_00946
KPN_02550	RSGMI1000_00102
KPN_02671	RSGMI1000_02099
KPN_03761	RSGMI1000_03027
KPN_03760	RSGMI1000_03026
KPN_02672	RSGMI1000_02100
KPN_00370	RSGMI1000_02821
KPN_01221	RSGMI1000_02487
KPN_03521	RSGMI1000_04294
KPN_03521	RSGMI1000_01100
KPN_01464	RSGMI1000_01687
KPN_02674	RSGMI1000_02102
KPN_02797	RSGMI1000_02819
KPN_02797	RSGMI1000_02168
KPN_02798	RSGMI1000_01262
KPN_03767	RSGMI1000_03033
KPN_02677	RSGMI1000_02106
KPN_01104	RSGMI1000_01085
KPN_02799	RSGMI1000_02802
KPN_00256	RSGMI1000_00030
KPN_00256	RSGMI1000_05060
KPN_00255	RSGMI1000_00031
KPN_00134	RSGMI1000_00282
KPN_00373	RSGMI1000_02269
KPN_00372	RSGMI1000_02268
KPN_03109	RSGMI1000_01689
KPN_03108	RSGMI1000_01690
KPN_03112	RSGMI1000_03231
KPN_03112	RSGMI1000_03641
KPN_03114	RSGMI1000_02473
KPN_01056	RSGMI1000_00267
KPN_00083	RSGMI1000_02121
KPN_00082	RSGMI1000_02122
KPN_03355	RSGMI1000_00589
KPN_03113	RSGMI1000_02472
KPN_03597	RSGMI1000_02873
KPN_03357	RSGMI1000_02802
KPN_03599	RSGMI1000_03010
KPN_00080	RSGMI1000_02117
KPN_03236	RSGMI1000_00967
KPN_04325	RSGMI1000_04141
KPN_02380	RSGMI1000_00475
KPN_00089	RSGMI1000_02900
KPN_00088	RSGMI1000_02901
KPN_04441	RSGMI1000_01028
KPN_03352	RSGMI1000_00391
KPN_04440	RSGMI1000_01403
KPN_04308	RSGMI1000_00138
KPN_03339	RSGMI1000_03355
KPN_04428	RSGMI1000_02735
KPN_02495	RSGMI1000_00705
KPN_00195	RSGMI1000_01451
KPN_04674	RSGMI1000_01270
KPN_02496	RSGMI1000_00706
KPN_00194	RSGMI1000_01450
KPN_01165	RSGMI1000_01338
KPN_04673	RSGMI1000_01271
KPN_02497	RSGMI1000_00704
KPN_00193	RSGMI1000_01449
KPN_03587	RSGMI1000_01565
KPN_04313	RSGMI1000_02826
KPN_03466	RSGMI1000_02078
KPN_03586	RSGMI1000_01566
KPN_00192	RSGMI1000_01448
KPN_03465	RSGMI1000_02080
KPN_04675	RSGMI1000_01277
KPN_03226	RSGMI1000_01281
KPN_03225	RSGMI1000_02590
KPN_02379	RSGMI1000_00477
KPN_03467	RSGMI1000_02077
KPN_04677	RSGMI1000_01269
KPN_03349	RSGMI1000_01263
KPN_03106	RSGMI1000_01234
KPN_02490	RSGMI1000_00706
KPN_00079	RSGMI1000_02036
KPN_02491	RSGMI1000_00704
KPN_04670	RSGMI1000_04516
KPN_04670	RSGMI1000_02587
KPN_00078	RSGMI1000_02038
KPN_00077	RSGMI1000_02037
KPN_00198	RSGMI1000_01192
KPN_03580	RSGMI1000_02604
KPN_04430	RSGMI1000_02130
KPN_03341	RSGMI1000_03353
KPN_01041	RSGMI1000_03361
KPN_02494	RSGMI1000_00707
KPN_03340	RSGMI1000_03354
KPN_01284	RSGMI1000_01196
KPN_03461	RSGMI1000_00723
KPN_04671	RSGMI1000_01268
KPN_02118	RSGMI1000_04354
KPN_02119	RSGMI1000_04351
KPN_00184	RSGMI1000_01440
KPN_04663	RSGMI1000_02283
KPN_04783	RSGMI1000_01636
KPN_04783	RSGMI1000_05062
KPN_04665	RSGMI1000_02466
KPN_02365	RSGMI1000_04650
KPN_02366	RSGMI1000_05013
KPN_03454	RSGMI1000_04651
KPN_04785	RSGMI1000_02470
KPN_02367	RSGMI1000_05012
KPN_02488	RSGMI1000_00707
KPN_04304	RSGMI1000_02407
KPN_04424	RSGMI1000_02184
KPN_04424	RSGMI1000_01298
KPN_02489	RSGMI1000_00705
KPN_04787	RSGMI1000_04350
KPN_02369	RSGMI1000_00590
KPN_02481	RSGMI1000_03002
KPN_00187	RSGMI1000_01442
KPN_02482	RSGMI1000_03001
KPN_01272	RSGMI1000_02051
KPN_00186	RSGMI1000_01444
KPN_00065	RSGMI1000_04604
KPN_04782	RSGMI1000_05025
KPN_01018	RSGMI1000_03192
KPN_01018	RSGMI1000_02155
KPN_03318	RSGMI1000_01045
KPN_01139	RSGMI1000_02771
KPN_02594	RSGMI1000_01808
KPN_02594	RSGMI1000_01807
KPN_01142	RSGMI1000_02775
KPN_03442	RSGMI1000_02378
KPN_01144	RSGMI1000_02541
KPN_02476	RSGMI1000_03008
KPN_01266	RSGMI1000_04080
KPN_02598	RSGMI1000_02914
KPN_03688	RSGMI1000_00074
KPN_02235	RSGMI1000_02954
KPN_04413	RSGMI1000_02181
KPN_04413	RSGMI1000_01772
KPN_02478	RSGMI1000_03006
KPN_02237	RSGMI1000_00403
KPN_02116	RSGMI1000_05044
KPN_02238	RSGMI1000_00401
KPN_02117	RSGMI1000_04355
KPN_00179	RSGMI1000_01425
KPN_03682	RSGMI1000_02829
KPN_02592	RSGMI1000_00624
KPN_02230	RSGMI1000_01150
KPN_00316	RSGMI1000_03046
KPN_00678	RSGMI1000_03470
KPN_00678	RSGMI1000_02151
KPN_00678	RSGMI1000_02307
KPN_00678	RSGMI1000_00493
KPN_00678	RSGMI1000_04389
KPN_01526	RSGMI1000_04406
KPN_01526	RSGMI1000_02781
KPN_03947	RSGMI1000_00999
KPN_00679	RSGMI1000_00492
KPN_01527	RSGMI1000_04408
KPN_01527	RSGMI1000_02784
KPN_01527	RSGMI1000_04411
KPN_03825	RSGMI1000_00031
KPN_02738	RSGMI1000_05010
KPN_00680	RSGMI1000_00491
KPN_00681	RSGMI1000_00490
KPN_00681	RSGMI1000_02308
KPN_03952	RSGMI1000_00362
KPN_02862	RSGMI1000_01037
KPN_03951	RSGMI1000_01185
KPN_03951	RSGMI1000_04896
KPN_03954	RSGMI1000_00360
KPN_02743	RSGMI1000_03993
KPN_02865	RSGMI1000_01183
KPN_00440	RSGMI1000_04471
KPN_00309	RSGMI1000_01808
KPN_00309	RSGMI1000_01807
KPN_03813	RSGMI1000_01295
KPN_02844	RSGMI1000_01246
KPN_00667	RSGMI1000_00064
KPN_03812	RSGMI1000_01296
KPN_01636	RSGMI1000_04602
KPN_01999	RSGMI1000_04902
KPN_03817	RSGMI1000_02490
KPN_02848	RSGMI1000_01241
KPN_01517	RSGMI1000_04741
KPN_03816	RSGMI1000_02489
KPN_03816	RSGMI1000_03510
KPN_03819	RSGMI1000_02492
KPN_03818	RSGMI1000_02491
KPN_01880	RSGMI1000_04435
KPN_01881	RSGMI1000_04436
KPN_00792	RSGMI1000_02693
KPN_00793	RSGMI1000_02694
KPN_01883	RSGMI1000_04438
KPN_00674	RSGMI1000_02796
KPN_00795	RSGMI1000_02696
KPN_00796	RSGMI1000_02695
KPN_00312	RSGMI1000_00385
KPN_03809	RSGMI1000_01299
KPN_00414	RSGMI1000_00348
KPN_02833	RSGMI1000_01465
KPN_03923	RSGMI1000_00538
KPN_03801	RSGMI1000_00450
KPN_02834	RSGMI1000_01463
KPN_03922	RSGMI1000_00536
KPN_02713	RSGMI1000_03829
KPN_00778	RSGMI1000_04603
KPN_03807	RSGMI1000_03751
KPN_02719	RSGMI1000_01609
KPN_03928	RSGMI1000_02174
KPN_01990	RSGMI1000_00532
KPN_01992	RSGMI1000_02958
KPN_03930	RSGMI1000_05081
KPN_01994	RSGMI1000_02577
KPN_00664	RSGMI1000_00332
KPN_03811	RSGMI1000_01297
KPN_03932	RSGMI1000_05083
KPN_03931	RSGMI1000_01273
KPN_03931	RSGMI1000_05082
KPN_03931	RSGMI1000_02809
KPN_03810	RSGMI1000_02184
KPN_03810	RSGMI1000_01298
KPN_00886	RSGMI1000_01785
KPN_02701	RSGMI1000_02959
KPN_02702	RSGMI1000_02023
KPN_01976	RSGMI1000_00792
KPN_00645	RSGMI1000_02059
KPN_02824	RSGMI1000_02673
KPN_00768	RSGMI1000_00358
KPN_01978	RSGMI1000_00506
KPN_02825	RSGMI1000_02506
KPN_02705	RSGMI1000_02026
KPN_03915	RSGMI1000_01051
KPN_03915	RSGMI1000_04402
KPN_02706	RSGMI1000_02027
KPN_02827	RSGMI1000_01575
KPN_00773	RSGMI1000_04560
KPN_01622	RSGMI1000_03320
KPN_00119	RSGMI1000_01645
KPN_00118	RSGMI1000_01644
KPN_02778	RSGMI1000_02590
KPN_02899	RSGMI1000_02499
KPN_03746	RSGMI1000_02935
KPN_02779	RSGMI1000_02238
KPN_01449	RSGMI1000_03195
KPN_03869	RSGMI1000_03754
KPN_00480	RSGMI1000_01186
KPN_03752	RSGMI1000_04682
KPN_03751	RSGMI1000_01639
KPN_01211	RSGMI1000_02882
KPN_02784	RSGMI1000_03191
KPN_02542	RSGMI1000_02174
KPN_03754	RSGMI1000_02471
KPN_03996	RSGMI1000_02200
KPN_04843	RSGMI1000_01686
KPN_02543	RSGMI1000_02175
KPN_01455	RSGMI1000_03192
KPN_01455	RSGMI1000_02155
KPN_03753	RSGMI1000_04681
KPN_01576	RSGMI1000_03513
KPN_03998	RSGMI1000_02198
KPN_02303	RSGMI1000_03754
KPN_00367	RSGMI1000_00735
KPN_00366	RSGMI1000_00738
KPN_00124	RSGMI1000_03804
KPN_00484	RSGMI1000_01641
KPN_00120	RSGMI1000_01647
KPN_00482	RSGMI1000_01190
KPN_00106	RSGMI1000_02879
KPN_00227	RSGMI1000_01553
KPN_03736	RSGMI1000_03160
KPN_02889	RSGMI1000_01083
KPN_02769	RSGMI1000_00937
KPN_03979	RSGMI1000_02513
KPN_02770	RSGMI1000_01379
KPN_03980	RSGMI1000_02515
KPN_02771	RSGMI1000_01378
KPN_03983	RSGMI1000_00140
KPN_02772	RSGMI1000_01377
KPN_02773	RSGMI1000_01368
KPN_02410	RSGMI1000_01089
KPN_01202	RSGMI1000_01810
KPN_03745	RSGMI1000_02487
KPN_03624	RSGMI1000_03022
KPN_00478	RSGMI1000_00593
KPN_00235	RSGMI1000_00554
KPN_00112	RSGMI1000_02856
KPN_00111	RSGMI1000_02500
KPN_00472	RSGMI1000_01770
KPN_03846	RSGMI1000_01353
KPN_03845	RSGMI1000_01351
KPN_02758	RSGMI1000_01432
KPN_03847	RSGMI1000_01354
KPN_03608	RSGMI1000_00419
KPN_03607	RSGMI1000_00420
KPN_01791	RSGMI1000_02144
KPN_02761	RSGMI1000_00937
KPN_02882	RSGMI1000_01775
KPN_03972	RSGMI1000_00715
KPN_02762	RSGMI1000_02912
KPN_02762	RSGMI1000_04745
KPN_02641	RSGMI1000_00918
KPN_00585	RSGMI1000_03192
KPN_00585	RSGMI1000_02155
KPN_03974	RSGMI1000_00396
KPN_02764	RSGMI1000_02912
KPN_02764	RSGMI1000_04745
KPN_03852	RSGMI1000_01414
KPN_03854	RSGMI1000_02916
KPN_03854	RSGMI1000_01939
KPN_00103	RSGMI1000_02867
KPN_00464	RSGMI1000_03408
KPN_00100	RSGMI1000_02888
KPN_00221	RSGMI1000_01177
KPN_00208	RSGMI1000_02866
KPN_01538	RSGMI1000_01613
KPN_01538	RSGMI1000_02301
KPN_01539	RSGMI1000_01614
KPN_01539	RSGMI1000_02300
KPN_02629	RSGMI1000_04274
KPN_02991	RSGMI1000_03192
KPN_02991	RSGMI1000_02155
KPN_01540	RSGMI1000_02299
KPN_02750	RSGMI1000_01203
KPN_01661	RSGMI1000_03700
KPN_03963	RSGMI1000_00935
KPN_01542	RSGMI1000_02297
KPN_03962	RSGMI1000_04422
KPN_03965	RSGMI1000_00714
KPN_02876	RSGMI1000_00752
KPN_03964	RSGMI1000_00583
KPN_01787	RSGMI1000_02165
KPN_00456	RSGMI1000_02584
KPN_00213	RSGMI1000_00940
KPN_00212	RSGMI1000_00941
KPN_00211	RSGMI1000_00942
KPN_00211	RSGMI1000_03447
KPN_00451	RSGMI1000_00424
KPN_00839	RSGMI1000_03471
KPN_00955	RSGMI1000_01028
KPN_00715	RSGMI1000_03445
KPN_00716	RSGMI1000_03444
KPN_00838	RSGMI1000_03470
KPN_00838	RSGMI1000_02151
KPN_00838	RSGMI1000_02307
KPN_00838	RSGMI1000_00493
KPN_00838	RSGMI1000_04389
KPN_01927	RSGMI1000_01785
KPN_00717	RSGMI1000_03443
KPN_00941	RSGMI1000_02246
KPN_00942	RSGMI1000_02581
KPN_00701	RSGMI1000_00815
KPN_01912	RSGMI1000_02599
KPN_00945	RSGMI1000_02583
KPN_04074	RSGMI1000_02122
KPN_00935	RSGMI1000_00923
KPN_00936	RSGMI1000_00927
KPN_00937	RSGMI1000_00928
KPN_00920	RSGMI1000_02391
KPN_00800	RSGMI1000_00271
KPN_00801	RSGMI1000_01516
KPN_00803	RSGMI1000_01517
KPN_00925	RSGMI1000_02386
KPN_04178	RSGMI1000_04346
KPN_04178	RSGMI1000_01289
KPN_04291	RSGMI1000_04465
KPN_04175	RSGMI1000_03344
KPN_00754	RSGMI1000_02501
KPN_02812	RSGMI1000_01168
KPN_00513	RSGMI1000_04747
KPN_00514	RSGMI1000_04748
KPN_00758	RSGMI1000_00767
KPN_00758	RSGMI1000_02709
KPN_00516	RSGMI1000_02913
KPN_02821	RSGMI1000_02234
KPN_01853	RSGMI1000_03194
KPN_00864	RSGMI1000_01413
KPN_00865	RSGMI1000_01414
KPN_00502	RSGMI1000_01045
KPN_00986	RSGMI1000_00920
KPN_02923	RSGMI1000_00767
KPN_02923	RSGMI1000_02709
KPN_02805	RSGMI1000_01422
KPN_00871	RSGMI1000_00332
KPN_00992	RSGMI1000_02231
KPN_00632	RSGMI1000_01639
KPN_02910	RSGMI1000_03500
KPN_02910	RSGMI1000_03565
KPN_00974	RSGMI1000_01665
KPN_00732	RSGMI1000_01300
KPN_00733	RSGMI1000_01301
KPN_00734	RSGMI1000_00572
KPN_00735	RSGMI1000_00573
KPN_00861	RSGMI1000_01410
KPN_00862	RSGMI1000_01200
KPN_00862	RSGMI1000_01411
KPN_01952	RSGMI1000_00625
KPN_01952	RSGMI1000_03560
KPN_00863	RSGMI1000_01412
KPN_01819	RSGMI1000_00799
KPN_00842	RSGMI1000_02852
KPN_00967	RSGMI1000_01048
KPN_00968	RSGMI1000_02170
KPN_00727	RSGMI1000_02039
KPN_00969	RSGMI1000_01373
KPN_00970	RSGMI1000_01372
KPN_00971	RSGMI1000_01371
KPN_00730	RSGMI1000_02042
KPN_00972	RSGMI1000_01370
KPN_00731	RSGMI1000_02041
KPN_00973	RSGMI1000_01369
KPN_00852	RSGMI1000_01101
KPN_04094	RSGMI1000_04288
KPN_04096	RSGMI1000_02804
KPN_04095	RSGMI1000_02803
