KPN_00316	XFCFBP8418_019180
KPN_00801	XFCFBP8418_004000
KPN_02309	XFCFBP8418_010710
KPN_00803	XFCFBP8418_005250
KPN_00925	XFCFBP8418_020870
KPN_02550	XFCFBP8418_006340
KPN_02671	XFCFBP8418_025650
KPN_03761	XFCFBP8418_004160
KPN_04178	XFCFBP8418_017710
KPN_03760	XFCFBP8418_004170
KPN_02672	XFCFBP8418_025660
KPN_01221	XFCFBP8418_003360
KPN_02674	XFCFBP8418_025680
KPN_02797	XFCFBP8418_025470
KPN_03767	XFCFBP8418_008630
KPN_02677	XFCFBP8418_025720
KPN_01104	XFCFBP8418_021350
KPN_02799	XFCFBP8418_000640
KPN_00134	XFCFBP8418_010460
KPN_00373	XFCFBP8418_005980
KPN_00372	XFCFBP8418_020600
KPN_03109	XFCFBP8418_022200
KPN_02812	XFCFBP8418_009670
KPN_03108	XFCFBP8418_022190
KPN_00756	XFCFBP8418_010570
KPN_00758	XFCFBP8418_014390
KPN_03114	XFCFBP8418_002690
KPN_00082	XFCFBP8418_017900
KPN_03355	XFCFBP8418_011060
KPN_03113	XFCFBP8418_002680
KPN_03597	XFCFBP8418_003680
KPN_03357	XFCFBP8418_000640
KPN_03599	XFCFBP8418_003450
KPN_00080	XFCFBP8418_017930
KPN_03236	XFCFBP8418_021160
KPN_04325	XFCFBP8418_020760
KPN_03118	XFCFBP8418_002710
KPN_03117	XFCFBP8418_002720
KPN_00643	XFCFBP8418_020240
KPN_02380	XFCFBP8418_016880
KPN_00089	XFCFBP8418_011300
KPN_00088	XFCFBP8418_011310
KPN_04441	XFCFBP8418_014480
KPN_04440	XFCFBP8418_010700
KPN_04308	XFCFBP8418_002870
KPN_00502	XFCFBP8418_023900
KPN_03339	XFCFBP8418_003740
KPN_04428	XFCFBP8418_014680
KPN_02923	XFCFBP8418_014390
KPN_02805	XFCFBP8418_015120
KPN_00627	XFCFBP8418_012050
KPN_02495	XFCFBP8418_026220
KPN_00195	XFCFBP8418_024910
KPN_02496	XFCFBP8418_026240
KPN_00194	XFCFBP8418_024900
KPN_02497	XFCFBP8418_026250
KPN_00193	XFCFBP8418_024890
KPN_03587	XFCFBP8418_014930
KPN_03586	XFCFBP8418_003010
KPN_00192	XFCFBP8418_024880
KPN_01167	XFCFBP8418_015020
KPN_00871	XFCFBP8418_020420
KPN_04557	XFCFBP8418_003930
KPN_03225	XFCFBP8418_011590
KPN_03349	XFCFBP8418_001410
KPN_03106	XFCFBP8418_010630
KPN_03348	XFCFBP8418_020190
KPN_02490	XFCFBP8418_026240
KPN_00079	XFCFBP8418_021500
KPN_02491	XFCFBP8418_026250
KPN_00078	XFCFBP8418_021520
KPN_00077	XFCFBP8418_021510
KPN_00198	XFCFBP8418_026800
KPN_02492	XFCFBP8418_020820
KPN_04430	XFCFBP8418_021180
KPN_03341	XFCFBP8418_015770
KPN_03462	XFCFBP8418_007450
KPN_02494	XFCFBP8418_026230
KPN_03340	XFCFBP8418_015760
KPN_02910	XFCFBP8418_014890
KPN_00974	XFCFBP8418_012210
KPN_00732	XFCFBP8418_002140
KPN_00733	XFCFBP8418_002150
KPN_00734	XFCFBP8418_011960
KPN_00735	XFCFBP8418_011970
KPN_00184	XFCFBP8418_024760
KPN_04663	XFCFBP8418_015270
KPN_04665	XFCFBP8418_015310
KPN_02365	XFCFBP8418_024720
KPN_02366	XFCFBP8418_024710
KPN_01277	XFCFBP8418_014470
KPN_02367	XFCFBP8418_024680
KPN_02488	XFCFBP8418_026230
KPN_04304	XFCFBP8418_018480
KPN_04424	XFCFBP8418_024670
KPN_02489	XFCFBP8418_026220
KPN_02369	XFCFBP8418_011050
KPN_00983	XFCFBP8418_006750
KPN_00188	XFCFBP8418_024840
KPN_02480	XFCFBP8418_020280
KPN_02481	XFCFBP8418_020270
KPN_00187	XFCFBP8418_024830
KPN_02482	XFCFBP8418_020260
KPN_01272	XFCFBP8418_025940
KPN_00186	XFCFBP8418_024850
KPN_01273	XFCFBP8418_001170
KPN_01819	XFCFBP8418_020430
KPN_03318	XFCFBP8418_023900
KPN_01139	XFCFBP8418_002120
KPN_00967	XFCFBP8418_024030
KPN_00727	XFCFBP8418_002320
KPN_01142	XFCFBP8418_003250
KPN_03202	XFCFBP8418_020710
KPN_02475	XFCFBP8418_020330
KPN_02476	XFCFBP8418_020320
KPN_03688	XFCFBP8418_009950
KPN_02235	XFCFBP8418_012920
KPN_02477	XFCFBP8418_020310
KPN_04413	XFCFBP8418_026530
KPN_02478	XFCFBP8418_020300
KPN_02237	XFCFBP8418_012890
KPN_00730	XFCFBP8418_024620
KPN_02479	XFCFBP8418_020290
KPN_02238	XFCFBP8418_012870
KPN_00731	XFCFBP8418_024610
KPN_00179	XFCFBP8418_015100
KPN_03682	XFCFBP8418_006320
KPN_02230	XFCFBP8418_022230
