KPN_04245	b3956
KPN_03795	b3429
KPN_03798	b3432
KPN_04645	b4237
KPN_03797	b3431
KPN_02468	b2010
KPN_02468	b0839
KPN_02468	b0632
KPN_03799	b3433
KPN_04646	b4238
KPN_00049	b0052
KPN_00046	b0049
KPN_00045	b0048
KPN_00044	b3350
KPN_00044	b0047
KPN_03792	b3426
KPN_03791	b3425
KPN_01130	b1124
KPN_02206	b1232
KPN_04627	b4233
KPN_03538	b3126
KPN_04626	b4232
KPN_03537	b0509
KPN_03537	b3125
KPN_03779	b3409
KPN_03539	b3127
KPN_02693	b2303
KPN_03540	b3128
KPN_03785	b4265
KPN_03785	b3415
KPN_02211	b1227
KPN_02211	b1465
KPN_03543	b2096
KPN_03543	b3137
KPN_02696	b2306
KPN_02696	b0809
KPN_02696	b1917
KPN_02696	b0652
KPN_01365	b4054
KPN_01365	b0928
KPN_01123	b3909
KPN_02212	b1466
KPN_02212	b1226
KPN_02213	b1225
KPN_02213	b1467
KPN_02697	b2307
KPN_03787	b3417
KPN_02214	b1224
KPN_02214	b1468
KPN_02698	b2308
KPN_01125	b4090
KPN_03786	b3416
KPN_01126	b0008
KPN_01126	b2464
KPN_02215	b1469
KPN_02215	b1223
KPN_03547	b2095
KPN_03547	b3132
KPN_02699	b2309
KPN_02699	b2310
KPN_01127	b2935
KPN_01127	b2465
KPN_03304	b3502
KPN_00038	b0613
KPN_00037	b0615
KPN_00036	b0616
KPN_00035	b0617
KPN_01106	b1109
KPN_04615	b4219
KPN_03768	b3397
KPN_04621	b4226
KPN_02200	b1238
KPN_03773	b3403
KPN_04623	b4087
KPN_04623	b4485
KPN_04623	b1900
KPN_04623	b3749
KPN_04623	b3567
KPN_04623	b2149
KPN_02202	b1236
KPN_02445	b1982
KPN_02687	b2296
KPN_02687	b3115
KPN_04622	b4227
KPN_03536	b0514
KPN_03536	b3124
KPN_02688	b2458
KPN_02688	b2297
KPN_04625	b4231
KPN_01116	b1119
KPN_04624	b4230
KPN_00025	b0030
KPN_00024	b0029
KPN_01590	b1539
KPN_00020	b0025
KPN_02681	b2291
KPN_00008	b0008
KPN_00008	b2464
KPN_00007	b0007
KPN_00249	b0237
KPN_02668	b2278
KPN_01579	b1589
KPN_01579	b0895
KPN_04847	b4392
KPN_03757	b3386
KPN_02669	b2279
KPN_04607	b4213
KPN_04849	b4394
KPN_03517	b3089
KPN_03519	b3091
KPN_02671	b2281
KPN_03761	b3390
KPN_00250	b0238
KPN_03760	b3389
KPN_02672	b2282
KPN_02430	b1377
KPN_02430	b0929
KPN_02430	b2215
KPN_01583	b1584
KPN_03521	b3093
KPN_02673	b2283
KPN_02674	b2284
KPN_03520	b3092
KPN_02675	b2285
KPN_01586	b4356
KPN_01587	b4323
KPN_02676	b2286
KPN_01103	b1106
KPN_03767	b3396
KPN_02677	b2287
KPN_01104	b1107
KPN_00499	b4132
KPN_02678	b2288
KPN_00016	b0019
KPN_00256	b2661
KPN_00255	b1302
KPN_00255	b2662
KPN_00254	b2663
KPN_02670	b2280
KPN_03109	b2747
KPN_03108	b2746
KPN_03112	b2750
KPN_03354	b2925
KPN_04442	b4055
KPN_03114	b2752
KPN_00083	b0078
KPN_03356	b2927
KPN_00082	b3671
KPN_00082	b0077
KPN_03355	b2926
KPN_03113	b2751
KPN_03597	b3187
KPN_03357	b2935
KPN_03357	b2465
KPN_03599	b3189
KPN_00080	b0074
KPN_03118	b2763
KPN_03117	b2762
KPN_00089	b0085
KPN_03592	b3182
KPN_00088	b0084
KPN_04441	b4054
KPN_04441	b0928
KPN_03352	b2923
KPN_04440	b4053
KPN_04440	b1190
KPN_04429	b4041
KPN_03339	b2903
KPN_04428	b4040
KPN_02495	b2040
KPN_03343	b2907
KPN_02496	b2039
KPN_02496	b3789
KPN_01165	b2957
KPN_04673	b2166
KPN_00073	b1693
KPN_02497	b2041
KPN_02497	b3788
KPN_03587	b3177
KPN_03586	b3176
KPN_01167	b2378
KPN_01167	b1054
KPN_02014	b0339
KPN_02499	b2029
KPN_00070	b0070
KPN_03349	b2914
KPN_03106	b2744
KPN_03348	b2913
KPN_02490	b2039
KPN_02490	b3789
KPN_00079	b0073
KPN_02491	b2041
KPN_02491	b3788
KPN_00078	b0072
KPN_00077	b0071
KPN_03580	b3172
KPN_04430	b4042
KPN_03341	b2905
KPN_02493	b2028
KPN_02494	b2038
KPN_03340	b2904
KPN_00075	b1692
KPN_04659	b4254
KPN_04659	b0273
KPN_02000	b1662
KPN_04421	b4032
KPN_00062	b0063
KPN_04665	b4260
KPN_00061	b0062
KPN_04423	b4034
KPN_00060	b3583
KPN_00060	b4198
KPN_00060	b0061
KPN_04422	b4033
KPN_02488	b2038
KPN_04425	b4036
KPN_04424	b3450
KPN_04424	b4035
KPN_02489	b2040
KPN_04427	b4039
KPN_02480	b2024
KPN_00067	b0068
KPN_02481	b2025
KPN_00066	b0067
KPN_02482	b2026
KPN_00065	b0066
KPN_03330	b2901
KPN_03318	b4129
KPN_01139	b1131
KPN_02229	b1216
KPN_03317	b2889
KPN_01142	b1134
KPN_03321	b2893
KPN_04652	b4240
KPN_04651	b4239
KPN_01144	b1136
KPN_04654	b4242
KPN_03323	b2895
KPN_03323	b0684
KPN_02475	b2019
KPN_04412	b4024
KPN_02476	b2020
KPN_02235	b1210
KPN_02477	b2021
KPN_04656	b4244
KPN_04413	b4025
KPN_02478	b2022
KPN_02237	b1208
KPN_02479	b2023
KPN_03569	b3709
KPN_03569	b3161
KPN_02238	b1207
KPN_04657	b4245
KPN_02230	b1215
KPN_00316	b0369
KPN_00314	b0368
KPN_02734	b0341
KPN_01646	b1519
KPN_00799	b0774
KPN_03825	b1302
KPN_03825	b2662
KPN_02738	b2388
KPN_02741	b3001
KPN_02743	b2392
KPN_02744	b2393
KPN_00323	b0381
KPN_00309	b0260
KPN_00309	b2156
KPN_03813	b3453
KPN_02723	b2341
KPN_03812	b3452
KPN_02724	b2342
KPN_01636	b1524
KPN_02726	b2344
KPN_03817	b3455
KPN_03816	b3454
KPN_03819	b3457
KPN_03818	b3456
KPN_01880	b1224
KPN_01880	b1468
KPN_01881	b1225
KPN_01881	b1467
KPN_01882	b1466
KPN_01882	b1226
KPN_01640	b1521
KPN_01883	b1227
KPN_01883	b1465
KPN_03820	b3460
KPN_03820	b3458
KPN_01884	b1463
KPN_03822	b3460
KPN_03822	b3458
KPN_00313	b0367
KPN_00312	b0366
KPN_00311	b0365
KPN_00310	b0261
KPN_03809	b3449
KPN_01865	b1476
KPN_01865	b3892
KPN_03801	b3437
KPN_03801	b4268
KPN_02713	b2323
KPN_01866	b3893
KPN_01866	b1475
KPN_00777	b0763
KPN_00778	b0764
KPN_01867	b1474
KPN_01867	b3894
KPN_00537	b0402
KPN_00537	b4208
KPN_00537	b0576
KPN_00537	b0112
KPN_00537	b1453
KPN_00779	b0765
KPN_01628	b1528
KPN_02718	b2328
KPN_03807	b3447
KPN_02719	b2329
KPN_00781	b0767
KPN_03811	b3451
KPN_03810	b3450
KPN_03810	b4035
KPN_02702	b2312
KPN_00768	b0755
KPN_02705	b2315
KPN_02706	b2316
KPN_00770	b0756
KPN_00771	b0757
KPN_00772	b0758
KPN_00773	b0759
KPN_03800	b4476
KPN_02710	b2320
KPN_01622	b1533
KPN_00119	b0115
KPN_00118	b0114
KPN_00116	b0402
KPN_00116	b4208
KPN_00116	b0576
KPN_00116	b0112
KPN_00116	b1453
KPN_02778	b2817
KPN_02778	b2435
KPN_03626	b3223
KPN_02779	b2436
KPN_03625	b3213
KPN_01449	b1380
KPN_01207	b1764
KPN_03869	b3519
KPN_03869	b1197
KPN_01210	b1761
KPN_02783	b2440
KPN_01211	b1759
KPN_02784	b2441
KPN_02542	b3564
KPN_01455	b1300
KPN_01455	b3588
KPN_01455	b0312
KPN_01455	b1385
KPN_02303	b3519
KPN_02303	b1197
KPN_03876	b3526
KPN_00126	b0120
KPN_00367	b0415
KPN_00366	b0414
KPN_00124	b0118
KPN_00363	b0411
KPN_00120	b0116
KPN_00107	b0104
KPN_00106	b0103
KPN_02769	b2414
KPN_02769	b2421
KPN_03858	b3493
KPN_03858	b2987
KPN_02770	b2422
KPN_02771	b2423
KPN_02772	b2424
KPN_02773	b3917
KPN_02773	b2425
KPN_01202	b1768
KPN_03624	b3212
KPN_01445	b1377
KPN_01445	b0929
KPN_01445	b2215
KPN_03866	b3500
KPN_01203	b1767
KPN_00355	b0404
KPN_00112	b0110
KPN_00111	b0109
KPN_00337	b0394
KPN_03846	b2254
KPN_03845	b2255
KPN_02758	b2411
KPN_03606	b3196
KPN_03847	b2253
KPN_03608	b3198
KPN_02518	b2065
KPN_03607	b3197
KPN_02519	b2066
KPN_02760	b2413
KPN_02761	b2414
KPN_02761	b2421
KPN_03851	b3477
KPN_02762	b2415
KPN_02762	b2417
KPN_02762	b3722
KPN_03850	b3476
KPN_00585	b1300
KPN_00585	b3588
KPN_00585	b0312
KPN_00585	b1385
KPN_02763	b2416
KPN_03853	b3479
KPN_02764	b2415
KPN_02764	b2417
KPN_02764	b3722
KPN_03852	b0832
KPN_03852	b3478
KPN_03852	b3542
KPN_00587	b0314
KPN_03854	b3480
KPN_03854	b1247
KPN_03854	b3540
KPN_02766	b2418
KPN_00103	b0099
KPN_00344	b0403
KPN_00100	b0096
KPN_00342	b0401
KPN_00329	b0386
KPN_00327	b0383
KPN_03835	b3469
KPN_02991	b1300
KPN_02991	b3588
KPN_02991	b0312
KPN_02991	b1385
KPN_02750	b2400
KPN_01664	b3654
KPN_01664	b2882
KPN_03843	b2257
KPN_00332	b0388
KPN_04081	b2366
KPN_00711	b0688
KPN_00955	b4054
KPN_00955	b0928
KPN_00956	b1377
KPN_00956	b0929
KPN_00956	b2215
KPN_00715	b0696
KPN_00716	b0697
KPN_00717	b0698
KPN_00707	b2895
KPN_00707	b0684
KPN_00941	b0914
KPN_00942	b0915
KPN_00700	b0679
KPN_00700	b1101
KPN_00945	b0918
KPN_04074	b3671
KPN_04074	b0077
KPN_04073	b3670
KPN_00930	b0902
KPN_00931	b0903
KPN_00931	b3114
KPN_00932	b2492
KPN_00932	b0904
KPN_00935	b0907
KPN_00936	b0908
KPN_00937	b0910
KPN_04069	b3666
KPN_00928	b1590
KPN_00928	b0896
KPN_04290	b3790
KPN_00920	b0888
KPN_00926	b0894
KPN_04292	b3792
KPN_04291	b3791
KPN_04294	b3793
KPN_04295	b3794
KPN_01609	b0343
KPN_00754	b0750
KPN_00755	b0751
KPN_00756	b0752
KPN_01603	b2738
KPN_00758	b1704
KPN_00758	b0754
KPN_00758	b2601
KPN_01847	b1479
KPN_02937	b2615
KPN_01610	b0344
KPN_01853	b1478
KPN_02700	b2309
KPN_02700	b2310
KPN_00502	b4129
KPN_00986	b0957
KPN_02922	b2600
KPN_02923	b1704
KPN_02923	b0754
KPN_02923	b2601
KPN_00992	b0963
KPN_02910	b2587
KPN_00974	b0945
KPN_00732	b0726
KPN_00733	b0727
KPN_00734	b0728
KPN_00735	b0729
KPN_00736	b0733
KPN_00736	b0978
KPN_00737	b0734
KPN_00737	b0979
KPN_00983	b0954
KPN_00500	b4131
KPN_00500	b0186
KPN_02920	b2599
KPN_00729	b0722
KPN_01819	b3942
KPN_02908	b2585
KPN_00963	b2871
KPN_02902	b2579
KPN_00967	b0931
KPN_00968	b0932
KPN_00727	b0720
KPN_00969	b0933
KPN_02905	b2582
KPN_00728	b0721
KPN_00970	b0934
KPN_00971	b0935
KPN_00730	b0723
KPN_00972	b0936
KPN_00731	b0724
KPN_00973	b0937
KPN_04094	b3691
KPN_04094	b2789
KPN_04096	b4477
KPN_04095	b4478
KPN_04097	b3693
KPN_01099	b0679
KPN_01099	b1101
KPN_03037	b2702
KPN_03036	b2701
KPN_04367	b4123
KPN_03039	b2704
KPN_03038	b2703
KPN_01090	b1092
KPN_01091	b1093
KPN_01092	b1094
KPN_01093	b1095
KPN_01094	b1096
KPN_02183	b1723
KPN_01096	b1098
KPN_02186	b1252
KPN_01089	b1091
KPN_03268	b2224
KPN_04591	b3583
KPN_04591	b4198
KPN_04591	b0061
KPN_04590	b4197
KPN_04590	b3582
KPN_04350	b3972
KPN_03264	b2943
KPN_03264	b2841
KPN_04352	b3974
KPN_03021	b2690
KPN_03009	b2678
KPN_04344	b3850
KPN_03497	b1198
KPN_04586	b4193
KPN_04343	b3849
KPN_04343	b1363
KPN_02166	b1709
KPN_04585	b4192
KPN_03496	b1199
KPN_04588	b4195
KPN_04587	b4194
KPN_02169	b1711
KPN_04589	b4196
KPN_03019	b2688
KPN_03018	b2687
KPN_03491	b3589
KPN_03491	b2799
KPN_02160	b1702
KPN_01071	b1059
KPN_04340	b3846
KPN_02162	b1704
KPN_02162	b0754
KPN_02162	b2601
KPN_01074	b1062
KPN_03495	b1200
KPN_03494	b3945
KPN_03252	b2838
KPN_03010	b2679
KPN_04329	b3833
KPN_03244	b2835
KPN_03485	b3927
KPN_04576	b4177
KPN_01068	b2378
KPN_01068	b1054
KPN_03245	b2836
KPN_04337	b3843
KPN_03006	b2675
KPN_04339	b3845
KPN_04339	b1397
KPN_03008	b2677
KPN_03007	b2676
KPN_04338	b3844
KPN_02392	b1896
KPN_02393	b1897
KPN_04157	b3752
KPN_04399	b4019
KPN_04156	b3751
KPN_03060	b2723
KPN_03061	b2481
KPN_03061	b2724
KPN_04395	b4014
KPN_04153	b3748
KPN_04152	b3747
KPN_04394	b4013
KPN_04155	b4086
KPN_04155	b3750
KPN_04154	b4087
KPN_04154	b4485
KPN_04154	b1900
KPN_04154	b3749
KPN_04154	b3567
KPN_04154	b2149
KPN_04396	b4015
KPN_04388	b4006
KPN_03057	b2488
KPN_03057	b2720
KPN_04387	b4005
KPN_03056	b2719
KPN_03056	b2489
KPN_03059	b2483
KPN_03059	b2722
KPN_03058	b2721
KPN_03058	b2487
KPN_04149	b3744
KPN_04140	b3735
KPN_04142	b3737
KPN_04141	b3736
KPN_04144	b3739
KPN_04143	b3738
KPN_04135	b3730
KPN_03046	b2711
KPN_03045	b2710
KPN_04134	b3729
KPN_04376	b3994
KPN_02199	b1241
KPN_04137	b3732
KPN_04379	b3997
KPN_04136	b3731
KPN_04378	b3996
KPN_04139	b3734
KPN_04138	b3733
KPN_02190	b1249
KPN_04371	b3990
KPN_03040	b2705
KPN_02193	b3480
KPN_02193	b1247
KPN_02193	b3540
KPN_02194	b2180
KPN_02194	b1246
KPN_02194	b1484
KPN_02194	b3541
KPN_04131	b3726
KPN_04373	b4407
KPN_04130	b3725
KPN_04372	b3991
KPN_02195	b1245
KPN_04133	b3728
KPN_04375	b3993
KPN_02196	b1244
KPN_04374	b0826
KPN_04374	b3992
KPN_04132	b3727
KPN_02197	b1243
KPN_03043	b2708
KPN_03428	b3008
KPN_03673	b2470
KPN_03673	b0462
KPN_03673	b3266
KPN_01494	b1747
KPN_03672	b0463
KPN_03672	b3265
KPN_02584	b2143
KPN_01253	b1260
KPN_01254	b1261
KPN_01496	b1745
KPN_01255	b1262
KPN_03432	b3012
KPN_01497	b1744
KPN_02586	b2148
KPN_02587	b4087
KPN_02587	b4485
KPN_02587	b1900
KPN_02587	b3749
KPN_02587	b3567
KPN_02587	b2149
KPN_01256	b1263
KPN_01014	b1801
KPN_01015	b1800
KPN_01257	b1264
KPN_02588	b2150
KPN_04526	b4136
KPN_01017	b1301
KPN_03436	b3018
KPN_00169	b0154
KPN_00168	b0153
KPN_00167	b0152
KPN_00166	b4287
KPN_00166	b0151
KPN_00166	b0588
KPN_00165	b0150
KPN_00164	b0149
KPN_01250	b0805
KPN_01493	b1748
KPN_01493	b3359
KPN_02569	b2133
KPN_04506	b4120
KPN_02328	b1812
KPN_04505	b4119
KPN_03416	b2988
KPN_02330	b1814
KPN_02330	b4471
KPN_02330	b2797
KPN_00393	b0431
KPN_00392	b0430
KPN_02573	b2134
KPN_03664	b3255
KPN_00391	b0429
KPN_00390	b0428
KPN_02333	b1817
KPN_02334	b1818
KPN_03665	b3256
KPN_02335	b1819
KPN_03426	b3006
KPN_03425	b3005
KPN_03667	b3258
KPN_00395	b0433
KPN_00394	b0432
KPN_00139	b0131
KPN_01469	b1388
KPN_04737	b0574
KPN_04736	b0575
KPN_01228	b1740
KPN_04738	b0573
KPN_00140	b0133
KPN_01472	b1391
KPN_01473	b1392
KPN_03895	b3480
KPN_03895	b1247
KPN_03895	b3540
KPN_01474	b1393
KPN_02322	b1805
KPN_02564	b2130
KPN_02564	b2128
KPN_01475	b1394
KPN_03410	b3939
KPN_03897	b0832
KPN_03897	b3478
KPN_03897	b3542
KPN_01476	b1395
KPN_02565	b2129
KPN_03896	b2180
KPN_03896	b1246
KPN_03896	b1484
KPN_03896	b3541
KPN_02566	b2130
KPN_02566	b2128
KPN_01236	b1732
KPN_01478	b3845
KPN_01478	b1397
KPN_03899	b3544
KPN_02567	b2131
KPN_01479	b1398
KPN_03898	b1486
KPN_03898	b3543
KPN_02568	b2132
KPN_04503	b4111
KPN_00142	b0142
KPN_01470	b1389
KPN_00141	b0134
KPN_01471	b1390
KPN_00369	b0417
KPN_00127	b0121
KPN_03878	b3528
KPN_02306	b1192
KPN_02549	b2097
KPN_03639	b3062
KPN_02308	b4053
KPN_02308	b1190
KPN_02309	b1189
KPN_02550	b2103
KPN_02792	b2458
KPN_02792	b2297
KPN_03640	b3061
KPN_00370	b0418
KPN_02551	b2104
KPN_01221	b1748
KPN_01221	b3359
KPN_01222	b1747
KPN_01223	b1746
KPN_02312	b1186
KPN_03644	b3236
KPN_02797	b2463
KPN_01224	b1745
KPN_02313	b1185
KPN_02798	b0008
KPN_02798	b2464
KPN_01225	b1744
KPN_01467	b1386
KPN_02799	b2935
KPN_02799	b2465
KPN_01468	b1387
KPN_00378	b0425
KPN_00134	b0126
KPN_00133	b0125
KPN_00375	b0423
KPN_00132	b0124
KPN_00373	b0421
KPN_00131	b0123
KPN_00372	b0420
KPN_04318	b3823
KPN_04321	b3825
KPN_01056	b1033
KPN_03236	b2827
KPN_04325	b3829
KPN_04567	b4169
KPN_04327	b3831
KPN_04320	b3824
KPN_04308	b3809
KPN_00195	b0182
KPN_02374	b1859
KPN_04553	b4154
KPN_00194	b0181
KPN_02133	b1676
KPN_04552	b4153
KPN_00193	b0180
KPN_04313	b3816
KPN_02134	b1677
KPN_00192	b0179
KPN_01288	b1291
KPN_03226	b2818
KPN_04557	b4160
KPN_03225	b2817
KPN_03225	b2435
KPN_02379	b1865
KPN_04558	b4161
KPN_04316	b3821
KPN_00199	b4131
KPN_00199	b0186
KPN_02370	b1855
KPN_00198	b0185
KPN_01041	b1014
KPN_03462	b3058
KPN_02372	b1857
KPN_04551	b4152
KPN_01284	b1288
KPN_03461	b3057
KPN_01042	b1015
KPN_02373	b1858
KPN_04550	b4151
KPN_02118	b0351
KPN_02119	b0350
KPN_00184	b0171
KPN_01274	b1278
KPN_01032	b1006
KPN_03453	b3040
KPN_02121	b0348
KPN_04783	b2245
KPN_02364	b1849
KPN_02122	b0347
KPN_02365	b1850
KPN_02366	b1851
KPN_03454	b3041
KPN_01277	b1281
KPN_02367	b1852
KPN_04304	b3805
KPN_04303	b3804
KPN_02369	b1854
KPN_04305	b3806
KPN_00188	b0175
KPN_00187	b0174
KPN_03690	b3290
KPN_01272	b1276
KPN_00186	b0173
KPN_01273	b1277
KPN_02120	b0349
KPN_01018	b1300
KPN_01018	b3588
KPN_01018	b0312
KPN_01018	b1385
KPN_04528	b4138
KPN_04529	b4139
KPN_02594	b0260
KPN_02594	b2156
KPN_03442	b3028
KPN_01021	b1297
KPN_00173	b0158
KPN_01022	b1296
KPN_01022	b2014
KPN_04772	b1525
KPN_03202	b3927
KPN_01266	b1270
KPN_00170	b0155
KPN_03443	b3029
KPN_02598	b2167
KPN_02599	b2168
KPN_02116	b0353
KPN_04779	b1007
KPN_01027	b1002
KPN_02117	b0352
KPN_00179	b0166
KPN_02591	b2153
KPN_03682	b3281
KPN_02592	b2154
KPN_02592	b0355
KPN_00175	b0160
KPN_00174	b0159
KPN_01020	b1298
KPN_02593	b2155
KPN_02855	b2523
KPN_01524	b1605
KPN_00678	b2306
KPN_00678	b0809
KPN_00678	b1917
KPN_00678	b0652
KPN_01526	b1603
KPN_03947	b3603
KPN_03947	b2975
KPN_00679	b0653
KPN_01527	b1602
KPN_03949	b3605
KPN_00680	b0654
KPN_00681	b0655
KPN_00682	b0657
KPN_03952	b3608
KPN_02862	b2530
KPN_03951	b3607
KPN_03954	b3610
KPN_02865	b2533
KPN_00687	b2906
KPN_00687	b0662
KPN_00440	b0459
KPN_00667	b0635
KPN_02845	b2515
KPN_01999	b1661
KPN_02604	b4322
KPN_01515	b1613
KPN_03936	b3572
KPN_01516	b4122
KPN_01516	b1612
KPN_03935	b3571
KPN_02848	b2518
KPN_01517	b1611
KPN_02849	b2519
KPN_00670	b0638
KPN_00671	b0639
KPN_02851	b2521
KPN_03943	b3600
KPN_03942	b3599
KPN_01523	b1606
KPN_00415	b0452
KPN_00414	b0451
KPN_02833	b2507
KPN_00897	b0864
KPN_00655	b0622
KPN_02834	b2508
KPN_03929	b3565
KPN_03928	b3564
KPN_01990	b1651
KPN_01992	b1654
KPN_03930	b3566
KPN_01994	b1656
KPN_01994	b3908
KPN_00664	b2010
KPN_00664	b0839
KPN_00664	b0632
KPN_03932	b3568
KPN_02600	b2169
KPN_01511	b1622
KPN_03931	b4087
KPN_03931	b4485
KPN_03931	b1900
KPN_03931	b3749
KPN_03931	b3567
KPN_03931	b2149
KPN_02601	b2170
KPN_01512	b1621
KPN_00408	b0446
KPN_00886	b0855
KPN_00886	b1126
KPN_00886	b1441
KPN_01976	b1638
KPN_00887	b0856
KPN_02824	b2499
KPN_00888	b0857
KPN_01978	b1640
KPN_02825	b2500
KPN_02826	b2501
KPN_03915	b3553
KPN_02827	b2502
KPN_00649	b0604
KPN_00893	b0863
KPN_00893	b0860
KPN_00894	b0861
KPN_00895	b0862
KPN_00896	b0863
KPN_00896	b0860
KPN_01985	b1646
KPN_00654	b0621
KPN_01501	b1415
KPN_02899	b2574
KPN_02657	b2251
KPN_03746	b3360
KPN_02658	b2260
KPN_04838	b4382
KPN_02659	b2261
KPN_02417	b1919
KPN_04837	b4381
KPN_02419	b1927
KPN_04839	b4383
KPN_02660	b2262
KPN_00480	b0524
KPN_03752	b3365
KPN_02662	b2264
KPN_03751	b0337
KPN_04840	b4384
KPN_02663	b2265
KPN_04601	b0402
KPN_04601	b4208
KPN_04601	b0576
KPN_04601	b0112
KPN_04601	b1453
KPN_03754	b3368
KPN_03996	b3648
KPN_04843	b4388
KPN_03753	b3366
KPN_01576	b1592
KPN_03998	b3650
KPN_03756	b3385
KPN_02666	b2276
KPN_04845	b4390
KPN_02667	b2277
KPN_00004	b0004
KPN_00003	b0003
KPN_00002	b0002
KPN_00484	b0529
KPN_00227	b0212
KPN_03736	b3350
KPN_03736	b0047
KPN_02646	b2240
KPN_02404	b1907
KPN_02888	b2563
KPN_02889	b2564
KPN_02647	b2241
KPN_02648	b2242
KPN_03979	b3639
KPN_02649	b2243
KPN_03980	b3640
KPN_03983	b3642
KPN_04830	b4374
KPN_02410	b1912
KPN_03501	b3073
KPN_03745	b1748
KPN_03745	b3359
KPN_00478	b0523
KPN_00236	b0222
KPN_00235	b0221
KPN_00477	b0522
KPN_00233	b2578
KPN_00472	b0494
KPN_00458	b0477
KPN_02877	b2552
KPN_00699	b0678
KPN_02636	b1377
KPN_02636	b0929
KPN_02636	b2215
KPN_01547	b3063
KPN_01547	b0612
KPN_03968	b3632
KPN_01308	b1325
KPN_01309	b1326
KPN_01791	b2883
KPN_02882	b2557
KPN_03972	b3633
KPN_02641	b2232
KPN_01310	b1329
KPN_03974	b3634
KPN_02642	b2234
KPN_02643	b2235
KPN_02645	b2239
KPN_00464	b0484
KPN_00221	b0207
KPN_00461	b0480
KPN_03956	b3612
KPN_01538	b2221
KPN_01539	b2222
KPN_02629	b2210
KPN_02870	b2536
KPN_01540	b3845
KPN_01540	b1397
KPN_03961	b3616
KPN_03963	b3619
KPN_00695	b0674
KPN_03962	b3617
KPN_03965	b3621
KPN_02876	b2551
KPN_03964	b3620
KPN_00698	b0677
KPN_00456	b0474
KPN_00214	b0200
KPN_00213	b0199
KPN_00212	b0198
KPN_00211	b0197
KPN_00451	b0469
KPN_00839	b0810
KPN_00839	b1918
KPN_01928	b1440
KPN_01924	b1444
KPN_01925	b1443
KPN_01926	b1442
KPN_00838	b2306
KPN_00838	b0809
KPN_00838	b1917
KPN_00838	b0652
KPN_01927	b0855
KPN_01927	b1126
KPN_01927	b1441
KPN_00840	b0811
KPN_04190	b1474
KPN_04190	b3894
KPN_01912	b2162
KPN_01912	b0651
KPN_01906	b0402
KPN_01906	b4208
KPN_01906	b0576
