KPN_04005	RSR24_02166
KPN_02369	RSR24_00640
KPN_02481	RSR24_03006
KPN_00187	RSR24_01812
KPN_02482	RSR24_03005
KPN_01272	RSR24_02105
KPN_00186	RSR24_01810
KPN_00065	RSR24_04432
KPN_04782	RSR24_04848
KPN_04782	RSR24_04847
KPN_01018	RSR24_03191
KPN_03318	RSR24_01059
KPN_01139	RSR24_02716
KPN_02594	RSR24_01609
KPN_02594	RSR24_01610
KPN_01142	RSR24_02724
KPN_01144	RSR24_02539
KPN_02476	RSR24_03012
KPN_01266	RSR24_03930
KPN_02598	RSR24_02889
KPN_03688	RSR24_00076
KPN_02235	RSR24_02928
KPN_04413	RSR24_01579
KPN_02478	RSR24_03010
KPN_02237	RSR24_00408
KPN_02238	RSR24_00406
KPN_00179	RSR24_01828
KPN_03682	RSR24_02776
KPN_02592	RSR24_00675
KPN_02230	RSR24_01153
KPN_00316	RSR24_03050
KPN_00678	RSR24_02342
KPN_00678	RSR24_00475
KPN_00678	RSR24_00541
KPN_00678	RSR24_03890
KPN_00678	RSR24_02207
KPN_00678	RSR24_04052
KPN_00678	RSR24_03481
KPN_00678	RSR24_01955
KPN_01526	RSR24_02730
KPN_01526	RSR24_04035
KPN_03947	RSR24_00980
KPN_00679	RSR24_00540
KPN_01527	RSR24_04033
KPN_01527	RSR24_02733
KPN_03825	RSR24_00032
KPN_02738	RSR24_04812
KPN_03949	RSR24_02227
KPN_00680	RSR24_00539
KPN_00681	RSR24_02343
KPN_00681	RSR24_00538
KPN_03952	RSR24_00368
KPN_02862	RSR24_01051
KPN_03951	RSR24_01242
KPN_03954	RSR24_00366
KPN_02743	RSR24_03870
KPN_02865	RSR24_01240
KPN_00440	RSR24_04279
KPN_00309	RSR24_01609
KPN_00309	RSR24_01610
KPN_03813	RSR24_01991
KPN_02844	RSR24_02032
KPN_00667	RSR24_00066
KPN_03812	RSR24_01990
KPN_02724	RSR24_00598
KPN_01636	RSR24_04429
KPN_01999	RSR24_04656
KPN_03817	RSR24_02495
KPN_02848	RSR24_02037
KPN_01517	RSR24_04557
KPN_03816	RSR24_02494
KPN_03816	RSR24_04750
KPN_03816	RSR24_03530
KPN_03819	RSR24_02497
KPN_03818	RSR24_02496
KPN_01880	RSR24_04701
KPN_00792	RSR24_02641
KPN_00793	RSR24_02642
KPN_00674	RSR24_02744
KPN_00795	RSR24_02644
KPN_00796	RSR24_02643
KPN_00312	RSR24_00390
KPN_03809	RSR24_01987
KPN_00414	RSR24_00352
KPN_02833	RSR24_01789
KPN_03923	RSR24_00586
KPN_03801	RSR24_00497
KPN_02834	RSR24_01791
KPN_03922	RSR24_00584
KPN_00778	RSR24_04431
KPN_00537	RSR24_00457
KPN_01869	RSR24_01747
KPN_03807	RSR24_03718
KPN_02719	RSR24_01433
KPN_01990	RSR24_00580
KPN_01870	RSR24_01748
KPN_01992	RSR24_02932
KPN_03930	RSR24_04888
KPN_01994	RSR24_02579
KPN_00664	RSR24_00335
KPN_03811	RSR24_01989
KPN_03932	RSR24_04890
KPN_03931	RSR24_02757
KPN_03931	RSR24_04889
KPN_03810	RSR24_01988
KPN_00886	RSR24_01938
KPN_00886	RSR24_01591
KPN_00886	RSR24_01368
KPN_00886	RSR24_02956
KPN_02701	RSR24_02933
KPN_02702	RSR24_02076
KPN_01976	RSR24_00834
KPN_00645	RSR24_02113
KPN_02824	RSR24_02623
KPN_00768	RSR24_00364
KPN_01978	RSR24_00553
KPN_02825	RSR24_02511
KPN_02705	RSR24_02079
KPN_03915	RSR24_01065
KPN_03915	RSR24_04039
KPN_02706	RSR24_02080
KPN_02827	RSR24_01354
KPN_00773	RSR24_04408
KPN_03800	RSR24_01928
KPN_01622	RSR24_03333
KPN_00119	RSR24_01469
KPN_00118	RSR24_01468
KPN_00116	RSR24_00457
KPN_02778	RSR24_02590
KPN_02899	RSR24_02504
KPN_03746	RSR24_02911
KPN_02779	RSR24_02270
KPN_01449	RSR24_03196
KPN_03869	RSR24_03721
KPN_00480	RSR24_01243
KPN_03752	RSR24_04506
KPN_03751	RSR24_01463
KPN_01211	RSR24_02857
KPN_02784	RSR24_03190
KPN_04601	RSR24_00457
KPN_03754	RSR24_02473
KPN_03996	RSR24_02238
KPN_04843	RSR24_01511
KPN_01455	RSR24_03191
KPN_03753	RSR24_04505
KPN_01576	RSR24_03534
KPN_01576	RSR24_00468
KPN_03998	RSR24_02236
KPN_02303	RSR24_03721
KPN_00367	RSR24_00779
KPN_00366	RSR24_00782
KPN_00484	RSR24_00460
KPN_00484	RSR24_01465
KPN_00120	RSR24_01471
KPN_00482	RSR24_01247
KPN_00106	RSR24_02854
KPN_00227	RSR24_01332
KPN_03736	RSR24_03161
KPN_02889	RSR24_01097
KPN_02769	RSR24_00926
KPN_03979	RSR24_02518
KPN_02770	RSR24_01870
KPN_03980	RSR24_02520
KPN_02771	RSR24_01871
KPN_03983	RSR24_00138
KPN_02772	RSR24_01872
KPN_02773	RSR24_01881
KPN_02410	RSR24_01103
KPN_01202	RSR24_01612
KPN_03745	RSR24_02492
KPN_03624	RSR24_03026
KPN_00478	RSR24_00643
KPN_00235	RSR24_00601
KPN_00112	RSR24_02811
KPN_00111	RSR24_02505
KPN_00472	RSR24_01577
KPN_03846	RSR24_01896
KPN_03845	RSR24_01898
KPN_02758	RSR24_01822
KPN_03847	RSR24_01895
KPN_03608	RSR24_00424
KPN_03607	RSR24_00425
KPN_01791	RSR24_02199
KPN_02761	RSR24_00926
KPN_02882	RSR24_01582
KPN_03972	RSR24_00750
KPN_02762	RSR24_04369
KPN_02762	RSR24_02887
KPN_02641	RSR24_00907
KPN_00585	RSR24_03191
KPN_03974	RSR24_00401
KPN_02764	RSR24_04369
KPN_02764	RSR24_02887
KPN_03852	RSR24_01838
KPN_03854	RSR24_02892
KPN_00103	RSR24_02822
KPN_00464	RSR24_03422
KPN_00100	RSR24_02863
KPN_00208	RSR24_02821
KPN_01538	RSR24_01437
KPN_01538	RSR24_02339
KPN_01539	RSR24_02338
KPN_01539	RSR24_01438
KPN_02629	RSR24_04086
KPN_02991	RSR24_03191
KPN_01540	RSR24_02337
KPN_02750	RSR24_01260
KPN_01661	RSR24_03680
KPN_03963	RSR24_00924
KPN_01542	RSR24_02335
KPN_03965	RSR24_00749
KPN_02876	RSR24_00795
KPN_03964	RSR24_00633
KPN_01787	RSR24_02215
KPN_00456	RSR24_02586
KPN_00213	RSR24_00929
KPN_00212	RSR24_00930
KPN_00211	RSR24_00931
KPN_00211	RSR24_03459
KPN_00451	RSR24_00429
KPN_00839	RSR24_02206
KPN_00839	RSR24_03482
KPN_00955	RSR24_01042
KPN_00955	RSR24_00442
KPN_00715	RSR24_03457
KPN_00716	RSR24_03456
KPN_00838	RSR24_02342
KPN_00838	RSR24_00475
KPN_00838	RSR24_00541
KPN_00838	RSR24_03890
KPN_00838	RSR24_02207
KPN_00838	RSR24_04052
KPN_00838	RSR24_03481
KPN_00838	RSR24_01955
KPN_01927	RSR24_01938
KPN_01927	RSR24_01591
KPN_01927	RSR24_01368
KPN_01927	RSR24_02956
KPN_00717	RSR24_03455
KPN_00840	RSR24_02205
KPN_00941	RSR24_02282
KPN_00942	RSR24_02583
KPN_00701	RSR24_00854
KPN_01912	RSR24_02598
KPN_00945	RSR24_02585
KPN_04074	RSR24_02178
KPN_01906	RSR24_00457
KPN_00935	RSR24_00912
KPN_00936	RSR24_00916
KPN_00937	RSR24_00917
KPN_00920	RSR24_02391
KPN_00800	RSR24_00235
KPN_00801	RSR24_01745
KPN_00803	RSR24_01744
KPN_00925	RSR24_02386
KPN_04178	RSR24_04156
KPN_04178	RSR24_01997
KPN_04178	RSR24_04192
KPN_04291	RSR24_04273
KPN_04175	RSR24_03357
KPN_00754	RSR24_02506
KPN_02812	RSR24_01169
KPN_00513	RSR24_04371
KPN_00514	RSR24_04372
KPN_00758	RSR24_00807
KPN_00758	RSR24_02657
KPN_00516	RSR24_02888
KPN_02821	RSR24_02266
KPN_01853	RSR24_03195
KPN_00864	RSR24_01839
KPN_00865	RSR24_01838
KPN_00502	RSR24_01059
KPN_00986	RSR24_00909
KPN_02923	RSR24_00807
KPN_02923	RSR24_02657
KPN_02805	RSR24_01831
KPN_00871	RSR24_00335
KPN_00992	RSR24_02263
KPN_00632	RSR24_01463
KPN_02910	RSR24_03520
KPN_02910	RSR24_03572
KPN_00974	RSR24_01489
KPN_00732	RSR24_01986
KPN_00733	RSR24_01985
KPN_00734	RSR24_00619
KPN_00735	RSR24_00620
KPN_00861	RSR24_01842
KPN_00862	RSR24_01257
KPN_00862	RSR24_01841
KPN_01952	RSR24_00676
KPN_00863	RSR24_01840
KPN_01819	RSR24_00839
KPN_00842	RSR24_02802
KPN_00967	RSR24_01062
KPN_00968	RSR24_02220
KPN_00727	RSR24_02092
KPN_00969	RSR24_01876
KPN_00606	RSR24_04712
KPN_00970	RSR24_01877
KPN_00971	RSR24_01878
KPN_00730	RSR24_02095
KPN_00972	RSR24_01879
KPN_00731	RSR24_02094
KPN_00973	RSR24_01880
KPN_04094	RSR24_04096
KPN_04096	RSR24_02752
KPN_04095	RSR24_02751
