KPN_04005	RSCFB2957_01973
KPN_03673	RSCFB2957_04068
KPN_03673	RSCFB2957_03519
KPN_03673	RSCFB2957_00014
KPN_00041	RSCFB2957_01803
KPN_01132	RSCFB2957_01559
KPN_03672	RSCFB2957_04069
KPN_03672	RSCFB2957_00015
KPN_00040	RSCFB2957_01805
KPN_00281	RSCFB2957_02615
KPN_01254	RSCFB2957_01893
KPN_01255	RSCFB2957_03949
KPN_01255	RSCFB2957_02685
KPN_00280	RSCFB2957_02551
KPN_03795	RSCFB2957_03439
KPN_02587	RSCFB2957_04905
KPN_02587	RSCFB2957_01221
KPN_01256	RSCFB2957_02684
KPN_01256	RSCFB2957_03950
KPN_03798	RSCFB2957_03435
KPN_01015	RSCFB2957_04883
KPN_01015	RSCFB2957_04293
KPN_03797	RSCFB2957_03434
KPN_02468	RSCFB2957_00283
KPN_03799	RSCFB2957_01897
KPN_00049	RSCFB2957_00479
KPN_00169	RSCFB2957_00665
KPN_00046	RSCFB2957_00680
KPN_00045	RSCFB2957_00887
KPN_00044	RSCFB2957_02910
KPN_03792	RSCFB2957_02859
KPN_01492	RSCFB2957_00440
KPN_01493	RSCFB2957_02288
KPN_02206	RSCFB2957_01838
KPN_04627	RSCFB2957_02580
KPN_04626	RSCFB2957_02028
KPN_03537	RSCFB2957_03047
KPN_02328	RSCFB2957_02449
KPN_02330	RSCFB2957_03063
KPN_00393	RSCFB2957_02717
KPN_00392	RSCFB2957_02716
KPN_03540	RSCFB2957_04083
KPN_02573	RSCFB2957_01690
KPN_01121	RSCFB2957_04517
KPN_03785	RSCFB2957_04463
KPN_03664	RSCFB2957_02584
KPN_00391	RSCFB2957_02715
KPN_02211	RSCFB2957_04769
KPN_02696	RSCFB2957_03185
KPN_02696	RSCFB2957_04194
KPN_02696	RSCFB2957_00444
KPN_02696	RSCFB2957_02156
KPN_01365	RSCFB2957_00936
KPN_02213	RSCFB2957_04771
KPN_02455	RSCFB2957_01778
KPN_03665	RSCFB2957_02585
KPN_02214	RSCFB2957_04772
KPN_01126	RSCFB2957_01207
KPN_02215	RSCFB2957_04773
KPN_01127	RSCFB2957_02560
KPN_02458	RSCFB2957_02653
KPN_00395	RSCFB2957_00147
KPN_00394	RSCFB2957_02718
KPN_00139	RSCFB2957_02541
KPN_01106	RSCFB2957_02130
KPN_01469	RSCFB2957_03876
KPN_04615	RSCFB2957_00762
KPN_04736	RSCFB2957_04921
KPN_04739	RSCFB2957_04067
KPN_03409	RSCFB2957_03483
KPN_00140	RSCFB2957_02245
KPN_01472	RSCFB2957_03879
KPN_01473	RSCFB2957_03880
KPN_03895	RSCFB2957_01850
KPN_03895	RSCFB2957_02663
KPN_01474	RSCFB2957_02672
KPN_04621	RSCFB2957_02197
KPN_02322	RSCFB2957_00499
KPN_02322	RSCFB2957_02654
KPN_02564	RSCFB2957_02381
KPN_01475	RSCFB2957_02673
KPN_04623	RSCFB2957_04905
KPN_04623	RSCFB2957_01221
KPN_02202	RSCFB2957_03231
KPN_02202	RSCFB2957_02138
KPN_03897	RSCFB2957_01352
KPN_01476	RSCFB2957_00196
KPN_03896	RSCFB2957_01849
KPN_03896	RSCFB2957_02664
KPN_02566	RSCFB2957_02381
KPN_02445	RSCFB2957_03402
KPN_01236	RSCFB2957_04861
KPN_01478	RSCFB2957_02148
KPN_01479	RSCFB2957_02675
KPN_00024	RSCFB2957_02295
KPN_01590	RSCFB2957_00730
KPN_00142	RSCFB2957_02444
KPN_00021	RSCFB2957_02311
KPN_01470	RSCFB2957_03877
KPN_00020	RSCFB2957_02310
KPN_00141	RSCFB2957_02446
KPN_02560	RSCFB2957_02239
KPN_01471	RSCFB2957_03878
KPN_00008	RSCFB2957_01207
KPN_00369	RSCFB2957_02567
KPN_02305	RSCFB2957_00904
KPN_02668	RSCFB2957_01959
KPN_03757	RSCFB2957_02679
KPN_03878	RSCFB2957_00286
KPN_02306	RSCFB2957_01418
KPN_04607	RSCFB2957_03137
KPN_02308	RSCFB2957_01342
KPN_02309	RSCFB2957_00856
KPN_02550	RSCFB2957_00104
KPN_02671	RSCFB2957_01962
KPN_03761	RSCFB2957_02778
KPN_03760	RSCFB2957_02777
KPN_02672	RSCFB2957_01963
KPN_00370	RSCFB2957_02568
KPN_01221	RSCFB2957_02288
KPN_03521	RSCFB2957_04087
KPN_01464	RSCFB2957_01654
KPN_01464	RSCFB2957_02662
KPN_02674	RSCFB2957_01965
KPN_02797	RSCFB2957_02566
KPN_02797	RSCFB2957_02025
KPN_02798	RSCFB2957_01207
KPN_03767	RSCFB2957_02784
KPN_02677	RSCFB2957_01969
KPN_01104	RSCFB2957_00993
KPN_01467	RSCFB2957_04645
KPN_02799	RSCFB2957_02560
KPN_00256	RSCFB2957_04882
KPN_00256	RSCFB2957_00708
KPN_00256	RSCFB2957_04292
KPN_00256	RSCFB2957_00033
KPN_00255	RSCFB2957_00034
KPN_00134	RSCFB2957_00231
KPN_00373	RSCFB2957_02123
KPN_00372	RSCFB2957_02122
KPN_03109	RSCFB2957_01652
KPN_03108	RSCFB2957_01651
KPN_03112	RSCFB2957_03362
KPN_03112	RSCFB2957_02989
KPN_03114	RSCFB2957_02274
KPN_01056	RSCFB2957_00216
KPN_00083	RSCFB2957_01984
KPN_00082	RSCFB2957_01985
KPN_03355	RSCFB2957_00537
KPN_03113	RSCFB2957_02273
KPN_03597	RSCFB2957_02619
KPN_03357	RSCFB2957_02560
KPN_03599	RSCFB2957_02761
KPN_00080	RSCFB2957_01980
KPN_03236	RSCFB2957_00888
KPN_04325	RSCFB2957_03945
KPN_02380	RSCFB2957_00426
KPN_00089	RSCFB2957_02646
KPN_00088	RSCFB2957_02647
KPN_04441	RSCFB2957_00936
KPN_03352	RSCFB2957_04411
KPN_04440	RSCFB2957_01342
KPN_04308	RSCFB2957_00133
KPN_03339	RSCFB2957_03062
KPN_04428	RSCFB2957_02500
KPN_02495	RSCFB2957_00682
KPN_00195	RSCFB2957_01386
KPN_04674	RSCFB2957_01224
KPN_03222	RSCFB2957_04229
KPN_02496	RSCFB2957_00683
KPN_00194	RSCFB2957_01385
KPN_01165	RSCFB2957_01284
KPN_04673	RSCFB2957_01223
KPN_02497	RSCFB2957_00681
KPN_00193	RSCFB2957_01384
KPN_03587	RSCFB2957_01796
KPN_04313	RSCFB2957_02572
KPN_03466	RSCFB2957_01941
KPN_03586	RSCFB2957_01795
KPN_00192	RSCFB2957_01383
KPN_03465	RSCFB2957_01943
KPN_03226	RSCFB2957_01229
KPN_04557	RSCFB2957_03466
KPN_03225	RSCFB2957_02405
KPN_02379	RSCFB2957_00428
KPN_03467	RSCFB2957_01940
KPN_04677	RSCFB2957_01225
KPN_03349	RSCFB2957_01208
KPN_03106	RSCFB2957_01179
KPN_02490	RSCFB2957_00683
KPN_00079	RSCFB2957_01899
KPN_02491	RSCFB2957_00681
KPN_04670	RSCFB2957_04339
KPN_00078	RSCFB2957_01901
KPN_00077	RSCFB2957_01900
KPN_00198	RSCFB2957_01136
KPN_03580	RSCFB2957_02418
KPN_04430	RSCFB2957_01993
KPN_03341	RSCFB2957_03060
KPN_01041	RSCFB2957_03075
KPN_02494	RSCFB2957_00684
KPN_03340	RSCFB2957_03061
KPN_01284	RSCFB2957_01140
KPN_03461	RSCFB2957_00700
KPN_04671	RSCFB2957_01226
KPN_00184	RSCFB2957_01375
KPN_04663	RSCFB2957_02137
KPN_04783	RSCFB2957_01708
KPN_04783	RSCFB2957_04884
KPN_04665	RSCFB2957_02267
KPN_02365	RSCFB2957_04464
KPN_02366	RSCFB2957_04841
KPN_03454	RSCFB2957_04465
KPN_04785	RSCFB2957_02271
KPN_02367	RSCFB2957_04840
KPN_02488	RSCFB2957_00684
KPN_04304	RSCFB2957_02205
KPN_04424	RSCFB2957_01246
KPN_02489	RSCFB2957_00682
KPN_02369	RSCFB2957_00538
KPN_02481	RSCFB2957_02753
KPN_00187	RSCFB2957_01377
KPN_02482	RSCFB2957_02752
KPN_01272	RSCFB2957_01915
KPN_00186	RSCFB2957_01379
KPN_00065	RSCFB2957_04429
KPN_04782	RSCFB2957_04852
KPN_01273	RSCFB2957_04512
KPN_01018	RSCFB2957_02507
KPN_01018	RSCFB2957_02943
KPN_03318	RSCFB2957_00953
KPN_01139	RSCFB2957_02530
KPN_02594	RSCFB2957_01539
KPN_02594	RSCFB2957_01540
KPN_01142	RSCFB2957_02534
KPN_01144	RSCFB2957_02352
KPN_04654	RSCFB2957_04199
KPN_02476	RSCFB2957_02759
KPN_01266	RSCFB2957_03896
KPN_02598	RSCFB2957_02660
KPN_03688	RSCFB2957_00077
KPN_02235	RSCFB2957_02701
KPN_04413	RSCFB2957_01625
KPN_02478	RSCFB2957_02757
KPN_02237	RSCFB2957_00352
KPN_02238	RSCFB2957_00350
KPN_00179	RSCFB2957_01361
KPN_03682	RSCFB2957_02575
KPN_02592	RSCFB2957_00573
KPN_02230	RSCFB2957_01094
KPN_00316	RSCFB2957_02797
KPN_00678	RSCFB2957_03185
KPN_00678	RSCFB2957_04194
KPN_00678	RSCFB2957_00444
KPN_00678	RSCFB2957_02156
KPN_01526	RSCFB2957_02540
KPN_01526	RSCFB2957_04177
KPN_03947	RSCFB2957_00908
KPN_00679	RSCFB2957_00443
KPN_01527	RSCFB2957_04175
KPN_01527	RSCFB2957_02543
KPN_03825	RSCFB2957_00034
KPN_02738	RSCFB2957_04838
KPN_00680	RSCFB2957_00442
KPN_00681	RSCFB2957_00441
KPN_00681	RSCFB2957_02157
KPN_03952	RSCFB2957_00313
KPN_02862	RSCFB2957_00945
KPN_03951	RSCFB2957_01129
KPN_03954	RSCFB2957_00311
KPN_02743	RSCFB2957_03705
KPN_02865	RSCFB2957_01127
KPN_00440	RSCFB2957_04258
KPN_00309	RSCFB2957_01539
KPN_00309	RSCFB2957_01540
KPN_03813	RSCFB2957_01243
KPN_02844	RSCFB2957_01191
KPN_00667	RSCFB2957_00067
KPN_03812	RSCFB2957_01244
KPN_01636	RSCFB2957_04427
KPN_03817	RSCFB2957_02291
KPN_02848	RSCFB2957_01186
KPN_01517	RSCFB2957_04562
KPN_03816	RSCFB2957_03242
KPN_03816	RSCFB2957_02290
KPN_03819	RSCFB2957_02293
KPN_03818	RSCFB2957_02292
KPN_01880	RSCFB2957_04772
KPN_01881	RSCFB2957_04771
KPN_00792	RSCFB2957_02459
KPN_00793	RSCFB2957_02460
KPN_01883	RSCFB2957_04769
KPN_00674	RSCFB2957_02554
KPN_00795	RSCFB2957_02462
KPN_00796	RSCFB2957_02461
KPN_00312	RSCFB2957_00335
KPN_03809	RSCFB2957_01247
KPN_00414	RSCFB2957_00299
KPN_02833	RSCFB2957_01400
KPN_03923	RSCFB2957_00488
KPN_03801	RSCFB2957_00401
KPN_02834	RSCFB2957_01398
KPN_03922	RSCFB2957_00486
KPN_02713	RSCFB2957_03565
KPN_00778	RSCFB2957_04428
KPN_00537	RSCFB2957_04237
KPN_01869	RSCFB2957_01452
KPN_03807	RSCFB2957_03478
KPN_02719	RSCFB2957_01743
KPN_01990	RSCFB2957_00482
KPN_01870	RSCFB2957_01451
KPN_01992	RSCFB2957_02705
KPN_01871	RSCFB2957_01450
KPN_03930	RSCFB2957_04904
KPN_01872	RSCFB2957_01449
KPN_01994	RSCFB2957_02393
KPN_01873	RSCFB2957_01448
KPN_00664	RSCFB2957_00283
KPN_03811	RSCFB2957_01245
KPN_01874	RSCFB2957_01447
KPN_03932	RSCFB2957_04906
KPN_03931	RSCFB2957_04905
KPN_03931	RSCFB2957_01221
KPN_03810	RSCFB2957_01246
KPN_01875	RSCFB2957_01446
KPN_00886	RSCFB2957_01559
KPN_02701	RSCFB2957_02706
KPN_02702	RSCFB2957_01886
KPN_01976	RSCFB2957_00765
KPN_00645	RSCFB2957_01923
KPN_02824	RSCFB2957_02439
KPN_00768	RSCFB2957_00309
KPN_01978	RSCFB2957_00456
KPN_02825	RSCFB2957_02307
KPN_02705	RSCFB2957_01889
KPN_03915	RSCFB2957_00959
KPN_03915	RSCFB2957_04181
KPN_02706	RSCFB2957_01890
KPN_02827	RSCFB2957_01786
KPN_00773	RSCFB2957_04396
KPN_01622	RSCFB2957_03025
KPN_00119	RSCFB2957_01699
KPN_00118	RSCFB2957_01700
KPN_00116	RSCFB2957_04237
KPN_02778	RSCFB2957_02405
KPN_02899	RSCFB2957_02300
KPN_03746	RSCFB2957_02682
KPN_02779	RSCFB2957_02091
KPN_01449	RSCFB2957_02946
KPN_03869	RSCFB2957_03484
KPN_00480	RSCFB2957_01130
KPN_03752	RSCFB2957_04495
KPN_03751	RSCFB2957_01705
KPN_01211	RSCFB2957_02628
KPN_02784	RSCFB2957_02942
KPN_04601	RSCFB2957_04237
KPN_03754	RSCFB2957_02272
KPN_03996	RSCFB2957_02038
KPN_04843	RSCFB2957_01655
KPN_01455	RSCFB2957_02507
KPN_01455	RSCFB2957_02943
KPN_03753	RSCFB2957_04494
KPN_01576	RSCFB2957_03245
KPN_03998	RSCFB2957_02036
KPN_02303	RSCFB2957_03484
KPN_00367	RSCFB2957_00713
KPN_00366	RSCFB2957_00716
KPN_00484	RSCFB2957_01703
KPN_00120	RSCFB2957_01697
KPN_00482	RSCFB2957_01134
KPN_00106	RSCFB2957_02625
KPN_00227	RSCFB2957_01808
KPN_03736	RSCFB2957_02910
KPN_02889	RSCFB2957_00991
KPN_02769	RSCFB2957_00847
KPN_03979	RSCFB2957_02314
KPN_02770	RSCFB2957_01322
KPN_01560	RSCFB2957_01478
KPN_03980	RSCFB2957_02342
KPN_03980	RSCFB2957_02316
KPN_03980	RSCFB2957_02343
KPN_02771	RSCFB2957_01321
KPN_01561	RSCFB2957_01479
KPN_03983	RSCFB2957_00135
KPN_02772	RSCFB2957_01320
KPN_02773	RSCFB2957_01315
KPN_02410	RSCFB2957_00997
KPN_01563	RSCFB2957_01482
KPN_01202	RSCFB2957_01537
KPN_03745	RSCFB2957_02288
KPN_03624	RSCFB2957_02773
KPN_00478	RSCFB2957_00541
KPN_00235	RSCFB2957_00502
KPN_00112	RSCFB2957_02602
KPN_00111	RSCFB2957_02301
KPN_00472	RSCFB2957_01627
KPN_03846	RSCFB2957_01299
KPN_03845	RSCFB2957_01297
KPN_02758	RSCFB2957_01367
KPN_03847	RSCFB2957_01300
KPN_03608	RSCFB2957_00368
KPN_03607	RSCFB2957_00369
KPN_01791	RSCFB2957_02007
KPN_02761	RSCFB2957_00847
KPN_02882	RSCFB2957_01622
KPN_03972	RSCFB2957_00692
KPN_02762	RSCFB2957_04350
KPN_02762	RSCFB2957_02658
KPN_02641	RSCFB2957_00828
KPN_00585	RSCFB2957_02507
KPN_00585	RSCFB2957_02943
KPN_03974	RSCFB2957_00345
KPN_02764	RSCFB2957_04350
KPN_02764	RSCFB2957_02658
KPN_03852	RSCFB2957_01352
KPN_03854	RSCFB2957_01850
KPN_03854	RSCFB2957_02663
KPN_00103	RSCFB2957_02613
KPN_00464	RSCFB2957_03123
KPN_00100	RSCFB2957_02634
KPN_00221	RSCFB2957_01121
KPN_00208	RSCFB2957_02612
KPN_01538	RSCFB2957_01739
KPN_01538	RSCFB2957_02150
KPN_01539	RSCFB2957_01738
KPN_01539	RSCFB2957_02149
KPN_02629	RSCFB2957_04065
KPN_02991	RSCFB2957_02507
KPN_02991	RSCFB2957_02943
KPN_01540	RSCFB2957_02148
KPN_02750	RSCFB2957_01147
KPN_01661	RSCFB2957_03410
KPN_03963	RSCFB2957_00845
KPN_01542	RSCFB2957_02146
KPN_03962	RSCFB2957_04144
KPN_03965	RSCFB2957_00691
KPN_02876	RSCFB2957_00729
KPN_03964	RSCFB2957_00531
KPN_01787	RSCFB2957_02022
KPN_00456	RSCFB2957_02401
KPN_00213	RSCFB2957_00850
KPN_00212	RSCFB2957_00851
KPN_00211	RSCFB2957_00852
KPN_00211	RSCFB2957_03157
KPN_00451	RSCFB2957_00373
KPN_00839	RSCFB2957_03186
KPN_00955	RSCFB2957_00936
KPN_00715	RSCFB2957_03155
KPN_00716	RSCFB2957_03154
KPN_00838	RSCFB2957_03185
KPN_00838	RSCFB2957_04194
KPN_00838	RSCFB2957_00444
KPN_00838	RSCFB2957_02156
KPN_01927	RSCFB2957_01559
KPN_00717	RSCFB2957_03153
KPN_00941	RSCFB2957_02099
KPN_00942	RSCFB2957_02398
KPN_00701	RSCFB2957_00785
KPN_01912	RSCFB2957_04647
KPN_00945	RSCFB2957_02400
KPN_04074	RSCFB2957_01985
KPN_01906	RSCFB2957_04237
KPN_00935	RSCFB2957_00833
KPN_00936	RSCFB2957_00837
KPN_00937	RSCFB2957_00838
KPN_00920	RSCFB2957_02189
KPN_00800	RSCFB2957_00220
KPN_00801	RSCFB2957_01454
KPN_00803	RSCFB2957_01455
KPN_00925	RSCFB2957_02176
KPN_04178	RSCFB2957_04142
KPN_04178	RSCFB2957_01237
KPN_04291	RSCFB2957_04252
KPN_04175	RSCFB2957_03050
KPN_00754	RSCFB2957_02302
KPN_02812	RSCFB2957_01112
KPN_00513	RSCFB2957_04352
KPN_00514	RSCFB2957_04353
KPN_00758	RSCFB2957_00741
KPN_00758	RSCFB2957_02475
KPN_00516	RSCFB2957_02659
KPN_02821	RSCFB2957_02087
KPN_01853	RSCFB2957_02945
KPN_00864	RSCFB2957_01351
KPN_00865	RSCFB2957_01352
KPN_00502	RSCFB2957_00953
KPN_00986	RSCFB2957_00830
KPN_02923	RSCFB2957_00741
KPN_02923	RSCFB2957_02475
KPN_02805	RSCFB2957_01358
KPN_00507	RSCFB2957_01228
KPN_00871	RSCFB2957_00283
KPN_00992	RSCFB2957_02084
KPN_00632	RSCFB2957_01705
KPN_02910	RSCFB2957_03232
KPN_02910	RSCFB2957_03277
KPN_00974	RSCFB2957_01679
KPN_00732	RSCFB2957_01248
KPN_00733	RSCFB2957_01249
KPN_00612	RSCFB2957_04285
KPN_00734	RSCFB2957_00520
KPN_00735	RSCFB2957_00521
KPN_00861	RSCFB2957_01348
KPN_00862	RSCFB2957_01349
KPN_00862	RSCFB2957_01144
KPN_01952	RSCFB2957_00574
KPN_00863	RSCFB2957_01350
KPN_01819	RSCFB2957_00770
KPN_00842	RSCFB2957_02598
KPN_00963	RSCFB2957_02515
KPN_00967	RSCFB2957_00956
KPN_00968	RSCFB2957_02027
KPN_00605	RSCFB2957_04146
KPN_00727	RSCFB2957_01902
KPN_00730	RSCFB2957_01905
KPN_00731	RSCFB2957_01904
KPN_00973	RSCFB2957_01316
KPN_04094	RSCFB2957_04081
