KPN_04005	XOO3238
KPN_01273	XOO0594
KPN_03318	XOO2872
KPN_01139	XOO2048
KPN_02594	XOO1929
KPN_01142	XOO2555
KPN_01021	XOO2785
KPN_04772	XOO2774
KPN_02475	XOO2255
KPN_02476	XOO2256
KPN_01266	XOO1349
KPN_02598	XOO2812
KPN_03688	XOO0586
KPN_02235	XOO3607
KPN_02477	XOO2257
KPN_04413	XOO2360
KPN_02478	XOO2258
KPN_02237	XOO3604
KPN_02479	XOO2259
KPN_02238	XOO3603
KPN_00179	XOO1985
KPN_03682	XOO4712
KPN_02592	XOO3866
KPN_02230	XOO2966
KPN_00316	XOO0402
KPN_02855	XOO0450
KPN_01526	XOO3633
KPN_01527	XOO3629
KPN_02738	XOO2315
KPN_03949	XOO0022
KPN_03952	XOO4198
KPN_03954	XOO3664
KPN_02743	XOO2205
KPN_02865	XOO2711
KPN_00687	XOO2429
KPN_00323	XOO0352
KPN_00309	XOO1929
KPN_00667	XOO3968
KPN_02724	XOO4084
KPN_02848	XOO2535
KPN_01517	XOO2057
KPN_00792	XOO2396
KPN_01762	XOO4362
KPN_00674	XOO3329
KPN_00795	XOO2400
KPN_00796	XOO2398
KPN_00310	XOO1930
KPN_03809	XOO0168
KPN_00415	XOO1615
KPN_00414	XOO4486
KPN_02833	XOO2195
KPN_03923	XOO4399
KPN_03801	XOO0332
KPN_02834	XOO2194
KPN_03922	XOO4398
KPN_02713	XOO0761
KPN_00777	XOO1195
KPN_00778	XOO1194
KPN_00537	XOO4034
KPN_00779	XOO1193
KPN_03929	XOO2910
KPN_03929	XOO4417
KPN_03807	XOO2505
KPN_02719	XOO3261
KPN_01992	XOO3207
KPN_01994	XOO2828
KPN_01994	XOO2712
KPN_01994	XOO3208
KPN_00664	XOO3956
KPN_03810	XOO2313
KPN_00409	XOO0758
KPN_00886	XOO2777
KPN_02702	XOO3675
KPN_00645	XOO2156
KPN_00887	XOO2776
KPN_02824	XOO1297
KPN_00888	XOO2775
KPN_00768	XOO1460
KPN_01978	XOO0512
KPN_02825	XOO1294
KPN_02705	XOO3679
KPN_03915	XOO3260
KPN_02706	XOO3250
KPN_02827	XOO3669
KPN_00119	XOO0720
KPN_00118	XOO4248
KPN_00116	XOO4034
KPN_02778	XOO2368
KPN_02778	XOO2733
KPN_03746	XOO4163
KPN_02779	XOO4239
KPN_03625	XOO0178
KPN_03869	XOO4030
KPN_00480	XOO3672
KPN_04601	XOO4034
KPN_03754	XOO3408
KPN_03754	XOO3102
KPN_03996	XOO1145
KPN_03998	XOO1149
KPN_02303	XOO4030
KPN_00126	XOO4157
KPN_00367	XOO3852
KPN_00366	XOO3856
KPN_00124	XOO2862
KPN_00002	XOO2242
KPN_00484	XOO2193
KPN_00120	XOO0722
KPN_00482	XOO2678
KPN_00106	XOO1583
KPN_00227	XOO1039
KPN_03736	XOO2188
KPN_03736	XOO0469
KPN_02769	XOO3409
KPN_03979	XOO0496
KPN_02770	XOO3686
KPN_03980	XOO0497
KPN_02771	XOO3688
KPN_03983	XOO0508
KPN_02772	XOO3689
KPN_02773	XOO3690
KPN_02410	XOO2291
KPN_03745	XOO1219
KPN_03624	XOO0177
KPN_03866	XOO3287
KPN_03866	XOO4874
KPN_00478	XOO3210
KPN_00111	XOO3212
KPN_00472	XOO3764
KPN_02758	XOO2410
KPN_03608	XOO1288
KPN_03607	XOO1289
KPN_02761	XOO3409
KPN_02882	XOO0841
KPN_03972	XOO0926
KPN_02762	XOO2810
KPN_02641	XOO2702
KPN_03974	XOO2508
KPN_02764	XOO2810
KPN_03854	XOO2981
KPN_00103	XOO0043
KPN_00103	XOO4151
KPN_00100	XOO3821
KPN_00221	XOO4527
KPN_00208	XOO0809
KPN_01538	XOO0798
KPN_01539	XOO0799
KPN_01540	XOO0481
KPN_02750	XOO1504
KPN_03961	XOO3684
KPN_01542	XOO0485
KPN_00695	XOO1990
KPN_03962	XOO3691
KPN_02876	XOO3860
KPN_01787	XOO4363
KPN_00698	XOO3915
KPN_00456	XOO0963
KPN_00213	XOO0713
KPN_00212	XOO0714
KPN_00211	XOO0715
KPN_00451	XOO2717
KPN_00955	XOO0016
KPN_00715	XOO3844
KPN_00716	XOO3845
KPN_01927	XOO2777
KPN_00717	XOO3846
KPN_00961	XOO2418
KPN_00941	XOO2297
KPN_00941	XOO1565
KPN_00942	XOO2296
KPN_00701	XOO3713
KPN_00945	XOO2295
KPN_04074	XOO0945
KPN_01906	XOO4034
KPN_00935	XOO2388
KPN_00937	XOO2179
KPN_00920	XOO2547
KPN_00800	XOO0455
KPN_00801	XOO0456
KPN_00803	XOO0767
KPN_00925	XOO2116
KPN_04178	XOO4488
KPN_02812	XOO2923
KPN_00756	XOO1847
KPN_00758	XOO4284
KPN_00516	XOO2811
KPN_02821	XOO2501
KPN_00643	XOO2138
KPN_00502	XOO2872
KPN_00986	XOO1527
KPN_02923	XOO4284
KPN_02805	XOO1989
KPN_00627	XOO2407
KPN_00869	XOO4115
KPN_00871	XOO3956
KPN_02910	XOO4604
KPN_00974	XOO2237
KPN_00732	XOO2044
KPN_00733	XOO2043
KPN_00734	XOO1593
KPN_00735	XOO1594
KPN_00736	XOO2656
KPN_00737	XOO2661
KPN_00983	XOO0762
KPN_01952	XOO3867
KPN_00601	XOO3083
KPN_00602	XOO4286
KPN_00727	XOO1154
KPN_00730	XOO2308
KPN_00731	XOO2307
KPN_04096	XOO2917
