Orthogroup	BA7	BDBR229	CFB2957	GMI1000_2	K60	MOLK2	GMI1000	PSI07	PSS4	R24	RUN2340	UW551
OG0002547	RSBA7_00035	RSBDBR229_00033	RSCFB2957_00035	RSGMI1000_00032	RSK60_01689	RSMOLK2_00035	RSc0030	RSPSI07_03219	RSPSS4_00032	RSR24_00033	RSRUN2340_00054	RSUW551_00053
OG0001718	RSBA7_00036	RSBDBR229_00034	RSCFB2957_00036	RSGMI1000_00033	RSK60_01688	RSMOLK2_00036	RSc0031	RSPSI07_03218	RSPSS4_00033	RSR24_00034	RSRUN2340_00055	RSUW551_00049
OG0001717	RSBA7_00037	RSBDBR229_00035	RSCFB2957_00037	RSGMI1000_00034	RSK60_01687	RSMOLK2_00037	RSc0032	RSPSI07_03217	RSPSS4_00034	RSR24_00035	RSRUN2340_00056	RSUW551_00048
OG0001320	RSBA7_00038	RSBDBR229_00036	RSCFB2957_00038	RSGMI1000_00035	RSK60_01686	RSMOLK2_00038	RSc0033	RSPSI07_03216	RSPSS4_00035	RSR24_00036	RSRUN2340_00057	RSUW551_00047
OG0002649	RSBA7_00039	RSBDBR229_00037	RSCFB2957_00039	RSGMI1000_00036	RSK60_01685	RSMOLK2_00039	RSc0034	RSPSI07_03215	RSPSS4_00036	RSR24_00037	RSRUN2340_00058	RSUW551_00046
OG0002648	RSBA7_00040	RSBDBR229_00038	RSCFB2957_00040	RSGMI1000_00037	RSK60_01684	RSMOLK2_00040	RSc0035	RSPSI07_03214	RSPSS4_00037	RSR24_00038	RSRUN2340_00059	RSUW551_00045
OG0001716	RSBA7_00041	RSBDBR229_00039	RSCFB2957_00041	RSGMI1000_00038	RSK60_01683	RSMOLK2_00041	RSc0036	RSPSI07_03213	RSPSS4_00038	RSR24_00039	RSRUN2340_00060	RSUW551_00044
OG0002867	RSBA7_00042	RSBDBR229_00040	RSCFB2957_00042	RSGMI1000_00039	RSK60_01682	RSMOLK2_00042	RSc0037	RSPSI07_03212	RSPSS4_00039	RSR24_00040	RSRUN2340_00061	RSUW551_00043
OG0001715	RSBA7_00043	RSBDBR229_00041	RSCFB2957_00043	RSGMI1000_00040	RSK60_01681	RSMOLK2_00043	RSc0038	RSPSI07_03211	RSPSS4_00040	RSR24_00041	RSRUN2340_00062	RSUW551_00042
OG0001714	RSBA7_00044	RSBDBR229_00042	RSCFB2957_00044	RSGMI1000_00041	RSK60_01680	RSMOLK2_00044	RSc0039	RSPSI07_03210	RSPSS4_00041	RSR24_00042	RSRUN2340_00063	RSUW551_00041
OG0000842	RSBA7_00045	RSBDBR229_00043	RSCFB2957_00045	RSGMI1000_00042	RSK60_01679	RSMOLK2_00045	RSc0040	RSPSI07_03209	RSPSS4_00042	RSR24_00043	RSRUN2340_00064	RSUW551_00040
OG0002868	RSBA7_00046	RSBDBR229_00044	RSCFB2957_00046	RSGMI1000_00043	RSK60_01678	RSMOLK2_00046, RSMOLK2_00047	RSc0041	RSPSI07_03208	RSPSS4_00043		RSRUN2340_00065	RSUW551_00092
OG0000841	RSBA7_00047	RSBDBR229_00045	RSCFB2957_00047	RSGMI1000_00044	RSK60_01677	RSMOLK2_00048	RSc0042	RSPSI07_03207	RSPSS4_00044	RSR24_00044	RSRUN2340_00066	RSUW551_00093
OG0000840	RSBA7_00048	RSBDBR229_00046	RSCFB2957_00048	RSGMI1000_00045	RSK60_01676	RSMOLK2_00049	RSc0043	RSPSI07_03206	RSPSS4_00045	RSR24_00045	RSRUN2340_00067	RSUW551_00094
OG0002869	RSBA7_00049	RSBDBR229_00047	RSCFB2957_00049	RSGMI1000_00046	RSK60_01675	RSMOLK2_00050	RSc0044	RSPSI07_03205	RSPSS4_00046	RSR24_00046	RSRUN2340_00068	RSUW551_00095
OG0000838	RSBA7_00050	RSBDBR229_00048	RSCFB2957_00050	RSGMI1000_00047	RSK60_01674	RSMOLK2_00051	RSc0045	RSPSI07_03204	RSPSS4_00047	RSR24_00047	RSRUN2340_00069	RSUW551_00097
OG0000839	RSBA7_00051	RSBDBR229_00049	RSCFB2957_00051	RSGMI1000_00048	RSK60_01673	RSMOLK2_00052	RSc0046	RSPSI07_03203	RSPSS4_00048	RSR24_00048	RSRUN2340_00070	RSUW551_00098
OG0000694	RSBA7_00052	RSBDBR229_00050	RSCFB2957_00052	RSGMI1000_00049	RSK60_01672	RSMOLK2_00053	RSc0047	RSPSI07_03202	RSPSS4_00049	RSR24_00049	RSRUN2340_00071	RSUW551_00099
OG0001712	RSBA7_00053	RSBDBR229_00051	RSCFB2957_00053	RSGMI1000_00050	RSK60_01671	RSMOLK2_00054	RSc0048	RSPSI07_03201	RSPSS4_00050	RSR24_00050	RSRUN2340_00072	RSUW551_00100
OG0002870	RSBA7_00054	RSBDBR229_00052	RSCFB2957_00054	RSGMI1000_00051	RSK60_01670	RSMOLK2_00057	RSc0049	RSPSI07_03200	RSPSS4_00051	RSR24_00051	RSRUN2340_00073	RSUW551_00103
OG0001615	RSBA7_00055	RSBDBR229_00053	RSCFB2957_00055	RSGMI1000_00052	RSK60_01669	RSMOLK2_00058	RSc0050	RSPSI07_03199	RSPSS4_00052	RSR24_00052, RSR24_00053	RSRUN2340_00074, RSRUN2340_00077	RSUW551_00104
OG0001744	RSBA7_00056	RSBDBR229_00054	RSCFB2957_00056	RSGMI1000_00053	RSK60_01668	RSMOLK2_00059	RSc0051	RSPSI07_03198	RSPSS4_00053	RSR24_00054	RSRUN2340_00078	RSUW551_00105
OG0000833	RSBA7_00057	RSBDBR229_00055	RSCFB2957_00057	RSGMI1000_00054	RSK60_01667	RSMOLK2_00060	RSc0052	RSPSI07_03197	RSPSS4_00054	RSR24_00055	RSRUN2340_00079	RSUW551_00106
OG0001675	RSBA7_00058	RSBDBR229_00056	RSCFB2957_00058	RSGMI1000_00055	RSK60_01666	RSMOLK2_00061	RSc0053	RSPSI07_03196	RSPSS4_00055	RSR24_00056	RSRUN2340_00080	RSUW551_00107
OG0001308	RSBA7_00059	RSBDBR229_00057	RSCFB2957_00059	RSGMI1000_00056	RSK60_01665	RSMOLK2_00062	RSc0054	RSPSI07_03195	RSPSS4_00056	RSR24_00057	RSRUN2340_00081	RSUW551_00108
OG0001672	RSBA7_00060	RSBDBR229_00058	RSCFB2957_00060	RSGMI1000_00057	RSK60_01664	RSMOLK2_00063	RSc0055	RSPSI07_03194	RSPSS4_00057	RSR24_00058	RSRUN2340_00082	RSUW551_00109
OG0001309	RSBA7_00061	RSBDBR229_00059	RSCFB2957_00061	RSGMI1000_00058	RSK60_01663	RSMOLK2_00064	RSc0056	RSPSI07_03193	RSPSS4_00058	RSR24_00059	RSRUN2340_00083	RSUW551_00110
OG0001310	RSBA7_00062	RSBDBR229_00060	RSCFB2957_00062	RSGMI1000_00059	RSK60_01662	RSMOLK2_00066	RSc0057	RSPSI07_03192	RSPSS4_00059	RSR24_00061	RSRUN2340_00084	RSUW551_00112
OG0001311	RSBA7_00063	RSBDBR229_00061	RSCFB2957_00063	RSGMI1000_00060	RSK60_01661	RSMOLK2_00067	RSc0058	RSPSI07_03191	RSPSS4_00060	RSR24_00062	RSRUN2340_00085	RSUW551_00113
OG0000831	RSBA7_00064	RSBDBR229_00062	RSCFB2957_00064	RSGMI1000_00061	RSK60_01660	RSMOLK2_00068	RSc0059	RSPSI07_03190	RSPSS4_00061	RSR24_00063	RSRUN2340_00086	RSUW551_00114
OG0001673	RSBA7_00065	RSBDBR229_00063	RSCFB2957_00065	RSGMI1000_00062	RSK60_01659	RSMOLK2_00069	RSc0060	RSPSI07_03189	RSPSS4_00062	RSR24_00064	RSRUN2340_00087	RSUW551_00115
OG0001674	RSBA7_00066	RSBDBR229_00064	RSCFB2957_00066	RSGMI1000_00063	RSK60_01658	RSMOLK2_00070	RSc0061	RSPSI07_03188	RSPSS4_00063	RSR24_00065	RSRUN2340_00088	RSUW551_00116
OG0000296	RSBA7_00067	RSBDBR229_00065	RSCFB2957_00067	RSGMI1000_00064	RSK60_01657	RSMOLK2_00071	RSc0062	RSPSI07_03187	RSPSS4_00064	RSR24_00066	RSRUN2340_00089	RSUW551_00117
OG0000832	RSBA7_00068	RSBDBR229_00066	RSCFB2957_00068	RSGMI1000_00065	RSK60_01656	RSMOLK2_00072	RSc0063	RSPSI07_03186	RSPSS4_00065	RSR24_00067	RSRUN2340_00090	RSUW551_00118
OG0002871	RSBA7_00069	RSBDBR229_00067	RSCFB2957_00069	RSGMI1000_00066	RSK60_01655	RSMOLK2_00073	RSc0064	RSPSI07_03185	RSPSS4_00066	RSR24_00068	RSRUN2340_00091	RSUW551_00119
OG0002459	RSBA7_00070	RSBDBR229_00068	RSCFB2957_00070	RSGMI1000_00067	RSK60_01654	RSMOLK2_00074	RSc0065	RSPSI07_03184	RSPSS4_00067	RSR24_00069	RSRUN2340_00092	RSUW551_00120
OG0002458	RSBA7_00071	RSBDBR229_00069	RSCFB2957_00071	RSGMI1000_00068	RSK60_01653	RSMOLK2_00075	RSc0066	RSPSI07_03183	RSPSS4_00068	RSR24_00070	RSRUN2340_00093	RSUW551_00121
OG0002457	RSBA7_00072	RSBDBR229_00070	RSCFB2957_00072	RSGMI1000_00069	RSK60_01652	RSMOLK2_00076	RSc0067	RSPSI07_03182	RSPSS4_00069	RSR24_00071	RSRUN2340_00094	RSUW551_00122
OG0001222	RSBA7_00073	RSBDBR229_00071	RSCFB2957_00073	RSGMI1000_00070	RSK60_01651	RSMOLK2_00077	RSc0068	RSPSI07_03181	RSPSS4_00070	RSR24_00072	RSRUN2340_00095	RSUW551_00123
OG0002456	RSBA7_00074	RSBDBR229_00072	RSCFB2957_00074	RSGMI1000_00071	RSK60_01650	RSMOLK2_00078	RSc0069	RSPSI07_03180	RSPSS4_00071	RSR24_00073	RSRUN2340_00096	RSUW551_00124
OG0000683	RSBA7_00075	RSBDBR229_00073	RSCFB2957_00075	RSGMI1000_00072	RSK60_01649	RSMOLK2_00079	RSc0070	RSPSI07_03179	RSPSS4_00072	RSR24_00074	RSRUN2340_00097	RSUW551_00125
OG0002872	RSBA7_00076	RSBDBR229_00074	RSCFB2957_00076	RSGMI1000_00073	RSK60_01648	RSMOLK2_00080	RSc0071	RSPSI07_03178	RSPSS4_00073	RSR24_00075	RSRUN2340_00098	RSUW551_00126
OG0000337	RSBA7_00077	RSBDBR229_00075	RSCFB2957_00077	RSGMI1000_00074	RSK60_01647	RSMOLK2_00081	RSc0072	RSPSI07_03177	RSPSS4_00074	RSR24_00076	RSRUN2340_00099	RSUW551_00127
OG0002873	RSBA7_00078	RSBDBR229_00076	RSCFB2957_00078	RSGMI1000_00075	RSK60_01646	RSMOLK2_00082	RSc0073	RSPSI07_03176	RSPSS4_00075	RSR24_00077	RSRUN2340_00100	RSUW551_00128
OG0002455	RSBA7_00079	RSBDBR229_00077	RSCFB2957_00079	RSGMI1000_00076	RSK60_01645	RSMOLK2_00083	RSc0074	RSPSI07_03175	RSPSS4_00076	RSR24_00078	RSRUN2340_00101	RSUW551_00129
OG0001221	RSBA7_00080	RSBDBR229_00078	RSCFB2957_00080	RSGMI1000_00077	RSK60_01644	RSMOLK2_00084	RSc0075	RSPSI07_03174	RSPSS4_00077	RSR24_00079	RSRUN2340_00102	RSUW551_00130
OG0002454	RSBA7_00081	RSBDBR229_00079	RSCFB2957_00081	RSGMI1000_00078	RSK60_01643	RSMOLK2_00085	RSc0076	RSPSI07_03173	RSPSS4_00078	RSR24_00080	RSRUN2340_00103	RSUW551_00131
OG0002453	RSBA7_00082	RSBDBR229_00080	RSCFB2957_00082	RSGMI1000_00079	RSK60_01642	RSMOLK2_00086	RSc0077	RSPSI07_03172	RSPSS4_00079	RSR24_00081	RSRUN2340_00104	RSUW551_00132
OG0002452	RSBA7_00083	RSBDBR229_00081	RSCFB2957_00083	RSGMI1000_00080	RSK60_01641	RSMOLK2_00087	RSc0078	RSPSI07_03171	RSPSS4_00080	RSR24_00082	RSRUN2340_00105	RSUW551_00133
OG0002673	RSBA7_00085	RSBDBR229_00497, RSBDBR229_00499	RSCFB2957_00085	RSGMI1000_00082	RSK60_01639	RSMOLK2_00089, RSMOLK2_00092	RSc0079		RSPSS4_00082	RSR24_00171	RSRUN2340_00107	RSUW551_00135
OG0002874	RSBA7_00088	RSBDBR229_00083	RSCFB2957_00086	RSGMI1000_00083	RSK60_01638	RSMOLK2_00093	RSc0080	RSPSI07_03169	RSPSS4_00083	RSR24_00084	RSRUN2340_00108	RSUW551_00136
OG0002875	RSBA7_00089	RSBDBR229_00084	RSCFB2957_00087	RSGMI1000_00084	RSK60_01637	RSMOLK2_00094	RSc0081	RSPSI07_03168	RSPSS4_00084	RSR24_00088	RSRUN2340_00109	RSUW551_00137
OG0002625	RSBA7_00090	RSBDBR229_00085	RSCFB2957_00088	RSGMI1000_00085	RSK60_01636	RSMOLK2_00095	RSc0082	RSPSI07_03167	RSPSS4_00085	RSR24_00089	RSRUN2340_00110	RSUW551_00138
OG0002596	RSBA7_00091	RSBDBR229_00086	RSCFB2957_00089	RSGMI1000_00086	RSK60_01635	RSMOLK2_00096	RSc0083	RSPSI07_03166	RSPSS4_00086	RSR24_00090	RSRUN2340_00111	RSUW551_00139
OG0002876	RSBA7_00092	RSBDBR229_00087	RSCFB2957_00090	RSGMI1000_00087	RSK60_01634	RSMOLK2_00097	RSc0084	RSPSI07_03165	RSPSS4_00087	RSR24_00091	RSRUN2340_00112	RSUW551_00140
OG0000845	RSBA7_00093	RSBDBR229_00088	RSCFB2957_00091	RSGMI1000_00088	RSK60_01633	RSMOLK2_00098	RSc0085	RSPSI07_03164	RSPSS4_00088	RSR24_00092	RSRUN2340_00113	RSUW551_00141
OG0001325	RSBA7_00094	RSBDBR229_00089	RSCFB2957_00092	RSGMI1000_00089	RSK60_01632	RSMOLK2_00099	RSc0086	RSPSI07_03163	RSPSS4_00089	RSR24_00093	RSRUN2340_00114	RSUW551_00142
OG0001733	RSBA7_00095	RSBDBR229_00090	RSCFB2957_00093	RSGMI1000_00090	RSK60_01631	RSMOLK2_00100	RSc0087	RSPSI07_03162	RSPSS4_00090	RSR24_00094	RSRUN2340_00115	RSUW551_00143
OG0001732	RSBA7_00096	RSBDBR229_00091	RSCFB2957_00094	RSGMI1000_00091	RSK60_01630	RSMOLK2_00101	RSc0088	RSPSI07_03161	RSPSS4_00091	RSR24_00095	RSRUN2340_00116	RSUW551_00144
OG0001731	RSBA7_00097	RSBDBR229_00092	RSCFB2957_00095	RSGMI1000_00092	RSK60_01629	RSMOLK2_00102	RSc0089	RSPSI07_03160	RSPSS4_00092	RSR24_00096	RSRUN2340_00117	RSUW551_00145
OG0001729	RSBA7_00099	RSBDBR229_00093	RSCFB2957_00097	RSGMI1000_00093	RSK60_01627	RSMOLK2_00104	RSc0090	RSPSI07_03159	RSPSS4_00093	RSR24_00097	RSRUN2340_00118	RSUW551_00147
OG0000348	RSBA7_00100	RSBDBR229_00094	RSCFB2957_00098	RSGMI1000_00094	RSK60_01626	RSMOLK2_00105	RSc0091	RSPSI07_03158	RSPSS4_00094	RSR24_00098	RSRUN2340_00119	RSUW551_00148
OG0001728	RSBA7_00101	RSBDBR229_00095	RSCFB2957_00099	RSGMI1000_00095	RSK60_01625	RSMOLK2_00106	RSc0092	RSPSI07_03157	RSPSS4_00095	RSR24_00099	RSRUN2340_00120	RSUW551_00149
OG0000695	RSBA7_00102	RSBDBR229_00096	RSCFB2957_00100	RSGMI1000_00096	RSK60_01624	RSMOLK2_00107	RSc0093	RSPSI07_03156	RSPSS4_00096	RSR24_00100	RSRUN2340_00121	RSUW551_00150
OG0004965		RSBDBR229_00097		RSGMI1000_00097			RSc0094	RSPSI07_03155	RSPSS4_00097			
OG0004966		RSBDBR229_00098		RSGMI1000_00098			RSc0095	RSPSI07_03154	RSPSS4_00098			
OG0002090	RSBA7_00103	RSBDBR229_00099	RSCFB2957_00101	RSGMI1000_00099	RSK60_01623	RSMOLK2_00108	RSc0097	RSPSI07_03153	RSPSS4_00099	RSR24_00101	RSRUN2340_00122	RSUW551_00151
OG0002089	RSBA7_00104	RSBDBR229_00100	RSCFB2957_00102	RSGMI1000_00100	RSK60_01622	RSMOLK2_00109	RSc0098	RSPSI07_03152	RSPSS4_00100	RSR24_00102	RSRUN2340_00123	RSUW551_00152
OG0002088	RSBA7_00105	RSBDBR229_00101	RSCFB2957_00103	RSGMI1000_00101	RSK60_01621	RSMOLK2_00110	RSc0099	RSPSI07_03151	RSPSS4_00101	RSR24_00103	RSRUN2340_00124	RSUW551_00153
OG0000227	RSBA7_00106	RSBDBR229_00102	RSCFB2957_00104	RSGMI1000_00102	RSK60_01620	RSMOLK2_00111	RSc0100	RSPSI07_03150	RSPSS4_00102	RSR24_00104	RSRUN2340_00125	RSUW551_00154
OG0002674	RSBA7_00107	RSBDBR229_00103	RSCFB2957_00105	RSGMI1000_00103	RSK60_01619	RSMOLK2_00112	RSc0101	RSPSI07_01713, RSPSI07_03149	RSPSS4_00103	RSR24_00105	RSRUN2340_00126	RSUW551_00155
OG0003548	RSBA7_02411			RSGMI1000_00104, RSGMI1000_00106	RSK60_01618		RSc0102, RSc0104		RSPSS4_00104, RSPSS4_00106	RSR24_00106	RSRUN2340_00127, RSRUN2340_04165	
OG0000014	RSBA7_02081, RSBA7_02084, RSBA7_03124, RSBA7_03230, RSBA7_03720, RSBA7_03834, RSBA7_03893, RSBA7_04678, RSBA7_04785, RSBA7_04786, RSBA7_04818	RSBDBR229_01938, RSBDBR229_01942	RSCFB2957_04812	RSGMI1000_00105, RSGMI1000_00111, RSGMI1000_00659, RSGMI1000_02222, RSGMI1000_03454, RSGMI1000_03694, RSGMI1000_03921, RSGMI1000_03924, RSGMI1000_04611, RSGMI1000_05122	RSK60_03388, RSK60_04465		RSc0103, RSc0110, RSc0637, RSc2176, RSc3393, RSp0217, RSp0450, RSp0453, RSp1152, RSp1675		RSPSS4_00105, RSPSS4_00111, RSPSS4_00661, RSPSS4_00801, RSPSS4_02324, RSPSS4_03898, RSPSS4_04583, RSPSS4_04586, RSPSS4_04811, RSPSS4_04837, RSPSS4_05178	RSR24_00899	RSRUN2340_00192, RSRUN2340_01340, RSRUN2340_03705, RSRUN2340_05186	
OG0005036				RSGMI1000_00107	RSK60_01616		RSc0106		RSPSS4_00107	RSR24_00108		
OG0002877	RSBA7_00108	RSBDBR229_00104	RSCFB2957_00106	RSGMI1000_00108	RSK60_01615	RSMOLK2_00113	RSc0107	RSPSI07_03148	RSPSS4_00108	RSR24_00109	RSRUN2340_00129	RSUW551_00156
OG0000592	RSBA7_00109	RSBDBR229_00105	RSCFB2957_00107	RSGMI1000_00109	RSK60_01614	RSMOLK2_00114	RSc0108	RSPSI07_03147	RSPSS4_00109	RSR24_00110	RSRUN2340_00130	RSUW551_00157
OG0000347	RSBA7_00110	RSBDBR229_00106	RSCFB2957_00108	RSGMI1000_00110	RSK60_01613	RSMOLK2_00115	RSc0109	RSPSI07_03146	RSPSS4_00110	RSR24_00111	RSRUN2340_00131	RSUW551_00158
OG0001726	RSBA7_00111	RSBDBR229_00107	RSCFB2957_00109	RSGMI1000_00112	RSK60_01612	RSMOLK2_00116	RSc0111	RSPSI07_03145	RSPSS4_00112	RSR24_00112	RSRUN2340_00132	RSUW551_00159
