XOO1903	RSc1443
XOO2838	RSp0303
XOO1510	RSp0002
XOO1510	RSp1053
XOO1510	RSc2466
XOO0661	RSp1255
XOO1514	RSc1119
XOO0667	RSc0015
XOO1513	RSc0774
XOO2840	RSc1950
XOO2840	RSc1234
XOO1996	RSc0978
XOO0665	RSc2207
XOO0664	RSc0217
XOO2828	RSc2526
XOO1979	RSp1500
XOO1979	RSc2696
XOO1979	RSc2695
XOO0647	RSp1301
XOO0647	RSp0156
XOO0647	RSp0475
XOO0647	RSp1135
XOO0647	RSp0126
XOO0647	RSp1331
XOO0647	RSp1362
XOO0646	RSc1439
XOO0646	RSc2405
XOO0646	RSc2706
XOO0646	RSc0423
XOO0646	RSp1333
XOO0646	RSp1217
XOO0646	RSc1492
XOO0646	RSp0558
XOO0646	RSp1625
XOO0646	RSp1303
XOO0646	RSp1628
XOO0646	RSc0828
XOO0646	RSp0504
XOO1977	RSc1404
XOO2825	RSp1136
XOO2825	RSp1179
XOO2825	RSp0206
XOO2825	RSc1704
XOO1983	RSc1403
XOO1982	RSp1500
XOO1982	RSc2696
XOO1982	RSc2695
XOO1985	RSc1393
XOO2817	RSp0750
XOO0638	RSp1206
XOO2818	RSp0750
XOO1968	RSc1412
XOO0636	RSc1009
XOO0636	RSp1302
XOO0636	RSc3351
XOO0636	RSp1332
XOO0636	RSc0208
XOO0636	RSp0588
XOO0636	RSp0127
XOO0636	RSp0073
XOO0636	RSc3199
XOO0636	RSc3221
XOO1967	RSc1414
XOO2819	RSc1548
XOO1966	RSc1415
XOO2814	RSp1136
XOO2814	RSp1179
XOO2814	RSp0206
XOO2814	RSc1704
XOO0639	RSp1207
XOO2820	RSc1549
XOO2820	RSc0578
XOO2820	RSc2267
XOO2820	RSp0548
XOO1972	RSc1408
XOO0641	RSp1667
XOO1970	RSc1410
XOO1976	RSc1405
XOO1974	RSc1406
XOO1973	RSc1407
XOO0627	RSp1483
XOO0626	RSp0100
XOO1955	RSp0155
XOO1955	RSp0584
XOO1955	RSc0843
XOO1955	RSc3123
XOO1955	RSc3145
XOO1955	RSc3421
XOO2809	RSc2860
XOO2804	RSc0011
XOO2804	RSp0819
XOO0629	RSp1481
XOO2805	RSp0312
XOO2805	RSc0010
XOO2805	RSp0818
XOO0628	RSp1482
XOO1961	RSc1169
XOO0630	RSp1480
XOO1960	RSp0155
XOO1960	RSp0584
XOO1960	RSc0843
XOO1960	RSc3123
XOO1960	RSc3145
XOO1960	RSc3421
XOO2810	RSc2861
XOO2810	RSp1282
XOO2811	RSc2862
XOO2812	RSc2863
XOO1965	RSc1416
XOO1964	RSc1417
XOO1963	RSc1418
XOO1962	RSc2205
XOO0218	RSp1296
XOO3728	RSp0225
XOO3729	RSc1456
XOO1550	RSc0622
XOO2886	RSc1522
XOO0222	RSc3220
XOO0222	RSp0518
XOO0222	RSc3222
XOO2887	RSc1521
XOO2400	RSc2647
XOO0221	RSp0155
XOO0221	RSp0584
XOO0221	RSc0843
XOO0221	RSc3123
XOO0221	RSc3145
XOO0221	RSc3421
XOO2888	RSc1519
XOO3735	RSp0331
XOO3735	RSp0185
XOO0227	RSc3328
XOO1558	RSc3063
XOO2404	RSc1438
XOO2404	RSc2406
XOO2404	RSp1299
XOO2404	RSc1493
XOO2404	RSp0557
XOO2404	RSc2707
XOO2404	RSp0503
XOO2404	RSp1216
XOO2404	RSc0829
XOO2403	RSc1439
XOO2403	RSc2405
XOO2403	RSc2706
XOO2403	RSc0423
XOO2403	RSp1333
XOO2403	RSp1217
XOO2403	RSc1492
XOO2403	RSp0558
XOO2403	RSp1625
XOO2403	RSp1303
XOO2403	RSp1628
XOO2403	RSc0828
XOO2403	RSp0504
XOO2884	RSc1115
XOO1555	RSc1354
XOO0209	RSp1301
XOO0209	RSp0156
XOO0209	RSp0475
XOO0209	RSp1135
XOO0209	RSp0126
XOO0209	RSp1331
XOO0209	RSp1362
XOO3719	RSc1428
XOO3719	RSc0233
XOO0208	RSp0155
XOO0208	RSp0584
XOO0208	RSc0843
XOO0208	RSc3123
XOO0208	RSc3145
XOO0208	RSc3421
XOO1539	RSc2505
XOO0207	RSp0155
XOO0207	RSp0584
XOO0207	RSc0843
XOO0207	RSc3123
XOO0207	RSc3145
XOO0207	RSc3421
XOO1538	RSc2506
XOO2868	RSc2857
XOO3718	RSc1009
XOO3718	RSp1302
XOO3718	RSc3351
XOO3718	RSp1332
XOO3718	RSc0208
XOO3718	RSp0588
XOO3718	RSp0127
XOO3718	RSp0073
XOO3718	RSc3199
XOO3718	RSc3221
XOO0692	RSc0927
XOO0690	RSc1747
XOO0212	RSc0338
XOO3723	RSp0832
XOO0694	RSc1371
XOO0693	RSc0926
XOO2871	RSc2515
XOO2871	RSc0592
XOO2872	RSc1028
XOO0214	RSc0340
XOO2873	RSc1030
XOO0698	RSp1178
XOO1545	RSc0789
XOO1528	RSc2597
XOO1528	RSc1730
XOO1527	RSc0900
XOO2857	RSp1405
XOO2858	RSp1404
XOO3706	RSp1301
XOO3706	RSp0156
XOO3706	RSp0475
XOO3706	RSp1135
XOO3706	RSp0126
XOO3706	RSp1331
XOO3706	RSp1362
XOO2859	RSp1403
XOO0680	RSc2654
XOO2865	RSc2003
XOO3712	RSc0086
XOO3713	RSc0791
XOO3714	RSp1587
XOO3714	RSp1588
XOO2860	RSc0510
XOO1536	RSc0969
XOO1536	RSc0970
XOO0688	RSp1411
XOO0203	RSp0478
XOO0203	RSc0252
XOO0687	RSp1410
XOO2862	RSp0332
XOO1517	RSc0756
XOO1999	RSc1294
XOO0670	RSc1369
XOO3700	RSc1439
XOO3700	RSc2405
XOO3700	RSc2706
XOO3700	RSc0423
XOO3700	RSp1333
XOO3700	RSp1217
XOO3700	RSc1492
XOO3700	RSp0558
XOO3700	RSp1625
XOO3700	RSp1303
XOO3700	RSp1628
XOO3700	RSc0828
XOO3700	RSp0504
XOO3701	RSc1439
XOO3701	RSc2405
XOO3701	RSc2706
XOO3701	RSc0423
XOO3701	RSp1333
XOO3701	RSp1217
XOO3701	RSc1492
XOO3701	RSp0558
XOO3701	RSp1625
XOO3701	RSp1303
XOO3701	RSp1628
XOO3701	RSc0828
XOO3701	RSp0504
XOO3702	RSc1439
XOO3702	RSc2405
XOO3702	RSc2706
XOO3702	RSc0423
XOO3702	RSp1333
XOO3702	RSp1217
XOO3702	RSc1492
XOO3702	RSp0558
XOO3702	RSp1625
XOO3702	RSp1303
XOO3702	RSp1628
XOO3702	RSc0828
XOO3702	RSp0504
XOO1525	RSc1311
XOO1524	RSp1495
XOO2850	RSp1407
XOO2851	RSp1301
XOO2851	RSp0156
XOO2851	RSp0475
XOO2851	RSp1135
XOO2851	RSp0126
XOO2851	RSp1331
XOO2851	RSp1362
XOO0676	RSc2956
XOO3649	RSc1231
XOO3650	RSp1301
XOO3650	RSp0156
XOO3650	RSp0475
XOO3650	RSp1135
XOO3650	RSp0126
XOO3650	RSp1331
XOO3650	RSp1362
XOO2320	RSp0155
XOO2320	RSp0584
XOO2320	RSc0843
XOO2320	RSc3123
XOO2320	RSc3145
XOO2320	RSc3421
XOO0141	RSp0155
XOO0141	RSp0584
XOO0141	RSc0843
XOO0141	RSc3123
XOO0141	RSc3145
XOO0141	RSc3421
XOO1472	RSc1642
XOO0140	RSp0155
XOO0140	RSp0584
XOO0140	RSc0843
XOO0140	RSc3123
XOO0140	RSc3145
XOO0140	RSc3421
XOO0145	RSp0155
XOO0145	RSp0584
XOO0145	RSc0843
XOO0145	RSc3123
XOO0145	RSc3145
XOO0145	RSc3421
XOO3657	RSc0764
XOO2323	RSp1178
XOO0144	RSp0155
XOO0144	RSp0584
XOO0144	RSc0843
XOO0144	RSc3123
XOO0144	RSc3145
XOO0144	RSc3421
XOO4505	RSc3122
XOO3658	RSp1443
XOO0149	RSp1136
XOO0149	RSp1179
XOO0149	RSp0206
XOO0149	RSc1704
XOO0148	RSp1136
XOO0148	RSp1179
XOO0148	RSp0206
XOO0148	RSc1704
XOO3654	RSp1301
XOO3654	RSp0156
XOO3654	RSp0475
XOO3654	RSp1135
XOO3654	RSp0126
XOO3654	RSp1331
XOO3654	RSp1362
XOO0147	RSp1136
XOO0147	RSp1179
XOO0147	RSp0206
XOO0147	RSc1704
XOO2308	RSc1994
XOO0129	RSp1301
XOO0129	RSp0156
XOO0129	RSp0475
XOO0129	RSp1135
XOO0129	RSp0126
XOO0129	RSp1331
XOO0129	RSp1362
XOO2307	RSc1993
XOO2790	RSp1050
XOO2791	RSp1047
XOO2793	RSp1056
XOO0131	RSc2285
XOO1460	RSc0353
XOO2313	RSc2140
XOO2313	RSc1267
XOO3645	RSp0245
XOO0135	RSc1799
XOO0134	RSp1136
XOO0134	RSp1179
XOO0134	RSp0206
XOO0134	RSc1704
XOO3646	RSp0246
XOO1465	RSp1403
XOO3647	RSc2690
XOO2317	RSp1560
XOO0138	RSp0155
XOO0138	RSp0584
XOO0138	RSc0843
XOO0138	RSc3123
XOO0138	RSc3145
XOO0138	RSc3421
XOO1469	RSc1950
XOO1469	RSc1234
XOO2315	RSp1557
XOO0137	RSc1799
XOO2314	RSp1559
XOO3644	RSc2903
XOO2797	RSc1352
XOO0118	RSc2520
XOO3629	RSp0954
XOO3629	RSp0951
XOO3629	RSc2733
XOO2781	RSp1301
XOO2781	RSp0156
XOO2781	RSp0475
XOO2781	RSp1135
XOO2781	RSp0126
XOO2781	RSp1331
XOO2781	RSp1362
XOO1450	RSp0768
XOO1450	RSp0175
XOO0124	RSp1301
XOO0124	RSp0156
XOO0124	RSp0475
XOO0124	RSp1135
XOO0124	RSp0126
XOO0124	RSp1331
XOO0124	RSp1362
XOO3634	RSp1301
XOO3634	RSp0156
XOO3634	RSp0475
XOO3634	RSp1135
XOO3634	RSp0126
XOO3634	RSp1331
XOO3634	RSp1362
XOO2787	RSp0400
XOO2787	RSp0398
XOO2787	RSp1524
XOO3635	RSp1136
XOO3635	RSp1179
XOO3635	RSp0206
XOO3635	RSc1704
XOO2788	RSc2856
XOO1453	RSp0768
XOO1453	RSp0175
XOO2789	RSp1048
XOO2789	RSp0070
XOO0121	RSp1301
XOO0121	RSp0156
XOO0121	RSp0475
XOO0121	RSp1135
XOO0121	RSp0126
XOO0121	RSp1331
XOO0121	RSp1362
XOO3630	RSp0950
XOO3630	RSc2732
XOO0127	RSp1301
XOO0127	RSp0156
XOO0127	RSp0475
XOO0127	RSp1135
XOO0127	RSp0126
XOO0127	RSp1331
XOO0127	RSp1362
XOO2305	RSc1117
XOO1458	RSc0377
XOO3631	RSc2078
XOO2304	RSc1118
XOO3633	RSc2730
XOO3633	RSp0949
XOO1439	RSc0422
XOO1438	RSc2823
XOO2769	RSc0529
XOO3617	RSc1558
XOO2771	RSc0528
XOO1440	RSc3143
XOO0590	RSc2202
XOO0113	RSp0239
XOO0597	RSc0497
XOO1443	RSp1301
XOO1443	RSp0156
XOO1443	RSp0475
XOO1443	RSp1135
XOO1443	RSp0126
XOO1443	RSp1331
XOO1443	RSp1362
XOO2777	RSc1734
XOO0112	RSp0242
XOO3624	RSp1327
XOO3624	RSp1358
XOO0596	RSc0135
XOO0595	RSc3133
XOO4957	RSc0001
XOO2779	RSc2727
XOO0110	RSp0758
XOO4950	RSc1438
XOO4950	RSc2406
XOO4950	RSp1299
XOO4950	RSc1493
XOO4950	RSp0557
XOO4950	RSc2707
XOO4950	RSp0503
XOO4950	RSp1216
XOO4950	RSc0829
XOO0117	RSp0238
XOO1448	RSc0541
XOO2773	RSp0665
XOO1447	RSc0022
XOO0116	RSp0235
XOO3621	RSc2653
XOO1446	RSc0023
XOO0115	RSp0236
XOO0598	RSc2215
XOO0114	RSp0237
XOO1445	RSc2141
XOO3209	RSc0576
XOO2360	RSc1719
XOO2360	RSc2137
XOO0181	RSp1587
XOO0181	RSp1588
XOO0180	RSp1587
XOO0180	RSp1588
XOO3210	RSc0575
XOO0186	RSp1301
XOO0186	RSp0156
XOO0186	RSp0475
XOO0186	RSp1135
XOO0186	RSp0126
XOO0186	RSp1331
XOO0186	RSp1362
XOO2364	RSc2630
XOO1033	RSc1711
XOO0185	RSp1301
XOO0185	RSp0156
XOO0185	RSp0475
XOO0185	RSp1135
XOO0185	RSp0126
XOO0185	RSp1331
XOO0185	RSp1362
XOO2363	RSc2387
XOO1031	RSp0155
XOO1031	RSp0584
XOO1031	RSc0843
XOO1031	RSc3123
XOO1031	RSc3145
XOO1031	RSc3421
XOO3690	RSc1336
XOO0183	RSp1587
XOO0183	RSp1588
XOO2361	RSc2731
XOO3691	RSp0961
XOO2368	RSc2539
XOO3216	RSc1291
XOO1036	RSc1714
XOO1035	RSc1713
XOO3218	RSc1289
XOO2366	RSc2627
XOO0187	RSp0155
XOO0187	RSp0584
XOO0187	RSc0843
XOO0187	RSc3123
XOO0187	RSc3145
XOO0187	RSc3421
XOO2365	RSc2628
XOO1034	RSc1712
XOO3219	RSc1288
XOO3212	RSc2448
XOO4544	RSc1952
XOO1039	RSc1515
XOO3214	RSc2067
XOO2369	RSp0155
XOO2369	RSp0584
XOO2369	RSc0843
XOO2369	RSc3123
XOO2369	RSc3145
XOO2369	RSc3421
XOO3215	RSc2069
XOO3682	RSc0319
XOO1020	RSp1301
XOO1020	RSp0156
XOO1020	RSp0475
XOO1020	RSp1135
XOO1020	RSp0126
XOO1020	RSp1331
XOO1020	RSp1362
XOO0173	RSc1138
XOO3689	RSc1345
XOO3205	RSc2813
XOO4536	RSc1824
XOO0177	RSc2965
XOO3207	RSc2904
XOO3208	RSc2526
XOO3201	RSp1291
XOO1029	RSc1439
XOO1029	RSc2405
XOO1029	RSc2706
XOO1029	RSc0423
XOO1029	RSp1333
XOO1029	RSp1217
XOO1029	RSc1492
XOO1029	RSp0558
XOO1029	RSp1625
XOO1029	RSp1303
XOO1029	RSp1628
XOO1029	RSc0828
XOO1029	RSp0504
XOO3686	RSc1347
XOO3202	RSp1287
XOO1028	RSc1439
XOO1028	RSc2405
XOO1028	RSc2706
XOO1028	RSc0423
XOO1028	RSp1333
XOO1028	RSp1217
XOO1028	RSc1492
XOO1028	RSp0558
XOO1028	RSp1625
XOO1028	RSp1303
XOO1028	RSp1628
XOO1028	RSc0828
XOO1028	RSp0504
XOO1027	RSc1439
XOO1027	RSc2405
XOO1027	RSc2706
XOO1027	RSc0423
XOO1027	RSp1333
XOO1027	RSp1217
XOO1027	RSc1492
XOO1027	RSp0558
XOO1027	RSp1625
XOO1027	RSp1303
XOO1027	RSp1628
XOO1027	RSc0828
XOO1027	RSp0504
XOO3688	RSc1346
XOO1009	RSp1301
XOO1009	RSp0156
XOO1009	RSp0475
XOO1009	RSp1135
XOO1009	RSp0126
XOO1009	RSp1331
XOO1009	RSp1362
XOO4518	RSc1178
XOO1491	RSp1136
XOO1491	RSp1179
XOO1491	RSp0206
XOO1491	RSc1704
XOO0160	RSp1587
XOO0160	RSp1588
XOO3672	RSc1163
XOO1495	RSp1136
XOO1495	RSp1179
XOO1495	RSp0206
XOO1495	RSc1704
XOO1010	RSp1136
XOO1010	RSp1179
XOO1010	RSp0206
XOO1010	RSc1704
XOO1493	RSp1136
XOO1493	RSp1179
XOO1493	RSp0206
XOO1493	RSc1704
XOO0168	RSc1268
XOO3679	RSc1979
XOO4527	RSc1154
XOO1012	RSp1136
XOO1012	RSp1179
XOO1012	RSp0206
XOO1012	RSc1704
XOO4528	RSc1766
XOO3674	RSc1134
XOO3675	RSc1976
XOO4523	RSc1439
XOO4523	RSc2405
XOO4523	RSc2706
XOO4523	RSc0423
XOO4523	RSp1333
XOO4523	RSp1217
XOO4523	RSc1492
XOO4523	RSp0558
XOO4523	RSp1625
XOO4523	RSp1303
XOO4523	RSp1628
XOO4523	RSc0828
XOO4523	RSp0504
XOO4524	RSc1439
XOO4524	RSc2405
XOO4524	RSc2706
XOO4524	RSc0423
XOO4524	RSp1333
XOO4524	RSp1217
XOO4524	RSc1492
XOO4524	RSp0558
XOO4524	RSp1625
XOO4524	RSp1303
XOO4524	RSp1628
XOO4524	RSc0828
XOO4524	RSp0504
XOO4508	RSc0950
XOO4509	RSc1789
XOO3660	RSp1301
XOO3660	RSp0156
XOO3660	RSp0475
XOO3660	RSp1135
XOO3660	RSp0126
XOO3660	RSp1331
XOO3660	RSp1362
XOO2331	RSp0012
XOO2330	RSp0400
XOO2330	RSp0398
XOO2330	RSp1524
XOO0151	RSp1301
XOO0151	RSp0156
XOO0151	RSp0475
XOO0151	RSp1135
XOO0151	RSp0126
XOO0151	RSp1331
XOO0151	RSp1362
XOO0150	RSp1301
XOO0150	RSp0156
XOO0150	RSp0475
XOO0150	RSp1135
XOO0150	RSp0126
XOO0150	RSp1331
XOO0150	RSp1362
XOO0157	RSc1118
XOO4514	RSc2450
XOO3668	RSc1536
XOO2333	RSc3393
XOO2333	RSp1675
XOO2333	RSp0453
XOO2333	RSp0217
XOO2333	RSc0637
XOO2333	RSc0110
XOO2333	RSc2176
XOO2333	RSc0103
XOO2333	RSp0450
XOO2333	RSp1152
XOO3669	RSc1537
XOO2339	RSc2674
XOO4511	RSc2516
XOO3664	RSc0355
XOO2338	RSc1305
XOO2336	RSc1955
XOO3666	RSc1534
XOO3252	RSc1983
XOO3254	RSc1984
XOO1071	RSp0109
XOO4585	RSc0016
XOO4586	RSc0352
XOO3255	RSc1985
XOO1070	RSp0110
XOO4580	RSc0928
XOO3250	RSc1980
XOO1075	RSc1399
XOO3251	RSc1981
XOO1062	RSc1331
XOO1061	RSc0560
XOO4573	RSc1035
XOO4575	RSc2674
XOO2390	RSc2980
XOO1066	RSc1194
XOO2396	RSc2644
XOO1065	RSc1192
XOO1064	RSc1191
XOO4570	RSc2235
XOO1063	RSc1332
XOO3249	RSc1528
XOO2398	RSc2646
XOO4577	RSp0155
XOO4577	RSp0584
XOO4577	RSc0843
XOO4577	RSc3123
XOO4577	RSc3145
XOO4577	RSc3421
XOO3246	RSc0510
XOO2382	RSp1136
XOO2382	RSp1179
XOO2382	RSp0206
XOO2382	RSc1704
XOO3230	RSc2057
XOO2381	RSp1301
XOO2381	RSp0156
XOO2381	RSp0475
XOO2381	RSp1135
XOO2381	RSp0126
XOO2381	RSp1331
XOO2381	RSp1362
XOO3232	RSc2058
XOO3233	RSc2059
XOO2385	RSp0155
XOO2385	RSp0584
XOO2385	RSc0843
XOO2385	RSc3123
XOO2385	RSc3145
XOO2385	RSc3421
XOO1054	RSc1896
XOO3238	RSc2064
XOO1059	RSc1039
XOO2389	RSc2981
XOO2388	RSc0903
XOO2387	RSc0904
XOO3234	RSc2060
XOO3235	RSc2061
XOO4566	RSc0160
XOO3236	RSc2062
XOO2371	RSc1438
XOO2371	RSc2406
XOO2371	RSp1299
XOO2371	RSc1493
XOO2371	RSp0557
XOO2371	RSc2707
XOO2371	RSp0503
XOO2371	RSp1216
XOO2371	RSc0829
XOO4550	RSc1593
XOO3222	RSc2049
XOO0190	RSp1637
XOO0197	RSp0241
XOO2374	RSp0155
XOO2374	RSp0584
XOO2374	RSc0843
XOO2374	RSc3123
XOO2374	RSc3145
XOO2374	RSc3421
XOO1042	RSc1872
XOO2373	RSc1436
XOO2373	RSc2408
XOO2373	RSc2265
XOO2373	RSc3089
XOO2372	RSc1439
XOO2372	RSc2405
XOO2372	RSc2706
XOO2372	RSc0423
XOO2372	RSp1333
XOO2372	RSp1217
XOO2372	RSc1492
XOO2372	RSp0558
XOO2372	RSp1625
XOO2372	RSp1303
XOO2372	RSp1628
XOO2372	RSc0828
XOO2372	RSp0504
XOO0194	RSp0239
XOO1041	RSc1513
XOO3227	RSc2054
XOO2379	RSc1597
XOO4558	RSc2446
XOO1047	RSc3220
XOO1047	RSp0518
XOO1047	RSc3222
XOO3228	RSc2055
XOO2378	RSp1553
XOO0199	RSp0478
XOO0199	RSc0252
XOO3229	RSc2056
XOO2377	RSp1040
XOO0198	RSc1439
XOO0198	RSc2405
XOO0198	RSc2706
XOO0198	RSc0423
XOO0198	RSp1333
XOO0198	RSp1217
XOO0198	RSc1492
XOO0198	RSp0558
XOO0198	RSp1625
XOO0198	RSp1303
XOO0198	RSp1628
XOO0198	RSc0828
XOO0198	RSp0504
XOO2376	RSp1041
XOO3223	RSc2050
XOO3224	RSc2051
XOO3225	RSc2052
XOO4556	RSc3327
XOO3226	RSc2053
XOO3291	RSc1314
XOO4145	RSc3301
XOO3298	RSc2223
XOO4146	RSc1439
XOO4146	RSc2405
XOO4146	RSc2706
XOO4146	RSc0423
XOO4146	RSp1333
XOO4146	RSp1217
XOO4146	RSc1492
XOO4146	RSp0558
XOO4146	RSp1625
XOO4146	RSp1303
XOO4146	RSp1628
XOO4146	RSc0828
XOO4146	RSp0504
XOO3299	RSc2222
XOO4140	RSc0363
XOO4141	RSc0362
XOO4149	RSc0350
XOO4132	RSc0372
XOO3282	RSp0998
XOO4130	RSc2538
XOO4137	RSc0367
XOO4138	RSc0365
XOO1091	RSc0428
XOO4122	RSp1587
XOO4122	RSp1588
XOO1094	RSc1326
XOO3272	RSc1636
XOO4129	RSp1301
XOO4129	RSp0156
XOO4129	RSp0475
XOO4129	RSp1135
XOO4129	RSp0126
XOO4129	RSp1331
XOO4129	RSp1362
XOO3278	RSc2366
XOO4125	RSc2219
XOO3279	RSc2379
XOO4126	RSc2217
XOO3263	RSc0373
XOO1088	RSp1301
XOO1088	RSp0156
XOO1088	RSp0475
XOO1088	RSp1135
XOO1088	RSp0126
XOO1088	RSp1331
XOO1088	RSp1362
XOO4591	RSp1301
XOO4591	RSp0156
XOO4591	RSp0475
XOO4591	RSp1135
XOO4591	RSp0126
XOO4591	RSp1331
XOO4591	RSp1362
XOO3260	RSc1034
XOO3260	RSp0945
XOO1086	RSp1136
XOO1086	RSp1179
XOO1086	RSp0206
XOO1086	RSc1704
XOO4592	RSp0155
XOO4592	RSp0584
XOO4592	RSc0843
XOO4592	RSc3123
XOO4592	RSc3145
XOO4592	RSc3421
XOO3261	RSc1566
XOO1085	RSp1136
XOO1085	RSp1179
XOO1085	RSp0206
XOO1085	RSc1704
XOO4593	RSp0155
XOO4593	RSp0584
XOO4593	RSc0843
XOO4593	RSc3123
XOO4593	RSc3145
XOO4593	RSc3421
XOO3262	RSc1388
XOO1089	RSp1301
XOO1089	RSp0156
XOO1089	RSp0475
XOO1089	RSp1135
XOO1089	RSp0126
XOO1089	RSp1331
XOO1089	RSp1362
XOO3267	RSc2189
XOO4114	RSc0141
XOO4297	RSc2887
XOO4295	RSc2344
XOO4296	RSc0374
XOO4288	RSc0642
XOO4289	RSc0641
XOO4284	RSc0743
XOO4284	RSc2660
XOO2092	RSp0155
XOO2092	RSp0584
XOO2092	RSc0843
XOO2092	RSc3123
XOO2092	RSc3145
XOO2092	RSc3421
XOO2090	RSp0478
XOO2090	RSc0252
XOO2096	RSp1136
XOO2096	RSp1179
XOO2096	RSp0206
XOO2096	RSc1704
XOO2095	RSp1136
XOO2095	RSp1179
XOO2095	RSp0206
XOO2095	RSc1704
XOO2094	RSp1301
XOO2094	RSp0156
XOO2094	RSp0475
XOO2094	RSp1135
XOO2094	RSp0126
XOO2094	RSp1331
XOO2094	RSp1362
XOO2097	RSp1301
XOO2097	RSp0156
XOO2097	RSp0475
XOO2097	RSp1135
XOO2097	RSp0126
XOO2097	RSp1331
XOO2097	RSp1362
XOO0737	RSp1553
XOO0736	RSc0177
XOO2917	RSc2752
XOO2918	RSc2755
XOO0734	RSp0197
XOO2921	RSp0807
XOO2921	RSc1114
XOO0744	RSp1464
XOO0726	RSc3323
XOO2901	RSc0267
XOO0728	RSc3321
XOO2903	RSc0261
