XOO0937	STM0110
XOO2043	STM0737
XOO3250	STM2366
XOO3372	STM4160
XOO1195	STM0781
XOO3018	STM3391
XOO2048	STM1232
XOO3016	STM3391
XOO4332	STM0161
XOO4575	STM1341
XOO2155	STM2254
XOO2396	STM0787
XOO2154	STM2253
XOO3249	STM3294
XOO2398	STM0791
XOO3006	STM2252
XOO2261	STM2077
XOO3230	STM2324
XOO2260	STM2076
XOO4200	STM0935
XOO1290	STM3307
XOO1176	STM3076
XOO1176	STM2474
XOO2143	STM3062
XOO2262	STM2078
XOO1294	STM2500
XOO3238	STM4081
XOO2388	STM0977
XOO1177	STM1204
XOO3235	STM2327
XOO0194	STM3538
XOO2258	STM2074
XOO3227	STM2321
XOO1289	STM3315
XOO3228	STM2322
XOO3349	STM3537
XOO2257	STM2073
XOO2256	STM2072
XOO1288	STM3316
XOO2255	STM2071
XOO3102	STM3477
XOO3224	STM2318
XOO2017	STM0422
XOO2259	STM2075
XOO4145	STM1124
XOO3299	STM0423
XOO2195	STM2510
XOO2194	STM2511
XOO2193	STM0542
XOO3287	STM3597
XOO3396	STM2934
XOO4486	STM0463
XOO3397	STM2935
XOO3398	STM2948
XOO4124	STM3206
XOO2188	STM0086
XOO2188	STM3457
XOO2186	STM2098
XOO2186	STM1752
XOO4488	STM4007
XOO4248	STM0152
XOO4007	STM3938
XOO4231	STM3904
XOO3264	STM4348
XOO2291	STM1945
XOO3260	STM3646
XOO2297	STM0984
XOO2296	STM0985
XOO3261	STM2384
XOO2295	STM0988
XOO4239	STM2451
XOO2179	STM0980
XOO2057	STM1469
XOO4115	STM0861
