XOO1903	RSCFB2957_01409
XOO2404	RSCFB2957_03221
XOO2404	RSCFB2957_00866
XOO2404	RSCFB2957_00202
XOO2404	RSCFB2957_01404
XOO2404	RSCFB2957_02178
XOO2404	RSCFB2957_02893
XOO2404	RSCFB2957_03213
XOO0226	RSCFB2957_03701
XOO2403	RSCFB2957_02177
XOO2403	RSCFB2957_03220
XOO2403	RSCFB2957_00867
XOO2403	RSCFB2957_01405
XOO2403	RSCFB2957_00203
XOO2403	RSCFB2957_03219
XOO2403	RSCFB2957_02894
XOO2403	RSCFB2957_04895
XOO2884	RSCFB2957_01082
XOO0225	RSCFB2957_03702
XOO1555	RSCFB2957_01327
XOO0224	RSCFB2957_03701
XOO0209	RSCFB2957_03861
XOO3719	RSCFB2957_00190
XOO3719	RSCFB2957_01397
XOO1539	RSCFB2957_02369
XOO1538	RSCFB2957_02370
XOO2868	RSCFB2957_00499
XOO2868	RSCFB2957_02654
XOO0692	RSCFB2957_00857
XOO0690	RSCFB2957_01549
XOO0212	RSCFB2957_00294
XOO3723	RSCFB2957_04085
XOO0694	RSCFB2957_01342
XOO0693	RSCFB2957_00856
XOO2871	RSCFB2957_00559
XOO2871	RSCFB2957_02380
XOO2872	RSCFB2957_00953
XOO0214	RSCFB2957_00296
XOO2873	RSCFB2957_00955
XOO0698	RSCFB2957_04451
XOO1545	RSCFB2957_00783
XOO1528	RSCFB2957_01563
XOO1527	RSCFB2957_00830
XOO2857	RSCFB2957_04619
XOO2858	RSCFB2957_04618
XOO3706	RSCFB2957_03861
XOO2859	RSCFB2957_04617
XOO0680	RSCFB2957_02469
XOO2865	RSCFB2957_01915
XOO3712	RSCFB2957_00092
XOO3713	RSCFB2957_00785
XOO2860	RSCFB2957_00472
XOO1536	RSCFB2957_00896
XOO0688	RSCFB2957_04625
XOO0203	RSCFB2957_00609
XOO0203	RSCFB2957_01716
XOO0203	RSCFB2957_04717
XOO0203	RSCFB2957_03539
XOO0203	RSCFB2957_00863
XOO0203	RSCFB2957_03192
XOO0203	RSCFB2957_04901
XOO0203	RSCFB2957_04359
XOO0203	RSCFB2957_00176
XOO0203	RSCFB2957_02159
XOO0687	RSCFB2957_04624
XOO1517	RSCFB2957_00754
XOO1999	RSCFB2957_01273
XOO0670	RSCFB2957_01340
XOO3700	RSCFB2957_02177
XOO3700	RSCFB2957_03220
XOO3700	RSCFB2957_00867
XOO3700	RSCFB2957_01405
XOO3700	RSCFB2957_00203
XOO3700	RSCFB2957_03219
XOO3700	RSCFB2957_02894
XOO3700	RSCFB2957_04895
XOO3701	RSCFB2957_02177
XOO3701	RSCFB2957_03220
XOO3701	RSCFB2957_00867
XOO3701	RSCFB2957_01405
XOO3701	RSCFB2957_00203
XOO3701	RSCFB2957_03219
XOO3701	RSCFB2957_02894
XOO3701	RSCFB2957_04895
XOO3702	RSCFB2957_02177
XOO3702	RSCFB2957_03220
XOO3702	RSCFB2957_00867
XOO3702	RSCFB2957_01405
XOO3702	RSCFB2957_00203
XOO3702	RSCFB2957_03219
XOO3702	RSCFB2957_02894
XOO3702	RSCFB2957_04895
XOO1525	RSCFB2957_01289
XOO1524	RSCFB2957_04759
XOO2850	RSCFB2957_04621
XOO2851	RSCFB2957_03861
XOO0676	RSCFB2957_02764
XOO3649	RSCFB2957_01207
XOO3650	RSCFB2957_03861
XOO1472	RSCFB2957_01653
XOO3657	RSCFB2957_00762
XOO2323	RSCFB2957_04451
XOO4505	RSCFB2957_02937
XOO3658	RSCFB2957_04635
XOO0149	RSCFB2957_03831
XOO0149	RSCFB2957_03830
XOO0148	RSCFB2957_03831
XOO0148	RSCFB2957_03830
XOO3654	RSCFB2957_03861
XOO0147	RSCFB2957_03831
XOO0147	RSCFB2957_03830
XOO2308	RSCFB2957_01905
XOO0129	RSCFB2957_03861
XOO2307	RSCFB2957_01904
XOO2790	RSCFB2957_04334
XOO2791	RSCFB2957_04331
XOO2793	RSCFB2957_04340
XOO0131	RSCFB2957_02172
XOO1460	RSCFB2957_00309
XOO2313	RSCFB2957_01246
XOO3645	RSCFB2957_03440
XOO0135	RSCFB2957_01501
XOO0134	RSCFB2957_03831
XOO0134	RSCFB2957_03830
XOO3646	RSCFB2957_03441
XOO1465	RSCFB2957_04617
XOO3647	RSCFB2957_02503
XOO2317	RSCFB2957_04841
XOO2794	RSCFB2957_04243
XOO1469	RSCFB2957_01864
XOO1469	RSCFB2957_01210
XOO2315	RSCFB2957_04838
XOO0137	RSCFB2957_01501
XOO2314	RSCFB2957_04840
XOO3644	RSCFB2957_02704
XOO2797	RSCFB2957_01325
XOO0118	RSCFB2957_02387
XOO3629	RSCFB2957_04175
XOO3629	RSCFB2957_02543
XOO2781	RSCFB2957_03861
XOO1450	RSCFB2957_04036
XOO1450	RSCFB2957_03370
XOO1450	RSCFB2957_04669
XOO0124	RSCFB2957_03861
XOO3634	RSCFB2957_03861
XOO2787	RSCFB2957_03608
XOO2787	RSCFB2957_03605
XOO2787	RSCFB2957_04803
XOO1455	RSCFB2957_04671
XOO3635	RSCFB2957_03831
XOO3635	RSCFB2957_03830
XOO2788	RSCFB2957_02653
XOO1454	RSCFB2957_04671
XOO0123	RSCFB2957_01077
XOO1453	RSCFB2957_04036
XOO1453	RSCFB2957_03370
XOO1453	RSCFB2957_04669
XOO2789	RSCFB2957_04332
XOO0121	RSCFB2957_03861
XOO1452	RSCFB2957_04672
XOO3630	RSCFB2957_04176
XOO3630	RSCFB2957_02542
XOO0127	RSCFB2957_03861
XOO2305	RSCFB2957_01084
XOO1458	RSCFB2957_00333
XOO3631	RSCFB2957_01986
XOO2304	RSCFB2957_01085
XOO3633	RSCFB2957_02540
XOO3633	RSCFB2957_04177
XOO1456	RSCFB2957_04672
XOO1439	RSCFB2957_00379
XOO1438	RSCFB2957_02619
XOO2769	RSCFB2957_00492
XOO3617	RSCFB2957_01751
XOO2771	RSCFB2957_00490
XOO1440	RSCFB2957_02958
XOO0590	RSCFB2957_02101
XOO0113	RSCFB2957_03435
XOO0597	RSCFB2957_00458
XOO1443	RSCFB2957_03861
XOO2777	RSCFB2957_01559
XOO0112	RSCFB2957_03439
XOO3624	RSCFB2957_04743
XOO0596	RSCFB2957_00131
XOO0595	RSCFB2957_02948
XOO4957	RSCFB2957_00001
XOO0594	RSCFB2957_04512
XOO2779	RSCFB2957_02537
XOO0110	RSCFB2957_04027
XOO4950	RSCFB2957_03221
XOO4950	RSCFB2957_00866
XOO4950	RSCFB2957_00202
XOO4950	RSCFB2957_01404
XOO4950	RSCFB2957_02178
XOO4950	RSCFB2957_02893
XOO4950	RSCFB2957_03213
XOO0117	RSCFB2957_03434
XOO1448	RSCFB2957_00506
XOO2773	RSCFB2957_03934
XOO1447	RSCFB2957_00027
XOO0116	RSCFB2957_03431
XOO3621	RSCFB2957_02468
XOO1446	RSCFB2957_00028
XOO0115	RSCFB2957_03432
XOO0598	RSCFB2957_02116
XOO0114	RSCFB2957_03433
XOO3209	RSCFB2957_00542
XOO2360	RSCFB2957_01625
XOO3210	RSCFB2957_00541
XOO0186	RSCFB2957_03861
XOO2364	RSCFB2957_02446
XOO1033	RSCFB2957_01635
XOO0185	RSCFB2957_03861
XOO2363	RSCFB2957_02245
XOO3690	RSCFB2957_01315
XOO2361	RSCFB2957_02541
XOO3691	RSCFB2957_04144
XOO2368	RSCFB2957_02405
XOO3216	RSCFB2957_01270
XOO1036	RSCFB2957_01632
XOO1035	RSCFB2957_01633
XOO3218	RSCFB2957_01268
XOO2366	RSCFB2957_02443
XOO2365	RSCFB2957_02444
XOO1034	RSCFB2957_01634
XOO3219	RSCFB2957_01267
XOO3212	RSCFB2957_02301
XOO4544	RSCFB2957_01866
XOO1039	RSCFB2957_01808
XOO3214	RSCFB2957_01976
XOO3215	RSCFB2957_01977
XOO1020	RSCFB2957_03861
XOO0173	RSCFB2957_01105
XOO3689	RSCFB2957_01320
XOO3205	RSCFB2957_02609
XOO3206	RSCFB2957_04153
XOO0177	RSCFB2957_02773
XOO3207	RSCFB2957_02705
XOO3208	RSCFB2957_02393
XOO3201	RSCFB2957_04567
XOO1029	RSCFB2957_02177
XOO1029	RSCFB2957_03220
XOO1029	RSCFB2957_00867
XOO1029	RSCFB2957_01405
XOO1029	RSCFB2957_00203
XOO1029	RSCFB2957_03219
XOO1029	RSCFB2957_02894
XOO1029	RSCFB2957_04895
XOO3686	RSCFB2957_01322
XOO3202	RSCFB2957_04563
XOO1028	RSCFB2957_02177
XOO1028	RSCFB2957_03220
XOO1028	RSCFB2957_00867
XOO1028	RSCFB2957_01405
XOO1028	RSCFB2957_00203
XOO1028	RSCFB2957_03219
XOO1028	RSCFB2957_02894
XOO1028	RSCFB2957_04895
XOO1027	RSCFB2957_02177
XOO1027	RSCFB2957_03220
XOO1027	RSCFB2957_00867
XOO1027	RSCFB2957_01405
XOO1027	RSCFB2957_00203
XOO1027	RSCFB2957_03219
XOO1027	RSCFB2957_02894
XOO1027	RSCFB2957_04895
XOO3688	RSCFB2957_01321
XOO1009	RSCFB2957_03861
XOO4518	RSCFB2957_01146
XOO1491	RSCFB2957_03831
XOO1491	RSCFB2957_03830
XOO3672	RSCFB2957_01130
XOO1495	RSCFB2957_03831
XOO1495	RSCFB2957_03830
XOO1010	RSCFB2957_03831
XOO1010	RSCFB2957_03830
XOO1493	RSCFB2957_03831
XOO1493	RSCFB2957_03830
XOO0162	RSCFB2957_04900
XOO0168	RSCFB2957_01247
XOO3679	RSCFB2957_01889
XOO4527	RSCFB2957_01121
XOO1012	RSCFB2957_03831
XOO1012	RSCFB2957_03830
XOO4528	RSCFB2957_01531
XOO3674	RSCFB2957_01101
XOO3675	RSCFB2957_01886
XOO4523	RSCFB2957_02177
XOO4523	RSCFB2957_03220
XOO4523	RSCFB2957_00867
XOO4523	RSCFB2957_01405
XOO4523	RSCFB2957_00203
XOO4523	RSCFB2957_03219
XOO4523	RSCFB2957_02894
XOO4523	RSCFB2957_04895
XOO4524	RSCFB2957_02177
XOO4524	RSCFB2957_03220
XOO4524	RSCFB2957_00867
XOO4524	RSCFB2957_01405
XOO4524	RSCFB2957_00203
XOO4524	RSCFB2957_03219
XOO4524	RSCFB2957_02894
XOO4524	RSCFB2957_04895
XOO4508	RSCFB2957_00891
XOO4509	RSCFB2957_01512
XOO3660	RSCFB2957_03861
XOO2331	RSCFB2957_03237
XOO2330	RSCFB2957_03608
XOO2330	RSCFB2957_03605
XOO2330	RSCFB2957_04803
XOO0151	RSCFB2957_03861
XOO0150	RSCFB2957_03861
XOO0157	RSCFB2957_01085
XOO4514	RSCFB2957_02303
XOO3668	RSCFB2957_01787
XOO2333	RSCFB2957_04812
XOO3669	RSCFB2957_01786
XOO2339	RSCFB2957_02488
XOO4511	RSCFB2957_02381
XOO3664	RSCFB2957_00311
XOO2338	RSCFB2957_01283
XOO2336	RSCFB2957_01868
XOO3666	RSCFB2957_01789
XOO3252	RSCFB2957_01893
XOO3254	RSCFB2957_01894
XOO1071	RSCFB2957_03302
XOO4585	RSCFB2957_00020
XOO4586	RSCFB2957_00308
XOO3255	RSCFB2957_01895
XOO1070	RSCFB2957_03303
XOO4580	RSCFB2957_00869
XOO4580	RSCFB2957_00868
XOO3250	RSCFB2957_01890
XOO1075	RSCFB2957_01368
XOO3251	RSCFB2957_01891
XOO1062	RSCFB2957_01309
XOO1061	RSCFB2957_00526
XOO4573	RSCFB2957_00960
XOO4575	RSCFB2957_02488
XOO2390	RSCFB2957_02788
XOO1066	RSCFB2957_01169
XOO2396	RSCFB2957_02459
XOO1065	RSCFB2957_01167
XOO1064	RSCFB2957_01166
XOO4570	RSCFB2957_02136
XOO1063	RSCFB2957_01310
XOO3249	RSCFB2957_01795
XOO2398	RSCFB2957_02461
XOO3246	RSCFB2957_00472
XOO2382	RSCFB2957_03831
XOO2382	RSCFB2957_03830
XOO3230	RSCFB2957_01965
XOO1051	RSCFB2957_03701
XOO2381	RSCFB2957_03861
XOO1050	RSCFB2957_03702
XOO3232	RSCFB2957_01966
XOO3233	RSCFB2957_01967
XOO1054	RSCFB2957_02059
XOO1054	RSCFB2957_02057
XOO1054	RSCFB2957_02058
XOO1052	RSCFB2957_03702
XOO3238	RSCFB2957_01973
XOO1059	RSCFB2957_00964
XOO2389	RSCFB2957_02789
XOO2388	RSCFB2957_00833
XOO2387	RSCFB2957_00834
XOO3234	RSCFB2957_01968
XOO3235	RSCFB2957_01969
XOO4566	RSCFB2957_00153
XOO3236	RSCFB2957_01970
XOO2371	RSCFB2957_03221
XOO2371	RSCFB2957_00866
XOO2371	RSCFB2957_00202
XOO2371	RSCFB2957_01404
XOO2371	RSCFB2957_02178
XOO2371	RSCFB2957_02893
XOO2371	RSCFB2957_03213
XOO4550	RSCFB2957_01706
XOO3222	RSCFB2957_01957
XOO0190	RSCFB2957_04908
XOO0197	RSCFB2957_03437
XOO1042	RSCFB2957_01837
XOO2372	RSCFB2957_02177
XOO2372	RSCFB2957_03220
XOO2372	RSCFB2957_00867
XOO2372	RSCFB2957_01405
XOO2372	RSCFB2957_00203
XOO2372	RSCFB2957_03219
XOO2372	RSCFB2957_02894
XOO2372	RSCFB2957_04895
XOO0194	RSCFB2957_03435
XOO1041	RSCFB2957_01810
XOO3227	RSCFB2957_01962
XOO2379	RSCFB2957_01702
XOO4558	RSCFB2957_02299
XOO1048	RSCFB2957_03702
XOO1047	RSCFB2957_03067
XOO1047	RSCFB2957_03703
XOO3228	RSCFB2957_01963
XOO2378	RSCFB2957_04834
XOO0199	RSCFB2957_00609
XOO0199	RSCFB2957_01716
XOO0199	RSCFB2957_04717
XOO0199	RSCFB2957_03539
XOO0199	RSCFB2957_00863
XOO0199	RSCFB2957_03192
XOO0199	RSCFB2957_04901
XOO0199	RSCFB2957_04359
XOO0199	RSCFB2957_00176
XOO0199	RSCFB2957_02159
XOO3229	RSCFB2957_01964
XOO0198	RSCFB2957_02177
XOO0198	RSCFB2957_03220
XOO0198	RSCFB2957_00867
XOO0198	RSCFB2957_01405
XOO0198	RSCFB2957_00203
XOO0198	RSCFB2957_03219
XOO0198	RSCFB2957_02894
XOO0198	RSCFB2957_04895
XOO3223	RSCFB2957_01958
XOO3224	RSCFB2957_01959
XOO3225	RSCFB2957_01960
XOO4556	RSCFB2957_03102
XOO3226	RSCFB2957_01961
XOO1049	RSCFB2957_03701
XOO3291	RSCFB2957_01292
XOO4145	RSCFB2957_03075
XOO3298	RSCFB2957_02124
XOO4146	RSCFB2957_02177
XOO4146	RSCFB2957_03220
XOO4146	RSCFB2957_00867
XOO4146	RSCFB2957_01405
XOO4146	RSCFB2957_00203
XOO4146	RSCFB2957_03219
XOO4146	RSCFB2957_02894
XOO4146	RSCFB2957_04895
XOO3299	RSCFB2957_02123
XOO4140	RSCFB2957_00319
XOO4141	RSCFB2957_00318
XOO4149	RSCFB2957_00306
XOO4132	RSCFB2957_00328
XOO3282	RSCFB2957_04245
XOO4130	RSCFB2957_02404
XOO4137	RSCFB2957_00323
XOO4138	RSCFB2957_00321
XOO1091	RSCFB2957_00388
XOO1094	RSCFB2957_01304
XOO3272	RSCFB2957_01661
XOO4129	RSCFB2957_03861
XOO3278	RSCFB2957_02223
XOO4125	RSCFB2957_02120
XOO3279	RSCFB2957_02237
XOO4126	RSCFB2957_02118
XOO3263	RSCFB2957_00329
XOO3264	RSCFB2957_03466
XOO1088	RSCFB2957_03861
XOO4591	RSCFB2957_03861
XOO3260	RSCFB2957_00959
XOO3260	RSCFB2957_04181
XOO1086	RSCFB2957_03831
XOO1086	RSCFB2957_03830
XOO3261	RSCFB2957_01743
XOO1085	RSCFB2957_03831
XOO1085	RSCFB2957_03830
XOO3262	RSCFB2957_01356
XOO1089	RSCFB2957_03861
XOO3267	RSCFB2957_02088
XOO4114	RSCFB2957_00137
XOO4297	RSCFB2957_02687
XOO4295	RSCFB2957_02191
XOO4296	RSCFB2957_00330
XOO4288	RSCFB2957_00634
XOO4289	RSCFB2957_00633
XOO4284	RSCFB2957_00741
XOO4284	RSCFB2957_02475
XOO2090	RSCFB2957_00609
XOO2090	RSCFB2957_01716
XOO2090	RSCFB2957_04717
XOO2090	RSCFB2957_03539
XOO2090	RSCFB2957_00863
XOO2090	RSCFB2957_03192
XOO2090	RSCFB2957_04901
XOO2090	RSCFB2957_04359
XOO2090	RSCFB2957_00176
XOO2090	RSCFB2957_02159
XOO2096	RSCFB2957_03831
XOO2096	RSCFB2957_03830
XOO2095	RSCFB2957_03831
XOO2095	RSCFB2957_03830
XOO2094	RSCFB2957_03861
XOO2097	RSCFB2957_03861
XOO0737	RSCFB2957_04834
XOO0736	RSCFB2957_00171
XOO0734	RSCFB2957_03395
XOO2921	RSCFB2957_04056
XOO2921	RSCFB2957_01081
XOO0744	RSCFB2957_04656
XOO0726	RSCFB2957_03097
XOO2901	RSCFB2957_00221
XOO0728	RSCFB2957_03095
XOO2903	RSCFB2957_00215
XOO0727	RSCFB2957_03096
XOO2904	RSCFB2957_02402
XOO0733	RSCFB2957_04060
XOO0733	RSCFB2957_03090
XOO0732	RSCFB2957_03091
XOO0731	RSCFB2957_03092
XOO0730	RSCFB2957_03093
XOO0715	RSCFB2957_00852
XOO0715	RSCFB2957_03157
XOO0714	RSCFB2957_00851
XOO0713	RSCFB2957_00850
XOO0718	RSCFB2957_00920
XOO2900	RSCFB2957_03447
XOO0722	RSCFB2957_01697
XOO0720	RSCFB2957_01699
XOO0703	RSCFB2957_00673
XOO0707	RSCFB2957_02868
XOO0711	RSCFB2957_02414
XOO1628	RSCFB2957_02295
XOO3807	RSCFB2957_01974
XOO1627	RSCFB2957_02312
XOO1626	RSCFB2957_02311
XOO1625	RSCFB2957_02310
XOO2956	RSCFB2957_01179
XOO1629	RSCFB2957_02718
XOO1631	RSCFB2957_02716
XOO2963	RSCFB2957_01096
XOO3810	RSCFB2957_00098
XOO0783	RSCFB2957_03861
XOO1630	RSCFB2957_02717
XOO2966	RSCFB2957_01094
XOO0787	RSCFB2957_00609
XOO0787	RSCFB2957_01716
XOO0787	RSCFB2957_04717
XOO0787	RSCFB2957_03539
XOO0787	RSCFB2957_00863
XOO0787	RSCFB2957_03192
XOO0787	RSCFB2957_04901
XOO0787	RSCFB2957_04359
XOO0787	RSCFB2957_00176
XOO0787	RSCFB2957_02159
XOO2960	RSCFB2957_01651
XOO1634	RSCFB2957_04708
XOO1634	RSCFB2957_04423
XOO2961	RSCFB2957_01652
XOO0785	RSCFB2957_03861
XOO1632	RSCFB2957_02715
XOO2962	RSCFB2957_01097
XOO2949	RSCFB2957_01797
XOO0767	RSCFB2957_01455
XOO2945	RSCFB2957_01196
XOO2946	RSCFB2957_01195
XOO1619	RSCFB2957_00377
XOO2947	RSCFB2957_02429
XOO2948	RSCFB2957_01796
XOO0773	RSCFB2957_02495
XOO1620	RSCFB2957_02618
XOO2953	RSCFB2957_01181
XOO0772	RSCFB2957_00340
XOO0771	RSCFB2957_00255
XOO2955	RSCFB2957_01180
XOO0770	RSCFB2957_00504
XOO1624	RSCFB2957_02422
XOO0777	RSCFB2957_03483
XOO1623	RSCFB2957_02421
XOO2950	RSCFB2957_01798
XOO1622	RSCFB2957_02616
XOO2951	RSCFB2957_01799
XOO1621	RSCFB2957_02617
XOO0759	RSCFB2957_01704
XOO2939	RSCFB2957_00790
XOO1603	RSCFB2957_04399
XOO2934	RSCFB2957_01070
XOO2935	RSCFB2957_01070
XOO2936	RSCFB2957_04498
XOO2941	RSCFB2957_00517
XOO2942	RSCFB2957_01282
XOO0761	RSCFB2957_03565
XOO2944	RSCFB2957_02569
XOO1612	RSCFB2957_04043
XOO0764	RSCFB2957_02680
XOO2940	RSCFB2957_00518
XOO0763	RSCFB2957_01712
XOO2927	RSCFB2957_01294
XOO2928	RSCFB2957_00104
XOO0746	RSCFB2957_00172
XOO2923	RSCFB2957_01112
XOO2926	RSCFB2957_01295
XOO0750	RSCFB2957_03831
XOO0750	RSCFB2957_03830
XOO2931	RSCFB2957_03604
XOO2932	RSCFB2957_02109
XOO2933	RSCFB2957_02108
XOO1601	RSCFB2957_03994
XOO1601	RSCFB2957_04400
XOO1600	RSCFB2957_01103
XOO1669	RSCFB2957_00736
XOO3854	RSCFB2957_00715
XOO3856	RSCFB2957_00716
XOO4704	RSCFB2957_03861
XOO3850	RSCFB2957_02567
XOO1679	RSCFB2957_00738
XOO3851	RSCFB2957_00712
XOO3852	RSCFB2957_00713
XOO3853	RSCFB2957_00714
XOO2508	RSCFB2957_00345
XOO1659	RSCFB2957_02089
XOO2506	RSCFB2957_00346
XOO2505	RSCFB2957_03478
XOO2989	RSCFB2957_01111
XOO3837	RSCFB2957_03030
XOO2509	RSCFB2957_00344
XOO3839	RSCFB2957_03029
XOO1660	RSCFB2957_00465
XOO1664	RSCFB2957_00731
XOO3843	RSCFB2957_03156
XOO0332	RSCFB2957_00401
XOO3844	RSCFB2957_03155
XOO1663	RSCFB2957_00462
XOO2510	RSCFB2957_00919
XOO1662	RSCFB2957_01677
XOO1662	RSCFB2957_04336
XOO3845	RSCFB2957_03154
XOO3846	RSCFB2957_03153
XOO1661	RSCFB2957_00463
XOO2514	RSCFB2957_00307
XOO2513	RSCFB2957_03861
XOO1666	RSCFB2957_00733
XOO3842	RSCFB2957_02902
XOO1665	RSCFB2957_00732
XOO3829	RSCFB2957_02645
XOO1649	RSCFB2957_02177
XOO1649	RSCFB2957_03220
XOO1649	RSCFB2957_00867
XOO1649	RSCFB2957_01405
XOO1649	RSCFB2957_00203
XOO1649	RSCFB2957_03219
XOO1649	RSCFB2957_02894
XOO1649	RSCFB2957_04895
XOO1647	RSCFB2957_03861
XOO3825	RSCFB2957_02640
XOO3826	RSCFB2957_02641
XOO3827	RSCFB2957_02642
XOO3828	RSCFB2957_02644
XOO3833	RSCFB2957_02649
XOO1650	RSCFB2957_02177
XOO1650	RSCFB2957_03220
XOO1650	RSCFB2957_00867
XOO1650	RSCFB2957_01405
XOO1650	RSCFB2957_00203
XOO1650	RSCFB2957_03219
XOO1650	RSCFB2957_02894
XOO1650	RSCFB2957_04895
XOO3835	RSCFB2957_01521
XOO0326	RSCFB2957_03221
XOO0326	RSCFB2957_00866
XOO0326	RSCFB2957_00202
XOO0326	RSCFB2957_01404
XOO0326	RSCFB2957_02178
XOO0326	RSCFB2957_02893
XOO0326	RSCFB2957_03213
XOO2981	RSCFB2957_01850
