XOO0937	KPN_00077
XOO3956	KPN_00871
XOO3956	KPN_00664
XOO3956	KPN_02468
XOO2981	KPN_03895
XOO2981	KPN_03854
XOO2981	KPN_02193
XOO1656	KPN_02380
XOO3830	KPN_00089
XOO2862	KPN_00124
XOO2501	KPN_02821
XOO3831	KPN_00088
XOO2967	KPN_03124
XOO0795	KPN_02495
XOO0795	KPN_02489
XOO3821	KPN_00100
XOO2733	KPN_03225
XOO2733	KPN_02778
XOO0794	KPN_02488
XOO0794	KPN_02494
XOO0793	KPN_04289
XOO0793	KPN_02496
XOO0793	KPN_02490
XOO0792	KPN_04288
XOO0792	KPN_02497
XOO0792	KPN_02491
XOO3824	KPN_00096
XOO0799	KPN_01539
XOO0799	KPN_02054
XOO0798	KPN_01538
XOO0556	KPN_03665
XOO1402	KPN_03161
XOO3649	KPN_00008
XOO3649	KPN_01126
XOO3649	KPN_02798
XOO3408	KPN_03754
XOO3409	KPN_02761
XOO3409	KPN_02769
XOO1594	KPN_00735
XOO1593	KPN_00734
XOO1350	KPN_03183
XOO3415	KPN_03355
XOO3657	KPN_04615
XOO1232	KPN_00169
XOO0022	KPN_03949
XOO1118	KPN_02797
XOO4620	KPN_03536
XOO1117	KPN_03878
XOO2205	KPN_02743
XOO3413	KPN_02369
XOO1219	KPN_01221
XOO1219	KPN_03745
XOO1219	KPN_01493
XOO2308	KPN_00730
XOO2429	KPN_00687
XOO2307	KPN_00731
XOO3519	KPN_02364
XOO1583	KPN_00106
XOO1460	KPN_00768
XOO0491	KPN_01590
XOO2313	KPN_04424
XOO2313	KPN_03810
XOO0497	KPN_03980
XOO2678	KPN_00482
XOO0496	KPN_03979
XOO2317	KPN_02366
XOO1349	KPN_01266
XOO3400	KPN_03118
XOO0016	KPN_01365
XOO0016	KPN_00955
XOO0016	KPN_04441
XOO2315	KPN_02738
XOO3764	KPN_00472
XOO3401	KPN_03117
XOO2314	KPN_02367
XOO0015	KPN_04626
XOO2555	KPN_01142
XOO2418	KPN_00961
XOO3629	KPN_01527
XOO3750	KPN_00046
XOO2661	KPN_00737
XOO0241	KPN_02200
XOO0481	KPN_01540
XOO0481	KPN_01478
XOO0481	KPN_04339
XOO2666	KPN_00281
XOO3997	KPN_04308
XOO2423	KPN_00134
XOO2788	KPN_02458
XOO4604	KPN_02910
XOO3757	KPN_04430
XOO2547	KPN_00920
XOO0485	KPN_01542
XOO3751	KPN_00045
XOO3752	KPN_03236
XOO0247	KPN_01277
XOO2785	KPN_01021
XOO3633	KPN_01526
XOO2665	KPN_00280
XOO2786	KPN_01017
XOO2407	KPN_00627
XOO1438	KPN_03597
XOO0228	KPN_02295
XOO3860	KPN_02876
XOO0350	KPN_04331
XOO1565	KPN_00941
XOO4712	KPN_03682
XOO0113	KPN_03798
XOO2776	KPN_00887
XOO2777	KPN_01132
XOO2777	KPN_00886
XOO2777	KPN_01927
XOO2535	KPN_02848
XOO3987	KPN_04329
XOO3866	KPN_02592
XOO0112	KPN_03795
XOO2656	KPN_00736
XOO3867	KPN_01952
XOO2410	KPN_02758
XOO3747	KPN_00049
XOO0594	KPN_01273
XOO0352	KPN_00323
XOO0117	KPN_03797
XOO2774	KPN_04772
XOO1203	KPN_01197
XOO2775	KPN_00888
XOO2654	KPN_00919
XOO2360	KPN_04413
XOO1270	KPN_00254
XOO3210	KPN_00478
XOO2364	KPN_00141
XOO1154	KPN_00727
XOO2363	KPN_00140
XOO2242	KPN_00002
XOO3690	KPN_02773
XOO3690	KPN_04008
XOO2361	KPN_00139
XOO3691	KPN_03962
XOO2368	KPN_03225
XOO2368	KPN_02778
XOO4548	KPN_04476
XOO1156	KPN_03767
XOO2365	KPN_00142
XOO3212	KPN_00111
XOO4544	KPN_04478
XOO4302	KPN_04282
XOO1039	KPN_00227
XOO4424	KPN_01587
XOO3684	KPN_03961
XOO1141	KPN_03388
XOO1140	KPN_03389
XOO3689	KPN_02772
XOO2236	KPN_04350
XOO0178	KPN_03625
XOO1388	KPN_04394
XOO1145	KPN_03996
XOO0177	KPN_03624
XOO3207	KPN_01992
XOO4417	KPN_03929
XOO3208	KPN_01994
XOO3208	KPN_04217
XOO3329	KPN_00674
XOO3686	KPN_02770
XOO1149	KPN_03998
XOO2237	KPN_00974
XOO3688	KPN_02771
XOO2116	KPN_00925
XOO3791	KPN_03375
XOO3672	KPN_00480
XOO2463	KPN_04132
XOO0043	KPN_00103
XOO2462	KPN_04133
XOO2461	KPN_04133
XOO0168	KPN_03809
XOO3679	KPN_02705
XOO2465	KPN_04130
XOO4527	KPN_00221
XOO2464	KPN_04131
XOO3675	KPN_02702
XOO2452	KPN_01474
XOO1242	KPN_04379
XOO1124	KPN_03045
XOO3547	KPN_03339
XOO3669	KPN_02827
XOO1244	KPN_03761
XOO1243	KPN_03760
XOO2211	KPN_02160
XOO4511	KPN_02564
XOO4511	KPN_02566
XOO3664	KPN_03954
XOO3785	KPN_04157
XOO4874	KPN_03866
XOO3423	KPN_01236
XOO1127	KPN_03349
XOO4512	KPN_02565
XOO2457	KPN_02014
XOO3252	KPN_01254
XOO1194	KPN_00778
XOO4342	KPN_02206
XOO1193	KPN_00779
XOO1191	KPN_02186
XOO2044	KPN_00732
XOO2043	KPN_00733
XOO3250	KPN_02706
XOO3372	KPN_04372
XOO1195	KPN_00777
XOO3018	KPN_03673
XOO2048	KPN_01139
XOO3016	KPN_03673
XOO4332	KPN_01123
XOO2155	KPN_02081
XOO2396	KPN_00792
XOO2154	KPN_02080
XOO3249	KPN_03586
XOO2398	KPN_00796
XOO2156	KPN_00645
XOO3006	KPN_02079
XOO2261	KPN_02481
XOO3230	KPN_02674
XOO2260	KPN_02480
XOO4321	KPN_01017
XOO4200	KPN_00904
XOO1290	KPN_03599
XOO1176	KPN_03357
XOO1176	KPN_01127
XOO1176	KPN_02799
XOO1297	KPN_02824
XOO2143	KPN_03348
XOO2262	KPN_02482
XOO1294	KPN_02825
XOO3238	KPN_04005
XOO2388	KPN_00935
XOO3235	KPN_02677
XOO0194	KPN_03798
XOO2258	KPN_02478
XOO3227	KPN_02671
XOO1289	KPN_03607
XOO3228	KPN_02672
XOO3349	KPN_03797
XOO2257	KPN_02477
XOO2256	KPN_02476
XOO1288	KPN_03608
XOO2255	KPN_02475
XOO3102	KPN_03754
XOO3224	KPN_02668
XOO2017	KPN_00372
XOO2259	KPN_02479
XOO2138	KPN_00643
XOO4145	KPN_01041
XOO3299	KPN_00373
XOO2195	KPN_02833
XOO2194	KPN_02834
XOO2073	KPN_04399
XOO2193	KPN_00484
XOO3287	KPN_03866
XOO4363	KPN_01787
XOO3396	KPN_03113
XOO4486	KPN_00414
XOO3397	KPN_03114
XOO4123	KPN_02568
XOO3398	KPN_03119
XOO4124	KPN_03462
XOO2188	KPN_03736
XOO2188	KPN_00044
XOO2186	KPN_02202
XOO4362	KPN_01762
XOO4488	KPN_04178
XOO4248	KPN_00118
XOO4007	KPN_04304
XOO4231	KPN_04270
XOO3264	KPN_04557
XOO2291	KPN_02410
XOO3260	KPN_03915
XOO2297	KPN_00941
XOO2296	KPN_00942
XOO3261	KPN_02719
XOO2295	KPN_00945
XOO4239	KPN_02779
XOO2179	KPN_00937
XOO2057	KPN_01517
XOO4115	KPN_00869
