XOO1903	RSGMI1000_01480
XOO1934	RSGMI1000_04791
XOO1934	RSGMI1000_04818
XOO1934	RSGMI1000_04594
XOO1934	RSGMI1000_03603
XOO1934	RSGMI1000_03947
XOO1934	RSGMI1000_04764
XOO1937	RSGMI1000_03481
XOO1937	RSGMI1000_03187
XOO1937	RSGMI1000_04050
XOO1937	RSGMI1000_03209
XOO1937	RSGMI1000_03628
XOO1937	RSGMI1000_00862
XOO1941	RSGMI1000_03481
XOO1941	RSGMI1000_03187
XOO1941	RSGMI1000_04050
XOO1941	RSGMI1000_03209
XOO1941	RSGMI1000_03628
XOO1941	RSGMI1000_00862
XOO1925	RSGMI1000_02848
XOO1924	RSGMI1000_02431
XOO1922	RSGMI1000_01024
XOO1929	RSGMI1000_01808
XOO1929	RSGMI1000_01807
XOO1917	RSGMI1000_05107
XOO1919	RSGMI1000_02411
XOO4198	RSGMI1000_00362
XOO4196	RSGMI1000_00359
XOO0659	RSGMI1000_03758
XOO1989	RSGMI1000_01422
XOO1504	RSGMI1000_01203
XOO2835	RSGMI1000_04866
XOO2836	RSGMI1000_04865
XOO1508	RSGMI1000_03481
XOO1508	RSGMI1000_03187
XOO1508	RSGMI1000_04050
XOO1508	RSGMI1000_03209
XOO1508	RSGMI1000_03628
XOO1508	RSGMI1000_00862
XOO2838	RSGMI1000_03775
XOO2838	RSGMI1000_01498
XOO1510	RSGMI1000_02518
XOO1510	RSGMI1000_03495
XOO1510	RSGMI1000_04514
XOO0661	RSGMI1000_04716
XOO1514	RSGMI1000_01142
XOO0667	RSGMI1000_00016
XOO1513	RSGMI1000_00798
XOO2840	RSGMI1000_01998
XOO2840	RSGMI1000_01265
XOO1996	RSGMI1000_00996
XOO0665	RSGMI1000_02253
XOO0664	RSGMI1000_00221
XOO2828	RSGMI1000_02577
XOO1979	RSGMI1000_02745
XOO1979	RSGMI1000_04956
XOO1979	RSGMI1000_02744
XOO0647	RSGMI1000_03629
XOO0647	RSGMI1000_04791
XOO0647	RSGMI1000_04818
XOO0647	RSGMI1000_04594
XOO0647	RSGMI1000_03603
XOO0647	RSGMI1000_03947
XOO0647	RSGMI1000_04764
XOO0646	RSGMI1000_05077
XOO0646	RSGMI1000_04793
XOO0646	RSGMI1000_02756
XOO0646	RSGMI1000_00848
XOO0646	RSGMI1000_05074
XOO0646	RSGMI1000_04766
XOO0646	RSGMI1000_02456
XOO0646	RSGMI1000_04677
XOO0646	RSGMI1000_03976
XOO0646	RSGMI1000_04025
XOO0646	RSGMI1000_01476
XOO0646	RSGMI1000_01531
XOO1977	RSGMI1000_01438
XOO2825	RSGMI1000_04595
XOO2825	RSGMI1000_01755
XOO2825	RSGMI1000_04639
XOO2825	RSGMI1000_03684
XOO1983	RSGMI1000_01437
XOO1982	RSGMI1000_02745
XOO1982	RSGMI1000_04956
XOO1982	RSGMI1000_02744
XOO1985	RSGMI1000_01425
XOO2817	RSGMI1000_04214
XOO0638	RSGMI1000_04666
XOO2818	RSGMI1000_04214
XOO1968	RSGMI1000_01446
XOO0636	RSGMI1000_04792
XOO0636	RSGMI1000_03280
XOO0636	RSGMI1000_03604
XOO0636	RSGMI1000_03258
XOO0636	RSGMI1000_04765
XOO0636	RSGMI1000_01027
XOO0636	RSGMI1000_00212
XOO0636	RSGMI1000_03411
XOO1967	RSGMI1000_01448
XOO2819	RSGMI1000_01589
XOO1966	RSGMI1000_01449
XOO2814	RSGMI1000_04595
XOO2814	RSGMI1000_01755
XOO2814	RSGMI1000_04639
XOO2814	RSGMI1000_03684
XOO0639	RSGMI1000_04667
XOO2820	RSGMI1000_01590
XOO2820	RSGMI1000_02314
XOO2820	RSGMI1000_00596
XOO2820	RSGMI1000_04015
XOO1972	RSGMI1000_01442
XOO0641	RSGMI1000_05114
XOO1970	RSGMI1000_01444
XOO1976	RSGMI1000_01439
XOO1974	RSGMI1000_01440
XOO1973	RSGMI1000_01441
XOO0627	RSGMI1000_04940
XOO0626	RSGMI1000_03579
XOO1955	RSGMI1000_03481
XOO1955	RSGMI1000_03187
XOO1955	RSGMI1000_04050
XOO1955	RSGMI1000_03209
XOO1955	RSGMI1000_03628
XOO1955	RSGMI1000_00862
XOO2809	RSGMI1000_02911
XOO2804	RSGMI1000_00012
XOO2804	RSGMI1000_04279
XOO0629	RSGMI1000_04938
XOO2805	RSGMI1000_00011
XOO2805	RSGMI1000_04278
XOO2805	RSGMI1000_03784
XOO0628	RSGMI1000_04939
XOO1961	RSGMI1000_01192
XOO0630	RSGMI1000_04937
XOO1960	RSGMI1000_03481
XOO1960	RSGMI1000_03187
XOO1960	RSGMI1000_04050
XOO1960	RSGMI1000_03209
XOO1960	RSGMI1000_03628
XOO1960	RSGMI1000_00862
XOO2810	RSGMI1000_02912
XOO2810	RSGMI1000_04745
XOO2811	RSGMI1000_02913
XOO2812	RSGMI1000_02914
XOO1965	RSGMI1000_01450
XOO1964	RSGMI1000_01451
XOO1963	RSGMI1000_01452
XOO1962	RSGMI1000_02251
XOO0218	RSGMI1000_04759
XOO3728	RSGMI1000_03702
XOO3729	RSGMI1000_01494
XOO1550	RSGMI1000_00643
XOO2886	RSGMI1000_01560
XOO0222	RSGMI1000_03990
XOO0222	RSGMI1000_03279
XOO2887	RSGMI1000_01559
XOO2400	RSGMI1000_02696
XOO0221	RSGMI1000_03481
XOO0221	RSGMI1000_03187
XOO0221	RSGMI1000_04050
XOO0221	RSGMI1000_03209
XOO0221	RSGMI1000_03628
XOO0221	RSGMI1000_00862
XOO2888	RSGMI1000_01557
XOO3735	RSGMI1000_03803
XOO3735	RSGMI1000_03661
XOO0227	RSGMI1000_03388
XOO1558	RSGMI1000_03127
XOO2404	RSGMI1000_00645
XOO2404	RSGMI1000_00849
XOO2404	RSGMI1000_01475
XOO2404	RSGMI1000_02457
XOO2404	RSGMI1000_03975
XOO2404	RSGMI1000_04762
XOO2404	RSGMI1000_04024
XOO2404	RSGMI1000_01532
XOO2404	RSGMI1000_04676
XOO2404	RSGMI1000_00431
XOO2403	RSGMI1000_05077
XOO2403	RSGMI1000_04793
XOO2403	RSGMI1000_02756
XOO2403	RSGMI1000_00848
XOO2403	RSGMI1000_05074
XOO2403	RSGMI1000_04766
XOO2403	RSGMI1000_02456
XOO2403	RSGMI1000_04677
XOO2403	RSGMI1000_03976
XOO2403	RSGMI1000_04025
XOO2403	RSGMI1000_01476
XOO2403	RSGMI1000_01531
XOO2884	RSGMI1000_01138
XOO1555	RSGMI1000_01386
XOO0209	RSGMI1000_03629
XOO0209	RSGMI1000_04791
XOO0209	RSGMI1000_04818
XOO0209	RSGMI1000_04594
XOO0209	RSGMI1000_03603
XOO0209	RSGMI1000_03947
XOO0209	RSGMI1000_04764
XOO3719	RSGMI1000_00237
XOO3719	RSGMI1000_01462
XOO0208	RSGMI1000_03481
XOO0208	RSGMI1000_03187
XOO0208	RSGMI1000_04050
XOO0208	RSGMI1000_03209
XOO0208	RSGMI1000_03628
XOO0208	RSGMI1000_00862
XOO1539	RSGMI1000_02556
XOO0207	RSGMI1000_03481
XOO0207	RSGMI1000_03187
XOO0207	RSGMI1000_04050
XOO0207	RSGMI1000_03209
XOO0207	RSGMI1000_03628
XOO0207	RSGMI1000_00862
XOO1538	RSGMI1000_02557
XOO2868	RSGMI1000_00550
XOO2868	RSGMI1000_02908
XOO3718	RSGMI1000_04792
XOO3718	RSGMI1000_03280
XOO3718	RSGMI1000_03604
XOO3718	RSGMI1000_03258
XOO3718	RSGMI1000_04765
XOO3718	RSGMI1000_01027
XOO3718	RSGMI1000_00212
XOO3718	RSGMI1000_03411
XOO0692	RSGMI1000_00947
XOO0690	RSGMI1000_01798
XOO0212	RSGMI1000_00343
XOO3723	RSGMI1000_04292
XOO0694	RSGMI1000_01403
XOO0693	RSGMI1000_00946
XOO2871	RSGMI1000_00611
XOO2871	RSGMI1000_02566
XOO2872	RSGMI1000_01045
XOO0214	RSGMI1000_00345
XOO2873	RSGMI1000_01047
XOO0698	RSGMI1000_04638
XOO1545	RSGMI1000_00813
XOO1528	RSGMI1000_02648
XOO1528	RSGMI1000_01781
XOO1527	RSGMI1000_00920
XOO2857	RSGMI1000_04862
XOO2858	RSGMI1000_04861
XOO3706	RSGMI1000_03629
XOO3706	RSGMI1000_04791
XOO3706	RSGMI1000_04818
XOO3706	RSGMI1000_04594
XOO3706	RSGMI1000_03603
XOO3706	RSGMI1000_03947
XOO3706	RSGMI1000_04764
XOO2859	RSGMI1000_04860
XOO0680	RSGMI1000_02703
XOO2865	RSGMI1000_02051
XOO3712	RSGMI1000_00089
XOO3713	RSGMI1000_00815
XOO3714	RSGMI1000_05038
XOO2860	RSGMI1000_00522
XOO1536	RSGMI1000_00988
XOO0688	RSGMI1000_04868
XOO0203	RSGMI1000_00256
XOO0203	RSGMI1000_03950
XOO0687	RSGMI1000_04867
XOO2862	RSGMI1000_03804
XOO1517	RSGMI1000_00781
XOO1999	RSGMI1000_01325
XOO0670	RSGMI1000_01401
XOO3700	RSGMI1000_05077
XOO3700	RSGMI1000_04793
XOO3700	RSGMI1000_02756
XOO3700	RSGMI1000_00848
XOO3700	RSGMI1000_05074
XOO3700	RSGMI1000_04766
XOO3700	RSGMI1000_02456
XOO3700	RSGMI1000_04677
XOO3700	RSGMI1000_03976
XOO3700	RSGMI1000_04025
XOO3700	RSGMI1000_01476
XOO3700	RSGMI1000_01531
XOO3701	RSGMI1000_05077
XOO3701	RSGMI1000_04793
XOO3701	RSGMI1000_02756
XOO3701	RSGMI1000_00848
XOO3701	RSGMI1000_05074
XOO3701	RSGMI1000_04766
XOO3701	RSGMI1000_02456
XOO3701	RSGMI1000_04677
XOO3701	RSGMI1000_03976
XOO3701	RSGMI1000_04025
XOO3701	RSGMI1000_01476
XOO3701	RSGMI1000_01531
XOO3702	RSGMI1000_05077
XOO3702	RSGMI1000_04793
XOO3702	RSGMI1000_02756
XOO3702	RSGMI1000_00848
XOO3702	RSGMI1000_05074
XOO3702	RSGMI1000_04766
XOO3702	RSGMI1000_02456
XOO3702	RSGMI1000_04677
XOO3702	RSGMI1000_03976
XOO3702	RSGMI1000_04025
XOO3702	RSGMI1000_01476
XOO3702	RSGMI1000_01531
XOO1525	RSGMI1000_01343
XOO1524	RSGMI1000_04951
XOO2850	RSGMI1000_04864
XOO2851	RSGMI1000_03629
XOO2851	RSGMI1000_04791
XOO2851	RSGMI1000_04818
XOO2851	RSGMI1000_04594
XOO2851	RSGMI1000_03603
XOO2851	RSGMI1000_03947
XOO2851	RSGMI1000_04764
XOO0676	RSGMI1000_03013
XOO3649	RSGMI1000_01262
XOO3650	RSGMI1000_03629
XOO3650	RSGMI1000_04791
XOO3650	RSGMI1000_04818
XOO3650	RSGMI1000_04594
XOO3650	RSGMI1000_03603
XOO3650	RSGMI1000_03947
XOO3650	RSGMI1000_04764
XOO2320	RSGMI1000_03481
XOO2320	RSGMI1000_03187
XOO2320	RSGMI1000_04050
XOO2320	RSGMI1000_03209
XOO2320	RSGMI1000_03628
XOO2320	RSGMI1000_00862
XOO0141	RSGMI1000_03481
XOO0141	RSGMI1000_03187
XOO0141	RSGMI1000_04050
XOO0141	RSGMI1000_03209
XOO0141	RSGMI1000_03628
XOO0141	RSGMI1000_00862
XOO1472	RSGMI1000_01688
XOO0140	RSGMI1000_03481
XOO0140	RSGMI1000_03187
XOO0140	RSGMI1000_04050
XOO0140	RSGMI1000_03209
XOO0140	RSGMI1000_03628
XOO0140	RSGMI1000_00862
XOO0145	RSGMI1000_03481
XOO0145	RSGMI1000_03187
XOO0145	RSGMI1000_04050
XOO0145	RSGMI1000_03209
XOO0145	RSGMI1000_03628
XOO0145	RSGMI1000_00862
XOO3657	RSGMI1000_00789
XOO2323	RSGMI1000_04638
XOO0144	RSGMI1000_03481
XOO0144	RSGMI1000_03187
XOO0144	RSGMI1000_04050
XOO0144	RSGMI1000_03209
XOO0144	RSGMI1000_03628
XOO0144	RSGMI1000_00862
XOO4505	RSGMI1000_03186
XOO3658	RSGMI1000_04899
XOO0149	RSGMI1000_04595
XOO0149	RSGMI1000_01755
XOO0149	RSGMI1000_04639
XOO0149	RSGMI1000_03684
XOO0148	RSGMI1000_04595
XOO0148	RSGMI1000_01755
XOO0148	RSGMI1000_04639
XOO0148	RSGMI1000_03684
XOO3654	RSGMI1000_03629
XOO3654	RSGMI1000_04791
XOO3654	RSGMI1000_04818
XOO3654	RSGMI1000_04594
XOO3654	RSGMI1000_03603
XOO3654	RSGMI1000_03947
XOO3654	RSGMI1000_04764
XOO0147	RSGMI1000_04595
XOO0147	RSGMI1000_01755
XOO0147	RSGMI1000_04639
XOO0147	RSGMI1000_03684
XOO2308	RSGMI1000_02042
XOO0129	RSGMI1000_03629
XOO0129	RSGMI1000_04791
XOO0129	RSGMI1000_04818
XOO0129	RSGMI1000_04594
XOO0129	RSGMI1000_03603
XOO0129	RSGMI1000_03947
XOO0129	RSGMI1000_04764
XOO2307	RSGMI1000_02041
XOO2790	RSGMI1000_04511
XOO2791	RSGMI1000_04508
XOO2793	RSGMI1000_04517
XOO0131	RSGMI1000_02332
XOO1460	RSGMI1000_00358
XOO2313	RSGMI1000_02184
XOO2313	RSGMI1000_01298
XOO3645	RSGMI1000_03722
XOO0135	RSGMI1000_01849
XOO0134	RSGMI1000_04595
XOO0134	RSGMI1000_01755
XOO0134	RSGMI1000_04639
XOO0134	RSGMI1000_03684
XOO3646	RSGMI1000_03723
XOO1465	RSGMI1000_04860
XOO3647	RSGMI1000_02739
XOO2317	RSGMI1000_05013
XOO0138	RSGMI1000_03481
XOO0138	RSGMI1000_03187
XOO0138	RSGMI1000_04050
XOO0138	RSGMI1000_03209
XOO0138	RSGMI1000_03628
XOO0138	RSGMI1000_00862
XOO1469	RSGMI1000_01998
XOO1469	RSGMI1000_01265
XOO2315	RSGMI1000_05010
XOO0137	RSGMI1000_01849
XOO2314	RSGMI1000_05012
XOO3644	RSGMI1000_02957
XOO2797	RSGMI1000_01384
XOO0118	RSGMI1000_02571
XOO3629	RSGMI1000_04408
XOO3629	RSGMI1000_02784
XOO3629	RSGMI1000_04411
XOO2781	RSGMI1000_03629
XOO2781	RSGMI1000_04791
XOO2781	RSGMI1000_04818
XOO2781	RSGMI1000_04594
XOO2781	RSGMI1000_03603
XOO2781	RSGMI1000_03947
XOO2781	RSGMI1000_04764
XOO1450	RSGMI1000_04232
XOO1450	RSGMI1000_03650
XOO0124	RSGMI1000_03629
XOO0124	RSGMI1000_04791
XOO0124	RSGMI1000_04818
XOO0124	RSGMI1000_04594
XOO0124	RSGMI1000_03603
XOO0124	RSGMI1000_03947
XOO0124	RSGMI1000_04764
XOO3634	RSGMI1000_03629
XOO3634	RSGMI1000_04791
XOO3634	RSGMI1000_04818
XOO3634	RSGMI1000_04594
XOO3634	RSGMI1000_03603
XOO3634	RSGMI1000_03947
XOO3634	RSGMI1000_04764
XOO2787	RSGMI1000_03870
XOO2787	RSGMI1000_04981
XOO2787	RSGMI1000_03872
XOO3635	RSGMI1000_04595
XOO3635	RSGMI1000_01755
XOO3635	RSGMI1000_04639
XOO3635	RSGMI1000_03684
XOO2788	RSGMI1000_02907
XOO1453	RSGMI1000_04232
XOO1453	RSGMI1000_03650
XOO2789	RSGMI1000_04509
XOO2789	RSGMI1000_03561
XOO0121	RSGMI1000_03629
XOO0121	RSGMI1000_04791
XOO0121	RSGMI1000_04818
XOO0121	RSGMI1000_04594
XOO0121	RSGMI1000_03603
XOO0121	RSGMI1000_03947
XOO0121	RSGMI1000_04764
XOO3630	RSGMI1000_04407
XOO3630	RSGMI1000_02783
XOO0127	RSGMI1000_03629
XOO0127	RSGMI1000_04791
XOO0127	RSGMI1000_04818
XOO0127	RSGMI1000_04594
XOO0127	RSGMI1000_03603
XOO0127	RSGMI1000_03947
XOO0127	RSGMI1000_04764
XOO2305	RSGMI1000_01140
XOO1458	RSGMI1000_00383
XOO3631	RSGMI1000_02123
XOO2304	RSGMI1000_01141
XOO3633	RSGMI1000_04406
XOO3633	RSGMI1000_02781
XOO1439	RSGMI1000_00429
XOO1438	RSGMI1000_02873
XOO2769	RSGMI1000_00541
XOO3617	RSGMI1000_01601
XOO2771	RSGMI1000_00540
XOO1440	RSGMI1000_03207
XOO0590	RSGMI1000_02248
XOO0113	RSGMI1000_03716
XOO0597	RSGMI1000_00508
XOO1443	RSGMI1000_03629
XOO1443	RSGMI1000_04791
XOO1443	RSGMI1000_04818
XOO1443	RSGMI1000_04594
XOO1443	RSGMI1000_03603
XOO1443	RSGMI1000_03947
XOO1443	RSGMI1000_04764
XOO2777	RSGMI1000_01785
XOO0112	RSGMI1000_03719
XOO3624	RSGMI1000_04816
XOO3624	RSGMI1000_04789
XOO0596	RSGMI1000_00136
XOO0595	RSGMI1000_03197
XOO4957	RSGMI1000_00002
XOO2779	RSGMI1000_02778
XOO0110	RSGMI1000_04222
XOO4950	RSGMI1000_00645
XOO4950	RSGMI1000_00849
XOO4950	RSGMI1000_01475
XOO4950	RSGMI1000_02457
XOO4950	RSGMI1000_03975
XOO4950	RSGMI1000_04762
XOO4950	RSGMI1000_04024
XOO4950	RSGMI1000_01532
XOO4950	RSGMI1000_04676
XOO4950	RSGMI1000_00431
XOO0117	RSGMI1000_03715
XOO1448	RSGMI1000_00558
XOO2773	RSGMI1000_04129
XOO1447	RSGMI1000_00024
XOO0116	RSGMI1000_03712
XOO3621	RSGMI1000_02702
XOO1446	RSGMI1000_00025
XOO0115	RSGMI1000_03713
XOO0598	RSGMI1000_02262
XOO0114	RSGMI1000_03714
XOO1445	RSGMI1000_02185
XOO3209	RSGMI1000_00594
XOO2360	RSGMI1000_02181
XOO2360	RSGMI1000_01772
XOO0181	RSGMI1000_05038
XOO0180	RSGMI1000_05038
XOO3210	RSGMI1000_00593
XOO0186	RSGMI1000_03629
XOO0186	RSGMI1000_04791
XOO0186	RSGMI1000_04818
XOO0186	RSGMI1000_04594
XOO0186	RSGMI1000_03603
XOO0186	RSGMI1000_03947
XOO0186	RSGMI1000_04764
XOO2364	RSGMI1000_02680
XOO1033	RSGMI1000_01761
XOO0185	RSGMI1000_03629
XOO0185	RSGMI1000_04791
XOO0185	RSGMI1000_04818
XOO0185	RSGMI1000_04594
XOO0185	RSGMI1000_03603
XOO0185	RSGMI1000_03947
XOO0185	RSGMI1000_04764
XOO2363	RSGMI1000_02437
XOO1031	RSGMI1000_03481
XOO1031	RSGMI1000_03187
XOO1031	RSGMI1000_04050
XOO1031	RSGMI1000_03209
XOO1031	RSGMI1000_03628
XOO1031	RSGMI1000_00862
XOO3690	RSGMI1000_01368
XOO0183	RSGMI1000_05038
XOO2361	RSGMI1000_02782
XOO3691	RSGMI1000_04422
XOO2368	RSGMI1000_02590
XOO3216	RSGMI1000_01322
XOO1036	RSGMI1000_01764
XOO1035	RSGMI1000_01763
XOO3218	RSGMI1000_01320
XOO2366	RSGMI1000_02677
XOO0187	RSGMI1000_03481
XOO0187	RSGMI1000_03187
XOO0187	RSGMI1000_04050
XOO0187	RSGMI1000_03209
XOO0187	RSGMI1000_03628
XOO0187	RSGMI1000_00862
XOO2365	RSGMI1000_02678
XOO1034	RSGMI1000_01762
XOO3219	RSGMI1000_01319
XOO3212	RSGMI1000_02500
XOO4544	RSGMI1000_02000
XOO1039	RSGMI1000_01553
XOO3214	RSGMI1000_02113
XOO2369	RSGMI1000_03481
XOO2369	RSGMI1000_03187
XOO2369	RSGMI1000_04050
XOO2369	RSGMI1000_03209
XOO2369	RSGMI1000_03628
XOO2369	RSGMI1000_00862
XOO3215	RSGMI1000_02114
XOO3682	RSGMI1000_00324
XOO1020	RSGMI1000_03629
XOO1020	RSGMI1000_04791
XOO1020	RSGMI1000_04818
XOO1020	RSGMI1000_04594
XOO1020	RSGMI1000_03603
XOO1020	RSGMI1000_03947
XOO1020	RSGMI1000_04764
XOO0173	RSGMI1000_01161
XOO3689	RSGMI1000_01377
XOO3205	RSGMI1000_02863
XOO4536	RSGMI1000_01873
XOO0177	RSGMI1000_03022
XOO3207	RSGMI1000_02958
XOO3208	RSGMI1000_02577
XOO3201	RSGMI1000_04754
XOO1029	RSGMI1000_05077
XOO1029	RSGMI1000_04793
XOO1029	RSGMI1000_02756
XOO1029	RSGMI1000_00848
XOO1029	RSGMI1000_05074
XOO1029	RSGMI1000_04766
XOO1029	RSGMI1000_02456
XOO1029	RSGMI1000_04677
XOO1029	RSGMI1000_03976
XOO1029	RSGMI1000_04025
XOO1029	RSGMI1000_01476
XOO1029	RSGMI1000_01531
XOO3686	RSGMI1000_01379
XOO3202	RSGMI1000_04750
XOO1028	RSGMI1000_05077
XOO1028	RSGMI1000_04793
XOO1028	RSGMI1000_02756
XOO1028	RSGMI1000_00848
XOO1028	RSGMI1000_05074
XOO1028	RSGMI1000_04766
XOO1028	RSGMI1000_02456
XOO1028	RSGMI1000_04677
XOO1028	RSGMI1000_03976
XOO1028	RSGMI1000_04025
XOO1028	RSGMI1000_01476
XOO1028	RSGMI1000_01531
XOO1027	RSGMI1000_05077
XOO1027	RSGMI1000_04793
XOO1027	RSGMI1000_02756
XOO1027	RSGMI1000_00848
XOO1027	RSGMI1000_05074
XOO1027	RSGMI1000_04766
XOO1027	RSGMI1000_02456
XOO1027	RSGMI1000_04677
XOO1027	RSGMI1000_03976
XOO1027	RSGMI1000_04025
XOO1027	RSGMI1000_01476
XOO1027	RSGMI1000_01531
XOO3688	RSGMI1000_01378
XOO1009	RSGMI1000_03629
XOO1009	RSGMI1000_04791
XOO1009	RSGMI1000_04818
XOO1009	RSGMI1000_04594
XOO1009	RSGMI1000_03603
XOO1009	RSGMI1000_03947
XOO1009	RSGMI1000_04764
XOO4518	RSGMI1000_01202
XOO1491	RSGMI1000_04595
XOO1491	RSGMI1000_01755
XOO1491	RSGMI1000_04639
XOO1491	RSGMI1000_03684
XOO0160	RSGMI1000_05038
XOO3672	RSGMI1000_01186
XOO1495	RSGMI1000_04595
XOO1495	RSGMI1000_01755
XOO1495	RSGMI1000_04639
XOO1495	RSGMI1000_03684
XOO1010	RSGMI1000_04595
XOO1010	RSGMI1000_01755
XOO1010	RSGMI1000_04639
XOO1010	RSGMI1000_03684
XOO1493	RSGMI1000_04595
XOO1493	RSGMI1000_01755
XOO1493	RSGMI1000_04639
XOO1493	RSGMI1000_03684
XOO0168	RSGMI1000_01299
XOO3679	RSGMI1000_02026
XOO4527	RSGMI1000_01177
XOO1012	RSGMI1000_04595
XOO1012	RSGMI1000_01755
XOO1012	RSGMI1000_04639
XOO1012	RSGMI1000_03684
XOO4528	RSGMI1000_01816
XOO3674	RSGMI1000_01157
XOO3675	RSGMI1000_02023
XOO4523	RSGMI1000_05077
XOO4523	RSGMI1000_04793
XOO4523	RSGMI1000_02756
XOO4523	RSGMI1000_00848
XOO4523	RSGMI1000_05074
XOO4523	RSGMI1000_04766
XOO4523	RSGMI1000_02456
XOO4523	RSGMI1000_04677
XOO4523	RSGMI1000_03976
XOO4523	RSGMI1000_04025
XOO4523	RSGMI1000_01476
XOO4523	RSGMI1000_01531
XOO4524	RSGMI1000_05077
XOO4524	RSGMI1000_04793
XOO4524	RSGMI1000_02756
XOO4524	RSGMI1000_00848
XOO4524	RSGMI1000_05074
XOO4524	RSGMI1000_04766
XOO4524	RSGMI1000_02456
XOO4524	RSGMI1000_04677
XOO4524	RSGMI1000_03976
