XOO0937	b0071
XOO2656	b0733
XOO2656	b0978
XOO3867	b0356
XOO2410	b2411
XOO0595	b1448
XOO3747	b0052
XOO0594	b1277
XOO0352	b0381
XOO0117	b3431
XOO2774	b1525
XOO1203	b1779
XOO2775	b0857
XOO2654	b0887
XOO2360	b4025
XOO1270	b2663
XOO3210	b0523
XOO2364	b0134
XOO1154	b0720
XOO2363	b0133
XOO2242	b0002
XOO3690	b3917
XOO3690	b2425
XOO2361	b0131
XOO3691	b3617
XOO2368	b2817
XOO2368	b2435
XOO4548	b4067
XOO1156	b3396
XOO2365	b0142
XOO3212	b0109
XOO4544	b4069
XOO4302	b3781
XOO1039	b0212
XOO4787	b3208
XOO4424	b4323
XOO4410	b0475
XOO3684	b3616
XOO1141	b2954
XOO3689	b2424
XOO2236	b3972
XOO0178	b3213
XOO1388	b4013
XOO1145	b3648
XOO0177	b3212
XOO3207	b1654
XOO4417	b3565
XOO3208	b1656
XOO3208	b3908
XOO3686	b2422
XOO4412	b3412
XOO1149	b3650
XOO2237	b0945
XOO3688	b2423
XOO3791	b2942
XOO0280	b0325
XOO3672	b0524
XOO2463	b3727
XOO0043	b0099
XOO2462	b3728
XOO2461	b3728
XOO0168	b3449
XOO3679	b2315
XOO3316	b3248
XOO2465	b3725
XOO4527	b0207
XOO2464	b3726
XOO4528	b1449
XOO3675	b2312
XOO3783	b2164
XOO2452	b1393
XOO1242	b3997
XOO2330	b1490
XOO1124	b2710
XOO3547	b2903
XOO3669	b2502
XOO1244	b3390
XOO0397	b2989
XOO0397	b2302
XOO1243	b3389
XOO2211	b1702
XOO2339	b1710
XOO4511	b2130
XOO4511	b2128
XOO3664	b3610
XOO3785	b3752
XOO4874	b3500
XOO3423	b1732
XOO1127	b2914
XOO4512	b2129
XOO2457	b0339
XOO3252	b1261
XOO1194	b0764
XOO4342	b1232
XOO1193	b0765
XOO1191	b1252
XOO2044	b0726
XOO2043	b0727
XOO3250	b2316
XOO3372	b3991
XOO1195	b0763
XOO3018	b2470
XOO3018	b0462
XOO3018	b3266
XOO2048	b1131
XOO3016	b2470
XOO3016	b0462
XOO3016	b3266
XOO1062	b0784
XOO2151	b2197
XOO1061	b0783
XOO4332	b3909
XOO4575	b1710
XOO2155	b2201
XOO2154	b2200
XOO1063	b0785
XOO3249	b3176
XOO3007	b2197
XOO1067	b1103
XOO3246	b1285
XOO3006	b2199
XOO2261	b2025
XOO3230	b2284
XOO2260	b2024
XOO4321	b1301
XOO4200	b0871
XOO1290	b3189
XOO1176	b2935
XOO1176	b2465
XOO1297	b2499
XOO2143	b2913
XOO2262	b2026
XOO1294	b2500
XOO3238	b3919
XOO2388	b0907
XOO1177	b1102
XOO3235	b2287
XOO4445	b1489
XOO1285	b3201
XOO0194	b3432
XOO2258	b2022
XOO3227	b2281
XOO1289	b3197
XOO3228	b2282
XOO3349	b3431
XOO2257	b2021
XOO2256	b2020
XOO1288	b3198
XOO2255	b2019
XOO3102	b3368
XOO3224	b2278
XOO2017	b0420
XOO2259	b2023
XOO3291	b1655
XOO4145	b1014
XOO3299	b0421
XOO4267	b1008
XOO4149	b3336
XOO2195	b2507
XOO2194	b2508
XOO2073	b4019
XOO2193	b0529
XOO3287	b3500
XOO4497	b1686
XOO4497	b0597
XOO3396	b2751
XOO1094	b2290
XOO4486	b0451
XOO3397	b2752
XOO4123	b2132
XOO3398	b2764
XOO4124	b3058
XOO2188	b3350
XOO2188	b0047
XOO2186	b1236
XOO4488	b3870
XOO4248	b0114
XOO4007	b3805
XOO4231	b3771
XOO3264	b4160
XOO2291	b1912
XOO3260	b3553
XOO2297	b0914
XOO3381	b3291
XOO2296	b0915
XOO3261	b2329
XOO2295	b0918
XOO4239	b2436
XOO2179	b0910
XOO2057	b1611
XOO4115	b0837
