XOO1903	RSR24_01782
XOO1983	RSR24_01817
XOO1982	RSR24_04248
XOO1985	RSR24_01828
XOO0638	RSR24_04483
XOO1968	RSR24_01808
XOO0636	RSR24_03663
XOO0636	RSR24_04518
XOO0636	RSR24_00888
XOO1967	RSR24_01806
XOO1966	RSR24_01805
XOO2814	RSR24_03551
XOO2814	RSR24_03878
XOO0639	RSR24_04484
XOO2820	RSR24_02276
XOO2820	RSR24_02362
XOO2820	RSR24_04663
XOO2820	RSR24_01958
XOO2820	RSR24_04679
XOO2820	RSR24_03900
XOO1972	RSR24_01812
XOO0641	RSR24_04931
XOO1970	RSR24_01810
XOO1976	RSR24_01815
XOO1974	RSR24_01814
XOO1973	RSR24_01813
XOO0627	RSR24_04692
XOO2806	RSR24_00361
XOO2806	RSR24_00360
XOO2806	RSR24_03502
XOO0626	RSR24_03582
XOO1955	RSR24_04208
XOO1955	RSR24_04209
XOO2809	RSR24_02886
XOO2802	RSR24_01123
XOO2804	RSR24_00013
XOO0629	RSR24_04690
XOO2805	RSR24_00012
XOO0628	RSR24_04691
XOO1961	RSR24_01249
XOO0630	RSR24_04689
XOO1960	RSR24_04208
XOO1960	RSR24_04209
XOO2810	RSR24_04369
XOO2810	RSR24_02887
XOO2811	RSR24_02888
XOO2812	RSR24_02889
XOO1965	RSR24_01804
XOO1964	RSR24_01803
XOO1963	RSR24_01802
XOO1962	RSR24_02287
XOO0218	RSR24_04569
XOO3728	RSR24_03682
XOO3729	RSR24_01770
XOO1550	RSR24_00687
XOO2886	RSR24_01339
XOO0222	RSR24_01691
XOO2887	RSR24_01338
XOO2400	RSR24_02644
XOO3734	RSR24_04643
XOO0221	RSR24_04208
XOO0221	RSR24_04209
XOO2888	RSR24_01336
XOO0227	RSR24_03404
XOO1558	RSR24_03132
XOO2404	RSR24_01682
XOO2404	RSR24_03234
XOO2404	RSR24_00808
XOO2404	RSR24_02966
XOO2404	RSR24_00436
XOO2404	RSR24_00689
XOO2403	RSR24_00809
XOO2403	RSR24_01683
XOO2403	RSR24_03233
XOO2403	RSR24_02965
XOO2403	RSR24_00437
XOO2884	RSR24_01141
XOO1555	RSR24_01864
XOO0209	RSR24_03885
XOO3719	RSR24_01792
XOO0208	RSR24_04208
XOO0208	RSR24_04209
XOO1539	RSR24_02555
XOO0207	RSR24_04208
XOO0207	RSR24_04209
XOO1538	RSR24_02556
XOO3715	RSR24_02953
XOO2868	RSR24_00597
XOO2868	RSR24_02883
XOO3716	RSR24_04243
XOO3717	RSR24_00321
XOO3718	RSR24_03663
XOO3718	RSR24_04518
XOO3718	RSR24_00888
XOO0692	RSR24_00936
XOO0690	RSR24_01601
XOO0212	RSR24_00347
XOO3723	RSR24_04100
XOO0694	RSR24_01849
XOO0693	RSR24_00935
XOO2871	RSR24_02565
XOO2871	RSR24_00661
XOO2872	RSR24_01059
XOO0214	RSR24_00349
XOO2873	RSR24_01061
XOO0698	RSR24_04460
XOO1545	RSR24_00852
XOO3708	RSR24_00321
XOO1528	RSR24_01587
XOO1527	RSR24_00909
XOO2857	RSR24_04628
XOO2858	RSR24_04627
XOO3706	RSR24_03885
XOO2859	RSR24_04626
XOO0680	RSR24_02651
XOO2865	RSR24_02105
XOO3712	RSR24_00093
XOO3713	RSR24_00854
XOO3714	RSR24_03256
XOO2860	RSR24_00570
XOO1536	RSR24_00969
XOO0688	RSR24_04635
XOO0203	RSR24_02484
XOO0687	RSR24_04634
XOO1517	RSR24_00823
XOO1999	RSR24_01961
XOO0670	RSR24_01851
XOO3700	RSR24_00809
XOO3700	RSR24_01683
XOO3700	RSR24_03233
XOO3700	RSR24_02965
XOO3700	RSR24_00437
XOO0674	RSR24_04749
XOO0674	RSR24_04516
XOO2853	RSR24_00321
XOO3701	RSR24_00809
XOO3701	RSR24_01683
XOO3701	RSR24_03233
XOO3701	RSR24_02965
XOO3701	RSR24_00437
XOO3702	RSR24_00809
XOO3702	RSR24_01683
XOO3702	RSR24_03233
XOO3702	RSR24_02965
XOO3702	RSR24_00437
XOO1525	RSR24_01906
XOO1524	RSR24_04694
XOO2850	RSR24_04631
XOO2851	RSR24_03885
XOO0676	RSR24_03017
XOO3649	RSR24_02016
XOO3650	RSR24_03885
XOO2320	RSR24_04208
XOO2320	RSR24_04209
XOO0141	RSR24_04208
XOO0141	RSR24_04209
XOO1472	RSR24_01513
XOO0140	RSR24_04208
XOO0140	RSR24_04209
XOO0145	RSR24_04208
XOO0145	RSR24_04209
XOO3657	RSR24_00831
XOO2323	RSR24_04460
XOO0144	RSR24_04208
XOO0144	RSR24_04209
XOO1475	RSR24_00321
XOO4505	RSR24_03187
XOO3658	RSR24_04654
XOO0149	RSR24_03551
XOO0149	RSR24_03878
XOO2327	RSR24_02953
XOO0148	RSR24_03551
XOO0148	RSR24_03878
XOO3654	RSR24_03885
XOO2326	RSR24_04243
XOO0147	RSR24_03551
XOO0147	RSR24_03878
XOO2308	RSR24_02095
XOO0129	RSR24_03885
XOO2307	RSR24_02094
XOO2790	RSR24_04354
XOO2791	RSR24_04351
XOO2792	RSR24_04749
XOO2792	RSR24_04516
XOO2793	RSR24_04360
XOO0131	RSR24_02358
XOO1460	RSR24_00364
XOO2313	RSR24_01988
XOO3645	RSR24_03691
XOO0135	RSR24_01648
XOO0134	RSR24_03551
XOO0134	RSR24_03878
XOO3646	RSR24_03692
XOO1465	RSR24_04626
XOO3647	RSR24_02688
XOO2317	RSR24_04815
XOO0138	RSR24_04208
XOO0138	RSR24_04209
XOO1469	RSR24_00462
XOO1469	RSR24_01546
XOO1469	RSR24_02008
XOO1469	RSR24_01545
XOO2315	RSR24_04812
XOO0137	RSR24_01648
XOO2314	RSR24_04814
XOO3644	RSR24_02931
XOO2797	RSR24_01866
XOO0118	RSR24_02571
XOO3628	RSR24_00321
XOO3629	RSR24_04033
XOO3629	RSR24_02733
XOO2781	RSR24_03885
XOO0124	RSR24_03885
XOO3634	RSR24_03885
XOO2787	RSR24_04784
XOO2787	RSR24_03814
XOO2787	RSR24_03817
XOO2787	RSR24_04906
XOO3635	RSR24_03551
XOO3635	RSR24_03878
XOO2788	RSR24_02882
XOO2789	RSR24_04352
XOO0121	RSR24_03885
XOO3630	RSR24_04034
XOO3630	RSR24_02732
XOO0127	RSR24_03885
XOO2305	RSR24_01143
XOO1458	RSR24_00388
XOO3631	RSR24_02179
XOO2304	RSR24_01144
XOO0125	RSR24_00321
XOO3633	RSR24_02730
XOO3633	RSR24_04035
XOO1439	RSR24_00435
XOO0107	RSR24_02953
XOO1438	RSR24_02828
XOO2769	RSR24_00590
XOO3617	RSR24_01425
XOO2771	RSR24_00588
XOO1440	RSR24_03209
XOO0590	RSR24_02284
XOO0597	RSR24_00555
XOO1443	RSR24_03885
XOO2777	RSR24_01938
XOO2777	RSR24_01591
XOO2777	RSR24_01368
XOO2777	RSR24_02956
XOO0112	RSR24_03685
XOO0596	RSR24_00134
XOO0595	RSR24_03198
XOO3625	RSR24_00194
XOO4957	RSR24_00001
XOO2779	RSR24_02727
XOO0110	RSR24_04059
XOO4950	RSR24_01682
XOO4950	RSR24_03234
XOO4950	RSR24_00808
XOO4950	RSR24_02966
XOO4950	RSR24_00436
XOO4950	RSR24_00689
XOO1448	RSR24_00605
XOO2773	RSR24_03974
XOO1447	RSR24_00025
XOO3621	RSR24_02650
XOO1446	RSR24_00026
XOO0599	RSR24_01310
XOO0599	RSR24_02849
XOO0598	RSR24_02299
XOO3209	RSR24_00644
XOO2360	RSR24_01579
XOO0181	RSR24_03256
XOO0180	RSR24_03256
XOO3210	RSR24_00643
XOO0186	RSR24_03885
XOO2364	RSR24_02630
XOO1033	RSR24_01568
XOO0185	RSR24_03885
XOO2363	RSR24_02444
XOO1031	RSR24_04208
XOO1031	RSR24_04209
XOO3690	RSR24_01881
XOO0183	RSR24_03256
XOO2361	RSR24_02731
XOO2368	RSR24_02590
XOO3216	RSR24_01964
XOO1036	RSR24_01571
XOO1035	RSR24_01570
XOO3218	RSR24_01966
XOO2366	RSR24_02627
XOO0187	RSR24_04208
XOO0187	RSR24_04209
XOO2365	RSR24_02628
XOO1034	RSR24_01569
XOO3219	RSR24_01967
XOO3212	RSR24_02505
XOO4544	RSR24_01283
XOO1039	RSR24_01332
XOO3214	RSR24_02169
XOO2369	RSR24_04208
XOO2369	RSR24_04209
XOO3215	RSR24_02170
XOO3682	RSR24_00304
XOO1022	RSR24_00321
XOO1020	RSR24_03885
XOO3689	RSR24_01872
XOO3205	RSR24_02818
XOO4536	RSR24_00492
XOO0177	RSR24_03026
XOO3207	RSR24_02932
XOO3208	RSR24_02579
XOO3201	RSR24_04562
XOO1029	RSR24_00809
XOO1029	RSR24_01683
XOO1029	RSR24_03233
XOO1029	RSR24_02965
XOO1029	RSR24_00437
XOO3686	RSR24_01870
XOO3202	RSR24_04558
XOO1028	RSR24_00809
XOO1028	RSR24_01683
XOO1028	RSR24_03233
XOO1028	RSR24_02965
XOO1028	RSR24_00437
XOO1027	RSR24_00809
XOO1027	RSR24_01683
XOO1027	RSR24_03233
XOO1027	RSR24_02965
XOO1027	RSR24_00437
XOO3688	RSR24_01871
XOO1009	RSR24_03885
XOO4518	RSR24_01259
XOO1491	RSR24_03551
XOO1491	RSR24_03878
XOO0160	RSR24_03256
XOO3671	RSR24_04937
XOO3672	RSR24_01243
XOO1495	RSR24_03551
XOO1495	RSR24_03878
XOO1010	RSR24_03551
XOO1010	RSR24_03878
XOO1493	RSR24_03551
XOO1493	RSR24_03878
XOO0168	RSR24_01987
XOO3679	RSR24_02079
XOO1012	RSR24_03551
XOO1012	RSR24_03878
XOO4528	RSR24_01618
XOO3674	RSR24_01160
XOO3675	RSR24_02076
XOO4523	RSR24_00809
XOO4523	RSR24_01683
XOO4523	RSR24_03233
XOO4523	RSR24_02965
XOO4523	RSR24_00437
XOO1017	RSR24_04243
XOO4524	RSR24_00809
XOO4524	RSR24_01683
XOO4524	RSR24_03233
XOO4524	RSR24_02965
XOO4524	RSR24_00437
XOO1016	RSR24_02953
XOO4508	RSR24_00964
XOO4509	RSR24_01637
XOO3660	RSR24_03885
XOO3661	RSR24_00321
XOO2331	RSR24_03525
XOO2330	RSR24_04784
XOO2330	RSR24_03814
XOO2330	RSR24_03817
XOO2330	RSR24_04906
XOO0151	RSR24_03885
XOO0150	RSR24_03885
XOO0157	RSR24_01144
XOO4514	RSR24_02507
XOO0156	RSR24_02953
XOO3668	RSR24_01353
XOO2333	RSR24_00899
XOO0155	RSR24_04243
XOO3669	RSR24_01354
XOO2339	RSR24_02672
XOO4511	RSR24_02566
XOO3664	RSR24_00366
XOO2338	RSR24_01912
XOO1006	RSR24_04243
XOO1005	RSR24_02953
XOO2336	RSR24_01280
XOO3666	RSR24_01351
XOO3252	RSR24_02083
XOO3253	RSR24_03840
XOO3254	RSR24_02084
XOO1071	RSR24_03587
XOO4585	RSR24_00018
XOO4586	RSR24_00363
XOO3255	RSR24_02085
XOO1070	RSR24_03588
XOO4580	RSR24_00937
XOO3250	RSR24_02080
XOO1075	RSR24_01821
XOO3251	RSR24_02081
XOO4107	RSR24_04243
XOO4103	RSR24_00321
XOO4106	RSR24_02953
XOO1062	RSR24_01886
XOO3242	RSR24_02953
XOO1061	RSR24_00628
XOO4573	RSR24_01066
XOO3243	RSR24_04243
XOO4575	RSR24_02672
XOO2390	RSR24_03041
XOO1066	RSR24_02054
XOO2396	RSR24_02641
XOO1065	RSR24_02056
XOO1064	RSR24_02057
XOO4570	RSR24_02319
XOO1063	RSR24_01885
XOO3249	RSR24_01345
XOO2398	RSR24_02643
XOO4577	RSR24_04208
XOO4577	RSR24_04209
XOO3246	RSR24_00570
XOO4578	RSR24_02953
XOO4579	RSR24_04243
XOO2382	RSR24_03551
XOO2382	RSR24_03878
XOO3230	RSR24_02158
XOO2381	RSR24_03885
XOO3232	RSR24_02159
XOO4563	RSR24_04647
XOO3233	RSR24_02160
XOO2385	RSR24_04208
XOO2385	RSR24_04209
XOO1054	RSR24_04845
XOO3238	RSR24_02166
XOO1059	RSR24_01070
XOO2389	RSR24_03042
XOO2388	RSR24_00912
XOO2387	RSR24_00913
XOO3234	RSR24_02161
XOO4565	RSR24_04649
XOO3235	RSR24_02162
XOO4566	RSR24_00157
XOO3236	RSR24_02163
XOO2371	RSR24_01682
XOO2371	RSR24_03234
XOO2371	RSR24_00808
XOO2371	RSR24_02966
XOO2371	RSR24_00436
XOO2371	RSR24_00689
XOO4550	RSR24_01462
XOO3222	RSR24_02150
XOO0190	RSR24_04892
XOO1044	RSR24_04243
XOO2374	RSR24_04208
XOO2374	RSR24_04209
XOO1043	RSR24_02953
XOO1042	RSR24_01308
XOO2372	RSR24_00809
XOO2372	RSR24_01683
XOO2372	RSR24_03233
XOO2372	RSR24_02965
XOO2372	RSR24_00437
XOO1041	RSR24_01330
XOO3227	RSR24_02155
XOO2379	RSR24_01466
XOO4558	RSR24_02503
XOO1047	RSR24_01691
XOO3228	RSR24_02156
XOO2378	RSR24_04808
XOO4559	RSR24_04648
XOO0199	RSR24_02484
XOO3229	RSR24_02157
XOO2377	RSR24_04342
XOO0198	RSR24_00809
XOO0198	RSR24_01683
XOO0198	RSR24_03233
XOO0198	RSR24_02965
XOO0198	RSR24_00437
XOO2376	RSR24_04343
XOO3223	RSR24_02151
XOO3224	RSR24_02152
XOO3225	RSR24_02153
XOO4556	RSR24_03403
XOO3226	RSR24_02154
XOO3291	RSR24_01903
XOO4143	RSR24_04243
XOO4144	RSR24_02953
XOO4145	RSR24_02962
XOO4145	RSR24_03375
XOO3298	RSR24_02307
XOO4146	RSR24_00809
XOO4146	RSR24_01683
XOO4146	RSR24_03233
XOO4146	RSR24_02965
XOO4146	RSR24_00437
XOO3299	RSR24_02306
XOO4140	RSR24_00374
XOO4141	RSR24_00373
XOO4149	RSR24_00359
XOO4132	RSR24_00383
XOO3282	RSR24_04259
XOO4130	RSR24_02589
XOO4137	RSR24_00378
XOO4138	RSR24_00376
XOO1091	RSR24_00483
XOO4122	RSR24_03256
XOO1094	RSR24_01891
XOO3272	RSR24_01507
XOO4120	RSR24_02953
XOO4129	RSR24_03885
XOO3278	RSR24_02423
XOO4125	RSR24_02303
XOO3279	RSR24_02436
XOO4126	RSR24_02301
XOO4110	RSR24_02953
XOO3263	RSR24_00384
XOO1084	RSR24_04896
XOO4111	RSR24_04243
XOO1088	RSR24_03885
XOO4591	RSR24_03885
XOO3260	RSR24_01065
XOO3260	RSR24_04039
XOO1086	RSR24_03551
XOO1086	RSR24_03878
XOO4592	RSR24_04208
XOO4592	RSR24_04209
XOO3261	RSR24_01433
XOO1085	RSR24_03551
XOO1085	RSR24_03878
XOO4593	RSR24_04208
XOO4593	RSR24_04209
XOO3262	RSR24_01833
XOO4119	RSR24_04243
XOO1089	RSR24_03885
XOO3267	RSR24_02267
XOO4114	RSR24_00140
XOO4297	RSR24_02916
XOO4295	RSR24_02393
XOO4296	RSR24_00385
XOO4288	RSR24_00696
XOO4289	RSR24_00695
XOO4284	RSR24_00807
XOO4284	RSR24_02657
XOO2092	RSR24_04208
XOO2092	RSR24_04209
XOO2090	RSR24_02484
XOO2096	RSR24_03551
XOO2096	RSR24_03878
XOO2095	RSR24_03551
XOO2095	RSR24_03878
XOO2094	RSR24_03885
XOO2098	RSR24_00321
XOO2097	RSR24_03885
XOO0737	RSR24_04808
XOO0736	RSR24_00175
XOO2917	RSR24_02752
XOO2918	RSR24_02755
XOO0734	RSR24_03642
XOO0738	RSR24_04243
XOO0740	RSR24_02953
XOO2921	RSR24_01140
XOO2921	RSR24_04076
XOO0744	RSR24_04668
XOO0726	RSR24_03399
XOO2901	RSR24_00236
XOO0728	RSR24_03397
XOO2903	RSR24_00230
XOO0727	RSR24_03398
XOO2904	RSR24_02587
XOO0733	RSR24_03392
XOO0733	RSR24_04080
XOO0732	RSR24_03393
XOO0731	RSR24_03394
XOO0730	RSR24_03395
XOO0715	RSR24_00931
XOO0715	RSR24_03459
XOO0714	RSR24_00930
XOO0713	RSR24_00929
XOO0718	RSR24_00993
XOO0718	RSR24_01024
XOO0718	RSR24_00991
XOO2900	RSR24_03698
XOO0722	RSR24_01471
XOO0720	RSR24_01469
XOO0703	RSR24_00731
XOO0707	RSR24_03125
XOO0711	RSR24_02599
XOO0710	RSR24_04884
XOO1628	RSR24_02499
XOO3807	RSR24_02167
XOO1627	RSR24_02516
XOO1626	RSR24_02515
XOO1625	RSR24_02514
XOO2956	RSR24_02044
XOO1629	RSR24_02945
XOO1631	RSR24_02943
XOO2963	RSR24_01155
XOO3810	RSR24_00098
XOO0783	RSR24_03885
XOO1630	RSR24_02944
XOO3813	RSR24_04749
XOO3813	RSR24_04516
XOO2966	RSR24_01153
XOO0788	RSR24_04208
XOO0788	RSR24_04209
XOO0303	RSR24_04208
XOO0303	RSR24_04209
XOO0787	RSR24_02484
XOO2960	RSR24_01515
XOO0786	RSR24_04208
XOO0786	RSR24_04209
XOO0302	RSR24_02953
XOO2961	RSR24_01514
XOO0785	RSR24_03885
XOO0301	RSR24_04243
XOO1632	RSR24_02942
XOO2962	RSR24_01156
XOO2949	RSR24_01343
XOO0767	RSR24_01744
XOO2945	RSR24_02027
XOO2946	RSR24_02028
XOO1619	RSR24_00433
XOO2947	RSR24_02614
XOO2948	RSR24_01344
XOO0773	RSR24_02679
XOO1620	RSR24_02827
XOO2953	RSR24_02042
XOO0772	RSR24_00395
XOO0771	RSR24_00285
XOO2955	RSR24_02043
XOO0770	RSR24_00603
XOO1624	RSR24_02607
XOO0777	RSR24_03720
XOO1623	RSR24_02606
XOO2950	RSR24_01342
XOO1622	RSR24_02825
XOO2951	RSR24_01341
XOO1621	RSR24_02826
XOO0759	RSR24_01464
XOO2939	RSR24_00859
XOO1603	RSR24_04411
XOO0756	RSR24_03964
XOO2934	RSR24_01227
XOO2935	RSR24_01227
XOO1608	RSR24_02953
XOO2936	RSR24_04509
XOO2941	RSR24_00616
XOO2942	RSR24_01913
XOO2944	RSR24_02770
XOO0764	RSR24_02909
XOO2940	RSR24_00617
XOO0763	RSR24_01457
XOO2927	RSR24_01901
XOO2928	RSR24_00104
XOO0746	RSR24_00176
XOO2923	RSR24_01169
XOO0749	RSR24_04243
XOO2926	RSR24_01900
XOO0751	RSR24_04243
XOO0750	RSR24_03551
XOO0750	RSR24_03878
XOO2931	RSR24_03812
XOO2932	RSR24_02292
XOO2933	RSR24_02291
XOO0755	RSR24_03965
XOO1601	RSR24_04031
XOO0753	RSR24_04749
XOO0753	RSR24_04516
XOO1600	RSR24_01162
XOO0752	RSR24_02953
XOO2519	RSR24_04243
XOO2518	RSR24_02953
XOO2517	RSR24_04208
XOO2517	RSR24_04209
XOO1669	RSR24_00802
XOO2522	RSR24_03256
XOO3854	RSR24_00781
XOO2521	RSR24_03256
XOO3856	RSR24_00782
XOO4704	RSR24_03885
XOO0341	RSR24_04208
XOO0341	RSR24_04209
XOO3850	RSR24_02768
XOO1679	RSR24_00804
XOO1678	RSR24_04208
XOO1678	RSR24_04209
XOO3851	RSR24_00778
XOO1677	RSR24_04243
XOO3852	RSR24_00779
XOO2523	RSR24_04243
XOO1676	RSR24_02953
XOO3853	RSR24_00780
XOO2508	RSR24_00401
XOO1659	RSR24_02268
XOO2506	RSR24_00402
XOO2505	RSR24_03718
XOO2989	RSR24_01168
XOO3837	RSR24_03338
XOO2509	RSR24_00400
XOO3839	RSR24_03337
XOO1660	RSR24_00563
XOO1664	RSR24_00797
XOO3843	RSR24_03458
XOO0332	RSR24_00497
XOO3844	RSR24_03457
XOO1663	RSR24_00559
XOO2510	RSR24_00990
XOO0331	RSR24_02953
XOO1662	RSR24_04356
XOO1662	RSR24_01491
XOO3845	RSR24_03456
XOO0330	RSR24_04243
XOO3846	RSR24_03455
XOO1661	RSR24_00560
XOO2515	RSR24_02953
XOO2514	RSR24_00362
XOO2513	RSR24_03885
XOO1666	RSR24_00799
XOO3842	RSR24_03154
XOO1665	RSR24_00798
XOO3829	RSR24_02874
XOO1649	RSR24_00809
XOO1649	RSR24_01683
XOO1649	RSR24_03233
XOO1649	RSR24_02965
XOO1649	RSR24_00437
XOO0318	RSR24_00321
XOO0317	RSR24_02953
XOO1647	RSR24_03885
XOO0316	RSR24_04243
XOO3825	RSR24_02869
XOO3826	RSR24_02870
XOO3827	RSR24_02871
XOO3828	RSR24_02873
XOO0322	RSR24_00321
XOO3833	RSR24_02878
XOO1651	RSR24_00304
XOO1650	RSR24_00809
XOO1650	RSR24_01683
XOO1650	RSR24_03233
XOO1650	RSR24_02965
XOO1650	RSR24_00437
XOO3835	RSR24_01628
XOO0326	RSR24_01682
XOO0326	RSR24_03234
XOO0326	RSR24_00808
XOO0326	RSR24_02966
XOO0326	RSR24_00436
XOO0326	RSR24_00689
XOO2981	RSR24_02892
XOO0325	RSR24_00809
XOO0325	RSR24_01683
XOO0325	RSR24_03233
XOO0325	RSR24_02965
XOO0325	RSR24_00437
XOO2503	RSR24_02953
XOO1656	RSR24_00523
XOO2502	RSR24_04243
XOO3830	RSR24_02875
XOO2501	RSR24_02266
XOO3831	RSR24_02876
XOO1654	RSR24_00521
XOO0308	RSR24_03021
XOO3818	RSR24_02860
XOO3819	RSR24_02861
XOO1637	RSR24_04749
XOO1637	RSR24_04516
XOO0305	RSR24_03020
XOO2967	RSR24_01152
XOO2969	RSR24_00975
XOO3816	RSR24_04252
XOO0309	RSR24_03022
XOO0791	RSR24_02963
XOO0791	RSR24_00932
XOO0790	RSR24_02964
XOO0790	RSR24_00933
XOO0795	RSR24_00740
XOO3821	RSR24_02863
XOO2974	RSR24_01904
XOO1642	RSR24_01175
XOO0794	RSR24_00742
XOO0310	RSR24_03023
XOO3822	RSR24_02865
XOO1640	RSR24_00809
XOO1640	RSR24_01683
XOO1640	RSR24_03233
XOO1640	RSR24_02965
XOO1640	RSR24_00437
XOO0793	RSR24_00741
XOO3823	RSR24_02866
XOO0792	RSR24_00739
XOO3824	RSR24_02868
XOO1646	RSR24_03885
XOO2970	RSR24_00321
XOO0799	RSR24_02338
XOO0799	RSR24_01438
XOO1645	RSR24_01682
XOO1645	RSR24_03234
XOO1645	RSR24_00808
XOO1645	RSR24_02966
XOO1645	RSR24_00436
XOO1645	RSR24_00689
XOO0798	RSR24_01437
XOO0798	RSR24_02339
XOO1644	RSR24_00809
XOO1644	RSR24_01683
XOO1644	RSR24_03233
XOO1644	RSR24_02965
XOO1644	RSR24_00437
XOO1643	RSR24_00809
XOO1643	RSR24_01683
XOO1643	RSR24_03233
XOO1643	RSR24_02965
XOO1643	RSR24_00437
XOO2973	RSR24_00143
XOO0263	RSR24_00809
XOO0263	RSR24_01683
XOO0263	RSR24_03233
XOO0263	RSR24_02965
XOO0263	RSR24_00437
XOO1594	RSR24_00620
XOO0262	RSR24_00809
XOO0262	RSR24_01683
XOO0262	RSR24_03233
XOO0262	RSR24_02965
XOO0262	RSR24_00437
XOO1593	RSR24_00619
XOO1591	RSR24_02812
XOO1114	RSR24_03128
XOO1114	RSR24_03129
XOO1598	RSR24_01500
XOO0267	RSR24_03430
XOO3778	RSR24_02953
XOO1597	RSR24_01499
XOO1113	RSR24_00206
XOO3779	RSR24_04243
XOO1595	RSR24_02396
XOO1118	RSR24_00691
XOO1118	RSR24_00690
XOO1118	RSR24_02218
XOO1118	RSR24_02767
XOO1117	RSR24_00338
XOO4621	RSR24_02403
XOO2448	RSR24_00946
XOO2447	RSR24_02310
XOO0268	RSR24_03167
XOO3761	RSR24_00321
XOO1583	RSR24_02854
XOO0252	RSR24_01046
XOO2430	RSR24_03188
XOO1582	RSR24_03885
XOO1586	RSR24_00623
XOO1586	RSR24_00624
XOO1102	RSR24_01504
XOO3767	RSR24_00813
XOO4615	RSR24_01233
XOO4615	RSR24_04640
XOO1585	RSR24_02852
XOO1101	RSR24_01638
XOO4616	RSR24_04208
XOO4616	RSR24_04209
XOO1584	RSR24_02853
XOO3762	RSR24_04302
XOO2437	RSR24_00321
XOO3763	RSR24_04653
XOO4611	RSR24_04208
XOO4611	RSR24_04209
XOO3764	RSR24_01577
XOO1589	RSR24_02851
XOO0258	RSR24_01496
XOO1105	RSR24_03466
XOO4612	RSR24_04208
XOO4612	RSR24_04209
XOO3765	RSR24_01578
XOO2417	RSR24_01053
XOO0239	RSR24_03126
XOO3748	RSR24_00578
XOO3749	RSR24_02907
XOO3750	RSR24_00738
XOO1570	RSR24_03885
XOO2423	RSR24_00246
XOO3755	RSR24_00720
XOO1575	RSR24_03551
XOO1575	RSR24_03878
XOO3756	RSR24_00721
XOO1574	RSR24_03885
XOO4604	RSR24_03520
XOO4604	RSR24_03572
XOO3757	RSR24_02186
XOO0242	RSR24_03364
XOO3751	RSR24_00960
XOO1579	RSR24_03885
XOO3752	RSR24_00961
XOO1578	RSR24_03551
XOO1578	RSR24_03878
