XOO1903	RSPSI07_01835
XOO3913	RSPSI07_03506
XOO2825	RSPSI07_03292
XOO0894	RSPSI07_03333
XOO1741	RSPSI07_01637
XOO1983	RSPSI07_01870
XOO0893	RSPSI07_01365
XOO0893	RSPSI07_03334
XOO1982	RSPSI07_04134
XOO0892	RSPSI07_03335
XOO0892	RSPSI07_01366
XOO1745	RSPSI07_02949
XOO1985	RSPSI07_01881
XOO0896	RSPSI07_03332
XOO2817	RSPSI07_03861
XOO2817	RSPSI07_03871
XOO0638	RSPSI07_04383
XOO2818	RSPSI07_03861
XOO2818	RSPSI07_03871
XOO1968	RSPSI07_01861
XOO0879	RSPSI07_03893
XOO0636	RSPSI07_01424
XOO0878	RSPSI07_02258
XOO1967	RSPSI07_01859
XOO1725	RSPSI07_02022
XOO1966	RSPSI07_01858
XOO1724	RSPSI07_00775
XOO2814	RSPSI07_03292
XOO3905	RSPSI07_03292
XOO0639	RSPSI07_04384
XOO1972	RSPSI07_01865
XOO0883	RSPSI07_02254
XOO0641	RSPSI07_04860
XOO0882	RSPSI07_02255
XOO2821	RSPSI07_04817
XOO0881	RSPSI07_02256
XOO1970	RSPSI07_01863
XOO0880	RSPSI07_02257
XOO3912	RSPSI07_03505
XOO1976	RSPSI07_01868
XOO0887	RSPSI07_01739
XOO0402	RSPSI07_00474
XOO1974	RSPSI07_01867
XOO0885	RSPSI07_01736
XOO1973	RSPSI07_01866
XOO1731	RSPSI07_03352
XOO0627	RSPSI07_04604
XOO0626	RSPSI07_03318
XOO2809	RSPSI07_00611
XOO2802	RSPSI07_02206
XOO2804	RSPSI07_03239
XOO2804	RSPSI07_03947
XOO0629	RSPSI07_04602
XOO2805	RSPSI07_03946
XOO2805	RSPSI07_03240
XOO0628	RSPSI07_04603
XOO1961	RSPSI07_02122
XOO0630	RSPSI07_04601
XOO2810	RSPSI07_00610
XOO2810	RSPSI07_04255
XOO3900	RSPSI07_03164
XOO2811	RSPSI07_00609
XOO2812	RSPSI07_00608
XOO1965	RSPSI07_01857
XOO1723	RSPSI07_00438
XOO0876	RSPSI07_02262
XOO1964	RSPSI07_01856
XOO1963	RSPSI07_01855
XOO1962	RSPSI07_01160
XOO1309	RSPSI07_02380
XOO0218	RSPSI07_04467
XOO0459	RSPSI07_02835
XOO3968	RSPSI07_03187
XOO3728	RSPSI07_03418
XOO3729	RSPSI07_01822
XOO3970	RSPSI07_03190
XOO1792	RSPSI07_01850
XOO1550	RSPSI07_02636
XOO1791	RSPSI07_04450
XOO2886	RSPSI07_01492
XOO0222	RSPSI07_04538
XOO0222	RSPSI07_03665
XOO2887	RSPSI07_01490
XOO1795	RSPSI07_00140
XOO2400	RSPSI07_00818
XOO2645	RSPSI07_02307
XOO3734	RSPSI07_04540
XOO2888	RSPSI07_01488
XOO1794	RSPSI07_00141
XOO3735	RSPSI07_03378
XOO0463	RSPSI07_02843
XOO0462	RSPSI07_02844
XOO0469	RSPSI07_00355
XOO0227	RSPSI07_00106
XOO3971	RSPSI07_00679
XOO1558	RSPSI07_00395
XOO3972	RSPSI07_03292
XOO2404	RSPSI07_04705
XOO2404	RSPSI07_02633
XOO2404	RSPSI07_01555
XOO2404	RSPSI07_01417
XOO2404	RSPSI07_02407
XOO2404	RSPSI07_00277
XOO2404	RSPSI07_01454
XOO2404	RSPSI07_02861
XOO2404	RSPSI07_03245
XOO2404	RSPSI07_02430
XOO3973	RSPSI07_03292
XOO2403	RSPSI07_01556
XOO2403	RSPSI07_04704
XOO2403	RSPSI07_02634
XOO2403	RSPSI07_00278
XOO2403	RSPSI07_01455
XOO2403	RSPSI07_02408
XOO2403	RSPSI07_01418
XOO2403	RSPSI07_02429
XOO2403	RSPSI07_00766
XOO2403	RSPSI07_01531
XOO2403	RSPSI07_02860
XOO2403	RSPSI07_03244
XOO2884	RSPSI07_02174
XOO1555	RSPSI07_01920
XOO0466	RSPSI07_01820
XOO3719	RSPSI07_01845
XOO1539	RSPSI07_00906
XOO1538	RSPSI07_00905
XOO0448	RSPSI07_00480
XOO2868	RSPSI07_00614
XOO2868	RSPSI07_02727
XOO3957	RSPSI07_00169
XOO3716	RSPSI07_03482
XOO3958	RSPSI07_02378
XOO2629	RSPSI07_03292
XOO3718	RSPSI07_01424
XOO4807	RSPSI07_01702
XOO0692	RSPSI07_02369
XOO0690	RSPSI07_01704
XOO2633	RSPSI07_03292
XOO3964	RSPSI07_03427
XOO3964	RSPSI07_03426
XOO3964	RSPSI07_03849
XOO3964	RSPSI07_03340
XOO0212	RSPSI07_02956
XOO0453	RSPSI07_00776
XOO3723	RSPSI07_03967
XOO3966	RSPSI07_03427
XOO3966	RSPSI07_03426
XOO3966	RSPSI07_03849
XOO3966	RSPSI07_03340
XOO0694	RSPSI07_01904
XOO2636	RSPSI07_03292
XOO0693	RSPSI07_02370
XOO3967	RSPSI07_03186
XOO2871	RSPSI07_00896
XOO2871	RSPSI07_02663
XOO3960	RSPSI07_03427
XOO3960	RSPSI07_03426
XOO3960	RSPSI07_03849
XOO3960	RSPSI07_03340
XOO2630	RSPSI07_03292
XOO2872	RSPSI07_02280
XOO1304	RSPSI07_02228
XOO0456	RSPSI07_01790
XOO1787	RSPSI07_01791
XOO0214	RSPSI07_02954
XOO1303	RSPSI07_02751
XOO2873	RSPSI07_02278
XOO0698	RSPSI07_04359
XOO1545	RSPSI07_02464
XOO0455	RSPSI07_03031
XOO1786	RSPSI07_00706
XOO1528	RSPSI07_01690
XOO1527	RSPSI07_02396
XOO2857	RSPSI07_04523
XOO2615	RSPSI07_00982
XOO2616	RSPSI07_02755
XOO2858	RSPSI07_04522
XOO3947	RSPSI07_03971
XOO2859	RSPSI07_04521
XOO2617	RSPSI07_04512
XOO3948	RSPSI07_03970
XOO2618	RSPSI07_04511
XOO0680	RSPSI07_00811
XOO3953	RSPSI07_02972
XOO2622	RSPSI07_04520
XOO0443	RSPSI07_02687
XOO1773	RSPSI07_03292
XOO2865	RSPSI07_01362
XOO3712	RSPSI07_03163
XOO3713	RSPSI07_02462
XOO3956	RSPSI07_02968
XOO2860	RSPSI07_02755
XOO1536	RSPSI07_02341
XOO0688	RSPSI07_04530
XOO0687	RSPSI07_04529
XOO3952	RSPSI07_02973
XOO2621	RSPSI07_04508
XOO2608	RSPSI07_03561
XOO0428	RSPSI07_02983
XOO1517	RSPSI07_02495
XOO2609	RSPSI07_03560
XOO1999	RSPSI07_01979
XOO3935	RSPSI07_01696
XOO2604	RSPSI07_03576
XOO3937	RSPSI07_00172
XOO3938	RSPSI07_04251
XOO0670	RSPSI07_01906
XOO3700	RSPSI07_01556
XOO3700	RSPSI07_04704
XOO3700	RSPSI07_02634
XOO3700	RSPSI07_00278
XOO3700	RSPSI07_01455
XOO3700	RSPSI07_02408
XOO3700	RSPSI07_01418
XOO3700	RSPSI07_02429
XOO3700	RSPSI07_00766
XOO3700	RSPSI07_01531
XOO3700	RSPSI07_02860
XOO3700	RSPSI07_03244
XOO0674	RSPSI07_01232
XOO2611	RSPSI07_03558
XOO3942	RSPSI07_03337
XOO3701	RSPSI07_01556
XOO3701	RSPSI07_04704
XOO3701	RSPSI07_02634
XOO3701	RSPSI07_00278
XOO3701	RSPSI07_01455
XOO3701	RSPSI07_02408
XOO3701	RSPSI07_01418
XOO3701	RSPSI07_02429
XOO3701	RSPSI07_00766
XOO3701	RSPSI07_01531
XOO3701	RSPSI07_02860
XOO3701	RSPSI07_03244
XOO2612	RSPSI07_03557
XOO3702	RSPSI07_01556
XOO3702	RSPSI07_04704
XOO3702	RSPSI07_02634
XOO3702	RSPSI07_00278
XOO3702	RSPSI07_01455
XOO3702	RSPSI07_02408
XOO3702	RSPSI07_01418
XOO3702	RSPSI07_02429
XOO3702	RSPSI07_00766
XOO3702	RSPSI07_01531
XOO3702	RSPSI07_02860
XOO3702	RSPSI07_03244
XOO1525	RSPSI07_01963
XOO1524	RSPSI07_04613
XOO2850	RSPSI07_04526
XOO0676	RSPSI07_00507
XOO3941	RSPSI07_02281
XOO2610	RSPSI07_03559
XOO4738	RSPSI07_04705
XOO4738	RSPSI07_02633
XOO4738	RSPSI07_01555
XOO4738	RSPSI07_01417
XOO4738	RSPSI07_02407
XOO4738	RSPSI07_00277
XOO4738	RSPSI07_01454
XOO4738	RSPSI07_02861
XOO4738	RSPSI07_03245
XOO4738	RSPSI07_02430
XOO3649	RSPSI07_02052
XOO3408	RSPSI07_00995
XOO3409	RSPSI07_02379
XOO2561	RSPSI07_03940
XOO2562	RSPSI07_01480
XOO1230	RSPSI07_02099
XOO1230	RSPSI07_03540
XOO0383	RSPSI07_00698
XOO1472	RSPSI07_01654
XOO3415	RSPSI07_02686
XOO3657	RSPSI07_02487
XOO2568	RSPSI07_00050
XOO2323	RSPSI07_04359
XOO4505	RSPSI07_00331
XOO2569	RSPSI07_03544
XOO3658	RSPSI07_04551
XOO1232	RSPSI07_02593
XOO3417	RSPSI07_02467
XOO3894	RSPSI07_03292
XOO2563	RSPSI07_04398
XOO0149	RSPSI07_03292
XOO3895	RSPSI07_04705
XOO3895	RSPSI07_02633
XOO3895	RSPSI07_01555
XOO3895	RSPSI07_01417
XOO3895	RSPSI07_02407
XOO3895	RSPSI07_00277
XOO3895	RSPSI07_01454
XOO3895	RSPSI07_02861
XOO3895	RSPSI07_03245
XOO3895	RSPSI07_02430
XOO3411	RSPSI07_02961
XOO2564	RSPSI07_04182
XOO4742	RSPSI07_04585
XOO0148	RSPSI07_03292
XOO2326	RSPSI07_03482
XOO0147	RSPSI07_03292
XOO3413	RSPSI07_02685
XOO1236	RSPSI07_01540
XOO1219	RSPSI07_00979
XOO2308	RSPSI07_01372
XOO2307	RSPSI07_01373
XOO4728	RSPSI07_03292
XOO2790	RSPSI07_04240
XOO2791	RSPSI07_04237
XOO2792	RSPSI07_01232
XOO3881	RSPSI07_00475
XOO2793	RSPSI07_04246
XOO2551	RSPSI07_01626
XOO0131	RSPSI07_01084
XOO1460	RSPSI07_02941
XOO2313	RSPSI07_02006
XOO3645	RSPSI07_03449
XOO2556	RSPSI07_00746
XOO0135	RSPSI07_01753
XOO0377	RSPSI07_03086
XOO0134	RSPSI07_03292
XOO3888	RSPSI07_01556
XOO3888	RSPSI07_04704
XOO3888	RSPSI07_02634
XOO3888	RSPSI07_00278
XOO3888	RSPSI07_01455
XOO3888	RSPSI07_02408
XOO3888	RSPSI07_01418
XOO3888	RSPSI07_02429
XOO3888	RSPSI07_00766
XOO3888	RSPSI07_01531
XOO3888	RSPSI07_02860
XOO3888	RSPSI07_03244
XOO3646	RSPSI07_03450
XOO1465	RSPSI07_04521
XOO3889	RSPSI07_01556
XOO3889	RSPSI07_04704
XOO3889	RSPSI07_02634
XOO3889	RSPSI07_00278
XOO3889	RSPSI07_01455
XOO3889	RSPSI07_02408
XOO3889	RSPSI07_01418
XOO3889	RSPSI07_02429
XOO3889	RSPSI07_00766
XOO3889	RSPSI07_01531
XOO3889	RSPSI07_02860
XOO3889	RSPSI07_03244
XOO4736	RSPSI07_04705
XOO4736	RSPSI07_02633
XOO4736	RSPSI07_01555
XOO4736	RSPSI07_01417
XOO4736	RSPSI07_02407
XOO4736	RSPSI07_00277
XOO4736	RSPSI07_01454
XOO4736	RSPSI07_02861
XOO4736	RSPSI07_03245
XOO4736	RSPSI07_02430
XOO3647	RSPSI07_00772
XOO2552	RSPSI07_00465
XOO2552	RSPSI07_04589
XOO2552	RSPSI07_01124
XOO2317	RSPSI07_04750
XOO1469	RSPSI07_02044
XOO2553	RSPSI07_00950
XOO2315	RSPSI07_04747
XOO4732	RSPSI07_02260
XOO2554	RSPSI07_00949
XOO0137	RSPSI07_01753
XOO2314	RSPSI07_04749
XOO2555	RSPSI07_00745
XOO3644	RSPSI07_00563
XOO2797	RSPSI07_01922
XOO0118	RSPSI07_00890
XOO4716	RSPSI07_04705
XOO4716	RSPSI07_02633
XOO4716	RSPSI07_01555
XOO4716	RSPSI07_01417
XOO4716	RSPSI07_02407
XOO4716	RSPSI07_00277
XOO4716	RSPSI07_01454
XOO4716	RSPSI07_02861
XOO4716	RSPSI07_03245
XOO4716	RSPSI07_02430
XOO2538	RSPSI07_02794
XOO4717	RSPSI07_04705
XOO4717	RSPSI07_02633
XOO4717	RSPSI07_01555
XOO4717	RSPSI07_01417
XOO4717	RSPSI07_02407
XOO4717	RSPSI07_00277
XOO4717	RSPSI07_01454
XOO4717	RSPSI07_02861
XOO4717	RSPSI07_03245
XOO4717	RSPSI07_02430
XOO2539	RSPSI07_04028
XOO3629	RSPSI07_00736
XOO3629	RSPSI07_03825
XOO3870	RSPSI07_01660
XOO2540	RSPSI07_01941
XOO0362	RSPSI07_01556
XOO0362	RSPSI07_04704
XOO0362	RSPSI07_02634
XOO0362	RSPSI07_00278
XOO0362	RSPSI07_01455
XOO0362	RSPSI07_02408
XOO0362	RSPSI07_01418
XOO0362	RSPSI07_02429
XOO0362	RSPSI07_00766
XOO0362	RSPSI07_01531
XOO0362	RSPSI07_02860
XOO0362	RSPSI07_03244
XOO1450	RSPSI07_03888
XOO1450	RSPSI07_03887
XOO1450	RSPSI07_03364
XOO1450	RSPSI07_03410
XOO1450	RSPSI07_03365
XOO0360	RSPSI07_04705
XOO0360	RSPSI07_02633
XOO0360	RSPSI07_01555
XOO0360	RSPSI07_01417
XOO0360	RSPSI07_02407
XOO0360	RSPSI07_00277
XOO0360	RSPSI07_01454
XOO0360	RSPSI07_02861
XOO0360	RSPSI07_03245
XOO0360	RSPSI07_02430
XOO4723	RSPSI07_04705
XOO4723	RSPSI07_02633
XOO4723	RSPSI07_01555
XOO4723	RSPSI07_01417
XOO4723	RSPSI07_02407
XOO4723	RSPSI07_00277
XOO4723	RSPSI07_01454
XOO4723	RSPSI07_02861
XOO4723	RSPSI07_03245
XOO4723	RSPSI07_02430
XOO2787	RSPSI07_04714
XOO2787	RSPSI07_04835
XOO2787	RSPSI07_03583
XOO2787	RSPSI07_03586
XOO1455	RSPSI07_03367
XOO3635	RSPSI07_03292
XOO0365	RSPSI07_01556
XOO0365	RSPSI07_04704
XOO0365	RSPSI07_02634
XOO0365	RSPSI07_00278
XOO0365	RSPSI07_01455
XOO0365	RSPSI07_02408
XOO0365	RSPSI07_01418
XOO0365	RSPSI07_02429
XOO0365	RSPSI07_00766
XOO0365	RSPSI07_01531
XOO0365	RSPSI07_02860
XOO0365	RSPSI07_03244
XOO2546	RSPSI07_01074
XOO2788	RSPSI07_00615
XOO1696	RSPSI07_01420
XOO1454	RSPSI07_03367
XOO1211	RSPSI07_03292
XOO0364	RSPSI07_01556
XOO0364	RSPSI07_04704
XOO0364	RSPSI07_02634
XOO0364	RSPSI07_00278
XOO0364	RSPSI07_01455
XOO0364	RSPSI07_02408
XOO0364	RSPSI07_01418
XOO0364	RSPSI07_02429
XOO0364	RSPSI07_00766
XOO0364	RSPSI07_01531
XOO0364	RSPSI07_02860
XOO0364	RSPSI07_03244
XOO1453	RSPSI07_03888
XOO1453	RSPSI07_03887
XOO1453	RSPSI07_03364
XOO1453	RSPSI07_03410
XOO1453	RSPSI07_03365
XOO2547	RSPSI07_01073
XOO2789	RSPSI07_04238
XOO0363	RSPSI07_01556
XOO0363	RSPSI07_04704
XOO0363	RSPSI07_02634
XOO0363	RSPSI07_00278
XOO0363	RSPSI07_01455
XOO0363	RSPSI07_02408
XOO0363	RSPSI07_01418
XOO0363	RSPSI07_02429
XOO0363	RSPSI07_00766
XOO0363	RSPSI07_01531
XOO0363	RSPSI07_02860
XOO0363	RSPSI07_03244
XOO2548	RSPSI07_01067
XOO1452	RSPSI07_03368
XOO3630	RSPSI07_03826
XOO3630	RSPSI07_00737
XOO2542	RSPSI07_01077
XOO2305	RSPSI07_02172
XOO1458	RSPSI07_02917
XOO3631	RSPSI07_01286
XOO1215	RSPSI07_01424
XOO2304	RSPSI07_02171
XOO3633	RSPSI07_03827
XOO3633	RSPSI07_00739
XOO1456	RSPSI07_03368
XOO1439	RSPSI07_02870
XOO1438	RSPSI07_00649
XOO2769	RSPSI07_02734
XOO3858	RSPSI07_02522
XOO3617	RSPSI07_01564
XOO4707	RSPSI07_04705
XOO4707	RSPSI07_02633
XOO4707	RSPSI07_01555
XOO4707	RSPSI07_01417
XOO4707	RSPSI07_02407
XOO4707	RSPSI07_00277
XOO4707	RSPSI07_01454
XOO4707	RSPSI07_02861
XOO4707	RSPSI07_03245
XOO4707	RSPSI07_02430
XOO2529	RSPSI07_02065
XOO3860	RSPSI07_02521
XOO2771	RSPSI07_02737
XOO1440	RSPSI07_00306
XOO0350	RSPSI07_02808
XOO0590	RSPSI07_01163
XOO4712	RSPSI07_00693
XOO0113	RSPSI07_03440
XOO2534	RSPSI07_02072
XOO0597	RSPSI07_02771
XOO1202	RSPSI07_00496
XOO2777	RSPSI07_01523
XOO2777	RSPSI07_01694
XOO4713	RSPSI07_03007
XOO4713	RSPSI07_04387
XOO2535	RSPSI07_02073
XOO3866	RSPSI07_02649
XOO0112	RSPSI07_03443
XOO0596	RSPSI07_03121
XOO3867	RSPSI07_02648
XOO0595	RSPSI07_00318
XOO2536	RSPSI07_02722
XOO3625	RSPSI07_03075
XOO4957	RSPSI07_03254
XOO2537	RSPSI07_02795
XOO2779	RSPSI07_00742
XOO0110	RSPSI07_03873
XOO4950	RSPSI07_04705
XOO4950	RSPSI07_02633
XOO4950	RSPSI07_01555
XOO4950	RSPSI07_01417
XOO4950	RSPSI07_02407
XOO4950	RSPSI07_00277
XOO4950	RSPSI07_01454
XOO4950	RSPSI07_02861
XOO4950	RSPSI07_03245
XOO4950	RSPSI07_02430
XOO0117	RSPSI07_03439
XOO1448	RSPSI07_02719
XOO0358	RSPSI07_03482
XOO2773	RSPSI07_03767
XOO1447	RSPSI07_03227
XOO0116	RSPSI07_03436
XOO1204	RSPSI07_03482
XOO3863	RSPSI07_00552
XOO3621	RSPSI07_00812
XOO1446	RSPSI07_03226
XOO0115	RSPSI07_03437
XOO1203	RSPSI07_00720
XOO0598	RSPSI07_01148
XOO0114	RSPSI07_03438
XOO3209	RSPSI07_02681
XOO2360	RSPSI07_01681
XOO3210	RSPSI07_02682
XOO4784	RSPSI07_04450
XOO2122	RSPSI07_03292
XOO2364	RSPSI07_00833
XOO1033	RSPSI07_01671
XOO2363	RSPSI07_01022
XOO1274	RSPSI07_04383
XOO3690	RSPSI07_01938
XOO1273	RSPSI07_04384
XOO2361	RSPSI07_00738
XOO2368	RSPSI07_00873
XOO3216	RSPSI07_01982
XOO1278	RSPSI07_02947
XOO1036	RSPSI07_01674
XOO1277	RSPSI07_02946
XOO1035	RSPSI07_01673
XOO3218	RSPSI07_01984
XOO2366	RSPSI07_00836
XOO2124	RSPSI07_04431
XOO2365	RSPSI07_00835
XOO1034	RSPSI07_01672
XOO2123	RSPSI07_03756
XOO2123	RSPSI07_04432
XOO3219	RSPSI07_01985
XOO3212	RSPSI07_00966
XOO4544	RSPSI07_01414
XOO4302	RSPSI07_02096
XOO1039	RSPSI07_01485
XOO4787	RSPSI07_00694
XOO3214	RSPSI07_01298
XOO4303	RSPSI07_02097
XOO4304	RSPSI07_01556
XOO4304	RSPSI07_04704
XOO4304	RSPSI07_02634
XOO4304	RSPSI07_00278
XOO4304	RSPSI07_01455
XOO4304	RSPSI07_02408
XOO4304	RSPSI07_01418
XOO4304	RSPSI07_02429
XOO4304	RSPSI07_00766
XOO4304	RSPSI07_01531
XOO4304	RSPSI07_02860
XOO4304	RSPSI07_03244
XOO3215	RSPSI07_01297
XOO3682	RSPSI07_02976
XOO3441	RSPSI07_03925
XOO3442	RSPSI07_01970
XOO1264	RSPSI07_00916
XOO0173	RSPSI07_02151
XOO3689	RSPSI07_01929
XOO3205	RSPSI07_00659
XOO4536	RSPSI07_02833
XOO1268	RSPSI07_03285
XOO3206	RSPSI07_03631
XOO2113	RSPSI07_01556
XOO2113	RSPSI07_04704
XOO2113	RSPSI07_02634
XOO2113	RSPSI07_00278
XOO2113	RSPSI07_01455
XOO2113	RSPSI07_02408
XOO2113	RSPSI07_01418
XOO2113	RSPSI07_02429
XOO2113	RSPSI07_00766
XOO2113	RSPSI07_01531
XOO2113	RSPSI07_02860
XOO2113	RSPSI07_03244
XOO0177	RSPSI07_00498
XOO3207	RSPSI07_00561
XOO3208	RSPSI07_00884
