XOO1903	RSK60_00231
XOO0151	RSK60_01155
XOO0151	RSK60_03338
XOO0151	RSK60_04184
XOO0150	RSK60_01291
XOO0150	RSK60_02054
XOO0150	RSK60_02463
XOO0150	RSK60_00841
XOO0150	RSK60_01155
XOO0150	RSK60_03338
XOO0150	RSK60_04184
XOO0157	RSK60_00563
XOO4514	RSK60_02770
XOO3668	RSK60_03307
XOO2333	RSK60_03388
XOO2333	RSK60_04465
XOO1486	RSK60_01735
XOO1486	RSK60_04056
XOO1486	RSK60_00842
XOO1486	RSK60_03731
XOO1486	RSK60_05087
XOO0155	RSK60_03014
XOO3669	RSK60_03308
XOO1485	RSK60_01735
XOO1485	RSK60_04056
XOO1485	RSK60_00842
XOO1485	RSK60_03731
XOO1485	RSK60_05087
XOO2339	RSK60_02585
XOO4511	RSK60_02706
XOO3664	RSK60_01387
XOO2338	RSK60_00361
XOO1006	RSK60_03014
XOO2336	RSK60_03221
XOO3666	RSK60_03305
XOO3252	RSK60_03195
XOO3254	RSK60_03194
XOO1071	RSK60_03693
XOO4585	RSK60_01704
XOO4586	RSK60_01390
XOO3255	RSK60_03193
XOO1070	RSK60_03694
XOO4580	RSK60_00776
XOO3250	RSK60_03198
XOO1075	RSK60_00270
XOO3251	RSK60_03197
XOO4107	RSK60_03014
XOO1062	RSK60_00334
XOO1061	RSK60_01123
XOO4573	RSK60_00685
XOO3243	RSK60_03014
XOO4575	RSK60_02585
XOO2390	RSK60_02261
XOO1066	RSK60_00479
XOO2396	RSK60_02616
XOO1065	RSK60_00481
XOO1064	RSK60_00482
XOO4570	RSK60_02959
XOO1063	RSK60_00333
XOO3249	RSK60_03299
XOO2398	RSK60_02614
XOO4577	RSK60_02195
XOO4577	RSK60_04251
XOO4577	RSK60_04250
XOO3246	RSK60_01181
XOO4579	RSK60_03014
XOO2382	RSK60_04952
XOO2382	RSK60_00751
XOO3230	RSK60_03122
XOO1051	RSK60_04026
XOO1051	RSK60_03436
XOO2381	RSK60_01291
XOO2381	RSK60_02054
XOO2381	RSK60_02463
XOO2381	RSK60_00841
XOO2381	RSK60_01155
XOO2381	RSK60_03338
XOO2381	RSK60_04184
XOO1050	RSK60_04027
XOO3232	RSK60_03121
XOO3233	RSK60_03120
XOO2385	RSK60_02195
XOO2385	RSK60_04251
XOO2385	RSK60_04250
XOO1052	RSK60_04027
XOO3238	RSK60_03114
XOO1059	RSK60_00681
XOO2389	RSK60_02260
XOO2388	RSK60_00802
XOO2387	RSK60_00801
XOO3234	RSK60_03119
XOO3235	RSK60_03118
XOO4566	RSK60_01565
XOO3236	RSK60_03117
XOO2371	RSK60_04082
XOO4550	RSK60_03399
XOO3222	RSK60_03130
XOO0190	RSK60_05096
XOO1044	RSK60_03014
XOO0197	RSK60_03787
XOO2374	RSK60_02195
XOO2374	RSK60_04251
XOO2374	RSK60_04250
XOO1042	RSK60_03252
XOO2372	RSK60_03257
XOO2372	RSK60_03260
XOO0194	RSK60_03785
XOO1041	RSK60_03285
XOO3227	RSK60_03125
XOO2379	RSK60_03450
XOO4558	RSK60_02774
XOO1048	RSK60_04027
XOO1047	RSK60_01459
XOO1047	RSK60_01885
XOO1047	RSK60_04028
XOO1047	RSK60_00861
XOO1047	RSK60_03438
XOO1047	RSK60_00085
XOO3228	RSK60_03124
XOO2378	RSK60_04996
XOO3229	RSK60_03123
XOO1046	RSK60_00628
XOO0198	RSK60_03257
XOO0198	RSK60_03260
XOO3223	RSK60_03129
XOO3224	RSK60_03128
XOO3225	RSK60_03127
XOO4556	RSK60_01850
XOO3226	RSK60_03126
XOO1049	RSK60_04026
XOO1049	RSK60_03436
XOO3291	RSK60_00351
XOO4143	RSK60_03014
XOO4145	RSK60_01877
XOO3298	RSK60_02971
XOO4146	RSK60_03257
XOO4146	RSK60_03260
XOO3299	RSK60_02972
XOO4140	RSK60_01379
XOO4141	RSK60_01380
XOO4149	RSK60_01393
XOO4132	RSK60_01370
XOO3282	RSK60_04469
XOO4130	RSK60_02674
XOO4137	RSK60_01375
XOO4138	RSK60_01377
XOO1091	RSK60_01270
XOO1094	RSK60_00339
XOO3272	RSK60_03496
XOO4129	RSK60_01291
XOO4129	RSK60_02054
XOO4129	RSK60_02463
XOO4129	RSK60_00841
XOO4129	RSK60_01155
XOO4129	RSK60_03338
XOO4129	RSK60_04184
XOO3278	RSK60_02852
XOO4125	RSK60_02975
XOO3279	RSK60_02838
XOO4126	RSK60_02977
XOO3263	RSK60_01369
XOO4111	RSK60_03014
XOO3264	RSK60_03813
XOO1088	RSK60_01291
XOO1088	RSK60_02054
XOO1088	RSK60_02463
XOO1088	RSK60_00841
XOO1088	RSK60_01155
XOO1088	RSK60_03338
XOO1088	RSK60_04184
XOO4591	RSK60_01291
XOO4591	RSK60_02054
XOO4591	RSK60_02463
XOO4591	RSK60_00841
XOO4591	RSK60_01155
XOO4591	RSK60_03338
XOO4591	RSK60_04184
XOO3260	RSK60_00686
XOO1086	RSK60_04952
XOO1086	RSK60_00751
XOO4592	RSK60_02195
XOO4592	RSK60_04251
XOO4592	RSK60_04250
XOO3261	RSK60_03351
XOO1085	RSK60_04952
XOO1085	RSK60_00751
XOO4593	RSK60_02195
XOO4593	RSK60_04251
XOO4593	RSK60_04250
XOO3262	RSK60_00282
XOO4118	RSK60_01735
XOO4118	RSK60_04056
XOO4118	RSK60_00842
XOO4118	RSK60_03731
XOO4118	RSK60_05087
XOO4119	RSK60_03014
XOO1089	RSK60_01291
XOO1089	RSK60_02054
XOO1089	RSK60_02463
XOO1089	RSK60_00841
XOO1089	RSK60_01155
XOO1089	RSK60_03338
XOO1089	RSK60_04184
XOO3267	RSK60_03007
XOO4114	RSK60_01582
XOO4116	RSK60_01735
XOO4116	RSK60_04056
XOO4116	RSK60_00842
XOO4116	RSK60_03731
XOO4116	RSK60_05087
XOO4297	RSK60_02367
XOO4295	RSK60_02884
XOO4296	RSK60_01368
XOO4288	RSK60_01058
XOO4289	RSK60_01059
XOO4284	RSK60_00943
XOO4284	RSK60_02600
XOO2092	RSK60_02195
XOO2092	RSK60_04251
XOO2092	RSK60_04250
XOO2096	RSK60_04952
XOO2096	RSK60_00751
XOO2095	RSK60_04952
XOO2095	RSK60_00751
XOO2094	RSK60_01291
XOO2094	RSK60_02054
XOO2094	RSK60_02463
XOO2094	RSK60_00841
XOO2094	RSK60_01155
XOO2094	RSK60_03338
XOO2094	RSK60_04184
XOO2097	RSK60_01291
XOO2097	RSK60_02054
XOO2097	RSK60_02463
XOO2097	RSK60_00841
XOO2097	RSK60_01155
XOO2097	RSK60_03338
XOO2097	RSK60_04184
XOO0737	RSK60_04996
XOO0736	RSK60_01550
XOO0734	RSK60_03766
XOO0738	RSK60_03014
XOO2921	RSK60_00567
XOO2921	RSK60_04309
XOO0744	RSK60_04857
XOO0726	RSK60_01855
XOO2901	RSK60_01480
XOO0728	RSK60_01857
XOO2903	RSK60_01486
XOO0727	RSK60_01856
XOO2904	RSK60_02676
XOO0733	RSK60_01862
XOO0733	RSK60_04313
XOO0732	RSK60_01861
XOO0731	RSK60_01860
XOO0730	RSK60_01859
XOO0715	RSK60_00782
XOO0715	RSK60_01790
XOO0714	RSK60_00783
XOO0713	RSK60_00784
XOO0718	RSK60_00725
XOO2900	RSK60_03797
XOO0722	RSK60_03455
XOO0720	RSK60_03453
XOO0703	RSK60_01019
XOO0707	RSK60_02180
XOO0711	RSK60_02663
XOO1628	RSK60_02778
XOO3807	RSK60_03112
XOO1627	RSK60_02761
XOO1626	RSK60_02762
XOO1625	RSK60_02763
XOO2956	RSK60_00469
XOO1629	RSK60_02336
XOO1631	RSK60_02338
XOO2963	RSK60_00552
XOO3810	RSK60_01626
XOO0783	RSK60_01291
XOO0783	RSK60_02054
XOO0783	RSK60_02463
XOO0783	RSK60_00841
XOO0783	RSK60_01155
XOO0783	RSK60_03338
XOO0783	RSK60_04184
XOO1630	RSK60_02337
XOO3813	RSK60_04893
XOO3813	RSK60_00234
XOO3813	RSK60_03712
XOO3813	RSK60_00848
XOO2966	RSK60_00554
XOO0788	RSK60_02195
XOO0788	RSK60_04251
XOO0788	RSK60_04250
XOO0303	RSK60_02195
XOO0303	RSK60_04251
XOO0303	RSK60_04250
XOO2960	RSK60_03505
XOO1634	RSK60_04896
XOO1634	RSK60_04647
XOO0786	RSK60_02195
XOO0786	RSK60_04251
XOO0786	RSK60_04250
XOO2961	RSK60_03504
XOO0785	RSK60_01291
XOO0785	RSK60_02054
XOO0785	RSK60_02463
XOO0785	RSK60_00841
XOO0785	RSK60_01155
XOO0785	RSK60_03338
XOO0785	RSK60_04184
XOO0301	RSK60_03014
XOO1632	RSK60_02339
XOO2962	RSK60_00551
XOO2949	RSK60_03297
XOO0767	RSK60_00182
XOO2945	RSK60_00452
XOO2946	RSK60_00453
XOO1619	RSK60_01290
XOO2947	RSK60_02647
XOO2948	RSK60_03298
XOO0773	RSK60_02578
XOO1620	RSK60_02436
XOO2953	RSK60_00467
XOO0772	RSK60_01358
XOO0771	RSK60_01439
XOO2955	RSK60_00468
XOO0770	RSK60_01150
XOO1624	RSK60_02654
XOO0777	RSK60_03823
XOO1623	RSK60_02655
XOO2950	RSK60_03296
XOO1622	RSK60_02438
XOO2951	RSK60_03295
XOO1621	RSK60_02437
XOO0759	RSK60_03448
XOO2939	RSK60_00894
XOO1603	RSK60_04627
XOO2934	RSK60_03565
XOO2934	RSK60_00035
XOO2935	RSK60_03565
XOO2935	RSK60_00035
XOO2936	RSK60_04718
XOO2941	RSK60_01134
XOO2942	RSK60_00362
XOO0761	RSK60_03917
XOO2944	RSK60_02502
XOO1612	RSK60_04295
XOO0764	RSK60_02374
XOO2940	RSK60_01133
XOO0763	RSK60_03393
XOO2927	RSK60_00349
XOO2928	RSK60_01620
XOO0746	RSK60_01549
XOO2923	RSK60_00536
XOO0749	RSK60_03014
XOO2926	RSK60_00348
XOO0751	RSK60_03014
XOO0750	RSK60_04952
XOO0750	RSK60_00751
XOO2931	RSK60_03956
XOO2932	RSK60_02986
XOO2933	RSK60_02987
XOO1601	RSK60_04628
XOO0753	RSK60_04893
XOO0753	RSK60_00234
XOO0753	RSK60_03712
XOO0753	RSK60_00848
XOO1600	RSK60_00545
XOO2519	RSK60_03014
XOO2517	RSK60_02195
XOO2517	RSK60_04251
XOO2517	RSK60_04250
XOO1669	RSK60_00948
XOO3854	RSK60_00970
XOO3856	RSK60_00969
XOO3856	RSK60_00968
XOO4704	RSK60_01291
XOO4704	RSK60_02054
XOO4704	RSK60_02463
XOO4704	RSK60_00841
XOO4704	RSK60_01155
XOO4704	RSK60_03338
XOO4704	RSK60_04184
XOO0341	RSK60_02195
XOO0341	RSK60_04251
XOO0341	RSK60_04250
XOO2526	RSK60_01735
XOO2526	RSK60_04056
XOO2526	RSK60_00842
XOO2526	RSK60_03731
XOO2526	RSK60_05087
XOO3850	RSK60_02504
XOO1679	RSK60_00946
XOO1678	RSK60_02195
