XOO1903	RSBA7_01419
XOO2820	RSBA7_05065
XOO2820	RSBA7_04570
XOO2820	RSBA7_03440
XOO2820	RSBA7_04014
XOO2820	RSBA7_02078
XOO2820	RSBA7_04255
XOO2820	RSBA7_05068
XOO2820	RSBA7_00330
XOO2820	RSBA7_02112
XOO2820	RSBA7_02114
XOO2820	RSBA7_04018
XOO2820	RSBA7_00335
XOO2820	RSBA7_00337
XOO2820	RSBA7_02679
XOO2820	RSBA7_02628
XOO2820	RSBA7_05098
XOO2820	RSBA7_04042
XOO2820	RSBA7_05097
XOO2820	RSBA7_03792
XOO2820	RSBA7_00086
XOO2820	RSBA7_04245
XOO2820	RSBA7_05012
XOO2820	RSBA7_00681
XOO2820	RSBA7_05013
XOO2820	RSBA7_05057
XOO2820	RSBA7_01694
XOO2820	RSBA7_03630
XOO2820	RSBA7_03831
XOO2820	RSBA7_04205
XOO2820	RSBA7_00564
XOO2820	RSBA7_04248
XOO2820	RSBA7_00203
XOO2820	RSBA7_00566
XOO2820	RSBA7_03117
XOO2820	RSBA7_04802
XOO2820	RSBA7_03825
XOO2820	RSBA7_04639
XOO2820	RSBA7_00912
XOO2820	RSBA7_05051
XOO2820	RSBA7_05044
XOO2820	RSBA7_04273
XOO2820	RSBA7_04394
XOO2820	RSBA7_00591
XOO2820	RSBA7_04475
XOO2820	RSBA7_04038
XOO2820	RSBA7_04632
XOO2820	RSBA7_00672
XOO2820	RSBA7_03663
XOO2820	RSBA7_04598
XOO2820	RSBA7_01401
XOO2820	RSBA7_02413
XOO2820	RSBA7_04239
XOO2820	RSBA7_01404
XOO1972	RSBA7_01368
XOO0883	RSBA7_01026
XOO0641	RSBA7_04985
XOO0882	RSBA7_01025
XOO2821	RSBA7_04936
XOO0881	RSBA7_01024
XOO1970	RSBA7_01370
XOO0880	RSBA7_01023
XOO3912	RSBA7_03322
XOO1976	RSBA7_01365
XOO0887	RSBA7_01503
XOO0402	RSBA7_02750
XOO1974	RSBA7_01366
XOO0885	RSBA7_01500
XOO1973	RSBA7_01367
XOO1731	RSBA7_04783
XOO0627	RSBA7_03432
XOO0626	RSBA7_03197
XOO2809	RSBA7_02555
XOO2802	RSBA7_04134
XOO2804	RSBA7_00015
XOO2804	RSBA7_03967
XOO2804	RSBA7_03966
XOO0629	RSBA7_03434
XOO2805	RSBA7_03968
XOO2805	RSBA7_00014
XOO2805	RSBA7_04846
XOO0628	RSBA7_03433
XOO1961	RSBA7_01126
XOO0630	RSBA7_03435
XOO2810	RSBA7_03672
XOO2810	RSBA7_02556
XOO3900	RSBA7_00093
XOO2811	RSBA7_02557
XOO2812	RSBA7_02558
XOO1965	RSBA7_01376
XOO1723	RSBA7_02786
XOO0876	RSBA7_01018
XOO1964	RSBA7_01377
XOO1963	RSBA7_01378
XOO1962	RSBA7_02024
XOO1309	RSBA7_00895
XOO0218	RSBA7_03554
XOO0459	RSBA7_00439
XOO3968	RSBA7_00067
XOO3728	RSBA7_03236
XOO3729	RSBA7_01430
XOO3970	RSBA7_00064
XOO1792	RSBA7_01383
XOO1550	RSBA7_00281
XOO1791	RSBA7_03569
XOO3975	RSBA7_05054
XOO3975	RSBA7_01619
XOO2886	RSBA7_01746
XOO0223	RSBA7_04328
XOO0222	RSBA7_02980
XOO0222	RSBA7_04326
XOO0222	RSBA7_04327
XOO2887	RSBA7_01747
XOO1795	RSBA7_02974
XOO2400	RSBA7_02358
XOO2645	RSBA7_00973
XOO2888	RSBA7_01749
XOO1794	RSBA7_02973
XOO3735	RSBA7_04756
XOO0463	RSBA7_00431
XOO0462	RSBA7_00430
XOO0469	RSBA7_02864
XOO0227	RSBA7_03025
XOO3971	RSBA7_02487
XOO1558	RSBA7_02828
XOO3972	RSBA7_04629
XOO3972	RSBA7_00559
XOO3972	RSBA7_04815
XOO3972	RSBA7_04903
XOO3972	RSBA7_01938
XOO3972	RSBA7_05040
XOO3972	RSBA7_02161
XOO3972	RSBA7_04494
XOO3972	RSBA7_05074
XOO3972	RSBA7_03162
XOO3972	RSBA7_05031
XOO3972	RSBA7_05048
XOO3972	RSBA7_04421
XOO3972	RSBA7_04420
XOO3972	RSBA7_04961
XOO3972	RSBA7_00201
XOO3972	RSBA7_03228
XOO3972	RSBA7_03315
XOO3972	RSBA7_04813
XOO2404	RSBA7_01407
XOO2404	RSBA7_03661
XOO2404	RSBA7_04625
XOO2404	RSBA7_02106
XOO2404	RSBA7_02108
XOO2404	RSBA7_03603
XOO0226	RSBA7_04329
XOO3973	RSBA7_04629
XOO3973	RSBA7_00559
XOO3973	RSBA7_04815
XOO3973	RSBA7_04903
XOO3973	RSBA7_01938
XOO3973	RSBA7_05040
XOO3973	RSBA7_02161
XOO3973	RSBA7_04494
XOO3973	RSBA7_05074
XOO3973	RSBA7_03162
XOO3973	RSBA7_05031
XOO3973	RSBA7_05048
XOO3973	RSBA7_04421
XOO3973	RSBA7_04420
XOO3973	RSBA7_04961
XOO3973	RSBA7_00201
XOO3973	RSBA7_03228
XOO3973	RSBA7_03315
XOO3973	RSBA7_04813
XOO2403	RSBA7_01408
XOO2403	RSBA7_03660
XOO2403	RSBA7_02105
XOO2403	RSBA7_02107
XOO2403	RSBA7_03604
XOO2403	RSBA7_04626
XOO2884	RSBA7_01072
XOO0225	RSBA7_04328
XOO3974	RSBA7_05053
XOO3974	RSBA7_01620
XOO1555	RSBA7_01316
XOO0466	RSBA7_01432
XOO0224	RSBA7_04329
XOO3719	RSBA7_00189
XOO3719	RSBA7_01388
XOO1539	RSBA7_02267
XOO1538	RSBA7_02268
XOO0448	RSBA7_02744
XOO2868	RSBA7_02552
XOO2868	RSBA7_00544
XOO3957	RSBA7_02941
XOO3958	RSBA7_00897
XOO3717	RSBA7_05054
XOO3717	RSBA7_01619
XOO2629	RSBA7_04629
XOO2629	RSBA7_00559
XOO2629	RSBA7_04815
XOO2629	RSBA7_04903
XOO2629	RSBA7_01938
XOO2629	RSBA7_05040
XOO2629	RSBA7_02161
XOO2629	RSBA7_04494
XOO2629	RSBA7_05074
XOO2629	RSBA7_03162
XOO2629	RSBA7_05031
XOO2629	RSBA7_05048
XOO2629	RSBA7_04421
XOO2629	RSBA7_04420
XOO2629	RSBA7_04961
XOO2629	RSBA7_00201
XOO2629	RSBA7_03228
XOO2629	RSBA7_03315
XOO2629	RSBA7_04813
XOO4807	RSBA7_01543
XOO0692	RSBA7_00906
XOO0690	RSBA7_01541
XOO2633	RSBA7_04629
XOO2633	RSBA7_00559
XOO2633	RSBA7_04815
XOO2633	RSBA7_04903
XOO2633	RSBA7_01938
XOO2633	RSBA7_05040
XOO2633	RSBA7_02161
XOO2633	RSBA7_04494
XOO2633	RSBA7_05074
XOO2633	RSBA7_03162
XOO2633	RSBA7_05031
XOO2633	RSBA7_05048
XOO2633	RSBA7_04421
XOO2633	RSBA7_04420
XOO2633	RSBA7_04961
XOO2633	RSBA7_00201
XOO2633	RSBA7_03228
XOO2633	RSBA7_03315
XOO2633	RSBA7_04813
XOO3964	RSBA7_04063
XOO3964	RSBA7_04059
XOO0212	RSBA7_00338
XOO0453	RSBA7_02396
XOO3723	RSBA7_03951
XOO3966	RSBA7_04063
XOO3966	RSBA7_04059
XOO0694	RSBA7_01333
XOO2636	RSBA7_04629
XOO2636	RSBA7_00559
XOO2636	RSBA7_04815
XOO2636	RSBA7_04903
XOO2636	RSBA7_01938
XOO2636	RSBA7_05040
XOO2636	RSBA7_02161
XOO2636	RSBA7_04494
XOO2636	RSBA7_05074
XOO2636	RSBA7_03162
XOO2636	RSBA7_05031
XOO2636	RSBA7_05048
XOO2636	RSBA7_04421
XOO2636	RSBA7_04420
XOO2636	RSBA7_04961
XOO2636	RSBA7_00201
XOO2636	RSBA7_03228
XOO2636	RSBA7_03315
XOO2636	RSBA7_04813
XOO0693	RSBA7_00905
XOO3967	RSBA7_00068
XOO2871	RSBA7_00636
XOO2871	RSBA7_02278
XOO3960	RSBA7_04063
XOO3960	RSBA7_04059
XOO2630	RSBA7_04629
XOO2630	RSBA7_00559
XOO2630	RSBA7_04815
XOO2630	RSBA7_04903
XOO2630	RSBA7_01938
XOO2630	RSBA7_05040
XOO2630	RSBA7_02161
XOO2630	RSBA7_04494
XOO2630	RSBA7_05074
XOO2630	RSBA7_03162
XOO2630	RSBA7_05031
XOO2630	RSBA7_05048
XOO2630	RSBA7_04421
XOO2630	RSBA7_04420
XOO2630	RSBA7_04961
XOO2630	RSBA7_00201
XOO2630	RSBA7_03228
XOO2630	RSBA7_03315
XOO2630	RSBA7_04813
XOO2872	RSBA7_01000
XOO1304	RSBA7_01053
XOO0456	RSBA7_01463
XOO1787	RSBA7_01462
XOO0214	RSBA7_00340
XOO1303	RSBA7_00521
XOO2873	RSBA7_01002
XOO0698	RSBA7_04526
XOO1545	RSBA7_00838
XOO0455	RSBA7_00224
XOO1786	RSBA7_02460
XOO3708	RSBA7_05054
XOO3708	RSBA7_01619
XOO1528	RSBA7_01555
XOO1527	RSBA7_00879
XOO2857	RSBA7_03507
XOO2615	RSBA7_02211
XOO2616	RSBA7_00517
XOO2858	RSBA7_03508
XOO3947	RSBA7_03947
XOO2859	RSBA7_03509
XOO2617	RSBA7_03518
XOO3948	RSBA7_03948
XOO3707	RSBA7_05053
XOO3707	RSBA7_01620
XOO2618	RSBA7_03519
XOO0680	RSBA7_02365
XOO3953	RSBA7_00285
XOO2622	RSBA7_03510
XOO0443	RSBA7_00613
XOO1773	RSBA7_04629
XOO1773	RSBA7_00559
XOO1773	RSBA7_04815
XOO1773	RSBA7_04903
XOO1773	RSBA7_01938
XOO1773	RSBA7_05040
XOO1773	RSBA7_02161
XOO1773	RSBA7_04494
XOO1773	RSBA7_05074
XOO1773	RSBA7_03162
XOO1773	RSBA7_05031
XOO1773	RSBA7_05048
XOO1773	RSBA7_04421
XOO1773	RSBA7_04420
XOO1773	RSBA7_04961
XOO1773	RSBA7_00201
XOO1773	RSBA7_03228
XOO1773	RSBA7_03315
XOO1773	RSBA7_04813
XOO2865	RSBA7_01846
XOO3712	RSBA7_00094
XOO3713	RSBA7_00840
XOO3956	RSBA7_00289
XOO2860	RSBA7_00517
XOO1536	RSBA7_00944
XOO0688	RSBA7_03501
XOO0203	RSBA7_00713
XOO0203	RSBA7_00590
XOO0203	RSBA7_00204
XOO0687	RSBA7_03502
XOO3952	RSBA7_00284
XOO2621	RSBA7_03522
XOO2608	RSBA7_04687
XOO0428	RSBA7_00270
XOO1517	RSBA7_00807
XOO2609	RSBA7_04688
XOO1999	RSBA7_01263
XOO3935	RSBA7_01549
XOO2604	RSBA7_04670
XOO3937	RSBA7_02938
XOO3938	RSBA7_03676
XOO0670	RSBA7_01331
XOO3700	RSBA7_01408
XOO3700	RSBA7_03660
XOO3700	RSBA7_02105
XOO3700	RSBA7_02107
XOO3700	RSBA7_03604
XOO3700	RSBA7_04626
XOO2853	RSBA7_05054
XOO2853	RSBA7_01619
XOO2611	RSBA7_04690
XOO3942	RSBA7_03224
XOO3701	RSBA7_01408
XOO3701	RSBA7_03660
XOO3701	RSBA7_02105
XOO3701	RSBA7_02107
XOO3701	RSBA7_03604
XOO3701	RSBA7_04626
XOO2612	RSBA7_04691
XOO3702	RSBA7_01408
XOO3702	RSBA7_03660
XOO3702	RSBA7_02105
XOO3702	RSBA7_02107
XOO3702	RSBA7_03604
XOO3702	RSBA7_04626
XOO1525	RSBA7_01279
XOO1524	RSBA7_03420
XOO2850	RSBA7_03505
XOO0676	RSBA7_02717
XOO2852	RSBA7_05053
XOO2852	RSBA7_01620
XOO3941	RSBA7_00999
XOO2610	RSBA7_04689
XOO0433	RSBA7_03201
XOO4738	RSBA7_01407
XOO4738	RSBA7_03661
XOO4738	RSBA7_04625
XOO4738	RSBA7_02106
XOO4738	RSBA7_02108
XOO4738	RSBA7_03603
XOO3649	RSBA7_01197
XOO3408	RSBA7_02198
XOO3409	RSBA7_00896
XOO2561	RSBA7_03973
XOO2562	RSBA7_03866
XOO2562	RSBA7_01711
XOO0384	RSBA7_04304
XOO1230	RSBA7_04728
XOO1230	RSBA7_01149
XOO0383	RSBA7_02468
XOO1472	RSBA7_01592
XOO1235	RSBA7_01714
XOO1235	RSBA7_04070
XOO1235	RSBA7_02082
XOO1235	RSBA7_04260
XOO1235	RSBA7_05030
XOO1235	RSBA7_04583
XOO1235	RSBA7_04861
XOO1235	RSBA7_04189
XOO1235	RSBA7_00584
XOO1235	RSBA7_03333
XOO1235	RSBA7_03457
XOO1235	RSBA7_05038
XOO1235	RSBA7_02920
XOO1235	RSBA7_04306
XOO1235	RSBA7_00302
XOO1235	RSBA7_02567
XOO1235	RSBA7_00217
XOO1235	RSBA7_00737
XOO1235	RSBA7_05065
XOO1235	RSBA7_04570
XOO1235	RSBA7_03440
XOO1235	RSBA7_04014
XOO1235	RSBA7_02078
XOO1235	RSBA7_04255
XOO1235	RSBA7_05068
XOO1235	RSBA7_00330
XOO1235	RSBA7_02112
XOO1235	RSBA7_02114
XOO1235	RSBA7_04018
XOO1235	RSBA7_00335
XOO1235	RSBA7_00337
XOO1235	RSBA7_02679
XOO1235	RSBA7_02628
XOO1235	RSBA7_05098
XOO1235	RSBA7_04042
XOO1235	RSBA7_05097
XOO1235	RSBA7_03792
XOO1235	RSBA7_00086
XOO1235	RSBA7_04245
XOO1235	RSBA7_05012
XOO1235	RSBA7_00681
XOO1235	RSBA7_05013
XOO1235	RSBA7_05057
XOO1235	RSBA7_01694
XOO1235	RSBA7_03630
XOO1235	RSBA7_03831
XOO1235	RSBA7_04205
XOO1235	RSBA7_00564
XOO1235	RSBA7_04248
XOO1235	RSBA7_00203
XOO1235	RSBA7_00566
XOO1235	RSBA7_03117
XOO1235	RSBA7_04802
XOO1235	RSBA7_03825
XOO1235	RSBA7_04639
XOO1235	RSBA7_00912
XOO1235	RSBA7_05051
XOO1235	RSBA7_05044
XOO1235	RSBA7_04273
XOO1235	RSBA7_04394
XOO1235	RSBA7_00591
XOO1235	RSBA7_04475
XOO1235	RSBA7_04038
XOO1235	RSBA7_04632
XOO1235	RSBA7_00672
XOO1235	RSBA7_03663
XOO1235	RSBA7_04598
XOO1235	RSBA7_01401
XOO1235	RSBA7_02413
XOO1235	RSBA7_04239
XOO1235	RSBA7_01404
XOO1476	RSBA7_05053
XOO1476	RSBA7_01620
XOO3415	RSBA7_00614
XOO3657	RSBA7_00815
XOO2568	RSBA7_03081
XOO2323	RSBA7_04526
XOO1475	RSBA7_05054
XOO1475	RSBA7_01619
XOO4505	RSBA7_02893
XOO2569	RSBA7_04724
XOO3658	RSBA7_03490
XOO1232	RSBA7_00714
XOO3417	RSBA7_00835
XOO3894	RSBA7_04629
XOO3894	RSBA7_00559
XOO3894	RSBA7_04815
XOO3894	RSBA7_04903
XOO3894	RSBA7_01938
XOO3894	RSBA7_05040
XOO3894	RSBA7_02161
XOO3894	RSBA7_04494
XOO3894	RSBA7_05074
XOO3894	RSBA7_03162
XOO3894	RSBA7_05031
XOO3894	RSBA7_05048
XOO3894	RSBA7_04421
XOO3894	RSBA7_04420
XOO3894	RSBA7_04961
XOO3894	RSBA7_00201
XOO3894	RSBA7_03228
XOO3894	RSBA7_03315
XOO3894	RSBA7_04813
XOO0149	RSBA7_04629
XOO0149	RSBA7_00559
XOO0149	RSBA7_04815
XOO0149	RSBA7_04903
XOO0149	RSBA7_01938
XOO0149	RSBA7_05040
XOO0149	RSBA7_02161
XOO0149	RSBA7_04494
XOO0149	RSBA7_05074
XOO0149	RSBA7_03162
XOO0149	RSBA7_05031
XOO0149	RSBA7_05048
XOO0149	RSBA7_04421
XOO0149	RSBA7_04420
XOO0149	RSBA7_04961
XOO0149	RSBA7_00201
XOO0149	RSBA7_03228
XOO0149	RSBA7_03315
XOO0149	RSBA7_04813
XOO3895	RSBA7_01407
XOO3895	RSBA7_03661
XOO3895	RSBA7_04625
XOO3895	RSBA7_02106
XOO3895	RSBA7_02108
XOO3895	RSBA7_03603
XOO3411	RSBA7_00296
XOO0148	RSBA7_04629
XOO0148	RSBA7_00559
XOO0148	RSBA7_04815
XOO0148	RSBA7_04903
XOO0148	RSBA7_01938
XOO0148	RSBA7_05040
XOO0148	RSBA7_02161
XOO0148	RSBA7_04494
