XOO1903	RSRUN2340_01701
XOO0149	RSRUN2340_01575
XOO0149	RSRUN2340_03254
XOO0149	RSRUN2340_00184
XOO0149	RSRUN2340_04175
XOO0149	RSRUN2340_04590
XOO0148	RSRUN2340_04082
XOO0148	RSRUN2340_01717
XOO0148	RSRUN2340_00459
XOO0148	RSRUN2340_01647
XOO0148	RSRUN2340_03605
XOO0148	RSRUN2340_00737
XOO0148	RSRUN2340_00730
XOO0148	RSRUN2340_02438
XOO0148	RSRUN2340_03236
XOO0148	RSRUN2340_04106
XOO0148	RSRUN2340_00277
XOO0148	RSRUN2340_04862
XOO0148	RSRUN2340_01575
XOO0148	RSRUN2340_03254
XOO0148	RSRUN2340_00184
XOO0148	RSRUN2340_04175
XOO0148	RSRUN2340_04590
XOO0147	RSRUN2340_04082
XOO0147	RSRUN2340_01717
XOO0147	RSRUN2340_00459
XOO0147	RSRUN2340_01647
XOO0147	RSRUN2340_03605
XOO0147	RSRUN2340_00737
XOO0147	RSRUN2340_00730
XOO0147	RSRUN2340_02438
XOO0147	RSRUN2340_03236
XOO0147	RSRUN2340_04106
XOO0147	RSRUN2340_00277
XOO0147	RSRUN2340_04862
XOO0147	RSRUN2340_01575
XOO0147	RSRUN2340_03254
XOO0147	RSRUN2340_00184
XOO0147	RSRUN2340_04175
XOO0147	RSRUN2340_04590
XOO2308	RSRUN2340_01215
XOO2307	RSRUN2340_01216
XOO2790	RSRUN2340_04573
XOO2791	RSRUN2340_04570
XOO2792	RSRUN2340_04861
XOO2793	RSRUN2340_04579
XOO0131	RSRUN2340_00919
XOO1460	RSRUN2340_00386
XOO2313	RSRUN2340_01889
XOO3645	RSRUN2340_03779
XOO0135	RSRUN2340_01602
XOO0134	RSRUN2340_04082
XOO0134	RSRUN2340_01717
XOO0134	RSRUN2340_00459
XOO0134	RSRUN2340_01647
XOO0134	RSRUN2340_03605
XOO0134	RSRUN2340_00737
XOO0134	RSRUN2340_00730
XOO0134	RSRUN2340_02438
XOO0134	RSRUN2340_03236
XOO0134	RSRUN2340_04106
XOO0134	RSRUN2340_00277
XOO0134	RSRUN2340_04862
XOO0134	RSRUN2340_01575
XOO0134	RSRUN2340_03254
XOO0134	RSRUN2340_00184
XOO0134	RSRUN2340_04175
XOO0134	RSRUN2340_04590
XOO3646	RSRUN2340_03780
XOO1465	RSRUN2340_04947
XOO3647	RSRUN2340_02801
XOO2317	RSRUN2340_05087
XOO0138	RSRUN2340_01014
XOO0138	RSRUN2340_00181
XOO0138	RSRUN2340_03957
XOO0138	RSRUN2340_04382
XOO1469	RSRUN2340_01924
XOO2315	RSRUN2340_05084
XOO0137	RSRUN2340_01602
XOO2314	RSRUN2340_05086
XOO3644	RSRUN2340_03000
XOO0118	RSRUN2340_02639
XOO3627	RSRUN2340_00587
XOO3627	RSRUN2340_00881
XOO3627	RSRUN2340_00075
XOO3628	RSRUN2340_00882
XOO3628	RSRUN2340_00586
XOO3628	RSRUN2340_00076
XOO3629	RSRUN2340_02833
XOO3629	RSRUN2340_04470
XOO2787	RSRUN2340_03923
XOO2787	RSRUN2340_05054
XOO2787	RSRUN2340_03925
XOO3635	RSRUN2340_04082
XOO3635	RSRUN2340_01717
XOO3635	RSRUN2340_00459
XOO3635	RSRUN2340_01647
XOO3635	RSRUN2340_03605
XOO3635	RSRUN2340_00737
XOO3635	RSRUN2340_00730
XOO3635	RSRUN2340_02438
XOO3635	RSRUN2340_03236
XOO3635	RSRUN2340_04106
XOO3635	RSRUN2340_00277
XOO3635	RSRUN2340_04862
XOO3635	RSRUN2340_01575
XOO3635	RSRUN2340_03254
XOO3635	RSRUN2340_00184
XOO3635	RSRUN2340_04175
XOO3635	RSRUN2340_04590
XOO2788	RSRUN2340_02953
XOO2789	RSRUN2340_04571
XOO3630	RSRUN2340_02832
XOO3630	RSRUN2340_04469
XOO2305	RSRUN2340_02049
XOO1458	RSRUN2340_00411
XOO3631	RSRUN2340_01134
XOO0126	RSRUN2340_00587
XOO0126	RSRUN2340_00881
XOO0126	RSRUN2340_00075
XOO2304	RSRUN2340_02048
XOO0125	RSRUN2340_00882
XOO0125	RSRUN2340_00586
XOO0125	RSRUN2340_00076
XOO3633	RSRUN2340_04468
XOO3633	RSRUN2340_02830
XOO1439	RSRUN2340_00457
XOO1438	RSRUN2340_02917
XOO2769	RSRUN2340_00573
XOO3617	RSRUN2340_01346
XOO2771	RSRUN2340_00572
XOO1440	RSRUN2340_03237
XOO0590	RSRUN2340_00996
XOO0113	RSRUN2340_03773
XOO0597	RSRUN2340_00540
XOO2777	RSRUN2340_01528
XOO0112	RSRUN2340_03776
XOO0596	RSRUN2340_00156
XOO0595	RSRUN2340_03227
XOO4957	RSRUN2340_00002
XOO2779	RSRUN2340_02827
XOO4950	RSRUN2340_03981
XOO0117	RSRUN2340_03772
XOO1448	RSRUN2340_00590
XOO2773	RSRUN2340_04200
XOO1447	RSRUN2340_00046
XOO0116	RSRUN2340_03769
XOO3621	RSRUN2340_02733
XOO1446	RSRUN2340_00047
XOO0115	RSRUN2340_03770
XOO0599	RSRUN2340_02111
XOO0598	RSRUN2340_00982
XOO0114	RSRUN2340_03771
XOO3209	RSRUN2340_00628
XOO2360	RSRUN2340_01515
XOO0181	RSRUN2340_00297
XOO0181	RSRUN2340_02069
XOO0181	RSRUN2340_04587
XOO0181	RSRUN2340_02605
XOO0180	RSRUN2340_00297
XOO0180	RSRUN2340_02069
XOO0180	RSRUN2340_04587
XOO0180	RSRUN2340_02605
XOO3210	RSRUN2340_00627
XOO2364	RSRUN2340_02711
XOO1033	RSRUN2340_01503
XOO2363	RSRUN2340_02510
XOO1031	RSRUN2340_01014
XOO1031	RSRUN2340_00181
XOO1031	RSRUN2340_03957
XOO1031	RSRUN2340_04382
XOO3690	RSRUN2340_01813
XOO0183	RSRUN2340_00297
XOO0183	RSRUN2340_02069
XOO0183	RSRUN2340_04587
XOO0183	RSRUN2340_02605
XOO2361	RSRUN2340_02831
XOO3691	RSRUN2340_04482
XOO2368	RSRUN2340_02671
XOO3216	RSRUN2340_01865
XOO1036	RSRUN2340_01506
XOO1035	RSRUN2340_01505
XOO3218	RSRUN2340_01867
XOO2366	RSRUN2340_02708
XOO0187	RSRUN2340_01014
XOO0187	RSRUN2340_00181
XOO0187	RSRUN2340_03957
XOO0187	RSRUN2340_04382
XOO2365	RSRUN2340_02709
XOO1034	RSRUN2340_01504
XOO3219	RSRUN2340_01868
XOO3212	RSRUN2340_02566
XOO4544	RSRUN2340_01258
XOO1039	RSRUN2340_01299
XOO3214	RSRUN2340_01144
XOO2369	RSRUN2340_01014
XOO2369	RSRUN2340_00181
XOO2369	RSRUN2340_03957
XOO2369	RSRUN2340_04382
XOO3215	RSRUN2340_01143
XOO1022	RSRUN2340_00882
XOO1022	RSRUN2340_00586
XOO1022	RSRUN2340_00076
XOO1021	RSRUN2340_00587
XOO1021	RSRUN2340_00881
XOO1021	RSRUN2340_00075
XOO0173	RSRUN2340_02028
XOO3689	RSRUN2340_01804
XOO3205	RSRUN2340_02907
XOO4536	RSRUN2340_01629
XOO0177	RSRUN2340_03062
XOO3207	RSRUN2340_03001
XOO3208	RSRUN2340_02645
XOO3201	RSRUN2340_04857
XOO1029	RSRUN2340_01001
XOO1029	RSRUN2340_03982
XOO3686	RSRUN2340_01802
XOO3202	RSRUN2340_04853
XOO1028	RSRUN2340_01001
XOO1028	RSRUN2340_03982
XOO1027	RSRUN2340_01001
XOO1027	RSRUN2340_03982
XOO3688	RSRUN2340_01803
XOO4518	RSRUN2340_01986
XOO1491	RSRUN2340_04082
XOO1491	RSRUN2340_01717
XOO1491	RSRUN2340_00459
XOO1491	RSRUN2340_01647
XOO1491	RSRUN2340_03605
XOO1491	RSRUN2340_00737
XOO1491	RSRUN2340_00730
XOO1491	RSRUN2340_02438
XOO1491	RSRUN2340_03236
XOO1491	RSRUN2340_04106
XOO1491	RSRUN2340_00277
XOO1491	RSRUN2340_04862
XOO1491	RSRUN2340_01575
XOO1491	RSRUN2340_03254
XOO1491	RSRUN2340_00184
XOO1491	RSRUN2340_04175
XOO1491	RSRUN2340_04590
XOO0160	RSRUN2340_00297
XOO0160	RSRUN2340_02069
XOO0160	RSRUN2340_04587
XOO0160	RSRUN2340_02605
XOO3672	RSRUN2340_02002
XOO1495	RSRUN2340_04082
XOO1495	RSRUN2340_01717
XOO1495	RSRUN2340_00459
XOO1495	RSRUN2340_01647
XOO1495	RSRUN2340_03605
XOO1495	RSRUN2340_00737
XOO1495	RSRUN2340_00730
XOO1495	RSRUN2340_02438
XOO1495	RSRUN2340_03236
XOO1495	RSRUN2340_04106
XOO1495	RSRUN2340_00277
XOO1495	RSRUN2340_04862
XOO1495	RSRUN2340_01575
XOO1495	RSRUN2340_03254
XOO1495	RSRUN2340_00184
XOO1495	RSRUN2340_04175
XOO1495	RSRUN2340_04590
XOO1010	RSRUN2340_04082
XOO1010	RSRUN2340_01717
XOO1010	RSRUN2340_00459
XOO1010	RSRUN2340_01647
XOO1010	RSRUN2340_03605
XOO1010	RSRUN2340_00737
XOO1010	RSRUN2340_00730
XOO1010	RSRUN2340_02438
XOO1010	RSRUN2340_03236
XOO1010	RSRUN2340_04106
XOO1010	RSRUN2340_00277
XOO1010	RSRUN2340_04862
XOO1010	RSRUN2340_01575
XOO1010	RSRUN2340_03254
XOO1010	RSRUN2340_00184
XOO1010	RSRUN2340_04175
XOO1010	RSRUN2340_04590
XOO1493	RSRUN2340_04082
XOO1493	RSRUN2340_01717
XOO1493	RSRUN2340_00459
XOO1493	RSRUN2340_01647
XOO1493	RSRUN2340_03605
XOO1493	RSRUN2340_00737
XOO1493	RSRUN2340_00730
XOO1493	RSRUN2340_02438
XOO1493	RSRUN2340_03236
XOO1493	RSRUN2340_04106
XOO1493	RSRUN2340_00277
XOO1493	RSRUN2340_04862
XOO1493	RSRUN2340_01575
XOO1493	RSRUN2340_03254
XOO1493	RSRUN2340_00184
XOO1493	RSRUN2340_04175
XOO1493	RSRUN2340_04590
XOO0168	RSRUN2340_01888
XOO3679	RSRUN2340_01231
XOO4527	RSRUN2340_02012
XOO1012	RSRUN2340_04082
XOO1012	RSRUN2340_01717
XOO1012	RSRUN2340_00459
XOO1012	RSRUN2340_01647
XOO1012	RSRUN2340_03605
XOO1012	RSRUN2340_00737
XOO1012	RSRUN2340_00730
XOO1012	RSRUN2340_02438
XOO1012	RSRUN2340_03236
XOO1012	RSRUN2340_04106
XOO1012	RSRUN2340_00277
XOO1012	RSRUN2340_04862
XOO1012	RSRUN2340_01575
XOO1012	RSRUN2340_03254
XOO1012	RSRUN2340_00184
XOO1012	RSRUN2340_04175
XOO1012	RSRUN2340_04590
XOO4528	RSRUN2340_01561
XOO3674	RSRUN2340_02032
XOO3675	RSRUN2340_01234
XOO4523	RSRUN2340_01001
XOO4523	RSRUN2340_03982
XOO4524	RSRUN2340_01001
XOO4524	RSRUN2340_03982
XOO4508	RSRUN2340_02264
XOO4509	RSRUN2340_01593
XOO3661	RSRUN2340_00882
XOO3661	RSRUN2340_00586
XOO3661	RSRUN2340_00076
XOO3662	RSRUN2340_00587
XOO3662	RSRUN2340_00881
XOO3662	RSRUN2340_00075
XOO2331	RSRUN2340_03560
XOO2330	RSRUN2340_03923
XOO2330	RSRUN2340_05054
XOO2330	RSRUN2340_03925
XOO0157	RSRUN2340_02048
XOO4514	RSRUN2340_02568
XOO3668	RSRUN2340_01319
XOO2333	RSRUN2340_01340
XOO2333	RSRUN2340_05186
XOO2333	RSRUN2340_00192
XOO2333	RSRUN2340_03705
XOO3669	RSRUN2340_01320
XOO2339	RSRUN2340_02755
XOO4511	RSRUN2340_02635
XOO3664	RSRUN2340_00388
XOO2338	RSRUN2340_01850
XOO2336	RSRUN2340_01255
XOO3666	RSRUN2340_01317
XOO3252	RSRUN2340_01227
XOO3254	RSRUN2340_01226
XOO1071	RSRUN2340_03622
XOO4585	RSRUN2340_00018
XOO4586	RSRUN2340_00385
XOO3255	RSRUN2340_01225
XOO1070	RSRUN2340_03623
XOO4580	RSRUN2340_02286
XOO3250	RSRUN2340_01230
XOO1075	RSRUN2340_01748
XOO3251	RSRUN2340_01229
XOO4103	RSRUN2340_00882
XOO4103	RSRUN2340_00586
XOO4103	RSRUN2340_00076
XOO4104	RSRUN2340_00587
XOO4104	RSRUN2340_00881
XOO4104	RSRUN2340_00075
XOO1062	RSRUN2340_01820
XOO1061	RSRUN2340_00610
XOO4573	RSRUN2340_02188
XOO4575	RSRUN2340_02755
XOO2390	RSRUN2340_03077
XOO1066	RSRUN2340_01965
XOO2396	RSRUN2340_02724
XOO1065	RSRUN2340_01966
XOO1064	RSRUN2340_01967
XOO4570	RSRUN2340_00962
XOO1063	RSRUN2340_01819
XOO3249	RSRUN2340_01311
XOO2398	RSRUN2340_02726
XOO4577	RSRUN2340_01014
XOO4577	RSRUN2340_00181
XOO4577	RSRUN2340_03957
XOO4577	RSRUN2340_04382
XOO3246	RSRUN2340_00554
XOO2382	RSRUN2340_04082
XOO2382	RSRUN2340_01717
XOO2382	RSRUN2340_00459
XOO2382	RSRUN2340_01647
XOO2382	RSRUN2340_03605
XOO2382	RSRUN2340_00737
XOO2382	RSRUN2340_00730
XOO2382	RSRUN2340_02438
XOO2382	RSRUN2340_03236
XOO2382	RSRUN2340_04106
XOO2382	RSRUN2340_00277
XOO2382	RSRUN2340_04862
XOO2382	RSRUN2340_01575
XOO2382	RSRUN2340_03254
XOO2382	RSRUN2340_00184
XOO2382	RSRUN2340_04175
XOO2382	RSRUN2340_04590
XOO3230	RSRUN2340_01155
XOO3232	RSRUN2340_01154
XOO3233	RSRUN2340_01153
XOO2385	RSRUN2340_01014
XOO2385	RSRUN2340_00181
XOO2385	RSRUN2340_03957
XOO2385	RSRUN2340_04382
XOO3238	RSRUN2340_01147
XOO1059	RSRUN2340_02184
XOO2389	RSRUN2340_03078
XOO2388	RSRUN2340_02314
XOO2387	RSRUN2340_02313
XOO3234	RSRUN2340_01152
XOO3235	RSRUN2340_01151
XOO4566	RSRUN2340_00180
XOO3236	RSRUN2340_01150
XOO2371	RSRUN2340_03981
XOO4550	RSRUN2340_01383
XOO3222	RSRUN2340_01163
XOO0190	RSRUN2340_05149
XOO0197	RSRUN2340_03775
XOO2374	RSRUN2340_01014
XOO2374	RSRUN2340_00181
XOO2374	RSRUN2340_03957
XOO2374	RSRUN2340_04382
XOO1042	RSRUN2340_01284
XOO2372	RSRUN2340_01001
XOO2372	RSRUN2340_03982
XOO0194	RSRUN2340_03773
XOO1041	RSRUN2340_01297
XOO3227	RSRUN2340_01158
XOO2379	RSRUN2340_01387
XOO4558	RSRUN2340_02564
XOO1047	RSRUN2340_04965
XOO1047	RSRUN2340_04963
XOO3228	RSRUN2340_01157
XOO2378	RSRUN2340_05080
XOO0199	RSRUN2340_04657
XOO0199	RSRUN2340_04658
XOO0199	RSRUN2340_04889
XOO0199	RSRUN2340_04662
XOO0199	RSRUN2340_05048
XOO0199	RSRUN2340_03591
XOO3229	RSRUN2340_01156
