BSU09290	RSR24_03123
BSU16540	RSR24_01811
BSU29060	RSR24_02854
BSU36830	RSR24_03395
BSU03900	RSR24_00032
BSU00510	RSR24_00406
BSU30290	RSR24_01990
BSU35740	RSR24_00294
BSU32470	RSR24_01756
BSU27430	RSR24_02342
BSU27430	RSR24_00475
BSU27430	RSR24_00541
BSU27430	RSR24_03890
BSU27430	RSR24_02207
BSU27430	RSR24_04052
BSU27430	RSR24_03481
BSU27430	RSR24_01955
BSU24040	RSR24_01553
BSU24040	RSR24_01647
BSU24160	RSR24_00216
BSU24280	RSR24_02306
BSU00750	RSR24_02911
BSU22420	RSR24_02444
BSU24960	RSR24_01349
BSU21690	RSR24_00831
BSU09440	RSR24_03597
BSU09440	RSR24_02102
BSU02490	RSR24_01113
BSU21900	RSR24_02672
BSU00500	RSR24_00175
BSU36820	RSR24_03394
BSU16670	RSR24_02514
BSU16550	RSR24_01810
BSU34880	RSR24_03007
BSU32460	RSR24_02211
BSU24170	RSR24_01503
BSU15900	RSR24_01082
BSU22430	RSR24_02630
BSU02480	RSR24_04096
BSU00180	RSR24_01775
BSU07490	RSR24_04712
BSU22670	RSR24_03990
BSU22670	RSR24_02913
BSU25020	RSR24_02579
BSU00730	RSR24_00926
BSU34790	RSR24_02391
BSU13170	RSR24_01775
BSU17890	RSR24_02750
BSU33900	RSR24_01155
BSU03320	RSR24_04504
BSU24060	RSR24_01557
BSU15910	RSR24_01540
BSU15910	RSR24_01083
BSU28540	RSR24_01611
BSU29990	RSR24_04941
BSU40420	RSR24_02022
BSU14830	RSR24_04429
BSU13180	RSR24_03985
BSU31150	RSR24_00758
BSU28310	RSR24_02178
BSU01370	RSR24_02586
BSU36470	RSR24_02010
BSU40850	RSR24_04279
BSU13110	RSR24_00450
BSU13110	RSR24_01307
BSU28290	RSR24_02176
BSU22620	RSR24_00914
BSU35940	RSR24_02757
BSU35940	RSR24_04889
BSU32430	RSR24_02213
BSU18000	RSR24_02105
BSU22060	RSR24_02213
BSU23270	RSR24_00781
BSU00790	RSR24_02628
BSU06530	RSR24_02269
BSU08830	RSR24_00390
BSU03820	RSR24_04712
BSU08710	RSR24_00723
BSU28280	RSR24_02173
BSU29130	RSR24_02539
BSU21770	RSR24_00506
BSU24120	RSR24_03598
BSU24120	RSR24_02101
BSU04470	RSR24_00338
BSU13120	RSR24_02824
BSU16510	RSR24_01814
BSU37790	RSR24_00537
BSU12950	RSR24_02893
BSU39050	RSR24_02687
BSU39050	RSR24_04857
BSU18250	RSR24_00498
BSU35010	RSR24_02009
BSU23280	RSR24_00782
BSU22070	RSR24_00429
BSU36900	RSR24_00795
BSU06520	RSR24_00564
BSU33510	RSR24_03423
BSU08820	RSR24_02687
BSU08820	RSR24_04857
BSU22750	RSR24_00514
BSU23960	RSR24_02342
BSU23960	RSR24_00475
BSU23960	RSR24_00541
BSU23960	RSR24_03890
BSU23960	RSR24_02207
BSU23960	RSR24_04052
BSU23960	RSR24_03481
BSU23960	RSR24_01955
BSU29020	RSR24_02749
BSU29140	RSR24_03597
BSU29140	RSR24_02102
BSU24130	RSR24_02104
BSU13130	RSR24_02741
BSU36370	RSR24_01805
BSU34190	RSR24_00980
BSU12840	RSR24_01904
BSU32450	RSR24_02216
BSU34870	RSR24_03006
BSU18260	RSR24_03960
BSU18260	RSR24_00243
BSU15790	RSR24_02908
BSU37100	RSR24_03014
BSU39760	RSR24_04359
BSU24140	RSR24_03597
BSU24140	RSR24_02102
BSU16090	RSR24_00619
BSU00770	RSR24_01344
BSU07840	RSR24_03439
BSU36810	RSR24_03393
BSU22640	RSR24_02083
BSU23850	RSR24_04814
BSU00090	RSR24_01791
BSU14900	RSR24_02944
BSU40070	RSR24_04467
BSU18830	RSR24_00357
BSU16530	RSR24_01812
BSU34860	RSR24_03005
BSU32440	RSR24_02213
BSU03910	RSR24_00031
BSU03910	RSR24_04874
BSU03910	RSR24_00771
BSU03910	RSR24_04309
BSU03910	RSR24_03898
BSU19360	RSR24_01985
BSU10790	RSR24_00176
BSU14590	RSR24_01553
BSU14590	RSR24_01647
BSU15680	RSR24_02238
BSU16770	RSR24_01169
BSU24150	RSR24_03960
BSU24150	RSR24_00243
BSU24270	RSR24_02305
BSU36800	RSR24_03392
BSU36800	RSR24_04080
BSU06500	RSR24_02623
BSU24950	RSR24_01349
BSU22410	RSR24_02731
BSU08000	RSR24_02773
BSU22890	RSR24_00917
BSU21680	RSR24_01601
BSU03590	RSR24_02342
BSU03590	RSR24_00475
BSU03590	RSR24_00541
BSU03590	RSR24_03890
BSU03590	RSR24_02207
BSU03590	RSR24_04052
BSU03590	RSR24_03481
BSU03590	RSR24_01955
