BSU09290	RSCFB2957_02866
BSU32830	RSCFB2957_00435
BSU03300	RSCFB2957_04493
BSU28560	RSCFB2957_00499
BSU28560	RSCFB2957_02654
BSU06490	RSCFB2957_01886
BSU06370	RSCFB2957_04957
BSU08790	RSCFB2957_00111
BSU18410	RSCFB2957_03478
BSU37150	RSCFB2957_01093
BSU11340	RSCFB2957_00979
BSU11220	RSCFB2957_02288
BSU37270	RSCFB2957_04771
BSU15700	RSCFB2957_02314
BSU21820	RSCFB2957_00888
BSU14610	RSCFB2957_01250
BSU15020	RSCFB2957_00345
BSU36860	RSCFB2957_03096
BSU29300	RSCFB2957_02310
BSU24090	RSCFB2957_04228
BSU06360	RSCFB2957_01400
BSU11230	RSCFB2957_01805
BSU32170	RSCFB2957_00133
BSU38150	RSCFB2957_02716
BSU16920	RSCFB2957_00997
BSU00930	RSCFB2957_01129
BSU30550	RSCFB2957_00130
BSU14180	RSCFB2957_01361
BSU31760	RSCFB2957_01537
BSU39360	RSCFB2957_02462
BSU10020	RSCFB2957_00833
BSU36650	RSCFB2957_01941
BSU36890	RSCFB2957_02087
BSU02430	RSCFB2957_04427
BSU33940	RSCFB2957_02559
BSU32730	RSCFB2957_00852
BSU32730	RSCFB2957_03157
BSU33700	RSCFB2957_02381
BSU34910	RSCFB2957_02759
BSU33820	RSCFB2957_02381
BSU22480	RSCFB2957_02084
BSU27010	RSCFB2957_02012
BSU27010	RSCFB2957_00619
BSU27010	RSCFB2957_04677
BSU11240	RSCFB2957_01803
BSU38020	RSCFB2957_00104
BSU15600	RSCFB2957_03362
BSU15600	RSCFB2957_02989
BSU37170	RSCFB2957_03927
BSU37170	RSCFB2957_00228
BSU15720	RSCFB2957_00075
BSU19520	RSCFB2957_04463
BSU36760	RSCFB2957_02761
BSU39350	RSCFB2957_02461
BSU35550	RSCFB2957_00396
BSU33370	RSCFB2957_01315
BSU36640	RSCFB2957_01940
BSU17460	RSCFB2957_04142
BSU17460	RSCFB2957_01237
BSU35670	RSCFB2957_03231
BSU35670	RSCFB2957_02138
BSU10270	RSCFB2957_00499
BSU10270	RSCFB2957_02654
BSU34900	RSCFB2957_02757
BSU30420	RSCFB2957_01626
BSU30540	RSCFB2957_00172
BSU33930	RSCFB2957_00537
BSU27260	RSCFB2957_00847
BSU28470	RSCFB2957_01138
BSU24310	RSCFB2957_01703
BSU29440	RSCFB2957_02212
BSU40340	RSCFB2957_00152
BSU29200	RSCFB2957_01136
BSU16540	RSCFB2957_01378
BSU29060	RSCFB2957_02625
BSU36830	RSCFB2957_03093
BSU03900	RSCFB2957_00034
BSU00510	RSCFB2957_00350
BSU30290	RSCFB2957_01244
BSU35740	RSCFB2957_00262
BSU32470	RSCFB2957_01434
BSU27430	RSCFB2957_03185
BSU27430	RSCFB2957_04194
BSU27430	RSCFB2957_00444
BSU27430	RSCFB2957_02156
BSU24040	RSCFB2957_01502
BSU24160	RSCFB2957_00196
BSU24280	RSCFB2957_02123
BSU00750	RSCFB2957_02682
BSU22420	RSCFB2957_02245
BSU24960	RSCFB2957_01791
BSU21690	RSCFB2957_00762
BSU09440	RSCFB2957_01912
BSU09440	RSCFB2957_03312
BSU02490	RSCFB2957_01008
BSU21900	RSCFB2957_02488
BSU00500	RSCFB2957_00171
BSU36820	RSCFB2957_03092
BSU16670	RSCFB2957_02310
BSU16550	RSCFB2957_01379
BSU34880	RSCFB2957_02754
BSU32460	RSCFB2957_02019
BSU24170	RSCFB2957_01665
BSU15900	RSCFB2957_00976
BSU22430	RSCFB2957_02446
BSU02480	RSCFB2957_04081
BSU00180	RSCFB2957_01417
BSU22670	RSCFB2957_02684
BSU22670	RSCFB2957_03950
BSU25020	RSCFB2957_02393
BSU00730	RSCFB2957_00847
BSU34790	RSCFB2957_02189
BSU13170	RSCFB2957_01417
BSU17890	RSCFB2957_02560
BSU33900	RSCFB2957_01096
BSU03320	RSCFB2957_04493
BSU15910	RSCFB2957_00977
BSU28540	RSCFB2957_01538
BSU29990	RSCFB2957_04957
BSU40420	RSCFB2957_01201
BSU14830	RSCFB2957_04427
BSU13180	RSCFB2957_03945
BSU31150	RSCFB2957_00700
BSU28310	RSCFB2957_01985
BSU30980	RSCFB2957_03435
BSU01370	RSCFB2957_02401
BSU36470	RSCFB2957_01209
BSU40850	RSCFB2957_04258
BSU13110	RSCFB2957_01838
BSU28290	RSCFB2957_01983
BSU22620	RSCFB2957_00835
BSU35940	RSCFB2957_04905
BSU35940	RSCFB2957_01221
BSU18000	RSCFB2957_01915
BSU23270	RSCFB2957_00715
BSU00790	RSCFB2957_02444
BSU06530	RSCFB2957_02090
BSU08830	RSCFB2957_00335
BSU08710	RSCFB2957_00665
BSU28280	RSCFB2957_01980
BSU29130	RSCFB2957_02352
BSU21770	RSCFB2957_00410
BSU24120	RSCFB2957_01911
BSU24120	RSCFB2957_03313
BSU04470	RSCFB2957_00286
BSU13120	RSCFB2957_02615
BSU16510	RSCFB2957_01375
BSU37790	RSCFB2957_00440
BSU39730	RSCFB2957_01224
BSU12950	RSCFB2957_01849
BSU12950	RSCFB2957_02664
BSU39050	RSCFB2957_04861
BSU18250	RSCFB2957_00402
BSU23280	RSCFB2957_00716
BSU22070	RSCFB2957_00373
BSU36900	RSCFB2957_00729
BSU06520	RSCFB2957_00466
BSU33510	RSCFB2957_03124
BSU08820	RSCFB2957_04861
BSU22750	RSCFB2957_00418
BSU23960	RSCFB2957_03185
BSU23960	RSCFB2957_04194
BSU23960	RSCFB2957_00444
BSU23960	RSCFB2957_02156
BSU29020	RSCFB2957_02559
BSU29140	RSCFB2957_01912
BSU29140	RSCFB2957_03312
BSU24130	RSCFB2957_01914
BSU38550	RSCFB2957_04743
BSU13130	RSCFB2957_02551
BSU36370	RSCFB2957_01384
BSU34190	RSCFB2957_00908
BSU12840	RSCFB2957_01291
BSU32450	RSCFB2957_02023
BSU34870	RSCFB2957_02753
BSU18260	RSCFB2957_03927
BSU18260	RSCFB2957_00228
BSU15790	RSCFB2957_02679
BSU37100	RSCFB2957_02761
BSU39760	RSCFB2957_04339
BSU24140	RSCFB2957_01912
BSU24140	RSCFB2957_03312
BSU16090	RSCFB2957_00520
BSU00770	RSCFB2957_01796
BSU07840	RSCFB2957_03137
BSU36810	RSCFB2957_03091
BSU22640	RSCFB2957_01893
BSU23850	RSCFB2957_04840
BSU00090	RSCFB2957_01398
BSU23970	RSCFB2957_03668
BSU14900	RSCFB2957_02717
BSU40070	RSCFB2957_04463
BSU02390	RSCFB2957_04743
BSU39750	RSCFB2957_01226
BSU18830	RSCFB2957_00304
BSU16530	RSCFB2957_01377
BSU34860	RSCFB2957_02752
BSU35950	RSCFB2957_01222
BSU03910	RSCFB2957_04882
BSU03910	RSCFB2957_00708
BSU03910	RSCFB2957_04292
BSU03910	RSCFB2957_00033
BSU19360	RSCFB2957_01249
BSU10790	RSCFB2957_00172
BSU14590	RSCFB2957_01502
BSU15680	RSCFB2957_02038
BSU16770	RSCFB2957_01112
BSU24150	RSCFB2957_03927
BSU24150	RSCFB2957_00228
BSU24270	RSCFB2957_02122
BSU36800	RSCFB2957_04060
BSU36800	RSCFB2957_03090
BSU06500	RSCFB2957_02439
BSU24950	RSCFB2957_01791
BSU22410	RSCFB2957_02541
BSU08000	RSCFB2957_02572
BSU22890	RSCFB2957_00838
BSU21680	RSCFB2957_01549
BSU03590	RSCFB2957_03185
BSU03590	RSCFB2957_04194
BSU03590	RSCFB2957_00444
BSU03590	RSCFB2957_02156
