BSU09290	RSc3052
BSU15490	RSc0678
BSU36510	RSc0343
BSU10120	RSc3303
BSU35660	RSp0510
BSU35660	RSp1017
BSU31060	RSc1456
BSU33800	RSc2516
BSU30410	RSp1465
BSU33920	RSc2064
BSU32830	RSc0475
BSU03300	RSp1220
BSU28560	RSc2857
BSU06490	RSc1976
BSU06370	RSp1678
BSU08790	RSc0113
BSU18410	RSp0274
BSU37150	RSc1126
BSU11340	RSc1054
BSU11220	RSc2435
BSU37270	RSp0975
BSU15700	RSc2461
BSU21820	RSc0947
BSU14610	RSc1271
BSU15020	RSc0390
BSU36860	RSc3322
BSU29300	RSc2457
BSU00380	RSp0782
BSU06360	RSc1431
BSU11230	RSc1519
BSU32170	RSc0137
BSU38150	RSc2915
BSU38150	RSc1860
BSU16920	RSc1072
BSU00930	RSc1162
BSU00930	RSp1439
BSU30550	RSc0134
BSU14180	RSc1393
BSU31760	RSc1760
BSU39360	RSc2647
BSU10020	RSc0903
BSU36650	RSc2033
BSU36890	RSc2188
BSU02430	RSp1143
BSU33940	RSc2749
BSU32730	RSc0922
BSU32730	RSc3386
BSU33700	RSc2516
BSU34910	RSc2952
BSU33820	RSc2516
BSU22480	RSc2185
BSU27010	RSp1124
BSU27010	RSc0632
BSU11240	RSc1521
BSU38020	RSc0100
BSU15600	RSp0166
BSU15600	RSc3166
BSU37170	RSp0652
BSU37170	RSc0274
BSU15720	RSc0070
BSU19520	RSp1189
BSU36760	RSc2953
BSU39350	RSc2646
BSU35550	RSc0436
BSU33370	RSc1336
BSU36640	RSc2032
BSU17460	RSp0886
BSU17460	RSc1258
BSU35670	RSp0006
BSU35670	RSc2237
BSU10270	RSc2857
BSU34900	RSc2950
BSU30420	RSc1718
BSU30540	RSc0178
BSU33930	RSc0571
BSU27260	RSc0917
BSU28470	RSc1171
BSU24310	RSc1596
BSU29440	RSc2363
BSU40340	RSc0159
BSU29200	RSc1169
BSU22370	RSc1096
BSU16540	RSc1409
BSU29060	RSc2828
BSU36830	RSc3319
BSU03900	RSc0029
BSU00510	RSc0395
BSU30290	RSc1265
BSU35740	RSc0309
BSU32470	RSc1469
BSU27430	RSp0932
BSU27430	RSc2260
BSU27430	RSc3408
BSU27430	RSc0484
BSU27430	RSc2106
BSU24040	RSc1798
BSU24160	RSc0244
BSU24280	RSc2222
BSU00750	RSc2882
BSU22420	RSc2387
BSU29050	RSc1500
BSU24960	RSc1532
BSU21690	RSc0764
BSU09440	RSp0121
BSU02490	RSc1079
BSU21900	RSc2674
BSU00500	RSc0177
BSU36820	RSc3318
BSU16670	RSc2457
BSU16550	RSc1410
BSU34880	RSc2947
BSU32460	RSc2116
BSU24170	RSc1632
BSU15900	RSc1051
BSU22430	RSc2630
BSU02480	RSp0828
BSU00180	RSc1451
BSU22670	RSp0681
BSU22670	RSc2884
BSU25020	RSc2526
BSU00730	RSc0917
BSU34790	RSc2342
BSU13170	RSc1451
BSU17890	RSc2750
BSU33900	RSc1129
BSU03320	RSp1220
BSU15910	RSc1052
BSU28540	RSc1759
BSU29990	RSp1678
BSU40420	RSc1226
BSU14830	RSp1143
BSU13180	RSp0676
BSU31150	RSc0701
BSU28310	RSc2077
BSU30980	RSp0239
BSU01370	RSc2533
BSU36470	RSc1233
BSU40850	RSp1012
BSU13110	RSc1106
BSU13110	RSp0065
BSU13110	RSc1873
BSU28290	RSc2075
BSU22620	RSc0905
BSU35940	RSc2757
BSU35940	RSp1634
BSU35940	RSc1242
BSU32430	RSc2118
BSU18000	RSc2003
BSU22060	RSc2118
BSU23270	RSc0714
BSU00790	RSc2628
BSU06530	RSc2191
BSU08830	RSc0379
BSU33400	RSc1500
BSU08710	RSc0666
BSU28280	RSc2072
BSU29130	RSc2490
BSU21770	RSc0449
BSU24120	RSp0122
BSU24120	RSc2000
BSU04470	RSc0330
BSU13120	RSc2819
BSU16510	RSc1406
BSU37790	RSc0480
BSU39730	RSc1239
BSU12950	RSc2867
BSU12950	RSc1884
BSU39050	RSp1581
BSU18250	RSc0442
BSU23280	RSc0715
BSU22070	RSc0417
BSU36900	RSc0729
BSU06520	RSc0504
BSU33510	RSc3349
BSU08820	RSp1581
BSU22750	RSc0458
BSU23960	RSp0932
BSU23960	RSc2260
BSU23960	RSc3408
BSU23960	RSc0484
BSU23960	RSc2106
BSU29020	RSc2749
BSU29140	RSp0121
BSU24130	RSc2002
BSU38550	RSp1327
BSU38550	RSp1358
BSU13130	RSc2741
BSU36370	RSc1415
BSU34190	RSc0981
BSU12840	RSc1313
BSU32450	RSc2121
BSU34870	RSc2946
BSU18260	RSp0652
BSU18260	RSc0274
BSU15790	RSc2879
BSU37100	RSc2953
BSU39760	RSc2536
BSU39760	RSp1055
BSU24140	RSp0121
BSU03000	RSp0064
BSU16090	RSc0554
BSU00770	RSc1527
BSU07840	RSc3363
BSU36810	RSc3317
BSU22640	RSc1983
BSU23850	RSp1559
BSU00090	RSc1429
BSU23970	RSp0480
BSU14900	RSc2916
BSU14900	RSc1859
BSU40070	RSp1189
BSU02390	RSp1327
BSU02390	RSp1358
BSU39750	RSc1237
BSU18830	RSc0348
BSU16530	RSc1408
BSU34860	RSc2945
BSU35950	RSc1243
BSU32440	RSc2118
BSU03910	RSc0028
BSU03910	RSp1611
BSU19360	RSc1270
BSU10790	RSc0178
BSU14590	RSc1798
BSU15680	RSc2155
BSU16770	RSc1145
BSU24150	RSp0652
BSU24150	RSc0274
BSU24270	RSc2221
BSU36800	RSp0810
BSU36800	RSc3316
BSU06500	RSc2623
BSU24950	RSc1532
BSU22410	RSc2731
BSU08000	RSc2774
BSU22890	RSc0908
BSU21680	RSc1747
BSU03590	RSp0932
BSU03590	RSc2260
BSU03590	RSc3408
BSU03590	RSc0484
BSU03590	RSc2106
