BSU09290	RSRUN2340_03150
BSU22420	RSRUN2340_02510
BSU29050	RSRUN2340_01103
BSU24960	RSRUN2340_01315
BSU21690	RSRUN2340_00803
BSU09440	RSRUN2340_03636
BSU02490	RSRUN2340_02139
BSU21900	RSRUN2340_02755
BSU00500	RSRUN2340_00209
BSU36820	RSRUN2340_03427
BSU16670	RSRUN2340_02575
BSU16550	RSRUN2340_01737
BSU34880	RSRUN2340_03043
BSU32460	RSRUN2340_01096
BSU24170	RSRUN2340_01425
BSU15900	RSRUN2340_02172
BSU22430	RSRUN2340_02711
BSU02480	RSRUN2340_04274
BSU00180	RSRUN2340_01692
BSU22670	RSRUN2340_04217
BSU22670	RSRUN2340_02982
BSU25020	RSRUN2340_02645
BSU00730	RSRUN2340_02300
BSU34790	RSRUN2340_02458
BSU13170	RSRUN2340_01692
BSU17890	RSRUN2340_02851
BSU33900	RSRUN2340_02037
BSU03320	RSRUN2340_04781
BSU15910	RSRUN2340_02171
BSU28540	RSRUN2340_01554
BSU29990	RSRUN2340_05189
BSU40420	RSRUN2340_01933
BSU14830	RSRUN2340_04718
BSU13180	RSRUN2340_04212
BSU31150	RSRUN2340_00726
BSU28310	RSRUN2340_01135
BSU30980	RSRUN2340_03773
BSU01370	RSRUN2340_02652
BSU36470	RSRUN2340_01925
BSU40850	RSRUN2340_04532
BSU13110	RSRUN2340_02112
BSU13110	RSRUN2340_01283
BSU28290	RSRUN2340_01137
BSU22620	RSRUN2340_02312
BSU35940	RSRUN2340_02665
BSU35940	RSRUN2340_05145
BSU35940	RSRUN2340_01914
BSU32430	RSRUN2340_01094
BSU18000	RSRUN2340_01206
BSU22060	RSRUN2340_01094
BSU23270	RSRUN2340_00752
BSU00790	RSRUN2340_02709
BSU06530	RSRUN2340_01038
BSU08830	RSRUN2340_00413
BSU33400	RSRUN2340_01103
BSU08710	RSRUN2340_00691
BSU28280	RSRUN2340_01140
BSU29130	RSRUN2340_02607
BSU21770	RSRUN2340_00491
BSU24120	RSRUN2340_03638
BSU24120	RSRUN2340_01209
BSU04470	RSRUN2340_00362
BSU13120	RSRUN2340_02913
BSU16510	RSRUN2340_01741
BSU37790	RSRUN2340_00520
BSU39730	RSRUN2340_02656
BSU39730	RSRUN2340_01917
BSU12950	RSRUN2340_02963
BSU12950	RSRUN2340_01272
BSU39050	RSRUN2340_05106
BSU18250	RSRUN2340_00484
BSU23280	RSRUN2340_00753
BSU22070	RSRUN2340_00452
BSU36900	RSRUN2340_00767
BSU06520	RSRUN2340_00547
BSU33510	RSRUN2340_03457
BSU08820	RSRUN2340_05106
BSU22750	RSRUN2340_00498
BSU23960	RSRUN2340_00524
BSU23960	RSRUN2340_01106
BSU23960	RSRUN2340_03525
BSU23960	RSRUN2340_00937
BSU23960	RSRUN2340_04451
BSU29020	RSRUN2340_02850
BSU29140	RSRUN2340_03636
BSU24130	RSRUN2340_01207
BSU13130	RSRUN2340_02842
BSU36370	RSRUN2340_01732
BSU34190	RSRUN2340_02247
BSU12840	RSRUN2340_01842
BSU32450	RSRUN2340_01092
BSU34870	RSRUN2340_03042
BSU18260	RSRUN2340_04157
BSU18260	RSRUN2340_00306
BSU15790	RSRUN2340_02977
BSU37100	RSRUN2340_03050
BSU39760	RSRUN2340_02668
BSU39760	RSRUN2340_04578
BSU24140	RSRUN2340_03636
BSU16090	RSRUN2340_00604
BSU00770	RSRUN2340_01310
BSU07840	RSRUN2340_03470
BSU07840	RSRUN2340_03471
BSU36810	RSRUN2340_03426
BSU22640	RSRUN2340_01227
BSU23850	RSRUN2340_05086
BSU00090	RSRUN2340_01716
BSU23970	RSRUN2340_03985
BSU14900	RSRUN2340_01653
BSU14900	RSRUN2340_03013
BSU40070	RSRUN2340_04754
BSU39750	RSRUN2340_02655
BSU39750	RSRUN2340_01919
BSU18830	RSRUN2340_00381
BSU16530	RSRUN2340_01739
BSU34860	RSRUN2340_03041
BSU35950	RSRUN2340_02664
BSU35950	RSRUN2340_01913
BSU32440	RSRUN2340_01094
BSU03910	RSRUN2340_05126
BSU03910	RSRUN2340_00052
BSU19360	RSRUN2340_01886
BSU10790	RSRUN2340_00210
BSU14590	RSRUN2340_01601
BSU15680	RSRUN2340_01077
BSU16770	RSRUN2340_02021
BSU24150	RSRUN2340_04157
BSU24150	RSRUN2340_00306
BSU24270	RSRUN2340_00976
BSU36800	RSRUN2340_03425
BSU36800	RSRUN2340_04254
BSU06500	RSRUN2340_02704
BSU24950	RSRUN2340_01315
BSU22410	RSRUN2340_02831
BSU08000	RSRUN2340_02869
BSU22890	RSRUN2340_02309
BSU21680	RSRUN2340_01538
BSU03590	RSRUN2340_00524
BSU03590	RSRUN2340_01106
BSU03590	RSRUN2340_03525
BSU03590	RSRUN2340_00937
BSU03590	RSRUN2340_04451
