BSU09290	b3926
BSU11240	b0033
BSU38020	b2103
BSU15600	b2750
BSU19520	b4265
BSU19520	b3415
BSU36760	b3189
BSU33370	b3917
BSU33370	b2425
BSU17460	b3870
BSU35670	b1236
BSU10270	b1805
BSU34900	b2022
BSU30300	b4119
BSU03990	b3600
BSU30540	b3729
BSU02420	b0007
BSU33930	b2926
BSU27260	b2414
BSU27260	b2421
BSU24310	b0529
BSU29440	b3960
BSU22130	b2843
BSU29200	b0185
BSU37120	b2096
BSU37120	b3137
BSU38570	b1736
BSU29060	b0103
BSU29180	b1676
BSU36830	b3734
BSU03900	b1302
BSU03900	b2662
BSU00510	b1207
BSU33440	b2764
BSU30290	b3452
BSU32470	b2868
BSU34890	b2023
BSU07700	b0679
BSU07700	b1101
BSU27430	b2306
BSU27430	b0809
BSU27430	b1917
BSU27430	b0652
BSU24160	b1395
BSU03220	b1015
BSU24280	b0421
BSU30970	b3430
BSU00750	b3360
BSU22420	b0133
BSU29050	b3012
BSU24960	b3725
BSU21690	b4219
BSU09440	b0333
BSU02490	b2787
BSU02490	b2788
BSU21900	b1710
BSU39410	b2393
BSU38560	b1734
BSU29190	b3916
BSU00500	b3730
BSU33430	b2763
BSU36820	b3733
BSU16670	b0025
BSU16550	b0173
BSU38200	b0757
BSU07810	b4239
BSU24170	b2224
BSU23080	b1693
BSU15900	b1092
BSU22430	b0134
BSU23760	b3974
BSU02480	b3691
BSU02480	b2789
BSU07490	b4287
BSU07490	b0151
BSU07490	b0588
BSU22670	b1263
BSU02360	b0678
BSU25020	b1656
BSU25020	b3908
BSU21910	b4013
BSU38590	b1738
BSU00730	b2414
BSU00730	b2421
BSU10220	b4077
BSU30070	b0314
BSU12080	b0428
BSU34790	b0888
BSU17890	b2935
BSU17890	b2465
BSU34550	b1317
BSU33900	b2779
BSU07800	b4240
BSU02350	b0679
BSU02350	b1101
BSU02230	b1849
BSU15910	b1093
BSU28780	b3583
BSU28780	b4198
BSU28780	b0061
BSU23770	b2366
BSU27330	b2066
BSU29990	b3714
BSU29990	b3664
BSU40420	b4177
BSU14830	b1524
BSU32000	b0596
BSU13180	b3829
BSU39670	b2096
BSU39670	b3137
BSU31150	b3057
BSU15480	b2497
BSU28310	b3671
BSU28310	b0077
BSU02340	b4077
BSU30980	b3432
BSU01370	b0474
BSU40850	b0459
BSU13110	b1232
BSU35940	b4087
BSU35940	b4485
BSU35940	b1900
BSU35940	b3749
BSU35940	b3567
BSU35940	b2149
BSU32430	b2888
BSU17390	b2676
BSU18000	b1276
BSU35020	b0678
BSU12380	b1521
BSU18120	b0007
BSU22060	b2888
BSU00790	b0142
BSU06530	b4005
BSU08830	b0366
BSU03820	b4287
BSU03820	b0151
BSU03820	b0588
BSU33400	b3012
BSU07500	b4288
BSU08710	b0154
BSU12940	b1245
BSU28280	b0074
BSU29130	b1136
BSU21770	b3772
BSU13910	b2416
BSU24120	b0331
BSU04470	b3528
BSU13120	b0242
BSU16510	b0171
BSU12950	b2180
BSU12950	b1246
BSU12950	b1484
BSU12950	b3541
BSU17600	b3565
BSU39050	b1732
BSU16990	b3616
BSU12390	b3091
BSU38760	b0733
BSU38760	b0978
BSU23280	b0414
BSU22070	b0469
BSU30800	b2262
BSU36900	b2551
BSU34600	b4033
BSU06520	b4006
BSU35930	b3748
BSU08820	b1732
BSU22750	b3833
BSU23960	b2306
BSU23960	b0809
BSU23960	b1917
BSU23960	b0652
BSU29020	b1779
BSU29140	b0333
BSU03130	b1740
BSU40040	b0514
BSU40040	b3124
BSU24130	b0334
BSU13130	b0243
BSU15550	b1281
BSU39400	b4382
BSU36370	b0180
BSU11870	b3939
BSU34190	b3603
BSU34190	b2975
BSU34870	b2025
BSU35960	b3751
BSU15790	b3386
BSU11190	b3958
BSU37100	b3189
BSU24140	b0333
BSU16090	b0728
BSU00770	b3177
BSU07840	b4213
BSU36810	b3732
BSU22640	b1261
BSU23850	b1852
BSU00090	b2508
BSU14900	b0431
BSU40070	b4265
BSU40070	b3415
BSU16530	b0174
BSU11880	b3939
BSU23500	b4383
BSU34860	b2026
BSU35950	b4086
BSU35950	b3750
BSU32440	b2888
BSU03910	b2661
BSU19360	b0727
BSU10790	b3729
BSU15680	b3648
BSU16770	b2478
BSU38300	b2104
BSU30940	b3428
BSU29600	b0401
BSU24270	b0420
BSU22090	b3909
BSU36920	b4090
BSU36800	b3731
BSU06500	b2499
BSU24950	b3725
BSU22410	b0131
BSU08000	b3816
BSU23860	b2029
BSU04560	b0381
BSU22890	b0910
BSU21680	b1778
BSU26690	b0401
BSU02140	b2240
BSU03590	b2306
BSU03590	b0809
BSU03590	b1917
BSU03590	b0652
