BSU09290	RSGMI1000_03116
BSU38500	RSGMI1000_01556
BSU30220	RSGMI1000_04422
BSU38860	RSGMI1000_04560
BSU38980	RSGMI1000_01614
BSU38980	RSGMI1000_02300
BSU18230	RSGMI1000_00266
BSU27860	RSGMI1000_02500
BSU23260	RSGMI1000_00736
BSU01770	RSGMI1000_01566
BSU02980	RSGMI1000_03557
BSU04000	RSGMI1000_05061
BSU04000	RSGMI1000_00496
BSU06420	RSGMI1000_00593
BSU28270	RSGMI1000_02036
BSU11720	RSGMI1000_01196
BSU13900	RSGMI1000_00352
BSU28150	RSGMI1000_02407
BSU29360	RSGMI1000_03953
BSU03150	RSGMI1000_00450
BSU04360	RSGMI1000_03993
BSU24350	RSGMI1000_02838
BSU40330	RSGMI1000_01808
BSU40330	RSGMI1000_01807
BSU21810	RSGMI1000_00966
BSU16100	RSGMI1000_00573
BSU11330	RSGMI1000_01067
BSU37280	RSGMI1000_04435
BSU15490	RSGMI1000_00700
BSU36510	RSGMI1000_00348
BSU10120	RSGMI1000_03363
BSU35660	RSGMI1000_04476
BSU35660	RSGMI1000_03982
BSU31060	RSGMI1000_01494
BSU33800	RSGMI1000_02567
BSU30410	RSGMI1000_04920
BSU33920	RSGMI1000_02110
BSU32830	RSGMI1000_00484
BSU03300	RSGMI1000_04680
BSU28560	RSGMI1000_00550
BSU28560	RSGMI1000_02908
BSU06490	RSGMI1000_02023
BSU06370	RSGMI1000_05125
BSU08790	RSGMI1000_00114
BSU18410	RSGMI1000_03751
BSU37150	RSGMI1000_01149
BSU11340	RSGMI1000_01071
BSU11220	RSGMI1000_02487
BSU37270	RSGMI1000_04436
BSU15700	RSGMI1000_02513
BSU21820	RSGMI1000_00967
BSU14610	RSGMI1000_01302
BSU15020	RSGMI1000_00396
BSU36860	RSGMI1000_03382
BSU29300	RSGMI1000_02509
BSU00380	RSGMI1000_04242
BSU06360	RSGMI1000_01465
BSU11230	RSGMI1000_01557
BSU32170	RSGMI1000_00138
BSU38150	RSGMI1000_02969
BSU38150	RSGMI1000_01910
BSU16920	RSGMI1000_01089
BSU00930	RSGMI1000_01185
BSU00930	RSGMI1000_04896
BSU30550	RSGMI1000_00135
BSU14180	RSGMI1000_01425
BSU31760	RSGMI1000_01810
BSU39360	RSGMI1000_02696
BSU10020	RSGMI1000_00923
BSU36650	RSGMI1000_02078
BSU36890	RSGMI1000_02234
BSU02430	RSGMI1000_04602
BSU33940	RSGMI1000_02801
BSU32730	RSGMI1000_00942
BSU32730	RSGMI1000_03447
BSU33700	RSGMI1000_02567
BSU34910	RSGMI1000_03008
BSU33820	RSGMI1000_02567
BSU22480	RSGMI1000_02231
BSU27010	RSGMI1000_04583
BSU27010	RSGMI1000_00654
BSU11240	RSGMI1000_01559
BSU38020	RSGMI1000_00102
BSU15600	RSGMI1000_03231
BSU15600	RSGMI1000_03641
BSU37170	RSGMI1000_04116
BSU37170	RSGMI1000_00279
BSU15720	RSGMI1000_00072
BSU19520	RSGMI1000_04649
BSU36760	RSGMI1000_03010
BSU39350	RSGMI1000_02695
BSU35550	RSGMI1000_00445
BSU33370	RSGMI1000_01368
BSU36640	RSGMI1000_02077
BSU17460	RSGMI1000_04346
BSU17460	RSGMI1000_01289
BSU35670	RSGMI1000_02284
BSU35670	RSGMI1000_03499
BSU10270	RSGMI1000_00550
BSU10270	RSGMI1000_02908
BSU34900	RSGMI1000_03006
BSU30420	RSGMI1000_01771
BSU30540	RSGMI1000_00181
BSU33930	RSGMI1000_00589
BSU27260	RSGMI1000_00937
BSU28470	RSGMI1000_01194
BSU24310	RSGMI1000_01641
BSU29440	RSGMI1000_02413
BSU40340	RSGMI1000_00162
BSU29200	RSGMI1000_01192
BSU22370	RSGMI1000_01116
BSU16540	RSGMI1000_01443
BSU29060	RSGMI1000_02879
BSU36830	RSGMI1000_03379
BSU03900	RSGMI1000_00031
BSU00510	RSGMI1000_00401
BSU30290	RSGMI1000_01296
BSU35740	RSGMI1000_00314
BSU32470	RSGMI1000_01507
BSU27430	RSGMI1000_03470
BSU27430	RSGMI1000_02151
BSU27430	RSGMI1000_02307
BSU27430	RSGMI1000_00493
BSU27430	RSGMI1000_04389
BSU24040	RSGMI1000_01848
BSU24160	RSGMI1000_00248
BSU24280	RSGMI1000_02269
BSU00750	RSGMI1000_02935
BSU22420	RSGMI1000_02437
BSU29050	RSGMI1000_01538
BSU24960	RSGMI1000_01570
BSU21690	RSGMI1000_00789
BSU09440	RSGMI1000_03599
BSU02490	RSGMI1000_01099
BSU21900	RSGMI1000_02723
BSU00500	RSGMI1000_00180
BSU36820	RSGMI1000_03378
BSU16670	RSGMI1000_02509
BSU16550	RSGMI1000_01444
BSU34880	RSGMI1000_03003
BSU32460	RSGMI1000_02161
BSU24170	RSGMI1000_01678
BSU15900	RSGMI1000_01068
BSU22430	RSGMI1000_02680
BSU02480	RSGMI1000_04288
BSU00180	RSGMI1000_01489
BSU22670	RSGMI1000_02937
BSU22670	RSGMI1000_04146
BSU25020	RSGMI1000_02577
BSU00730	RSGMI1000_00937
BSU34790	RSGMI1000_02391
BSU13170	RSGMI1000_01489
BSU17890	RSGMI1000_02802
BSU33900	RSGMI1000_01152
BSU03320	RSGMI1000_04680
BSU15910	RSGMI1000_01069
BSU28540	RSGMI1000_01809
BSU29990	RSGMI1000_05125
BSU40420	RSGMI1000_01256
BSU14830	RSGMI1000_04602
BSU13180	RSGMI1000_04141
BSU31150	RSGMI1000_00723
BSU28310	RSGMI1000_02122
BSU30980	RSGMI1000_03716
BSU01370	RSGMI1000_02584
BSU36470	RSGMI1000_01264
BSU40850	RSGMI1000_04471
BSU13110	RSGMI1000_01927
BSU13110	RSGMI1000_03556
BSU13110	RSGMI1000_01125
BSU28290	RSGMI1000_02120
BSU22620	RSGMI1000_00925
BSU35940	RSGMI1000_01273
BSU35940	RSGMI1000_05082
BSU35940	RSGMI1000_02809
BSU32430	RSGMI1000_02163
BSU18000	RSGMI1000_02051
BSU22060	RSGMI1000_02163
BSU23270	RSGMI1000_00737
BSU00790	RSGMI1000_02678
BSU06530	RSGMI1000_02237
BSU08830	RSGMI1000_00385
BSU33400	RSGMI1000_01538
BSU08710	RSGMI1000_00688
BSU28280	RSGMI1000_02117
BSU29130	RSGMI1000_02541
BSU21770	RSGMI1000_00458
BSU24120	RSGMI1000_02048
BSU24120	RSGMI1000_03600
BSU04470	RSGMI1000_00335
BSU13120	RSGMI1000_02869
BSU16510	RSGMI1000_01440
BSU37790	RSGMI1000_00489
BSU39730	RSGMI1000_01270
BSU12950	RSGMI1000_02917
BSU12950	RSGMI1000_01938
BSU39050	RSGMI1000_05034
BSU18250	RSGMI1000_00451
BSU23280	RSGMI1000_00738
BSU22070	RSGMI1000_00424
BSU36900	RSGMI1000_00752
BSU06520	RSGMI1000_00515
BSU33510	RSGMI1000_03409
BSU08820	RSGMI1000_05034
BSU22750	RSGMI1000_00467
BSU23960	RSGMI1000_03470
BSU23960	RSGMI1000_02151
BSU23960	RSGMI1000_02307
BSU23960	RSGMI1000_00493
BSU23960	RSGMI1000_04389
BSU29020	RSGMI1000_02801
BSU29140	RSGMI1000_03599
BSU24130	RSGMI1000_02050
BSU38550	RSGMI1000_04816
BSU38550	RSGMI1000_04789
BSU13130	RSGMI1000_02793
BSU36370	RSGMI1000_01449
BSU34190	RSGMI1000_00999
BSU12840	RSGMI1000_01345
BSU32450	RSGMI1000_02166
BSU34870	RSGMI1000_03002
BSU18260	RSGMI1000_04116
BSU18260	RSGMI1000_00279
BSU15790	RSGMI1000_02932
BSU37100	RSGMI1000_03010
BSU39760	RSGMI1000_04516
BSU39760	RSGMI1000_02587
BSU24140	RSGMI1000_03599
BSU03000	RSGMI1000_03555
BSU16090	RSGMI1000_00572
BSU00770	RSGMI1000_01565
BSU07840	RSGMI1000_03424
BSU36810	RSGMI1000_03377
BSU22640	RSGMI1000_02030
BSU23850	RSGMI1000_05012
BSU00090	RSGMI1000_01463
BSU23970	RSGMI1000_03953
BSU14900	RSGMI1000_01909
BSU14900	RSGMI1000_02970
BSU40070	RSGMI1000_04649
BSU02390	RSGMI1000_04816
BSU02390	RSGMI1000_04789
BSU39750	RSGMI1000_01268
BSU18830	RSGMI1000_00353
BSU16530	RSGMI1000_01442
BSU34860	RSGMI1000_03001
BSU35950	RSGMI1000_01274
BSU32440	RSGMI1000_02163
BSU03910	RSGMI1000_00030
BSU03910	RSGMI1000_05060
BSU19360	RSGMI1000_01301
BSU10790	RSGMI1000_00181
BSU14590	RSGMI1000_01848
BSU15680	RSGMI1000_02200
BSU16770	RSGMI1000_01168
BSU24150	RSGMI1000_04116
BSU24150	RSGMI1000_00279
BSU24270	RSGMI1000_02268
BSU36800	RSGMI1000_04270
BSU36800	RSGMI1000_03376
BSU06500	RSGMI1000_02673
BSU24950	RSGMI1000_01570
BSU22410	RSGMI1000_02782
BSU08000	RSGMI1000_02826
BSU22890	RSGMI1000_00928
BSU21680	RSGMI1000_01798
BSU03590	RSGMI1000_03470
BSU03590	RSGMI1000_02151
BSU03590	RSGMI1000_02307
BSU03590	RSGMI1000_00493
BSU03590	RSGMI1000_04389
