BSU09290	RSPSI07_00405
BSU23260	RSPSI07_02536
BSU01770	RSPSI07_01498
BSU04000	RSPSI07_04191
BSU04000	RSPSI07_04802
BSU06420	RSPSI07_02682
BSU28270	RSPSI07_01378
BSU11720	RSPSI07_02118
BSU13900	RSPSI07_02947
BSU28150	RSPSI07_01056
BSU29360	RSPSI07_03635
BSU03150	RSPSI07_02828
BSU04360	RSPSI07_03668
BSU24350	RSPSI07_00684
BSU40330	RSPSI07_01714
BSU40330	RSPSI07_01715
BSU21810	RSPSI07_02350
BSU16100	RSPSI07_02703
BSU11330	RSPSI07_02258
BSU37280	RSPSI07_04624
BSU15490	RSPSI07_02582
BSU36510	RSPSI07_02951
BSU10120	RSPSI07_00130
BSU35660	RSPSI07_03657
BSU35660	RSPSI07_04170
BSU31060	RSPSI07_01822
BSU33800	RSPSI07_00895
BSU30410	RSPSI07_04564
BSU33920	RSPSI07_01301
BSU32830	RSPSI07_02794
BSU03300	RSPSI07_04393
BSU28560	RSPSI07_00614
BSU28560	RSPSI07_02727
BSU06490	RSPSI07_01390
BSU06370	RSPSI07_04871
BSU08790	RSPSI07_03143
BSU18410	RSPSI07_03485
BSU37150	RSPSI07_02163
BSU11340	RSPSI07_02254
BSU11220	RSPSI07_00979
BSU37270	RSPSI07_04623
BSU15700	RSPSI07_00953
BSU21820	RSPSI07_02349
BSU14610	RSPSI07_02002
BSU15020	RSPSI07_02904
BSU36860	RSPSI07_00112
BSU29300	RSPSI07_00957
BSU24090	RSPSI07_04495
BSU00380	RSPSI07_03900
BSU06360	RSPSI07_01842
BSU07570	RSPSI07_04499
BSU11230	RSPSI07_01488
BSU32170	RSPSI07_03119
BSU38150	RSPSI07_00550
BSU16920	RSPSI07_02236
BSU00930	RSPSI07_02129
BSU30550	RSPSI07_03122
BSU14180	RSPSI07_01881
BSU31760	RSPSI07_01717
BSU39360	RSPSI07_00818
BSU10020	RSPSI07_02393
BSU36650	RSPSI07_01333
BSU36890	RSPSI07_01177
BSU02430	RSPSI07_04327
BSU33940	RSPSI07_00720
BSU32730	RSPSI07_02374
BSU32730	RSPSI07_00051
BSU33700	RSPSI07_00895
BSU34910	RSPSI07_00512
BSU33820	RSPSI07_00895
BSU22480	RSPSI07_01180
BSU27010	RSPSI07_03613
BSU27010	RSPSI07_04107
BSU27010	RSPSI07_04572
BSU11240	RSPSI07_01490
BSU38020	RSPSI07_03150
BSU15600	RSPSI07_04480
BSU15600	RSPSI07_03358
BSU37170	RSPSI07_03738
BSU37170	RSPSI07_03023
BSU15720	RSPSI07_03179
BSU19520	RSPSI07_04366
BSU36760	RSPSI07_00510
BSU39350	RSPSI07_00819
BSU35550	RSPSI07_02834
BSU33370	RSPSI07_01938
BSU36640	RSPSI07_01334
BSU17460	RSPSI07_02015
BSU17460	RSPSI07_04023
BSU35670	RSPSI07_01126
BSU35670	RSPSI07_03260
BSU10270	RSPSI07_00614
BSU10270	RSPSI07_02727
BSU34900	RSPSI07_00514
BSU30420	RSPSI07_01680
BSU30540	RSPSI07_03082
BSU33930	RSPSI07_02686
BSU27260	RSPSI07_02379
BSU28470	RSPSI07_02120
BSU24310	RSPSI07_01605
BSU29440	RSPSI07_01051
BSU40340	RSPSI07_03094
BSU29200	RSPSI07_02122
BSU16540	RSPSI07_01864
BSU29060	RSPSI07_00643
BSU36830	RSPSI07_00115
BSU03900	RSPSI07_03220
BSU00510	RSPSI07_02899
BSU30290	RSPSI07_02008
BSU35740	RSPSI07_02986
BSU32470	RSPSI07_01809
BSU27430	RSPSI07_03844
BSU27430	RSPSI07_01103
BSU27430	RSPSI07_01257
BSU27430	RSPSI07_00029
BSU27430	RSPSI07_02785
BSU24040	RSPSI07_01752
BSU24160	RSPSI07_03049
BSU24280	RSPSI07_01141
BSU00750	RSPSI07_00586
BSU22420	RSPSI07_01022
BSU29050	RSPSI07_04608
BSU24960	RSPSI07_01502
BSU21690	RSPSI07_02487
BSU09440	RSPSI07_01365
BSU09440	RSPSI07_03334
BSU02490	RSPSI07_02226
BSU21900	RSPSI07_00790
BSU00500	RSPSI07_03083
BSU36820	RSPSI07_00116
BSU16670	RSPSI07_00957
BSU16550	RSPSI07_01863
BSU34880	RSPSI07_00517
BSU32460	RSPSI07_01253
BSU24170	RSPSI07_01643
BSU15900	RSPSI07_02257
BSU22430	RSPSI07_00833
BSU02480	RSPSI07_03963
BSU00180	RSPSI07_01827
BSU22670	RSPSI07_00584
BSU22670	RSPSI07_03784
BSU25020	RSPSI07_00884
BSU00730	RSPSI07_02379
BSU34790	RSPSI07_01073
BSU13170	RSPSI07_01827
BSU17890	RSPSI07_00719
BSU33900	RSPSI07_02160
BSU03320	RSPSI07_04393
BSU15910	RSPSI07_02256
BSU28540	RSPSI07_01716
BSU29990	RSPSI07_04871
BSU40420	RSPSI07_02058
BSU14830	RSPSI07_04327
BSU13180	RSPSI07_03779
BSU31150	RSPSI07_02558
BSU28310	RSPSI07_01287
BSU30980	RSPSI07_03440
BSU01370	RSPSI07_00877
BSU36470	RSPSI07_02046
BSU40850	RSPSI07_04165
BSU13110	RSPSI07_01450
BSU28290	RSPSI07_01289
BSU22620	RSPSI07_02391
BSU35940	RSPSI07_04821
BSU35940	RSPSI07_00712
BSU35940	RSPSI07_02031
BSU32430	RSPSI07_01251
BSU18000	RSPSI07_01362
BSU22060	RSPSI07_01251
BSU23270	RSPSI07_02535
BSU00790	RSPSI07_00835
BSU06530	RSPSI07_01174
BSU08830	RSPSI07_02915
BSU33400	RSPSI07_04608
BSU08710	RSPSI07_02593
BSU35700	RSPSI07_02417
BSU28280	RSPSI07_01294
BSU29130	RSPSI07_00921
BSU21770	RSPSI07_02819
BSU24120	RSPSI07_03335
BSU24120	RSPSI07_01366
BSU04470	RSPSI07_02965
BSU13120	RSPSI07_00653
BSU16510	RSPSI07_01867
BSU37790	RSPSI07_02789
BSU39730	RSPSI07_02028
BSU12950	RSPSI07_00604
BSU12950	RSPSI07_01438
BSU12950	RSPSI07_03919
BSU39050	RSPSI07_00773
BSU39050	RSPSI07_04771
BSU18250	RSPSI07_02827
BSU35010	RSPSI07_02045
BSU23280	RSPSI07_02534
BSU22070	RSPSI07_02876
BSU36900	RSPSI07_02521
BSU06520	RSPSI07_02761
BSU33510	RSPSI07_00085
BSU08820	RSPSI07_00773
BSU08820	RSPSI07_04771
BSU22750	RSPSI07_02811
BSU23960	RSPSI07_03844
BSU23960	RSPSI07_01103
BSU23960	RSPSI07_01257
BSU23960	RSPSI07_00029
BSU23960	RSPSI07_02785
BSU29020	RSPSI07_00720
BSU29140	RSPSI07_01365
BSU29140	RSPSI07_03334
BSU24130	RSPSI07_01363
BSU13130	RSPSI07_00728
BSU36370	RSPSI07_01858
BSU34190	RSPSI07_02327
BSU12840	RSPSI07_01961
BSU32450	RSPSI07_01248
BSU34870	RSPSI07_00518
BSU18260	RSPSI07_03738
BSU18260	RSPSI07_03023
BSU15790	RSPSI07_00589
BSU37100	RSPSI07_00510
BSU39760	RSPSI07_04245
BSU24140	RSPSI07_01365
BSU24140	RSPSI07_03334
BSU16090	RSPSI07_02704
BSU00770	RSPSI07_01497
BSU07840	RSPSI07_00071
BSU36810	RSPSI07_00117
BSU22640	RSPSI07_01383
BSU23850	RSPSI07_04749
BSU00090	RSPSI07_01844
BSU23970	RSPSI07_03635
BSU14900	RSPSI07_00549
BSU40070	RSPSI07_04366
BSU39750	RSPSI07_02026
BSU18830	RSPSI07_02946
BSU16530	RSPSI07_01865
BSU34860	RSPSI07_00519
BSU35950	RSPSI07_02030
BSU32440	RSPSI07_01251
BSU03910	RSPSI07_04190
BSU03910	RSPSI07_04801
BSU03910	RSPSI07_03221
BSU03910	RSPSI07_02542
BSU19360	RSPSI07_02003
BSU10790	RSPSI07_03082
BSU14590	RSPSI07_01752
BSU15680	RSPSI07_01210
BSU16770	RSPSI07_02144
BSU24150	RSPSI07_03738
BSU24150	RSPSI07_03023
BSU24270	RSPSI07_01142
BSU36800	RSPSI07_03937
BSU36800	RSPSI07_00118
BSU06500	RSPSI07_00840
BSU24950	RSPSI07_01502
BSU22410	RSPSI07_00738
BSU08000	RSPSI07_00696
BSU22890	RSPSI07_02388
BSU21680	RSPSI07_01704
BSU03590	RSPSI07_03844
BSU03590	RSPSI07_01103
BSU03590	RSPSI07_01257
BSU03590	RSPSI07_00029
BSU03590	RSPSI07_02785
