BSU09290	RSPSS4_03218
BSU03600	RSPSS4_04555
BSU27610	RSPSS4_00426
BSU35920	RSPSS4_01035
BSU03280	RSPSS4_02573
BSU22960	RSPSS4_00491
BSU11710	RSPSS4_00102
BSU08850	RSPSS4_01423
BSU28260	RSPSS4_02140
BSU06430	RSPSS4_00595
BSU24340	RSPSS4_02895
BSU23250	RSPSS4_00737
BSU15520	RSPSS4_01980
BSU12010	RSPSS4_02970
BSU22730	RSPSS4_01292
BSU39390	RSPSS4_01682
BSU39390	RSPSS4_01681
BSU18470	RSPSS4_02925
BSU38500	RSPSS4_01983
BSU30220	RSPSS4_04084
BSU38860	RSPSS4_03948
BSU38980	RSPSS4_01912
BSU38980	RSPSS4_02402
BSU18230	RSPSS4_00268
BSU27860	RSPSS4_02602
BSU23260	RSPSS4_00738
BSU01770	RSPSS4_01973
BSU02980	RSPSS4_03650
BSU04000	RSPSS4_00497
BSU04000	RSPSS4_05117
BSU06420	RSPSS4_00594
BSU28270	RSPSS4_02138
BSU11720	RSPSS4_01247
BSU13900	RSPSS4_00354
BSU28150	RSPSS4_02509
BSU29360	RSPSS4_04555
BSU03150	RSPSS4_00452
BSU04360	RSPSS4_04515
BSU24350	RSPSS4_02894
BSU40330	RSPSS4_01682
BSU40330	RSPSS4_01681
BSU21810	RSPSS4_00970
BSU16100	RSPSS4_00574
BSU11330	RSPSS4_01071
BSU37280	RSPSS4_04071
BSU15490	RSPSS4_00702
BSU36510	RSPSS4_00350
BSU10120	RSPSS4_03459
BSU35660	RSPSS4_04526
BSU35660	RSPSS4_04031
BSU31060	RSPSS4_01546
BSU33800	RSPSS4_02671
BSU30410	RSPSS4_04976
BSU33920	RSPSS4_02212
BSU32830	RSPSS4_00486
BSU03300	RSPSS4_03829
BSU28560	RSPSS4_02964
BSU28560	RSPSS4_00551
BSU06490	RSPSS4_02125
BSU06370	RSPSS4_05181
BSU08790	RSPSS4_00114
BSU18410	RSPSS4_04754
BSU37150	RSPSS4_01200
BSU11340	RSPSS4_01075
BSU11220	RSPSS4_02589
BSU37270	RSPSS4_04070
BSU15700	RSPSS4_02615
BSU21820	RSPSS4_00971
BSU14610	RSPSS4_01353
BSU15020	RSPSS4_00398
BSU36860	RSPSS4_03478
BSU29300	RSPSS4_02611
BSU00380	RSPSS4_04263
BSU06360	RSPSS4_01515
BSU11230	RSPSS4_01982
BSU32170	RSPSS4_00138
BSU38150	RSPSS4_01578
BSU38150	RSPSS4_03025
BSU16920	RSPSS4_01093
BSU00930	RSPSS4_01236
BSU00930	RSPSS4_04952
BSU30550	RSPSS4_00135
BSU14180	RSPSS4_01476
BSU31760	RSPSS4_01679
BSU39360	RSPSS4_02752
BSU10020	RSPSS4_00927
BSU36650	RSPSS4_02180
BSU36890	RSPSS4_02336
BSU02430	RSPSS4_03906
BSU33940	RSPSS4_02857
BSU32730	RSPSS4_03542
BSU32730	RSPSS4_00946
BSU33700	RSPSS4_02671
BSU34910	RSPSS4_03110
BSU33820	RSPSS4_02671
BSU22480	RSPSS4_02333
BSU27010	RSPSS4_00656
BSU27010	RSPSS4_03925
BSU11240	RSPSS4_01980
BSU38020	RSPSS4_00102
BSU15600	RSPSS4_04864
BSU15600	RSPSS4_03330
BSU37170	RSPSS4_04391
BSU37170	RSPSS4_00281
BSU15720	RSPSS4_00072
BSU19520	RSPSS4_03860
BSU36760	RSPSS4_03112
BSU39350	RSPSS4_02751
BSU35550	RSPSS4_00447
BSU33370	RSPSS4_01419
BSU36640	RSPSS4_02179
BSU17460	RSPSS4_04159
BSU17460	RSPSS4_01340
BSU35670	RSPSS4_02386
BSU35670	RSPSS4_03592
BSU10270	RSPSS4_02964
BSU10270	RSPSS4_00551
BSU34900	RSPSS4_03108
BSU30420	RSPSS4_01718
BSU30540	RSPSS4_00181
BSU33930	RSPSS4_00590
BSU27260	RSPSS4_00941
BSU28470	RSPSS4_01245
BSU24310	RSPSS4_01847
BSU29440	RSPSS4_02515
BSU40340	RSPSS4_00162
BSU29200	RSPSS4_01243
BSU22370	RSPSS4_01120
BSU16540	RSPSS4_01493
BSU29060	RSPSS4_02935
BSU36830	RSPSS4_03475
BSU03900	RSPSS4_00031
BSU00510	RSPSS4_00403
BSU30290	RSPSS4_01347
BSU35740	RSPSS4_00316
BSU32470	RSPSS4_01559
BSU27430	RSPSS4_03564
BSU27430	RSPSS4_04114
BSU27430	RSPSS4_02253
BSU27430	RSPSS4_00495
BSU27430	RSPSS4_02409
BSU24040	RSPSS4_01641
BSU24160	RSPSS4_00250
BSU24280	RSPSS4_02371
BSU00750	RSPSS4_02991
BSU22420	RSPSS4_02539
BSU29050	RSPSS4_02000
BSU24960	RSPSS4_01969
BSU21690	RSPSS4_00790
BSU09440	RSPSS4_03694
BSU02490	RSPSS4_01103
BSU21900	RSPSS4_02779
BSU00500	RSPSS4_00180
BSU36820	RSPSS4_03474
BSU16670	RSPSS4_02611
BSU16550	RSPSS4_01494
BSU34880	RSPSS4_03105
BSU32460	RSPSS4_02263
BSU24170	RSPSS4_01810
BSU15900	RSPSS4_01072
BSU22430	RSPSS4_02736
BSU02480	RSPSS4_04217
BSU00180	RSPSS4_01541
BSU22670	RSPSS4_04360
BSU22670	RSPSS4_02993
BSU25020	RSPSS4_02681
BSU00730	RSPSS4_00941
BSU34790	RSPSS4_02493
BSU13170	RSPSS4_01541
BSU17890	RSPSS4_02858
BSU33900	RSPSS4_01203
BSU03320	RSPSS4_03829
BSU15910	RSPSS4_01073
BSU28540	RSPSS4_01680
BSU29990	RSPSS4_05181
BSU40420	RSPSS4_01307
BSU14830	RSPSS4_03906
BSU13180	RSPSS4_04365
BSU31150	RSPSS4_00725
BSU28310	RSPSS4_02224
BSU30980	RSPSS4_04789
BSU01370	RSPSS4_02688
BSU36470	RSPSS4_01315
BSU40850	RSPSS4_04036
BSU13110	RSPSS4_01129
BSU13110	RSPSS4_03649
BSU13110	RSPSS4_02030
BSU28290	RSPSS4_02222
BSU22620	RSPSS4_00929
BSU35940	RSPSS4_02865
BSU35940	RSPSS4_01324
BSU35940	RSPSS4_05138
BSU32430	RSPSS4_02265
BSU18000	RSPSS4_02153
BSU22060	RSPSS4_02265
BSU23270	RSPSS4_00739
BSU00790	RSPSS4_02734
BSU06530	RSPSS4_02339
BSU08830	RSPSS4_00387
BSU33400	RSPSS4_02000
BSU08710	RSPSS4_00690
BSU28280	RSPSS4_02219
BSU29130	RSPSS4_02645
BSU21770	RSPSS4_00460
BSU24120	RSPSS4_03695
BSU24120	RSPSS4_02150
BSU04470	RSPSS4_00337
BSU13120	RSPSS4_02925
BSU16510	RSPSS4_01490
BSU37790	RSPSS4_00491
BSU39730	RSPSS4_01321
BSU12950	RSPSS4_02973
BSU12950	RSPSS4_01251
BSU12950	RSPSS4_02041
BSU39050	RSPSS4_05090
BSU18250	RSPSS4_00453
BSU23280	RSPSS4_00740
BSU22070	RSPSS4_00426
BSU36900	RSPSS4_00753
BSU06520	RSPSS4_00516
BSU33510	RSPSS4_03505
BSU08820	RSPSS4_05090
BSU22750	RSPSS4_00469
BSU23960	RSPSS4_03564
BSU23960	RSPSS4_04114
BSU23960	RSPSS4_02253
BSU23960	RSPSS4_00495
BSU23960	RSPSS4_02409
BSU29020	RSPSS4_02857
BSU29140	RSPSS4_03694
BSU24130	RSPSS4_02152
BSU38550	RSPSS4_03725
BSU13130	RSPSS4_02849
BSU36370	RSPSS4_01499
BSU34190	RSPSS4_01003
BSU12840	RSPSS4_01396
BSU32450	RSPSS4_02268
BSU34870	RSPSS4_03104
BSU18260	RSPSS4_04391
BSU18260	RSPSS4_00281
BSU15790	RSPSS4_02988
BSU37100	RSPSS4_03112
BSU39760	RSPSS4_03991
BSU39760	RSPSS4_02691
BSU24140	RSPSS4_03694
BSU03000	RSPSS4_03648
BSU16090	RSPSS4_00573
BSU00770	RSPSS4_01974
BSU07840	RSPSS4_03519
BSU36810	RSPSS4_03473
BSU22640	RSPSS4_02132
BSU23850	RSPSS4_05068
BSU00090	RSPSS4_01513
BSU23970	RSPSS4_04555
BSU14900	RSPSS4_01579
BSU14900	RSPSS4_03026
BSU40070	RSPSS4_03860
BSU02390	RSPSS4_03725
BSU39750	RSPSS4_01319
BSU18830	RSPSS4_00355
BSU16530	RSPSS4_01492
BSU34860	RSPSS4_03103
BSU35950	RSPSS4_01325
BSU32440	RSPSS4_02265
BSU03910	RSPSS4_05116
BSU03910	RSPSS4_00030
BSU19360	RSPSS4_01352
BSU10790	RSPSS4_00181
BSU14590	RSPSS4_01641
BSU15680	RSPSS4_02302
BSU16770	RSPSS4_01219
BSU24150	RSPSS4_04391
BSU24150	RSPSS4_00281
BSU24270	RSPSS4_02370
BSU36800	RSPSS4_04235
BSU36800	RSPSS4_03472
BSU06500	RSPSS4_02729
BSU24950	RSPSS4_01969
BSU22410	RSPSS4_02838
BSU08000	RSPSS4_02882
BSU22890	RSPSS4_00932
BSU21680	RSPSS4_01691
BSU03590	RSPSS4_03564
BSU03590	RSPSS4_04114
BSU03590	RSPSS4_02253
BSU03590	RSPSS4_00495
BSU03590	RSPSS4_02409
