BSU35580	XOO2066
BSU00770	XOO2948
BSU36810	XOO0732
BSU22640	XOO3252
BSU23850	XOO2314
BSU00090	XOO2194
BSU14900	XOO1630
BSU02390	XOO3624
BSU18830	XOO1277
BSU16530	XOO1972
BSU11880	XOO0778
BSU11880	XOO1818
BSU34860	XOO2262
BSU19360	XOO2043
BSU10790	XOO0746
BSU14590	XOO4078
BSU14590	XOO4081
BSU15680	XOO1145
BSU16770	XOO2923
BSU24150	XOO2078
BSU24150	XOO2076
BSU24150	XOO1843
BSU24270	XOO2017
BSU28510	XOO1317
BSU22090	XOO4332
BSU36800	XOO0733
BSU06500	XOO1297
BSU24950	XOO2465
BSU22410	XOO2361
BSU06980	XOO2172
BSU04560	XOO0352
BSU22890	XOO2179
BSU21680	XOO0690
