BSU09290	RSMOLK2_02392
BSU17890	RSMOLK2_02086
BSU33900	RSMOLK2_04081
BSU03320	RSMOLK2_01640
BSU15910	RSMOLK2_04172
BSU28540	RSMOLK2_03587
BSU29990	RSMOLK2_04799
BSU40420	RSMOLK2_03978
BSU14830	RSMOLK2_01576
BSU13180	RSMOLK2_01156
BSU31150	RSMOLK2_00684
BSU28310	RSMOLK2_03174
BSU30980	RSMOLK2_04454
BSU01370	RSMOLK2_01916
BSU36470	RSMOLK2_03970
BSU40850	RSMOLK2_01417
BSU13110	RSMOLK2_03294
BSU28290	RSMOLK2_03176
BSU22620	RSMOLK2_04317
BSU35940	RSMOLK2_03958
BSU35940	RSMOLK2_04744
BSU32430	RSMOLK2_03138
BSU18000	RSMOLK2_03218
BSU22060	RSMOLK2_03138
BSU23270	RSMOLK2_00699
BSU00790	RSMOLK2_01960
BSU06530	RSMOLK2_03086
BSU08830	RSMOLK2_00348
BSU08710	RSMOLK2_00649
BSU28280	RSMOLK2_03179
BSU29130	RSMOLK2_01868
BSU21770	RSMOLK2_00423
BSU24120	RSMOLK2_02790
BSU24120	RSMOLK2_03222
BSU04470	RSMOLK2_00299
BSU13120	RSMOLK2_02141
BSU16510	RSMOLK2_03790
BSU37790	RSMOLK2_00454
BSU39730	RSMOLK2_03955
BSU12950	RSMOLK2_02192
BSU12950	RSMOLK2_03283
BSU39050	RSMOLK2_04673
BSU18250	RSMOLK2_00415
BSU23280	RSMOLK2_00700
BSU22070	RSMOLK2_00386
BSU36900	RSMOLK2_00713
BSU06520	RSMOLK2_00480
BSU33510	RSMOLK2_02559
BSU08820	RSMOLK2_04673
BSU22750	RSMOLK2_00432
BSU23960	RSMOLK2_00458
BSU23960	RSMOLK2_03014
BSU23960	RSMOLK2_02498
BSU29020	RSMOLK2_02085
BSU29140	RSMOLK2_03221
BSU29140	RSMOLK2_02789
BSU24130	RSMOLK2_03219
BSU38550	RSMOLK2_04548
BSU13130	RSMOLK2_02077
BSU36370	RSMOLK2_03781
BSU34190	RSMOLK2_04255
BSU12840	RSMOLK2_03883
BSU32450	RSMOLK2_03135
BSU34870	RSMOLK2_02278
BSU18260	RSMOLK2_00240
BSU18260	RSMOLK2_01136
BSU15790	RSMOLK2_02207
BSU37100	RSMOLK2_02286
BSU39760	RSMOLK2_01496
BSU24140	RSMOLK2_03221
BSU24140	RSMOLK2_02789
BSU16090	RSMOLK2_00540
BSU00770	RSMOLK2_03326
BSU07840	RSMOLK2_02543
BSU36810	RSMOLK2_02593
BSU22640	RSMOLK2_03240
BSU23850	RSMOLK2_04649
BSU00090	RSMOLK2_03764
BSU23970	RSMOLK2_00980
BSU14900	RSMOLK2_02245
BSU40070	RSMOLK2_01607
BSU02390	RSMOLK2_04548
BSU39750	RSMOLK2_03953
BSU18830	RSMOLK2_00317
BSU16530	RSMOLK2_03788
BSU34860	RSMOLK2_02277
BSU35950	RSMOLK2_03957
BSU32440	RSMOLK2_03138
BSU03910	RSMOLK2_01450
BSU03910	RSMOLK2_00692
BSU03910	RSMOLK2_00033
BSU03910	RSMOLK2_04696
BSU19360	RSMOLK2_03930
BSU10790	RSMOLK2_00183
BSU14590	RSMOLK2_03623
BSU15680	RSMOLK2_03120
BSU16770	RSMOLK2_04065
BSU24150	RSMOLK2_00240
BSU24150	RSMOLK2_01136
BSU24270	RSMOLK2_03053
BSU36800	RSMOLK2_02594
BSU36800	RSMOLK2_01276
BSU06500	RSMOLK2_01955
BSU24950	RSMOLK2_03331
BSU22410	RSMOLK2_02067
BSU08000	RSMOLK2_02098
BSU22890	RSMOLK2_04314
BSU21680	RSMOLK2_03576
BSU03590	RSMOLK2_00458
BSU03590	RSMOLK2_03014
BSU03590	RSMOLK2_02498
