BSU09290	RSBA7_02819
BSU24150	RSBA7_04136
BSU24270	RSBA7_02042
BSU36800	RSBA7_03012
BSU36800	RSBA7_03982
BSU06500	RSBA7_02335
BSU24950	RSBA7_01736
BSU22410	RSBA7_02439
BSU08000	RSBA7_02470
BSU22890	RSBA7_00887
BSU21680	RSBA7_01541
BSU03590	RSBA7_03836
BSU03590	RSBA7_02076
BSU03590	RSBA7_00489
BSU03590	RSBA7_03106
