BSU09290	RSBDBR229_02959
BSU28260	RSBDBR229_04472
BSU06430	RSBDBR229_00744
BSU24340	RSBDBR229_02672
BSU23250	RSBDBR229_03563
BSU15520	RSBDBR229_04314
BSU12010	RSBDBR229_02747
BSU22730	RSBDBR229_01637
BSU39390	RSBDBR229_04084
BSU39390	RSBDBR229_04085
BSU18470	RSBDBR229_02702
BSU38500	RSBDBR229_04318
BSU38860	RSBDBR229_01002
BSU38980	RSBDBR229_01284
BSU38980	RSBDBR229_01029
BSU18230	RSBDBR229_00452
BSU27860	RSBDBR229_03794
BSU23260	RSBDBR229_03562
BSU01770	RSBDBR229_04307
BSU04000	RSBDBR229_02183
BSU04000	RSBDBR229_04662
BSU06420	RSBDBR229_00745
BSU28270	RSBDBR229_04470
BSU11720	RSBDBR229_01592
BSU13900	RSBDBR229_00361
BSU28150	RSBDBR229_03703
BSU29360	RSBDBR229_02489
BSU03150	RSBDBR229_03079
BSU04360	RSBDBR229_00650
BSU24350	RSBDBR229_02671
BSU40330	RSBDBR229_04084
BSU40330	RSBDBR229_04085
BSU21810	RSBDBR229_04228
BSU16100	RSBDBR229_00765
BSU11330	RSBDBR229_04139
BSU15490	RSBDBR229_03176
BSU36510	RSBDBR229_00365
BSU10120	RSBDBR229_03314
BSU35660	RSBDBR229_02466
BSU35660	RSBDBR229_02163
BSU31060	RSBDBR229_02008
BSU33800	RSBDBR229_01185
BSU30410	RSBDBR229_02114
BSU33920	RSBDBR229_02246
BSU32830	RSBDBR229_03043
BSU03300	RSBDBR229_00970
BSU28560	RSBDBR229_02741
BSU28560	RSBDBR229_00789
BSU06490	RSBDBR229_04457
BSU06370	RSBDBR229_04738
BSU08790	RSBDBR229_00109
BSU18410	RSBDBR229_03415
BSU18410	RSBDBR229_03416
BSU37150	RSBDBR229_01548
BSU11340	RSBDBR229_04135
BSU11220	RSBDBR229_03781
BSU15700	RSBDBR229_03807
BSU21820	RSBDBR229_04227
BSU14610	RSBDBR229_01708
BSU15020	RSBDBR229_00318
BSU36860	RSBDBR229_00134
BSU29300	RSBDBR229_03803
BSU24090	RSBDBR229_03634
BSU00380	RSBDBR229_04567
BSU00380	RSBDBR229_04568
BSU06360	RSBDBR229_01924
BSU07570	RSBDBR229_03638
BSU11230	RSBDBR229_04317
BSU32170	RSBDBR229_03212
BSU38150	RSBDBR229_02803
BSU16920	RSBDBR229_04117
BSU00930	RSBDBR229_01581
BSU30550	RSBDBR229_03209
BSU14180	RSBDBR229_01885
BSU31760	RSBDBR229_04082
BSU39360	RSBDBR229_01105
BSU10020	RSBDBR229_04271
BSU36650	RSBDBR229_02214
BSU36890	RSBDBR229_01354
BSU02430	RSBDBR229_02354
BSU33940	RSBDBR229_02634
BSU32730	RSBDBR229_00198
BSU32730	RSBDBR229_04252
BSU33700	RSBDBR229_01185
BSU34910	RSBDBR229_02851
BSU33820	RSBDBR229_01185
BSU22480	RSBDBR229_01357
BSU27010	RSBDBR229_02071
BSU27010	RSBDBR229_02518
BSU27010	RSBDBR229_03540
BSU11240	RSBDBR229_04314
BSU38020	RSBDBR229_00102
BSU15600	RSBDBR229_03234
BSU37170	RSBDBR229_00439
BSU15720	RSBDBR229_00073
BSU19520	RSBDBR229_02395
BSU36760	RSBDBR229_02853
BSU39350	RSBDBR229_01106
BSU35550	RSBDBR229_03130
BSU33370	RSBDBR229_01827
BSU36640	RSBDBR229_02213
BSU17460	RSBDBR229_03942
BSU17460	RSBDBR229_01695
BSU35670	RSBDBR229_03329
BSU35670	RSBDBR229_01301
BSU10270	RSBDBR229_02741
BSU10270	RSBDBR229_00789
BSU34900	RSBDBR229_02849
BSU30420	RSBDBR229_00963
BSU30540	RSBDBR229_00504
BSU33930	RSBDBR229_00749
BSU27260	RSBDBR229_04257
BSU28470	RSBDBR229_01590
BSU24310	RSBDBR229_00831
BSU29440	RSBDBR229_03708
BSU40340	RSBDBR229_00482
BSU29200	RSBDBR229_01588
BSU16540	RSBDBR229_01902
BSU29060	RSBDBR229_02712
BSU36830	RSBDBR229_00131
BSU03900	RSBDBR229_00032
BSU00510	RSBDBR229_00314
BSU30290	RSBDBR229_01702
BSU35740	RSBDBR229_00401
BSU32470	RSBDBR229_02021
BSU27430	RSBDBR229_00220
BSU27430	RSBDBR229_02281
BSU27430	RSBDBR229_03034
BSU27430	RSBDBR229_01277
BSU24040	RSBDBR229_04047
BSU24160	RSBDBR229_00466
BSU24280	RSBDBR229_01317
BSU00750	RSBDBR229_02769
BSU22420	RSBDBR229_03738
BSU24960	RSBDBR229_04303
BSU21690	RSBDBR229_03922
BSU09440	RSBDBR229_03406
BSU09440	RSBDBR229_04483
BSU02490	RSBDBR229_04107
BSU21900	RSBDBR229_01077
BSU00500	RSBDBR229_00503
BSU36820	RSBDBR229_00130
BSU16670	RSBDBR229_03803
BSU16550	RSBDBR229_01903
BSU34880	RSBDBR229_02846
BSU32460	RSBDBR229_02285
BSU24170	RSBDBR229_00872
BSU15900	RSBDBR229_04138
BSU22430	RSBDBR229_01121
BSU02480	RSBDBR229_03471
BSU00180	RSBDBR229_02003
BSU22670	RSBDBR229_00576
BSU22670	RSBDBR229_02771
BSU25020	RSBDBR229_01173
BSU00730	RSBDBR229_04257
BSU34790	RSBDBR229_03685
BSU13170	RSBDBR229_02003
BSU17890	RSBDBR229_02635
BSU33900	RSBDBR229_01551
BSU03320	RSBDBR229_00970
BSU15910	RSBDBR229_04137
BSU28540	RSBDBR229_04083
BSU29990	RSBDBR229_04738
BSU40420	RSBDBR229_01652
BSU14830	RSBDBR229_02354
BSU13180	RSBDBR229_00568
BSU31150	RSBDBR229_00546
BSU28310	RSBDBR229_02260
BSU30980	RSBDBR229_01213
BSU01370	RSBDBR229_01165
BSU36470	RSBDBR229_01664
BSU40850	RSBDBR229_02158
BSU13110	RSBDBR229_04397
BSU28290	RSBDBR229_02258
BSU22620	RSBDBR229_04269
BSU35940	RSBDBR229_02642
BSU35940	RSBDBR229_04687
BSU35940	RSBDBR229_01679
BSU32430	RSBDBR229_02287
BSU18000	RSBDBR229_04486
BSU22060	RSBDBR229_02287
BSU23270	RSBDBR229_03561
BSU00790	RSBDBR229_01123
BSU06530	RSBDBR229_01351
BSU08830	RSBDBR229_00329
BSU08710	RSBDBR229_03165
BSU28280	RSBDBR229_02253
BSU29130	RSBDBR229_01211
BSU21770	RSBDBR229_03070
BSU24120	RSBDBR229_03407
BSU24120	RSBDBR229_04482
BSU04470	RSBDBR229_00379
BSU13120	RSBDBR229_02702
BSU16510	RSBDBR229_01899
BSU37790	RSBDBR229_03038
BSU39730	RSBDBR229_01682
BSU12950	RSBDBR229_02751
BSU12950	RSBDBR229_04547
BSU12950	RSBDBR229_04410
BSU39050	RSBDBR229_03995
BSU39050	RSBDBR229_01060
BSU18250	RSBDBR229_03078
BSU35010	RSBDBR229_01665
BSU23280	RSBDBR229_03560
BSU22070	RSBDBR229_00291
BSU36900	RSBDBR229_04645
BSU06520	RSBDBR229_03011
BSU33510	RSBDBR229_00161
BSU08820	RSBDBR229_03995
BSU08820	RSBDBR229_01060
BSU22750	RSBDBR229_03062
BSU23960	RSBDBR229_00220
BSU23960	RSBDBR229_02281
BSU23960	RSBDBR229_03034
BSU23960	RSBDBR229_01277
BSU29020	RSBDBR229_02634
BSU29140	RSBDBR229_03406
BSU29140	RSBDBR229_04483
BSU24130	RSBDBR229_04485
BSU13130	RSBDBR229_02626
BSU36370	RSBDBR229_01908
BSU34190	RSBDBR229_04207
BSU12840	RSBDBR229_01804
BSU32450	RSBDBR229_02290
BSU34870	RSBDBR229_02845
BSU18260	RSBDBR229_00439
BSU15790	RSBDBR229_02766
BSU37100	RSBDBR229_02853
BSU39760	RSBDBR229_04612
BSU24140	RSBDBR229_03406
BSU24140	RSBDBR229_04483
BSU16090	RSBDBR229_00766
BSU00770	RSBDBR229_04308
BSU07840	RSBDBR229_00177
BSU36810	RSBDBR229_00129
BSU22640	RSBDBR229_04464
BSU23850	RSBDBR229_03973
BSU00090	RSBDBR229_01922
BSU23970	RSBDBR229_02489
BSU14900	RSBDBR229_02804
BSU40070	RSBDBR229_02395
BSU39750	RSBDBR229_01684
BSU18830	RSBDBR229_00360
BSU16530	RSBDBR229_01901
BSU34860	RSBDBR229_02844
BSU35950	RSBDBR229_01680
BSU32440	RSBDBR229_02287
BSU03910	RSBDBR229_00031
BSU03910	RSBDBR229_03568
BSU03910	RSBDBR229_02182
BSU03910	RSBDBR229_04661
BSU19360	RSBDBR229_01707
BSU10790	RSBDBR229_00504
BSU14590	RSBDBR229_04047
BSU15680	RSBDBR229_01389
BSU16770	RSBDBR229_01567
BSU24150	RSBDBR229_00439
BSU24270	RSBDBR229_01318
BSU36800	RSBDBR229_04529
BSU36800	RSBDBR229_00128
BSU06500	RSBDBR229_01128
BSU24950	RSBDBR229_04303
BSU22410	RSBDBR229_02616
BSU08000	RSBDBR229_02658
BSU22890	RSBDBR229_04266
BSU21680	RSBDBR229_02313
BSU03590	RSBDBR229_00220
BSU03590	RSBDBR229_02281
BSU03590	RSBDBR229_03034
BSU03590	RSBDBR229_01277
