BSU09290	RSK60_02182
BSU36800	RSK60_01862
BSU36800	RSK60_04313
BSU06500	RSK60_02636
BSU24950	RSK60_03303
BSU22410	RSK60_02530
BSU08000	RSK60_02499
BSU22890	RSK60_00797
BSU21680	RSK60_00094
BSU03590	RSK60_02939
BSU03590	RSK60_01766
BSU03590	RSK60_01213
