BSU09290	STM4086
BSU03150	STM4485
BSU03150	STM3542
BSU04360	STM2408
BSU24350	STM3379
BSU40330	STM2200
BSU21810	STM0087
BSU16100	STM0739
BSU31180	STM4046
BSU11330	STM1193
BSU37280	STM1577
BSU37280	STM1764
BSU12300	STM3137
BSU36510	STM0463
BSU10120	STM4167
BSU31980	STM0596
BSU35660	STM3920
BSU33800	STM2162
BSU33800	STM2164
BSU30530	STM0150
BSU30530	STM4398
BSU30530	STM0568
BSU30530	STM1584
BSU33920	STM4081
BSU28560	STM1818
BSU06490	STM2362
BSU08790	STM4164
BSU38240	STM4273
BSU18410	STM3551
BSU37150	STM2953
BSU11340	STM1197
BSU11220	STM1303
BSU11220	STM3468
BSU37270	STM1578
BSU37270	STM1763
BSU15700	STM3730
BSU21820	STM3001
BSU15020	STM3725
BSU36860	STM3870
BSU39450	STM2460
BSU34560	STM4453
BSU29300	STM0045
BSU33910	STM3704
BSU31970	STM0597
BSU30760	STM2862
BSU06360	STM2510
BSU13890	STM0685
BSU13890	STM1203
BSU40110	STM3051
BSU11230	STM0066
BSU32170	STM3947
BSU38150	STM0441
BSU16920	STM1945
BSU00930	STM3699
BSU30550	STM3090
BSU14180	STM0213
BSU31760	STM1293
BSU10020	STM0977
BSU19630	STM4570
BSU36890	STM2498
BSU02430	STM1525
BSU05820	STM1314
BSU33940	STM1290
BSU32730	STM0245
BSU33700	STM2162
BSU33700	STM2164
BSU34910	STM2072
BSU33820	STM2162
BSU33820	STM2164
BSU27810	STM0006
BSU25070	STM2523
BSU27250	STM4100
BSU27250	STM3624A
BSU22480	STM1076
BSU23570	STM4326
BSU11240	STM0067
BSU38020	STM2146
BSU15600	STM2933
BSU19520	STM4482
BSU19520	STM3512
BSU36760	STM3307
BSU39350	STM0791
BSU33370	STM4063
BSU33370	STM2444
BSU17460	STM4007
BSU35670	STM2098
BSU35670	STM1752
BSU10270	STM1818
BSU34900	STM2074
BSU30300	STM4298
BSU03990	STM3686
BSU30540	STM3861
BSU02420	STM0006
BSU33930	STM3069
BSU27260	STM2440
BSU27260	STM2430
BSU24310	STM0542
BSU29440	STM4123
BSU29200	STM0232
BSU37120	STM3253
BSU38570	STM1314
BSU29060	STM0140
BSU29180	STM1378
BSU36830	STM3867
BSU03900	STM2792
BSU00510	STM1780
BSU33440	STM2948
BSU30290	STM3556
BSU34890	STM2075
BSU07700	STM0685
BSU07700	STM1203
BSU27430	STM0662
BSU27430	STM2351
BSU27430	STM0828
BSU03220	STM1125
BSU24280	STM0423
BSU30970	STM3536
BSU00750	STM3469
BSU22420	STM0181
BSU29050	STM3165
BSU24960	STM3854
BSU21690	STM4408
BSU09440	STM0369
BSU02490	STM2960
BSU02490	STM2961
BSU21900	STM1341
BSU39410	STM2409
BSU38560	STM1316
BSU29190	STM4062
BSU00500	STM3862
BSU33430	STM2947
BSU36820	STM3866
BSU16670	STM0045
BSU16550	STM0220
BSU38200	STM0774
BSU07810	STM4453
BSU23080	STM1358
BSU15900	STM1194
BSU22430	STM0182
BSU23760	STM4139
BSU02480	STM3827
BSU02480	STM2962
BSU07490	STM0590
BSU07490	STM0192
BSU22670	STM1724
BSU02360	STM0684
BSU25020	STM4055
BSU25020	STM1431
BSU21910	STM4182
BSU38590	STM1312
BSU00730	STM2440
BSU00730	STM2430
BSU10220	STM4283
BSU12080	STM0439
BSU34790	STM0958
BSU17890	STM3076
BSU17890	STM2474
BSU33900	STM2952
BSU02350	STM0685
BSU02350	STM1203
BSU02230	STM1883
BSU15910	STM1195
BSU28780	STM0101
BSU28780	STM4388
BSU28780	STM3677
BSU23770	STM3802
BSU27330	STM2122
BSU40420	STM4366
BSU14830	STM1525
BSU32000	STM0598
BSU13180	STM3965
BSU39670	STM3253
BSU31150	STM3205
BSU15480	STM2497
BSU28310	STM3901
BSU28310	STM3796
BSU02340	STM4283
BSU30980	STM3538
BSU01370	STM0488
BSU40850	STM0472
BSU13110	STM1756
BSU35940	STM3882
BSU35940	STM2189
BSU17390	STM2808
BSU18000	STM1712
BSU35020	STM0684
BSU18120	STM0006
BSU00790	STM0183
BSU06530	STM4175
BSU03820	STM0590
BSU03820	STM0192
BSU33400	STM3165
BSU08710	STM0202
BSU12940	STM1744
BSU28280	STM0113
BSU29130	STM1238
BSU21770	STM3905
BSU13910	STM2432
BSU24120	STM0368
BSU04470	STM3614
BSU13120	STM0321
BSU16510	STM0218
BSU12950	STM1743
BSU12950	STM3627
BSU17600	STM3661
BSU39050	STM1318
BSU16990	STM3708
BSU38760	STM1792
BSU38760	STM0740
BSU23280	STM0416
BSU22070	STM0483
BSU30800	STM2307
BSU36900	STM2555
BSU34600	STM4228
BSU06520	STM4176
BSU35930	STM3881
BSU08820	STM1318
BSU22750	STM3970
BSU23960	STM0662
BSU23960	STM2351
BSU23960	STM0828
BSU29020	STM1290
BSU29140	STM0369
BSU03130	STM1310
BSU40040	STM2492
BSU40040	STM2959
BSU40040	STM0525
BSU40040	STM3247
BSU24130	STM0370
BSU13130	STM0322
BSU15550	STM1707
BSU39400	STM4568
BSU36370	STM0227
BSU11870	STM4100
BSU11870	STM3624A
BSU34190	STM3692
BSU34870	STM2077
BSU35960	STM3884
BSU15790	STM3483
BSU11190	STM4121
BSU37100	STM3307
BSU39760	STM4421
BSU24140	STM0369
BSU16090	STM0738
BSU00770	STM3295
BSU07840	STM4403
BSU36810	STM3865
BSU22640	STM1726
BSU23850	STM1886
BSU00090	STM2511
BSU14900	STM0442
BSU40070	STM4482
BSU40070	STM3512
BSU39750	STM4420
BSU16530	STM0221
BSU11880	STM4100
BSU11880	STM3624A
BSU23500	STM4569
BSU34860	STM2078
BSU35950	STM3883
BSU03910	STM2791
BSU19360	STM0737
BSU10790	STM3861
BSU15680	STM3740
BSU16770	STM2489
BSU38300	STM2147
BSU30940	STM3534
BSU29600	STM0399
BSU24270	STM0422
BSU22090	STM0161
BSU36800	STM3864
BSU24950	STM3854
BSU22410	STM0180
BSU08000	STM3952
BSU23860	STM2081
BSU04560	STM0380
BSU22890	STM0980
BSU21680	STM1291
BSU26690	STM0399
BSU02140	STM2283
BSU03590	STM0662
BSU03590	STM2351
BSU03590	STM0828
