BSU09290	RSUW551_02883
BSU23250	RSUW551_02367
BSU15520	RSUW551_01096
BSU12010	RSUW551_02682
BSU22730	RSUW551_01658
BSU39390	RSUW551_01348
BSU39390	RSUW551_01347
BSU18470	RSUW551_02635
BSU38500	RSUW551_01093
BSU30220	RSUW551_04290
BSU38860	RSUW551_04521
BSU38980	RSUW551_02095
BSU38980	RSUW551_01141
BSU18230	RSUW551_00278
BSU27860	RSUW551_00771
BSU23260	RSUW551_02366
BSU01770	RSUW551_01103
BSU04000	RSUW551_04805
BSU04000	RSUW551_03257
BSU04000	RSUW551_04413
BSU06420	RSUW551_00617
BSU28270	RSUW551_01002
BSU11720	RSUW551_01703
BSU13900	RSUW551_00374
BSU28150	RSUW551_00858
BSU29360	RSUW551_03933
BSU03150	RSUW551_00472
BSU04360	RSUW551_03974
BSU24350	RSUW551_02605
BSU40330	RSUW551_01348
BSU40330	RSUW551_01347
BSU21810	RSUW551_01930
BSU21810	RSUW551_01931
BSU16100	RSUW551_00597
BSU11330	RSUW551_01827
BSU37280	RSUW551_03883
BSU15490	RSUW551_02403
BSU36510	RSUW551_00370
BSU10120	RSUW551_03101
BSU31980	RSUW551_04404
BSU31980	RSUW551_04405
BSU35660	RSUW551_03961
BSU35660	RSUW551_04381
BSU31060	RSUW551_01402
BSU33800	RSUW551_00715
BSU30530	RSUW551_03836
BSU33920	RSUW551_00925
BSU32830	RSUW551_00507
BSU03300	RSUW551_04616
BSU28560	RSUW551_00574
BSU28560	RSUW551_02676
BSU06490	RSUW551_01015
BSU06370	RSUW551_03393
BSU08790	RSUW551_00161
BSU18410	RSUW551_03795
BSU37150	RSUW551_01752
BSU11340	RSUW551_01823
BSU11220	RSUW551_00784
BSU37270	RSUW551_03884
BSU15700	RSUW551_00757
BSU21820	RSUW551_01929
BSU14610	RSUW551_01591
BSU15020	RSUW551_00416
BSU36860	RSUW551_03121
BSU29300	RSUW551_00761
BSU24090	RSUW551_04323
BSU06360	RSUW551_01426
BSU11230	RSUW551_01094
BSU32170	RSUW551_00188
BSU38150	RSUW551_02736
BSU16920	RSUW551_01805
BSU00930	RSUW551_01714
BSU30550	RSUW551_00185
BSU14180	RSUW551_01469
BSU31760	RSUW551_01345
BSU39360	RSUW551_02480
BSU10020	RSUW551_02197
BSU36650	RSUW551_00958
BSU36890	RSUW551_02027
BSU02430	RSUW551_04543
BSU33940	RSUW551_02579
BSU32730	RSUW551_03184
BSU32730	RSUW551_01955
BSU33700	RSUW551_00715
BSU34910	RSUW551_02773
BSU33820	RSUW551_00715
BSU22480	RSUW551_02024
BSU27010	RSUW551_01969
BSU11240	RSUW551_01096
BSU38020	RSUW551_00154
BSU15600	RSUW551_03035
BSU15600	RSUW551_03014
BSU15600	RSUW551_03524
BSU37170	RSUW551_04066
BSU37170	RSUW551_00292
BSU15720	RSUW551_00125
BSU19520	RSUW551_04579
BSU36760	RSUW551_02775
BSU39350	RSUW551_02479
BSU35550	RSUW551_00467
BSU33370	RSUW551_01524
BSU36640	RSUW551_00959
BSU17460	RSUW551_04288
BSU17460	RSUW551_01605
BSU35670	RSUW551_02079
BSU35670	RSUW551_03399
BSU10270	RSUW551_00574
BSU10270	RSUW551_02676
BSU34900	RSUW551_02771
BSU30420	RSUW551_01265
BSU30540	RSUW551_00227
BSU33930	RSUW551_00613
BSU27260	RSUW551_02183
BSU28470	RSUW551_01705
BSU24310	RSUW551_01189
BSU29440	RSUW551_00851
BSU40340	RSUW551_00209
BSU29200	RSUW551_01707
BSU16540	RSUW551_01451
BSU29060	RSUW551_02645
BSU36830	RSUW551_03118
BSU03900	RSUW551_00054
BSU00510	RSUW551_00421
BSU30290	RSUW551_01597
BSU35740	RSUW551_00331
BSU32470	RSUW551_01389
BSU27430	RSUW551_02102
BSU27430	RSUW551_04315
BSU27430	RSUW551_00516
BSU27430	RSUW551_03209
BSU24040	RSUW551_01310
BSU24160	RSUW551_00259
BSU24280	RSUW551_02064
BSU00750	RSUW551_02704
BSU22420	RSUW551_00827
BSU24960	RSUW551_01107
BSU21690	RSUW551_02316
BSU09440	RSUW551_03477
BSU09440	RSUW551_00989
BSU02490	RSUW551_01794
BSU21900	RSUW551_02506
BSU00500	RSUW551_00226
BSU36820	RSUW551_03117
BSU16670	RSUW551_00761
BSU16550	RSUW551_01450
BSU34880	RSUW551_02769
BSU32460	RSUW551_01976
BSU24170	RSUW551_01227
BSU15900	RSUW551_01826
BSU22430	RSUW551_02465
BSU02480	RSUW551_04217
BSU00180	RSUW551_01408
BSU22670	RSUW551_02706
BSU22670	RSUW551_04091
BSU25020	RSUW551_00702
BSU00730	RSUW551_02183
BSU34790	RSUW551_00873
BSU13170	RSUW551_01408
BSU17890	RSUW551_02580
BSU33900	RSUW551_01749
BSU03320	RSUW551_04616
BSU15910	RSUW551_01825
BSU28540	RSUW551_01346
BSU29990	RSUW551_03393
BSU40420	RSUW551_01643
BSU14830	RSUW551_04543
BSU13180	RSUW551_04086
BSU31150	RSUW551_02380
BSU28310	RSUW551_00913
BSU30980	RSUW551_03755
BSU01370	RSUW551_00695
BSU36470	RSUW551_01635
BSU40850	RSUW551_04376
BSU13110	RSUW551_01066
BSU28290	RSUW551_00915
BSU22620	RSUW551_02195
BSU35940	RSUW551_01621
BSU35940	RSUW551_03339
BSU32430	RSUW551_01978
BSU18000	RSUW551_00986
BSU22060	RSUW551_01978
BSU23270	RSUW551_02365
BSU00790	RSUW551_02463
BSU06530	RSUW551_02030
BSU08830	RSUW551_00406
BSU08710	RSUW551_02415
BSU28280	RSUW551_00918
BSU29130	RSUW551_00743
BSU21770	RSUW551_00481
BSU24120	RSUW551_00990
BSU24120	RSUW551_03478
BSU04470	RSUW551_00356
BSU13120	RSUW551_02635
BSU16510	RSUW551_01454
BSU37790	RSUW551_00512
BSU39730	RSUW551_01618
BSU12950	RSUW551_01055
BSU12950	RSUW551_02686
BSU39050	RSUW551_04781
BSU18250	RSUW551_00473
BSU23280	RSUW551_02364
BSU22070	RSUW551_00444
BSU36900	RSUW551_02351
BSU06520	RSUW551_00538
BSU33510	RSUW551_03148
BSU08820	RSUW551_04781
BSU22750	RSUW551_00490
BSU23960	RSUW551_02102
BSU23960	RSUW551_04315
BSU23960	RSUW551_00516
BSU23960	RSUW551_03209
BSU29020	RSUW551_02579
BSU29140	RSUW551_03477
BSU29140	RSUW551_00989
BSU24130	RSUW551_00987
BSU38550	RSUW551_03912
BSU13130	RSUW551_02571
BSU36370	RSUW551_01445
BSU34190	RSUW551_01897
BSU12840	RSUW551_01547
BSU32450	RSUW551_01981
BSU34870	RSUW551_02768
BSU18260	RSUW551_04066
BSU18260	RSUW551_00292
BSU15790	RSUW551_02701
BSU37100	RSUW551_02775
BSU39760	RSUW551_04460
BSU24140	RSUW551_03477
BSU24140	RSUW551_00989
BSU16090	RSUW551_00596
BSU00770	RSUW551_01102
BSU07840	RSUW551_03164
BSU36810	RSUW551_03116
BSU22640	RSUW551_01008
BSU23850	RSUW551_04756
BSU00090	RSUW551_01428
BSU23970	RSUW551_03933
BSU14900	RSUW551_02737
BSU40070	RSUW551_04579
BSU02390	RSUW551_03912
BSU39750	RSUW551_01616
BSU18830	RSUW551_00375
BSU16530	RSUW551_01452
BSU34860	RSUW551_02767
BSU35950	RSUW551_01620
BSU32440	RSUW551_01978
BSU03910	RSUW551_02372
BSU03910	RSUW551_03256
BSU03910	RSUW551_00055
BSU03910	RSUW551_04412
BSU03910	RSUW551_04804
BSU19360	RSUW551_01592
BSU10790	RSUW551_00227
BSU14590	RSUW551_01310
BSU15680	RSUW551_01996
BSU16770	RSUW551_01732
BSU24150	RSUW551_04066
BSU24150	RSUW551_00292
BSU24270	RSUW551_02063
BSU36800	RSUW551_04198
BSU36800	RSUW551_03115
BSU06500	RSUW551_02458
BSU24950	RSUW551_01107
BSU22410	RSUW551_02561
BSU08000	RSUW551_02593
BSU22890	RSUW551_02192
BSU21680	RSUW551_01289
BSU03590	RSUW551_02102
BSU03590	RSUW551_04315
BSU03590	RSUW551_00516
BSU03590	RSUW551_03209
