BSU09290	YPO3312
BSU11240	YPO0482
BSU38020	YPO2859
BSU15600	YPO3364
BSU19520	YPO3954
BSU36760	YPO3569
BSU33370	YPO3015
BSU17460	YPO0024
BSU35670	YPO1540
BSU35670	YPO1539
BSU10270	YPO2074
BSU34900	YPO1546
BSU03990	YPO4067
BSU30540	YPO4118
BSU33930	YPO0921
BSU27260	YPO3011
BSU24310	YPO2824
BSU29440	YPO3924
BSU29200	YPO1060
BSU37120	YPO0844
BSU29060	YPO3430
BSU29180	YPO2393
BSU36830	YPO4123
BSU03900	YPO2844
BSU00510	YPO2013
BSU33440	YPO3372
BSU30290	YPO3795
BSU34890	YPO1545
BSU07700	YPO1608
BSU07700	YPO2628
BSU27430	YPO2514
BSU27430	YPO2612
BSU27430	YPO2777
BSU24280	YPO3176
BSU30970	YPO3940
BSU00750	YPO0169
BSU22420	YPO3402
BSU29050	YPO0676
BSU24960	YPO4114
BSU21690	YPO3525
BSU39410	YPO2983
BSU29190	YPO0078
BSU00500	YPO4119
BSU33430	YPO3371
BSU36820	YPO4122
BSU16670	YPO0474
BSU16550	YPO1048
BSU38200	YPO1137
BSU07810	YPO3696
BSU15900	YPO1598
BSU22430	YPO3401
BSU23760	YPO3758
BSU07490	YPO3392
BSU22670	YPO2206
BSU02360	YPO2627
BSU25020	YPO4061
BSU21910	YPO3727
BSU00730	YPO3011
BSU10220	YPO0254
BSU30070	YPO1168
BSU12080	YPO3168
BSU34790	YPO1374
BSU17890	YPO0926
BSU33900	YPO3376
BSU07800	YPO3697
BSU02350	YPO1608
BSU02350	YPO2628
BSU02230	YPO1775
BSU15910	YPO1599
BSU28780	YPO3326
BSU27330	YPO1524
BSU40420	YPO0378
BSU13180	YPO3788
BSU39670	YPO0844
BSU28310	YPO2293
BSU02340	YPO0254
BSU30980	YPO3942
BSU01370	YPO3118
BSU35940	YPO3964
BSU35940	YPO2256
BSU35940	YPO4036
BSU35940	YPO0958
BSU35940	YPO1508
BSU35940	YPO3907
BSU17390	YPO2648
BSU18000	YPO2221
BSU35020	YPO2627
BSU00790	YPO3400
BSU06530	YPO3729
BSU03820	YPO3392
BSU33400	YPO0676
BSU08710	YPO3389
BSU28280	YPO0533
BSU29130	YPO1641
BSU04470	YPO3992
BSU13120	YPO3222
BSU16510	YPO1046
BSU12950	YPO4000
BSU17600	YPO4038
BSU39050	YPO1207
BSU16990	YPO0060
BSU12390	YPO0581
BSU38760	YPO1117
BSU23280	YPO3183
BSU22070	YPO3123
BSU30800	YPO2525
BSU36900	YPO2907
BSU34600	YPO3715
BSU06520	YPO3728
BSU35930	YPO0007
BSU08820	YPO1207
BSU22750	YPO3781
BSU23960	YPO2514
BSU23960	YPO2612
BSU23960	YPO2777
BSU29020	YPO2157
BSU40040	YPO3980
BSU13130	YPO3221
BSU15550	YPO2227
BSU36370	YPO1055
BSU34870	YPO1543
BSU15790	YPO0155
BSU11190	YPO3927
BSU37100	YPO3569
BSU16090	YPO1115
BSU00770	YPO3501
BSU07840	YPO3530
BSU36810	YPO4121
BSU22640	YPO2204
BSU23850	YPO2066
BSU00090	YPO2871
BSU14900	YPO3165
BSU40070	YPO3954
BSU16530	YPO1049
BSU23500	YPO0439
BSU34860	YPO1542
BSU35950	YPO2499
BSU03910	YPO1290
BSU19360	YPO1114
BSU10790	YPO4118
BSU15680	YPO0040
BSU16770	YPO3062
BSU30940	YPO3938
BSU29600	YPO3202
BSU24270	YPO3177
BSU36920	YPO3353
BSU36800	YPO4120
BSU06500	YPO2828
BSU24950	YPO4114
BSU22410	YPO3403
BSU08000	YPO3837
BSU23860	YPO1541
BSU22890	YPO1391
BSU21680	YPO2158
BSU26690	YPO3202
BSU03590	YPO2514
BSU03590	YPO2612
BSU03590	YPO2777
