XFCFBP8418_017690	BSU36510
XFCFBP8418_025440	BSU15020
XFCFBP8418_020270	BSU34870
XFCFBP8418_004100	BSU33370
XFCFBP8418_008660	BSU35920
XFCFBP8418_003010	BSU01770
XFCFBP8418_018110	BSU22830
XFCFBP8418_021500	BSU28270
XFCFBP8418_011280	BSU15190
XFCFBP8418_010590	BSU11880
XFCFBP8418_010590	BSU11870
XFCFBP8418_010590	BSU27250
XFCFBP8418_017940	BSU11330
XFCFBP8418_017820	BSU13110
XFCFBP8418_014550	BSU24350
XFCFBP8418_010500	BSU32750
XFCFBP8418_002170	BSU14610
XFCFBP8418_026760	BSU15790
XFCFBP8418_020260	BSU34860
XFCFBP8418_004870	BSU22890
XFCFBP8418_009760	BSU23250
XFCFBP8418_025950	BSU28560
XFCFBP8418_025950	BSU10270
XFCFBP8418_003020	BSU29210
XFCFBP8418_023650	BSU36800
XFCFBP8418_027850	BSU08790
XFCFBP8418_006650	BSU06500
XFCFBP8418_020780	BSU31760
XFCFBP8418_001240	BSU38550
XFCFBP8418_001240	BSU02390
XFCFBP8418_020320	BSU34910
XFCFBP8418_019450	BSU24950
XFCFBP8418_019450	BSU24960
XFCFBP8418_020600	BSU24270
XFCFBP8418_018480	BSU28150
XFCFBP8418_020720	BSU09290
XFCFBP8418_003700	BSU38160
XFCFBP8418_003700	BSU14900
XFCFBP8418_017710	BSU17460
XFCFBP8418_011970	BSU16100
XFCFBP8418_014560	BSU24340
XFCFBP8418_010510	BSU32740
XFCFBP8418_011960	BSU16090
XFCFBP8418_022190	BSU00910
XFCFBP8418_025100	BSU04360
XFCFBP8418_000560	BSU27860
XFCFBP8418_024890	BSU36370
XFCFBP8418_025220	BSU13130
XFCFBP8418_003830	BSU22640
XFCFBP8418_002100	BSU33040
XFCFBP8418_020290	BSU34890
XFCFBP8418_026550	BSU22420
XFCFBP8418_023960	BSU15520
XFCFBP8418_023960	BSU11240
XFCFBP8418_009770	BSU23260
XFCFBP8418_021520	BSU28260
XFCFBP8418_019220	BSU08710
XFCFBP8418_019220	BSU28120
XFCFBP8418_011060	BSU33930
XFCFBP8418_003710	BSU38150
XFCFBP8418_004800	BSU35670
XFCFBP8418_016510	BSU08790
XFCFBP8418_013360	BSU18450
XFCFBP8418_024080	BSU37190
XFCFBP8418_010520	BSU32730
XFCFBP8418_009820	BSU36900
XFCFBP8418_019180	BSU28130
XFCFBP8418_023670	BSU00500
XFCFBP8418_026540	BSU22410
XFCFBP8418_004930	BSU06980
XFCFBP8418_002870	BSU32170
XFCFBP8418_009780	BSU23270
XFCFBP8418_025570	BSU26860
XFCFBP8418_025570	BSU07610
XFCFBP8418_025570	BSU39060
XFCFBP8418_021130	BSU02750
XFCFBP8418_005980	BSU24280
XFCFBP8418_004770	BSU06360
XFCFBP8418_024760	BSU16510
XFCFBP8418_022220	BSU33900
