XFCFBP8418_005900	PP_1915
XFCFBP8418_014470	PP_1815
XFCFBP8418_012050	PP_1766
XFCFBP8418_015440	PP_5286
XFCFBP8418_015560	PP_0434
XFCFBP8418_015200	PP_4474
XFCFBP8418_004790	PP_1945
XFCFBP8418_004790	PP_2265
XFCFBP8418_000190	PP_3324
XFCFBP8418_002370	PP_2440
XFCFBP8418_025470	PP_5085
XFCFBP8418_026200	PP_1777
XFCFBP8418_025230	PP_0691
XFCFBP8418_026560	PP_4699
XFCFBP8418_001040	PP_4823
XFCFBP8418_014480	PP_3590
XFCFBP8418_014480	PP_1972
XFCFBP8418_013030	PP_5335
XFCFBP8418_015450	PP_5288
XFCFBP8418_005890	PP_1916
XFCFBP8418_003590	PP_4471
XFCFBP8418_003470	PP_1806
XFCFBP8418_003470	PP_0957
XFCFBP8418_004680	PP_0603
XFCFBP8418_002380	PP_2439
XFCFBP8418_001170	PP_0522
XFCFBP8418_026230	PP_0265
XFCFBP8418_026230	PP_1782
XFCFBP8418_002140	PP_4189
XFCFBP8418_013040	PP_5336
XFCFBP8418_015580	PP_0436
XFCFBP8418_012190	PP_4687
XFCFBP8418_012190	PP_2416
XFCFBP8418_004690	PP_0602
XFCFBP8418_003480	PP_0956
XFCFBP8418_003360	PP_4481
XFCFBP8418_002150	PP_4188
XFCFBP8418_007840	PP_4967
XFCFBP8418_027790	PP_1225
XFCFBP8418_007600	PP_0958
XFCFBP8418_026220	PP_1784
XFCFBP8418_006750	PP_4174
XFCFBP8418_017890	PP_4678
XFCFBP8418_013290	PP_4012
XFCFBP8418_015350	PP_5409
XFCFBP8418_015470	PP_5291
XFCFBP8418_020700	PP_1073
XFCFBP8418_019710	PP_4794
XFCFBP8418_002280	PP_0427
XFCFBP8418_007610	PP_0959
XFCFBP8418_026250	PP_1785
XFCFBP8418_004100	PP_4305
XFCFBP8418_004100	PP_5171
XFCFBP8418_004340	PP_1656
XFCFBP8418_003010	PP_4716
XFCFBP8418_014390	PP_2324
XFCFBP8418_014390	PP_3080
XFCFBP8418_017780	PP_4635
XFCFBP8418_016450	PP_1225
XFCFBP8418_015120	PP_1525
XFCFBP8418_002170	PP_4187
XFCFBP8418_002170	PP_5366
XFCFBP8418_002170	PP_4404
XFCFBP8418_027690	PP_1200
XFCFBP8418_004350	PP_0832
XFCFBP8418_007620	PP_0960
XFCFBP8418_026240	PP_1783
XFCFBP8418_003020	PP_1996
XFCFBP8418_006650	PP_1665
XFCFBP8418_015250	PP_2205
XFCFBP8418_015250	PP_5380
XFCFBP8418_020600	PP_0527
XFCFBP8418_020720	PP_1075
XFCFBP8418_019610	PP_4144
XFCFBP8418_006660	PP_1664
XFCFBP8418_026270	PP_4201
XFCFBP8418_004000	PP_0363
XFCFBP8418_015380	PP_0567
XFCFBP8418_015020	PP_1735
XFCFBP8418_020710	PP_1076
XFCFBP8418_019500	PP_0399
XFCFBP8418_009820	PP_0322
XFCFBP8418_009820	PP_0671
XFCFBP8418_004370	PP_4807
XFCFBP8418_004370	PP_3741
XFCFBP8418_026260	PP_4202
XFCFBP8418_016360	PP_1200
XFCFBP8418_015270	PP_0977
XFCFBP8418_017690	PP_5233
XFCFBP8418_015030	PP_4928
XFCFBP8418_015390	PP_4862
XFCFBP8418_018300	PP_5107
XFCFBP8418_004140	PP_2904
XFCFBP8418_009950	PP_0067
XFCFBP8418_006320	PP_3002
XFCFBP8418_006320	PP_0074
XFCFBP8418_020610	PP_3272
XFCFBP8418_020610	PP_2797
XFCFBP8418_020610	PP_1743
XFCFBP8418_016490	PP_0777
XFCFBP8418_016490	PP_1874
XFCFBP8418_019400	PP_0525
XFCFBP8418_008630	PP_5084
XFCFBP8418_025070	PP_4762
XFCFBP8418_005240	PP_0838
XFCFBP8418_006450	PP_1800
XFCFBP8418_010700	PP_5269
XFCFBP8418_008750	PP_5302
XFCFBP8418_007540	PP_1311
XFCFBP8418_022820	PP_1877
XFCFBP8418_019770	PP_4805
XFCFBP8418_026070	PP_1506
XFCFBP8418_005250	PP_0366
XFCFBP8418_004160	PP_5079
XFCFBP8418_006460	PP_1799
XFCFBP8418_003190	PP_0786
XFCFBP8418_011800	PP_2465
XFCFBP8418_010710	PP_4434
XFCFBP8418_010710	PP_5270
XFCFBP8418_009850	PP_2925
XFCFBP8418_009850	PP_0751
XFCFBP8418_009850	PP_1251
XFCFBP8418_007430	PP_1403
XFCFBP8418_020870	PP_4000
XFCFBP8418_020630	PP_4487
XFCFBP8418_020630	PP_4702
XFCFBP8418_021600	PP_2426
XFCFBP8418_023900	PP_1496
XFCFBP8418_026060	PP_0547
XFCFBP8418_004170	PP_5078
XFCFBP8418_009740	PP_0519
XFCFBP8418_008530	PP_5315
XFCFBP8418_008530	PP_5314
XFCFBP8418_008530	PP_5371
XFCFBP8418_020420	PP_4803
XFCFBP8418_023810	PP_4977
XFCFBP8418_019430	PP_2657
XFCFBP8418_021510	PP_1986
XFCFBP8418_020300	PP_0289
XFCFBP8418_024900	PP_1603
XFCFBP8418_010980	PP_4571
XFCFBP8418_010980	PP_1654
XFCFBP8418_010970	PP_2090
XFCFBP8418_010970	PP_3999
XFCFBP8418_004180	PP_5074
XFCFBP8418_008660	PP_2458
XFCFBP8418_007450	PP_0392
XFCFBP8418_008540	PP_4783
XFCFBP8418_021500	PP_1988
XFCFBP8418_019440	PP_2658
XFCFBP8418_019680	PP_0538
XFCFBP8418_010500	PP_0114
XFCFBP8418_004070	PP_5168
XFCFBP8418_012920	PP_0732
XFCFBP8418_009760	PP_0517
XFCFBP8418_020320	PP_0966
XFCFBP8418_019450	PP_5326
XFCFBP8418_019450	PP_2659
XFCFBP8418_018480	PP_0186
XFCFBP8418_019690	PP_0510
XFCFBP8418_011970	PP_4185
XFCFBP8418_010510	PP_0113
XFCFBP8418_010510	PP_0219
XFCFBP8418_010630	PP_1620
XFCFBP8418_011960	PP_4186
XFCFBP8418_005050	PP_4327
XFCFBP8418_005170	PP_1764
XFCFBP8418_004080	PP_5169
XFCFBP8418_023960	PP_4723
XFCFBP8418_009770	PP_0516
XFCFBP8418_009770	PP_3813
XFCFBP8418_021520	PP_1985
XFCFBP8418_024910	PP_1604
XFCFBP8418_020430	PP_3668
XFCFBP8418_019220	PP_4784
XFCFBP8418_000840	PP_4993
XFCFBP8418_010890	PP_0402
XFCFBP8418_010520	PP_0112
XFCFBP8418_005060	PP_4326
XFCFBP8418_005180	PP_1765
XFCFBP8418_004090	PP_5170
XFCFBP8418_009780	PP_0515
XFCFBP8418_025910	PP_2339
XFCFBP8418_023610	PP_5416
XFCFBP8418_011750	PP_2470
XFCFBP8418_011870	PP_0631
XFCFBP8418_005070	PP_4325
XFCFBP8418_009670	PP_1237
XFCFBP8418_007370	PP_1205
XFCFBP8418_009790	PP_0514
XFCFBP8418_007250	PP_0849
XFCFBP8418_024950	PP_4976
XFCFBP8418_023600	PP_5417
XFCFBP8418_019240	PP_1902
XFCFBP8418_000740	PP_1997
XFCFBP8418_001710	PP_3324
XFCFBP8418_010550	PP_0338
XFCFBP8418_011760	PP_2469
XFCFBP8418_010420	PP_4683
XFCFBP8418_014900	PP_4893
XFCFBP8418_007260	PP_1009
XFCFBP8418_000870	PP_0060
XFCFBP8418_023970	PP_4724
XFCFBP8418_020460	PP_0572
XFCFBP8418_021550	PP_2160
XFCFBP8418_024720	PP_1024
XFCFBP8418_019130	PP_4097
XFCFBP8418_002810	PP_5011
XFCFBP8418_001720	PP_0365
XFCFBP8418_003900	PP_1830
XFCFBP8418_019370	PP_0525
XFCFBP8418_000880	PP_0061
XFCFBP8418_007390	PP_4677
XFCFBP8418_009690	PP_1235
XFCFBP8418_022790	PP_2334
XFCFBP8418_000640	PP_4965
XFCFBP8418_023640	PP_5413
XFCFBP8418_025940	PP_2112
XFCFBP8418_024850	PP_1597
XFCFBP8418_021100	PP_1768
XFCFBP8418_023620	PP_5415
XFCFBP8418_024710	PP_1010
XFCFBP8418_024830	PP_1595
XFCFBP8418_001730	PP_4570
XFCFBP8418_001730	PP_2423
XFCFBP8418_002700	PP_1703
XFCFBP8418_012870	PP_0722
XFCFBP8418_010210	PP_1843
XFCFBP8418_010570	PP_0026
XFCFBP8418_012500	PP_4491
XFCFBP8418_000770	PP_2000
XFCFBP8418_007280	PP_4889
XFCFBP8418_000530	PP_0915
XFCFBP8418_000530	PP_0946
XFCFBP8418_024840	PP_1596
XFCFBP8418_023630	PP_5414
XFCFBP8418_026800	PP_1607
XFCFBP8418_011310	PP_1331
XFCFBP8418_011300	PP_1332
XFCFBP8418_014930	PP_4717
XFCFBP8418_000660	PP_0336
XFCFBP8418_020390	PP_4998
XFCFBP8418_002960	PP_1529
XFCFBP8418_024990	PP_1520
XFCFBP8418_022570	PP_2336
XFCFBP8418_020270	PP_0293
XFCFBP8418_025720	PP_4120
XFCFBP8418_024610	PP_4190
XFCFBP8418_003930	PP_4908
XFCFBP8418_007180	PP_0735
XFCFBP8418_010590	PP_4594
XFCFBP8418_010590	PP_2001
XFCFBP8418_010590	PP_0659
XFCFBP8418_010590	PP_1308
XFCFBP8418_012410	PP_5054
XFCFBP8418_012410	PP_2958
XFCFBP8418_010110	PP_1319
XFCFBP8418_012890	PP_0723
XFCFBP8418_011560	PP_1100
XFCFBP8418_020260	PP_5014
XFCFBP8418_020260	PP_3320
XFCFBP8418_024620	PP_4191
XFCFBP8418_025950	PP_4550
XFCFBP8418_025950	PP_4549
XFCFBP8418_022200	PP_1614
XFCFBP8418_021350	PP_2145
XFCFBP8418_023650	PP_5412
XFCFBP8418_022440	PP_2082
XFCFBP8418_027910	PP_1386
XFCFBP8418_003820	PP_0082
XFCFBP8418_003700	PP_0813
XFCFBP8418_010120	PP_1318
XFCFBP8418_015800	PP_1657
XFCFBP8418_000560	PP_0787
XFCFBP8418_024890	PP_1602
XFCFBP8418_003830	PP_0083
XFCFBP8418_022350	PP_4801
XFCFBP8418_002620	PP_5100
XFCFBP8418_001410	PP_5150
XFCFBP8418_000200	PP_0365
XFCFBP8418_025620	PP_4129
XFCFBP8418_024530	PP_4935
XFCFBP8418_022230	PP_1807
XFCFBP8418_022230	PP_1611
XFCFBP8418_027900	PP_1385
XFCFBP8418_003710	PP_0814
XFCFBP8418_004800	PP_3821
XFCFBP8418_015820	PP_0260
XFCFBP8418_010130	PP_1317
XFCFBP8418_015810	PP_0261
XFCFBP8418_000330	PP_1200
XFCFBP8418_024880	PP_1601
XFCFBP8418_023790	PP_0936
XFCFBP8418_019180	PP_2913
XFCFBP8418_019180	PP_3322
XFCFBP8418_023670	PP_5411
XFCFBP8418_003720	PP_0815
XFCFBP8418_001660	PP_2080
XFCFBP8418_004930	PP_1016
XFCFBP8418_002870	PP_5228
XFCFBP8418_000210	PP_4570
XFCFBP8418_000210	PP_2423
XFCFBP8418_024520	PP_1900
XFCFBP8418_024760	PP_1593
XFCFBP8418_022220	PP_1612
