XFCFBP8418_010140	RSBA7_00952
XFCFBP8418_011270	RSBA7_02540
XFCFBP8418_012360	RSBA7_01731
XFCFBP8418_014780	RSBA7_02505
XFCFBP8418_014540	RSBA7_02481
XFCFBP8418_026530	RSBA7_01564
XFCFBP8418_025440	RSBA7_00389
XFCFBP8418_002320	RSBA7_01833
XFCFBP8418_006920	RSBA7_02940
XFCFBP8418_004740	RSBA7_02516
XFCFBP8418_025680	RSBA7_01901
XFCFBP8418_004980	RSBA7_01543
XFCFBP8418_001470	RSBA7_02894
XFCFBP8418_000380	RSBA7_01201
XFCFBP8418_000140	RSBA7_04134
XFCFBP8418_001230	RSBA7_00512
XFCFBP8418_011280	RSBA7_02542
XFCFBP8418_010190	RSBA7_00535
XFCFBP8418_012130	RSBA7_01277
XFCFBP8418_017820	RSBA7_01768
XFCFBP8418_012370	RSBA7_01732
XFCFBP8418_014550	RSBA7_02482
XFCFBP8418_000390	RSBA7_00401
XFCFBP8418_023490	RSBA7_02774
XFCFBP8418_026760	RSBA7_02579
XFCFBP8418_022160	RSBA7_01676
XFCFBP8418_025670	RSBA7_01900
XFCFBP8418_024580	RSBA7_01074
XFCFBP8418_003660	RSBA7_01101
XFCFBP8418_002570	RSBA7_02602
XFCFBP8418_004750	RSBA7_00421
XFCFBP8418_002330	RSBA7_01146
XFCFBP8418_027850	RSBA7_00113
XFCFBP8418_001240	RSBA7_03436
XFCFBP8418_004990	RSBA7_02168
XFCFBP8418_011290	RSBA7_02543
XFCFBP8418_016500	RSBA7_01273
XFCFBP8418_015410	RSBA7_00246
XFCFBP8418_017830	RSBA7_00050
XFCFBP8418_012140	RSBA7_01275
XFCFBP8418_011050	RSBA7_00615
XFCFBP8418_014560	RSBA7_02483
XFCFBP8418_001490	RSBA7_03523
XFCFBP8418_023280	RSBA7_00338
XFCFBP8418_026790	RSBA7_02024
XFCFBP8418_022190	RSBA7_01590
XFCFBP8418_025220	RSBA7_02449
XFCFBP8418_002100	RSBA7_03564
XFCFBP8418_026550	RSBA7_02169
XFCFBP8418_023040	RSBA7_02224
XFCFBP8418_025460	RSBA7_00966
XFCFBP8418_000160	RSBA7_00015
XFCFBP8418_000160	RSBA7_03967
XFCFBP8418_000160	RSBA7_03966
XFCFBP8418_005850	RSBA7_01503
XFCFBP8418_002580	RSBA7_04746
XFCFBP8418_003670	RSBA7_00423
XFCFBP8418_012390	RSBA7_01734
XFCFBP8418_011060	RSBA7_00614
XFCFBP8418_016510	RSBA7_00113
XFCFBP8418_012150	RSBA7_00994
XFCFBP8418_014570	RSBA7_02056
XFCFBP8418_015420	RSBA7_02223
XFCFBP8418_000170	RSBA7_03968
XFCFBP8418_000170	RSBA7_00014
XFCFBP8418_000170	RSBA7_04846
XFCFBP8418_021090	RSBA7_00883
XFCFBP8418_025690	RSBA7_01902
XFCFBP8418_007800	RSBA7_00350
XFCFBP8418_026540	RSBA7_02439
XFCFBP8418_025450	RSBA7_00388
XFCFBP8418_003200	RSBA7_02127
XFCFBP8418_026780	RSBA7_00617
XFCFBP8418_023030	RSBA7_02225
XFCFBP8418_006950	RSBA7_02163
XFCFBP8418_003680	RSBA7_02517
XFCFBP8418_004770	RSBA7_01391
XFCFBP8418_001020	RSBA7_00358
XFCFBP8418_011070	RSBA7_01137
XFCFBP8418_017850	RSBA7_01241
XFCFBP8418_014340	RSBA7_02011
XFCFBP8418_015670	RSBA7_00439
XFCFBP8418_013010	RSBA7_02507
XFCFBP8418_015430	RSBA7_02240
XFCFBP8418_003690	RSBA7_02616
XFCFBP8418_026570	RSBA7_02340
XFCFBP8418_025480	RSBA7_00292
XFCFBP8418_007810	RSBA7_00349
XFCFBP8418_004300	RSBA7_03062
XFCFBP8418_001030	RSBA7_00511
XFCFBP8418_027660	RSBA7_02009
XFCFBP8418_004540	RSBA7_01294
XFCFBP8418_006960	RSBA7_00980
XFCFBP8418_003210	RSBA7_01624
XFCFBP8418_002360	RSBA7_02399
XFCFBP8418_004780	RSBA7_01389
XFCFBP8418_005870	RSBA7_01500
XFCFBP8418_003450	RSBA7_02714
XFCFBP8418_002120	RSBA7_02428
XFCFBP8418_015680	RSBA7_04979
XFCFBP8418_013260	RSBA7_01152
XFCFBP8418_015440	RSBA7_02242
XFCFBP8418_017620	RSBA7_00423
XFCFBP8418_013020	RSBA7_02603
XFCFBP8418_015200	RSBA7_00845
XFCFBP8418_017860	RSBA7_04462
XFCFBP8418_004790	RSBA7_01645
XFCFBP8418_002370	RSBA7_03263
XFCFBP8418_025470	RSBA7_02464
XFCFBP8418_025470	RSBA7_01963
XFCFBP8418_007820	RSBA7_02511
XFCFBP8418_023050	RSBA7_02821
XFCFBP8418_023290	RSBA7_00340
XFCFBP8418_025230	RSBA7_02513
XFCFBP8418_026560	RSBA7_02342
XFCFBP8418_003220	RSBA7_02060
XFCFBP8418_003220	RSBA7_02759
XFCFBP8418_002130	RSBA7_01105
XFCFBP8418_001040	RSBA7_02010
XFCFBP8418_004310	RSBA7_03063
XFCFBP8418_003460	RSBA7_02715
XFCFBP8418_004550	RSBA7_03327
XFCFBP8418_013270	RSBA7_01151
XFCFBP8418_013030	RSBA7_00619
XFCFBP8418_015450	RSBA7_00744
XFCFBP8418_016300	RSBA7_00401
XFCFBP8418_005890	RSBA7_01026
XFCFBP8418_003470	RSBA7_00413
XFCFBP8418_027680	RSBA7_00508
XFCFBP8418_002380	RSBA7_03262
XFCFBP8418_023080	RSBA7_00722
XFCFBP8418_002140	RSBA7_01238
XFCFBP8418_003230	RSBA7_02243
XFCFBP8418_013040	RSBA7_00618
XFCFBP8418_016310	RSBA7_01201
XFCFBP8418_003480	RSBA7_00412
XFCFBP8418_002150	RSBA7_01239
XFCFBP8418_007840	RSBA7_00132
XFCFBP8418_027670	RSBA7_00510
XFCFBP8418_007600	RSBA7_02723
XFCFBP8418_026580	RSBA7_02339
XFCFBP8418_003240	RSBA7_02244
XFCFBP8418_017890	RSBA7_01919
XFCFBP8418_015470	RSBA7_00137
XFCFBP8418_014140	RSBA7_00005
XFCFBP8418_015230	RSBA7_01646
XFCFBP8418_003250	RSBA7_02432
XFCFBP8418_007610	RSBA7_02722
XFCFBP8418_004100	RSBA7_01304
XFCFBP8418_004340	RSBA7_01668
XFCFBP8418_003010	RSBA7_01740
XFCFBP8418_006760	RSBA7_00168
XFCFBP8418_014390	RSBA7_02371
XFCFBP8418_014390	RSBA7_00794
XFCFBP8418_017660	RSBA7_01230
XFCFBP8418_016330	RSBA7_02009
XFCFBP8418_007860	RSBA7_04351
XFCFBP8418_002170	RSBA7_01240
XFCFBP8418_003260	RSBA7_02431
XFCFBP8418_027690	RSBA7_01616
XFCFBP8418_027690	RSBA7_03688
XFCFBP8418_004350	RSBA7_02420
XFCFBP8418_007620	RSBA7_02721
XFCFBP8418_004590	RSBA7_00197
XFCFBP8418_004590	RSBA7_00199
XFCFBP8418_008710	RSBA7_04090
XFCFBP8418_009800	RSBA7_00781
XFCFBP8418_026360	RSBA7_01581
XFCFBP8418_003020	RSBA7_01821
XFCFBP8418_016340	RSBA7_00510
XFCFBP8418_020840	RSBA7_03022
XFCFBP8418_020600	RSBA7_02042
XFCFBP8418_019610	RSBA7_01752
XFCFBP8418_018520	RSBA7_02608
XFCFBP8418_004360	RSBA7_00068
XFCFBP8418_016350	RSBA7_00508
XFCFBP8418_008730	RSBA7_02419
XFCFBP8418_006790	RSBA7_02354
XFCFBP8418_009820	RSBA7_00782
XFCFBP8418_004370	RSBA7_00067
XFCFBP8418_007880	RSBA7_01267
XFCFBP8418_020740	RSBA7_04479
XFCFBP8418_015390	RSBA7_00783
XFCFBP8418_018420	RSBA7_00739
XFCFBP8418_009950	RSBA7_00077
XFCFBP8418_026290	RSBA7_00281
XFCFBP8418_009710	RSBA7_01284
XFCFBP8418_020730	RSBA7_03241
XFCFBP8418_016490	RSBA7_02384
XFCFBP8418_008630	RSBA7_02737
XFCFBP8418_004030	RSBA7_00953
XFCFBP8418_003180	RSBA7_02120
XFCFBP8418_010700	RSBA7_01333
XFCFBP8418_009960	RSBA7_00075
XFCFBP8418_018440	RSBA7_02392
XFCFBP8418_020760	RSBA7_04118
XFCFBP8418_019770	RSBA7_00897
XFCFBP8418_018680	RSBA7_00892
XFCFBP8418_021610	RSBA7_00870
XFCFBP8418_026070	RSBA7_02298
XFCFBP8418_004040	RSBA7_02036
XFCFBP8418_003190	RSBA7_02121
XFCFBP8418_011800	RSBA7_01666
XFCFBP8418_010710	RSBA7_00905
XFCFBP8418_020510	RSBA7_01027
XFCFBP8418_018450	RSBA7_02391
XFCFBP8418_019780	RSBA7_02941
XFCFBP8418_021600	RSBA7_04366
XFCFBP8418_021600	RSBA7_01950
XFCFBP8418_018690	RSBA7_00833
XFCFBP8418_018690	RSBA7_01678
XFCFBP8418_015180	RSBA7_01272
XFCFBP8418_010720	RSBA7_01541
XFCFBP8418_026060	RSBA7_02478
XFCFBP8418_009980	RSBA7_00073
XFCFBP8418_009740	RSBA7_02465
XFCFBP8418_007320	RSBA7_02590
XFCFBP8418_023810	RSBA7_00100
XFCFBP8418_020540	RSBA7_01032
XFCFBP8418_020300	RSBA7_02710
XFCFBP8418_015190	RSBA7_00574
XFCFBP8418_024900	RSBA7_01376
XFCFBP8418_010980	RSBA7_00896
XFCFBP8418_010970	RSBA7_02198
XFCFBP8418_005150	RSBA7_03900
XFCFBP8418_004060	RSBA7_00133
XFCFBP8418_008660	RSBA7_00986
XFCFBP8418_007330	RSBA7_00717
XFCFBP8418_020550	RSBA7_01033
XFCFBP8418_009750	RSBA7_00765
XFCFBP8418_020530	RSBA7_01030
XFCFBP8418_000700	RSBA7_05032
XFCFBP8418_016290	RSBA7_00385
XFCFBP8418_010500	RSBA7_00899
XFCFBP8418_004070	RSBA7_01311
XFCFBP8418_006490	RSBA7_03305
XFCFBP8418_012920	RSBA7_02599
XFCFBP8418_009760	RSBA7_00766
XFCFBP8418_020780	RSBA7_01529
XFCFBP8418_020320	RSBA7_02712
XFCFBP8418_024920	RSBA7_01378
XFCFBP8418_019330	RSBA7_00423
XFCFBP8418_018480	RSBA7_02137
XFCFBP8418_011600	RSBA7_02303
XFCFBP8418_010510	RSBA7_00900
XFCFBP8418_005170	RSBA7_00876
XFCFBP8418_012930	RSBA7_02600
XFCFBP8418_004080	RSBA7_01310
XFCFBP8418_008680	RSBA7_02162
XFCFBP8418_020570	RSBA7_01035
XFCFBP8418_009770	RSBA7_00767
XFCFBP8418_022990	RSBA7_01121
XFCFBP8418_022990	RSBA7_01122
XFCFBP8418_024910	RSBA7_01377
XFCFBP8418_023820	RSBA7_02526
XFCFBP8418_019580	RSBA7_01767
XFCFBP8418_011610	RSBA7_01563
XFCFBP8418_010520	RSBA7_00901
XFCFBP8418_010520	RSBA7_03080
XFCFBP8418_005180	RSBA7_00877
XFCFBP8418_004090	RSBA7_01309
XFCFBP8418_012700	RSBA7_02784
XFCFBP8418_009780	RSBA7_00768
XFCFBP8418_008690	RSBA7_01279
XFCFBP8418_007360	RSBA7_03161
XFCFBP8418_007360	RSBA7_04473
XFCFBP8418_007360	RSBA7_04731
XFCFBP8418_007360	RSBA7_04424
XFCFBP8418_007360	RSBA7_04427
XFCFBP8418_022980	RSBA7_01265
XFCFBP8418_008210	RSBA7_02037
XFCFBP8418_000730	RSBA7_02099
XFCFBP8418_002910	RSBA7_03056
XFCFBP8418_019590	RSBA7_01754
XFCFBP8418_011870	RSBA7_02523
XFCFBP8418_011620	RSBA7_02292
XFCFBP8418_012710	RSBA7_02785
XFCFBP8418_007370	RSBA7_02510
XFCFBP8418_009790	RSBA7_00769
XFCFBP8418_024950	RSBA7_00102
XFCFBP8418_007130	RSBA7_03559
XFCFBP8418_023600	RSBA7_03017
XFCFBP8418_024930	RSBA7_00436
XFCFBP8418_019120	RSBA7_01043
XFCFBP8418_022510	RSBA7_03488
XFCFBP8418_000740	RSBA7_01820
XFCFBP8418_019360	RSBA7_01337
XFCFBP8418_018030	RSBA7_01159
XFCFBP8418_010550	RSBA7_01641
XFCFBP8418_011880	RSBA7_02522
XFCFBP8418_006050	RSBA7_01282
XFCFBP8418_012720	RSBA7_02794
XFCFBP8418_013810	RSBA7_00197
XFCFBP8418_013810	RSBA7_00199
XFCFBP8418_014900	RSBA7_01186
XFCFBP8418_007140	RSBA7_03563
XFCFBP8418_021670	RSBA7_00432
XFCFBP8418_020580	RSBA7_01036
XFCFBP8418_024720	RSBA7_04537
XFCFBP8418_019130	RSBA7_01044
XFCFBP8418_018040	RSBA7_01157
XFCFBP8418_018280	RSBA7_02393
XFCFBP8418_012740	RSBA7_02796
XFCFBP8418_010560	RSBA7_01639
XFCFBP8418_011890	RSBA7_02521
XFCFBP8418_012730	RSBA7_02795
XFCFBP8418_014910	RSBA7_01185
XFCFBP8418_007390	RSBA7_01917
XFCFBP8418_022790	RSBA7_01842
XFCFBP8418_022790	RSBA7_03218
XFCFBP8418_023640	RSBA7_03013
XFCFBP8418_021220	RSBA7_02347
XFCFBP8418_023620	RSBA7_03015
XFCFBP8418_024710	RSBA7_04882
XFCFBP8418_018050	RSBA7_01156
XFCFBP8418_012750	RSBA7_02797
XFCFBP8418_011420	RSBA7_00429
XFCFBP8418_014920	RSBA7_02326
XFCFBP8418_000770	RSBA7_01817
XFCFBP8418_007160	RSBA7_03973
XFCFBP8418_018290	RSBA7_01108
XFCFBP8418_000530	RSBA7_02291
XFCFBP8418_023630	RSBA7_03014
XFCFBP8418_021210	RSBA7_02346
XFCFBP8418_003800	RSBA7_01334
XFCFBP8418_001620	RSBA7_04396
XFCFBP8418_014940	RSBA7_01742
XFCFBP8418_012520	RSBA7_01013
XFCFBP8418_010100	RSBA7_02685
XFCFBP8418_014930	RSBA7_01741
XFCFBP8418_020390	RSBA7_00726
XFCFBP8418_022570	RSBA7_03216
XFCFBP8418_023420	RSBA7_02767
XFCFBP8418_021240	RSBA7_02360
XFCFBP8418_023660	RSBA7_04745
XFCFBP8418_023400	RSBA7_02765
XFCFBP8418_007180	RSBA7_00351
XFCFBP8418_012770	RSBA7_02798
XFCFBP8418_006090	RSBA7_03776
XFCFBP8418_014950	RSBA7_01743
XFCFBP8418_010110	RSBA7_02686
XFCFBP8418_023890	RSBA7_00636
XFCFBP8418_023890	RSBA7_02278
XFCFBP8418_000310	RSBA7_00784
XFCFBP8418_021230	RSBA7_02351
XFCFBP8418_020140	RSBA7_02484
XFCFBP8418_023410	RSBA7_02766
XFCFBP8418_022560	RSBA7_03215
XFCFBP8418_023650	RSBA7_03012
XFCFBP8418_023650	RSBA7_03982
XFCFBP8418_001400	RSBA7_02184
XFCFBP8418_003820	RSBA7_01822
XFCFBP8418_007190	RSBA7_01184
XFCFBP8418_014960	RSBA7_01744
XFCFBP8418_012540	RSBA7_01012
XFCFBP8418_011210	RSBA7_02534
XFCFBP8418_010120	RSBA7_02687
XFCFBP8418_012780	RSBA7_02799
XFCFBP8418_023680	RSBA7_01951
XFCFBP8418_000560	RSBA7_02227
XFCFBP8418_003830	RSBA7_01824
XFCFBP8418_022350	RSBA7_00285
XFCFBP8418_001410	RSBA7_01198
XFCFBP8418_000320	RSBA7_00507
XFCFBP8418_021260	RSBA7_02455
XFCFBP8418_023200	RSBA7_01574
XFCFBP8418_025620	RSBA7_01895
XFCFBP8418_024530	RSBA7_02019
XFCFBP8418_023440	RSBA7_02769
XFCFBP8418_025600	RSBA7_01893
XFCFBP8418_012310	RSBA7_03746
XFCFBP8418_011220	RSBA7_02535
XFCFBP8418_012790	RSBA7_02800
XFCFBP8418_010130	RSBA7_02688
XFCFBP8418_000330	RSBA7_01616
XFCFBP8418_000330	RSBA7_03688
XFCFBP8418_002750	RSBA7_02320
XFCFBP8418_019180	RSBA7_02750
XFCFBP8418_023670	RSBA7_00170
XFCFBP8418_001660	RSBA7_04134
XFCFBP8418_002510	RSBA7_02886
XFCFBP8418_021250	RSBA7_02362
XFCFBP8418_025610	RSBA7_01894
XFCFBP8418_024520	RSBA7_02295
XFCFBP8418_024760	RSBA7_01366
XFCFBP8418_023430	RSBA7_02768
XFCFBP8418_007090	RSBA7_03563
XFCFBP8418_005900	RSBA7_01025
XFCFBP8418_012440	RSBA7_02268
XFCFBP8418_011590	RSBA7_02302
XFCFBP8418_012680	RSBA7_02803
XFCFBP8418_012680	RSBA7_02782
XFCFBP8418_015700	RSBA7_00695
XFCFBP8418_025760	RSBA7_01909
XFCFBP8418_021160	RSBA7_00936
XFCFBP8418_024670	RSBA7_01236
XFCFBP8418_027940	RSBA7_04134
XFCFBP8418_023340	RSBA7_02757
XFCFBP8418_022490	RSBA7_04461
XFCFBP8418_023580	RSBA7_03019
XFCFBP8418_026610	RSBA7_02423
XFCFBP8418_001790	RSBA7_03025
XFCFBP8418_005910	RSBA7_01024
XFCFBP8418_012210	RSBA7_01621
XFCFBP8418_013300	RSBA7_00352
XFCFBP8418_015720	RSBA7_01076
XFCFBP8418_012690	RSBA7_02783
XFCFBP8418_012690	RSBA7_03989
XFCFBP8418_005920	RSBA7_01023
XFCFBP8418_022240	RSBA7_01083
XFCFBP8418_002650	RSBA7_01976
XFCFBP8418_027930	RSBA7_04134
XFCFBP8418_021150	RSBA7_00935
XFCFBP8418_003740	RSBA7_02975
XFCFBP8418_003980	RSBA7_00372
XFCFBP8418_023330	RSBA7_02756
XFCFBP8418_012220	RSBA7_02312
XFCFBP8418_011130	RSBA7_03172
XFCFBP8418_011370	RSBA7_00755
XFCFBP8418_014880	RSBA7_02467
XFCFBP8418_017900	RSBA7_01921
XFCFBP8418_021180	RSBA7_01929
XFCFBP8418_003510	RSBA7_00409
XFCFBP8418_027720	RSBA7_00784
XFCFBP8418_003750	RSBA7_01220
XFCFBP8418_024690	RSBA7_04879
XFCFBP8418_023360	RSBA7_02761
XFCFBP8418_027960	RSBA7_04134
XFCFBP8418_026630	RSBA7_02421
XFCFBP8418_017920	RSBA7_03384
XFCFBP8418_014410	RSBA7_03563
XFCFBP8418_011380	RSBA7_00110
XFCFBP8418_014890	RSBA7_03186
XFCFBP8418_014890	RSBA7_03136
XFCFBP8418_012470	RSBA7_01071
XFCFBP8418_012470	RSBA7_03986
XFCFBP8418_013560	RSBA7_04236
XFCFBP8418_014650	RSBA7_00224
XFCFBP8418_004610	RSBA7_00197
XFCFBP8418_004610	RSBA7_00199
XFCFBP8418_027950	RSBA7_04134
XFCFBP8418_023350	RSBA7_02760
XFCFBP8418_021170	RSBA7_02186
XFCFBP8418_024680	RSBA7_04881
XFCFBP8418_005940	RSBA7_01642
XFCFBP8418_023590	RSBA7_03018
XFCFBP8418_027710	RSBA7_00507
XFCFBP8418_004850	RSBA7_00889
XFCFBP8418_003520	RSBA7_00408
XFCFBP8418_022260	RSBA7_00951
XFCFBP8418_003760	RSBA7_02397
XFCFBP8418_001340	RSBA7_00516
XFCFBP8418_026620	RSBA7_02422
XFCFBP8418_002670	RSBA7_01975
XFCFBP8418_025530	RSBA7_02693
XFCFBP8418_014420	RSBA7_03559
XFCFBP8418_017930	RSBA7_01916
XFCFBP8418_013570	RSBA7_04235
XFCFBP8418_014660	RSBA7_01136
XFCFBP8418_023380	RSBA7_02763
XFCFBP8418_025320	RSBA7_01124
XFCFBP8418_002200	RSBA7_00824
XFCFBP8418_003530	RSBA7_00407
XFCFBP8418_002680	RSBA7_02199
XFCFBP8418_003770	RSBA7_02786
XFCFBP8418_004860	RSBA7_00888
XFCFBP8418_026410	RSBA7_04176
XFCFBP8418_026410	RSBA7_03940
XFCFBP8418_027740	RSBA7_00786
XFCFBP8418_017700	RSBA7_00342
XFCFBP8418_017700	RSBA7_02124
XFCFBP8418_013100	RSBA7_03379
XFCFBP8418_017940	RSBA7_01022
XFCFBP8418_011160	RSBA7_00866
XFCFBP8418_013580	RSBA7_04234
XFCFBP8418_012250	RSBA7_01180
XFCFBP8418_013340	RSBA7_04782
XFCFBP8418_013340	RSBA7_02953
XFCFBP8418_015760	RSBA7_02974
XFCFBP8418_014430	RSBA7_00779
XFCFBP8418_021190	RSBA7_03491
XFCFBP8418_027730	RSBA7_00785
XFCFBP8418_006810	RSBA7_02701
XFCFBP8418_025550	RSBA7_00573
XFCFBP8418_023370	RSBA7_02762
XFCFBP8418_022040	RSBA7_00423
XFCFBP8418_025790	RSBA7_01699
XFCFBP8418_004870	RSBA7_00887
XFCFBP8418_002690	RSBA7_02200
XFCFBP8418_000270	RSBA7_03025
XFCFBP8418_003540	RSBA7_00405
XFCFBP8418_001120	RSBA7_01195
XFCFBP8418_013590	RSBA7_04233
XFCFBP8418_011170	RSBA7_02529
XFCFBP8418_014200	RSBA7_03129
XFCFBP8418_018800	RSBA7_03187
XFCFBP8418_017710	RSBA7_03891
XFCFBP8418_017710	RSBA7_01227
XFCFBP8418_014680	RSBA7_02396
XFCFBP8418_015770	RSBA7_02973
XFCFBP8418_017950	RSBA7_01020
XFCFBP8418_013350	RSBA7_05015
XFCFBP8418_014440	RSBA7_03561
XFCFBP8418_025580	RSBA7_01603
XFCFBP8418_023160	RSBA7_01571
XFCFBP8418_025100	RSBA7_04324
XFCFBP8418_026430	RSBA7_01913
XFCFBP8418_006820	RSBA7_02700
XFCFBP8418_025340	RSBA7_04525
XFCFBP8418_004400	RSBA7_00064
XFCFBP8418_003550	RSBA7_00403
XFCFBP8418_001130	RSBA7_01194
XFCFBP8418_012270	RSBA7_00045
XFCFBP8418_011180	RSBA7_02530
XFCFBP8418_010090	RSBA7_02684
XFCFBP8418_013360	RSBA7_02726
XFCFBP8418_016870	RSBA7_00791
XFCFBP8418_013120	RSBA7_02968
XFCFBP8418_014210	RSBA7_03128
XFCFBP8418_015540	RSBA7_00138
XFCFBP8418_000290	RSBA7_00785
XFCFBP8418_023390	RSBA7_02764
XFCFBP8418_026420	RSBA7_01912
XFCFBP8418_024000	RSBA7_02051
XFCFBP8418_006830	RSBA7_02699
XFCFBP8418_005980	RSBA7_02043
XFCFBP8418_015790	RSBA7_01383
XFCFBP8418_012280	RSBA7_01365
XFCFBP8418_013370	RSBA7_02394
XFCFBP8418_011190	RSBA7_02532
XFCFBP8418_016400	RSBA7_00786
XFCFBP8418_012040	RSBA7_00880
XFCFBP8418_014460	RSBA7_00580
XFCFBP8418_014460	RSBA7_00581
XFCFBP8418_015550	RSBA7_00149
XFCFBP8418_016880	RSBA7_00471
XFCFBP8418_015310	RSBA7_02193
XFCFBP8418_025360	RSBA7_00051
XFCFBP8418_023180	RSBA7_01572
XFCFBP8418_024030	RSBA7_01003
XFCFBP8418_025120	RSBA7_01426
XFCFBP8418_006600	RSBA7_00521
XFCFBP8418_003330	RSBA7_02749
XFCFBP8418_003570	RSBA7_00347
XFCFBP8418_004660	RSBA7_02221
XFCFBP8418_005990	RSBA7_02044
XFCFBP8418_012290	RSBA7_01364
XFCFBP8418_016890	RSBA7_01799
XFCFBP8418_013140	RSBA7_02822
XFCFBP8418_015560	RSBA7_00501
XFCFBP8418_017980	RSBA7_03207
XFCFBP8418_003580	RSBA7_00348
XFCFBP8418_001160	RSBA7_03781
XFCFBP8418_026440	RSBA7_01260
XFCFBP8418_006610	RSBA7_00518
XFCFBP8418_027770	RSBA7_00789
XFCFBP8418_003100	RSBA7_00150
XFCFBP8418_004670	RSBA7_02238
XFCFBP8418_017990	RSBA7_03208
XFCFBP8418_014480	RSBA7_00983
XFCFBP8418_014240	RSBA7_03127
XFCFBP8418_004680	RSBA7_02237
XFCFBP8418_001170	RSBA7_03616
XFCFBP8418_026470	RSBA7_01257
XFCFBP8418_026230	RSBA7_00733
XFCFBP8418_014490	RSBA7_02689
XFCFBP8418_015580	RSBA7_00502
XFCFBP8418_016430	RSBA7_00789
XFCFBP8418_015100	RSBA7_01352
XFCFBP8418_004690	RSBA7_02236
XFCFBP8418_003360	RSBA7_02214
XFCFBP8418_026460	RSBA7_01258
XFCFBP8418_024040	RSBA7_01685
XFCFBP8418_025370	RSBA7_00003
XFCFBP8418_023190	RSBA7_01573
XFCFBP8418_026220	RSBA7_00731
XFCFBP8418_015350	RSBA7_00171
XFCFBP8418_020700	RSBA7_02812
XFCFBP8418_019710	RSBA7_02452
XFCFBP8418_002280	RSBA7_02549
XFCFBP8418_001190	RSBA7_04676
XFCFBP8418_026250	RSBA7_00730
XFCFBP8418_009910	RSBA7_03268
XFCFBP8418_004220	RSBA7_02427
XFCFBP8418_012090	RSBA7_01358
XFCFBP8418_015120	RSBA7_01349
XFCFBP8418_007740	RSBA7_00500
XFCFBP8418_008830	RSBA7_02014
XFCFBP8418_009920	RSBA7_03269
XFCFBP8418_003380	RSBA7_02308
