XFCFBP8418_010140	RSBDBR229_04212
XFCFBP8418_016340	RSBDBR229_03012
XFCFBP8418_020840	RSBDBR229_00137
XFCFBP8418_020600	RSBDBR229_01318
XFCFBP8418_019610	RSBDBR229_04320
XFCFBP8418_018520	RSBDBR229_02797
XFCFBP8418_004360	RSBDBR229_00066
XFCFBP8418_027240	RSBDBR229_01974
XFCFBP8418_016350	RSBDBR229_03015
XFCFBP8418_016110	RSBDBR229_04771
XFCFBP8418_008730	RSBDBR229_02596
XFCFBP8418_006790	RSBDBR229_01109
XFCFBP8418_009820	RSBDBR229_04645
XFCFBP8418_004370	RSBDBR229_00065
XFCFBP8418_007880	RSBDBR229_01790
XFCFBP8418_020740	RSBDBR229_02418
XFCFBP8418_015390	RSBDBR229_04644
XFCFBP8418_016000	RSBDBR229_01431
XFCFBP8418_018420	RSBDBR229_03187
XFCFBP8418_009950	RSBDBR229_00075
XFCFBP8418_009710	RSBDBR229_01807
XFCFBP8418_020990	RSBDBR229_01979
XFCFBP8418_017340	RSBDBR229_01951
XFCFBP8418_016010	RSBDBR229_01429
XFCFBP8418_016490	RSBDBR229_01077
XFCFBP8418_008630	RSBDBR229_02877
XFCFBP8418_004030	RSBDBR229_04211
XFCFBP8418_003180	RSBDBR229_03684
XFCFBP8418_010700	RSBDBR229_01863
XFCFBP8418_009960	RSBDBR229_00073
XFCFBP8418_018440	RSBDBR229_01067
XFCFBP8418_020760	RSBDBR229_00568
XFCFBP8418_019770	RSBDBR229_04256
XFCFBP8418_018680	RSBDBR229_04261
XFCFBP8418_021610	RSBDBR229_03466
XFCFBP8418_026070	RSBDBR229_01165
XFCFBP8418_004040	RSBDBR229_01324
XFCFBP8418_003190	RSBDBR229_03685
XFCFBP8418_011800	RSBDBR229_01035
XFCFBP8418_010710	RSBDBR229_04248
XFCFBP8418_020510	RSBDBR229_04134
XFCFBP8418_018450	RSBDBR229_01068
XFCFBP8418_019780	RSBDBR229_03272
XFCFBP8418_021600	RSBDBR229_02071
XFCFBP8418_021600	RSBDBR229_02518
XFCFBP8418_021600	RSBDBR229_03540
XFCFBP8418_018690	RSBDBR229_01023
XFCFBP8418_018690	RSBDBR229_03902
XFCFBP8418_015180	RSBDBR229_01795
XFCFBP8418_010720	RSBDBR229_02313
XFCFBP8418_026060	RSBDBR229_02667
XFCFBP8418_009980	RSBDBR229_00071
XFCFBP8418_009740	RSBDBR229_02653
XFCFBP8418_007320	RSBDBR229_02779
XFCFBP8418_019310	RSBDBR229_01951
XFCFBP8418_023810	RSBDBR229_00094
XFCFBP8418_020540	RSBDBR229_04129
XFCFBP8418_020300	RSBDBR229_02849
XFCFBP8418_015190	RSBDBR229_00769
XFCFBP8418_024900	RSBDBR229_01909
XFCFBP8418_010980	RSBDBR229_04257
XFCFBP8418_010970	RSBDBR229_03765
XFCFBP8418_005150	RSBDBR229_03951
XFCFBP8418_005150	RSBDBR229_03949
XFCFBP8418_004060	RSBDBR229_03210
XFCFBP8418_008660	RSBDBR229_04175
XFCFBP8418_007330	RSBDBR229_03168
XFCFBP8418_020550	RSBDBR229_04128
XFCFBP8418_009750	RSBDBR229_03564
XFCFBP8418_020530	RSBDBR229_04131
XFCFBP8418_016290	RSBDBR229_00322
XFCFBP8418_010500	RSBDBR229_04254
XFCFBP8418_004070	RSBDBR229_01838
XFCFBP8418_006490	RSBDBR229_03418
XFCFBP8418_012920	RSBDBR229_02788
XFCFBP8418_009760	RSBDBR229_03563
XFCFBP8418_020780	RSBDBR229_04082
XFCFBP8418_020320	RSBDBR229_02851
XFCFBP8418_024920	RSBDBR229_01911
XFCFBP8418_019330	RSBDBR229_00285
XFCFBP8418_018480	RSBDBR229_03703
XFCFBP8418_011600	RSBDBR229_01160
XFCFBP8418_010510	RSBDBR229_04253
XFCFBP8418_005170	RSBDBR229_04277
XFCFBP8418_012930	RSBDBR229_02789
XFCFBP8418_004080	RSBDBR229_01837
XFCFBP8418_008680	RSBDBR229_03731
XFCFBP8418_020570	RSBDBR229_04126
XFCFBP8418_009770	RSBDBR229_03562
XFCFBP8418_022990	RSBDBR229_01584
XFCFBP8418_022990	RSBDBR229_01583
XFCFBP8418_024910	RSBDBR229_01910
XFCFBP8418_023820	RSBDBR229_02715
XFCFBP8418_019580	RSBDBR229_04396
XFCFBP8418_011610	RSBDBR229_00965
XFCFBP8418_010520	RSBDBR229_00198
XFCFBP8418_010520	RSBDBR229_04252
XFCFBP8418_005180	RSBDBR229_04276
XFCFBP8418_004090	RSBDBR229_01836
XFCFBP8418_012700	RSBDBR229_02924
XFCFBP8418_009780	RSBDBR229_03561
XFCFBP8418_008690	RSBDBR229_01802
XFCFBP8418_007360	RSBDBR229_03363
XFCFBP8418_022980	RSBDBR229_01733
XFCFBP8418_008210	RSBDBR229_01323
XFCFBP8418_000730	RSBDBR229_01260
XFCFBP8418_002910	RSBDBR229_00172
XFCFBP8418_019590	RSBDBR229_04322
XFCFBP8418_011870	RSBDBR229_02712
XFCFBP8418_011620	RSBDBR229_01172
XFCFBP8418_012710	RSBDBR229_02925
XFCFBP8418_007370	RSBDBR229_02699
XFCFBP8418_009790	RSBDBR229_03560
XFCFBP8418_024950	RSBDBR229_00096
XFCFBP8418_023600	RSBDBR229_00133
XFCFBP8418_024930	RSBDBR229_03134
XFCFBP8418_019120	RSBDBR229_04118
XFCFBP8418_000740	RSBDBR229_04460
XFCFBP8418_019360	RSBDBR229_01867
XFCFBP8418_018030	RSBDBR229_01620
XFCFBP8418_010550	RSBDBR229_00835
XFCFBP8418_011880	RSBDBR229_02711
XFCFBP8418_006050	RSBDBR229_01805
XFCFBP8418_012720	RSBDBR229_02934
XFCFBP8418_013810	RSBDBR229_00464
XFCFBP8418_014900	RSBDBR229_01647
XFCFBP8418_021670	RSBDBR229_03138
XFCFBP8418_020580	RSBDBR229_04125
XFCFBP8418_024720	RSBDBR229_02396
XFCFBP8418_019130	RSBDBR229_04117
XFCFBP8418_018040	RSBDBR229_01618
XFCFBP8418_018280	RSBDBR229_01066
XFCFBP8418_012740	RSBDBR229_02936
XFCFBP8418_010560	RSBDBR229_00837
XFCFBP8418_011890	RSBDBR229_02710
XFCFBP8418_012730	RSBDBR229_02935
XFCFBP8418_014910	RSBDBR229_01646
XFCFBP8418_007390	RSBDBR229_02254
XFCFBP8418_022790	RSBDBR229_03407
XFCFBP8418_022790	RSBDBR229_04482
XFCFBP8418_023640	RSBDBR229_00129
XFCFBP8418_021220	RSBDBR229_01116
XFCFBP8418_023620	RSBDBR229_00131
XFCFBP8418_024710	RSBDBR229_03974
XFCFBP8418_018050	RSBDBR229_01617
XFCFBP8418_012750	RSBDBR229_02937
XFCFBP8418_011420	RSBDBR229_03141
XFCFBP8418_014920	RSBDBR229_01137
XFCFBP8418_000770	RSBDBR229_04457
XFCFBP8418_007160	RSBDBR229_04526
XFCFBP8418_018290	RSBDBR229_01573
XFCFBP8418_000530	RSBDBR229_01173
XFCFBP8418_009100	RSBDBR229_01673
XFCFBP8418_023630	RSBDBR229_00130
XFCFBP8418_021210	RSBDBR229_01117
XFCFBP8418_003800	RSBDBR229_01864
XFCFBP8418_014940	RSBDBR229_04309
XFCFBP8418_012520	RSBDBR229_04148
XFCFBP8418_010100	RSBDBR229_02823
XFCFBP8418_014930	RSBDBR229_04308
XFCFBP8418_020390	RSBDBR229_03176
XFCFBP8418_022570	RSBDBR229_03405
XFCFBP8418_008260	RSBDBR229_01496
XFCFBP8418_023420	RSBDBR229_02907
XFCFBP8418_021240	RSBDBR229_01103
XFCFBP8418_023660	RSBDBR229_00639
XFCFBP8418_021000	RSBDBR229_01980
XFCFBP8418_023400	RSBDBR229_02905
XFCFBP8418_007180	RSBDBR229_00357
XFCFBP8418_012770	RSBDBR229_02938
XFCFBP8418_006090	RSBDBR229_02145
XFCFBP8418_014950	RSBDBR229_04310
XFCFBP8418_010110	RSBDBR229_02824
XFCFBP8418_023890	RSBDBR229_01186
XFCFBP8418_023890	RSBDBR229_00726
XFCFBP8418_000310	RSBDBR229_04643
XFCFBP8418_021230	RSBDBR229_01112
XFCFBP8418_020140	RSBDBR229_02673
XFCFBP8418_023410	RSBDBR229_02906
XFCFBP8418_022560	RSBDBR229_03404
XFCFBP8418_023650	RSBDBR229_04529
XFCFBP8418_023650	RSBDBR229_00128
XFCFBP8418_001400	RSBDBR229_03753
XFCFBP8418_003820	RSBDBR229_04462
XFCFBP8418_007190	RSBDBR229_01645
XFCFBP8418_014960	RSBDBR229_04311
XFCFBP8418_012540	RSBDBR229_04149
XFCFBP8418_011210	RSBDBR229_02723
XFCFBP8418_010120	RSBDBR229_02825
XFCFBP8418_012780	RSBDBR229_02939
XFCFBP8418_000560	RSBDBR229_03794
XFCFBP8418_003830	RSBDBR229_04464
XFCFBP8418_022350	RSBDBR229_00386
XFCFBP8418_001410	RSBDBR229_01659
XFCFBP8418_000320	RSBDBR229_03016
XFCFBP8418_021260	RSBDBR229_02632
XFCFBP8418_023200	RSBDBR229_00954
XFCFBP8418_025620	RSBDBR229_02232
XFCFBP8418_024530	RSBDBR229_01342
XFCFBP8418_024530	RSBDBR229_04208
XFCFBP8418_023440	RSBDBR229_02909
XFCFBP8418_025600	RSBDBR229_02230
XFCFBP8418_011220	RSBDBR229_02724
XFCFBP8418_012790	RSBDBR229_02940
XFCFBP8418_010130	RSBDBR229_02826
XFCFBP8418_000330	RSBDBR229_00857
XFCFBP8418_000330	RSBDBR229_04609
XFCFBP8418_002750	RSBDBR229_01143
XFCFBP8418_019180	RSBDBR229_02890
XFCFBP8418_023670	RSBDBR229_00503
XFCFBP8418_001660	RSBDBR229_04087
XFCFBP8418_002510	RSBDBR229_00670
XFCFBP8418_021250	RSBDBR229_01101
XFCFBP8418_025610	RSBDBR229_02231
XFCFBP8418_021010	RSBDBR229_01981
XFCFBP8418_024520	RSBDBR229_01168
XFCFBP8418_024760	RSBDBR229_01899
XFCFBP8418_023430	RSBDBR229_02908
XFCFBP8418_005900	RSBDBR229_04136
XFCFBP8418_012440	RSBDBR229_01194
XFCFBP8418_015950	RSBDBR229_01437
XFCFBP8418_011590	RSBDBR229_01161
XFCFBP8418_012680	RSBDBR229_02943
XFCFBP8418_012680	RSBDBR229_02922
XFCFBP8418_015700	RSBDBR229_03147
XFCFBP8418_025760	RSBDBR229_02246
XFCFBP8418_021160	RSBDBR229_04227
XFCFBP8418_024670	RSBDBR229_01704
XFCFBP8418_027940	RSBDBR229_04087
XFCFBP8418_023340	RSBDBR229_02897
XFCFBP8418_022490	RSBDBR229_00995
XFCFBP8418_023580	RSBDBR229_00135
XFCFBP8418_026610	RSBDBR229_02600
XFCFBP8418_001790	RSBDBR229_00140
XFCFBP8418_005910	RSBDBR229_04137
XFCFBP8418_009280	RSBDBR229_01958
XFCFBP8418_012210	RSBDBR229_00855
XFCFBP8418_013300	RSBDBR229_00356
XFCFBP8418_015720	RSBDBR229_01540
XFCFBP8418_012690	RSBDBR229_04536
XFCFBP8418_012690	RSBDBR229_02923
XFCFBP8418_005920	RSBDBR229_04138
XFCFBP8418_022240	RSBDBR229_01548
XFCFBP8418_002650	RSBDBR229_01389
XFCFBP8418_027930	RSBDBR229_04087
XFCFBP8418_021150	RSBDBR229_04228
XFCFBP8418_003740	RSBDBR229_00533
XFCFBP8418_003980	RSBDBR229_00337
XFCFBP8418_023330	RSBDBR229_02896
XFCFBP8418_012220	RSBDBR229_01151
XFCFBP8418_011130	RSBDBR229_03367
XFCFBP8418_011370	RSBDBR229_00548
XFCFBP8418_015970	RSBDBR229_01436
XFCFBP8418_014880	RSBDBR229_02655
XFCFBP8418_017900	RSBDBR229_02260
XFCFBP8418_021180	RSBDBR229_02268
XFCFBP8418_003510	RSBDBR229_00299
XFCFBP8418_027720	RSBDBR229_04643
XFCFBP8418_003750	RSBDBR229_01688
XFCFBP8418_024690	RSBDBR229_03971
XFCFBP8418_023360	RSBDBR229_02901
XFCFBP8418_027960	RSBDBR229_04087
XFCFBP8418_026630	RSBDBR229_02598
XFCFBP8418_024210	RSBDBR229_00941
XFCFBP8418_011380	RSBDBR229_00106
XFCFBP8418_014890	RSBDBR229_03379
XFCFBP8418_014890	RSBDBR229_03330
XFCFBP8418_012470	RSBDBR229_04533
XFCFBP8418_012470	RSBDBR229_03578
XFCFBP8418_012470	RSBDBR229_01535
XFCFBP8418_014650	RSBDBR229_00447
XFCFBP8418_015980	RSBDBR229_01434
XFCFBP8418_004610	RSBDBR229_00464
XFCFBP8418_027950	RSBDBR229_04087
XFCFBP8418_023350	RSBDBR229_02900
XFCFBP8418_021170	RSBDBR229_03755
XFCFBP8418_024680	RSBDBR229_03973
XFCFBP8418_005940	RSBDBR229_00834
XFCFBP8418_023590	RSBDBR229_00134
XFCFBP8418_027710	RSBDBR229_03016
XFCFBP8418_004850	RSBDBR229_04264
XFCFBP8418_003520	RSBDBR229_00300
XFCFBP8418_022260	RSBDBR229_04213
XFCFBP8418_003760	RSBDBR229_01062
XFCFBP8418_001340	RSBDBR229_03006
XFCFBP8418_026620	RSBDBR229_02599
XFCFBP8418_002670	RSBDBR229_01390
XFCFBP8418_025530	RSBDBR229_02831
XFCFBP8418_017930	RSBDBR229_02253
XFCFBP8418_014660	RSBDBR229_01598
XFCFBP8418_023380	RSBDBR229_02903
XFCFBP8418_025320	RSBDBR229_01586
XFCFBP8418_002200	RSBDBR229_03912
XFCFBP8418_003530	RSBDBR229_00301
XFCFBP8418_002680	RSBDBR229_03766
XFCFBP8418_003770	RSBDBR229_02926
XFCFBP8418_004860	RSBDBR229_04265
XFCFBP8418_026410	RSBDBR229_03486
XFCFBP8418_027740	RSBDBR229_04641
XFCFBP8418_017700	RSBDBR229_03689
XFCFBP8418_017700	RSBDBR229_00366
XFCFBP8418_017940	RSBDBR229_04139
XFCFBP8418_011160	RSBDBR229_03870
XFCFBP8418_012250	RSBDBR229_01641
XFCFBP8418_013340	RSBDBR229_03239
XFCFBP8418_015760	RSBDBR229_00534
XFCFBP8418_014430	RSBDBR229_04648
XFCFBP8418_021190	RSBDBR229_02101
XFCFBP8418_027730	RSBDBR229_04642
XFCFBP8418_024220	RSBDBR229_00940
XFCFBP8418_006810	RSBDBR229_02840
XFCFBP8418_025550	RSBDBR229_00770
XFCFBP8418_023370	RSBDBR229_02902
XFCFBP8418_022040	RSBDBR229_00285
XFCFBP8418_025790	RSBDBR229_00560
XFCFBP8418_004870	RSBDBR229_04266
XFCFBP8418_002690	RSBDBR229_03767
XFCFBP8418_000270	RSBDBR229_00140
XFCFBP8418_003540	RSBDBR229_00303
XFCFBP8418_026880	RSBDBR229_01974
XFCFBP8418_001120	RSBDBR229_01656
XFCFBP8418_011170	RSBDBR229_02718
XFCFBP8418_014200	RSBDBR229_03323
XFCFBP8418_018800	RSBDBR229_03380
XFCFBP8418_017710	RSBDBR229_03942
XFCFBP8418_017710	RSBDBR229_01695
XFCFBP8418_014680	RSBDBR229_01063
XFCFBP8418_015770	RSBDBR229_00535
XFCFBP8418_017950	RSBDBR229_04141
XFCFBP8418_025580	RSBDBR229_00873
XFCFBP8418_023160	RSBDBR229_00957
XFCFBP8418_025100	RSBDBR229_00650
XFCFBP8418_026430	RSBDBR229_02250
XFCFBP8418_006820	RSBDBR229_02839
XFCFBP8418_025340	RSBDBR229_02387
XFCFBP8418_004400	RSBDBR229_00062
XFCFBP8418_003550	RSBDBR229_00305
XFCFBP8418_003790	RSBDBR229_00978
XFCFBP8418_001130	RSBDBR229_01655
XFCFBP8418_012270	RSBDBR229_00043
XFCFBP8418_011180	RSBDBR229_02719
XFCFBP8418_010090	RSBDBR229_02822
XFCFBP8418_013360	RSBDBR229_02866
XFCFBP8418_016870	RSBDBR229_04636
XFCFBP8418_013120	RSBDBR229_03246
XFCFBP8418_014210	RSBDBR229_03322
XFCFBP8418_015540	RSBDBR229_03215
XFCFBP8418_000290	RSBDBR229_04642
XFCFBP8418_023390	RSBDBR229_02904
XFCFBP8418_024480	RSBDBR229_01974
XFCFBP8418_026420	RSBDBR229_02249
XFCFBP8418_024000	RSBDBR229_01308
XFCFBP8418_006830	RSBDBR229_02838
XFCFBP8418_005980	RSBDBR229_01317
XFCFBP8418_015790	RSBDBR229_01916
XFCFBP8418_012280	RSBDBR229_01898
XFCFBP8418_013370	RSBDBR229_01065
XFCFBP8418_011190	RSBDBR229_02721
XFCFBP8418_016400	RSBDBR229_04641
XFCFBP8418_012040	RSBDBR229_04273
XFCFBP8418_014460	RSBDBR229_00763
