XFCFBP8418_010140	RSCFB2957_00904
XFCFBP8418_012700	RSCFB2957_02831
XFCFBP8418_009780	RSCFB2957_00715
XFCFBP8418_008690	RSCFB2957_01289
XFCFBP8418_007360	RSCFB2957_05004
XFCFBP8418_007360	RSCFB2957_03827
XFCFBP8418_007360	RSCFB2957_04393
XFCFBP8418_007360	RSCFB2957_02326
XFCFBP8418_007360	RSCFB2957_03257
XFCFBP8418_007360	RSCFB2957_03542
XFCFBP8418_022980	RSCFB2957_01275
XFCFBP8418_008210	RSCFB2957_02117
XFCFBP8418_000730	RSCFB2957_02172
XFCFBP8418_002910	RSCFB2957_03133
XFCFBP8418_019590	RSCFB2957_01810
XFCFBP8418_011870	RSCFB2957_02625
XFCFBP8418_011620	RSCFB2957_02394
XFCFBP8418_012710	RSCFB2957_02832
XFCFBP8418_007370	RSCFB2957_02612
XFCFBP8418_009790	RSCFB2957_00716
XFCFBP8418_024950	RSCFB2957_00100
XFCFBP8418_007130	RSCFB2957_04567
XFCFBP8418_023600	RSCFB2957_03095
XFCFBP8418_024930	RSCFB2957_00392
XFCFBP8418_019120	RSCFB2957_00996
XFCFBP8418_022510	RSCFB2957_04637
XFCFBP8418_000740	RSCFB2957_01889
XFCFBP8418_019360	RSCFB2957_01346
XFCFBP8418_018030	RSCFB2957_01169
XFCFBP8418_010550	RSCFB2957_01699
XFCFBP8418_011880	RSCFB2957_02624
XFCFBP8418_006050	RSCFB2957_01292
XFCFBP8418_012720	RSCFB2957_02841
XFCFBP8418_013810	RSCFB2957_00199
XFCFBP8418_014900	RSCFB2957_01196
XFCFBP8418_007140	RSCFB2957_04563
XFCFBP8418_021670	RSCFB2957_00388
XFCFBP8418_020580	RSCFB2957_00989
XFCFBP8418_024720	RSCFB2957_04464
XFCFBP8418_019130	RSCFB2957_00997
XFCFBP8418_018040	RSCFB2957_01167
XFCFBP8418_018280	RSCFB2957_02497
XFCFBP8418_001600	RSCFB2957_03766
XFCFBP8418_012740	RSCFB2957_02843
XFCFBP8418_010560	RSCFB2957_01697
XFCFBP8418_011890	RSCFB2957_02623
XFCFBP8418_012730	RSCFB2957_02842
XFCFBP8418_014910	RSCFB2957_01195
XFCFBP8418_007390	RSCFB2957_01981
XFCFBP8418_022790	RSCFB2957_01911
XFCFBP8418_022790	RSCFB2957_03313
XFCFBP8418_023640	RSCFB2957_03091
XFCFBP8418_021220	RSCFB2957_02451
XFCFBP8418_023620	RSCFB2957_03093
XFCFBP8418_024710	RSCFB2957_04841
XFCFBP8418_001610	RSCFB2957_03767
XFCFBP8418_018050	RSCFB2957_01166
XFCFBP8418_012750	RSCFB2957_02844
XFCFBP8418_011420	RSCFB2957_00385
XFCFBP8418_014920	RSCFB2957_02429
XFCFBP8418_000770	RSCFB2957_01886
XFCFBP8418_007160	RSCFB2957_04063
XFCFBP8418_018290	RSCFB2957_01118
XFCFBP8418_000530	RSCFB2957_02393
XFCFBP8418_023630	RSCFB2957_03092
XFCFBP8418_021210	RSCFB2957_02450
XFCFBP8418_003800	RSCFB2957_01343
XFCFBP8418_001620	RSCFB2957_02991
XFCFBP8418_001620	RSCFB2957_03782
XFCFBP8418_001620	RSCFB2957_03009
XFCFBP8418_001620	RSCFB2957_03866
XFCFBP8418_001620	RSCFB2957_04964
XFCFBP8418_014940	RSCFB2957_01797
XFCFBP8418_012520	RSCFB2957_00966
XFCFBP8418_010100	RSCFB2957_02732
XFCFBP8418_014930	RSCFB2957_01796
XFCFBP8418_020390	RSCFB2957_00677
XFCFBP8418_022570	RSCFB2957_03311
XFCFBP8418_023420	RSCFB2957_02814
XFCFBP8418_021240	RSCFB2957_02464
XFCFBP8418_023660	RSCFB2957_03395
XFCFBP8418_023400	RSCFB2957_02812
XFCFBP8418_007180	RSCFB2957_00307
XFCFBP8418_012770	RSCFB2957_02845
XFCFBP8418_006090	RSCFB2957_04245
XFCFBP8418_014950	RSCFB2957_01798
XFCFBP8418_010110	RSCFB2957_02733
XFCFBP8418_023890	RSCFB2957_00559
XFCFBP8418_023890	RSCFB2957_02380
XFCFBP8418_000310	RSCFB2957_00731
XFCFBP8418_021230	RSCFB2957_02455
XFCFBP8418_020140	RSCFB2957_02586
XFCFBP8418_023410	RSCFB2957_02813
XFCFBP8418_022560	RSCFB2957_03310
XFCFBP8418_023650	RSCFB2957_04060
XFCFBP8418_023650	RSCFB2957_03090
XFCFBP8418_001400	RSCFB2957_02260
XFCFBP8418_003820	RSCFB2957_01891
XFCFBP8418_007190	RSCFB2957_01194
XFCFBP8418_014960	RSCFB2957_01799
XFCFBP8418_012540	RSCFB2957_00965
XFCFBP8418_011210	RSCFB2957_02636
XFCFBP8418_010120	RSCFB2957_02734
XFCFBP8418_012780	RSCFB2957_02846
XFCFBP8418_023680	RSCFB2957_00620
XFCFBP8418_023680	RSCFB2957_02013
XFCFBP8418_000560	RSCFB2957_02301
XFCFBP8418_003830	RSCFB2957_01893
XFCFBP8418_022350	RSCFB2957_00279
XFCFBP8418_001410	RSCFB2957_01208
XFCFBP8418_000320	RSCFB2957_00462
XFCFBP8418_021260	RSCFB2957_02557
XFCFBP8418_023200	RSCFB2957_01635
XFCFBP8418_025620	RSCFB2957_01959
XFCFBP8418_024530	RSCFB2957_02099
XFCFBP8418_023440	RSCFB2957_02816
XFCFBP8418_025600	RSCFB2957_01957
XFCFBP8418_012310	RSCFB2957_04275
XFCFBP8418_011220	RSCFB2957_02637
XFCFBP8418_012790	RSCFB2957_02847
XFCFBP8418_010130	RSCFB2957_02735
XFCFBP8418_000330	RSCFB2957_01677
XFCFBP8418_000330	RSCFB2957_04336
XFCFBP8418_002750	RSCFB2957_02423
XFCFBP8418_019180	RSCFB2957_02797
XFCFBP8418_023670	RSCFB2957_00171
XFCFBP8418_001660	RSCFB2957_03929
XFCFBP8418_002510	RSCFB2957_02930
XFCFBP8418_021250	RSCFB2957_02466
XFCFBP8418_025610	RSCFB2957_01958
XFCFBP8418_024520	RSCFB2957_02398
XFCFBP8418_024760	RSCFB2957_01375
XFCFBP8418_023430	RSCFB2957_02815
XFCFBP8418_007090	RSCFB2957_04563
XFCFBP8418_005900	RSCFB2957_00978
XFCFBP8418_012440	RSCFB2957_02370
XFCFBP8418_011590	RSCFB2957_02405
XFCFBP8418_012680	RSCFB2957_02829
XFCFBP8418_012680	RSCFB2957_02850
XFCFBP8418_013770	RSCFB2957_00201
XFCFBP8418_015700	RSCFB2957_00647
XFCFBP8418_025760	RSCFB2957_01973
XFCFBP8418_021160	RSCFB2957_00888
XFCFBP8418_024670	RSCFB2957_01246
XFCFBP8418_027940	RSCFB2957_03929
XFCFBP8418_023340	RSCFB2957_02804
XFCFBP8418_022490	RSCFB2957_04403
XFCFBP8418_023580	RSCFB2957_03097
XFCFBP8418_026610	RSCFB2957_02525
XFCFBP8418_001790	RSCFB2957_03103
XFCFBP8418_005910	RSCFB2957_00977
XFCFBP8418_012210	RSCFB2957_01679
XFCFBP8418_013300	RSCFB2957_00308
XFCFBP8418_015720	RSCFB2957_01086
XFCFBP8418_012690	RSCFB2957_04053
XFCFBP8418_012690	RSCFB2957_02830
XFCFBP8418_005920	RSCFB2957_00976
XFCFBP8418_022240	RSCFB2957_01093
XFCFBP8418_002650	RSCFB2957_02038
XFCFBP8418_027930	RSCFB2957_03929
XFCFBP8418_021150	RSCFB2957_00887
XFCFBP8418_003740	RSCFB2957_03062
XFCFBP8418_003980	RSCFB2957_00328
XFCFBP8418_023330	RSCFB2957_02803
XFCFBP8418_012220	RSCFB2957_02415
XFCFBP8418_011130	RSCFB2957_03266
XFCFBP8418_011370	RSCFB2957_00702
XFCFBP8418_014880	RSCFB2957_02569
XFCFBP8418_017900	RSCFB2957_01985
XFCFBP8418_021180	RSCFB2957_01993
XFCFBP8418_003510	RSCFB2957_00365
XFCFBP8418_027720	RSCFB2957_00731
XFCFBP8418_003750	RSCFB2957_01230
XFCFBP8418_024690	RSCFB2957_04838
XFCFBP8418_023360	RSCFB2957_02808
XFCFBP8418_027960	RSCFB2957_03929
XFCFBP8418_026630	RSCFB2957_02523
XFCFBP8418_024210	RSCFB2957_01066
XFCFBP8418_017920	RSCFB2957_04795
XFCFBP8418_014410	RSCFB2957_04563
XFCFBP8418_011380	RSCFB2957_00108
XFCFBP8418_014890	RSCFB2957_03232
XFCFBP8418_014890	RSCFB2957_03277
XFCFBP8418_012470	RSCFB2957_04056
XFCFBP8418_012470	RSCFB2957_01081
XFCFBP8418_014650	RSCFB2957_00220
XFCFBP8418_004610	RSCFB2957_00199
XFCFBP8418_027950	RSCFB2957_03929
XFCFBP8418_023350	RSCFB2957_02807
XFCFBP8418_021170	RSCFB2957_02262
XFCFBP8418_024680	RSCFB2957_04840
XFCFBP8418_005940	RSCFB2957_01700
XFCFBP8418_023590	RSCFB2957_03096
XFCFBP8418_027710	RSCFB2957_00462
XFCFBP8418_004850	RSCFB2957_00840
XFCFBP8418_003520	RSCFB2957_00364
XFCFBP8418_022260	RSCFB2957_00903
XFCFBP8418_001580	RSCFB2957_03769
XFCFBP8418_003760	RSCFB2957_02501
XFCFBP8418_001340	RSCFB2957_00471
XFCFBP8418_026620	RSCFB2957_02524
XFCFBP8418_002670	RSCFB2957_02037
XFCFBP8418_025530	RSCFB2957_02740
XFCFBP8418_014420	RSCFB2957_04567
XFCFBP8418_017930	RSCFB2957_01980
XFCFBP8418_014660	RSCFB2957_01146
XFCFBP8418_023380	RSCFB2957_02810
XFCFBP8418_025320	RSCFB2957_01134
XFCFBP8418_002200	RSCFB2957_00769
XFCFBP8418_003530	RSCFB2957_00363
XFCFBP8418_002680	RSCFB2957_02273
XFCFBP8418_003770	RSCFB2957_02833
XFCFBP8418_004860	RSCFB2957_00839
XFCFBP8418_001590	RSCFB2957_03765
XFCFBP8418_026410	RSCFB2957_04970
XFCFBP8418_026410	RSCFB2957_04097
XFCFBP8418_026410	RSCFB2957_03887
XFCFBP8418_027740	RSCFB2957_00733
XFCFBP8418_000020	RSCFB2957_03769
XFCFBP8418_017700	RSCFB2957_02192
XFCFBP8418_017700	RSCFB2957_00298
XFCFBP8418_013100	RSCFB2957_04800
XFCFBP8418_017940	RSCFB2957_00975
XFCFBP8418_011160	RSCFB2957_00815
XFCFBP8418_012250	RSCFB2957_01190
XFCFBP8418_013340	RSCFB2957_03043
XFCFBP8418_013340	RSCFB2957_03357
XFCFBP8418_015760	RSCFB2957_03061
XFCFBP8418_014430	RSCFB2957_00726
XFCFBP8418_021190	RSCFB2957_04634
XFCFBP8418_027730	RSCFB2957_00732
XFCFBP8418_024220	RSCFB2957_01065
XFCFBP8418_006810	RSCFB2957_02748
XFCFBP8418_025550	RSCFB2957_00516
XFCFBP8418_023370	RSCFB2957_02809
XFCFBP8418_022040	RSCFB2957_00379
XFCFBP8418_025790	RSCFB2957_01759
XFCFBP8418_004870	RSCFB2957_00838
XFCFBP8418_002690	RSCFB2957_02274
XFCFBP8418_000270	RSCFB2957_03103
XFCFBP8418_003540	RSCFB2957_00361
XFCFBP8418_000030	RSCFB2957_03769
XFCFBP8418_001120	RSCFB2957_01205
XFCFBP8418_011170	RSCFB2957_02631
XFCFBP8418_014200	RSCFB2957_03225
XFCFBP8418_018800	RSCFB2957_03278
XFCFBP8418_017710	RSCFB2957_04142
XFCFBP8418_017710	RSCFB2957_01237
XFCFBP8418_014680	RSCFB2957_02500
XFCFBP8418_015770	RSCFB2957_03060
XFCFBP8418_017950	RSCFB2957_00973
XFCFBP8418_014440	RSCFB2957_04565
XFCFBP8418_025580	RSCFB2957_01664
XFCFBP8418_023160	RSCFB2957_01632
XFCFBP8418_025100	RSCFB2957_03705
XFCFBP8418_026430	RSCFB2957_01977
XFCFBP8418_006820	RSCFB2957_02747
XFCFBP8418_025340	RSCFB2957_04450
XFCFBP8418_004400	RSCFB2957_00064
XFCFBP8418_003550	RSCFB2957_00359
XFCFBP8418_000040	RSCFB2957_03765
XFCFBP8418_003790	RSCFB2957_04500
XFCFBP8418_001130	RSCFB2957_01204
XFCFBP8418_012270	RSCFB2957_00045
XFCFBP8418_011180	RSCFB2957_02632
XFCFBP8418_010090	RSCFB2957_02731
XFCFBP8418_013360	RSCFB2957_02773
XFCFBP8418_016870	RSCFB2957_00738
