XFCFBP8418_010140	XOO2763
XFCFBP8418_017810	XOO0351
XFCFBP8418_015630	XOO0299
XFCFBP8418_014300	XOO0010
XFCFBP8418_011030	XOO3412
XFCFBP8418_011270	XOO3827
XFCFBP8418_012360	XOO3669
XFCFBP8418_014780	XOO1321
XFCFBP8418_021080	XOO2386
XFCFBP8418_026530	XOO2360
XFCFBP8418_023020	XOO4567
XFCFBP8418_025440	XOO2508
XFCFBP8418_002320	XOO1154
XFCFBP8418_006920	XOO3837
XFCFBP8418_024110	XOO4501
XFCFBP8418_004740	XOO1620
XFCFBP8418_026770	XOO4053
XFCFBP8418_025680	XOO3230
XFCFBP8418_004980	XOO4807
XFCFBP8418_001470	XOO2430
XFCFBP8418_000380	XOO3145
XFCFBP8418_000140	XOO2802
XFCFBP8418_001230	XOO0548
XFCFBP8418_011280	XOO3828
XFCFBP8418_010190	XOO2771
XFCFBP8418_014310	XOO0011
XFCFBP8418_015400	XOO0493
XFCFBP8418_012130	XOO2415
XFCFBP8418_017820	XOO4342
XFCFBP8418_012370	XOO3668
XFCFBP8418_015880	XOO0347
XFCFBP8418_014550	XOO0558
XFCFBP8418_015640	XOO1319
XFCFBP8418_013220	XOO4298
XFCFBP8418_000390	XOO3144
XFCFBP8418_023490	XOO3577
XFCFBP8418_025430	XOO2507
XFCFBP8418_026760	XOO4052
XFCFBP8418_001000	XOO4209
XFCFBP8418_023010	XOO0970
XFCFBP8418_022160	XOO0801
XFCFBP8418_025670	XOO3229
XFCFBP8418_024580	XOO2305
XFCFBP8418_004510	XOO1046
XFCFBP8418_023250	XOO3082
XFCFBP8418_003660	XOO2989
XFCFBP8418_002570	XOO3644
XFCFBP8418_004750	XOO1619
XFCFBP8418_001480	XOO2431
XFCFBP8418_002330	XOO1153
XFCFBP8418_024100	XOO4500
XFCFBP8418_027850	XOO0947
XFCFBP8418_001240	XOO3624
XFCFBP8418_004990	XOO2163
XFCFBP8418_012380	XOO3667
XFCFBP8418_011290	XOO3829
XFCFBP8418_016500	XOO2338
XFCFBP8418_015410	XOO0494
XFCFBP8418_017830	XOO4390
XFCFBP8418_012140	XOO2416
XFCFBP8418_011050	XOO3413
XFCFBP8418_014560	XOO0556
XFCFBP8418_013230	XOO4299
XFCFBP8418_014320	XOO4325
XFCFBP8418_015650	XOO1931
XFCFBP8418_023280	XOO0212
XFCFBP8418_026790	XOO1962
XFCFBP8418_022190	XOO2960
XFCFBP8418_025220	XOO2665
XFCFBP8418_002100	XOO2057
XFCFBP8418_026550	XOO2363
XFCFBP8418_025460	XOO2510
XFCFBP8418_000160	XOO2804
XFCFBP8418_005850	XOO0887
XFCFBP8418_001250	XOO3625
XFCFBP8418_027880	XOO2367
XFCFBP8418_001010	XOO4208
XFCFBP8418_003670	XOO1439
XFCFBP8418_012390	XOO3666
XFCFBP8418_011060	XOO3415
XFCFBP8418_016510	XOO0947
XFCFBP8418_012150	XOO2417
XFCFBP8418_014570	XOO4570
XFCFBP8418_013240	XOO4300
XFCFBP8418_017840	XOO4393
XFCFBP8418_015420	XOO0495
XFCFBP8418_002590	XOO1138
XFCFBP8418_000170	XOO2805
XFCFBP8418_000170	XOO3018
XFCFBP8418_000170	XOO3016
XFCFBP8418_021090	XOO2387
XFCFBP8418_025690	XOO3232
XFCFBP8418_022180	XOO2957
XFCFBP8418_007800	XOO4149
XFCFBP8418_024120	XOO3368
XFCFBP8418_026540	XOO2361
XFCFBP8418_025450	XOO2509
XFCFBP8418_003200	XOO2548
XFCFBP8418_026780	XOO4054
XFCFBP8418_023030	XOO4558
XFCFBP8418_006950	XOO1924
XFCFBP8418_002350	XOO1742
XFCFBP8418_003440	XOO1291
XFCFBP8418_027870	XOO3681
XFCFBP8418_001260	XOO3626
XFCFBP8418_005860	XOO0886
XFCFBP8418_003680	XOO1438
XFCFBP8418_004770	XOO2195
XFCFBP8418_001020	XOO4206
XFCFBP8418_026300	XOO1553
XFCFBP8418_012160	XOO2418
XFCFBP8418_011070	XOO1504
XFCFBP8418_017850	XOO4394
XFCFBP8418_013250	XOO4301
XFCFBP8418_014340	XOO4239
XFCFBP8418_015670	XOO0459
XFCFBP8418_013010	XOO3205
XFCFBP8418_015430	XOO0496
XFCFBP8418_003690	XOO1629
XFCFBP8418_026570	XOO2365
XFCFBP8418_025480	XOO1117
XFCFBP8418_007810	XOO4150
XFCFBP8418_025000	XOO2664
XFCFBP8418_004300	XOO3531
XFCFBP8418_006720	XOO1462
XFCFBP8418_025240	XOO2669
XFCFBP8418_001030	XOO0539
XFCFBP8418_027660	XOO1659
XFCFBP8418_004540	XOO1094
XFCFBP8418_006960	XOO1922
XFCFBP8418_003210	XOO2551
XFCFBP8418_002360	XOO3647
XFCFBP8418_004780	XOO2194
XFCFBP8418_005870	XOO0885
XFCFBP8418_003450	XOO1290
XFCFBP8418_002120	XOO2048
XFCFBP8418_015680	XOO1815
XFCFBP8418_013260	XOO4302
XFCFBP8418_011080	XOO1505
XFCFBP8418_015440	XOO0497
XFCFBP8418_017620	XOO1439
XFCFBP8418_013020	XOO3207
XFCFBP8418_015200	XOO2939
XFCFBP8418_017860	XOO4456
XFCFBP8418_016530	XOO3681
XFCFBP8418_004790	XOO2193
XFCFBP8418_000190	XOO2367
XFCFBP8418_002370	XOO3646
XFCFBP8418_001280	XOO3636
XFCFBP8418_025470	XOO1118
XFCFBP8418_007820	XOO0043
XFCFBP8418_007820	XOO4151
XFCFBP8418_023050	XOO0707
XFCFBP8418_024380	XOO4467
XFCFBP8418_023290	XOO0214
XFCFBP8418_025230	XOO2666
XFCFBP8418_026560	XOO2364
XFCFBP8418_003220	XOO2552
XFCFBP8418_002130	XOO2046
XFCFBP8418_001040	XOO0537
XFCFBP8418_004310	XOO3532
XFCFBP8418_003460	XOO4752
XFCFBP8418_005880	XOO0884
XFCFBP8418_013270	XOO4303
XFCFBP8418_015690	XOO1814
XFCFBP8418_020800	XOO0500
XFCFBP8418_011090	XOO4015
XFCFBP8418_013030	XOO3209
XFCFBP8418_016540	XOO3680
XFCFBP8418_015450	XOO0498
XFCFBP8418_016300	XOO3144
XFCFBP8418_017870	XOO4216
XFCFBP8418_015210	XOO2938
XFCFBP8418_005890	XOO0883
XFCFBP8418_003470	XOO1289
XFCFBP8418_027680	XOO1661
XFCFBP8418_002380	XOO3645
XFCFBP8418_025260	XOO2672
XFCFBP8418_023080	XOO0703
XFCFBP8418_006500	XOO0776
XFCFBP8418_004320	XOO3533
XFCFBP8418_002140	XOO2044
XFCFBP8418_027200	XOO1698
XFCFBP8418_003230	XOO2553
XFCFBP8418_017880	XOO3950
XFCFBP8418_015460	XOO0506
XFCFBP8418_013040	XOO3210
XFCFBP8418_018730	XOO2062
XFCFBP8418_016310	XOO3145
XFCFBP8418_017640	XOO3368
XFCFBP8418_003480	XOO1288
XFCFBP8418_002150	XOO2043
XFCFBP8418_007840	XOO3791
XFCFBP8418_027670	XOO1660
XFCFBP8418_001060	XOO0535
XFCFBP8418_007600	XOO0310
XFCFBP8418_025250	XOO2670
XFCFBP8418_026580	XOO2366
XFCFBP8418_025490	XOO1116
XFCFBP8418_023070	XOO0704
XFCFBP8418_006510	XOO0775
XFCFBP8418_003240	XOO2554
XFCFBP8418_006750	XOO0762
XFCFBP8418_004330	XOO1737
XFCFBP8418_017890	XOO0946
XFCFBP8418_013290	XOO4167
XFCFBP8418_013050	XOO3211
XFCFBP8418_015470	XOO0508
XFCFBP8418_014140	XOO4634
XFCFBP8418_020820	XOO0502
XFCFBP8418_015230	XOO0759
XFCFBP8418_018500	XOO4009
XFCFBP8418_017650	XOO4484
XFCFBP8418_018740	XOO2061
XFCFBP8418_001070	XOO0528
XFCFBP8418_003250	XOO2555
XFCFBP8418_007850	XOO0424
XFCFBP8418_007610	XOO0309
XFCFBP8418_003490	XOO1287
XFCFBP8418_026130	XOO1882
XFCFBP8418_008700	XOO0526
XFCFBP8418_025040	XOO1882
XFCFBP8418_026370	XOO1562
XFCFBP8418_025280	XOO2675
XFCFBP8418_004100	XOO3690
XFCFBP8418_006520	XOO0774
XFCFBP8418_004340	XOO1736
XFCFBP8418_003010	XOO3249
XFCFBP8418_006760	XOO4416
XFCFBP8418_014390	XOO4284
XFCFBP8418_017660	XOO4483
XFCFBP8418_015240	XOO0758
XFCFBP8418_014150	XOO4635
XFCFBP8418_020810	XOO0501
XFCFBP8418_018510	XOO4010
XFCFBP8418_015000	XOO4733
XFCFBP8418_019600	XOO1040
XFCFBP8418_016330	XOO1659
XFCFBP8418_018750	XOO2058
XFCFBP8418_007860	XOO0423
XFCFBP8418_002170	XOO2042
XFCFBP8418_003260	XOO2556
XFCFBP8418_006770	XOO4415
XFCFBP8418_027690	XOO1662
XFCFBP8418_004350	XOO2485
XFCFBP8418_023090	XOO0477
XFCFBP8418_007620	XOO0308
XFCFBP8418_009800	XOO3858
XFCFBP8418_025270	XOO2673
XFCFBP8418_026120	XOO1882
XFCFBP8418_005200	XOO2705
XFCFBP8418_003020	XOO3250
XFCFBP8418_013070	XOO3213
XFCFBP8418_016340	XOO1660
XFCFBP8418_020840	XOO0504
XFCFBP8418_015250	XOO0756
XFCFBP8418_020600	XOO2017
XFCFBP8418_019610	XOO1039
XFCFBP8418_015010	XOO0924
XFCFBP8418_018520	XOO4011
XFCFBP8418_004360	XOO3967
XFCFBP8418_026390	XOO1563
XFCFBP8418_003030	XOO3915
XFCFBP8418_002180	XOO1511
XFCFBP8418_006780	XOO4414
XFCFBP8418_007630	XOO0307
XFCFBP8418_003270	XOO2557
XFCFBP8418_005210	XOO2707
XFCFBP8418_004120	XOO1761
XFCFBP8418_015260	XOO0755
XFCFBP8418_014170	XOO4636
XFCFBP8418_015020	XOO0925
XFCFBP8418_016350	XOO1661
XFCFBP8418_003040	XOO3917
XFCFBP8418_007640	XOO0306
XFCFBP8418_025290	XOO2676
XFCFBP8418_008730	XOO1151
XFCFBP8418_006790	XOO4410
XFCFBP8418_003280	XOO3885
XFCFBP8418_009820	XOO3860
XFCFBP8418_004370	XOO3968
XFCFBP8418_007880	XOO0421
XFCFBP8418_018660	XOO2067
XFCFBP8418_019750	XOO3325
XFCFBP8418_016480	XOO4074
XFCFBP8418_020740	XOO0288
XFCFBP8418_015390	XOO0491
XFCFBP8418_018420	XOO0863
XFCFBP8418_009950	XOO0586
XFCFBP8418_026290	XOO1550
XFCFBP8418_026290	XOO2716
XFCFBP8418_005350	XOO1698
XFCFBP8418_004020	XOO1998
XFCFBP8418_004020	XOO4601
XFCFBP8418_008620	XOO1157
XFCFBP8418_003170	XOO2545
XFCFBP8418_006680	XOO1292
XFCFBP8418_009710	XOO2927
XFCFBP8418_004260	XOO3526
XFCFBP8418_010930	XOO3741
XFCFBP8418_026050	XOO1212
XFCFBP8418_007770	XOO0520
XFCFBP8418_005110	XOO3010
XFCFBP8418_005110	XOO2149
XFCFBP8418_019760	XOO3276
XFCFBP8418_000900	XOO4214
XFCFBP8418_018670	XOO4796
XFCFBP8418_016490	XOO4575
XFCFBP8418_016490	XOO2339
XFCFBP8418_022910	XOO1778
XFCFBP8418_022910	XOO3543
XFCFBP8418_008630	XOO1156
XFCFBP8418_004030	XOO1996
XFCFBP8418_005120	XOO3011
XFCFBP8418_005120	XOO2148
XFCFBP8418_010940	XOO3740
XFCFBP8418_007300	XOO0913
XFCFBP8418_005360	XOO1699
XFCFBP8418_006690	XOO0431
XFCFBP8418_003180	XOO2546
XFCFBP8418_010700	XOO0694
XFCFBP8418_026040	XOO1213
XFCFBP8418_002090	XOO3368
XFCFBP8418_009960	XOO0585
XFCFBP8418_007540	XOO0437
XFCFBP8418_018440	XOO1418
XFCFBP8418_000910	XOO4213
XFCFBP8418_019530	XOO1057
XFCFBP8418_019770	XOO3958
XFCFBP8418_018680	XOO2066
XFCFBP8418_020520	XOO1850
XFCFBP8418_018200	XOO0430
XFCFBP8418_007310	XOO0912
XFCFBP8418_026070	XOO0963
XFCFBP8418_005130	XOO2147
XFCFBP8418_004040	XOO0598
XFCFBP8418_005370	XOO1700
XFCFBP8418_003190	XOO2547
XFCFBP8418_004280	XOO3529
XFCFBP8418_011800	XOO3187
XFCFBP8418_010710	XOO0693
XFCFBP8418_020770	XOO4337
XFCFBP8418_009970	XOO0584
XFCFBP8418_019540	XOO1056
XFCFBP8418_020510	XOO1849
XFCFBP8418_018450	XOO1419
XFCFBP8418_018450	XOO0773
XFCFBP8418_019780	XOO3957
XFCFBP8418_021600	XOO0280
XFCFBP8418_018690	XOO2065
XFCFBP8418_018690	XOO3080
XFCFBP8418_015180	XOO3442
XFCFBP8418_015180	XOO2942
XFCFBP8418_010720	XOO0690
XFCFBP8418_026060	XOO0964
XFCFBP8418_012900	XOO3605
XFCFBP8418_010960	XOO3407
XFCFBP8418_005140	XOO2093
XFCFBP8418_005380	XOO1696
XFCFBP8418_004290	XOO3530
XFCFBP8418_009980	XOO0583
XFCFBP8418_007560	XOO4469
XFCFBP8418_009740	XOO3850
XFCFBP8418_008650	XOO3782
XFCFBP8418_023810	XOO3810
XFCFBP8418_020540	XOO1852
XFCFBP8418_018460	XOO4005
XFCFBP8418_019550	XOO1055
XFCFBP8418_022960	XOO1772
XFCFBP8418_020300	XOO2258
XFCFBP8418_015190	XOO2941
XFCFBP8418_019790	XOO2349
XFCFBP8418_000930	XOO4212
XFCFBP8418_024900	XOO1965
XFCFBP8418_010980	XOO3409
XFCFBP8418_006000	XOO3297
XFCFBP8418_011820	XOO3376
XFCFBP8418_012910	XOO3606
XFCFBP8418_010730	XOO1782
XFCFBP8418_010970	XOO3408
XFCFBP8418_010970	XOO3102
XFCFBP8418_005150	XOO2699
XFCFBP8418_026090	XOO1410
XFCFBP8418_004060	XOO0596
XFCFBP8418_027180	XOO1700
XFCFBP8418_007570	XOO4470
XFCFBP8418_020790	XOO4215
XFCFBP8418_008660	XOO3785
XFCFBP8418_009990	XOO0582
XFCFBP8418_022970	XOO0974
XFCFBP8418_007330	XOO0911
XFCFBP8418_007330	XOO1747
XFCFBP8418_020550	XOO1853
XFCFBP8418_009750	XOO3851
XFCFBP8418_020530	XOO1851
XFCFBP8418_000700	XOO1414
XFCFBP8418_016290	XOO3143
XFCFBP8418_018470	XOO4006
XFCFBP8418_023800	XOO3317
XFCFBP8418_010500	XOO0713
XFCFBP8418_006010	XOO3296
XFCFBP8418_011830	XOO1210
XFCFBP8418_010740	XOO1781
XFCFBP8418_026080	XOO0962
XFCFBP8418_004070	XOO3686
XFCFBP8418_005160	XOO2700
XFCFBP8418_006490	XOO0777
XFCFBP8418_027170	XOO1696
XFCFBP8418_012920	XOO3607
XFCFBP8418_007580	XOO4470
XFCFBP8418_009760	XOO3852
XFCFBP8418_007340	XOO3774
XFCFBP8418_018000	XOO1069
XFCFBP8418_021410	XOO3170
XFCFBP8418_020320	XOO2256
XFCFBP8418_024920	XOO1963
XFCFBP8418_019330	XOO1439
XFCFBP8418_018480	XOO4007
XFCFBP8418_019570	XOO1045
XFCFBP8418_011600	XOO2734
XFCFBP8418_010510	XOO0714
XFCFBP8418_006020	XOO3295
XFCFBP8418_010750	XOO1780
XFCFBP8418_005170	XOO2701
XFCFBP8418_012930	XOO3608
XFCFBP8418_004080	XOO3688
XFCFBP8418_007590	XOO4471
XFCFBP8418_020570	XOO1855
XFCFBP8418_009770	XOO3853
XFCFBP8418_020330	XOO2255
XFCFBP8418_022990	XOO0972
XFCFBP8418_021660	XOO1090
XFCFBP8418_024910	XOO1964
XFCFBP8418_020310	XOO2257
XFCFBP8418_018010	XOO1068
XFCFBP8418_021400	XOO3168
XFCFBP8418_019580	XOO1042
XFCFBP8418_000960	XOO4211
XFCFBP8418_000720	XOO0344
XFCFBP8418_018490	XOO4008
XFCFBP8418_011860	XOO1207
XFCFBP8418_011610	XOO2735
XFCFBP8418_010520	XOO0715
XFCFBP8418_011850	XOO1208
XFCFBP8418_011850	XOO3535
XFCFBP8418_027190	XOO1699
XFCFBP8418_005180	XOO2702
XFCFBP8418_004090	XOO3689
XFCFBP8418_012700	XOO4897
XFCFBP8418_009780	XOO3854
XFCFBP8418_008690	XOO1525
XFCFBP8418_000970	XOO4211
XFCFBP8418_007360	XOO2744
XFCFBP8418_007360	XOO0808
XFCFBP8418_022980	XOO0973
XFCFBP8418_020560	XOO1854
XFCFBP8418_024700	XOO2316
XFCFBP8418_018020	XOO1067
XFCFBP8418_023610	XOO0729
XFCFBP8418_000730	XOO0131
XFCFBP8418_019350	XOO3368
XFCFBP8418_002910	XOO1407
XFCFBP8418_019590	XOO1041
XFCFBP8418_001820	XOO1717
XFCFBP8418_001820	XOO4613
XFCFBP8418_001820	XOO3944
XFCFBP8418_012960	XOO2443
XFCFBP8418_011870	XOO1583
XFCFBP8418_011620	XOO2737
XFCFBP8418_010530	XOO0717
XFCFBP8418_006040	XOO3292
XFCFBP8418_012950	XOO2438
XFCFBP8418_012710	XOO3589
XFCFBP8418_005190	XOO2703
XFCFBP8418_007370	XOO0809
XFCFBP8418_020590	XOO1857
XFCFBP8418_009790	XOO3856
XFCFBP8418_000980	XOO4211
XFCFBP8418_024950	XOO3798
XFCFBP8418_007130	XOO3201
XFCFBP8418_020350	XOO2251
XFCFBP8418_023860	XOO1433
XFCFBP8418_021440	XOO3173
XFCFBP8418_023600	XOO0728
XFCFBP8418_021420	XOO3171
XFCFBP8418_024930	XOO4324
XFCFBP8418_023840	XOO1436
XFCFBP8418_019120	XOO2292
XFCFBP8418_002920	XOO1406
XFCFBP8418_000740	XOO3679
XFCFBP8418_019360	XOO1367
XFCFBP8418_018030	XOO1066
XFCFBP8418_012970	XOO2445
XFCFBP8418_011640	XOO2741
XFCFBP8418_010550	XOO0720
XFCFBP8418_011880	XOO1584
XFCFBP8418_011630	XOO2738
XFCFBP8418_006050	XOO3291
XFCFBP8418_012720	XOO3590
XFCFBP8418_014900	XOO2945
XFCFBP8418_007380	XOO0810
XFCFBP8418_000750	XOO3678
XFCFBP8418_007140	XOO3202
XFCFBP8418_021670	XOO1091
XFCFBP8418_020580	XOO1856
XFCFBP8418_023850	XOO1435
XFCFBP8418_020340	XOO2254
XFCFBP8418_022300	XOO2796
XFCFBP8418_019130	XOO2291
XFCFBP8418_018040	XOO1065
XFCFBP8418_018280	XOO1417
XFCFBP8418_019370	XOO1604
XFCFBP8418_019370	XOO1363
XFCFBP8418_019370	XOO1366
XFCFBP8418_019370	XOO1364
XFCFBP8418_002930	XOO1405
XFCFBP8418_012740	XOO3592
XFCFBP8418_011650	XOO2742
XFCFBP8418_010560	XOO0722
XFCFBP8418_011890	XOO1585
XFCFBP8418_011400	XOO3370
XFCFBP8418_012730	XOO3591
XFCFBP8418_013820	XOO1025
XFCFBP8418_006060	XOO3290
XFCFBP8418_014910	XOO2946
XFCFBP8418_007390	XOO0811
XFCFBP8418_022790	XOO0892
XFCFBP8418_007150	XOO3203
XFCFBP8418_020370	XOO2243
XFCFBP8418_023640	XOO0732
XFCFBP8418_021460	XOO3176
XFCFBP8418_023880	XOO2870
XFCFBP8418_021220	XOO2031
XFCFBP8418_021200	XOO2034
XFCFBP8418_023620	XOO0730
XFCFBP8418_024710	XOO2317
XFCFBP8418_002940	XOO1404
XFCFBP8418_018050	XOO1064
XFCFBP8418_002700	XOO3398
XFCFBP8418_012750	XOO3593
XFCFBP8418_011420	XOO4312
XFCFBP8418_011660	XOO3363
XFCFBP8418_010570	XOO1847
XFCFBP8418_014920	XOO2947
XFCFBP8418_012500	XOO3067
XFCFBP8418_006070	XOO3289
XFCFBP8418_000770	XOO3675
XFCFBP8418_007160	XOO2708
XFCFBP8418_007160	XOO2561
XFCFBP8418_007160	XOO4445
XFCFBP8418_018290	XOO1642
XFCFBP8418_002950	XOO1403
XFCFBP8418_000530	XOO2828
XFCFBP8418_000530	XOO2712
XFCFBP8418_000530	XOO3208
XFCFBP8418_021450	XOO3175
XFCFBP8418_021450	XOO3174
XFCFBP8418_023630	XOO0731
XFCFBP8418_024960	XOO2166
XFCFBP8418_024960	XOO0250
XFCFBP8418_024960	XOO0249
XFCFBP8418_020360	XOO2247
XFCFBP8418_021210	XOO2032
XFCFBP8418_023870	XOO2869
XFCFBP8418_003800	XOO4776
XFCFBP8418_002710	XOO3400
XFCFBP8418_026920	XOO1698
XFCFBP8418_014940	XOO2949
XFCFBP8418_012520	XOO3072
XFCFBP8418_010100	XOO2759
XFCFBP8418_011430	XOO4314
XFCFBP8418_011670	XOO3721
XFCFBP8418_012510	XOO3068
XFCFBP8418_012510	XOO2114
XFCFBP8418_014930	XOO2948
XFCFBP8418_020390	XOO1427
XFCFBP8418_001870	XOO1717
XFCFBP8418_001870	XOO4613
XFCFBP8418_001870	XOO3944
XFCFBP8418_002960	XOO1402
XFCFBP8418_024990	XOO0254
XFCFBP8418_022570	XOO0894
XFCFBP8418_000780	XOO1753
XFCFBP8418_026930	XOO1699
XFCFBP8418_021480	XOO3178
XFCFBP8418_023420	XOO3569
XFCFBP8418_021240	XOO2029
XFCFBP8418_023660	XOO0734
XFCFBP8418_022330	XOO2391
XFCFBP8418_023400	XOO3568
XFCFBP8418_004900	XOO2176
XFCFBP8418_002720	XOO3401
XFCFBP8418_007180	XOO2514
XFCFBP8418_019160	XOO0400
XFCFBP8418_012770	XOO3594
XFCFBP8418_010590	XOO0778
XFCFBP8418_010590	XOO1818
XFCFBP8418_006090	XOO3282
XFCFBP8418_014950	XOO2950
XFCFBP8418_013620	XOO3452
XFCFBP8418_010110	XOO2760
XFCFBP8418_011440	XOO4315
XFCFBP8418_023890	XOO4220
XFCFBP8418_023890	XOO2871
XFCFBP8418_000310	XOO1664
XFCFBP8418_021470	XOO3177
XFCFBP8418_002730	XOO3403
XFCFBP8418_020380	XOO2242
XFCFBP8418_002970	XOO1400
XFCFBP8418_001640	XOO2434
XFCFBP8418_021230	XOO2030
XFCFBP8418_022320	XOO2393
XFCFBP8418_020140	XOO0552
XFCFBP8418_023410	XOO4896
XFCFBP8418_022560	XOO0896
XFCFBP8418_000790	XOO1752
XFCFBP8418_023650	XOO0733
XFCFBP8418_026700	XOO2345
XFCFBP8418_001400	XOO1128
XFCFBP8418_003820	XOO3251
XFCFBP8418_007190	XOO2529
XFCFBP8418_004910	XOO2174
XFCFBP8418_014960	XOO2951
XFCFBP8418_012540	XOO3073
XFCFBP8418_011210	XOO3822
XFCFBP8418_010120	XOO2761
XFCFBP8418_012780	XOO3596
XFCFBP8418_011450	XOO4316
XFCFBP8418_015800	XOO1790
XFCFBP8418_001650	XOO2435
XFCFBP8418_019170	XOO0400
XFCFBP8418_000560	XOO3212
XFCFBP8418_003830	XOO3252
XFCFBP8418_022350	XOO3953
XFCFBP8418_026950	XOO1696
XFCFBP8418_001410	XOO1127
XFCFBP8418_000320	XOO1663
XFCFBP8418_021260	XOO2027
XFCFBP8418_002740	XOO1126
XFCFBP8418_023200	XOO1033
XFCFBP8418_026710	XOO4159
XFCFBP8418_025620	XOO3224
XFCFBP8418_024530	XOO2297
XFCFBP8418_024530	XOO1565
XFCFBP8418_023440	XOO3571
XFCFBP8418_022110	XOO0806
XFCFBP8418_025600	XOO3222
XFCFBP8418_002500	XOO0848
XFCFBP8418_004920	XOO2173
XFCFBP8418_011460	XOO4317
XFCFBP8418_012550	XOO3077
XFCFBP8418_013640	XOO3454
XFCFBP8418_014970	XOO2952
XFCFBP8418_012310	XOO2039
XFCFBP8418_013400	XOO1783
XFCFBP8418_011220	XOO3823
XFCFBP8418_012790	XOO3597
