H16_B0626	RSBA7_02199
H16_A3403	RSBA7_02699
H16_A0378	RSBA7_00400
H16_A3402	RSBA7_02692
H16_A0379	RSBA7_00401
H16_A3405	RSBA7_02701
H16_A3404	RSBA7_02700
H16_A3407	RSBA7_02702
H16_A3409	RSBA7_02705
H16_A3408	RSBA7_02703
H16_B1027	RSBA7_02614
H16_B1028	RSBA7_02613
H16_B2358	RSBA7_03589
H16_B1025	RSBA7_02616
H16_B1026	RSBA7_02615
H16_B2355	RSBA7_00625
H16_B2352	RSBA7_00624
H16_A0370	RSBA7_00392
H16_A0371	RSBA7_00393
H16_A0372	RSBA7_00394
H16_A0374	RSBA7_00396
H16_A3434	RSBA7_02730
RALH1_K20452	RSBA7_02110
H16_A2103	RSBA7_01338
H16_A2102	RSBA7_01339
H16_A3433	RSBA7_02729
H16_A3436	RSBA7_02732
H16_A3435	RSBA7_02731
RALH1_K20453	RSBA7_02110
H16_A2104	RSBA7_01337
PHG031	RSBA7_01714
PHG031	RSBA7_04070
PHG031	RSBA7_02082
PHG031	RSBA7_04260
PHG031	RSBA7_05030
PHG031	RSBA7_04583
PHG031	RSBA7_04861
PHG031	RSBA7_04189
PHG031	RSBA7_00584
PHG031	RSBA7_03333
PHG031	RSBA7_03457
PHG031	RSBA7_05038
PHG031	RSBA7_02920
PHG031	RSBA7_04306
PHG031	RSBA7_00302
PHG031	RSBA7_02567
PHG031	RSBA7_00217
PHG031	RSBA7_00737
PHG031	RSBA7_05065
PHG031	RSBA7_04570
PHG031	RSBA7_03440
PHG031	RSBA7_04014
PHG031	RSBA7_02078
PHG031	RSBA7_04255
PHG031	RSBA7_05068
PHG031	RSBA7_00330
PHG031	RSBA7_02112
PHG031	RSBA7_02114
PHG031	RSBA7_04018
PHG031	RSBA7_00335
PHG031	RSBA7_00337
PHG031	RSBA7_02679
PHG031	RSBA7_02628
PHG031	RSBA7_05098
PHG031	RSBA7_04042
PHG031	RSBA7_05097
PHG031	RSBA7_03792
PHG031	RSBA7_00086
PHG031	RSBA7_04245
PHG031	RSBA7_05012
PHG031	RSBA7_00681
PHG031	RSBA7_05013
PHG031	RSBA7_05057
PHG031	RSBA7_01694
PHG031	RSBA7_03630
PHG031	RSBA7_03831
PHG031	RSBA7_04205
PHG031	RSBA7_00564
PHG031	RSBA7_04248
PHG031	RSBA7_00203
PHG031	RSBA7_00566
PHG031	RSBA7_03117
PHG031	RSBA7_04802
PHG031	RSBA7_03825
PHG031	RSBA7_04639
PHG031	RSBA7_00912
PHG031	RSBA7_05051
PHG031	RSBA7_05044
PHG031	RSBA7_04273
PHG031	RSBA7_04394
PHG031	RSBA7_00591
PHG031	RSBA7_04475
PHG031	RSBA7_04038
PHG031	RSBA7_04632
PHG031	RSBA7_00672
PHG031	RSBA7_03663
PHG031	RSBA7_04598
PHG031	RSBA7_01401
PHG031	RSBA7_02413
PHG031	RSBA7_04239
PHG031	RSBA7_01404
H16_A2107	RSBA7_03767
H16_A3438	RSBA7_02734
PHG030	RSBA7_01714
PHG030	RSBA7_04070
PHG030	RSBA7_02082
PHG030	RSBA7_04260
PHG030	RSBA7_05030
PHG030	RSBA7_04583
PHG030	RSBA7_04861
PHG030	RSBA7_04189
PHG030	RSBA7_00584
PHG030	RSBA7_03333
PHG030	RSBA7_03457
PHG030	RSBA7_05038
PHG030	RSBA7_02920
PHG030	RSBA7_04306
PHG030	RSBA7_00302
PHG030	RSBA7_02567
PHG030	RSBA7_00217
PHG030	RSBA7_00737
PHG030	RSBA7_05065
PHG030	RSBA7_04570
PHG030	RSBA7_03440
PHG030	RSBA7_04014
PHG030	RSBA7_02078
PHG030	RSBA7_04255
PHG030	RSBA7_05068
PHG030	RSBA7_00330
PHG030	RSBA7_02112
PHG030	RSBA7_02114
PHG030	RSBA7_04018
PHG030	RSBA7_00335
PHG030	RSBA7_00337
PHG030	RSBA7_02679
PHG030	RSBA7_02628
PHG030	RSBA7_05098
PHG030	RSBA7_04042
PHG030	RSBA7_05097
PHG030	RSBA7_03792
PHG030	RSBA7_00086
PHG030	RSBA7_04245
PHG030	RSBA7_05012
PHG030	RSBA7_00681
PHG030	RSBA7_05013
PHG030	RSBA7_05057
PHG030	RSBA7_01694
PHG030	RSBA7_03630
PHG030	RSBA7_03831
PHG030	RSBA7_04205
PHG030	RSBA7_00564
PHG030	RSBA7_04248
PHG030	RSBA7_00203
PHG030	RSBA7_00566
PHG030	RSBA7_03117
PHG030	RSBA7_04802
PHG030	RSBA7_03825
PHG030	RSBA7_04639
PHG030	RSBA7_00912
PHG030	RSBA7_05051
PHG030	RSBA7_05044
PHG030	RSBA7_04273
PHG030	RSBA7_04394
PHG030	RSBA7_00591
PHG030	RSBA7_04475
PHG030	RSBA7_04038
PHG030	RSBA7_04632
PHG030	RSBA7_00672
PHG030	RSBA7_03663
PHG030	RSBA7_04598
PHG030	RSBA7_01401
PHG030	RSBA7_02413
PHG030	RSBA7_04239
PHG030	RSBA7_01404
H16_A3437	RSBA7_02733
H16_A3439	RSBA7_02735
PHG023	RSBA7_04154
H16_A3430	RSBA7_02725
PHG028	RSBA7_02621
PHG027	RSBA7_01966
H16_A2101	RSBA7_01340
H16_A2101	RSBA7_01134
H16_A3432	RSBA7_02727
H16_A3431	RSBA7_02726
H16_A2100	RSBA7_01341
H16_A3423	RSBA7_02719
H16_A0397	RSBA7_00419
H16_A0398	RSBA7_00420
H16_A3422	RSBA7_02718
H16_A3425	RSBA7_02721
H16_A3424	RSBA7_02720
H16_A3427	RSBA7_02723
H16_A3426	RSBA7_02722
H16_A3429	RSBA7_04086
H16_A3428	RSBA7_02724
H16_B2378	RSBA7_00896
H16_B2377	RSBA7_02997
H16_B2376	RSBA7_02330
RALH11797	RSBA7_02217
H16_B2373	RSBA7_04668
H16_B2372	RSBA7_04669
H16_B2371	RSBA7_04670
H16_B2370	RSBA7_04671
H16_A0390	RSBA7_00411
H16_A0391	RSBA7_00413
PHG032	RSBA7_01713
PHG032	RSBA7_04071
PHG032	RSBA7_04261
PHG032	RSBA7_02083
PHG032	RSBA7_04020
PHG032	RSBA7_04188
PHG032	RSBA7_04584
PHG032	RSBA7_02680
PHG032	RSBA7_04860
PHG032	RSBA7_00583
PHG032	RSBA7_03334
PHG032	RSBA7_02566
PHG032	RSBA7_00301
PHG032	RSBA7_03458
PHG032	RSBA7_02921
PHG032	RSBA7_04307
PHG032	RSBA7_00738
PHG032	RSBA7_05066
PHG032	RSBA7_04571
PHG032	RSBA7_05069
PHG032	RSBA7_02077
PHG032	RSBA7_04256
PHG032	RSBA7_02111
PHG032	RSBA7_03441
PHG032	RSBA7_05029
PHG032	RSBA7_00331
PHG032	RSBA7_02113
PHG032	RSBA7_04015
PHG032	RSBA7_00334
PHG032	RSBA7_00336
PHG032	RSBA7_00216
PHG032	RSBA7_02629
PHG032	RSBA7_05011
PHG032	RSBA7_04043
PHG032	RSBA7_05096
PHG032	RSBA7_04240
PHG032	RSBA7_05014
PHG032	RSBA7_05058
PHG032	RSBA7_00087
PHG032	RSBA7_01693
PHG032	RSBA7_03793
PHG032	RSBA7_00682
PHG032	RSBA7_04246
PHG032	RSBA7_00563
PHG032	RSBA7_04249
PHG032	RSBA7_00202
PHG032	RSBA7_00565
PHG032	RSBA7_03118
PHG032	RSBA7_03832
PHG032	RSBA7_04206
PHG032	RSBA7_04803
PHG032	RSBA7_03826
PHG032	RSBA7_00913
PHG032	RSBA7_03629
PHG032	RSBA7_05050
PHG032	RSBA7_04272
PHG032	RSBA7_04393
PHG032	RSBA7_05043
PHG032	RSBA7_04474
PHG032	RSBA7_00592
PHG032	RSBA7_04597
PHG032	RSBA7_03664
PHG032	RSBA7_04037
PHG032	RSBA7_00673
PHG032	RSBA7_01400
PHG032	RSBA7_04633
PHG032	RSBA7_02414
PHG032	RSBA7_01403
PHG032	RSBA7_04638
H16_A0392	RSBA7_00414
H16_A0393	RSBA7_00415
H16_A0394	RSBA7_00416
RALH11792	RSBA7_05056
H16_A0395	RSBA7_00417
H16_A3421	RSBA7_02717
H16_A0396	RSBA7_00418
H16_A3420	RSBA7_02716
H16_A0342	RSBA7_00362
H16_A1673	RSBA7_03594
H16_A0343	RSBA7_00363
H16_A1675	RSBA7_00628
H16_A0344	RSBA7_00364
H16_A0345	RSBA7_00365
H16_A0346	RSBA7_00366
H16_A0347	RSBA7_00367
H16_A1678	RSBA7_03796
H16_A0348	RSBA7_00368
H16_A1679	RSBA7_00721
H16_A0349	RSBA7_00369
H16_B2329	RSBA7_03398
H16_B2328	RSBA7_03399
H16_B2327	RSBA7_02911
H16_B2323	RSBA7_03166
H16_A1670	RSBA7_03778
H16_A1671	RSBA7_00787
H16_A0340	RSBA7_00360
H16_A1672	RSBA7_04885
H16_A0341	RSBA7_00361
H16_A2994	RSBA7_02198
H16_A0331	RSBA7_00352
H16_A0332	RSBA7_00353
H16_A1663	RSBA7_04463
H16_A2993	RSBA7_02196
H16_A2996	RSBA7_02200
H16_A0333	RSBA7_00354
H16_A0334	RSBA7_00355
H16_A2995	RSBA7_02199
H16_A0335	RSBA7_00356
H16_A2998	RSBA7_02202
H16_A1667	RSBA7_01167
H16_A0336	RSBA7_00357
H16_A2997	RSBA7_02201
H16_A0338	RSBA7_00358
H16_A2999	RSBA7_02203
H16_A0339	RSBA7_00359
H16_B2312	RSBA7_03327
H16_B2310	RSBA7_00748
H16_A2990	RSBA7_02193
H16_A2992	RSBA7_02195
H16_A0330	RSBA7_00351
H16_A2991	RSBA7_02194
H16_A0364	RSBA7_00386
H16_A1695	RSBA7_01110
H16_A1696	RSBA7_01167
H16_A0365	RSBA7_00387
H16_A0366	RSBA7_00388
H16_A0367	RSBA7_00389
H16_A0368	RSBA7_00390
H16_B1019	RSBA7_01732
H16_B2349	RSBA7_04986
H16_B2348	RSBA7_04985
H16_B1012	RSBA7_04178
H16_B2341	RSBA7_00759
RALH10490	RSBA7_01456
H16_A1690	RSBA7_04486
H16_A0360	RSBA7_00382
H16_A0361	RSBA7_05025
H16_A0361	RSBA7_00383
H16_A0362	RSBA7_00384
H16_A0363	RSBA7_00385
H16_A0353	RSBA7_00373
H16_A0354	RSBA7_00374
H16_A0355	RSBA7_00377
H16_A0356	RSBA7_00378
H16_A0357	RSBA7_00379
H16_A0358	RSBA7_00380
H16_A0359	RSBA7_00381
H16_B1008	RSBA7_03536
H16_B2337	RSBA7_00759
H16_B2335	RSBA7_04125
H16_B2334	RSBA7_03413
H16_B2333	RSBA7_03412
H16_B1001	RSBA7_01866
H16_B2331	RSBA7_00114
H16_B2330	RSBA7_03397
H16_A1681	RSBA7_02900
H16_A0350	RSBA7_00370
H16_A1682	RSBA7_02900
H16_A0351	RSBA7_00371
H16_A0352	RSBA7_00372
H16_A2961	RSBA7_02171
H16_A1630	RSBA7_01204
H16_A0300	RSBA7_00291
H16_A2963	RSBA7_02173
H16_A1631	RSBA7_05023
H16_A2962	RSBA7_02172
H16_A0301	RSBA7_00290
H16_A1632	RSBA7_05022
H16_A0302	RSBA7_00289
H16_A2965	RSBA7_02175
H16_A1633	RSBA7_05021
H16_A2964	RSBA7_02174
H16_A0303	RSBA7_00288
H16_A1634	RSBA7_05019
H16_A0304	RSBA7_00056
H16_A2967	RSBA7_02177
H16_A2966	RSBA7_02176
H16_A0305	RSBA7_03568
H16_A2969	RSBA7_04167
H16_A0306	RSBA7_00295
H16_A2968	RSBA7_02178
H16_A0308	RSBA7_00297
H16_B0586	RSBA7_03231
H16_A2952	RSBA7_01779
H16_A2952	RSBA7_02562
H16_A2951	RSBA7_01343
H16_A1622	RSBA7_01170
H16_A2954	RSBA7_02164
H16_A2953	RSBA7_01780
H16_A2953	RSBA7_02561
H16_A2956	RSBA7_02166
H16_A2955	RSBA7_02165
H16_A1626	RSBA7_02036
H16_A2958	RSBA7_02168
H16_A2957	RSBA7_02167
H16_A2959	RSBA7_02169
H16_B0571	RSBA7_01868
PHG099	RSBA7_05056
H16_A0320	RSBA7_00342
H16_A0320	RSBA7_02124
H16_A2983	RSBA7_00671
H16_A0321	RSBA7_00343
H16_A2982	RSBA7_04756
H16_A1652	RSBA7_01784
H16_A1653	RSBA7_04830
H16_A2985	RSBA7_02186
H16_A0322	RSBA7_00344
H16_A0323	RSBA7_00345
H16_A2984	RSBA7_00684
H16_A0324	RSBA7_00346
H16_A2987	RSBA7_02190
H16_A0325	RSBA7_00347
H16_A2986	RSBA7_02187
H16_A2986	RSBA7_02189
H16_A0326	RSBA7_00348
H16_A2989	RSBA7_02192
H16_A0327	RSBA7_00349
H16_A0328	RSBA7_00350
H16_A2972	RSBA7_02181
H16_A1641	RSBA7_02614
H16_A2971	RSBA7_02180
H16_A0311	RSBA7_03672
H16_A0311	RSBA7_02556
H16_A1642	RSBA7_02615
H16_A2974	RSBA7_02183
H16_A1643	RSBA7_02616
H16_A2973	RSBA7_02182
H16_A2975	RSBA7_02184
H16_A0316	RSBA7_04881
H16_A1647	RSBA7_00186
H16_A2977	RSBA7_02185
H16_A0317	RSBA7_00338
H16_A1648	RSBA7_00653
H16_A0318	RSBA7_00340
H16_A0319	RSBA7_03073
H16_A0319	RSBA7_00341
H16_B0592	RSBA7_00635
H16_A2970	RSBA7_02179
H16_A2921	RSBA7_02138
H16_A2920	RSBA7_02137
PHG051	RSBA7_04391
PHG051	RSBA7_04250
PHG051	RSBA7_04492
PHG051	RSBA7_03182
PHG051	RSBA7_04293
PHG051	RSBA7_05099
PHG051	RSBA7_03163
PHG051	RSBA7_04066
PHG051	RSBA7_02870
PHG051	RSBA7_02188
PHG051	RSBA7_00198
PHG051	RSBA7_04478
PHG051	RSBA7_03476
PHG051	RSBA7_03498
PHG051	RSBA7_03883
PHG051	RSBA7_03853
PHG051	RSBA7_00311
PHG051	RSBA7_05017
PHG051	RSBA7_00741
PHG051	RSBA7_00599
PHG051	RSBA7_04459
H16_A2923	RSBA7_02142
H16_B1879	RSBA7_02402
H16_B1879	RSBA7_02897
H16_A2922	RSBA7_02141
H16_A2925	RSBA7_02144
H16_B1877	RSBA7_02213
H16_A2924	RSBA7_02143
H16_B0544	RSBA7_04183
H16_A2929	RSBA7_04418
H16_B1873	RSBA7_03252
PHG060	RSBA7_04391
PHG060	RSBA7_04250
PHG060	RSBA7_04492
PHG060	RSBA7_03182
PHG060	RSBA7_04293
PHG060	RSBA7_05099
PHG060	RSBA7_03163
PHG060	RSBA7_04066
PHG060	RSBA7_02870
PHG060	RSBA7_02188
PHG060	RSBA7_00198
PHG060	RSBA7_04478
PHG060	RSBA7_03476
PHG060	RSBA7_03498
PHG060	RSBA7_03883
PHG060	RSBA7_03853
PHG060	RSBA7_00311
PHG060	RSBA7_05017
PHG060	RSBA7_00741
PHG060	RSBA7_00599
PHG060	RSBA7_04459
H16_A2910	RSBA7_00729
H16_B0538	RSBA7_03239
PHG063	RSBA7_04154
PHG062	RSBA7_04629
PHG062	RSBA7_00559
PHG062	RSBA7_04815
PHG062	RSBA7_04903
PHG062	RSBA7_01938
PHG062	RSBA7_05040
PHG062	RSBA7_02161
PHG062	RSBA7_04494
PHG062	RSBA7_05074
PHG062	RSBA7_03162
PHG062	RSBA7_05031
PHG062	RSBA7_05048
PHG062	RSBA7_04421
PHG062	RSBA7_04420
PHG062	RSBA7_04961
PHG062	RSBA7_00201
PHG062	RSBA7_03228
PHG062	RSBA7_03315
PHG062	RSBA7_04813
H16_A2912	RSBA7_00727
H16_B0536	RSBA7_01455
PHG061	RSBA7_04629
PHG061	RSBA7_00559
PHG061	RSBA7_04815
PHG061	RSBA7_04903
PHG061	RSBA7_01938
PHG061	RSBA7_05040
PHG061	RSBA7_02161
PHG061	RSBA7_04494
PHG061	RSBA7_05074
PHG061	RSBA7_03162
PHG061	RSBA7_05031
PHG061	RSBA7_05048
PHG061	RSBA7_04421
PHG061	RSBA7_04420
PHG061	RSBA7_04961
PHG061	RSBA7_00201
PHG061	RSBA7_03228
PHG061	RSBA7_03315
PHG061	RSBA7_04813
H16_B1868	RSBA7_01164
H16_A2911	RSBA7_00728
H16_A2914	RSBA7_00725
H16_A2913	RSBA7_00726
H16_B0535	RSBA7_01454
H16_A2916	RSBA7_00723
H16_A2915	RSBA7_00724
H16_B0533	RSBA7_02034
H16_A2918	RSBA7_02135
H16_B0531	RSBA7_04534
H16_A2917	RSBA7_00722
H16_B1862	RSBA7_04171
H16_A2919	RSBA7_02136
H16_A2941	RSBA7_02158
H16_A2940	RSBA7_02157
H16_A2943	RSBA7_02160
H16_A2942	RSBA7_02159
H16_A2945	RSBA7_02163
H16_A1613	RSBA7_03451
H16_B0569	RSBA7_03389
H16_A2944	RSBA7_02162
H16_B0567	RSBA7_04686
H16_A1616	RSBA7_01750
H16_B1899	RSBA7_04801
H16_B1896	RSBA7_01443
H16_B0565	RSBA7_04688
H16_B0566	RSBA7_04687
H16_B1894	RSBA7_02299
H16_B0563	RSBA7_04690
H16_B0564	RSBA7_04689
H16_B1895	RSBA7_04107
H16_B0562	RSBA7_04691
H16_B0560	RSBA7_02227
PHG080	RSBA7_00841
H16_A2930	RSBA7_02145
H16_A2932	RSBA7_02148
H16_A2931	RSBA7_02146
PHG084	RSBA7_01713
PHG084	RSBA7_04071
PHG084	RSBA7_04261
PHG084	RSBA7_02083
PHG084	RSBA7_04020
PHG084	RSBA7_04188
PHG084	RSBA7_04584
PHG084	RSBA7_02680
PHG084	RSBA7_04860
PHG084	RSBA7_00583
PHG084	RSBA7_03334
PHG084	RSBA7_02566
PHG084	RSBA7_00301
PHG084	RSBA7_03458
PHG084	RSBA7_02921
PHG084	RSBA7_04307
PHG084	RSBA7_00738
PHG084	RSBA7_05066
PHG084	RSBA7_04571
PHG084	RSBA7_05069
PHG084	RSBA7_02077
PHG084	RSBA7_04256
PHG084	RSBA7_02111
PHG084	RSBA7_03441
PHG084	RSBA7_05029
PHG084	RSBA7_00331
PHG084	RSBA7_02113
PHG084	RSBA7_04015
PHG084	RSBA7_00334
PHG084	RSBA7_00336
PHG084	RSBA7_00216
PHG084	RSBA7_02629
PHG084	RSBA7_05011
PHG084	RSBA7_04043
PHG084	RSBA7_05096
PHG084	RSBA7_04240
PHG084	RSBA7_05014
PHG084	RSBA7_05058
PHG084	RSBA7_00087
PHG084	RSBA7_01693
PHG084	RSBA7_03793
PHG084	RSBA7_00682
PHG084	RSBA7_04246
PHG084	RSBA7_00563
PHG084	RSBA7_04249
PHG084	RSBA7_00202
PHG084	RSBA7_00565
PHG084	RSBA7_03118
PHG084	RSBA7_03832
PHG084	RSBA7_04206
PHG084	RSBA7_04803
PHG084	RSBA7_03826
PHG084	RSBA7_00913
PHG084	RSBA7_03629
PHG084	RSBA7_05050
PHG084	RSBA7_04272
PHG084	RSBA7_04393
PHG084	RSBA7_05043
PHG084	RSBA7_04474
PHG084	RSBA7_00592
PHG084	RSBA7_04597
PHG084	RSBA7_03664
PHG084	RSBA7_04037
PHG084	RSBA7_00673
PHG084	RSBA7_01400
PHG084	RSBA7_04633
PHG084	RSBA7_02414
PHG084	RSBA7_01403
PHG084	RSBA7_04638
H16_B0558	RSBA7_03860
H16_B0558	RSBA7_05002
H16_A2934	RSBA7_02151
H16_A2933	RSBA7_02150
H16_A2936	RSBA7_02153
H16_A2935	RSBA7_02152
H16_B0554	RSBA7_03384
H16_A2938	RSBA7_02155
H16_A2937	RSBA7_02154
H16_B0555	RSBA7_00182
H16_A2939	RSBA7_02156
PHG079	RSBA7_00841
H16_B0745	RSBA7_01443
H16_B0739	RSBA7_03234
H16_B0736	RSBA7_04077
H16_B0737	RSBA7_01430
H16_A1810	RSBA7_03703
H16_A1813	RSBA7_02313
H16_A1814	RSBA7_01671
H16_A1816	RSBA7_03700
H16_A1817	RSBA7_03703
H16_A1818	RSBA7_01586
H16_A1801	RSBA7_01868
H16_B0755	RSBA7_01633
H16_B0750	RSBA7_00555
H16_B0751	RSBA7_01889
H16_B0703	RSBA7_00238
H16_B0727	RSBA7_05027
H16_B0724	RSBA7_01530
H16_B0722	RSBA7_01889
H16_B0716	RSBA7_01780
H16_B0716	RSBA7_02561
H16_B0717	RSBA7_01779
H16_B0717	RSBA7_02562
H16_B0712	RSBA7_02833
H16_B0709	RSBA7_03632
H16_A2289	RSBA7_01267
H16_A2280	RSBA7_01274
H16_A2282	RSBA7_01271
H16_A2281	RSBA7_01272
H16_A2279	RSBA7_01275
H16_A2278	RSBA7_01276
H16_A2271	RSBA7_01283
H16_A2270	RSBA7_01284
H16_A2273	RSBA7_01281
H16_A2272	RSBA7_01282
H16_A2275	RSBA7_01279
H16_A2274	RSBA7_01280
H16_A2277	RSBA7_01277
H16_A2276	RSBA7_01278
H16_A2291	RSBA7_01266
H16_A2290	RSBA7_03420
H16_A2292	RSBA7_04338
H16_A2295	RSBA7_01264
H16_A2294	RSBA7_01265
H16_A2297	RSBA7_01262
H16_A2296	RSBA7_01263
H16_A2298	RSBA7_01261
H16_A2246	RSBA7_01305
H16_A3577	RSBA7_02938
H16_A3576	RSBA7_02937
H16_A3579	RSBA7_02939
H16_A2247	RSBA7_01304
H16_A2249	RSBA7_01303
RALH11849	RSBA7_04967
H16_B1195	RSBA7_00651
RALH11842	RSBA7_01799
H16_B1193	RSBA7_04135
H16_B1194	RSBA7_00650
H16_B1191	RSBA7_04138
H16_B1192	RSBA7_00232
H16_B1192	RSBA7_04136
H16_B1190	RSBA7_04139
H16_A2240	RSBA7_01308
H16_A3570	RSBA7_02934
H16_A2241	RSBA7_01307
H16_A3575	RSBA7_02936
H16_A3574	RSBA7_02935
H16_A3566	RSBA7_02930
H16_A3565	RSBA7_02929
H16_A2237	RSBA7_01311
H16_A3568	RSBA7_02932
H16_A2236	RSBA7_01312
H16_A3567	RSBA7_02931
H16_A2239	RSBA7_01309
H16_A2238	RSBA7_01310
H16_A3569	RSBA7_02933
H16_B1188	RSBA7_04142
H16_B1189	RSBA7_04141
RALH11850	RSBA7_04967
RALH11851	RSBA7_04967
H16_B1182	RSBA7_00240
RALH11855	RSBA7_03537
H16_B1183	RSBA7_03275
H16_B1180	RSBA7_04926
H16_B1180	RSBA7_01650
H16_A2231	RSBA7_01315
H16_A2230	RSBA7_01316
