H16_A2565	BSU11340
H16_A0603	BSU01370
H16_B1179	BSU03910
H16_B2266	BSU37270
H16_B2265	BSU37280
PHG387	BSU38980
H16_A1370	BSU24310
H16_A0282	BSU24160
H16_A2462	BSU38500
H16_A3430	BSU18440
H16_A1251	BSU14860
H16_A1495	BSU19310
PHG388	BSU38990
H16_A3431	BSU18450
H16_A1002	BSU29220
H16_A2454	BSU11230
H16_A2454	BSU15510
H16_A3664	BSU39760
H16_B0639	BSU24060
H16_B0639	BSU08090
H16_A2335	BSU17460
H16_A1005	BSU32450
H16_A3669	BSU33510
H16_A3668	BSU33500
H16_A1007	BSU22060
H16_A1007	BSU32440
H16_A1007	BSU32430
H16_A3308	BSU27430
H16_A3308	BSU23960
H16_A3308	BSU29340
H16_A3308	BSU03590
H16_A0953	BSU15680
H16_B0998	BSU32450
H16_A3307	BSU18220
H16_A1009	BSU32460
H16_A0955	BSU27600
H16_A1923	BSU00180
H16_A1923	BSU13170
H16_B0994	BSU32460
H16_B0995	BSU32460
H16_B1960	BSU19310
H16_B2378	BSU00730
H16_B2378	BSU27260
H16_B0198	BSU38990
H16_B0199	BSU38980
H16_B2130	BSU31060
H16_B1284	BSU35700
H16_A0273	BSU39760
H16_A0395	BSU22070
H16_A0395	BSU27610
H16_A2452	BSU15520
H16_A2452	BSU11240
H16_A0100	BSU18220
H16_A0227	BSU32170
H16_A1438	BSU24170
H16_B1479	BSU32730
H16_B2566	BSU23850
H16_B0145	BSU08070
H16_B0145	BSU24040
H16_B0145	BSU14590
H16_B1355	BSU38240
H16_B1477	BSU32740
H16_B1595	BSU36890
H16_B0144	BSU08060
RALH12895	BSU22060
RALH12895	BSU32440
RALH12895	BSU32430
H16_B0381	BSU24170
H16_A3171	BSU24350
H16_A3292	BSU18570
H16_A3172	BSU24340
H16_A3295	BSU12950
H16_A3056	BSU29130
H16_B0819	BSU17000
H16_B0819	BSU30220
H16_A0462	BSU32830
H16_A2752	BSU35670
H16_A2994	BSU15610
H16_A2994	BSU03280
H16_B0817	BSU32470
H16_A3048	BSU15700
H16_A0695	BSU39360
H16_B1904	BSU15910
H16_A2756	BSU27430
H16_A2756	BSU23960
H16_A2756	BSU29340
H16_A2756	BSU03590
H16_A1303	BSU12950
H16_A0336	BSU22830
H16_A2636	BSU24140
H16_A2636	BSU29140
H16_A2636	BSU09440
H16_A2638	BSU18000
H16_B1581	BSU13180
H16_A3045	BSU29300
H16_A3045	BSU16670
H16_A0570	BSU06420
H16_A2871	BSU31150
H16_A0571	BSU06430
H16_A3288	BSU28560
H16_A3288	BSU10270
H16_B1939	BSU19310
H16_A1332	BSU38980
H16_A0243	BSU38020
H16_A0243	BSU11710
H16_A2665	BSU34190
H16_A2665	BSU03060
H16_A0367	BSU15020
H16_A3633	BSU10120
H16_A3636	BSU36800
H16_A1457	BSU00910
H16_A1216	BSU00930
H16_A2546	BSU16920
H16_A3514	BSU18250
H16_A3638	BSU36820
H16_B0965	BSU02510
H16_B1812	BSU22110
H16_A3637	BSU36810
H16_B0724	BSU28540
H16_B1810	BSU27430
H16_B1810	BSU23960
H16_B1810	BSU29340
H16_B1810	BSU03590
H16_A3639	BSU36830
H16_A0802	BSU35580
H16_B2226	BSU30450
H16_B1498	BSU35940
H16_B1499	BSU35950
H16_B1015	BSU26860
H16_B1015	BSU07610
H16_B1015	BSU39060
H16_A0807	BSU00730
H16_A0807	BSU27260
H16_B0280	BSU21870
H16_A3077	BSU06500
H16_A1331	BSU38990
H16_A0232	BSU39860
H16_A0475	BSU27430
H16_A0475	BSU23960
H16_A0475	BSU29340
H16_A0475	BSU03590
H16_A2410	BSU11720
H16_B0717	BSU12950
H16_A3622	BSU15860
H16_A0477	BSU04000
H16_A0235	BSU08790
H16_A1204	BSU16770
H16_A0357	BSU08830
H16_B2578	BSU06370
H16_B2578	BSU29990
H16_A0915	BSU06530
H16_B1125	BSU12950
H16_A0918	BSU36890
H16_B0032	BSU40850
H16_A3063	BSU11250
H16_A0471	BSU37790
H16_A0471	BSU22960
H16_A0230	BSU30550
H16_A3258	BSU29060
H16_A0782	BSU32410
H16_A0782	BSU14520
H16_A0782	BSU15500
H16_A3136	BSU13130
H16_A3015	BSU39370
H16_A0784	BSU18410
H16_A3018	BSU39350
H16_A2049	BSU16550
H16_A3017	BSU39360
H16_A2722	BSU00180
H16_A2722	BSU13170
H16_B1559	BSU30980
H16_A0547	BSU16090
H16_A2848	BSU23280
H16_A0548	BSU16100
H16_B0226	BSU38860
H16_A0427	BSU21770
H16_A2606	BSU11880
H16_A2606	BSU11870
H16_A2606	BSU27250
H16_A1517	BSU21680
H16_B0103	BSU33040
H16_A2607	BSU06490
H16_A2849	BSU23270
H16_A1071	BSU38170
H16_A1072	BSU38160
H16_A1072	BSU14900
H16_A3370	BSU32470
H16_A1073	BSU38150
H16_A2044	BSU36370
H16_A3367	BSU22060
H16_A3367	BSU32440
H16_A3367	BSU32430
H16_A2952	BSU12950
H16_A3249	BSU13120
H16_A3249	BSU18470
H16_A0773	BSU03600
H16_A0773	BSU23970
H16_A0773	BSU29360
H16_A2159	BSU07570
H16_A1501	BSU30420
H16_A3129	BSU22410
H16_B1428	BSU08820
H16_B1428	BSU39050
H16_B1428	BSU38630
H16_A2834	BSU36900
H16_A2959	BSU22420
PHG417	BSU33930
H16_A2273	BSU12840
H16_A2030	BSU00090
H16_A1185	BSU37150
H16_A1188	BSU33900
H16_A2620	BSU28250
H16_A3159	BSU08000
H16_A3037	BSU27860
H16_A0321	BSU36510
H16_A2621	BSU28260
H16_A0566	BSU33930
H16_A0445	BSU22750
H16_A0325	BSU13900
H16_A2747	BSU19310
H16_A2505	BSU13110
H16_A0326	BSU18830
H16_B0127	BSU02490
H16_A2507	BSU09290
H16_B1337	BSU38240
H16_B1695	BSU30800
H16_B1693	BSU31980
PHG420	BSU17890
H16_A3153	BSU29220
H16_A3276	BSU15190
H16_A2066	BSU14180
PHG423	BSU15790
RALH12112	BSU18230
RALH12597	BSU18410
H16_A1892	BSU02230
H16_A0793	BSU22620
H16_A1641	BSU38150
H16_A3147	BSU17890
H16_A1642	BSU38160
H16_A1642	BSU14900
H16_A2732	BSU24270
H16_A2611	BSU29210
H16_A3700	BSU15720
H16_A1643	BSU38170
H16_A0312	BSU07700
H16_A0312	BSU13890
H16_A0312	BSU02350
H16_A0312	BSU39270
H16_A0797	BSU22890
H16_A2855	BSU23250
H16_A0676	BSU33390
H16_A2733	BSU24280
H16_A2854	BSU23260
H16_A1525	BSU40330
H16_A1525	BSU02400
H16_A1525	BSU39390
H16_A1525	BSU37760
H16_B1207	BSU40070
H16_B1207	BSU19520
H16_A0316	BSU23850
H16_A2614	BSU22640
H16_A1526	BSU28540
H16_A1527	BSU31760
H16_A0439	BSU32470
H16_A2619	BSU28270
H16_B1562	BSU30940
H16_B1682	BSU30450
H16_A1081	BSU36660
H16_A2051	BSU16530
H16_A1083	BSU36650
H16_A2050	BSU16540
H16_A2053	BSU16510
H16_A1084	BSU36640
H16_A2173	BSU33500
H16_A3025	BSU11220
H16_A3146	BSU33940
H16_A3146	BSU29020
H16_A0791	BSU10020
H16_A1880	BSU31620
H16_A1881	BSU31610
H16_A2125	BSU32730
H16_A1035	BSU28310
H16_A1037	BSU28290
H16_A2247	BSU33370
H16_A2368	BSU22730
H16_A3699	BSU15730
H16_A0501	BSU06520
H16_A2920	BSU28150
H16_A0623	BSU32410
H16_A0623	BSU14520
H16_A0623	BSU15500
H16_B1879	BSU19310
H16_A2009	BSU31930
H16_A2925	BSU29440
H16_A2806	BSU21690
H16_B0421	BSU31060
H16_B1631	BSU24090
H16_B1871	BSU37660
H16_B2165	BSU30530
H16_B2285	BSU15610
H16_B2285	BSU03280
H16_B1192	BSU24150
H16_B1192	BSU37170
H16_B1192	BSU18260
H16_A0180	BSU30230
H16_A0186	BSU18230
H16_A2244	BSU08860
H16_A3453	BSU28130
H16_A2243	BSU08850
H16_A0299	BSU04470
H16_A1027	BSU25310
H16_A0610	BSU25020
H16_B1507	BSU32410
H16_B1507	BSU14520
H16_B1507	BSU15500
H16_A1701	BSU32470
H16_A0734	BSU08710
H16_A0734	BSU28120
H16_A2913	BSU15490
H16_B0777	BSU03320
H16_B0777	BSU03300
H16_B1501	BSU23850
H16_B1186	BSU13580
RALH11977	BSU38860
H16_A0290	BSU35700
H16_B0090	BSU34190
H16_B0090	BSU03060
H16_A2592	BSU32110
H16_A2592	BSU03270
H16_A0172	BSU24150
H16_A0172	BSU37170
H16_A0172	BSU18260
H16_A3320	BSU00750
H16_A2354	BSU40420
H16_A3321	BSU22670
H16_A1179	BSU03150
H16_A1971	BSU18250
H16_A2028	BSU06360
H16_B1537	BSU03910
H16_A1976	BSU33500
H16_A2703	BSU21820
H16_B1659	BSU35550
H16_B0449	BSU24080
H16_A2704	BSU21810
H16_A1616	BSU38500
H16_B1896	BSU32470
H16_B1534	BSU31060
H16_B0440	BSU31100
H16_B1890	BSU06310
H16_B0560	BSU27860
H16_A3225	BSU35700
H16_A1047	BSU33920
RALH1_K22388	BSU35700
H16_A0753	BSU34790
H16_A1722	BSU32470
H16_A3109	BSU08820
H16_A3109	BSU39050
H16_A3109	BSU38630
H16_B0317	BSU22090
H16_B2057	BSU03910
H16_B1082	BSU30530
H16_A1041	BSU28280
H16_A3102	BSU21900
