ID	Name	Formula_with_ids	Formula_with_Names	EC	Type	Pathways	GPR	Complete_GPR	networks	percentageNetworks
R_16DCDC3	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	M_5fchdc_c + M_nad_c --> M_4flrcatech_c + M_co2_c + M_nadh_c	5-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate + Nicotinamide_adenine_dinucleotide --> 4-Fluorocatechol + Carbon_dioxide_CO2 + Nicotinamide_adenine_dinucleotide___reduced	null	normal	Fluorobenzoate degradation	( RSBA7_01461 ) OR ( RSBDBR229_02038 ) OR ( RSCFB2957_01452 ) OR ( RSK60_00185 ) OR ( RSMOLK2_03651 ) OR ( RSPSI07_01793 ) OR ( RSR24_01747 ) OR ( RSUW551_01371 )	complete_gpr	[RSMOLK2, RSPSI07, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSK60]	73
R_16DCDC4	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	M_4fchdc_c + M_nad_c --> M_4flrcatech_c + M_co2_c + M_nadh_c	4-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate + Nicotinamide_adenine_dinucleotide --> 4-Fluorocatechol + Carbon_dioxide_CO2 + Nicotinamide_adenine_dinucleotide___reduced	null	normal	Fluorobenzoate degradation	( RSBA7_01461 ) OR ( RSBDBR229_02038 ) OR ( RSCFB2957_01452 ) OR ( RSK60_00185 ) OR ( RSMOLK2_03651 ) OR ( RSPSI07_01793 ) OR ( RSR24_01747 ) OR ( RSUW551_01371 )	complete_gpr	[RSMOLK2, RSPSI07, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSK60]	73
R_1MNAPTH	1-methylnaphthalene hydroxylase	M_h_c + M_mnapth_c + M_nadh_c + M_o2_c --> M_h2o_c + M_hmnapth_c + M_nad_c	proton_H_ + 1-Methylnaphthalene + Nicotinamide_adenine_dinucleotide___reduced + Dioxygen --> H2O + 1-Hydroxymethylnaphthalene + Nicotinamide_adenine_dinucleotide	null	normal	1- and 2-Methylnaphthalene degradation	( RSBA7_00814 ) OR ( RSBDBR229_03923 ) OR ( RSCFB2957_00761 ) OR ( RSGMI1000_00788 ) OR ( RSK60_00922 ) OR ( RSMOLK2_00746 ) OR ( RSPSI07_02488 ) OR ( RSPSS4_00789 ) OR ( RSR24_00830 ) OR ( RSRUN2340_00802 ) OR ( RSUW551_02317 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_1P2CBXLR	Delta1 piperideine 2 carboxylate reductase	M_1p2cbxl_c + 2.0 M_h_c + M_nadph_c --> M_nadp_c + M_pro__L_c	1-Pyrroline-2-carboxylate + 2.0 proton_H_ + Nicotinamide_adenine_dinucleotide_phosphate___reduced --> Nicotinamide_adenine_dinucleotide_phosphate + L_Proline	null	normal	Transport Inner Membrane	( RSR24_01949 ) OR ( RSR24_04760 )	complete_gpr	[RSR24]	9
R_1PPDCRc	L PipecolateNADP 2 oxidoreductase	M_1pipdn2c_c + M_h_c + M_nadph_c --> M_Lpipecol_c + M_nadp_c	Delta1-Piperideine-2-carboxylate + proton_H_ + Nicotinamide_adenine_dinucleotide_phosphate___reduced --> L-pipecolic acid; piperidine-2-carboxylic acid + Nicotinamide_adenine_dinucleotide_phosphate	1.5.1.25;1.5.1.1;1.5.1.21	normal	Pyruvate Metabolism	( RSR24_01949 ) OR ( RSR24_04760 )	complete_gpr	[RSR24]	9
R_1PY4h3cAH	1 Pyrroline 4 hydroxy 2 carboxylate aminohydrolase decyclizing 	M_1py4h3c_c + M_h2o_c + M_h_c --> M_25dop_c + M_nh4_c	1 pyrroline 4 hydroxy 2 carboxylate + H2O + proton_H_ --> 2_5_Dioxopentanoate + Ammonium	null	normal	Alternate Carbon Metabolism	RSR24_01923	complete_gpr	[RSR24]	9
R_23CAMPtex	23cAMP transport via diffusion (extracellular to periplasm)	M_23camp_e <==> M_23camp_p	2__3__Cyclic_AMP <==> 2__3__Cyclic_AMP	null	transport	Transport_carbon_substrate		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)	M_23ccmp_e <==> M_23ccmp_p	2__3__Cyclic_CMP <==> 2__3__Cyclic_CMP	null	transport	Transport_carbon_substrate		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_23CGMPtex	23cGMP transport via diffusion (extracellular to periplasm)	M_23cgmp_e <==> M_23cgmp_p	2__3__Cyclic_GMP <==> 2__3__Cyclic_GMP	null	transport	Transport_carbon_substrate		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_23CUMPtex	23cUMP transport via diffusion (extracellular to periplasm)	M_23cump_e <==> M_23cump_p	2__3__Cyclic_UMP <==> 2__3__Cyclic_UMP	null	transport	Transport_carbon_substrate		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_23DHB34DOX	2_3_dihydroxybenzoate_3_4_dioxygenase	M_23dhb_c + M_o2_c --> M_3c2hmucsem_c + M_h_c	2_3_Dihydroxybenzoate + Dioxygen --> 2_hydroxy_3_carboxy_muconic_semialdehyde + proton_H_	null	normal	Benzoate_degradation	( RSGMI1000_04348 ) OR ( RSPSS4_04157 )	complete_gpr	[RSPSS4, RSGMI1000]	18
R_23PDE2pp	2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)	M_23cump_p + M_h2o_p --> M_3ump_p + M_h_p	2__3__Cyclic_UMP + H2O --> 3__UMP + proton_H_	3.1.4.16	normal	Pyrimidine_salvage_pathway	( RSBA7_03060 ) OR ( RSBDBR229_00177 ) OR ( RSCFB2957_03137 ) OR ( RSGMI1000_03424 ) OR ( RSMOLK2_02543 ) OR ( RSPSI07_00071 ) OR ( RSPSS4_03519 ) OR ( RSR24_03439 ) OR ( RSRUN2340_03470 ) OR ( RSRUN2340_03471 ) OR ( RSUW551_03164 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340]	91
R_23PDE4pp	2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)	M_23ccmp_p + M_h2o_p --> M_3cmp_p + M_h_p	2__3__Cyclic_CMP + H2O --> 3__Cmp + proton_H_	3.1.4.16	normal	Pyrimidine_salvage_pathway	( RSBA7_03060 ) OR ( RSBDBR229_00177 ) OR ( RSCFB2957_03137 ) OR ( RSGMI1000_03424 ) OR ( RSMOLK2_02543 ) OR ( RSPSI07_00071 ) OR ( RSPSS4_03519 ) OR ( RSR24_03439 ) OR ( RSRUN2340_03470 ) OR ( RSRUN2340_03471 ) OR ( RSUW551_03164 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340]	91
R_23PDE7pp	2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)	M_23camp_p + M_h2o_p --> M_3amp_p + M_h_p	2__3__Cyclic_AMP + H2O --> 3__AMP + proton_H_	3.1.4.16	normal	Purine_salvage_pathway	( RSBA7_03060 ) OR ( RSBDBR229_00177 ) OR ( RSCFB2957_03137 ) OR ( RSGMI1000_03424 ) OR ( RSMOLK2_02543 ) OR ( RSPSI07_00071 ) OR ( RSPSS4_03519 ) OR ( RSR24_03439 ) OR ( RSRUN2340_03470 ) OR ( RSRUN2340_03471 ) OR ( RSUW551_03164 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340]	91
R_23PDE9pp	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)	M_23cgmp_p + M_h2o_p --> M_3gmp_p + M_h_p	2__3__Cyclic_GMP + H2O --> 3__GMP + proton_H_	3.1.4.16	normal	Purine_salvage_pathway	( RSBA7_03060 ) OR ( RSBDBR229_00177 ) OR ( RSCFB2957_03137 ) OR ( RSGMI1000_03424 ) OR ( RSMOLK2_02543 ) OR ( RSPSI07_00071 ) OR ( RSPSS4_03519 ) OR ( RSR24_03439 ) OR ( RSRUN2340_03470 ) OR ( RSRUN2340_03471 ) OR ( RSUW551_03164 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340]	91
R_2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	M_2ddecg3p_p --> M_2ddecg3p_c	2_dodecanoyl_sn_glycerol_3_phosphate --> 2_dodecanoyl_sn_glycerol_3_phosphate	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	M_2tdecg3p_p --> M_2tdecg3p_c	2_tetradecanoyl_sn_glycerol_3_phosphate --> 2_tetradecanoyl_sn_glycerol_3_phosphate	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPA141tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	M_2tdec7eg3p_p --> M_2tdec7eg3p_c	2_tetradec_7_enoyl_sn_glycerol_3_phosphate --> 2_tetradec_7_enoyl_sn_glycerol_3_phosphate	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	M_2hdecg3p_p --> M_2hdecg3p_c	2_hexadecanoyl_sn_glycerol_3_phosphate --> 2_hexadecanoyl_sn_glycerol_3_phosphate	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPA161tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	M_2hdec9eg3p_p --> M_2hdec9eg3p_c	2_hexadec_9_enoyl_sn_glycerol_3_phosphate --> 2_hexadec_9_enoyl_sn_glycerol_3_phosphate	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	M_2odecg3p_p --> M_2odecg3p_c	2_octadecanoyl_sn_glycerol_3_phosphate --> 2_octadecanoyl_sn_glycerol_3_phosphate	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPA181tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	M_2odec11eg3p_p --> M_2odec11eg3p_c	2_octadec_11_enoyl_sn_glycerol_3_phosphate --> 2_octadec_11_enoyl_sn_glycerol_3_phosphate	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	M_2agpe120_p --> M_2agpe120_c	2_Acyl_sn_glycero_3_phosphoethanolamine__n_C12_0_ --> 2_Acyl_sn_glycero_3_phosphoethanolamine__n_C12_0_	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	M_2agpe140_p --> M_2agpe140_c	2_Acyl_sn_glycero_3_phosphoethanolamine__n_C14_0_ --> 2_Acyl_sn_glycero_3_phosphoethanolamine__n_C14_0_	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	M_2agpe141_p --> M_2agpe141_c	2_Acyl_sn_glycero_3_phosphoethanolamine__n_C14_1_ --> 2_Acyl_sn_glycero_3_phosphoethanolamine__n_C14_1_	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPE160tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)	M_2agpe160_p --> M_2agpe160_c	2_Acyl_sn_glycero_3_phosphoethanolamine__n_C16_0_ --> 2_Acyl_sn_glycero_3_phosphoethanolamine__n_C16_0_	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPE161tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)	M_2agpe161_p --> M_2agpe161_c	2_Acyl_sn_glycero_3_phosphoethanolamine__n_C16_1_ --> 2_Acyl_sn_glycero_3_phosphoethanolamine__n_C16_1_	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_2AGPE180tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	M_2agpe180_p --> M_2agpe180_c	2_Acyl_sn_glycero_3_phosphoethanolamine__n_C18_0_ --> 2_Acyl_sn_glycero_3_phosphoethanolamine__n_C18_0_	null	transport	Transport_carbon_substrate	( RSBA7_01332 ) OR ( RSBDBR229_01862 ) OR ( RSCFB2957_01341 ) OR ( RSGMI1000_01402 ) OR ( RSK60_00297 ) OR ( RSMOLK2_03827 ) OR ( RSPSI07_01905 ) OR ( RSPSS4_01453 ) OR ( RSR24_01850 ) OR ( RSRUN2340_01778 ) OR ( RSUW551_01492 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
