RSc0338	RSBA7_00338
RSp1286	RSBA7_03668
RSp1287	RSBA7_03563
RSp1284	RSBA7_03670
RSp1285	RSBA7_03669
RSp1288	RSBA7_03562
RSp1289	RSBA7_03561
RSp1271	RSBA7_03572
RSc2189	RSBA7_02008
RSc2188	RSBA7_02007
RSc2187	RSBA7_02006
RSp1270	RSBA7_03573
RSp1275	RSBA7_03569
RSp1276	RSBA7_03568
RSp1273	RSBA7_03571
RSp1274	RSBA7_03570
RSp1279	RSBA7_03564
RSc2193	RSBA7_02012
RSc2192	RSBA7_02011
RSc2191	RSBA7_02010
RSp1277	RSBA7_03566
RSc2190	RSBA7_02009
RSp1278	RSBA7_03565
RSc2197	RSBA7_02016
RSc2196	RSBA7_02015
RSc2195	RSBA7_02014
RSc2194	RSBA7_02013
RSc2179	RSBA7_01998
RSc2178	RSBA7_01997
RSc2177	RSBA7_01996
RSc2176	RSBA7_02084
RSc2176	RSBA7_04818
RSc2176	RSBA7_03230
RSc2176	RSBA7_03893
RSc2176	RSBA7_04786
RSc2176	RSBA7_03124
RSc2176	RSBA7_04785
RSc2176	RSBA7_04678
RSc2176	RSBA7_03720
RSc2176	RSBA7_02081
RSc2176	RSBA7_03834
RSc2182	RSBA7_02001
RSc2181	RSBA7_02000
RSc2180	RSBA7_01999
RSc2186	RSBA7_02005
RSc2185	RSBA7_02004
RSc2184	RSBA7_02003
RSc2183	RSBA7_02002
RSp1290	RSBA7_03560
RSc2168	RSBA7_01988
RSp1293	RSBA7_03557
RSc2167	RSBA7_01987
RSp1294	RSBA7_03556
RSp1291	RSBA7_03559
RSc2166	RSBA7_01986
RSc2165	RSBA7_01985
RSp1292	RSBA7_03558
RSp1297	RSBA7_03553
RSp1298	RSBA7_03551
RSp1295	RSBA7_03555
RSc2169	RSBA7_01989
RSp1296	RSBA7_03554
RSc2171	RSBA7_01991
RSc2170	RSBA7_01990
RSp1299	RSBA7_01407
RSp1299	RSBA7_03661
RSp1299	RSBA7_04625
RSp1299	RSBA7_02106
RSp1299	RSBA7_02108
RSp1299	RSBA7_03603
RSc2175	RSBA7_01995
RSc2174	RSBA7_01994
RSc2173	RSBA7_01993
RSc2172	RSBA7_01992
RSc2157	RSBA7_01978
RSc2156	RSBA7_01977
RSc2155	RSBA7_01976
RSc2154	RSBA7_01975
RSp1242	RSBA7_03601
RSp1243	RSBA7_03600
RSc2159	RSBA7_01980
RSp1240	RSBA7_04479
RSc2158	RSBA7_01979
RSp1241	RSBA7_03602
RSc2160	RSBA7_01981
RSp1246	RSBA7_03597
RSp1247	RSBA7_03596
RSp1244	RSBA7_03599
RSp1245	RSBA7_03598
RSc2164	RSBA7_01984
RSp1248	RSBA7_03595
RSc2161	RSBA7_01982
RSp1249	RSBA7_03594
RSp1231	RSBA7_03622
RSc2149	RSBA7_01969
RSp1232	RSBA7_03621
RSc2148	RSBA7_01968
RSp1230	RSBA7_03623
RSp1235	RSBA7_03618
RSp1236	RSBA7_03617
RSp1236	RSBA7_04367
RSp1233	RSBA7_03620
RSp1234	RSBA7_03619
RSc2153	RSBA7_01974
RSp1239	RSBA7_03677
RSc2152	RSBA7_01972
RSc2151	RSBA7_01971
RSc2150	RSBA7_01970
RSp1260	RSBA7_03584
RSp1261	RSBA7_03583
RSp1264	RSBA7_03579
RSc2138	RSBA7_04176
RSc2138	RSBA7_03940
RSp1265	RSBA7_03578
RSc2137	RSBA7_01564
RSp1262	RSBA7_03581
RSp1263	RSBA7_03580
RSp1268	RSBA7_03575
RSp1269	RSBA7_03574
RSp1266	RSBA7_03577
RSp1267	RSBA7_03576
RSc2140	RSBA7_01236
RSc2124	RSBA7_01964
RSc2123	RSBA7_02464
RSc2123	RSBA7_01963
RSp1250	RSBA7_03593
RSc2121	RSBA7_01961
RSc2126	RSBA7_01966
RSp1251	RSBA7_03592
RSc2125	RSBA7_01965
RSp1252	RSBA7_03591
RSp1257	RSBA7_03587
RSp1258	RSBA7_03586
RSp1255	RSBA7_03589
RSp1256	RSBA7_03588
RSp1259	RSBA7_03585
RSc1706	RSBA7_04355
RSc1704	RSBA7_04629
RSc1704	RSBA7_00559
RSc1704	RSBA7_04815
RSc1704	RSBA7_04903
RSc1704	RSBA7_01938
RSc1704	RSBA7_05040
RSc1704	RSBA7_02161
RSc1704	RSBA7_04494
RSc1704	RSBA7_05074
RSc1704	RSBA7_03162
RSc1704	RSBA7_05031
RSc1704	RSBA7_05048
RSc1704	RSBA7_04421
RSc1704	RSBA7_04420
RSc1704	RSBA7_04961
RSc1704	RSBA7_00201
RSc1704	RSBA7_03228
RSc1704	RSBA7_03315
RSc1704	RSBA7_04813
RSp1203	RSBA7_04549
RSp1200	RSBA7_04547
RSp1201	RSBA7_04548
RSp1206	RSBA7_04552
RSp1207	RSBA7_04553
RSp1204	RSBA7_04550
RSp1205	RSBA7_04551
RSc1709	RSBA7_01576
RSp1208	RSBA7_04554
RSc1708	RSBA7_01577
RSp1209	RSBA7_04555
RSp1220	RSBA7_04565
RSp1221	RSBA7_04566
RSp1224	RSBA7_04569
RSp1222	RSBA7_04567
RSp1223	RSBA7_04568
RSp1228	RSBA7_03627
RSp1229	RSBA7_03626
RSp1210	RSBA7_04556
RSp1210	RSBA7_00249
RSp1213	RSBA7_04561
RSp1214	RSBA7_04562
RSp1211	RSBA7_04558
RSp1217	RSBA7_01408
RSp1217	RSBA7_03660
RSp1217	RSBA7_02105
RSp1217	RSBA7_02107
RSp1217	RSBA7_03604
RSp1217	RSBA7_04626
RSp1215	RSBA7_04563
RSp1216	RSBA7_01407
RSp1216	RSBA7_03661
RSp1216	RSBA7_04625
RSp1216	RSBA7_02106
RSp1216	RSBA7_02108
RSp1216	RSBA7_03603
RSp1219	RSBA7_04564
RSp0794	RSBA7_04008
RSp0799	RSBA7_03994
RSp0798	RSBA7_03995
RSc1549	RSBA7_01714
RSc1549	RSBA7_04070
RSc1549	RSBA7_02082
RSc1549	RSBA7_04260
RSc1549	RSBA7_05030
RSc1549	RSBA7_04583
RSc1549	RSBA7_04861
RSc1549	RSBA7_04189
RSc1549	RSBA7_00584
RSc1549	RSBA7_03333
RSc1549	RSBA7_03457
RSc1549	RSBA7_05038
RSc1549	RSBA7_02920
RSc1549	RSBA7_04306
RSc1549	RSBA7_00302
RSc1549	RSBA7_02567
RSc1549	RSBA7_00217
RSc1549	RSBA7_00737
RSc1549	RSBA7_05065
RSc1549	RSBA7_04570
RSc1549	RSBA7_03440
RSc1549	RSBA7_04014
RSc1549	RSBA7_02078
RSc1549	RSBA7_04255
RSc1549	RSBA7_05068
RSc1549	RSBA7_00330
RSc1549	RSBA7_02112
RSc1549	RSBA7_02114
RSc1549	RSBA7_04018
RSc1549	RSBA7_00335
RSc1549	RSBA7_00337
RSc1549	RSBA7_02679
RSc1549	RSBA7_02628
RSc1549	RSBA7_05098
RSc1549	RSBA7_04042
RSc1549	RSBA7_05097
RSc1549	RSBA7_03792
RSc1549	RSBA7_00086
RSc1549	RSBA7_04245
RSc1549	RSBA7_05012
RSc1549	RSBA7_00681
RSc1549	RSBA7_05013
RSc1549	RSBA7_05057
RSc1549	RSBA7_01694
RSc1549	RSBA7_03630
RSc1549	RSBA7_03831
RSc1549	RSBA7_04205
RSc1549	RSBA7_00564
RSc1549	RSBA7_04248
RSc1549	RSBA7_00203
RSc1549	RSBA7_00566
RSc1549	RSBA7_03117
RSc1549	RSBA7_04802
RSc1549	RSBA7_03825
RSc1549	RSBA7_04639
RSc1549	RSBA7_00912
RSc1549	RSBA7_05051
RSc1549	RSBA7_05044
RSc1549	RSBA7_04273
RSc1549	RSBA7_04394
RSc1549	RSBA7_00591
RSc1549	RSBA7_04475
RSc1549	RSBA7_04038
RSc1549	RSBA7_04632
RSc1549	RSBA7_00672
RSc1549	RSBA7_03663
RSc1549	RSBA7_04598
RSc1549	RSBA7_01401
RSc1549	RSBA7_02413
RSc1549	RSBA7_04239
RSc1549	RSBA7_01404
RSc0217	RSBA7_04752
RSc2879	RSBA7_02579
RSc0218	RSBA7_00176
RSc2878	RSBA7_02578
RSc2877	RSBA7_02577
RSc0216	RSBA7_04753
RSc0219	RSBA7_03067
RSc0219	RSBA7_00177
RSc2872	RSBA7_02572
RSc1541	RSBA7_01727
RSc2871	RSBA7_02568
RSc1540	RSBA7_00560
RSc2870	RSBA7_02565
RSc2876	RSBA7_02576
RSc1545	RSBA7_01723
RSc2875	RSBA7_02575
RSc1544	RSBA7_01724
RSc0214	RSBA7_03183
RSc1543	RSBA7_01725
RSc2874	RSBA7_02574
RSc0211	RSBA7_00173
RSc2873	RSBA7_02573
RSc1542	RSBA7_01726
RSp0630	RSBA7_04199
RSp0630	RSBA7_05046
RSp0631	RSBA7_04198
RSp0631	RSBA7_05045
RSp0634	RSBA7_04149
RSp0635	RSBA7_04148
RSp0632	RSBA7_04197
RSp0632	RSBA7_05042
RSp0633	RSBA7_04196
RSp0637	RSBA7_04147
RSc2869	RSBA7_02564
RSc2869	RSBA7_01777
RSc1538	RSBA7_01730
RSc2868	RSBA7_02563
RSc2868	RSBA7_01778
RSc1537	RSBA7_01731
RSc0207	RSBA7_03445
RSc2867	RSBA7_01779
RSc2867	RSBA7_02562
RSc1536	RSBA7_01732
RSc0204	RSBA7_03860
RSc0204	RSBA7_05002
RSc2866	RSBA7_01780
RSc2866	RSBA7_02561
RSc0205	RSBA7_04363
RSc0205	RSBA7_04751
RSc1535	RSBA7_01733
RSc1539	RSBA7_01729
RSc2861	RSBA7_03672
RSc2861	RSBA7_02556
RSc1530	RSBA7_01738
RSc2860	RSBA7_02555
RSc1534	RSBA7_01734
RSc0202	RSBA7_03862
RSc2864	RSBA7_03495
RSc2864	RSBA7_02559
RSc1533	RSBA7_01735
RSc0203	RSBA7_03861
RSc1532	RSBA7_01736
RSc2863	RSBA7_02558
RSc0200	RSBA7_03864
RSc1531	RSBA7_01737
RSc2862	RSBA7_02557
RSc0201	RSBA7_03863
RSp0620	RSBA7_04163
RSp0623	RSBA7_04160
RSp0624	RSBA7_04158
RSp0621	RSBA7_04162
RSp0622	RSBA7_04161
RSp0627	RSBA7_04155
RSp0628	RSBA7_04154
RSp0625	RSBA7_04157
RSp0626	RSBA7_04156
RSp0629	RSBA7_04200
RSp0629	RSBA7_05039
RSc1527	RSBA7_01741
RSc2858	RSBA7_02553
RSc2857	RSBA7_02552
RSc2857	RSBA7_00544
RSc1526	RSBA7_01742
RSc1525	RSBA7_01743
RSc2856	RSBA7_02551
RSc2855	RSBA7_02550
RSc1524	RSBA7_01744
RSc1529	RSBA7_01739
RSc1528	RSBA7_01740
RSc2859	RSBA7_02554
RSc2850	RSBA7_02545
RSc2854	RSBA7_02549
RSc1523	RSBA7_01745
RSc1522	RSBA7_01746
RSc2853	RSBA7_02548
RSc1521	RSBA7_01747
RSc2852	RSBA7_02547
RSc1520	RSBA7_01748
RSc2851	RSBA7_02546
RSp0652	RSBA7_00232
RSp0652	RSBA7_04136
RSp0653	RSBA7_04135
RSp0650	RSBA7_04138
RSp0651	RSBA7_04137
RSp0655	RSBA7_04351
RSc2847	RSBA7_02542
RSc1516	RSBA7_01751
RSc1515	RSBA7_01752
RSc2846	RSBA7_02541
RSc2845	RSBA7_02540
RSc1514	RSBA7_01753
RSc2844	RSBA7_02539
RSc1513	RSBA7_01754
RSc1519	RSBA7_01749
RSc2849	RSBA7_02544
RSc1518	RSBA7_01750
RSc2848	RSBA7_02543
RSc2843	RSBA7_02538
RSc1512	RSBA7_01755
RSc1511	RSBA7_03869
RSc1511	RSBA7_01756
RSc2842	RSBA7_02537
RSc2841	RSBA7_02536
RSc2840	RSBA7_02535
RSp0641	RSBA7_04778
RSp0642	RSBA7_04778
RSp0645	RSBA7_04144
RSp0646	RSBA7_04143
RSp0643	RSBA7_04146
RSp0644	RSBA7_04145
RSp0649	RSBA7_04139
RSp0647	RSBA7_04142
RSp0648	RSBA7_04141
RSc1505	RSBA7_01759
RSc2836	RSBA7_02531
RSc1504	RSBA7_01718
RSc1504	RSBA7_01760
RSc2835	RSBA7_02530
RSc2834	RSBA7_02529
RSc1503	RSBA7_01761
RSc2833	RSBA7_02528
RSc1502	RSBA7_01762
RSc1509	RSBA7_03870
RSc2839	RSBA7_02534
RSc2838	RSBA7_02533
RSc1507	RSBA7_01757
RSc2837	RSBA7_02532
RSc1506	RSBA7_01758
RSc1506	RSBA7_01717
RSc2832	RSBA7_02527
RSc1501	RSBA7_01763
RSc2831	RSBA7_02526
RSc2830	RSBA7_02525
RSc2825	RSBA7_02520
RSc2824	RSBA7_02519
RSc2823	RSBA7_02517
RSc2822	RSBA7_02516
RSc2829	RSBA7_02524
RSc2828	RSBA7_02523
RSc2827	RSBA7_02522
RSc2826	RSBA7_02521
RSc2821	RSBA7_02515
RSc2820	RSBA7_02514
RSc2814	RSBA7_02508
RSc2813	RSBA7_02507
RSc2812	RSBA7_02506
RSc2811	RSBA7_02505
RSc2818	RSBA7_02512
RSc2817	RSBA7_02511
RSc2816	RSBA7_02510
RSc2815	RSBA7_02509
RSc2810	RSBA7_02504
RSp0612	RSBA7_04177
RSp0613	RSBA7_04173
RSp0610	RSBA7_04180
RSp0611	RSBA7_04178
RSp0616	RSBA7_04167
RSp0617	RSBA7_04166
RSp0614	RSBA7_04169
RSc2819	RSBA7_02513
RSp0615	RSBA7_04168
RSp0618	RSBA7_04165
RSp0619	RSBA7_04164
RSc2803	RSBA7_02497
RSc2802	RSBA7_02496
RSc2801	RSBA7_02495
RSc2800	RSBA7_02494
RSc2807	RSBA7_02501
RSc2806	RSBA7_02500
RSc2805	RSBA7_02499
RSc2804	RSBA7_02498
RSp0605	RSBA7_04186
RSp0606	RSBA7_04185
RSp0603	RSBA7_02869
RSp0603	RSBA7_02871
RSc2809	RSBA7_02503
RSp0604	RSBA7_04187
RSc2808	RSBA7_02502
RSp0609	RSBA7_04181
RSp0607	RSBA7_04184
RSp0608	RSBA7_04183
RSc3328	RSBA7_03025
RSc3329	RSBA7_03026
RSc0297	RSBA7_00256
RSc3324	RSBA7_03020
RSc3325	RSBA7_03022
RSc0298	RSBA7_00257
RSc3326	RSBA7_03023
RSc0295	RSBA7_00254
RSc3327	RSBA7_03024
RSc0296	RSBA7_00255
RSc3320	RSBA7_03016
RSc3321	RSBA7_03017
RSc3322	RSBA7_03018
RSc0299	RSBA7_00258
RSc3323	RSBA7_03019
RSc3317	RSBA7_03013
RSc3318	RSBA7_03014
RSc3319	RSBA7_03015
RSc0286	RSBA7_00245
RSc3313	RSBA7_03009
RSc0287	RSBA7_00246
RSc3314	RSBA7_03010
RSc0284	RSBA7_00243
RSc3315	RSBA7_03011
RSc3316	RSBA7_03012
RSc3316	RSBA7_03982
RSc0285	RSBA7_00244
RSc3310	RSBA7_03002
RSc0288	RSBA7_00247
RSc3311	RSBA7_03007
RSc0289	RSBA7_00248
RSc3312	RSBA7_03008
RSc0290	RSBA7_04556
RSc0290	RSBA7_00249
RSc0293	RSBA7_00252
RSc0294	RSBA7_00253
RSc0291	RSBA7_00250
RSc0292	RSBA7_00251
RSc3306	RSBA7_02998
RSc3307	RSBA7_02999
RSc3308	RSBA7_03000
RSc3309	RSBA7_03001
RSc3302	RSBA7_02994
RSc0275	RSBA7_00233
RSc3303	RSBA7_02995
RSc0276	RSBA7_00234
RSc0273	RSBA7_00231
RSc3304	RSBA7_02996
RSc0274	RSBA7_00232
RSc0274	RSBA7_04136
RSc3305	RSBA7_02997
RSc0279	RSBA7_00238
RSc0277	RSBA7_00235
RSc3300	RSBA7_02992
RSc3301	RSBA7_02993
RSc0278	RSBA7_00236
RSc0282	RSBA7_00241
RSc0283	RSBA7_00242
RSc0280	RSBA7_00239
RSc0281	RSBA7_00240
RSc1596	RSBA7_01645
RSc0264	RSBA7_00222
RSc0265	RSBA7_00223
RSc1595	RSBA7_01646
RSc1594	RSBA7_01647
RSc0262	RSBA7_00220
RSc1593	RSBA7_01648
RSc0263	RSBA7_00221
RSc0268	RSBA7_00226
RSc0269	RSBA7_00227
RSc0266	RSBA7_00224
RSc1598	RSBA7_01643
RSc0267	RSBA7_00225
RSc1597	RSBA7_01644
RSc0271	RSBA7_00229
RSc0272	RSBA7_00230
RSc0270	RSBA7_00228
RSc0259	RSBA7_00213
RSp1080	RSBA7_03648
RSp1081	RSBA7_03647
RSp1084	RSBA7_03644
RSp1084	RSBA7_03643
RSc0253	RSBA7_00205
RSc1585	RSBA7_01657
RSc1584	RSBA7_01659
RSp1085	RSBA7_03642
RSc0254	RSBA7_00208
RSc1583	RSBA7_01660
RSp1082	RSBA7_03646
RSc0252	RSBA7_00713
