RSc0338	XFCFBP8418_023280
RSc0555	XFCFBP8418_011970
RSc1643	XFCFBP8418_022200
RSc0797	XFCFBP8418_015200
RSc2731	XFCFBP8418_026540
RSc1642	XFCFBP8418_014530
RSc1877	XFCFBP8418_001730
RSc1877	XFCFBP8418_000210
RSc2724	XFCFBP8418_003250
RSc2965	XFCFBP8418_013360
RSc2723	XFCFBP8418_003260
RSc2969	XFCFBP8418_004170
RSc2960	XFCFBP8418_007620
RSc1633	XFCFBP8418_025580
RSc1873	XFCFBP8418_017820
RSc2720	XFCFBP8418_002120
RSc2962	XFCFBP8418_007600
RSc0784	XFCFBP8418_018690
RSc2961	XFCFBP8418_007610
RSc1872	XFCFBP8418_019580
RSp0520	XFCFBP8418_025100
RSc1626	XFCFBP8418_010440
RSc2715	XFCFBP8418_026610
RSc2714	XFCFBP8418_026620
RSc2713	XFCFBP8418_026630
RSc2712	XFCFBP8418_004350
RSc1623	XFCFBP8418_019650
RSc2954	XFCFBP8418_003460
RSc2719	XFCFBP8418_004220
RSc1629	XFCFBP8418_009870
RSc1628	XFCFBP8418_009880
RSc2959	XFCFBP8418_007650
RSc0539	XFCFBP8418_015850
RSc1860	XFCFBP8418_003710
RSc2953	XFCFBP8418_003450
RSc0774	XFCFBP8418_002200
RSc2711	XFCFBP8418_008730
RSc1621	XFCFBP8418_016360
RSc1621	XFCFBP8418_027690
RSc1621	XFCFBP8418_000330
RSc2952	XFCFBP8418_020320
RSc0775	XFCFBP8418_020430
RSc0530	XFCFBP8418_010160
RSc2950	XFCFBP8418_020300
RSc0531	XFCFBP8418_010150
RSc2946	XFCFBP8418_020270
RSc2945	XFCFBP8418_020260
RSc0526	XFCFBP8418_000880
RSc0524	XFCFBP8418_000870
RSc1619	XFCFBP8418_012210
RSc0529	XFCFBP8418_010170
RSc1859	XFCFBP8418_003700
RSc1617	XFCFBP8418_003210
RSc0769	XFCFBP8418_001510
RSc1858	XFCFBP8418_003690
RSc0528	XFCFBP8418_010190
RSc2942	XFCFBP8418_006810
RSc0764	XFCFBP8418_000660
RSc2941	XFCFBP8418_006820
RSc2940	XFCFBP8418_006830
RSp0709	XFCFBP8418_008710
RSp0709	XFCFBP8418_008550
RSc0514	XFCFBP8418_006600
RSc1603	XFCFBP8418_010560
RSc2934	XFCFBP8418_025530
RSc1601	XFCFBP8418_010550
RSc2932	XFCFBP8418_025970
RSc0518	XFCFBP8418_019480
RSc0517	XFCFBP8418_010890
RSc0990	XFCFBP8418_025460
RSc1600	XFCFBP8418_005940
RSc2930	XFCFBP8418_014490
RSc0511	XFCFBP8418_006610
RSc0503	XFCFBP8418_016340
RSc0503	XFCFBP8418_027670
RSc0503	XFCFBP8418_000350
RSc0504	XFCFBP8418_001030
RSc0743	XFCFBP8418_014390
RSc0501	XFCFBP8418_027680
RSc0501	XFCFBP8418_016350
RSc0501	XFCFBP8418_000340
RSc2928	XFCFBP8418_010120
RSc2927	XFCFBP8418_010110
RSc0505	XFCFBP8418_001230
RSc2926	XFCFBP8418_010100
RSc2925	XFCFBP8418_010090
RSc0500	XFCFBP8418_016370
RSc0500	XFCFBP8418_027710
RSc0500	XFCFBP8418_000320
RSc0509	XFCFBP8418_001340
RSc2929	XFCFBP8418_010130
RSc3207	XFCFBP8418_000090
RSc3207	XFCFBP8418_001610
RSc3209	XFCFBP8418_001580
RSc3209	XFCFBP8418_000030
RSc3209	XFCFBP8418_000020
RSc0177	XFCFBP8418_023670
RSc3205	XFCFBP8418_000040
RSc3205	XFCFBP8418_001590
RSc1021	XFCFBP8418_012150
RSc0175	XFCFBP8418_006760
RSc3206	XFCFBP8418_000080
RSc3206	XFCFBP8418_000070
RSc3206	XFCFBP8418_001600
RSc1028	XFCFBP8418_023900
RSc3441	XFCFBP8418_014210
RSc1269	XFCFBP8418_002140
RSc3442	XFCFBP8418_014200
RSc0178	XFCFBP8418_015350
RSc2357	XFCFBP8418_018480
RSc1267	XFCFBP8418_024670
RSc1031	XFCFBP8418_024030
RSc1030	XFCFBP8418_023910
RSc1272	XFCFBP8418_017850
RSc1271	XFCFBP8418_002170
RSc1270	XFCFBP8418_002150
RSc2349	XFCFBP8418_019680
RSc1013	XFCFBP8418_008660
RSc2342	XFCFBP8418_003190
RSc1011	XFCFBP8418_009640
RSc1010	XFCFBP8418_014480
RSc2341	XFCFBP8418_003180
RSc2348	XFCFBP8418_003200
RSc1258	XFCFBP8418_017710
RSc2347	XFCFBP8418_000890
RSc2345	XFCFBP8418_017700
RSc3440	XFCFBP8418_014240
RSc1261	XFCFBP8418_017660
RSc2338	XFCFBP8418_003150
RSc0396	XFCFBP8418_012890
RSc0154	XFCFBP8418_015550
RSc0155	XFCFBP8418_003100
RSc0394	XFCFBP8418_012860
RSc0395	XFCFBP8418_012870
RSc2337	XFCFBP8418_020870
RSc1006	XFCFBP8418_006960
RSc1005	XFCFBP8418_006110
RSc0399	XFCFBP8418_015630
RSc0399	XFCFBP8418_014760
RSc1251	XFCFBP8418_003750
RSc2569	XFCFBP8418_004250
RSc2564	XFCFBP8418_014920
RSc1232	XFCFBP8418_001410
RSc0386	XFCFBP8418_000400
RSc0386	XFCFBP8418_016290
RSc2563	XFCFBP8418_011580
RSc1479	XFCFBP8418_005250
RSc0389	XFCFBP8418_025450
RSc1478	XFCFBP8418_004000
RSc1477	XFCFBP8418_015830
RSc1235	XFCFBP8418_000380
RSc1235	XFCFBP8418_016310
RSc0393	XFCFBP8418_012850
RSc0390	XFCFBP8418_025440
RSc0391	XFCFBP8418_025420
RSc1229	XFCFBP8418_001120
RSc1228	XFCFBP8418_001130
RSc0139	XFCFBP8418_015470
RSc2558	XFCFBP8418_002750
RSc0374	XFCFBP8418_013200
RSc1221	XFCFBP8418_014900
RSc0372	XFCFBP8418_003980
RSc1220	XFCFBP8418_014910
RSc2550	XFCFBP8418_012220
RSc0373	XFCFBP8418_003920
RSc1226	XFCFBP8418_007280
RSc2557	XFCFBP8418_004700
RSc0137	XFCFBP8418_002870
RSc2556	XFCFBP8418_004710
RSc0134	XFCFBP8418_007840
RSc1224	XFCFBP8418_007290
RSc0135	XFCFBP8418_004060
RSc0140	XFCFBP8418_015540
RSc1219	XFCFBP8418_007190
RSp1190	XFCFBP8418_024720
RSc1211	XFCFBP8418_007250
RSc2782	XFCFBP8418_026060
RSc1451	XFCFBP8418_025120
RSc2540	XFCFBP8418_011600
RSc1692	XFCFBP8418_017010
RSc1692	XFCFBP8418_018760
RSc1692	XFCFBP8418_009020
RSp1198	XFCFBP8418_021570
RSc1215	XFCFBP8418_012250
RSc2788	XFCFBP8418_020140
RSc2787	XFCFBP8418_014560
RSc2786	XFCFBP8418_014550
RSc2544	XFCFBP8418_003380
RSc1697	XFCFBP8418_024220
RSp1197	XFCFBP8418_021560
RSc2785	XFCFBP8418_014540
RSc1212	XFCFBP8418_007240
RSc2539	XFCFBP8418_011590
RSc1206	XFCFBP8418_010660
RSc0358	XFCFBP8418_001020
RSc1205	XFCFBP8418_010640
RSc1209	XFCFBP8418_021370
RSc0352	XFCFBP8418_013300
RSc0353	XFCFBP8418_016460
RSc0353	XFCFBP8418_027800
RSc2530	XFCFBP8418_024520
RSc0592	XFCFBP8418_023890
RSc0350	XFCFBP8418_007800
RSc0351	XFCFBP8418_007180
RSc2770	XFCFBP8418_014880
RSc2777	XFCFBP8418_006320
RSc1204	XFCFBP8418_010630
RSc0357	XFCFBP8418_018110
RSc2776	XFCFBP8418_018300
RSc2533	XFCFBP8418_026070
RSc0354	XFCFBP8418_018130
RSc0113	XFCFBP8418_016510
RSc0113	XFCFBP8418_027850
RSc0355	XFCFBP8418_012410
RSc2532	XFCFBP8418_019240
RSc0349	XFCFBP8418_007810
RSc2528	XFCFBP8418_024550
RSc2527	XFCFBP8418_011620
RSc2526	XFCFBP8418_000530
RSc2526	XFCFBP8418_012590
RSc2768	XFCFBP8418_009740
RSc0347	XFCFBP8418_003570
RSc2767	XFCFBP8418_025470
RSc0348	XFCFBP8418_003580
RSc0109	XFCFBP8418_011380
RSc1431	XFCFBP8418_004770
RSc0342	XFCFBP8418_017700
RSc0100	XFCFBP8418_006340
RSc0340	XFCFBP8418_023290
RSc0345	XFCFBP8418_000840
RSc2766	XFCFBP8418_012600
RSc0343	XFCFBP8418_017690
RSc2763	XFCFBP8418_015840
RSc3045	XFCFBP8418_020700
RSp0197	XFCFBP8418_023660
RSp1287	XFCFBP8418_007090
RSp1287	XFCFBP8418_014410
RSp1287	XFCFBP8418_007140
RSc3289	XFCFBP8418_013120
RSp0196	XFCFBP8418_002580
RSc3294	XFCFBP8418_015760
RSc3052	XFCFBP8418_020720
RSc3295	XFCFBP8418_003740
RSc3054	XFCFBP8418_023050
RSp1289	XFCFBP8418_014440
RSc3293	XFCFBP8418_015770
RSc3038	XFCFBP8418_012780
RSc3039	XFCFBP8418_012790
RSc3034	XFCFBP8418_012730
RSc3035	XFCFBP8418_012740
RSc3036	XFCFBP8418_012750
RSc3278	XFCFBP8418_004450
RSc3037	XFCFBP8418_012770
RSc3041	XFCFBP8418_012820
RSc3041	XFCFBP8418_012680
RSp1279	XFCFBP8418_002100
RSc2192	XFCFBP8418_014340
RSc2191	XFCFBP8418_001040
RSc2190	XFCFBP8418_027660
RSc2190	XFCFBP8418_016330
RSc2190	XFCFBP8418_000360
RSc2197	XFCFBP8418_023780
RSc2196	XFCFBP8418_023790
RSc2195	XFCFBP8418_008830
RSc3023	XFCFBP8418_012700
RSc3265	XFCFBP8418_006900
RSc3024	XFCFBP8418_012710
RSc3266	XFCFBP8418_006920
RSc3025	XFCFBP8418_003770
RSc3267	XFCFBP8418_019780
RSc3033	XFCFBP8418_012720
RSc3016	XFCFBP8418_023520
RSp1052	XFCFBP8418_016360
RSp1052	XFCFBP8418_027690
RSp1052	XFCFBP8418_000330
RSc3017	XFCFBP8418_023530
RSc3018	XFCFBP8418_023540
RSp1291	XFCFBP8418_014420
RSp1291	XFCFBP8418_007130
RSc3019	XFCFBP8418_023550
RSc3012	XFCFBP8418_023480
RSc3013	XFCFBP8418_023490
RSp1053	XFCFBP8418_021320
RSc3014	XFCFBP8418_023500
RSc3015	XFCFBP8418_023510
RSc3020	XFCFBP8418_023560
RSc3021	XFCFBP8418_012820
RSc3021	XFCFBP8418_012680
RSc3022	XFCFBP8418_012690
RSc3009	XFCFBP8418_023450
RSc3247	XFCFBP8418_001620
RSc3247	XFCFBP8418_000100
RSc1068	XFCFBP8418_021350
RSc3005	XFCFBP8418_023410
RSc3006	XFCFBP8418_023420
RSc2155	XFCFBP8418_002650
RSc3007	XFCFBP8418_023430
RSc2154	XFCFBP8418_002670
RSc3008	XFCFBP8418_023440
RSc3001	XFCFBP8418_023370
RSc3002	XFCFBP8418_023380
RSc2159	XFCFBP8418_002630
RSc3003	XFCFBP8418_023390
RSp1240	XFCFBP8418_020740
RSc3004	XFCFBP8418_023400
RSc2160	XFCFBP8418_002620
RSc1071	XFCFBP8418_019120
RSc3010	XFCFBP8418_023460
RSc3011	XFCFBP8418_023470
RSc1072	XFCFBP8418_019130
RSc2161	XFCFBP8418_002610
RSc1299	XFCFBP8418_007880
RSc2387	XFCFBP8418_026550
RSc1055	XFCFBP8418_020510
RSc2386	XFCFBP8418_004990
RSc1054	XFCFBP8418_005890
RSc1296	XFCFBP8418_022980
RSc1058	XFCFBP8418_020530
RSp1230	XFCFBP8418_019190
RSc1060	XFCFBP8418_020540
RSc3000	XFCFBP8418_023360
RSp0387	XFCFBP8418_001190
RSc2153	XFCFBP8418_008750
RSc1064	XFCFBP8418_020580
RSc1063	XFCFBP8418_020570
RSc1061	XFCFBP8418_020550
RSc1288	XFCFBP8418_026470
RSc3225	XFCFBP8418_021740
RSc1286	XFCFBP8418_005010
RSc1285	XFCFBP8418_005000
RSc2138	XFCFBP8418_026410
RSc2137	XFCFBP8418_026530
RSc2379	XFCFBP8418_019230
RSc1048	XFCFBP8418_017950
RSc1289	XFCFBP8418_026460
RSc2380	XFCFBP8418_008680
RSc2380	XFCFBP8418_008780
RSc1291	XFCFBP8418_026440
RSc1053	XFCFBP8418_005900
RSc1052	XFCFBP8418_005910
RSc2140	XFCFBP8418_024670
RSc1051	XFCFBP8418_005920
RSc1050	XFCFBP8418_017940
RSc2381	XFCFBP8418_006950
RSc2366	XFCFBP8418_011560
RSc1035	XFCFBP8418_007670
RSc2123	XFCFBP8418_025470
RSp1496	XFCFBP8418_019410
RSp0162	XFCFBP8418_013340
RSc1041	XFCFBP8418_012520
RSc1040	XFCFBP8418_012540
RSp0110	XFCFBP8418_017990
RSp1442	XFCFBP8418_021190
RSp1443	XFCFBP8418_000670
RSp0119	XFCFBP8418_022560
RSc0845	XFCFBP8418_007520
RSc0845	XFCFBP8418_006150
RSc0842	XFCFBP8418_007520
RSc0842	XFCFBP8418_006150
RSp0583	XFCFBP8418_022380
RSp0583	XFCFBP8418_011100
RSp0109	XFCFBP8418_017980
RSc1923	XFCFBP8418_005370
RSc1923	XFCFBP8418_027180
RSc1923	XFCFBP8418_026940
RSc1923	XFCFBP8418_024420
RSc1922	XFCFBP8418_005360
RSc1922	XFCFBP8418_027190
RSc1922	XFCFBP8418_026930
RSc1922	XFCFBP8418_024430
RSc1924	XFCFBP8418_005380
RSc1924	XFCFBP8418_027170
RSc1924	XFCFBP8418_026950
RSc1924	XFCFBP8418_024410
RSp1227	XFCFBP8418_003790
RSc1911	XFCFBP8418_020960
RSc1911	XFCFBP8418_001820
RSc1911	XFCFBP8418_001870
RSc1911	XFCFBP8418_024230
RSc1911	XFCFBP8418_019090
RSp0120	XFCFBP8418_022570
RSp1451	XFCFBP8418_022510
RSp0122	XFCFBP8418_022790
RSp0312	XFCFBP8418_000170
RSp0312	XFCFBP8418_027900
RSp0312	XFCFBP8418_001690
RSc1909	XFCFBP8418_020960
RSc1909	XFCFBP8418_001820
RSc1909	XFCFBP8418_001870
RSc1909	XFCFBP8418_024230
RSc1909	XFCFBP8418_019090
RSc0818	XFCFBP8418_011160
RSp1637	XFCFBP8418_003050
RSp0571	XFCFBP8418_007520
RSp0571	XFCFBP8418_006150
RSp0570	XFCFBP8418_007520
RSp0570	XFCFBP8418_006150
RSp1662	XFCFBP8418_015680
RSp0332	XFCFBP8418_025910
RSp0335	XFCFBP8418_007360
RSc3057	XFCFBP8418_013140
RSp0563	XFCFBP8418_001160
RSc1307	XFCFBP8418_012140
RSc2879	XFCFBP8418_026760
RSc1305	XFCFBP8418_016500
RSc1305	XFCFBP8418_027840
RSc2878	XFCFBP8418_019490
RSc0458	XFCFBP8418_002810
RSc1304	XFCFBP8418_015180
RSc2635	XFCFBP8418_021220
RSc1309	XFCFBP8418_012130
RSc2639	XFCFBP8418_021230
RSc2630	XFCFBP8418_026560
RSc0693	XFCFBP8418_015030
RSc1783	XFCFBP8418_005870
RSc0691	XFCFBP8418_015450
RSc0697	XFCFBP8418_012330
RSc2634	XFCFBP8418_021210
RSc0213	XFCFBP8418_006850
RSc1786	XFCFBP8418_005850
RSc1544	XFCFBP8418_011510
RSc1543	XFCFBP8418_018570
RSc1543	XFCFBP8418_011520
RSc0448	XFCFBP8418_021550
RSc2627	XFCFBP8418_026580
RSc1537	XFCFBP8418_012360
RSc1536	XFCFBP8418_012370
RSc0688	XFCFBP8418_018420
RSc2628	XFCFBP8418_026570
RSc0682	XFCFBP8418_026250
RSc1530	XFCFBP8418_019430
RSc0683	XFCFBP8418_026220
RSc0681	XFCFBP8418_019500
RSc2623	XFCFBP8418_006650
RSc1534	XFCFBP8418_012390
RSc0684	XFCFBP8418_026240
RSc1532	XFCFBP8418_019450
RSc0685	XFCFBP8418_026230
RSc1531	XFCFBP8418_019440
RSc1527	XFCFBP8418_014930
RSc0437	XFCFBP8418_011540
RSc2857	XFCFBP8418_025950
RSc0438	XFCFBP8418_011530
RSc1526	XFCFBP8418_014940
RSc2615	XFCFBP8418_006270
RSc1525	XFCFBP8418_014950
RSc0435	XFCFBP8418_015670
RSc2614	XFCFBP8418_006290
RSc0678	XFCFBP8418_020390
RSc1524	XFCFBP8418_014960
RSc1529	XFCFBP8418_019420
RSc1528	XFCFBP8418_003010
RSc2850	XFCFBP8418_011310
RSc1760	XFCFBP8418_020780
RSc2854	XFCFBP8418_002280
RSc0675	XFCFBP8418_020410
RSc1522	XFCFBP8418_023950
RSc0676	XFCFBP8418_020400
RSc0434	XFCFBP8418_011480
RSc1521	XFCFBP8418_023960
RSc2852	XFCFBP8418_011330
RSc0674	XFCFBP8418_023080
RSc0432	XFCFBP8418_024930
RSp0656	XFCFBP8418_015250
RSp0657	XFCFBP8418_015260
RSp0655	XFCFBP8418_007860
RSc2847	XFCFBP8418_011280
RSc0668	XFCFBP8418_000830
RSc0426	XFCFBP8418_018390
RSc1515	XFCFBP8418_019610
RSc0669	XFCFBP8418_007330
RSc0427	XFCFBP8418_018380
RSc0666	XFCFBP8418_019220
RSc2845	XFCFBP8418_011270
RSc1998	XFCFBP8418_023000
RSc0667	XFCFBP8418_008530
RSc2844	XFCFBP8418_011260
RSc1513	XFCFBP8418_019590
RSc0425	XFCFBP8418_011420
RSc1519	XFCFBP8418_023970
RSc2849	XFCFBP8418_011300
RSc0428	XFCFBP8418_021670
RSc2607	XFCFBP8418_006250
RSc2848	XFCFBP8418_011290
RSc1991	XFCFBP8418_002320
RSc1990	XFCFBP8418_021520
RSc0422	XFCFBP8418_019330
RSc0422	XFCFBP8418_009600
RSc0422	XFCFBP8418_022040
RSc0422	XFCFBP8418_017620
RSc0422	XFCFBP8418_003670
RSc2843	XFCFBP8418_011250
RSc2842	XFCFBP8418_011240
RSp0880	XFCFBP8418_005150
RSc1994	XFCFBP8418_024620
RSc0420	XFCFBP8418_004750
RSc1993	XFCFBP8418_024610
RSc2840	XFCFBP8418_011220
RSp0886	XFCFBP8418_017710
RSc1989	XFCFBP8418_021510
RSc1747	XFCFBP8418_010720
RSc1988	XFCFBP8418_021500
RSc2835	XFCFBP8418_011180
RSc2835	XFCFBP8418_025390
RSc0413	XFCFBP8418_003470
RSc0897	XFCFBP8418_005170
RSc1745	XFCFBP8418_004980
RSc2834	XFCFBP8418_011170
RSc0898	XFCFBP8418_005180
RSc2839	XFCFBP8418_011210
RSc2837	XFCFBP8418_011190
RSc1748	XFCFBP8418_012640
RSc0891	XFCFBP8418_001620
RSc0891	XFCFBP8418_000100
RSc1981	XFCFBP8418_003820
RSc1980	XFCFBP8418_003020
RSc1985	XFCFBP8418_003860
RSc0412	XFCFBP8418_003480
RSc2831	XFCFBP8418_023820
RSc1984	XFCFBP8418_003850
RSc1983	XFCFBP8418_003830
RSc2825	XFCFBP8418_011930
RSc0405	XFCFBP8418_003540
RSc1976	XFCFBP8418_000770
RSc2823	XFCFBP8418_003680
RSc0886	XFCFBP8418_013730
RSc0403	XFCFBP8418_003550
RSc2822	XFCFBP8418_004740
RSc0408	XFCFBP8418_003520
RSc2828	XFCFBP8418_011870
RSc0409	XFCFBP8418_003510
RSc2827	XFCFBP8418_011880
RSc1979	XFCFBP8418_000740
RSc0407	XFCFBP8418_003530
RSc2826	XFCFBP8418_011890
RSc0642	XFCFBP8418_006380
RSc2821	XFCFBP8418_004730
RSc0401	XFCFBP8418_000390
RSc0401	XFCFBP8418_016300
RSc2820	XFCFBP8418_004720
RSc0883	XFCFBP8418_008110
RSc0641	XFCFBP8418_006370
RSc2813	XFCFBP8418_013010
RSc1965	XFCFBP8418_014300
RSc0633	XFCFBP8418_023710
RSc1722	XFCFBP8418_003400
RSc1964	XFCFBP8418_014290
RSc2811	XFCFBP8418_014780
RSc2817	XFCFBP8418_007820
RSc2816	XFCFBP8418_007370
RSc0632	XFCFBP8418_021600
RSc0632	XFCFBP8418_023690
RSc1720	XFCFBP8418_011610
RSc2819	XFCFBP8418_025230
RSc1714	XFCFBP8418_023160
RSc0867	XFCFBP8418_007360
RSc1955	XFCFBP8418_016890
RSc1713	XFCFBP8418_023180
RSc1712	XFCFBP8418_023190
RSc0622	XFCFBP8418_026290
RSc1711	XFCFBP8418_023200
RSc2807	XFCFBP8418_011940
RSc1952	XFCFBP8418_020630
RSp0843	XFCFBP8418_026410
RSc1719	XFCFBP8418_026530
RSc2239	XFCFBP8418_003220
RSc3328	XFCFBP8418_000270
RSc3328	XFCFBP8418_001790
RSc1145	XFCFBP8418_009670
RSc1144	XFCFBP8418_003660
RSc3325	XFCFBP8418_020840
RSc3326	XFCFBP8418_020850
RSc3327	XFCFBP8418_000630
RSc0059	XFCFBP8418_004400
RSc2237	XFCFBP8418_004800
RSc3321	XFCFBP8418_023600
RSc1148	XFCFBP8418_002130
RSc3322	XFCFBP8418_023590
RSc2236	XFCFBP8418_015270
RSc3323	XFCFBP8418_023580
RSc1388	XFCFBP8418_003910
RSc2235	XFCFBP8418_014570
RSc1390	XFCFBP8418_015120
RSc0062	XFCFBP8418_004370
RSc1393	XFCFBP8418_015100
RSc0063	XFCFBP8418_004360
RSc1151	XFCFBP8418_018290
RSc3317	XFCFBP8418_023640
RSc3318	XFCFBP8418_023630
RSc3319	XFCFBP8418_023620
RSc1376	XFCFBP8418_019360
RSc2223	XFCFBP8418_005990
RSc2465	XFCFBP8418_003240
RSc2222	XFCFBP8418_005980
RSc0287	XFCFBP8418_015410
RSc0045	XFCFBP8418_017830
RSc2464	XFCFBP8418_003230
RSc2463	XFCFBP8418_015440
RSc2221	XFCFBP8418_020600
RSc0042	XFCFBP8418_002830
RSc3316	XFCFBP8418_023650
RSc0043	XFCFBP8418_002840
RSc0046	XFCFBP8418_025360
RSc1136	XFCFBP8418_009860
RSc2466	XFCFBP8418_021320
RSc2230	XFCFBP8418_024000
RSc0052	XFCFBP8418_002850
RSc2219	XFCFBP8418_007460
RSc1129	XFCFBP8418_022220
RSc2459	XFCFBP8418_004670
RSc2217	XFCFBP8418_007480
RSc2454	XFCFBP8418_006660
RSc3302	XFCFBP8418_013190
RSc3303	XFCFBP8418_004180
RSc1127	XFCFBP8418_022230
RSc2458	XFCFBP8418_004680
RSc2216	XFCFBP8418_008210
RSc2457	XFCFBP8418_004690
RSc1126	XFCFBP8418_022240
RSc2215	XFCFBP8418_004040
RSc1368	XFCFBP8418_007410
RSc0277	XFCFBP8418_010460
RSp0810	XFCFBP8418_023650
RSc2461	XFCFBP8418_015430
RSc0040	XFCFBP8418_012270
RSc1130	XFCFBP8418_022210
RSc1372	XFCFBP8418_003800
RSc1371	XFCFBP8418_010700
RSp0814	XFCFBP8418_009850
RSp0813	XFCFBP8418_007160
RSp0818	XFCFBP8418_000170
RSp0818	XFCFBP8418_027900
RSp0818	XFCFBP8418_001690
RSp0819	XFCFBP8418_027910
RSp0819	XFCFBP8418_000160
RSp0819	XFCFBP8418_001680
RSc1119	XFCFBP8418_015720
RSc1118	XFCFBP8418_024570
RSc2448	XFCFBP8418_000560
RSc2206	XFCFBP8418_012560
RSc1117	XFCFBP8418_024580
RSc1596	XFCFBP8418_004790
RSc2200	XFCFBP8418_024530
RSc2442	XFCFBP8418_004660
RSc2684	XFCFBP8418_013370
RSc1595	XFCFBP8418_015230
RSc2683	XFCFBP8418_018280
RSc1593	XFCFBP8418_000610
RSc2682	XFCFBP8418_018440
RSc2205	XFCFBP8418_026790
RSc1115	XFCFBP8418_023930
RSc2446	XFCFBP8418_023030
RSc1114	XFCFBP8418_012470
RSc0266	XFCFBP8418_014650
RSc2687	XFCFBP8418_003760
RSc2445	XFCFBP8418_023040
RSc2686	XFCFBP8418_014680
RSc2444	XFCFBP8418_015420
RSc2690	XFCFBP8418_002360
RSp0804	XFCFBP8418_012690
RSp0807	XFCFBP8418_012470
RSc1106	XFCFBP8418_017820
RSc0011	XFCFBP8418_027910
RSc0011	XFCFBP8418_000160
RSc0011	XFCFBP8418_001680
RSc2674	XFCFBP8418_016490
RSc2674	XFCFBP8418_027830
RSc0495	XFCFBP8418_015560
RSc0496	XFCFBP8418_015580
RSc1584	XFCFBP8418_011720
RSc1583	XFCFBP8418_011730
RSc0010	XFCFBP8418_000170
RSc0010	XFCFBP8418_027900
RSc0010	XFCFBP8418_001690
RSc1582	XFCFBP8418_011750
RSc0494	XFCFBP8418_007740
RSc1347	XFCFBP8418_004070
RSc2435	XFCFBP8418_003360
RSc1346	XFCFBP8418_004080
RSc1588	XFCFBP8418_020210
RSc1588	XFCFBP8418_020220
RSc1345	XFCFBP8418_004090
RSc0498	XFCFBP8418_019670
RSc2681	XFCFBP8418_018450
RSc0008	XFCFBP8418_007470
RSc0249	XFCFBP8418_004590
RSc0249	XFCFBP8418_013810
RSc0249	XFCFBP8418_004610
RSc1579	XFCFBP8418_011780
RSc2421	XFCFBP8418_002680
RSc2420	XFCFBP8418_010970
RSc0001	XFCFBP8418_014190
RSc2660	XFCFBP8418_014390
RSc1336	XFCFBP8418_004100
RSc0246	XFCFBP8418_004590
RSc0246	XFCFBP8418_013810
RSc0246	XFCFBP8418_004610
RSc1578	XFCFBP8418_011790
RSc1577	XFCFBP8418_011800
RSc0005	XFCFBP8418_014140
RSc1335	XFCFBP8418_008520
RSc1576	XFCFBP8418_004340
RSp1075	XFCFBP8418_011990
RSc2422	XFCFBP8418_002690
RSc1575	XFCFBP8418_018340
RSc0003	XFCFBP8418_025370
RSc1581	XFCFBP8418_011760
RSc0491	XFCFBP8418_002310
RSc1580	XFCFBP8418_011770
RSc0250	XFCFBP8418_013770
RSc0490	XFCFBP8418_002300
RSc2659	XFCFBP8418_023750
RSc2415	XFCFBP8418_015310
RSc1326	XFCFBP8418_004540
