RSc0338	RSK60_01405
RSc1642	RSK60_03503
RSc0310	RSK60_01431
RSc2973	RSK60_02269
RSc1641	RSK60_03502
RSc1641	RSK60_02392
RSc0311	RSK60_01430
RSc2972	RSK60_02270
RSp0773	RSK60_04292
RSc0305	RSK60_01436
RSc1637	RSK60_03497
RSc2968	RSK60_02274
RSc1636	RSK60_03496
RSc2967	RSK60_02275
RSc0306	RSK60_01435
RSc1635	RSK60_03495
RSc2966	RSK60_02276
RSc2965	RSK60_02277
RSc1634	RSK60_03494
RSc0304	RSK60_01437
RSc0309	RSK60_01432
RSc0307	RSK60_01434
RSc1639	RSK60_03499
RSc2969	RSK60_02273
RSc0308	RSK60_01433
RSc1638	RSK60_03498
RSc2960	RSK60_02282
RSc2964	RSK60_02278
RSc1633	RSK60_03493
RSc0301	RSK60_01439
RSc1632	RSK60_03492
RSc2963	RSK60_02279
RSc0302	RSK60_01438
RSc2962	RSK60_02280
RSc1631	RSK60_03491
RSc2961	RSK60_02281
RSc0300	RSK60_01440
RSc1630	RSK60_03490
RSp0762	RSK60_04256
RSp0763	RSK60_04257
RSp0761	RSK60_04255
RSp0766	RSK60_04260
RSp0767	RSK60_04261
RSp0764	RSK60_04258
RSp0765	RSK60_00082
RSp0765	RSK60_00856
RSp0765	RSK60_01888
RSp0765	RSK60_04025
RSp0765	RSK60_04259
RSp0765	RSK60_03689
RSp0765	RSK60_01462
RSp0765	RSK60_03858
RSc1626	RSK60_03486
RSc2957	RSK60_02285
RSc1625	RSK60_03485
RSc2956	RSK60_02286
RSc1624	RSK60_03484
RSc2955	RSK60_02287
RSc1623	RSK60_03483
RSc2954	RSK60_02288
RSc1629	RSK60_03489
RSc1628	RSK60_03488
RSc2959	RSK60_02283
RSc2958	RSK60_02284
RSc1627	RSK60_03487
RSc2953	RSK60_02289
RSc1622	RSK60_03482
RSc1621	RSK60_04561
RSc1621	RSK60_03480
RSc2952	RSK60_02291
RSc2951	RSK60_02292
RSc1620	RSK60_03479
RSc2950	RSK60_02293
RSp0711	RSK60_04219
RSp0712	RSK60_04220
RSp0710	RSK60_04218
RSp0715	RSK60_04223
RSp0716	RSK60_04224
RSp0713	RSK60_04221
RSp0714	RSK60_04222
RSp0719	RSK60_04226
RSp0718	RSK60_04225
RSc2946	RSK60_02297
RSc1615	RSK60_03468
RSc2945	RSK60_02298
RSc1614	RSK60_03467
RSc2944	RSK60_02299
RSc1613	RSK60_03466
RSc1612	RSK60_03465
RSc2943	RSK60_02301
RSc1619	RSK60_03478
RSc1618	RSK60_03471
RSc2949	RSK60_02294
RSc1617	RSK60_03470
RSc2948	RSK60_02295
RSc2947	RSK60_02296
RSc1616	RSK60_03469
RSc2942	RSK60_02302
RSc1611	RSK60_03464
RSc2941	RSK60_02303
RSc1610	RSK60_03463
RSc2940	RSK60_02304
RSp0700	RSK60_04208
RSp0701	RSK60_04209
RSp0704	RSK60_04212
RSp0705	RSK60_04213
RSp0702	RSK60_04210
RSp0703	RSK60_04211
RSp0708	RSK60_04216
RSp0709	RSK60_04217
RSp0706	RSK60_04214
RSp0707	RSK60_04215
RSc2935	RSK60_02309
RSc1604	RSK60_03456
RSc1603	RSK60_03455
RSc2934	RSK60_02310
RSc1602	RSK60_03454
RSc2933	RSK60_02311
RSc1601	RSK60_03453
RSc2932	RSK60_02312
RSc1608	RSK60_03461
RSc2939	RSK60_02305
RSc1607	RSK60_03459
RSc2938	RSK60_02306
RSc1606	RSK60_03458
RSc2937	RSK60_02307
RSc1605	RSK60_03457
RSc2936	RSK60_02308
RSc1600	RSK60_03452
RSc2931	RSK60_02313
RSc2930	RSK60_02314
RSp0730	RSK60_04235
RSp0731	RSK60_04628
RSp0738	RSK60_04237
RSc1609	RSK60_03462
RSp0739	RSK60_04238
RSc2924	RSK60_03226
RSc2923	RSK60_02329
RSc2922	RSK60_02330
RSc2921	RSK60_02331
RSc2928	RSK60_02316
RSc2927	RSK60_02317
RSc2926	RSK60_02318
RSc2925	RSK60_02319
RSc2920	RSK60_02332
RSc2920	RSK60_02333
RSp0722	RSK60_04230
RSp0720	RSK60_04227
RSp0721	RSK60_04229
RSp0726	RSK60_04232
RSc2929	RSK60_02315
RSp0728	RSK60_04233
RSp0729	RSK60_04234
RSc2119	RSK60_03066
RSc2118	RSK60_03067
RSc2110	RSK60_02104
RSc3441	RSK60_01725
RSc2117	RSK60_03068
RSc2116	RSK60_03069
RSc3442	RSK60_01724
RSc2115	RSK60_03070
RSc2120	RSK60_03065
RSc2107	RSK60_04076
RSc2101	RSK60_03077
RSc2100	RSK60_03078
RSc2106	RSK60_02939
RSc2106	RSK60_01766
RSc2106	RSK60_01213
RSc3430	RSK60_04896
RSc3430	RSK60_04647
RSc3440	RSK60_01726
RSc0396	RSK60_01345
RSc0397	RSK60_01344
RSc0394	RSK60_01348
RSc0395	RSK60_01347
RSc3421	RSK60_02195
RSc3421	RSK60_04251
RSc3421	RSK60_04250
RSc0398	RSK60_01343
RSc0399	RSK60_01342
RSc3416	RSK60_01760
RSc0385	RSK60_04639
RSc3412	RSK60_01762
RSc0386	RSK60_01357
RSc3413	RSK60_00850
RSc0383	RSK60_01359
RSc3414	RSK60_01761
RSc0384	RSK60_01358
RSc0389	RSK60_01354
RSc0387	RSK60_01356
RSc3410	RSK60_01764
RSc0388	RSK60_01355
RSc3411	RSK60_01763
RSc0392	RSK60_01350
RSc0393	RSK60_01349
RSc0390	RSK60_01353
RSc0391	RSK60_01352
RSc3409	RSK60_01765
RSc3405	RSK60_01770
RSc3406	RSK60_01768
RSc3407	RSK60_01767
RSc3408	RSK60_02939
RSc3408	RSK60_01766
RSc3408	RSK60_01213
RSc3401	RSK60_00868
RSc3401	RSK60_01774
RSc0374	RSK60_01368
RSc0375	RSK60_01367
RSc3402	RSK60_01773
RSc0372	RSK60_01370
RSc3403	RSK60_01772
RSc0373	RSK60_01369
RSc3404	RSK60_01771
RSc0378	RSK60_01364
RSc0379	RSK60_01363
RSc0376	RSK60_01366
RSc0377	RSK60_01365
RSc3400	RSK60_01775
RSc0381	RSK60_01361
RSc0382	RSK60_01360
RSc0380	RSK60_01362
RSc0369	RSK60_01373
RSp1190	RSK60_04682
RSp1191	RSK60_04683
RSc0363	RSK60_01379
RSc1695	RSK60_00027
RSc1695	RSK60_03557
RSp1194	RSK60_04686
RSp1195	RSK60_04687
RSc0364	RSK60_01378
RSc1694	RSK60_00026
RSc1694	RSK60_03556
RSp1192	RSK60_04354
RSp1192	RSK60_04684
RSp1192	RSK60_04649
RSc0361	RSK60_01381
RSc1693	RSK60_00025
RSc1693	RSK60_03555
RSc0362	RSK60_01380
RSc1692	RSK60_03554
RSc1692	RSK60_00024
RSp1193	RSK60_04685
RSp1198	RSK60_04690
RSc0367	RSK60_01375
RSc1699	RSK60_03564
RSc1699	RSK60_00034
RSc0368	RSK60_01374
RSp1199	RSK60_04691
RSc1698	RSK60_03562
RSc1698	RSK60_00032
RSc0365	RSK60_01377
RSp1196	RSK60_04688
RSc1697	RSK60_03560
RSc1697	RSK60_00030
RSp1197	RSK60_04689
RSc0366	RSK60_01376
RSc1696	RSK60_00029
RSc1696	RSK60_03559
RSc0370	RSK60_01372
RSc0371	RSK60_01371
RSc0358	RSK60_01384
RSc0359	RSK60_01383
RSc1689	RSK60_00019
RSc1689	RSK60_03549
RSc0352	RSK60_01390
RSc1684	RSK60_00014
RSc1684	RSK60_03544
RSc0353	RSK60_01389
RSc1683	RSK60_03543
RSc1683	RSK60_00013
RSc0350	RSK60_01393
RSc1682	RSK60_03542
RSc1682	RSK60_00012
RSc0351	RSK60_01391
RSc1681	RSK60_03541
RSc1681	RSK60_00011
RSc0356	RSK60_01386
RSc1688	RSK60_00018
RSc1688	RSK60_03548
RSc0357	RSK60_01385
RSc1687	RSK60_00017
RSc1687	RSK60_03547
RSc0354	RSK60_01388
RSc1686	RSK60_00016
RSc1686	RSK60_03546
RSc0355	RSK60_01387
RSc1685	RSK60_00015
RSc1685	RSK60_03545
RSc1691	RSK60_03553
RSc1691	RSK60_00023
RSc0360	RSK60_01382
RSc1690	RSK60_03552
RSc1690	RSK60_00022
RSc0349	RSK60_01394
RSc0347	RSK60_01396
RSc0348	RSK60_01395
RSc0341	RSK60_01799
RSc0341	RSK60_01402
RSc0342	RSK60_01401
RSc0342	RSK60_02883
RSc0340	RSK60_01403
RSc1670	RSK60_03530
RSc1670	RSK60_03586
RSc0345	RSK60_01398
RSc1677	RSK60_00002
RSc1677	RSK60_03534
RSc1677	RSK60_03590
RSc0346	RSK60_01397
RSc1676	RSK60_03533
RSc1676	RSK60_03589
RSc1676	RSK60_00001
RSc0343	RSK60_01400
RSc1675	RSK60_03532
RSc1675	RSK60_03588
RSc0344	RSK60_01399
RSc1680	RSK60_00008
RSc1680	RSK60_03595
RSc1680	RSK60_03538
RSp1282	RSK60_02396
RSp1282	RSK60_04575
RSp1283	RSK60_04576
RSc2199	RSK60_02997
RSp1280	RSK60_04573
RSc2198	RSK60_02998
RSp1281	RSK60_04574
RSp1286	RSK60_04580
RSp1287	RSK60_04778
RSp1284	RSK60_04577
RSp1285	RSK60_04578
RSp1285	RSK60_04579
RSp1288	RSK60_04779
RSp1289	RSK60_04780
RSp1271	RSK60_04767
RSc2189	RSK60_03007
RSc2188	RSK60_03008
RSc2187	RSK60_03009
RSp1270	RSK60_04766
RSp1275	RSK60_04770
RSp1276	RSK60_04772
RSp1273	RSK60_04768
RSp1274	RSK60_04769
RSp1279	RSK60_04777
RSc2193	RSK60_03003
RSc2192	RSK60_03004
RSc2191	RSK60_03005
RSp1277	RSK60_04775
RSc2190	RSK60_03006
RSp1278	RSK60_04776
RSc2197	RSK60_02999
RSc2196	RSK60_03000
RSc2195	RSK60_03001
RSc2194	RSK60_03002
RSc2179	RSK60_03026
RSc2178	RSK60_03027
RSc2177	RSK60_03028
RSc2176	RSK60_03388
RSc2176	RSK60_04465
RSc2182	RSK60_03023
RSc2181	RSK60_03024
RSc2180	RSK60_03025
RSc2186	RSK60_03010
RSc2185	RSK60_03011
RSc2184	RSK60_03012
RSc2183	RSK60_03013
RSp1290	RSK60_04781
RSc2168	RSK60_03036
RSp1293	RSK60_04784
RSc2167	RSK60_03037
RSp1294	RSK60_04785
RSp1291	RSK60_04782
RSc2166	RSK60_03038
RSc2165	RSK60_03039
RSp1292	RSK60_04783
RSp1297	RSK60_04788
RSp1298	RSK60_04789
RSp1295	RSK60_04786
RSc2169	RSK60_03035
RSp1296	RSK60_04787
RSc2171	RSK60_03033
RSc2170	RSK60_03034
RSp1299	RSK60_04082
RSc2175	RSK60_03029
RSc2174	RSK60_03030
RSc2173	RSK60_03031
RSc2172	RSK60_03032
RSc2157	RSK60_03046
RSc2156	RSK60_03047
RSc2155	RSK60_03048
RSc2154	RSK60_03049
RSp1242	RSK60_04737
RSp1243	RSK60_04738
RSc2159	RSK60_03044
RSp1240	RSK60_04633
RSc2158	RSK60_03045
RSp1241	RSK60_04736
RSc2160	RSK60_03043
RSp1246	RSK60_04741
RSp1247	RSK60_04742
RSp1244	RSK60_04739
RSp1245	RSK60_04740
RSc2164	RSK60_03040
RSp1248	RSK60_04743
RSc2161	RSK60_03042
RSp1249	RSK60_04744
RSc2149	RSK60_03055
RSc2148	RSK60_03056
RSp1236	RSK60_04870
RSp1236	RSK60_04725
RSc2153	RSK60_03050
RSp1239	RSK60_04570
RSc2152	RSK60_03052
RSc2151	RSK60_03053
RSc2150	RSK60_03054
RSp1260	RSK60_04754
RSp1261	RSK60_04755
RSp1264	RSK60_04760
RSc2138	RSK60_04101
RSc2138	RSK60_04346
RSp1265	RSK60_04761
RSc2137	RSK60_00056
RSp1262	RSK60_04758
RSp1263	RSK60_04759
RSp1268	RSK60_04764
RSp1269	RSK60_04765
RSp1266	RSK60_04762
RSp1267	RSK60_04763
RSc2140	RSK60_00400
RSc2124	RSK60_03060
RSc2123	RSK60_02505
RSc2123	RSK60_03061
RSp1250	RSK60_04745
RSc2121	RSK60_03064
RSc2126	RSK60_03058
RSp1251	RSK60_04746
RSc2125	RSK60_03059
RSp1252	RSK60_04747
RSp1257	RSK60_04751
RSp1258	RSK60_04752
RSp1255	RSK60_04749
RSp1256	RSK60_04750
RSp1259	RSK60_04753
RSc1702	RSK60_00037
RSc1702	RSK60_03567
RSc1701	RSK60_00036
RSc1701	RSK60_03566
RSc1700	RSK60_03565
RSc1700	RSK60_00035
RSc1707	RSK60_03571
RSc1707	RSK60_03476
RSc1707	RSK60_00041
RSc1706	RSK60_03570
RSc1706	RSK60_03475
RSc1706	RSK60_03999
RSc1706	RSK60_00040
RSc1704	RSK60_04952
RSc1704	RSK60_00751
RSp1203	RSK60_04694
RSp1200	RSK60_04692
RSp1201	RSK60_04693
RSp1206	RSK60_04697
RSp1207	RSK60_04698
RSp1204	RSK60_04695
RSp1205	RSK60_04696
RSc1709	RSK60_00044
RSp1208	RSK60_04699
RSc1708	RSK60_00043
RSp1209	RSK60_04700
RSp1220	RSK60_04713
RSp1221	RSK60_04714
RSp1224	RSK60_04717
RSp1225	RSK60_04718
RSp1222	RSK60_04715
RSp1223	RSK60_04716
RSp1228	RSK60_04721
RSp1229	RSK60_04723
RSp1229	RSK60_04722
RSp1226	RSK60_04719
RSp1227	RSK60_04720
RSp1210	RSK60_04701
RSp1210	RSK60_01450
RSp1213	RSK60_04706
RSp1214	RSK60_04707
RSp1211	RSK60_04703
RSp1217	RSK60_03257
RSp1217	RSK60_03260
RSp1215	RSK60_04711
RSp1216	RSK60_04082
RSp1219	RSK60_04712
RSp0794	RSK60_04296
RSp0799	RSK60_04301
RSp0798	RSK60_04300
RSc1549	RSK60_05089
RSc1549	RSK60_03271
RSc0217	RSK60_03758
RSc2879	RSK60_02375
RSc0218	RSK60_01518
RSc2878	RSK60_02376
RSc2877	RSK60_02377
RSc0216	RSK60_03757
RSc0219	RSK60_01517
RSc0219	RSK60_01805
RSc2872	RSK60_02382
RSc1541	RSK60_03312
RSc2871	RSK60_02386
RSc1540	RSK60_01141
RSc1540	RSK60_01140
RSc2870	RSK60_02387
RSc2876	RSK60_02378
RSc1545	RSK60_03316
RSc2875	RSK60_02379
RSc1544	RSK60_03315
RSc1543	RSK60_03314
RSc2874	RSK60_02380
RSc0211	RSK60_01527
RSc2873	RSK60_02381
RSc1542	RSK60_03313
RSp0630	RSK60_04122
RSp0631	RSK60_04123
RSp0631	RSK60_04125
RSp0631	RSK60_04124
RSp0631	RSK60_04127
RSp0631	RSK60_04126
RSp0634	RSK60_04133
RSp0635	RSK60_04134
RSp0632	RSK60_04128
RSp0637	RSK60_04136
RSc2869	RSK60_03240
RSc2869	RSK60_02388
RSc1538	RSK60_03309
RSc0206	RSK60_00171
RSc2868	RSK60_02389
RSc2868	RSK60_03239
RSc1537	RSK60_03308
RSc2867	RSK60_03238
RSc2867	RSK60_02390
RSc1536	RSK60_03307
RSc0204	RSK60_04420
RSc0204	RSK60_04421
RSc2866	RSK60_03237
RSc2866	RSK60_02391
RSc0205	RSK60_00168
RSc0205	RSK60_00167
RSc0205	RSK60_04865
RSc0205	RSK60_03759
RSc1535	RSK60_03306
RSc0208	RSK60_01996
RSc0208	RSK60_04172
RSc1539	RSK60_03310
RSc2861	RSK60_02396
RSc2861	RSK60_04575
RSc1530	RSK60_03301
RSc2860	RSK60_02397
RSc1534	RSK60_03305
RSc0202	RSK60_04418
RSc2864	RSK60_02393
RSc2864	RSK60_04837
RSc1533	RSK60_03304
RSc0203	RSK60_04419
RSc1532	RSK60_03303
RSc2863	RSK60_02394
RSc0200	RSK60_04416
RSc1531	RSK60_03302
RSc2862	RSK60_02395
RSc0201	RSK60_04417
RSp0620	RSK60_04112
RSp0623	RSK60_04115
RSp0624	RSK60_04116
RSp0621	RSK60_04113
RSp0622	RSK60_04114
RSp0627	RSK60_04119
RSp0628	RSK60_04120
RSp0625	RSK60_04117
RSp0626	RSK60_04118
RSp0629	RSK60_04121
RSc1527	RSK60_03298
RSc2858	RSK60_02399
RSc2857	RSK60_02400
RSc1526	RSK60_03297
RSc1525	RSK60_03296
RSc2856	RSK60_02401
RSc2855	RSK60_02402
RSc1524	RSK60_03295
RSc1529	RSK60_03300
RSc1528	RSK60_03299
RSc2859	RSK60_02398
RSc2850	RSK60_02407
RSc2854	RSK60_02403
RSc1523	RSK60_03294
RSc1522	RSK60_03293
RSc2853	RSK60_02404
RSc1521	RSK60_03292
RSc2852	RSK60_02405
RSc1520	RSK60_03291
RSc2851	RSK60_02406
RSp0652	RSK60_04147
RSp0652	RSK60_01472
RSp0653	RSK60_04148
RSp0650	RSK60_04145
RSp0651	RSK60_04146
RSp0655	RSK60_04004
RSc2847	RSK60_02410
RSc1516	RSK60_03288
RSc1515	RSK60_03287
RSc2846	RSK60_02411
RSc2845	RSK60_02412
RSc1514	RSK60_03286
RSc2844	RSK60_02413
RSc1513	RSK60_03285
RSc1519	RSK60_03290
RSc2849	RSK60_02408
RSc1518	RSK60_03289
RSc2848	RSK60_02409
RSc2843	RSK60_02414
RSc1512	RSK60_03284
RSc1511	RSK60_04411
RSc1511	RSK60_03283
RSc2842	RSK60_02415
RSc2841	RSK60_02416
RSc2840	RSK60_02417
RSp0641	RSK60_03741
RSp0642	RSK60_03741
RSp0645	RSK60_04139
RSp0646	RSK60_04140
RSp0643	RSK60_04137
RSp0644	RSK60_04138
RSp0649	RSK60_04143
RSp0647	RSK60_04141
RSp0648	RSK60_04142
RSc1505	RSK60_03280
RSc2836	RSK60_02421
RSc1504	RSK60_03320
RSc1504	RSK60_03279
RSc2835	RSK60_02422
RSc2834	RSK60_02423
RSc1503	RSK60_03277
RSc2833	RSK60_02424
RSc1502	RSK60_03276
RSc1509	RSK60_04410
RSc2839	RSK60_02418
RSc2838	RSK60_02419
RSc1507	RSK60_03282
RSc2837	RSK60_02420
RSc1506	RSK60_03321
RSc1506	RSK60_03281
RSc2832	RSK60_02425
RSc1501	RSK60_03275
RSc2831	RSK60_02426
RSc2830	RSK60_02427
RSc2825	RSK60_02432
RSc2824	RSK60_02433
RSc2823	RSK60_02435
RSc2822	RSK60_02436
RSc2829	RSK60_02428
RSc2828	RSK60_02429
RSc2827	RSK60_02430
RSc2826	RSK60_02431
RSc2821	RSK60_02437
RSc2820	RSK60_02438
RSc2814	RSK60_02444
RSc2813	RSK60_02445
RSc2812	RSK60_02446
RSc2811	RSK60_02447
RSc2818	RSK60_02440
RSc2817	RSK60_02441
RSc2816	RSK60_02442
RSc2815	RSK60_02443
RSc2810	RSK60_02448
RSp0612	RSK60_04100
RSp0613	RSK60_04102
RSp0610	RSK60_04097
RSp0611	RSK60_04099
RSp0616	RSK60_04108
RSp0617	RSK60_04109
RSp0614	RSK60_04106
RSc2819	RSK60_02439
RSp0615	RSK60_04107
RSp0618	RSK60_04110
RSp0619	RSK60_04111
RSc2803	RSK60_02472
RSc2802	RSK60_02473
RSc2801	RSK60_02474
RSc2800	RSK60_02475
RSc2807	RSK60_02451
RSc2806	RSK60_02452
RSc2805	RSK60_02453
RSc2804	RSK60_02470
RSp0601	RSK60_04087
RSp0602	RSK60_04088
RSp0600	RSK60_04086
RSp0605	RSK60_04091
RSp0606	RSK60_04092
RSp0603	RSK60_02132
RSp0603	RSK60_04089
RSc2809	RSK60_02449
RSp0604	RSK60_04090
RSc2808	RSK60_02450
RSp0609	RSK60_04096
RSp0607	RSK60_04093
RSp0608	RSK60_04094
RSc3328	RSK60_01849
RSc3329	RSK60_01848
RSc0297	RSK60_01443
RSc3324	RSK60_01854
RSc3325	RSK60_01852
RSc0298	RSK60_01442
RSc3326	RSK60_01851
RSc0295	RSK60_01445
RSc3327	RSK60_01850
RSc0296	RSK60_01444
RSc3320	RSK60_01858
RSc3321	RSK60_01857
RSc3322	RSK60_01856
RSc0299	RSK60_01441
RSc3323	RSK60_01855
RSc3317	RSK60_01861
RSc3318	RSK60_01860
RSc3319	RSK60_01859
RSc0286	RSK60_01455
RSc3313	RSK60_01865
RSc0287	RSK60_01454
RSc3314	RSK60_01864
RSc0284	RSK60_01457
RSc3315	RSK60_01863
RSc3316	RSK60_01862
RSc3316	RSK60_04313
RSc0285	RSK60_01456
RSc3310	RSK60_01868
RSc0288	RSK60_01453
RSc3311	RSK60_01867
RSc0289	RSK60_01451
RSc3312	RSK60_01866
RSc0290	RSK60_04701
RSc0290	RSK60_01450
RSc0293	RSK60_01447
RSc0294	RSK60_01446
RSc0291	RSK60_01449
RSc0292	RSK60_01448
RSc3306	RSK60_01872
RSc3307	RSK60_01871
RSc3308	RSK60_01870
RSc3309	RSK60_01869
RSc3302	RSK60_01876
RSc0275	RSK60_01471
RSc3303	RSK60_01875
RSc0276	RSK60_01470
RSc0273	RSK60_01473
RSc3304	RSK60_01874
RSc0274	RSK60_04147
RSc0274	RSK60_01472
RSc3305	RSK60_01873
RSc0279	RSK60_01467
RSc0277	RSK60_01469
RSc3300	RSK60_01878
RSc3301	RSK60_01877
RSc0278	RSK60_01468
RSc0282	RSK60_01464
RSc0283	RSK60_01458
RSc0280	RSK60_01466
RSc0281	RSK60_01465
RSc1596	RSK60_03449
RSc0264	RSK60_01483
RSc0265	RSK60_01482
RSc1595	RSK60_03448
RSc1594	RSK60_03447
RSc0262	RSK60_01485
RSc1593	RSK60_03399
RSc0263	RSK60_01484
RSc0268	RSK60_01479
RSc0269	RSK60_01478
RSc0266	RSK60_01481
RSc1598	RSK60_03451
RSc0267	RSK60_01480
RSc1597	RSK60_03450
RSc0271	RSK60_01476
RSc0272	RSK60_01475
RSc0270	RSK60_01477
RSc0259	RSK60_01488
RSp1080	RSK60_04604
RSp1081	RSK60_04605
RSp1084	RSK60_04608
RSc0253	RSK60_01496
RSc1585	RSK60_03390
RSc1584	RSK60_03371
RSp1085	RSK60_04609
RSc0254	RSK60_01493
RSc1583	RSK60_03370
RSp1082	RSK60_04606
RSc1582	RSK60_03369
RSp1083	RSK60_04607
RSc0257	RSK60_01490
RSc1589	RSK60_03395
RSc1588	RSK60_03394
RSc0258	RSK60_01489
RSp1089	RSK60_04612
RSc0255	RSK60_01492
RSc1587	RSK60_03393
RSp1086	RSK60_04610
RSc0256	RSK60_01491
RSp1087	RSK60_04611
RSc1586	RSK60_03392
RSc0260	RSK60_01487
RSc1592	RSK60_03398
RSc1591	RSK60_03397
RSc1591	RSK60_05042
RSc0261	RSK60_01486
RSc1590	RSK60_03396
RSc0248	RSK60_01737
RSc0248	RSK60_03376
RSc0248	RSK60_04069
RSc0248	RSK60_02323
RSc0248	RSK60_04070
RSc1579	RSK60_03366
RSp1070	RSK60_04588
RSp1073	RSK60_04595
RSp1073	RSK60_04587
RSp1073	RSK60_04592
RSp1074	RSK60_04596
RSc1573	RSK60_03360
RSp1071	RSK60_04595
RSp1071	RSK60_04587
RSp1071	RSK60_04592
RSc1572	RSK60_03357
RSc1571	RSK60_03356
RSc1571	RSK60_02946
RSc1578	RSK60_03365
RSp1077	RSK60_04601
RSc0247	RSK60_03377
RSc0247	RSK60_02894
RSc0247	RSK60_02324
RSc0247	RSK60_04071
RSc0247	RSK60_04072
RSc0247	RSK60_01738
RSc1577	RSK60_03364
RSp1078	RSK60_04602
RSc1576	RSK60_03362
RSc0244	RSK60_01500
RSp1075	RSK60_04597
RSc1575	RSK60_03361
RSc0245	RSK60_01499
RSc0245	RSK60_01497
RSp1076	RSK60_04600
RSp1079	RSK60_04603
RSc1581	RSK60_03368
RSc1580	RSK60_03367
RSc0237	RSK60_01501
RSc1569	RSK60_03354
RSc1568	RSK60_03353
RSc2899	RSK60_02354
RSc1563	RSK60_03348
RSc0231	RSK60_01506
RSc2894	RSK60_02359
RSc1562	RSK60_03347
RSc2893	RSK60_02360
RSc1561	RSK60_03346
RSc2892	RSK60_02361
RSc2891	RSK60_00824
RSc2891	RSK60_02362
RSc1560	RSK60_03345
RSc0230	RSK60_01507
RSc1567	RSK60_03352
RSc2898	RSK60_02355
RSc0235	RSK60_01503
RSc1566	RSK60_03351
RSc0236	RSK60_01502
RSc2897	RSK60_02356
RSc1565	RSK60_03350
RSc1565	RSK60_00906
RSc0233	RSK60_01505
RSc0233	RSK60_00241
RSc2896	RSK60_02357
RSc1564	RSK60_03349
RSc2895	RSK60_02358
RSc0234	RSK60_01504
RSc1570	RSK60_03355
RSc1570	RSK60_02945
RSc1559	RSK60_03344
RSc0229	RSK60_01508
RSc1558	RSK60_03343
RSc2889	RSK60_02364
RSc0226	RSK60_01510
RSc2888	RSK60_02366
RSc1557	RSK60_03342
RSp1091	RSK60_04614
RSp1092	RSK60_04615
RSp1090	RSK60_04613
RSp1095	RSK60_04618
RSc0220	RSK60_01516
RSc2883	RSK60_02371
RSc2882	RSK60_02372
RSp1096	RSK60_04619
RSc0221	RSK60_01515
RSc2881	RSK60_02373
RSp1093	RSK60_04616
RSp1094	RSK60_03700
RSp1094	RSK60_04617
RSc2880	RSK60_02374
RSc2887	RSK60_02367
RSc1556	RSK60_03341
RSc0224	RSK60_01512
RSp1099	RSK60_04622
RSc2886	RSK60_02368
RSc0225	RSK60_01511
RSc1555	RSK60_03340
RSc2885	RSK60_02369
RSc2885	RSK60_04193
RSc0222	RSK60_01514
RSp1097	RSK60_04620
