RSc2516	YPO1199
RSc0412	YPO3578
RSc2831	YPO2167
RSc1500	YPO0676
RSc1983	YPO2204
RSc2950	YPO1546
RSp0954	YPO2302
RSp0951	YPO2302
RSp0834	YPO0577
RSc2946	YPO1543
RSc0767	YPO2370
RSc2945	YPO1542
RSc0526	YPO4072
RSc1734	YPO1332
RSc1734	YPO2846
RSc1976	YPO2772
RSc2823	YPO3513
RSc0524	YPO4071
RSc1619	YPO1415
RSc2828	YPO3430
RSc1859	YPO3165
RSc1858	YPO3164
RSc1979	YPO2769
RSc0764	YPO3525
RSc0520	YPO2381
RSp0947	YPO2539
RSp0945	YPO4078
RSp0949	YPO2303
RSc1603	YPO3417
RSc1601	YPO3418
RSc1722	YPO2921
RSc2817	YPO0565
RSc2816	YPO1068
RSc0517	YPO0493
RSc1600	YPO3419
RSp0616	YPO2214
RSc2819	YPO3222
RSc1609	YPO1176
RSc1956	YPO3909
RSc0504	YPO3728
RSc0743	YPO3286
RSc1717	YPO3080
RSc2806	YPO3423
RSc1952	YPO0253
RSp0961	YPO0059
RSc1719	YPO3718
RSc1145	YPO3062
RSc1266	YPO3794
RSc0177	YPO4119
RSc1265	YPO3795
RSc1264	YPO3796
RSc2110	YPO1166
RSc1028	YPO0888
RSc2237	YPO1540
RSc2237	YPO1539
RSc1269	YPO1113
RSc3321	YPO4125
RSc0178	YPO4118
RSc3322	YPO4126
RSc2357	YPO3849
RSc2236	YPO3443
RSc1267	YPO3712
RSc1267	YPO3793
RSc3323	YPO4127
RSc1390	YPO3053
RSc0062	YPO2604
RSc1031	YPO1413
RSc1393	YPO1041
RSc1270	YPO1114
RSc1019	YPO2896
RSc2229	YPO1617
RSc2349	YPO3521
RSc3317	YPO4121
RSc3318	YPO4122
RSc3319	YPO4123
RSc1013	YPO0008
RSc2222	YPO3176
RSc2463	YPO0047
RSc2221	YPO3177
RSc2342	YPO1374
RSc3316	YPO4120
RSc1010	YPO1410
RSc1010	YPO0322
RSc2106	YPO2514
RSc2106	YPO2612
RSc2106	YPO2777
RSc1258	YPO0024
RSc2347	YPO2912
RSc1382	YPO4001
RSc0294	YPO3722
RSc1129	YPO3376
RSc0396	YPO2014
RSc2454	YPO2829
RSc0154	YPO3162
RSc3303	YPO3734
RSc1243	YPO2499
RSc1242	YPO3964
RSc1242	YPO2256
RSc1242	YPO4036
RSc1242	YPO0958
RSc1242	YPO1508
RSc1242	YPO3907
RSc1363	YPO3726
RSc0395	YPO2013
RSc1127	YPO2021
RSc2337	YPO1379
RSc2458	YPO0475
RSc2457	YPO0474
RSc1126	YPO3377
RSc0277	YPO3407
RSc3301	YPO1851
RSp0810	YPO4120
RSc2461	YPO0048
RSp0932	YPO2514
RSp0932	YPO2612
RSp0932	YPO2777
RSc1371	YPO0321
RSc1250	YPO1022
RSc1370	YPO0792
RSp0819	YPO3132
RSc2329	YPO0670
RSc0028	YPO1290
RSc2449	YPO1127
RSc0029	YPO2844
RSc2448	YPO3424
RSc1596	YPO2824
RSc0385	YPO0918
RSc2200	YPO1395
RSc1232	YPO0915
RSc2442	YPO0477
RSc2684	YPO0942
RSc0020	YPO1238
RSc1231	YPO0463
RSc1594	YPO0162
RSc2440	YPO3807
RSc1358	YPO3725
RSc2447	YPO2710
RSc1478	YPO1152
RSc0266	YPO1151
RSc2686	YPO0311
RSc0390	YPO0053
RSc3409	YPO2513
RSc2439	YPO3806
RSc2438	YPO3805
RSc2437	YPO3804
RSc0139	YPO0045
RSc3408	YPO2514
RSc3408	YPO2612
RSc3408	YPO2777
RSc0011	YPO3132
RSc0495	YPO2372
RSc2553	YPO1570
RSc1100	YPO1771
RSc1341	YPO3627
RSc2550	YPO3760
RSc1582	YPO2428
RSc1340	YPO3626
RSc1226	YPO0378
RSc1347	YPO3012
RSc2435	YPO1962
RSc0137	YPO3845
RSc1346	YPO3013
RSc0134	YPO0931
RSc1345	YPO3014
RSc1339	YPO3625
RSc1338	YPO3624
RSc1337	YPO3623
RSc1216	YPO2878
RSp1190	YPO2067
RSp1191	YPO0658
RSc0484	YPO2514
RSc0484	YPO2612
RSc0484	YPO2777
RSc1211	YPO2883
RSc2421	YPO3365
RSc2420	YPO0158
RSc2782	YPO3519
RSc0482	YPO2614
RSc2660	YPO3286
RSc0483	YPO2613
RSc1336	YPO3015
RSc2787	YPO3658
RSc1577	YPO2433
RSc2786	YPO3659
RSc1576	YPO3380
RSc2422	YPO3366
RSc0487	YPO1587
RSc2785	YPO3660
RSc1581	YPO2429
RSc2539	YPO1023
RSc2415	YPO3441
RSc1321	YPO2421
RSc0353	YPO1133
RSc2530	YPO1396
RSc0351	YPO3741
RSc2777	YPO0246
RSc1204	YPO3358
RSc0357	YPO0068
RSc1566	YPO2751
RSc2533	YPO3118
RSc0113	YPO3739
RSc0355	YPO0066
RSc2532	YPO1400
RSc2774	YPO3837
RSc1322	YPO2422
RSc0481	YPO2615
RSc2769	YPO3179
RSc0108	YPO3740
RSc2526	YPO4061
RSc2768	YPO3180
RSc0468	YPO2054
RSc2767	YPO3034
RSc0109	YPO3742
RSc1319	YPO2420
RSc1431	YPO2870
RSc0100	YPO2859
RSc2882	YPO0169
RSc0461	YPO3779
RSc0345	YPO0935
RSc0466	YPO2053
RSc2885	YPO2205
RSc0343	YPO3142
RSc2643	YPO3117
RSc2884	YPO2206
RSp1282	YPO2995
RSp1282	YPO2993
RSc2077	YPO2293
RSc3166	YPO3364
RSc3045	YPO3937
RSc3294	YPO0906
RSc3052	YPO3312
RSc3295	YPO0905
RSc3296	YPO1771
RSc2085	YPO0313
RSc3293	YPO0907
RSc2188	YPO2827
RSp0066	YPO2647
RSp0069	YPO1502
RSc2072	YPO0533
RSc2192	YPO3032
RSc2191	YPO3729
RSp0067	YPO2646
RSc3282	YPO1238
RSc2057	YPO2551
RSc2055	YPO2549
RSc2061	YPO2554
RSp1189	YPO3954
RSc2064	YPO0085
RSc2185	YPO1441
RSc3271	YPO3070
RSp1052	YPO0006
RSc3382	YPO2692
RSc3383	YPO2691
RSc1080	YPO0577
RSc3384	YPO2690
RSc2054	YPO2548
RSc2051	YPO2545
RSc1068	YPO1615
RSc2399	YPO2425
RSc1188	YPO3868
RSc3128	YPO1166
RSc2155	YPO0040
RSc1066	YPO2930
RSc2160	YPO0945
RSc3131	YPO2329
RSp1006	YPO3859
RSc1072	YPO1867
RSc2161	YPO0946
RSc2387	YPO3402
RSc2145	YPO0832
RSc1054	YPO1601
RSc1179	YPO2984
RSc0091	YPO0117
RSc3363	YPO3530
RSc2153	YPO0038
RSc1167	YPO3073
RSp1144	YPO1146
RSc2137	YPO3718
RSc1169	YPO1060
RSp1145	YPO0520
RSp1145	YPO2960
RSc1053	YPO1600
RSc1052	YPO1599
RSc2261	YPO2615
RSc2140	YPO3712
RSc2140	YPO3793
RSc1051	YPO1598
RSc2260	YPO2514
RSc2260	YPO2612
RSc2260	YPO2777
RSc1050	YPO1597
RSc2381	YPO1522
RSc2003	YPO2221
RSc2123	YPO3034
RSc1034	YPO4078
RSc1154	YPO1075
RSc2363	YPO3924
RSc2128	YPO4039
RSp1496	YPO3094
RSc2126	YPO3520
RSc2125	YPO1414
RSc2490	YPO1641
RSp1016	YPO3863
RSp0045	YPO1771
RSp0166	YPO3364
RSc2252	YPO3767
RSc1163	YPO3075
RSc1162	YPO0070
RSp1017	YPO3864
RSc0072	YPO0241
RSc1160	YPO2899
RSc2917	YPO3164
RSc2916	YPO3165
RSc2915	YPO3166
RSc2914	YPO3167
RSc0972	YPO1650
RSp1560	YPO2533
RSp0238	YPO3941
RSp0239	YPO3942
RSp1446	YPO2390
RSp0357	YPO2757
RSc2900	YPO2016
RSc2905	YPO2773
RSc0604	YPO1501
RSc2904	YPO2383
RSc0605	YPO1502
RSp1559	YPO2066
RSp1557	YPO2977
RSp1439	YPO0070
RSc0729	YPO2907
RSc0712	YPO3182
RSc0715	YPO3183
RSp1221	YPO0160
RSp1581	YPO1207
RSp1101	YPO1139
RSp1222	YPO0161
RSp0017	YPO3804
RSc1809	YPO1913
RSc0947	YPO0783
RSc0946	YPO0486
RSp0242	YPO3939
RSp0006	YPO1540
RSp0006	YPO1539
RSc0708	YPO3769
RSp0676	YPO3788
RSc0921	YPO1072
RSc0920	YPO1073
RSc0926	YPO2147
RSp1635	YPO4035
RSp1633	YPO4037
RSp1634	YPO3964
RSp1634	YPO2256
RSp1634	YPO4036
RSp1634	YPO0958
RSp1634	YPO1508
RSp1634	YPO3907
RSc0914	YPO0654
RSc0915	YPO0058
RSc0913	YPO2174
RSp0332	YPO3415
RSp0214	YPO2288
RSc0918	YPO2957
RSc0917	YPO3011
RSc0900	YPO1435
RSc0903	YPO1389
RSp0681	YPO2206
RSp0680	YPO2205
RSc0907	YPO1390
RSc0908	YPO1391
