RSc0338	RSRUN2340_00371
RSc0313	RSRUN2340_00346
RSc2974	RSRUN2340_03071
RSc1642	RSRUN2340_01434
RSc0310	RSRUN2340_00343
RSc2973	RSRUN2340_03070
RSc1641	RSRUN2340_01433
RSc0311	RSRUN2340_00344
RSc2972	RSRUN2340_03069
RSc0305	RSRUN2340_00338
RSc2968	RSRUN2340_03065
RSc1636	RSRUN2340_01429
RSc2967	RSRUN2340_03064
RSc0306	RSRUN2340_00339
RSc1635	RSRUN2340_01428
RSc2966	RSRUN2340_03063
RSc0303	RSRUN2340_00336
RSc2965	RSRUN2340_03062
RSc1634	RSRUN2340_01427
RSc0304	RSRUN2340_00337
RSc0309	RSRUN2340_00342
RSc0307	RSRUN2340_00340
RSc1639	RSRUN2340_01431
RSc2969	RSRUN2340_03066
RSc0308	RSRUN2340_00341
RSc1638	RSRUN2340_01430
RSc2960	RSRUN2340_03057
RSc2964	RSRUN2340_03061
RSc1633	RSRUN2340_01426
RSc0301	RSRUN2340_00334
RSc1632	RSRUN2340_01425
RSc2963	RSRUN2340_03060
RSc0302	RSRUN2340_00335
RSc2962	RSRUN2340_03059
RSc1631	RSRUN2340_01424
RSc2961	RSRUN2340_03058
RSc0300	RSRUN2340_00333
RSc1630	RSRUN2340_01423
RSc1626	RSRUN2340_01418
RSc2957	RSRUN2340_03054
RSc1625	RSRUN2340_01417
RSc2956	RSRUN2340_03053
RSc1624	RSRUN2340_01416
RSc2955	RSRUN2340_03052
RSc1623	RSRUN2340_01415
RSc2954	RSRUN2340_03051
RSc1629	RSRUN2340_01422
RSc1628	RSRUN2340_01421
RSc2959	RSRUN2340_03056
RSc2958	RSRUN2340_03055
RSc1627	RSRUN2340_01420
RSc2953	RSRUN2340_03050
RSc1622	RSRUN2340_01414
RSc1621	RSRUN2340_01413
RSc1621	RSRUN2340_04575
RSc2952	RSRUN2340_03048
RSc2951	RSRUN2340_03047
RSc1620	RSRUN2340_01412
RSc2950	RSRUN2340_03046
RSp0711	RSRUN2340_04704
RSp0712	RSRUN2340_04703
RSp0710	RSRUN2340_04705
RSp0715	RSRUN2340_04700
RSp0716	RSRUN2340_04699
RSp0713	RSRUN2340_04702
RSp0714	RSRUN2340_04701
RSp0719	RSRUN2340_04698
RSc2946	RSRUN2340_03042
RSc1615	RSRUN2340_01405
RSc2945	RSRUN2340_03041
RSc1614	RSRUN2340_01404
RSc2944	RSRUN2340_03039
RSc1613	RSRUN2340_01403
RSc1612	RSRUN2340_01402
RSc2943	RSRUN2340_03038
RSc1619	RSRUN2340_01411
RSc1618	RSRUN2340_01408
RSc2949	RSRUN2340_03045
RSc1617	RSRUN2340_01407
RSc2948	RSRUN2340_03044
RSc2947	RSRUN2340_03043
RSc1616	RSRUN2340_01406
RSc2942	RSRUN2340_03037
RSc1611	RSRUN2340_01401
RSc2941	RSRUN2340_03036
RSc1610	RSRUN2340_01400
RSc2940	RSRUN2340_03035
RSp0700	RSRUN2340_04236
RSp0701	RSRUN2340_04714
RSp0704	RSRUN2340_04711
RSp0705	RSRUN2340_04710
RSp0702	RSRUN2340_04713
RSp0703	RSRUN2340_04712
RSp0708	RSRUN2340_04707
RSp0709	RSRUN2340_04706
RSp0706	RSRUN2340_04709
RSp0707	RSRUN2340_04708
RSc2935	RSRUN2340_03030
RSc1604	RSRUN2340_01393
RSc1603	RSRUN2340_01392
RSc2934	RSRUN2340_03029
RSc1602	RSRUN2340_01391
RSc2933	RSRUN2340_03028
RSc1601	RSRUN2340_01390
RSc2932	RSRUN2340_03027
RSc1608	RSRUN2340_01398
RSc2939	RSRUN2340_03034
RSc1607	RSRUN2340_01396
RSc2938	RSRUN2340_03033
RSc1606	RSRUN2340_01395
RSc2937	RSRUN2340_03032
RSc1605	RSRUN2340_01394
RSc2936	RSRUN2340_03031
RSc1600	RSRUN2340_01389
RSc2931	RSRUN2340_03026
RSc2930	RSRUN2340_03025
RSp0730	RSRUN2340_04685
RSp0731	RSRUN2340_04638
RSp0731	RSRUN2340_04684
RSp0732	RSRUN2340_04683
RSc1609	RSRUN2340_01399
RSc2924	RSRUN2340_03018
RSc2923	RSRUN2340_03017
RSc2928	RSRUN2340_03023
RSc2927	RSRUN2340_03022
RSc2926	RSRUN2340_03021
RSc2925	RSRUN2340_03020
RSp0722	RSRUN2340_04692
RSp0720	RSRUN2340_04697
RSp0721	RSRUN2340_04695
RSp0727	RSRUN2340_04688
RSc2929	RSRUN2340_03024
RSp0728	RSRUN2340_04687
RSp0729	RSRUN2340_04686
RSc2118	RSRUN2340_01094
RSc2110	RSRUN2340_03222
RSc3441	RSRUN2340_03546
RSc2117	RSRUN2340_01095
RSc2116	RSRUN2340_01096
RSc3442	RSRUN2340_03547
RSc2115	RSRUN2340_01097
RSc2120	RSRUN2340_01093
RSc2107	RSRUN2340_01105
RSc3434	RSRUN2340_03535
RSc2102	RSRUN2340_01110
RSc2101	RSRUN2340_01111
RSc2100	RSRUN2340_01112
RSc2106	RSRUN2340_00524
RSc2106	RSRUN2340_01106
RSc2106	RSRUN2340_03525
RSc2106	RSRUN2340_00937
RSc2106	RSRUN2340_04451
RSc2105	RSRUN2340_01107
RSc2104	RSRUN2340_01108
RSc2103	RSRUN2340_01109
RSc3440	RSRUN2340_03545
RSc0396	RSRUN2340_00431
RSc0397	RSRUN2340_00432
RSc0394	RSRUN2340_00428
RSc0395	RSRUN2340_00429
RSc3421	RSRUN2340_01014
RSc3421	RSRUN2340_00181
RSc3421	RSRUN2340_03957
RSc3421	RSRUN2340_04382
RSc0398	RSRUN2340_00433
RSc0399	RSRUN2340_00434
RSc3416	RSRUN2340_03533
RSc0385	RSRUN2340_00419
RSc3412	RSRUN2340_03529
RSc0386	RSRUN2340_00420
RSc0383	RSRUN2340_02130
RSc0383	RSRUN2340_00417
RSc3414	RSRUN2340_03531
RSc0384	RSRUN2340_00418
RSc3415	RSRUN2340_03532
RSc0389	RSRUN2340_00423
RSc0387	RSRUN2340_00421
RSc3410	RSRUN2340_03527
RSc0388	RSRUN2340_00422
RSc3411	RSRUN2340_03528
RSc0392	RSRUN2340_00426
RSc0393	RSRUN2340_00427
RSc0390	RSRUN2340_00424
RSc0391	RSRUN2340_00425
RSc3409	RSRUN2340_03526
RSc3405	RSRUN2340_03518
RSc3406	RSRUN2340_03519
RSc3407	RSRUN2340_03524
RSc3408	RSRUN2340_00524
RSc3408	RSRUN2340_01106
RSc3408	RSRUN2340_03525
RSc3408	RSRUN2340_00937
RSc3408	RSRUN2340_04451
RSc3401	RSRUN2340_03824
RSc3401	RSRUN2340_03514
RSc0374	RSRUN2340_00407
RSc0375	RSRUN2340_00409
RSc3402	RSRUN2340_03515
RSc0372	RSRUN2340_00405
RSc3403	RSRUN2340_03516
RSc0373	RSRUN2340_00406
RSc3404	RSRUN2340_03517
RSc0378	RSRUN2340_00412
RSc0379	RSRUN2340_00413
RSc0376	RSRUN2340_00410
RSc0377	RSRUN2340_00411
RSc3400	RSRUN2340_03512
RSc0381	RSRUN2340_00415
RSc0382	RSRUN2340_00416
RSc0380	RSRUN2340_00414
RSc0369	RSRUN2340_00402
RSp1190	RSRUN2340_04755
RSp1191	RSRUN2340_04756
RSc0363	RSRUN2340_00396
RSc1695	RSRUN2340_01487
RSp1194	RSRUN2340_04759
RSp1195	RSRUN2340_04760
RSc0364	RSRUN2340_00397
RSc1694	RSRUN2340_01486
RSp1192	RSRUN2340_04757
RSp1192	RSRUN2340_04297
RSp1192	RSRUN2340_04716
RSc0361	RSRUN2340_00394
RSc1693	RSRUN2340_01485
RSc0362	RSRUN2340_00395
RSc1692	RSRUN2340_01484
RSp1193	RSRUN2340_04758
RSp1198	RSRUN2340_04763
RSc0367	RSRUN2340_00400
RSc0368	RSRUN2340_00401
RSp1199	RSRUN2340_04764
RSc1698	RSRUN2340_01490
RSc0365	RSRUN2340_00398
RSp1196	RSRUN2340_04761
RSp1197	RSRUN2340_04762
RSc0366	RSRUN2340_00399
RSc1696	RSRUN2340_01489
RSc0370	RSRUN2340_00403
RSc0371	RSRUN2340_00404
RSc0358	RSRUN2340_00391
RSc0359	RSRUN2340_00392
RSc1689	RSRUN2340_01480
RSc0352	RSRUN2340_00385
RSc0353	RSRUN2340_00386
RSc0350	RSRUN2340_00383
RSc0351	RSRUN2340_00384
RSc0356	RSRUN2340_00389
RSc1688	RSRUN2340_01479
RSc0357	RSRUN2340_00390
RSc1687	RSRUN2340_01478
RSc0354	RSRUN2340_00387
RSc1686	RSRUN2340_01477
RSc0355	RSRUN2340_00388
RSc1691	RSRUN2340_01483
RSc0360	RSRUN2340_00393
RSc1690	RSRUN2340_01482
RSc0349	RSRUN2340_00382
RSc0347	RSRUN2340_00380
RSc0348	RSRUN2340_00381
RSc0341	RSRUN2340_00374
RSc0341	RSRUN2340_03489
RSc0342	RSRUN2340_00375
RSc0342	RSRUN2340_02461
RSc0340	RSRUN2340_00373
RSc1670	RSRUN2340_01462
RSc0345	RSRUN2340_00378
RSc0346	RSRUN2340_00379
RSc0343	RSRUN2340_00376
RSc0344	RSRUN2340_00377
RSp1282	RSRUN2340_04848
RSp1282	RSRUN2340_02958
RSp1283	RSRUN2340_04849
RSc2199	RSRUN2340_00999
RSp1280	RSRUN2340_04846
RSc2198	RSRUN2340_01000
RSp1281	RSRUN2340_04847
RSp1286	RSRUN2340_04852
RSp1287	RSRUN2340_04853
RSp1284	RSRUN2340_04850
RSp1285	RSRUN2340_04851
RSp1288	RSRUN2340_04854
RSp1289	RSRUN2340_04855
RSp1271	RSRUN2340_04837
RSc2189	RSRUN2340_01040
RSc2188	RSRUN2340_01041
RSc2187	RSRUN2340_01042
RSp1270	RSRUN2340_04836
RSp1275	RSRUN2340_04841
RSp1276	RSRUN2340_04842
RSp1273	RSRUN2340_04838
RSp1274	RSRUN2340_04839
RSp1279	RSRUN2340_04845
RSc2193	RSRUN2340_01036
RSc2192	RSRUN2340_01037
RSc2191	RSRUN2340_01038
RSp1277	RSRUN2340_04843
RSc2190	RSRUN2340_01039
RSp1278	RSRUN2340_04844
RSc2197	RSRUN2340_01032
RSc2196	RSRUN2340_01033
RSc2195	RSRUN2340_01034
RSc2194	RSRUN2340_01035
RSc2179	RSRUN2340_01050
RSc2178	RSRUN2340_01051
RSc2177	RSRUN2340_01052
RSc2176	RSRUN2340_01340
RSc2176	RSRUN2340_05186
RSc2176	RSRUN2340_00192
RSc2176	RSRUN2340_03705
RSc2182	RSRUN2340_01047
RSc2181	RSRUN2340_01048
RSc2180	RSRUN2340_01049
RSc2186	RSRUN2340_01043
RSc2185	RSRUN2340_01044
RSc2184	RSRUN2340_01045
RSc2183	RSRUN2340_01046
RSp1290	RSRUN2340_04856
RSc2168	RSRUN2340_01060
RSp1293	RSRUN2340_04872
RSc2167	RSRUN2340_01061
RSp1294	RSRUN2340_04873
RSp1291	RSRUN2340_04857
RSc2166	RSRUN2340_01062
RSc2165	RSRUN2340_01063
RSp1292	RSRUN2340_04858
RSp1297	RSRUN2340_04876
RSp1298	RSRUN2340_04877
RSp1295	RSRUN2340_04874
RSc2169	RSRUN2340_01059
RSp1296	RSRUN2340_04875
RSc2171	RSRUN2340_01057
RSc2170	RSRUN2340_01058
RSp1299	RSRUN2340_03981
RSc2175	RSRUN2340_01053
RSc2174	RSRUN2340_01054
RSc2173	RSRUN2340_01055
RSc2172	RSRUN2340_01056
RSc2157	RSRUN2340_01075
RSc2156	RSRUN2340_01076
RSc2155	RSRUN2340_01077
RSc2154	RSRUN2340_01078
RSp1242	RSRUN2340_04804
RSp1243	RSRUN2340_04805
RSc2159	RSRUN2340_01073
RSp1240	RSRUN2340_04801
RSc2158	RSRUN2340_01074
RSp1241	RSRUN2340_04803
RSc2160	RSRUN2340_01072
RSp1246	RSRUN2340_04811
RSp1247	RSRUN2340_04812
RSp1244	RSRUN2340_04806
RSp1245	RSRUN2340_04810
RSc2164	RSRUN2340_01064
RSp1248	RSRUN2340_04813
RSc2161	RSRUN2340_01071
RSp1249	RSRUN2340_04814
RSp1231	RSRUN2340_04792
RSc2149	RSRUN2340_01085
RSp1232	RSRUN2340_04793
RSc2148	RSRUN2340_01086
RSp1230	RSRUN2340_04791
RSp1235	RSRUN2340_04796
RSp1236	RSRUN2340_04797
RSp1236	RSRUN2340_05011
RSp1233	RSRUN2340_04794
RSp1234	RSRUN2340_04795
RSc2153	RSRUN2340_01079
RSp1239	RSRUN2340_04800
RSc2152	RSRUN2340_01082
RSc2151	RSRUN2340_01083
RSp1237	RSRUN2340_04798
RSc2150	RSRUN2340_01084
RSp1238	RSRUN2340_04799
RSp1260	RSRUN2340_04824
RSp1261	RSRUN2340_04825
RSp1264	RSRUN2340_04829
RSc2138	RSRUN2340_04289
RSp1265	RSRUN2340_04830
RSc2137	RSRUN2340_01515
RSp1262	RSRUN2340_04827
RSp1263	RSRUN2340_04828
RSp1268	RSRUN2340_04833
RSp1269	RSRUN2340_04834
RSp1266	RSRUN2340_04831
RSp1267	RSRUN2340_04832
RSc2140	RSRUN2340_01889
RSc2124	RSRUN2340_01090
RSc2123	RSRUN2340_01091
RSc2123	RSRUN2340_02863
RSp1250	RSRUN2340_04815
RSc2121	RSRUN2340_01092
RSc2126	RSRUN2340_01088
RSp1251	RSRUN2340_04816
RSc2125	RSRUN2340_01089
RSp1252	RSRUN2340_04817
RSp1257	RSRUN2340_04821
RSp1258	RSRUN2340_04822
RSp1255	RSRUN2340_04819
RSp1256	RSRUN2340_04820
RSp1259	RSRUN2340_04823
RSc1703	RSRUN2340_01496
RSc1702	RSRUN2340_01495
RSc1701	RSRUN2340_01494
RSc1700	RSRUN2340_01493
RSc1707	RSRUN2340_01497
RSc1704	RSRUN2340_04082
RSc1704	RSRUN2340_01717
RSc1704	RSRUN2340_00459
RSc1704	RSRUN2340_01647
RSc1704	RSRUN2340_03605
RSc1704	RSRUN2340_00737
RSc1704	RSRUN2340_00730
RSc1704	RSRUN2340_02438
RSc1704	RSRUN2340_03236
RSc1704	RSRUN2340_04106
RSc1704	RSRUN2340_00277
RSc1704	RSRUN2340_04862
RSc1704	RSRUN2340_01575
RSc1704	RSRUN2340_03254
RSc1704	RSRUN2340_00184
RSc1704	RSRUN2340_04175
RSc1704	RSRUN2340_04590
RSp1203	RSRUN2340_04767
RSp1200	RSRUN2340_04765
RSp1201	RSRUN2340_04766
RSp1206	RSRUN2340_04770
RSp1207	RSRUN2340_04771
RSp1204	RSRUN2340_04768
RSp1205	RSRUN2340_04769
RSc1709	RSRUN2340_01501
RSp1208	RSRUN2340_04772
RSc1708	RSRUN2340_01500
RSp1220	RSRUN2340_04781
RSp1221	RSRUN2340_04782
RSp1224	RSRUN2340_04785
RSp1225	RSRUN2340_04786
RSp1222	RSRUN2340_04783
RSp1223	RSRUN2340_04784
RSp1228	RSRUN2340_04789
RSp1229	RSRUN2340_04790
RSp1226	RSRUN2340_04787
RSp1227	RSRUN2340_04788
RSp1210	RSRUN2340_00323
RSp1210	RSRUN2340_04773
RSp1213	RSRUN2340_04777
RSp1214	RSRUN2340_04778
RSp1211	RSRUN2340_04774
RSp1217	RSRUN2340_01001
RSp1217	RSRUN2340_03982
RSp1215	RSRUN2340_04779
RSp1216	RSRUN2340_03981
RSp1219	RSRUN2340_04780
RSp0795	RSRUN2340_04239
RSp0796	RSRUN2340_04240
RSp0793	RSRUN2340_04237
RSp0794	RSRUN2340_04238
RSp0799	RSRUN2340_04243
RSp0797	RSRUN2340_04241
RSp0798	RSRUN2340_04242
RSc1549	RSRUN2340_04475
RSc1549	RSRUN2340_04373
RSc1549	RSRUN2340_03271
RSc1549	RSRUN2340_04052
RSc0217	RSRUN2340_00243
RSc2879	RSRUN2340_02977
RSc0218	RSRUN2340_00245
RSc2878	RSRUN2340_02976
RSc0215	RSRUN2340_00240
RSc1547	RSRUN2340_01335
RSc2877	RSRUN2340_02975
RSc0216	RSRUN2340_00242
RSc1546	RSRUN2340_01334
RSc0219	RSRUN2340_00246
RSc0219	RSRUN2340_03478
RSc2872	RSRUN2340_02970
RSc1541	RSRUN2340_01325
RSc2871	RSRUN2340_02966
RSc1540	RSRUN2340_01324
RSc2876	RSRUN2340_02974
RSc1545	RSRUN2340_01329
RSc2875	RSRUN2340_02973
RSc1544	RSRUN2340_01328
RSc1543	RSRUN2340_01327
RSc2874	RSRUN2340_02972
RSc0211	RSRUN2340_00238
RSc2873	RSRUN2340_02971
RSc1542	RSRUN2340_01326
RSp0634	RSRUN2340_04142
RSp0635	RSRUN2340_04143
RSp0636	RSRUN2340_04144
RSp0637	RSRUN2340_04145
RSc2869	RSRUN2340_02965
RSc2869	RSRUN2340_01274
RSc1538	RSRUN2340_01321
RSc0206	RSRUN2340_04360
RSc2868	RSRUN2340_02964
RSc2868	RSRUN2340_01273
RSc1537	RSRUN2340_01320
RSc2867	RSRUN2340_02963
RSc2867	RSRUN2340_01272
RSc1536	RSRUN2340_01319
RSc0204	RSRUN2340_02397
RSc2866	RSRUN2340_02962
RSc2866	RSRUN2340_01271
RSc0205	RSRUN2340_04181
RSc0205	RSRUN2340_05007
RSc0205	RSRUN2340_02075
RSc1535	RSRUN2340_01318
RSc0208	RSRUN2340_05000
RSc0208	RSRUN2340_05042
RSc1539	RSRUN2340_01322
RSc2861	RSRUN2340_04848
RSc2861	RSRUN2340_02958
RSc1530	RSRUN2340_01313
RSc2860	RSRUN2340_02957
RSc1534	RSRUN2340_01317
RSc0202	RSRUN2340_02399
RSc2864	RSRUN2340_02961
RSc2864	RSRUN2340_04973
RSc1533	RSRUN2340_01316
RSc0203	RSRUN2340_02398
RSc1532	RSRUN2340_01315
RSc2863	RSRUN2340_02960
RSc0200	RSRUN2340_02401
RSc1531	RSRUN2340_01314
RSc2862	RSRUN2340_02959
RSc0201	RSRUN2340_02400
RSp0620	RSRUN2340_04133
RSp0623	RSRUN2340_04136
RSp0624	RSRUN2340_04137
RSp0621	RSRUN2340_04134
RSp0622	RSRUN2340_04135
RSp0627	RSRUN2340_04140
RSp0628	RSRUN2340_04141
RSp0625	RSRUN2340_04138
RSp0626	RSRUN2340_04139
RSc1527	RSRUN2340_01310
RSc2858	RSRUN2340_02955
RSc2857	RSRUN2340_02954
RSc2857	RSRUN2340_00580
RSc1526	RSRUN2340_01309
RSc1525	RSRUN2340_01308
RSc2856	RSRUN2340_02953
RSc2855	RSRUN2340_02952
RSc1524	RSRUN2340_01307
RSc1529	RSRUN2340_01312
RSc1528	RSRUN2340_01311
RSc2859	RSRUN2340_02956
RSc2850	RSRUN2340_02947
RSc2854	RSRUN2340_02951
RSc1523	RSRUN2340_01306
RSc1522	RSRUN2340_01305
RSc2853	RSRUN2340_02950
RSc1521	RSRUN2340_01304
RSc2852	RSRUN2340_02949
RSc1520	RSRUN2340_01303
RSc2851	RSRUN2340_02948
RSp0652	RSRUN2340_04157
RSp0652	RSRUN2340_00306
RSp0653	RSRUN2340_04158
RSp0650	RSRUN2340_04155
RSp0651	RSRUN2340_04156
RSp0656	RSRUN2340_04161
RSp0657	RSRUN2340_04162
RSp0654	RSRUN2340_04159
RSp0655	RSRUN2340_04160
RSp0655	RSRUN2340_03994
RSp0658	RSRUN2340_04167
RSp0659	RSRUN2340_04168
RSc2847	RSRUN2340_02944
RSc1516	RSRUN2340_01300
RSc1515	RSRUN2340_01299
RSc2846	RSRUN2340_02943
RSc2845	RSRUN2340_02942
RSc1514	RSRUN2340_01298
RSc2844	RSRUN2340_02941
RSc1513	RSRUN2340_01297
RSc1519	RSRUN2340_01302
RSc2849	RSRUN2340_02946
RSc1518	RSRUN2340_01301
RSc2848	RSRUN2340_02945
RSc2843	RSRUN2340_02940
RSc1512	RSRUN2340_01296
RSc1511	RSRUN2340_02420
RSc1511	RSRUN2340_01295
RSc1511	RSRUN2340_04365
RSc2842	RSRUN2340_02939
RSc2841	RSRUN2340_02938
RSc2840	RSRUN2340_02937
RSp0641	RSRUN2340_04147
RSp0641	RSRUN2340_03692
RSp0642	RSRUN2340_04147
RSp0642	RSRUN2340_03692
RSp0645	RSRUN2340_04150
RSp0646	RSRUN2340_04151
RSp0643	RSRUN2340_04148
RSp0644	RSRUN2340_04149
RSp0649	RSRUN2340_04154
RSp0647	RSRUN2340_04152
RSp0648	RSRUN2340_04153
RSc1505	RSRUN2340_01291
RSc2836	RSRUN2340_02933
RSc1504	RSRUN2340_04375
RSc1504	RSRUN2340_02429
RSc1504	RSRUN2340_01290
RSc2835	RSRUN2340_02932
RSc2834	RSRUN2340_02929
RSc1503	RSRUN2340_01289
RSc2833	RSRUN2340_02928
RSc1502	RSRUN2340_01288
RSc1509	RSRUN2340_02421
RSc1509	RSRUN2340_01294
RSc1509	RSRUN2340_04366
RSc2839	RSRUN2340_02936
RSc2838	RSRUN2340_02935
RSc1507	RSRUN2340_01293
RSc2837	RSRUN2340_02934
RSc1506	RSRUN2340_02426
RSc1506	RSRUN2340_01292
RSc1506	RSRUN2340_04371
RSc2832	RSRUN2340_02927
RSc1501	RSRUN2340_01287
RSc2831	RSRUN2340_02926
RSc1500	RSRUN2340_01103
RSc2830	RSRUN2340_02925
RSc2825	RSRUN2340_02920
RSc2824	RSRUN2340_02919
RSc2823	RSRUN2340_02917
RSc2822	RSRUN2340_02916
RSc2829	RSRUN2340_02924
RSc2828	RSRUN2340_02923
RSc2827	RSRUN2340_02922
RSc2826	RSRUN2340_02921
RSc2821	RSRUN2340_02915
RSc2820	RSRUN2340_02914
RSc2814	RSRUN2340_02908
RSc2813	RSRUN2340_02907
RSc2812	RSRUN2340_02904
RSc2811	RSRUN2340_02903
RSc2818	RSRUN2340_02912
RSc2817	RSRUN2340_02911
RSc2816	RSRUN2340_02910
RSc2815	RSRUN2340_02909
RSc2810	RSRUN2340_02902
RSp0612	RSRUN2340_04124
RSp0613	RSRUN2340_04126
RSp0610	RSRUN2340_04121
RSp0611	RSRUN2340_04122
RSp0616	RSRUN2340_04129
RSp0617	RSRUN2340_04130
RSp0614	RSRUN2340_04127
RSc2819	RSRUN2340_02913
RSp0615	RSRUN2340_04128
RSp0618	RSRUN2340_04131
RSp0619	RSRUN2340_04132
RSc2803	RSRUN2340_02895
RSc2802	RSRUN2340_02894
RSc2801	RSRUN2340_02893
RSc2800	RSRUN2340_02892
RSc2807	RSRUN2340_02899
RSc2806	RSRUN2340_02898
RSc2805	RSRUN2340_02897
RSc2804	RSRUN2340_02896
RSp0601	RSRUN2340_04112
RSp0602	RSRUN2340_04113
RSp0600	RSRUN2340_04111
RSp0605	RSRUN2340_04116
RSp0606	RSRUN2340_04117
RSp0603	RSRUN2340_04114
RSp0603	RSRUN2340_03197
RSc2809	RSRUN2340_02901
RSp0604	RSRUN2340_04115
RSc2808	RSRUN2340_02900
RSp0609	RSRUN2340_04120
RSp0607	RSRUN2340_04118
RSp0608	RSRUN2340_04119
RSc3328	RSRUN2340_03437
RSc3329	RSRUN2340_03438
RSc0297	RSRUN2340_00330
RSc3324	RSRUN2340_03433
RSc3325	RSRUN2340_03434
RSc0298	RSRUN2340_00331
RSc3326	RSRUN2340_03435
RSc0295	RSRUN2340_00328
RSc3327	RSRUN2340_03436
RSc0296	RSRUN2340_00329
RSc3320	RSRUN2340_03429
RSc3321	RSRUN2340_03430
RSc3322	RSRUN2340_03431
RSc0299	RSRUN2340_00332
RSc3323	RSRUN2340_03432
RSc3330	RSRUN2340_03439
RSc3317	RSRUN2340_03426
RSc3318	RSRUN2340_03427
RSc3319	RSRUN2340_03428
RSc0286	RSRUN2340_00319
RSc3313	RSRUN2340_03422
RSc0287	RSRUN2340_00320
RSc3314	RSRUN2340_03423
RSc0284	RSRUN2340_00317
RSc3315	RSRUN2340_03424
RSc3316	RSRUN2340_03425
RSc3316	RSRUN2340_04254
RSc0285	RSRUN2340_00318
RSc3310	RSRUN2340_03419
RSc0288	RSRUN2340_00321
RSc3311	RSRUN2340_03420
RSc0289	RSRUN2340_00322
RSc3312	RSRUN2340_03421
RSc0290	RSRUN2340_00323
RSc0290	RSRUN2340_04773
RSc0293	RSRUN2340_00326
RSc0294	RSRUN2340_00327
RSc0291	RSRUN2340_00324
RSc0292	RSRUN2340_00325
RSc3306	RSRUN2340_03414
RSc3307	RSRUN2340_03415
RSc3308	RSRUN2340_03417
RSc3309	RSRUN2340_03418
RSc3302	RSRUN2340_03410
RSc0275	RSRUN2340_00307
RSc3303	RSRUN2340_03411
RSc0276	RSRUN2340_00308
RSc0273	RSRUN2340_00305
RSc3304	RSRUN2340_03412
RSc0274	RSRUN2340_04157
RSc0274	RSRUN2340_00306
RSc3305	RSRUN2340_03413
RSc0279	RSRUN2340_00311
RSc0277	RSRUN2340_00309
RSc3300	RSRUN2340_03408
RSc3301	RSRUN2340_03409
RSc0278	RSRUN2340_00310
RSc0282	RSRUN2340_00315
RSc0283	RSRUN2340_00316
RSc0280	RSRUN2340_00312
RSc0281	RSRUN2340_00314
RSc1596	RSRUN2340_01386
RSc0264	RSRUN2340_00295
RSc0265	RSRUN2340_00296
RSc1595	RSRUN2340_01385
RSc1594	RSRUN2340_01384
RSc0262	RSRUN2340_00293
RSc1593	RSRUN2340_01383
RSc0263	RSRUN2340_00294
RSc0268	RSRUN2340_00300
RSc0269	RSRUN2340_00301
RSc0266	RSRUN2340_00298
RSc1598	RSRUN2340_01388
RSc0267	RSRUN2340_00299
RSc1597	RSRUN2340_01387
RSc0271	RSRUN2340_00303
