RSc0338	RSR24_00347
RSc1634	RSR24_01505
RSc0304	RSR24_00289
RSc0309	RSR24_00294
RSc0307	RSR24_00292
RSc1639	RSR24_01510
RSc2969	RSR24_03030
RSc0308	RSR24_00293
RSc1638	RSR24_01509
RSc2960	RSR24_03021
RSc2964	RSR24_03025
RSc1633	RSR24_01504
RSc0301	RSR24_00285
RSc1632	RSR24_01503
RSc2963	RSR24_03024
RSc0302	RSR24_00286
RSc2962	RSR24_03023
RSc1631	RSR24_01502
RSc2961	RSR24_03022
RSc0300	RSR24_00284
RSc1630	RSR24_01501
RSp0761	RSR24_04060
RSp0765	RSR24_01233
RSp0765	RSR24_04640
RSc1626	RSR24_01497
RSc2957	RSR24_03018
RSc1625	RSR24_01496
RSc2956	RSR24_03017
RSc1624	RSR24_01495
RSc2955	RSR24_03016
RSc1623	RSR24_01494
RSc2954	RSR24_03015
RSc1629	RSR24_01500
RSc1628	RSR24_01499
RSc2959	RSR24_03020
RSc2958	RSR24_03019
RSc1627	RSR24_01498
RSc2953	RSR24_03014
RSc1622	RSR24_01493
RSc1621	RSR24_04356
RSc1621	RSR24_01491
RSc2952	RSR24_03012
RSc2951	RSR24_03011
RSc1620	RSR24_01490
RSc2950	RSR24_03010
RSp0711	RSR24_04016
RSp0712	RSR24_04017
RSp0710	RSR24_04015
RSp0715	RSR24_04020
RSp0716	RSR24_04021
RSp0713	RSR24_04018
RSp0714	RSR24_04019
RSp0719	RSR24_04023
RSp0718	RSR24_04022
RSc2946	RSR24_03006
RSc1615	RSR24_01484
RSc2945	RSR24_03005
RSc1614	RSR24_01483
RSc2944	RSR24_03003
RSc1613	RSR24_01482
RSc1612	RSR24_01481
RSc2943	RSR24_03002
RSc1619	RSR24_01489
RSc1618	RSR24_01487
RSc2949	RSR24_03009
RSc1617	RSR24_01486
RSc2948	RSR24_03008
RSc2947	RSR24_03007
RSc1616	RSR24_01485
RSc2942	RSR24_03001
RSc1611	RSR24_01480
RSc2941	RSR24_03000
RSc1610	RSR24_01479
RSc2940	RSR24_02999
RSp0701	RSR24_04006
RSp0704	RSR24_04009
RSp0705	RSR24_04010
RSp0702	RSR24_04007
RSp0703	RSR24_04008
RSp0708	RSR24_04013
RSp0709	RSR24_04014
RSp0706	RSR24_04011
RSp0707	RSR24_04012
RSc2935	RSR24_02994
RSc1604	RSR24_01472
RSc1603	RSR24_01471
RSc2934	RSR24_02993
RSc1602	RSR24_01470
RSc2933	RSR24_02992
RSc1601	RSR24_01469
RSc2932	RSR24_02991
RSc1608	RSR24_01477
RSc2939	RSR24_02998
RSc1607	RSR24_01475
RSc2938	RSR24_02997
RSc1606	RSR24_01474
RSc2937	RSR24_02996
RSc1605	RSR24_01473
RSc2936	RSR24_02995
RSc1600	RSR24_01468
RSc2931	RSR24_02990
RSc2930	RSR24_02989
RSp0730	RSR24_04030
RSp0731	RSR24_04031
RSc1609	RSR24_01478
RSc2924	RSR24_01286
RSc2923	RSR24_02952
RSc2922	RSR24_02951
RSc2921	RSR24_02949
RSc2921	RSR24_02950
RSc2928	RSR24_02987
RSc2927	RSR24_02986
RSc2926	RSR24_02985
RSc2925	RSR24_02984
RSc2920	RSR24_02948
RSp0720	RSR24_04024
RSp0721	RSR24_04026
RSc2929	RSR24_02988
RSp0728	RSR24_04028
RSp0729	RSR24_04029
RSc2119	RSR24_02214
RSc2118	RSR24_02213
RSc2110	RSR24_03191
RSc3441	RSR24_03512
RSc2117	RSR24_02212
RSc2116	RSR24_02211
RSc3442	RSR24_03513
RSc2115	RSR24_02210
RSc2120	RSR24_02215
RSc2108	RSR24_00469
RSc2107	RSR24_00883
RSc3434	RSR24_03489
RSc2102	RSR24_04759
RSc2101	RSR24_02201
RSc2100	RSR24_02200
RSc2106	RSR24_02342
RSc2106	RSR24_00475
RSc2106	RSR24_00541
RSc2106	RSR24_03890
RSc2106	RSR24_02207
RSc2106	RSR24_04052
RSc2106	RSR24_03481
RSc2106	RSR24_01955
RSc3440	RSR24_03511
RSc0396	RSR24_00408
RSc0397	RSR24_00409
RSc0394	RSR24_00405
RSc0395	RSR24_00406
RSc3421	RSR24_04208
RSc3421	RSR24_04209
RSc0398	RSR24_00410
RSc0399	RSR24_00411
RSc3416	RSR24_03488
RSc0385	RSR24_00396
RSc3412	RSR24_03485
RSc0386	RSR24_00397
RSc3413	RSR24_04293
RSc0383	RSR24_00394
RSc0384	RSR24_00395
RSc0389	RSR24_00400
RSc0387	RSR24_00398
RSc3410	RSR24_03483
RSc0388	RSR24_00399
RSc3411	RSR24_03484
RSc0392	RSR24_00403
RSc0393	RSR24_00404
RSc0390	RSR24_00401
RSc0391	RSR24_00402
RSc3409	RSR24_02206
RSc3409	RSR24_03482
RSc3405	RSR24_03477
RSc3406	RSR24_03479
RSc3407	RSR24_03480
RSc3408	RSR24_02342
RSc3408	RSR24_00475
RSc3408	RSR24_00541
RSc3408	RSR24_03890
RSc3408	RSR24_02207
RSc3408	RSR24_04052
RSc3408	RSR24_03481
RSc3408	RSR24_01955
RSc0374	RSR24_00385
RSc0375	RSR24_00386
RSc3402	RSR24_03474
RSc0372	RSR24_00383
RSc3403	RSR24_03475
RSc0373	RSR24_00384
RSc3404	RSR24_03476
RSc0378	RSR24_00389
RSc0379	RSR24_00390
RSc0376	RSR24_00387
RSc0377	RSR24_00388
RSc3400	RSR24_03473
RSc0381	RSR24_00392
RSc0382	RSR24_00393
RSc0380	RSR24_00391
RSc0369	RSR24_00380
RSp1190	RSR24_04468
RSp1191	RSR24_04469
RSc0363	RSR24_00374
RSc1695	RSR24_01220
RSp1194	RSR24_04472
RSp1195	RSR24_04473
RSc0364	RSR24_00375
RSc1694	RSR24_01219
RSp1192	RSR24_04425
RSp1192	RSR24_04470
RSp1192	RSR24_04120
RSc0361	RSR24_00372
RSc1693	RSR24_01218
RSc0362	RSR24_00373
RSc1692	RSR24_01217
RSp1193	RSR24_04471
RSp1198	RSR24_04476
RSc0367	RSR24_00378
RSc1699	RSR24_01226
RSc0368	RSR24_00379
RSp1199	RSR24_04477
RSc1698	RSR24_01224
RSc0365	RSR24_00376
RSp1196	RSR24_04474
RSc1697	RSR24_01222
RSp1197	RSR24_04475
RSc0366	RSR24_00377
RSc1696	RSR24_01221
RSc0370	RSR24_00381
RSc0371	RSR24_00382
RSc0358	RSR24_00369
RSc0359	RSR24_00370
RSc1689	RSR24_01212
RSc0352	RSR24_00363
RSc1684	RSR24_01207
RSc0353	RSR24_00364
RSc1683	RSR24_01206
RSc0350	RSR24_00359
RSc1682	RSR24_01205
RSc0351	RSR24_00362
RSc1681	RSR24_01204
RSc0356	RSR24_00367
RSc1688	RSR24_01211
RSc0357	RSR24_00368
RSc1687	RSR24_01210
RSc0354	RSR24_00365
RSc1686	RSR24_01209
RSc0355	RSR24_00366
RSc1685	RSR24_01208
RSc1691	RSR24_01216
RSc0360	RSR24_00371
RSc1690	RSR24_01215
RSc0349	RSR24_00358
RSc0347	RSR24_00356
RSc1679	RSR24_01200
RSc0348	RSR24_00357
RSc1678	RSR24_01199
RSc0341	RSR24_00350
RSc0341	RSR24_03452
RSc0342	RSR24_00351
RSc0342	RSR24_02394
RSc1672	RSR24_04489
RSc1672	RSR24_01002
RSc1672	RSR24_00886
RSc1672	RSR24_01931
RSc1672	RSR24_03505
RSc0340	RSR24_00349
RSc1670	RSR24_01193
RSc0345	RSR24_00354
RSc1677	RSR24_01197
RSc0346	RSR24_00355
RSc1676	RSR24_01196
RSc0343	RSR24_00352
RSc1675	RSR24_01195
RSc0344	RSR24_00353
RSc1680	RSR24_01201
RSp1282	RSR24_04369
RSp1282	RSR24_02887
RSp1283	RSR24_04370
RSc2199	RSR24_02281
RSp1280	RSR24_04367
RSc2198	RSR24_02280
RSp1281	RSR24_04368
RSp1286	RSR24_04373
RSp1287	RSR24_04558
RSp1284	RSR24_04371
RSp1285	RSR24_04372
RSp1288	RSR24_04559
RSp1289	RSR24_04560
RSc2189	RSR24_02267
RSc2188	RSR24_02266
RSc2187	RSR24_02265
RSp1275	RSR24_04551
RSp1276	RSR24_04553
RSp1273	RSR24_04549
RSp1274	RSR24_04550
RSp1279	RSR24_04557
RSc2193	RSR24_02271
RSc2192	RSR24_02270
RSc2191	RSR24_02269
RSc2190	RSR24_02268
RSp1278	RSR24_04556
RSc2197	RSR24_02275
RSc2196	RSR24_02274
RSc2195	RSR24_02273
RSc2194	RSR24_02272
RSc2177	RSR24_02259
RSc2176	RSR24_00899
RSc2186	RSR24_02264
RSc2185	RSR24_02263
RSc2184	RSR24_02262
RSc2183	RSR24_02261
RSp1290	RSR24_04561
RSc2168	RSR24_02251
RSp1293	RSR24_04566
RSc2167	RSR24_02250
RSp1294	RSR24_04567
RSp1291	RSR24_04562
RSc2166	RSR24_02249
RSc2165	RSR24_02248
RSp1292	RSR24_04563
RSp1297	RSR24_04570
RSp1298	RSR24_04583
RSp1295	RSR24_04568
RSc2169	RSR24_02252
RSp1296	RSR24_04569
RSc2171	RSR24_02254
RSc2170	RSR24_02253
RSp1299	RSR24_01682
RSp1299	RSR24_03234
RSp1299	RSR24_00808
RSp1299	RSR24_02966
RSp1299	RSR24_00436
RSp1299	RSR24_00689
RSc2175	RSR24_02258
RSc2174	RSR24_02257
RSc2173	RSR24_02256
RSc2172	RSR24_02255
RSc2157	RSR24_02240
RSc2156	RSR24_02239
RSc2155	RSR24_02238
RSc2154	RSR24_02237
RSp1242	RSR24_04521
RSp1243	RSR24_04522
RSc2159	RSR24_02242
RSp1240	RSR24_04519
RSc2158	RSR24_02241
RSp1241	RSR24_04520
RSc2160	RSR24_02243
RSp1246	RSR24_04525
RSp1247	RSR24_04526
RSp1244	RSR24_04523
RSp1245	RSR24_04524
RSc2163	RSR24_02247
RSp1248	RSR24_04527
RSc2162	RSR24_02246
RSc2161	RSR24_02244
RSp1249	RSR24_04528
RSc2149	RSR24_02231
RSc2148	RSR24_02230
RSp1230	RSR24_04513
RSp1236	RSR24_04514
RSc2153	RSR24_02236
RSc2152	RSR24_02234
RSc2151	RSR24_02233
RSc2150	RSR24_02232
RSp1260	RSR24_04538
RSp1261	RSR24_04539
RSp1264	RSR24_04543
RSc2138	RSR24_04111
RSp1265	RSR24_04544
RSc2137	RSR24_01579
RSp1262	RSR24_04541
RSp1263	RSR24_04542
RSc2136	RSR24_02760
RSp1268	RSR24_04547
RSp1269	RSR24_04548
RSp1266	RSR24_04545
RSp1267	RSR24_04546
RSc2140	RSR24_01988
RSc2124	RSR24_02219
RSc2123	RSR24_00691
RSc2123	RSR24_00690
RSc2123	RSR24_02218
RSc2123	RSR24_02767
RSp1250	RSR24_04529
RSc2121	RSR24_02216
RSc2126	RSR24_02221
RSp1251	RSR24_04530
RSc2125	RSR24_02220
RSp1252	RSR24_04531
RSp1257	RSR24_04535
RSp1258	RSR24_04536
RSp1255	RSR24_04533
RSp1256	RSR24_04534
RSp1259	RSR24_04537
RSc1703	RSR24_01230
RSc1702	RSR24_01229
RSc1701	RSR24_01228
RSc1700	RSR24_01227
RSc1704	RSR24_03551
RSc1704	RSR24_03878
RSp1203	RSR24_04480
RSp1200	RSR24_04478
RSp1201	RSR24_04479
RSp1206	RSR24_04483
RSp1207	RSR24_04484
RSp1204	RSR24_04481
RSp1205	RSR24_04482
RSc1709	RSR24_01566
RSp1208	RSR24_04485
RSc1708	RSR24_01564
RSp1209	RSR24_04486
RSp1220	RSR24_04504
RSp1221	RSR24_04505
RSp1225	RSR24_04509
RSp1222	RSR24_04506
RSp1223	RSR24_04507
RSp1228	RSR24_04512
RSp1226	RSR24_04510
RSp1227	RSR24_04511
RSp1210	RSR24_00274
RSp1210	RSR24_04487
RSp1213	RSR24_04501
RSp1214	RSR24_04502
RSp1211	RSR24_04488
RSp1212	RSR24_04500
RSp1217	RSR24_00809
RSp1217	RSR24_01683
RSp1217	RSR24_03233
RSp1217	RSR24_02965
RSp1217	RSR24_00437
RSp1216	RSR24_01682
RSp1216	RSR24_03234
RSp1216	RSR24_00808
RSp1216	RSR24_02966
RSp1216	RSR24_00436
RSp1216	RSR24_00689
RSp1219	RSR24_04503
RSp0794	RSR24_04063
RSp0799	RSR24_04070
RSp0798	RSR24_04069
RSp0780	RSR24_04062
RSc1549	RSR24_02276
RSc1549	RSR24_02362
RSc1549	RSR24_04663
RSc1549	RSR24_01958
RSc1549	RSR24_04679
RSc1549	RSR24_03900
RSc2879	RSR24_02908
RSc0218	RSR24_00196
RSc2878	RSR24_02907
RSc2877	RSR24_02906
RSc0216	RSR24_03635
RSc0219	RSR24_00197
RSc0219	RSR24_03446
RSc2872	RSR24_01554
RSc2872	RSR24_02901
RSc1541	RSR24_01358
RSc2871	RSR24_02897
RSc2870	RSR24_02896
RSc2876	RSR24_02905
RSc2875	RSR24_02904
RSc1544	RSR24_01361
RSc1543	RSR24_01360
RSc2874	RSR24_02903
RSc0211	RSR24_04160
RSc2873	RSR24_02902
RSc1542	RSR24_01359
RSp0631	RSR24_04494
RSp0634	RSR24_03947
RSp0635	RSR24_03948
RSp0637	RSR24_03949
RSc2869	RSR24_01297
RSc2869	RSR24_02895
RSc1538	RSR24_01355
RSc2868	RSR24_01296
RSc2868	RSR24_02894
RSc1537	RSR24_01354
RSc2867	RSR24_02893
RSc1536	RSR24_01353
RSc2866	RSR24_02892
RSc1535	RSR24_01352
RSc0208	RSR24_03663
RSc0208	RSR24_04518
RSc0208	RSR24_00888
RSc1539	RSR24_01356
RSc2861	RSR24_04369
RSc2861	RSR24_02887
RSc1530	RSR24_01347
RSc2860	RSR24_02886
RSc1534	RSR24_01351
RSc2864	RSR24_02890
RSc2864	RSR24_04657
RSc1533	RSR24_01350
RSc1532	RSR24_01349
RSc2863	RSR24_02889
RSc0200	RSR24_01329
RSc1531	RSR24_01348
RSc2862	RSR24_02888
RSp0620	RSR24_03934
RSp0623	RSR24_03937
RSp0624	RSR24_03938
RSp0621	RSR24_03935
RSp0622	RSR24_03936
RSp0627	RSR24_03941
RSp0628	RSR24_03942
RSp0625	RSR24_03939
RSp0626	RSR24_03940
RSc1527	RSR24_01344
RSc2858	RSR24_02884
RSc2857	RSR24_00597
RSc2857	RSR24_02883
RSc1526	RSR24_01343
RSc1525	RSR24_01342
RSc2856	RSR24_02882
RSc2855	RSR24_02881
RSc1524	RSR24_01341
RSc1529	RSR24_01346
RSc1528	RSR24_01345
RSc2859	RSR24_02885
RSc2850	RSR24_02876
RSc2854	RSR24_02880
RSc1523	RSR24_01340
RSc1522	RSR24_01339
RSc2853	RSR24_02879
RSc1521	RSR24_01338
RSc2852	RSR24_02878
RSc1520	RSR24_01337
RSc2851	RSR24_02877
RSp0652	RSR24_03960
RSp0652	RSR24_00243
RSp0653	RSR24_03961
RSp0650	RSR24_03958
RSp0651	RSR24_03959
RSp0656	RSR24_03964
RSp0657	RSR24_03965
RSp0654	RSR24_03962
RSp0655	RSR24_03850
RSp0655	RSR24_03963
RSp0658	RSR24_03966
RSp0659	RSR24_03967
RSc2847	RSR24_02873
RSc1516	RSR24_01333
RSc1515	RSR24_01332
RSc2846	RSR24_02872
RSc2845	RSR24_02871
RSc1514	RSR24_01331
RSc2844	RSR24_02870
RSc1513	RSR24_01330
RSc1519	RSR24_01336
RSc2849	RSR24_02875
RSc1518	RSR24_01334
RSc1518	RSR24_01335
RSc2848	RSR24_02874
RSc2843	RSR24_02869
RSc1512	RSR24_01324
RSc1511	RSR24_01323
RSc2842	RSR24_02868
RSc2841	RSR24_02867
RSc2840	RSR24_02866
RSp0641	RSR24_03625
RSp0642	RSR24_03625
RSp0645	RSR24_03953
RSp0646	RSR24_03954
RSp0643	RSR24_03951
RSp0644	RSR24_03952
RSp0649	RSR24_03957
RSp0647	RSR24_03955
RSp0648	RSR24_03956
RSc1505	RSR24_01316
RSc2836	RSR24_02862
RSc1504	RSR24_01315
RSc2835	RSR24_02861
RSc2834	RSR24_02860
RSc1503	RSR24_01314
RSc2833	RSR24_02859
RSc1502	RSR24_01313
RSc1509	RSR24_01322
RSc2839	RSR24_02865
RSc2838	RSR24_02864
RSc1507	RSR24_01319
RSc2837	RSR24_02863
RSc1506	RSR24_01317
RSc2832	RSR24_02858
RSc1501	RSR24_01312
RSc2831	RSR24_02857
RSc2830	RSR24_02856
RSc2825	RSR24_02851
RSc2824	RSR24_02850
RSc2823	RSR24_02828
RSc2822	RSR24_02827
RSc2829	RSR24_02855
RSc2828	RSR24_02854
RSc2827	RSR24_02853
RSc2826	RSR24_02852
RSc2821	RSR24_02826
RSc2820	RSR24_02825
RSc2814	RSR24_02819
RSc2813	RSR24_02818
RSc2812	RSR24_02817
RSc2811	RSR24_02816
RSc2818	RSR24_02823
RSc2817	RSR24_02822
RSc2816	RSR24_02821
RSc2815	RSR24_02820
RSc2810	RSR24_02815
RSp0612	RSR24_03926
RSp0613	RSR24_03927
RSp0610	RSR24_03925
RSp0611	RSR24_01738
RSp0616	RSR24_03930
RSp0617	RSR24_03931
RSp0614	RSR24_03928
RSc2819	RSR24_02824
RSp0615	RSR24_03929
RSp0618	RSR24_03932
RSp0619	RSR24_03933
RSc2803	RSR24_02803
RSc2802	RSR24_02802
RSc2801	RSR24_02800
RSc2800	RSR24_02799
RSc2807	RSR24_02812
RSc2806	RSR24_02811
RSc2805	RSR24_02810
RSc2804	RSR24_02809
RSp0601	RSR24_03917
RSp0602	RSR24_03918
RSp0600	RSR24_03916
RSp0605	RSR24_03921
RSp0606	RSR24_03922
RSp0603	RSR24_03166
RSp0603	RSR24_03919
RSc2809	RSR24_02814
RSp0604	RSR24_03920
RSc2808	RSR24_02813
RSp0607	RSR24_03923
RSp0608	RSR24_03924
RSc3328	RSR24_03404
RSc3329	RSR24_03405
RSc0297	RSR24_00281
RSc3324	RSR24_03400
RSc3325	RSR24_03401
RSc0298	RSR24_00282
RSc3326	RSR24_03402
RSc0295	RSR24_00279
RSc3327	RSR24_03403
RSc0296	RSR24_00280
RSc3320	RSR24_03396
RSc3321	RSR24_03397
RSc3322	RSR24_03398
RSc0299	RSR24_00283
RSc3323	RSR24_03399
RSc3317	RSR24_03393
RSc3318	RSR24_03394
RSc3319	RSR24_03395
RSc0286	RSR24_00270
RSc3313	RSR24_03389
RSc0287	RSR24_00271
RSc3314	RSR24_03390
RSc0284	RSR24_00268
RSc3315	RSR24_03391
RSc3316	RSR24_03392
RSc3316	RSR24_04080
RSc0285	RSR24_00269
RSc3310	RSR24_03386
RSc0288	RSR24_00272
RSc3311	RSR24_03387
RSc0289	RSR24_00273
RSc3312	RSR24_03388
RSc0290	RSR24_00274
RSc0290	RSR24_04487
RSc0293	RSR24_00277
RSc0294	RSR24_00278
RSc0291	RSR24_00275
RSc0292	RSR24_00276
RSc3306	RSR24_03380
RSc3307	RSR24_03381
RSc3307	RSR24_03383
RSc3302	RSR24_03376
RSc0275	RSR24_00244
RSc3303	RSR24_03377
RSc0276	RSR24_00245
RSc0273	RSR24_00242
RSc3304	RSR24_03378
RSc0274	RSR24_03960
RSc0274	RSR24_00243
RSc3305	RSR24_03379
RSc0279	RSR24_00248
RSc0277	RSR24_00246
RSc3300	RSR24_03374
RSc3301	RSR24_02962
RSc3301	RSR24_03375
RSc0278	RSR24_00247
RSc0282	RSR24_00266
RSc0283	RSR24_00267
RSc0280	RSR24_00249
RSc0281	RSR24_00265
RSc1596	RSR24_00460
RSc1596	RSR24_01465
RSc0264	RSR24_00233
RSc0265	RSR24_00234
RSc1595	RSR24_01464
RSc1594	RSR24_01463
RSc0262	RSR24_00231
RSc1593	RSR24_01462
RSc0263	RSR24_00232
RSc0268	RSR24_00237
RSc0269	RSR24_00238
RSc0266	RSR24_00235
RSc1598	RSR24_01467
RSc0267	RSR24_00236
RSc1597	RSR24_01466
RSc0271	RSR24_00240
RSc0272	RSR24_00241
RSc0270	RSR24_00239
RSc0259	RSR24_00228
RSp1080	RSR24_04388
RSp1081	RSR24_04389
RSp1084	RSR24_04392
RSc0253	RSR24_00220
RSc1585	RSR24_01454
RSc1584	RSR24_01451
RSp1085	RSR24_04393
RSc0254	RSR24_00223
RSc1583	RSR24_01450
RSp1082	RSR24_04390
RSc0252	RSR24_02484
RSc1582	RSR24_01449
RSp1083	RSR24_04391
RSc0257	RSR24_00226
RSc1589	RSR24_01459
RSc1588	RSR24_01458
RSc0258	RSR24_00227
RSp1089	RSR24_04396
RSc0255	RSR24_00224
RSc1587	RSR24_01457
RSp1086	RSR24_04394
RSc0256	RSR24_00225
RSp1087	RSR24_04395
RSc1586	RSR24_01456
RSc0260	RSR24_00229
RSc1591	RSR24_01461
RSc1591	RSR24_04876
RSc0261	RSR24_00230
RSc1590	RSR24_01460
RSc0249	RSR24_00218
RSc1579	RSR24_01446
RSp1070	RSR24_03670
RSp1073	RSR24_03498
RSp1073	RSR24_04379
RSp1073	RSR24_02806
RSp1073	RSR24_04377
RSp1073	RSR24_03493
RSc0242	RSR24_00215
RSp1074	RSR24_03499
RSp1074	RSR24_02807
RSp1074	RSR24_04380
RSc1573	RSR24_01440
RSp1071	RSR24_03498
RSp1071	RSR24_04379
RSp1071	RSR24_02806
RSp1071	RSR24_04377
RSp1071	RSR24_03493
RSc1572	RSR24_00453
RSc1572	RSR24_01439
RSc0240	RSR24_00213
RSc1571	RSR24_02338
RSc1571	RSR24_01438
RSc0241	RSR24_00214
RSc0246	RSR24_00218
RSc1578	RSR24_01445
RSp1077	RSR24_04385
RSc1577	RSR24_01444
RSp1078	RSR24_04386
RSc1576	RSR24_01442
RSc0244	RSR24_00216
RSp1075	RSR24_02808
RSp1075	RSR24_03500
RSp1075	RSR24_04381
RSc1575	RSR24_01441
RSc0245	RSR24_00217
RSp1076	RSR24_04384
RSp1079	RSR24_04387
RSc1581	RSR24_01448
RSc1580	RSR24_01447
RSc0239	RSR24_00212
RSc0237	RSR24_00211
RSc1569	RSR24_01436
RSc1568	RSR24_01435
RSc2899	RSR24_02927
RSc1563	RSR24_01430
RSc0231	RSR24_00208
RSc2894	RSR24_02922
RSc1562	RSR24_01429
RSc2893	RSR24_02921
RSc1561	RSR24_01428
RSc2892	RSR24_02920
RSc2891	RSR24_02919
RSc1560	RSR24_01427
RSc0230	RSR24_00207
RSc1567	RSR24_02960
RSc1567	RSR24_01434
RSc2898	RSR24_02926
RSc0235	RSR24_00209
RSc1566	RSR24_01433
RSc0236	RSR24_00210
RSc2897	RSR24_02925
RSc1565	RSR24_01432
RSc1565	RSR24_00847
RSc0233	RSR24_01792
RSc2896	RSR24_02924
RSc1564	RSR24_01431
RSc2895	RSR24_02923
RSc1570	RSR24_01437
RSc1570	RSR24_02339
RSc1559	RSR24_01426
RSc0229	RSR24_00205
RSc1558	RSR24_01425
RSc2889	RSR24_02917
RSc0226	RSR24_00204
RSp1091	RSR24_04398
RSp1092	RSR24_04399
RSp1090	RSR24_04397
RSp1095	RSR24_04402
RSc0220	RSR24_00198
RSc2883	RSR24_02912
RSc2882	RSR24_02911
RSp1096	RSR24_04403
RSc0221	RSR24_00199
RSc1550	RSR24_04374
RSc2881	RSR24_02910
RSp1093	RSR24_04400
RSp1094	RSR24_04401
RSp1094	RSR24_03594
RSc2880	RSR24_02909
RSc2887	RSR24_02916
RSc1556	RSR24_01424
RSc0224	RSR24_00202
RSp1099	RSR24_04406
RSc2886	RSR24_02915
RSc0225	RSR24_00203
RSc1555	RSR24_01423
RSc2885	RSR24_02914
RSc2885	RSR24_03989
RSc0222	RSR24_00200
RSp1097	RSR24_04404
RSp1098	RSR24_01686
RSp1098	RSR24_03770
RSp1098	RSR24_01013
RSp1098	RSR24_03552
RSp1098	RSR24_04405
RSc2884	RSR24_03990
RSc2884	RSR24_02913
RSc0223	RSR24_00201
RSc2890	RSR24_02918
RSp1161	RSR24_04442
RSc2079	RSR24_02180
RSp1162	RSR24_04443
RSc2078	RSR24_02179
RSc2077	RSR24_02178
RSp1160	RSR24_04441
RSp1165	RSR24_04446
RSp1166	RSR24_04447
RSp1163	RSR24_04444
RSp1164	RSR24_04445
RSc2083	RSR24_02184
RSp1169	RSR24_04450
RSc2082	RSR24_02183
RSc2081	RSR24_02182
RSp1167	RSR24_04448
RSc2080	RSR24_02181
RSp1168	RSR24_04449
RSc2087	RSR24_02188
RSc2086	RSR24_02187
RSc2085	RSR24_02186
RSc2084	RSR24_02185
RSc2069	RSR24_02170
RSc2067	RSR24_02169
RSc2066	RSR24_02168
RSc3397	RSR24_03471
RSp1154	RSR24_04434
RSc3398	RSR24_03472
RSp1155	RSR24_04435
RSp1152	RSR24_00899
RSc3399	RSR24_04696
RSp1153	RSR24_04433
RSc2072	RSR24_02173
RSp1158	RSR24_04439
RSc2071	RSR24_01743
RSc2071	RSR24_02172
RSp1159	RSR24_04440
RSc2070	RSR24_02171
RSp1156	RSR24_04437
RSp1157	RSR24_04438
RSc2076	RSR24_02177
RSc2075	RSR24_02176
RSc2074	RSR24_02175
RSc2073	RSR24_02174
