RSc0338	H16_A0317
RSc2104	H16_A2754
RSc1256	H16_A2337
RSc3440	H16_A0003
RSc1261	H16_A2332
RSc1260	H16_A2333
RSc0396	H16_A0374
RSc1243	H16_B1499
RSc0397	H16_A0375
RSc1242	H16_B1498
RSc0394	H16_A0371
RSc2573	RALH11904
RSc0395	H16_A0372
RSc0398	H16_A0376
RSc0399	H16_A0377
RSc1251	H16_A2342
RSc1250	H16_A2343
RSc2564	H16_A3070
RSc1232	H16_A2345
RSc0386	H16_A0363
RSc2563	H16_A3069
RSc0383	H16_B0428
RSc0383	H16_B0874
RSc0383	H16_A0361
RSc1231	H16_A2346
RSc0384	H16_A0362
RSc1230	H16_A2347
RSc0389	H16_A0366
RSc2568	H16_B2376
RSc2567	H16_B1094
RSc1236	H16_A0313
RSc2566	H16_B1093
RSc1235	H16_A2344
RSc0387	H16_A0364
RSc1234	H16_B1252
RSc1234	H16_B2122
RSc1234	H16_B2295
RSc1234	H16_B0233
RSc1234	H16_A2651
RSc2565	H16_A3071
RSc0388	H16_A0365
RSc3411	H16_A1477
RSc2570	H16_B1093
RSc0393	H16_A0370
RSc0390	H16_A0367
RSc0391	H16_A0368
RSc3409	H16_A0046
RSc3409	H16_A3309
RSc1229	H16_A2348
RSc1228	H16_A2349
RSc2559	H16_A3068
RSc2558	H16_A3067
RSc1227	H16_A2353
RSc3406	H16_A1413
RSc3408	H16_A0045
RSc3408	H16_A0475
RSc3408	H16_A2756
RSc3408	H16_A3308
RSc3408	H16_B1810
RSc2553	H16_B2531
RSc0374	H16_A0354
RSc1222	H16_A2357
RSc1221	H16_A2358
RSc2552	H16_A3062
RSc0372	H16_A0352
RSc1220	H16_A2359
RSc2551	H16_A1813
RSc2551	H16_B1521
RSc2550	H16_A3061
RSc0373	H16_A0353
RSc1226	H16_A2354
RSc2557	H16_A3066
RSc0378	H16_A0356
RSc0379	H16_A0357
RSc2556	H16_A3065
RSc1225	H16_A2355
RSc2555	H16_A3064
RSc2554	H16_A3063
RSc0377	H16_A0355
RSc1223	H16_A2356
RSc0381	H16_A0359
RSc0382	H16_A0360
RSc0380	H16_A0358
RSc1219	H16_A2360
RSc2549	H16_A3060
RSc1218	H16_A2361
RSc0369	H16_A0349
RSc1217	H16_A2362
RSc1216	H16_A2363
RSp1190	H16_B1213
RSp1191	H16_B1223
RSc1211	H16_A2368
RSc0363	H16_A0343
RSc2542	H16_A0593
RSp1194	H16_A0968
RSc2541	H16_A0595
RSp1195	H16_A0587
RSc1210	H16_A2369
RSc0364	H16_A0344
RSc2540	H16_A0596
RSc0361	H16_A0341
RSc0362	H16_A0342
RSp1198	H16_A3716
RSp1198	H16_A2165
RSp1198	H16_A0583
RSc0367	H16_A0347
RSc2546	H16_A0588
RSc1215	H16_A2364
RSc0368	H16_A0348
RSp1199	H16_A0582
RSc2545	H16_A0589
RSc1214	H16_A2365
RSc0365	H16_A0345
RSc2544	H16_A0590
RSp1196	H16_A0586
RSc1213	H16_A2366
RSp1197	H16_A0584
RSp1197	H16_A2164
RSc1212	H16_A2367
RSc0366	H16_A0346
RSc0366	H16_A1590
RSc2543	H16_A0591
RSc0370	H16_A0350
RSc0371	H16_A0351
RSc2539	H16_A0597
RSc1208	H16_A2371
RSc2538	H16_A0598
RSc1207	H16_A2373
RSc1206	H16_A1170
RSc1206	H16_A2374
RSc0358	H16_A0338
RSc2537	H16_A0599
RSc2536	H16_A3664
RSc2536	H16_A0273
RSc1205	H16_A1622
RSc1205	H16_A2375
RSc0359	H16_A0339
RSc1209	H16_A2370
RSc0352	H16_A0331
RSc2531	H16_A0605
RSc1200	H16_A2381
RSc0353	H16_A0332
RSc2530	H16_A0606
RSc0350	H16_A0267
RSc0350	H16_A0328
RSc0351	H16_A0330
RSc1204	H16_A2376
RSc0356	H16_A0335
RSc0357	H16_A0336
RSc2534	H16_A0602
RSc2534	H16_B1894
RSc2534	H16_B0388
RSc1203	H16_A2377
RSc1202	H16_A1696
RSc1202	H16_B2164
RSc1202	H16_A1667
RSc1202	H16_B2161
RSc1202	H16_A1789
RSc2533	H16_A0603
RSc0354	H16_A0333
RSc0355	H16_A0334
RSc2532	H16_A0604
RSc0360	H16_A0340
RSc0349	H16_A0327
RSc2528	H16_A0608
RSc2527	H16_A0609
RSc2526	H16_A0610
RSc0347	H16_A0325
RSc0348	H16_A0326
RSc2529	H16_A0607
RSc0341	H16_B2132
RSc0341	H16_A0319
RSc0341	H16_B0893
RSc0342	H16_A0320
RSc0342	H16_A0750
RSc0340	H16_A0318
RSc0345	H16_A0323
RSc0346	H16_A0324
RSc0343	H16_A0321
RSc2522	H16_A3016
RSc0344	H16_A0322
RSc2521	H16_B1235
RSp1282	H16_A0311
RSc3049	H16_A2500
RSc2199	H16_A0906
RSp1280	H16_B1503
RSc3046	H16_A2503
RSc3047	H16_A2502
RSc3048	H16_A2501
RSc3052	H16_A2507
RSc3054	H16_A0974
RSc3050	H16_A2499
RSc3051	H16_A2498
RSc3038	H16_A3501
RSp1271	H16_B0509
RSc3039	H16_A3502
RSc2189	H16_A0917
RSc2188	H16_B1595
RSc2188	H16_A0918
RSc2187	H16_A0930
RSp1270	H16_B0510
RSc3034	H16_A3497
RSc3035	H16_A3498
RSp1276	H16_A0305
RSp1276	PHG321
RSc3036	H16_A3499
RSc3037	H16_A3500
RSc3041	H16_A3505
RSc3041	H16_A3491
RSp1279	H16_B0103
RSc2193	H16_A0913
RSc2192	H16_A0914
RSc2191	H16_A0915
RSc2190	H16_A0916
RSc3044	H16_A2504
RSp1278	H16_B2097
RSc2197	H16_A0909
RSc2196	H16_A0910
RSc2195	H16_A0911
RSc2194	H16_A0912
RSc3040	H16_A3503
RSc2177	H16_A0935
RSc3023	H16_A3493
RSc3024	H16_A3494
RSc3025	H16_A3495
RSc3033	H16_A3496
RSc2186	H16_A0931
RSc2185	H16_A0932
RSc2184	H16_A0933
RSc2183	H16_A0934
RSc3016	H16_A3481
RSc2168	H16_A0127
RSc3017	H16_A3482
RSc2167	H16_A0128
RSc3018	H16_A3483
RSc2166	H16_A1508
RSc3019	H16_A3484
RSc2165	H16_A0129
RSc3012	H16_A3477
RSp1297	H16_A0040
RSc3013	H16_A3478
RSc3014	H16_A3479
RSc3015	H16_A3480
RSc2169	H16_A0126
RSc2171	H16_A0124
RSc2171	H16_B1758
RSc3020	H16_A3490
RSc2170	H16_A0125
RSp1299	H16_B2078
RSc3021	H16_A3505
RSc3021	H16_A3491
RSc3022	H16_A3492
RSc3022	H16_B0124
RSc2175	H16_A0936
RSc2174	H16_A0937
RSc2173	H16_A0938
RSc2172	H16_B1232
RSc3009	H16_A3474
RSc3005	H16_A3470
RSp0391	H16_B2369
RSc2157	H16_A0951
RSc3006	H16_A3471
RSc2156	H16_A0952
RSp0392	H16_B2370
RSc2155	H16_A0953
RSc3007	H16_A3472
RSc2154	H16_A0954
RSc3008	H16_A3473
RSp0390	H16_B2368
RSc3001	H16_A3466
RSp0395	H16_B2373
RSc3002	H16_A3467
RSc2159	H16_A0949
RSc3003	H16_A3468
RSp0393	H16_B2371
RSc3004	H16_A3469
RSc2158	H16_A0950
RSp0394	H16_B2372
RSc2160	H16_A0948
RSc3010	H16_A3475
RSp0397	H16_A3586
RSp0398	H16_B2050
RSp0398	H16_B1522
RSp0398	H16_B2212
RSc3011	H16_A3476
RSp1245	H16_A2122
RSc2163	H16_A1618
RSc2162	H16_B0978
RSc2161	H16_A0947
RSp1249	H16_A1673
RSp0380	H16_A0025
RSp0380	H16_A0016
RSp0380	H16_A1248
RSp0380	H16_B0108
RSc1299	H16_A2289
RSc1298	H16_A2291
RSc1297	H16_A2293
RSc1296	H16_A2294
RSp0384	H16_B2363
RSp1231	H16_B0348
RSc2149	H16_B2073
RSc2148	H16_A1040
RSp1230	H16_B0614
RSp0389	H16_B2367
RSp0386	H16_B0158
RSc3000	H16_A3465
RSc2153	H16_A0955
RSc2152	H16_A0956
RSc2151	H16_A2513
RSp1237	H16_A1900
RSc2150	H16_A0958
RSc1288	H16_A2307
RSc1287	H16_A2308
RSc1286	H16_A2309
RSc1285	H16_A2310
RSc2138	H16_B0452
RSc2137	H16_A1502
RSc2137	H16_B1502
RSc1289	H16_A2306
RSc1291	H16_A2304
RSp1268	H16_B1071
RSp1268	H16_B0431
RSc1290	H16_A2305
RSp1269	H16_B0511
RSp1267	H16_B1374
RSp1267	H16_B0686
RSp1267	PHG389
RSc1295	H16_A2295
RSc1294	H16_A2296
RSc2140	H16_A2327
RSc1293	H16_A2297
RSc1292	RALH1_K21511
RSc1292	H16_A2298
RSc1277	H16_A2318
RSc2124	H16_A1001
RSc2123	H16_A1002
RSc2123	H16_A3153
RSc1276	H16_A2319
RSp1250	H16_A0242
RSc1275	H16_A2320
RSc2121	H16_A1005
RSc2121	H16_B0998
RSc1274	H16_A2321
RSc2126	H16_B1390
RSc2126	H16_A0999
RSc2126	PHG027
RSc2126	PHG422
RSc1279	H16_A2316
RSc2125	H16_A1000
RSc1278	H16_A2317
RSp1252	H16_B1656
RSp1257	H16_A1578
RSc1280	H16_A2315
RSp1258	H16_A1577
RSp1255	H16_B2358
RSc1284	H16_A2311
RSc1283	H16_A2312
RSc1283	PHG276
RSc1283	H16_B1540
RSc1282	H16_A2313
RSc1281	H16_A2314
RSc1700	H16_B1313
RSc1706	H16_B0472
RSc1704	PHG062
RSc1704	PHG061
RSc1704	RALH10027
RSc1704	RALH10024
RSp1682	H16_B1655
RSp1680	H16_B1655
RSp0350	H16_B0269
RSp1203	H16_A2518
RSp1203	H16_A2497
RSp1200	H16_A0581
RSp0353	H16_A2648
RSp1201	H16_A1285
RSp0354	H16_B2509
RSp1206	H16_B1176
RSp1206	H16_B1462
RSp0359	H16_B2510
RSp1207	H16_B1461
RSp1207	H16_B1177
RSc1709	H16_A1481
RSp0340	H16_B0259
RSp0344	H16_B0263
RSp0345	H16_B0264
RSp0342	H16_B0261
RSp0343	H16_B0262
RSp1679	H16_B1655
RSp0348	H16_B0267
RSp0349	H16_B0268
RSp0346	H16_B0265
RSp1678	H16_B2578
RSp0347	H16_B0266
RSp1220	H16_B0777
RSp1221	H16_B0778
RSp0374	H16_B0562
RSp0371	H16_A2089
RSp0377	H16_B0565
RSp1224	H16_B1038
RSp1224	H16_B0232
RSp0378	H16_B0566
RSp1222	H16_B0779
RSp0375	H16_B0563
RSp0376	H16_B0564
RSp1223	H16_B0780
RSp0379	H16_B0567
RSc0820	H16_A0061
RSp1210	H16_B0936
RSp1210	H16_B1214
RSp1214	H16_A1930
RSp1211	H16_B1255
RSp1217	H16_A1744
RSp1216	H16_B2078
RSc0828	H16_A1744
RSp1219	H16_B0776
RSc0829	H16_B2078
RSc0810	H16_A2760
RSc0815	H16_A0407
RSc0813	H16_B0860
RSc3096	H16_A3527
RSp1642	H16_A1449
RSp0312	H16_A3730
RSc3097	H16_A3528
RSp1640	H16_A1451
RSc3098	H16_A3529
RSp1641	H16_A1450
RSc3099	H16_A3200
RSp0799	H16_B1061
RSc3093	H16_B1105
RSp1647	PHG119
RSp1647	PHG118
RSp1647	PHG117
RSp1647	H16_B2046
RSp0316	H16_B0223
RSc3094	H16_A3525
RSp0798	H16_B1060
RSp1645	H16_A3184
RSp0319	H16_B1644
RSp0317	H16_B0224
RSc0817	H16_B0451
RSp1648	H16_B2045
RSc3091	H16_A0083
RSp1649	H16_B2044
RSc0804	H16_A2766
RSc0805	H16_A2765
RSc0802	H16_A2768
RSc0803	H16_A2767
RSc3078	H16_B2087
RSc3078	H16_B2081
RSc3087	H16_A2599
RSc3087	H16_B0894
RSc3088	H16_A0079
RSp1630	H16_B0046
RSp0305	H16_A2473
RSp0305	H16_B0101
RSp1634	H16_B1498
RSp0303	H16_B0228
RSc3084	H16_A3614
RSc0808	H16_A2762
RSc0809	H16_A2761
RSp0309	H16_B0222
RSc0806	H16_A2764
RSp0307	H16_B1763
RSc0807	H16_A2763
RSc3080	H16_A0089
RSc3068	H16_B0712
RSp1664	H16_B2572
RSp0331	H16_A2982
RSp0331	H16_B1949
RSp0331	H16_B0989
RSp0331	H16_B1722
RSp1662	H16_B2571
RSc3077	H16_A3559
RSp0332	H16_B0568
RSp0337	H16_A1004
RSp1668	H16_B2349
RSp1668	H16_A2683
RSp0335	PHG180
RSp0335	H16_B0227
RSp0335	H16_B2256
RSp1666	H16_A0156
RSp1667	H16_B2348
RSc3056	PHG380
RSc3058	H16_B1152
RSc3059	H16_A1461
RSc3063	RALH13826
RSp0322	H16_B0081
RSp0320	H16_A3607
RSp0321	H16_B0105
RSc3060	H16_A1461
RSp0327	H16_A0432
RSp0324	H16_A1653
RSp0324	H16_A0700
RSp0324	H16_B1524
RSp0324	H16_B1378
RSp0325	H16_A0701
RSp0325	H16_B1377
RSc3062	H16_B1996
RSc3062	H16_A0074
RSp0328	H16_B1718
RSc1549	PHG031
RSc1549	PHG030
RSc2879	H16_A3317
RSc2879	H16_B1391
RSc2879	PHG423
RSc2878	H16_A3316
RSc0699	H16_A2873
RSc2877	H16_A3315
RSc0219	H16_A3325
RSc2872	H16_A0100
RSc2872	H16_A3307
RSc0693	H16_A2883
RSc0694	H16_A2880
RSc2871	H16_A3299
RSc0210	H16_B1992
RSc0691	H16_A2885
RSc0691	H16_A1847
RSc2870	H16_A3298
RSc0692	H16_A2884
RSc0697	H16_A2877
RSc2876	H16_A3314
RSc2875	H16_A3313
RSc2875	H16_B1357
RSc0698	H16_A2874
RSc0698	H16_A0855
RSc1544	H16_A1980
RSc1543	H16_A1981
RSc1543	H16_A2208
RSc0695	RALH1_K22476
RSc0695	H16_A2879
RSc0695	H16_B2310
RSc2874	H16_A3312
RSc2873	H16_A0873
RSc2873	H16_A3311
RSc0696	H16_A2878
RSp0634	H16_A0905
RSp0635	H16_A0699
RSp0632	H16_A3214
RSp0633	H16_B0856
RSp0638	H16_B1682
RSp0638	H16_B2226
RSp0637	H16_A2174
RSc2869	H16_A1301
RSc2869	H16_A3297
RSc1538	H16_A2435
RSc2868	H16_A1302
RSc2868	H16_A3296
RSc1537	H16_A2436
RSc2867	H16_A2952
RSc2867	H16_B0717
RSc2867	H16_A1303
RSc2867	H16_A1470
RSc2867	H16_A3295
RSc2867	H16_B1125
RSc1536	H16_A2437
RSc1536	H16_B1019
RSc0204	H16_B0558
RSc0204	H16_A2012
RSc2866	H16_B0716
RSc2866	H16_A1304
RSc2866	H16_A2953
RSc2866	H16_A3294
RSc2866	H16_A1471
RSc2866	H16_B1124
RSc0205	H16_B1653
RSc0205	H16_B0298
RSc1535	H16_A2438
RSc1539	H16_A2434
RSc2861	H16_A0311
RSc0682	H16_A1851
RSc0682	H16_A2909
RSc1530	H16_A2443
RSc0683	H16_A1850
RSc0683	H16_A2908
RSc2860	H16_B1806
RSc2860	H16_B0864
RSc0680	H16_A2911
RSc0681	H16_A2910
RSc1534	H16_A2439
RSc0202	RALH12141
RSc2864	H16_A3293
RSc1533	H16_A2440
RSc0203	H16_A2005
RSc0684	H16_A1864
RSc0684	H16_A2907
RSc1532	H16_A2441
RSc0200	H16_A2014
RSc0685	H16_A1848
RSc0685	H16_A2906
RSc1531	H16_A2442
RSc0201	RALH10285
RSc0201	H16_A2022
RSc0201	PHG226
RSc0201	PHG225
RSp0628	PHG063
RSp0628	PHG023
RSc1527	H16_A2446
RSc0679	H16_A2912
RSc2858	H16_A3291
RSc2857	H16_A3288
RSc1526	H16_A2447
RSc1525	H16_A2448
RSc2856	H16_A3076
RSc0677	H16_A2914
RSc0678	H16_A2913
RSc2855	H16_A0854
RSc2855	H16_B2528
RSc2855	H16_A3284
RSc2855	H16_B0410
RSc1524	H16_A2449
RSc1529	H16_A2444
RSc1528	H16_A2445
RSc2859	H16_A3292
RSc2850	H16_A3279
RSc0671	H16_A0739
RSc0672	H16_A0740
RSc0670	H16_A0738
RSc2854	H16_A3283
RSc0675	H16_A2916
RSc1523	H16_A2450
RSc1522	H16_A2451
RSc0676	H16_A2915
RSc2853	H16_A3282
RSc1521	H16_A2452
RSc2852	H16_A3281
RSc0674	H16_A2917
RSc1520	H16_A2453
RSc2851	H16_A3280
RSp0652	H16_B1192
RSp0652	H16_A0172
RSp0653	H16_B1193
RSp0650	H16_B1191
RSp0656	H16_B2185
RSp0657	H16_B2184
RSp0654	H16_B2187
RSp0655	H16_B2186
RSp0655	H16_B1647
RSp0655	H16_B1245
RSp0655	H16_A2167
RSp1507	H16_B2218
RSp1508	H16_B2217
RSp1505	PHG244
RSp1505	H16_B2323
RSp0658	H16_B2183
RSp1506	H16_B0514
RSp0659	H16_B2182
RSp1509	H16_B2219
RSc2847	H16_A3276
RSc0668	H16_A0736
RSc1516	H16_A2463
RSc1515	H16_A2464
RSc0669	H16_A0737
RSc1999	H16_A2635
RSc1999	H16_B0353
RSc2846	H16_A3275
RSc0666	H16_A0734
RSc2845	H16_A3274
RSc1998	H16_A2634
RSc1514	H16_A2465
RSc0667	PHG009
RSc0667	RALH13962
RSc0667	H16_A0735
RSc0667	H16_B2070
RSc2844	H16_A3273
RSc1513	H16_A2466
RSc1997	H16_A2633
RSc1519	H16_A2454
RSc2849	H16_A3278
RSc1518	H16_A1616
RSc1518	H16_A2462
RSc2848	H16_A3277
RSc1992	H16_A2628
RSc1991	H16_A2627
RSc1990	H16_A1236
RSc1990	H16_A2621
RSc2843	H16_A3272
RSc0664	H16_A0733
RSc1996	H16_A2632
RSc1512	H16_A3518
RSc1511	H16_A1992
RSc1511	H16_A2192
RSc2842	H16_A3271
RSc1995	H16_A2631
RSc1994	H16_A2630
RSc0662	H16_A0731
RSc2841	H16_A3270
RSc1993	H16_A2629
RSc2840	H16_A3269
RSc0663	H16_A0732
RSp0641	H16_B1685
RSp0641	H16_B1683
RSp0642	H16_B1685
RSp0642	H16_B1683
RSp0640	H16_B1689
RSp0645	H16_B1366
RSp0646	H16_B1365
RSp0649	H16_B1190
RSp0649	H16_B1750
RSp0647	H16_B1188
RSp0648	H16_B1189
RSc1989	H16_A2620
RSc1989	H16_A1237
RSc1505	PHG229
RSc1505	H16_B1433
RSc0657	H16_A0720
RSc2836	H16_A3265
RSc1504	H16_A2006
RSc1504	PHG228
RSc1504	H16_A2008
RSc1504	H16_B1432
RSc1988	H16_A2619
RSc2835	H16_A0489
RSc2835	H16_A0829
RSc1987	H16_A2618
RSc2834	H16_A3264
RSc0655	H16_A0717
RSc2833	H16_A3263
RSc0656	H16_A0718
RSc1986	H16_A2617
RSc2839	H16_A3268
RSc2838	H16_A3267
RSc2837	H16_A3266
RSc1981	H16_A2612
RSc1980	H16_A2611
RSc0650	H16_A0709
RSc1985	H16_A2616
RSc0653	H16_A0712
RSc2832	H16_A3262
RSc2831	H16_A3261
RSc1984	H16_A2615
RSc0654	H16_A0716
RSc1983	H16_A2614
RSc0651	H16_A0710
RSc2830	RALH13459
RSc0652	H16_A0711
RSc1982	H16_A2613
RSc2825	H16_A3255
RSc1978	H16_A2609
RSc1977	H16_A2608
