RSc1428	XOO3719
RSp0504	XOO3191
RSp0504	XOO4165
RSp0504	XOO3552
RSp0504	XOO4047
RSp0504	XOO0362
RSp0504	XOO0365
RSp0504	XOO0364
RSp0504	XOO2146
RSp0504	XOO2745
RSp0504	XOO0363
RSp0504	XOO1650
RSp0504	XOO0325
RSp0504	XOO4368
RSp0504	XOO4369
RSp0504	XOO4523
RSp0504	XOO4524
RSp0504	XOO0987
RSp0504	XOO1119
RSp0504	XOO0827
RSp0504	XOO2290
RSp0504	XOO3189
RSp0504	XOO1361
RSp0504	XOO3063
RSp0504	XOO2372
RSp0504	XOO3700
RSp0504	XOO3701
RSp0504	XOO1640
RSp0504	XOO3702
RSp0504	XOO0198
RSp0504	XOO0236
RSp0504	XOO0478
RSp0504	XOO1644
RSp0504	XOO3027
RSp0504	XOO1643
RSp0746	XOO3478
RSp0747	XOO3477
RSc0558	XOO3195
RSc0558	XOO1586
RSc1406	XOO1974
RSc1648	XOO3870
RSc1405	XOO1976
RSc0314	XOO0805
RSc1404	XOO1977
RSc0557	XOO3195
RSc0557	XOO1586
RSc2976	XOO1156
RSc1403	XOO1983
RSc1408	XOO1972
RSc1407	XOO1973
RSc0319	XOO3682
RSc0319	XOO1651
RSc2970	XOO1244
RSc0551	XOO2941
RSc0791	XOO3713
RSc2733	XOO3629
RSc0554	XOO1593
RSc1644	XOO2960
RSc0312	XOO0428
RSc1885	XOO2981
RSc2732	XOO3630
RSc0555	XOO1594
RSc1643	XOO2961
RSc0797	XOO2939
RSc2731	XOO2361
RSc1642	XOO1472
RSc0552	XOO2940
RSc2730	XOO3633
RSp1625	XOO0615
RSp1625	XOO3929
RSp1625	XOO0617
RSp1625	XOO3927
RSp1625	XOO1392
RSp1625	XOO4146
RSp1625	XOO0263
RSp1625	XOO1396
RSp1625	XOO0262
RSp1625	XOO1394
RSp1625	XOO0981
RSp1625	XOO2009
RSp1625	XOO0622
RSp1625	XOO2007
RSp1625	XOO2403
RSp1625	XOO2006
RSp1625	XOO3930
RSp1625	XOO4304
RSp1625	XOO0646
RSp1625	XOO1339
RSp1625	XOO0296
RSp1625	XOO4370
RSp1625	XOO0295
RSp1625	XOO1340
RSp1625	XOO1384
RSp1625	XOO3888
RSp1625	XOO2113
RSp1625	XOO3889
RSp1625	XOO3366
RSp1625	XOO1029
RSp1625	XOO1028
RSp1625	XOO1027
RSp1625	XOO0517
RSp1625	XOO0516
RSp1625	XOO1649
RSp1625	XOO0999
RSp1625	XOO0998
RSp1625	XOO3191
RSp1625	XOO4165
RSp1625	XOO3552
RSp1625	XOO4047
RSp1625	XOO0362
RSp1625	XOO0365
RSp1625	XOO0364
RSp1625	XOO2146
RSp1625	XOO2745
RSp1625	XOO0363
RSp1625	XOO1650
RSp1625	XOO0325
RSp1625	XOO4368
RSp1625	XOO4369
RSp1625	XOO4523
RSp1625	XOO4524
RSp1625	XOO0987
RSp1625	XOO1119
RSp1625	XOO0827
RSp1625	XOO2290
RSp1625	XOO3189
RSp1625	XOO1361
RSp1625	XOO3063
RSp1625	XOO2372
RSp1625	XOO3700
RSp1625	XOO3701
RSp1625	XOO1640
RSp1625	XOO3702
RSp1625	XOO0198
RSp1625	XOO0236
RSp1625	XOO0478
RSp1625	XOO1644
RSp1625	XOO3027
RSp1625	XOO1643
RSp1622	XOO0519
RSp1622	XOO0710
RSp1628	XOO0615
RSp1628	XOO3929
RSp1628	XOO0617
RSp1628	XOO3927
RSp1628	XOO1392
RSp1628	XOO4146
RSp1628	XOO0263
RSp1628	XOO1396
RSp1628	XOO0262
RSp1628	XOO1394
RSp1628	XOO0981
RSp1628	XOO2009
RSp1628	XOO0622
RSp1628	XOO2007
RSp1628	XOO2403
RSp1628	XOO2006
RSp1628	XOO3930
RSp1628	XOO4304
RSp1628	XOO0646
RSp1628	XOO1339
RSp1628	XOO0296
RSp1628	XOO4370
RSp1628	XOO0295
RSp1628	XOO1340
RSp1628	XOO1384
RSp1628	XOO3888
RSp1628	XOO2113
RSp1628	XOO3889
RSp1628	XOO3366
RSp1628	XOO1029
RSp1628	XOO1028
RSp1628	XOO1027
RSp1628	XOO0517
RSp1628	XOO0516
RSp1628	XOO1649
RSp1628	XOO0999
RSp1628	XOO0998
RSp1628	XOO3191
RSp1628	XOO4165
RSp1628	XOO3552
RSp1628	XOO4047
RSp1628	XOO0362
RSp1628	XOO0365
RSp1628	XOO0364
RSp1628	XOO2146
RSp1628	XOO2745
RSp1628	XOO0363
RSp1628	XOO1650
RSp1628	XOO0325
RSp1628	XOO4368
RSp1628	XOO4369
RSp1628	XOO4523
RSp1628	XOO4524
RSp1628	XOO0987
RSp1628	XOO1119
RSp1628	XOO0827
RSp1628	XOO2290
RSp1628	XOO3189
RSp1628	XOO1361
RSp1628	XOO3063
RSp1628	XOO2372
RSp1628	XOO3700
RSp1628	XOO3701
RSp1628	XOO1640
RSp1628	XOO3702
RSp1628	XOO0198
RSp1628	XOO0236
RSp1628	XOO0478
RSp1628	XOO1644
RSp1628	XOO3027
RSp1628	XOO1643
RSc2726	XOO4848
RSc0789	XOO1545
RSc1636	XOO3272
RSc2967	XOO1202
RSc1877	XOO0232
RSc2724	XOO2555
RSc2965	XOO0177
RSc2723	XOO2556
RSc1634	XOO2729
RSc0307	XOO2064
RSc2969	XOO1243
RSc2727	XOO2779
RSc2960	XOO0308
RSc2964	XOO1865
RSc1633	XOO1102
RSc0301	XOO0771
RSc0785	XOO2723
RSc0786	XOO3417
RSc1873	XOO4342
RSc2720	XOO2048
RSc2962	XOO0310
RSc0541	XOO1448
RSc0784	XOO2065
RSc0784	XOO3080
RSc2961	XOO0309
RSc1872	XOO1042
RSp0520	XOO2205
RSp0762	XOO3516
RSp0763	XOO3517
RSp0761	XOO3515
RSp0766	XOO3518
RSp0765	XOO4463
RSp0765	XOO4615
RSp0768	XOO1450
RSp0768	XOO3507
RSp0768	XOO3502
RSp0768	XOO3513
RSp0768	XOO3503
RSp0768	XOO1453
RSp0768	XOO3504
RSp0768	XOO3498
RSp0768	XOO3512
RSc1626	XOO1741
RSc2715	XOO2482
RSc2714	XOO2483
RSc1625	XOO0258
RSc2956	XOO0676
RSc2713	XOO2484
RSc2712	XOO2485
RSc1623	XOO2225
RSc2954	XOO4752
RSc2719	XOO1825
RSc1629	XOO1598
RSc1628	XOO1597
RSc2959	XOO0305
RSc0538	XOO2536
RSc0539	XOO0770
RSc1860	XOO1631
RSc2953	XOO1290
RSc0774	XOO1513
RSc2711	XOO1151
RSc1621	XOO1662
RSc2952	XOO2256
RSc0530	XOO2767
RSc2950	XOO2258
RSc0531	XOO2766
RSp0950	XOO3630
RSp0954	XOO3629
RSp0951	XOO3629
RSc2946	XOO2261
RSc2945	XOO2262
RSc0526	XOO4399
RSc0524	XOO4398
RSc1619	XOO2237
RSc0529	XOO2769
RSc2707	XOO4716
RSc2707	XOO4738
RSc2707	XOO4717
RSc2707	XOO4937
RSc2707	XOO3926
RSc2707	XOO0360
RSc2707	XOO4723
RSc2707	XOO0326
RSc2707	XOO2404
RSc2707	XOO3895
RSc2707	XOO4707
RSc2707	XOO4828
RSc2707	XOO4927
RSc2707	XOO2371
RSc2707	XOO4893
RSc2707	XOO1341
RSc2707	XOO4757
RSc2707	XOO4736
RSc2707	XOO4912
RSc2707	XOO4895
RSc2707	XOO4950
RSc2707	XOO1645
RSc2707	XOO3026
RSc2707	XOO4777
RSc2707	XOO4799
RSc2706	XOO0615
RSc2706	XOO3929
RSc2706	XOO0617
RSc2706	XOO3927
RSc2706	XOO1392
RSc2706	XOO4146
RSc2706	XOO0263
RSc2706	XOO1396
RSc2706	XOO0262
RSc2706	XOO1394
RSc2706	XOO0981
RSc2706	XOO2009
RSc2706	XOO0622
RSc2706	XOO2007
RSc2706	XOO2403
RSc2706	XOO2006
RSc2706	XOO3930
RSc2706	XOO4304
RSc2706	XOO0646
RSc2706	XOO1339
RSc2706	XOO0296
RSc2706	XOO4370
RSc2706	XOO0295
RSc2706	XOO1340
RSc2706	XOO1384
RSc2706	XOO3888
RSc2706	XOO2113
RSc2706	XOO3889
RSc2706	XOO3366
RSc2706	XOO1029
RSc2706	XOO1028
RSc2706	XOO1027
RSc2706	XOO0517
RSc2706	XOO0516
RSc2706	XOO1649
RSc2706	XOO0999
RSc2706	XOO0998
RSc2706	XOO3191
RSc2706	XOO4165
RSc2706	XOO3552
RSc2706	XOO4047
RSc2706	XOO0362
RSc2706	XOO0365
RSc2706	XOO0364
RSc2706	XOO2146
RSc2706	XOO2745
RSc2706	XOO0363
RSc2706	XOO1650
RSc2706	XOO0325
RSc2706	XOO4368
RSc2706	XOO4369
RSc2706	XOO4523
RSc2706	XOO4524
RSc2706	XOO0987
RSc2706	XOO1119
RSc2706	XOO0827
RSc2706	XOO2290
RSc2706	XOO3189
RSc2706	XOO1361
RSc2706	XOO3063
RSc2706	XOO2372
RSc2706	XOO3700
RSc2706	XOO3701
RSc2706	XOO1640
RSc2706	XOO3702
RSc2706	XOO0198
RSc2706	XOO0236
RSc2706	XOO0478
RSc2706	XOO1644
RSc2706	XOO3027
RSc2706	XOO1643
RSc1859	XOO1630
RSc1617	XOO2551
RSc1858	XOO1629
RSc0528	XOO2771
RSc2942	XOO4408
RSc0764	XOO3657
RSc2941	XOO4407
RSc2940	XOO4406
RSp0945	XOO3260
RSp0949	XOO3633
RSc0514	XOO1303
RSc0756	XOO1517
RSc1603	XOO0722
RSc0999	XOO2645
RSc1601	XOO0720
RSc2932	XOO0059
RSc0997	XOO2671
RSc0518	XOO3748
RSc0758	XOO4075
RSc0517	XOO3747
RSc0990	XOO2510
RSc0991	XOO0718
RSc1600	XOO4248
RSc0510	XOO2616
RSc0510	XOO2860
RSc0510	XOO3246
RSc2930	XOO3381
RSp0731	XOO1601
RSp0738	XOO3495
RSp0738	XOO3496
RSp0738	XOO3486
RSp0738	XOO3497
RSp0738	XOO3490
RSp0738	XOO3964
RSp0738	XOO3966
RSp0738	XOO3960
RSp0738	XOO3488
RSp0739	XOO3494
RSp0739	XOO3485
RSc0503	XOO1660
RSc0504	XOO0539
RSc0746	XOO3767
RSc0743	XOO4284
RSc0501	XOO1661
RSc0985	XOO2895
RSc0502	XOO4628
RSc2928	XOO2761
RSc2927	XOO2760
RSc0505	XOO0548
RSc2926	XOO2759
RSc2925	XOO2758
RSc0506	XOO3787
RSc0500	XOO1663
RSp0961	XOO3691
RSp0962	XOO1841
RSc0509	XOO1133
RSc2929	XOO2762
RSp0729	XOO3167
RSc2597	XOO1528
RSc0177	XOO0736
RSc0174	XOO0377
RSc2352	XOO4621
RSc1021	XOO2417
RSc0175	XOO4416
RSc1028	XOO2872
RSc3441	XOO0002
RSc1269	XOO2044
RSc2116	XOO4365
RSc3442	XOO0001
RSc1027	XOO3941
RSc0178	XOO0746
RSc2357	XOO4007
RSc1268	XOO0168
RSc1267	XOO2313
RSc2120	XOO4363
RSc1030	XOO2873
RSc1272	XOO4394
RSc2361	XOO1919
RSc1271	XOO2042
RSc1270	XOO2043
RSc2349	XOO0952
RSc3439	XOO0606
RSc1013	XOO3785
RSc2344	XOO4295
RSc2342	XOO2547
RSc1011	XOO3193
RSc1010	XOO0016
RSc2341	XOO2546
RSc3430	XOO1634
RSc2348	XOO2548
RSc1258	XOO4488
RSc2347	XOO1595
RSc2588	XOO2198
RSc2345	XOO4487
RSc1014	XOO0252
RSc1014	XOO2165
RSc3440	XOO0004
RSc1261	XOO4483
RSc1009	XOO0968
RSc1009	XOO0636
RSc1009	XOO2252
RSc1009	XOO3718
RSc1009	XOO1215
RSc1008	XOO1952
RSc2338	XOO2542
RSc0396	XOO3604
RSc0155	XOO3931
RSc0394	XOO3602
RSc0395	XOO3603
RSc2337	XOO2116
RSc1006	XOO1922
RSc1005	XOO2454
RSc3421	XOO1946
RSc3421	XOO2517
RSc3421	XOO1508
RSc3421	XOO2320
RSc3421	XOO0141
RSc3421	XOO0140
RSc3421	XOO1031
RSc3421	XOO0982
RSc3421	XOO1950
RSc3421	XOO0145
RSc3421	XOO0144
RSc3421	XOO0221
RSc3421	XOO0980
RSc3421	XOO0187
RSc3421	XOO0341
RSc3421	XOO3978
RSc3421	XOO0788
RSc3421	XOO3377
RSc3421	XOO0303
RSc3421	XOO0985
RSc3421	XOO1678
RSc3421	XOO3378
RSc3421	XOO0786
RSc3421	XOO1314
RSc3421	XOO2369
RSc3421	XOO3017
RSc3421	XOO1936
RSc3421	XOO0208
RSc3421	XOO0207
RSc3421	XOO1937
RSc3421	XOO2191
RSc3421	XOO2190
RSc3421	XOO3365
RSc3421	XOO1385
RSc3421	XOO1383
RSc3421	XOO4218
RSc3421	XOO4735
RSc3421	XOO2112
RSc3421	XOO4616
RSc3421	XOO4257
RSc3421	XOO0138
RSc3421	XOO4258
RSc3421	XOO4577
RSc3421	XOO1941
RSc3421	XOO4611
RSc3421	XOO1863
RSc3421	XOO4612
RSc3421	XOO0919
RSc3421	XOO0918
RSc3421	XOO3192
RSc3421	XOO3431
RSc3421	XOO2385
RSc3421	XOO1372
RSc3421	XOO2625
RSc3421	XOO3432
RSc3421	XOO4169
RSc3421	XOO0988
RSc3421	XOO1955
RSc3421	XOO0828
RSc3421	XOO2092
RSc3421	XOO2492
RSc3421	XOO4233
RSc3421	XOO4234
RSc3421	XOO2496
RSc3421	XOO0273
RSc3421	XOO2374
RSc3421	XOO4592
RSc3421	XOO2130
RSc3421	XOO4593
RSc3421	XOO0355
RSc3421	XOO0354
RSc3421	XOO1960
RSc3421	XOO0353
RSc3421	XOO0995
RSc3421	XOO3148
RSc3421	XOO0994
RSc3421	XOO3149
RSc1004	XOO4267
RSc0399	XOO0299
RSc1493	XOO4716
RSc1493	XOO4738
RSc1493	XOO4717
RSc1493	XOO4937
RSc1493	XOO3926
RSc1493	XOO0360
RSc1493	XOO4723
RSc1493	XOO0326
RSc1493	XOO2404
RSc1493	XOO3895
RSc1493	XOO4707
RSc1493	XOO4828
RSc1493	XOO4927
RSc1493	XOO2371
RSc1493	XOO4893
RSc1493	XOO1341
RSc1493	XOO4757
RSc1493	XOO4736
RSc1493	XOO4912
RSc1493	XOO4895
RSc1493	XOO4950
RSc1493	XOO1645
RSc1493	XOO3026
RSc1493	XOO4777
RSc1493	XOO4799
RSc0161	XOO2240
RSc1251	XOO1725
RSc1492	XOO0615
RSc1492	XOO3929
RSc1492	XOO0617
RSc1492	XOO3927
RSc1492	XOO1392
RSc1492	XOO4146
RSc1492	XOO0263
RSc1492	XOO1396
RSc1492	XOO0262
RSc1492	XOO1394
RSc1492	XOO0981
RSc1492	XOO2009
RSc1492	XOO0622
RSc1492	XOO2007
RSc1492	XOO2403
RSc1492	XOO2006
RSc1492	XOO3930
RSc1492	XOO4304
RSc1492	XOO0646
RSc1492	XOO1339
RSc1492	XOO0296
RSc1492	XOO4370
RSc1492	XOO0295
RSc1492	XOO1340
RSc1492	XOO1384
RSc1492	XOO3888
RSc1492	XOO2113
RSc1492	XOO3889
RSc1492	XOO3366
RSc1492	XOO1029
RSc1492	XOO1028
RSc1492	XOO1027
RSc1492	XOO0517
RSc1492	XOO0516
RSc1492	XOO1649
RSc1492	XOO0999
RSc1492	XOO0998
RSc1492	XOO3191
RSc1492	XOO4165
RSc1492	XOO3552
RSc1492	XOO4047
RSc1492	XOO0362
RSc1492	XOO0365
RSc1492	XOO0364
RSc1492	XOO2146
RSc1492	XOO2745
RSc1492	XOO0363
RSc1492	XOO1650
RSc1492	XOO0325
RSc1492	XOO4368
RSc1492	XOO4369
RSc1492	XOO4523
RSc1492	XOO4524
RSc1492	XOO0987
RSc1492	XOO1119
RSc1492	XOO0827
RSc1492	XOO2290
RSc1492	XOO3189
RSc1492	XOO1361
RSc1492	XOO3063
RSc1492	XOO2372
RSc1492	XOO3700
RSc1492	XOO3701
RSc1492	XOO1640
RSc1492	XOO3702
RSc1492	XOO0198
RSc1492	XOO0236
RSc1492	XOO0478
RSc1492	XOO1644
RSc1492	XOO3027
RSc1492	XOO1643
RSp0930	XOO4401
RSc0160	XOO4566
RSc2569	XOO3524
RSc2564	XOO2947
RSc1232	XOO1127
RSc0386	XOO3143
RSc2563	XOO2732
RSc0383	XOO3380
RSc1231	XOO3649
RSc0141	XOO4114
RSc0384	XOO0772
RSc1479	XOO0767
RSc0389	XOO2509
RSc1478	XOO0456
RSc1477	XOO1787
RSc1235	XOO3145
RSc1234	XOO1469
RSc1234	XOO2840
RSc2565	XOO4051
RSc0146	XOO2973
RSc0393	XOO3601
RSc0390	XOO2508
RSc0391	XOO2506
RSc1229	XOO2084
RSc1228	XOO2080
RSc0139	XOO0508
RSc2558	XOO1125
RSc0374	XOO4296
RSc1221	XOO2945
RSc0372	XOO4132
RSc1220	XOO2946
RSc2550	XOO2236
RSc0373	XOO3263
RSc3404	XOO1188
RSc1226	XOO0915
RSc2557	XOO1624
RSc0137	XOO3997
RSc2556	XOO1623
RSc2798	XOO1925
RSc2314	XOO1236
RSc0134	XOO3791
RSc1224	XOO0914
RSc0135	XOO0596
RSc0377	XOO1458
RSc0381	XOO3098
RSc0140	XOO0509
RSc1219	XOO2529
RSc2549	XOO0711
RSc1458	XOO0466
RSc1211	XOO2535
RSc0363	XOO4140
RSc2541	XOO2736
RSp1192	XOO3527
RSp1192	XOO2586
RSc2782	XOO0964
RSc1451	XOO2208
RSc2540	XOO2734
RSc0362	XOO4141
RSc0120	XOO0312
RSp1198	XOO4189
RSc0367	XOO4137
RSc1215	XOO2229
RSc2788	XOO0552
RSc2787	XOO0556
RSc1456	XOO3729
RSc2786	XOO0558
RSc0365	XOO4138
RSc2544	XOO0839
RSp1197	XOO4188
RSc1212	XOO2534
RSc1460	XOO2838
RSc2791	XOO3971
RSc2539	XOO2368
RSc2539	XOO2733
RSc0118	XOO4478
RSc2538	XOO4130
RSc0119	XOO0311
RSc1206	XOO2953
RSc0358	XOO4206
RSc1205	XOO2955
RSc0117	XOO4476
RSc1209	XOO1859
RSc0110	XOO3165
RSc0110	XOO2333
RSc0110	XOO1811
RSc0110	XOO3982
RSc0110	XOO1755
RSc0352	XOO4586
RSc1442	XOO0483
RSc0353	XOO1460
RSc2530	XOO2296
RSc2772	XOO0383
RSc1441	XOO0482
RSc0595	XOO0978
RSc0592	XOO4220
RSc0592	XOO2871
RSc0350	XOO4149
RSc0351	XOO2514
RSc2770	XOO2944
RSc2777	XOO4712
RSc1204	XOO2956
RSc0357	XOO4198
RSc2776	XOO4787
RSc2534	XOO2904
RSc0115	XOO4475
RSc1202	XOO1900
RSc2533	XOO0963
RSc0354	XOO4196
RSc0113	XOO0947
RSc0355	XOO3664
RSc2532	XOO2295
RSc1443	XOO1903
RSc1439	XOO0615
RSc1439	XOO3929
RSc1439	XOO0617
RSc1439	XOO3927
RSc1439	XOO1392
RSc1439	XOO4146
RSc1439	XOO0263
RSc1439	XOO1396
RSc1439	XOO0262
RSc1439	XOO1394
RSc1439	XOO0981
RSc1439	XOO2009
RSc1439	XOO0622
RSc1439	XOO2007
RSc1439	XOO2403
RSc1439	XOO2006
RSc1439	XOO3930
RSc1439	XOO4304
RSc1439	XOO0646
RSc1439	XOO1339
RSc1439	XOO0296
RSc1439	XOO4370
RSc1439	XOO0295
RSc1439	XOO1340
RSc1439	XOO1384
RSc1439	XOO3888
RSc1439	XOO2113
RSc1439	XOO3889
RSc1439	XOO3366
RSc1439	XOO1029
RSc1439	XOO1028
RSc1439	XOO1027
RSc1439	XOO0517
RSc1439	XOO0516
RSc1439	XOO1649
RSc1439	XOO0999
RSc1439	XOO0998
RSc1439	XOO3191
RSc1439	XOO4165
RSc1439	XOO3552
RSc1439	XOO4047
RSc1439	XOO0362
RSc1439	XOO0365
RSc1439	XOO0364
RSc1439	XOO2146
RSc1439	XOO2745
RSc1439	XOO0363
RSc1439	XOO1650
RSc1439	XOO0325
RSc1439	XOO4368
RSc1439	XOO4369
RSc1439	XOO4523
RSc1439	XOO4524
RSc1439	XOO0987
RSc1439	XOO1119
RSc1439	XOO0827
RSc1439	XOO2290
RSc1439	XOO3189
RSc1439	XOO1361
RSc1439	XOO3063
RSc1439	XOO2372
RSc1439	XOO3700
RSc1439	XOO3701
RSc1439	XOO1640
RSc1439	XOO3702
RSc1439	XOO0198
RSc1439	XOO0236
RSc1439	XOO0478
RSc1439	XOO1644
RSc1439	XOO3027
RSc1439	XOO1643
RSc0349	XOO4150
RSc2528	XOO2299
RSc1438	XOO4716
RSc1438	XOO4738
RSc1438	XOO4717
RSc1438	XOO4937
RSc1438	XOO3926
RSc1438	XOO0360
RSc1438	XOO4723
RSc1438	XOO0326
RSc1438	XOO2404
RSc1438	XOO3895
RSc1438	XOO4707
RSc1438	XOO4828
RSc1438	XOO4927
RSc1438	XOO2371
RSc1438	XOO4893
RSc1438	XOO1341
RSc1438	XOO4757
RSc1438	XOO4736
RSc1438	XOO4912
RSc1438	XOO4895
RSc1438	XOO4950
RSc1438	XOO1645
RSc1438	XOO3026
RSc1438	XOO4777
RSc1438	XOO4799
RSc2527	XOO2737
RSc2526	XOO2828
RSc2526	XOO2712
RSc2526	XOO3208
RSc2768	XOO3850
RSc0347	XOO1278
RSc2767	XOO1118
RSc0348	XOO1277
RSc1436	XOO2373
RSc0109	XOO3372
RSc1431	XOO2195
RSc2520	XOO0118
RSc0342	XOO4487
RSc0100	XOO2928
RSc0340	XOO0214
RSc0103	XOO3165
RSc0103	XOO2333
RSc0103	XOO1811
RSc0103	XOO3982
RSc0103	XOO1755
RSc0345	XOO1745
RSc2766	XOO2713
RSc0343	XOO4486
RSc2763	XOO1786
RSp1282	XOO2810
RSp1040	XOO2377
RSp1041	XOO2376
RSp0197	XOO0734
RSp1287	XOO3202
RSc3289	XOO0242
RSc3294	XOO1795
RSp1048	XOO2789
RSc3295	XOO3547
RSc3296	XOO1821
RSc3054	XOO0707
RSp1047	XOO2791
RSc3293	XOO1794
RSc3038	XOO3596
RSc3039	XOO3597
RSc2189	XOO3267
RSc2188	XOO2501
RSc3034	XOO3591
RSp1275	XOO4784
RSp1275	XOO1791
RSc3035	XOO3592
RSc3277	XOO2040
RSc3036	XOO3593
RSp0185	XOO3735
RSc3037	XOO3594
RSc3041	XOO3587
RSc3041	XOO3599
RSp1279	XOO2057
RSc2192	XOO4239
RSc2191	XOO0537
RSc2190	XOO1659
RSc2197	XOO3315
RSc2196	XOO3316
RSc2195	XOO3322
RSc2176	XOO3165
RSc2176	XOO2333
RSc2176	XOO1811
RSc2176	XOO3982
RSc2176	XOO1755
RSp1061	XOO3938
RSc3023	XOO4897
RSc3265	XOO3839
RSc3024	XOO3589
RSc3266	XOO3837
RSc3025	XOO1723
RSc3267	XOO3957
RSc3033	XOO3590
RSc2186	XOO0234
RSc3016	XOO3580
RSp1052	XOO1662
RSc3017	XOO3581
RSc3018	XOO3582
RSc1077	XOO1304
RSp1291	XOO3201
RSp1050	XOO2790
RSc3019	XOO3584
RSc3012	XOO3576
RSp1297	XOO1250
RSp1056	XOO2793
RSc3013	XOO3577
RSp1053	XOO1510
RSp1053	XOO1870
RSc3014	XOO3578
RSc3015	XOO3579
RSp1296	XOO0218
RSc3020	XOO3585
RSp1299	XOO4716
RSp1299	XOO4738
RSp1299	XOO4717
RSp1299	XOO4937
RSp1299	XOO3926
RSp1299	XOO0360
RSp1299	XOO4723
RSp1299	XOO0326
RSp1299	XOO2404
RSp1299	XOO3895
RSp1299	XOO4707
RSp1299	XOO4828
RSp1299	XOO4927
RSp1299	XOO2371
RSp1299	XOO4893
RSp1299	XOO1341
RSp1299	XOO4757
RSp1299	XOO4736
RSp1299	XOO4912
RSp1299	XOO4895
RSp1299	XOO4950
RSp1299	XOO1645
RSp1299	XOO3026
RSp1299	XOO4777
RSp1299	XOO4799
RSc3021	XOO3587
RSc3021	XOO3599
RSc3022	XOO3588
RSc3264	XOO3937
RSc1086	XOO3380
RSc3009	XOO3573
RSc1068	XOO1867
RSc3005	XOO4896
RSp0391	XOO2602
RSp1480	XOO0630
RSc3006	XOO3569
RSp1481	XOO0629
RSc2155	XOO1145
RSc2397	XOO1351
RSc3007	XOO3570
RSc2154	XOO1148
RSc3008	XOO3571
RSc3001	XOO3564
RSc3002	XOO3566
RSp0396	XOO2931
RSc2159	XOO1143
