STM0704	H16_B0896
STM2788	H16_A3720
STM2788	PHG080
STM2788	H16_A2775
STM2788	H16_B2053
STM2788	PHG079
STM0123	H16_A3278
STM1578	PHG271
STM1578	H16_B2266
STM0122	H16_A3279
STM1337	H16_A1343
STM1338	H16_A1344
STM0242	H16_A3246
STM2427	H16_A2060
STM0483	H16_A0395
STM2307	H16_B1695
STM1570	H16_B1452
STM3871	H16_A3643
STM3870	H16_A3642
STM0129	H16_A3272
STM0007	H16_A2346
STM0128	H16_A3273
STM2662	H16_A1434
STM2783	PHG063
STM2783	PHG023
STM0369	H16_A2636
STM0369	H16_A1906
STM1211	H16_A2740
STM1211	PHG414
STM0368	H16_A1905
STM3512	H16_B1207
STM0247	H16_A0811
STM2543	H16_B0494
STM2543	H16_A1158
STM1333	H16_A1339
STM0489	H16_A1134
STM0246	H16_A0812
STM0246	H16_B1477
STM0488	H16_A0603
STM0125	H16_A3276
STM1576	H16_B2264
STM1576	PHG269
STM3646	H16_A2586
STM3646	H16_B1813
STM0498	H16_A3668
STM0498	H16_A1976
STM0498	H16_A2173
STM1104	H16_A0624
STM2556	PHG200
STM1347	H16_B1076
STM1347	H16_A1122
STM1226	H16_B1829
STM1226	H16_B0109
STM1226	H16_B1951
STM1226	H16_B0462
STM0134	H16_A3266
STM0255	H16_B2162
STM1106	H16_B1180
STM1469	H16_B0103
STM1349	H16_A2038
STM1107	H16_A1733
STM1107	H16_B1548
STM1107	H16_A1737
STM1107	H16_B1401
STM2318	H16_A1061
STM0372	H16_A3453
STM3407	H16_A3699
STM0130	H16_A3271
STM0371	H16_A1616
STM0371	H16_A2462
STM0370	H16_A1909
STM3880	H16_B0977
STM3880	H16_A1419
STM3880	PHG116
STM1580	PHG273
STM1580	H16_B2268
STM2791	H16_B1537
STM2791	H16_B1179
STM2791	H16_B0982
STM2791	H16_B2057
STM2670	H16_B1076
STM2670	H16_A1122
STM3882	H16_B1498
STM2792	H16_B0981
STM1340	H16_A2971
STM2430	H16_B2378
STM2430	H16_A0807
STM1341	H16_A3102
STM2793	H16_B1890
STM2431	H16_A0311
STM1584	H16_B2165
STM1584	H16_B1082
STM1221	H16_A2347
STM3883	H16_B1499
STM2433	H16_A0311
STM0137	H16_A3247
STM1102	H16_B0547
STM2555	H16_A2834
STM3401	H16_A3161
STM0067	H16_A2452
STM0066	H16_A2454
STM2009	H16_B0070
STM0064	H16_A3141
STM0183	H16_A3082
STM0182	H16_A3084
STM0181	H16_A2959
STM0180	H16_A3129
STM3330	H16_A3431
STM3692	H16_A2665
STM3692	H16_B0090
STM2362	H16_A2607
STM2483	H16_A2069
STM4421	H16_A3664
STM4421	H16_A0273
STM3694	H16_B0460
STM2365	H16_A2610
STM3334	H16_B1593
STM2366	H16_A2611
STM3699	H16_A1216
STM3457	H16_A3527
STM2489	H16_A1204
STM2259	PHG211
STM3469	H16_A3320
STM3106	H16_A1910
STM3106	H16_A2280
STM2018	H16_A2962
STM2019	H16_A2961
STM0070	H16_A1889
STM0070	H16_B1346
STM2492	H16_B0612
STM1163	H16_A0479
STM2252	PHG216
STM2252	H16_B0954
STM2253	H16_B0953
STM2253	PHG215
STM2254	H16_B0952
STM2254	PHG214
STM3103	H16_A0948
STM2255	PHG213
STM2498	H16_B1595
STM2498	H16_A0918
STM1288	H16_A3186
STM2256	PHG212
STM3468	H16_A3025
STM0047	H16_A3047
STM3315	H16_A0391
STM0046	H16_A3046
STM3557	H16_A2330
STM0045	H16_A3045
STM2109	H16_A2900
STM4408	H16_A2806
STM0163	H16_B0319
STM0161	H16_B0317
STM1490	H16_A0530
STM3551	H16_A0784
STM3551	RALH12597
STM3554	H16_A2327
STM3796	H16_A1035
STM3553	H16_A2326
STM0049	H16_A3031
STM3556	H16_A2329
STM1135	H16_A0185
STM2466	H16_B1871
STM3555	H16_A2328
STM4416	H16_A3167
STM4415	H16_B1390
STM4415	H16_A0999
STM4415	PHG027
STM4415	PHG422
STM3205	H16_A2871
STM0171	H16_A0169
STM3680	H16_B1939
STM3680	H16_A2747
STM3680	H16_B1879
STM3680	H16_B1960
STM3680	H16_A1495
STM3561	H16_A1244
STM3561	H16_A3027
STM3561	RALH11797
STM3561	H16_A2623
STM3561	H16_A0286
STM2351	H16_A0045
STM2351	H16_A0475
STM2351	H16_A2756
STM2351	H16_A3308
STM2351	H16_B1810
STM2472	H16_A1002
STM2472	H16_A3153
STM3560	H16_B2012
STM3560	H16_A3026
STM3560	H16_A1543
STM3560	H16_A2622
STM3560	H16_B2040
STM3560	H16_A1709
STM2473	H16_A2346
STM3563	H16_A3029
STM3563	H16_A2625
STM3563	H16_B2037
STM3200	H16_A0803
STM2474	H16_A3147
STM2474	PHG420
STM2474	H16_B1388
STM3562	H16_A3028
STM3562	H16_A2624
STM2232	H16_A1866
STM3564	H16_A2626
STM4414	H16_A0746
STM2356	H16_B2447
STM2356	H16_A3372
STM2356	H16_A3344
STM3567	H16_A2626
STM1193	H16_A2569
STM3493	H16_A3160
STM2162	H16_A1588
STM2162	H16_A0940
STM2162	H16_A0942
STM1194	H16_A2568
STM3250	H16_B0965
STM4221	H16_A1502
STM4221	H16_B1502
STM1195	H16_A2567
STM1195	H16_B1904
STM4100	H16_A2606
STM2163	H16_A0943
STM2164	H16_A1588
STM2164	H16_A0940
STM2164	H16_A0942
STM1196	H16_A2566
STM1197	H16_A2565
STM1076	H16_A0932
STM3136	H16_A1937
STM2289	H16_B1180
STM2168	H16_A1386
STM4106	H16_A2777
STM3379	H16_A3171
STM4105	H16_A0246
STM3380	H16_A3172
STM2050	H16_A3090
STM4230	H16_A2327
STM4234	H16_A3107
STM2297	H16_B1639
STM4475	H16_A2751
STM2298	H16_B1640
STM4236	H16_A1027
STM2299	H16_A1425
STM2299	H16_B1642
STM4477	H16_A2990
STM0088	H16_A2910
STM0087	H16_A2704
STM0086	H16_A3527
STM1290	H16_A3146
STM1291	H16_A1517
STM1293	H16_A1527
STM2384	H16_A1317
STM3475	H16_B0778
STM3474	H16_B0779
STM1297	H16_B0295
STM3477	H16_A2994
STM3477	H16_B2285
STM3598	H16_A1910
STM3598	H16_A2280
STM2146	H16_A0243
STM1057	H16_A1000
STM1299	H16_B1945
STM2388	H16_A1719
STM1058	H16_A1401
STM3009	H16_A2114
STM0091	H16_A0513
STM3240	H16_A3622
STM3483	H16_A3317
STM3483	H16_B1391
STM3483	PHG423
STM3486	H16_A3434
STM3244	H16_B0554
STM3002	H16_A2985
STM3001	H16_A2703
STM2276	H16_A0787
STM2155	H16_A2945
STM3487	H16_A3435
STM3248	H16_A3600
STM3248	H16_B0941
STM4578	H16_A1452
STM3247	H16_B0612
STM2082	H16_A1855
STM3295	H16_A2446
STM3053	H16_A3621
STM2084	H16_A1854
STM2084	H16_A2905
STM3294	H16_A2445
STM3055	H16_A3619
STM3054	H16_A3620
STM2091	H16_A2896
STM2092	H16_A2893
STM2093	H16_A3524
STM2093	H16_B1359
STM2093	H16_B0544
STM3062	H16_B0824
STM2094	H16_A1848
STM2094	H16_A2906
STM2095	H16_A1864
STM2095	H16_A2907
STM2096	H16_A1850
STM2096	H16_A2908
STM3063	H16_A2345
STM4273	H16_B1337
STM4273	H16_B1355
STM2097	H16_A1851
STM2097	H16_A2909
STM2098	H16_A2752
STM4275	H16_A2525
STM4275	H16_B0834
STM4036	H16_B1453
STM4398	H16_B2165
STM4398	H16_B1082
STM4035	H16_B1454
STM3069	PHG417
STM3069	H16_B1385
STM3069	H16_A0566
STM4037	H16_B1452
STM3390	H16_A3729
STM3391	H16_A3730
STM2062	H16_A0302
STM4483	H16_B0062
STM4482	H16_B1207
STM4485	H16_A1179
STM4366	H16_A2354
STM4123	H16_A2925
STM2189	H16_B1498
STM4247	H16_A2113
STM4004	H16_A3615
STM4007	H16_A2335
STM4007	H16_B0618
STM4248	H16_B1081
STM4248	H16_A1151
STM4248	H16_A1494
STM3040	H16_A1167
STM2072	H16_A3416
STM2194	H16_B1194
STM4131	H16_A2529
STM2074	H16_A3414
STM2196	H16_A3622
STM2077	H16_A3410
STM2078	H16_A3409
STM4137	H16_A3061
