STM0704	RSR24_03457
STM0762	RSR24_01280
STM1742	RSR24_02892
STM2952	RSR24_01155
STM2831	RSR24_00927
STM3921	RSR24_04283
STM1743	RSR24_02893
STM3920	RSR24_03864
STM3920	RSR24_04284
STM2953	RSR24_01152
STM0776	RSR24_04408
STM3922	RSR24_00739
STM2956	RSR24_01442
STM3925	RSR24_04273
STM1627	RSR24_00676
STM0419	RSR24_02768
STM0417	RSR24_00779
STM0659	RSR24_03872
STM0416	RSR24_00782
STM0537	RSR24_01247
STM0535	RSR24_01243
STM0534	RSR24_00643
STM0772	RSR24_00364
STM3855	RSR24_01348
STM3854	RSR24_01349
STM3733	RSR24_00138
STM2403	RSR24_04812
STM1435	RSR24_00580
STM0221	RSR24_01812
STM0463	RSR24_00352
STM3857	RSR24_01346
STM3978	RSR24_00772
STM3614	RSR24_00338
STM2526	RSR24_02037
STM0220	RSR24_01810
STM3856	RSR24_01347
STM1318	RSR24_02687
STM1318	RSR24_04857
STM2408	RSR24_03870
STM3970	RSR24_00514
STM0229	RSR24_01803
STM0228	RSR24_01804
STM0227	RSR24_01805
STM3730	RSR24_02518
STM3972	RSR24_00518
STM0106	RSR24_04432
STM1431	RSR24_02579
STM0226	RSR24_01806
STM2641	RSR24_02504
STM3731	RSR24_02520
STM1433	RSR24_02932
STM1796	RSR24_03721
STM2522	RSR24_02032
STM3866	RSR24_03394
STM0113	RSR24_02173
STM0112	RSR24_02089
STM3865	RSR24_03393
STM1446	RSR24_00553
STM1567	RSR24_03195
STM3626	RSR24_02892
STM0353	RSR24_03422
STM0111	RSR24_02091
STM0232	RSR24_01249
STM2415	RSR24_01260
STM0110	RSR24_02090
STM3867	RSR24_03395
STM1448	RSR24_00834
STM3628	RSR24_01838
STM0472	RSR24_04279
STM3627	RSR24_02893
STM3869	RSR24_03397
STM1209	RSR24_01099
STM0590	RSR24_04712
STM3862	RSR24_00175
STM3982	RSR24_02337
STM3861	RSR24_00176
STM3740	RSR24_02238
STM1200	RSR24_01632
STM3864	RSR24_03392
STM3864	RSR24_04080
STM2774	RSR24_00535
STM2654	RSR24_03520
STM2654	RSR24_03572
STM3742	RSR24_02236
STM0443	RSR24_02945
STM0322	RSR24_02741
STM3712	RSR24_00749
STM0442	RSR24_02944
STM0321	RSR24_02824
STM2502	RSR24_01354
STM3711	RSR24_00633
STM0441	RSR24_02943
STM1777	RSR24_02928
STM0440	RSR24_02942
STM1779	RSR24_00408
STM0568	RSR24_00457
STM0689	RSR24_03128
STM0689	RSR24_03129
STM1772	RSR24_01153
STM3952	RSR24_02773
STM3710	RSR24_00924
STM0202	RSR24_00723
STM2500	RSR24_02511
STM0444	RSR24_00151
STM0686	RSR24_00854
STM3965	RSR24_03985
STM1303	RSR24_02492
STM3725	RSR24_00401
STM3724	RSR24_00750
STM3603	RSR24_03721
STM1427	RSR24_04656
STM0218	RSR24_01814
STM1780	RSR24_00406
STM2991	RSR24_02590
STM2992	RSR24_02005
STM3960	RSR24_00344
STM2510	RSR24_01789
STM2511	RSR24_01791
STM0213	RSR24_01828
STM1301	RSR24_02857
STM2204	RSR24_02889
STM0146	RSR24_02811
STM1479	RSR24_02730
STM1479	RSR24_04035
STM0145	RSR24_02505
STM3656	RSR24_00586
STM3535	RSR24_03685
STM2327	RSR24_02162
STM1238	RSR24_02539
STM3539	RSR24_02087
STM0140	RSR24_02854
STM0261	RSR24_01332
STM2440	RSR24_00926
STM2441	RSR24_01870
STM2200	RSR24_01609
STM2200	RSR24_01610
STM2321	RSR24_02155
STM2442	RSR24_01871
STM1232	RSR24_02716
STM2322	RSR24_02156
STM2443	RSR24_01872
STM2444	RSR24_01881
STM2565	RSR24_01582
STM3655	RSR24_00584
STM2324	RSR24_02158
STM1235	RSR24_02724
STM1489	RSR24_01744
STM3305	RSR24_02828
STM2578	RSR24_01097
STM2458	RSR24_03190
STM3307	RSR24_03014
STM0154	RSR24_01471
STM0153	RSR24_01469
STM0152	RSR24_01468
STM0150	RSR24_00457
STM1480	RSR24_04033
STM1480	RSR24_02733
STM2450	RSR24_02590
STM2451	RSR24_02270
STM3541	RSR24_01928
STM3542	RSR24_00497
STM1124	RSR24_02962
STM1124	RSR24_03375
STM1004	RSR24_01062
STM0245	RSR24_00931
STM0245	RSR24_03459
STM1577	RSR24_04701
STM0124	RSR24_02874
STM2546	RSR24_01240
STM2788	RSR24_03887
STM2788	RSR24_00855
STM0123	RSR24_02875
STM0122	RSR24_02876
STM1337	RSR24_01448
STM1338	RSR24_01449
STM0242	RSR24_02821
STM2427	RSR24_01822
STM0483	RSR24_00429
STM3871	RSR24_03399
STM3870	RSR24_03398
STM0129	RSR24_02869
STM0007	RSR24_02016
STM0128	RSR24_02870
STM2662	RSR24_01499
STM2783	RSR24_03942
STM0369	RSR24_03597
STM0369	RSR24_02102
STM1211	RSR24_02313
STM0368	RSR24_03598
STM0368	RSR24_02101
STM3512	RSR24_04467
STM0247	RSR24_00929
STM2543	RSR24_01051
STM1333	RSR24_01444
STM0489	RSR24_02640
STM0246	RSR24_00930
STM0488	RSR24_02586
STM0125	RSR24_02873
STM3646	RSR24_01065
STM3646	RSR24_04039
STM0498	RSR24_03422
STM1104	RSR24_02472
STM1347	RSR24_00807
STM1347	RSR24_02657
STM1226	RSR24_01938
STM1226	RSR24_01591
STM1226	RSR24_01368
STM1226	RSR24_02956
STM0134	RSR24_02863
STM1106	RSR24_01461
STM1106	RSR24_04876
STM1469	RSR24_04557
STM1349	RSR24_01799
STM1107	RSR24_04848
STM1107	RSR24_04847
STM3526	RSR24_03116
STM2318	RSR24_02152
STM0372	RSR24_03050
STM3407	RSR24_00076
STM0130	RSR24_02868
STM0371	RSR24_01334
STM0371	RSR24_01335
STM0370	RSR24_02104
STM3880	RSR24_04356
STM3880	RSR24_01491
STM2791	RSR24_00031
STM2791	RSR24_04874
STM2791	RSR24_00771
STM2791	RSR24_04309
STM2791	RSR24_03898
STM2670	RSR24_00807
STM2670	RSR24_02657
STM3882	RSR24_02757
STM3882	RSR24_04889
STM2792	RSR24_00032
STM1340	RSR24_02455
STM2430	RSR24_00926
STM1341	RSR24_02672
STM2431	RSR24_04369
STM2431	RSR24_02887
STM1584	RSR24_00457
STM1221	RSR24_02017
STM2433	RSR24_04369
STM2433	RSR24_02887
STM0137	RSR24_02822
STM2555	RSR24_00795
STM3401	RSR24_02776
STM3885	RSR24_01045
STM0067	RSR24_01338
STM0066	RSR24_01336
STM2009	RSR24_03657
STM0064	RSR24_02745
STM0183	RSR24_02628
STM0182	RSR24_02630
STM0181	RSR24_02444
STM0180	RSR24_02731
STM3330	RSR24_03026
STM3692	RSR24_00980
STM2362	RSR24_02076
STM2483	RSR24_01831
STM4421	RSR24_04359
STM3694	RSR24_02227
STM2365	RSR24_02079
STM3334	RSR24_01463
STM2366	RSR24_02080
STM3699	RSR24_01242
STM3457	RSR24_03161
STM2489	RSR24_01169
STM3469	RSR24_02911
STM3106	RSR24_01911
STM2018	RSR24_02447
STM2019	RSR24_02446
STM0192	RSR24_04712
STM1163	RSR24_00545
STM3103	RSR24_02243
STM2498	RSR24_02266
STM1288	RSR24_01373
STM3468	RSR24_02492
STM3316	RSR24_00424
STM0047	RSR24_02516
STM3315	RSR24_00425
STM0046	RSR24_02515
STM3557	RSR24_01991
STM1259	RSR24_04178
STM0045	RSR24_02514
STM4408	RSR24_00831
STM1490	RSR24_03534
STM1490	RSR24_00468
STM3551	RSR24_03718
STM3554	RSR24_01988
STM3796	RSR24_02178
STM3553	RSR24_01987
STM0049	RSR24_02499
STM3556	RSR24_01990
STM4403	RSR24_03439
STM1135	RSR24_00231
STM3555	RSR24_01989
STM4416	RSR24_02781
STM4415	RSR24_02221
STM3205	RSR24_00758
STM0171	RSR24_00246
STM3680	RSR24_03191
STM3561	RSR24_02495
STM2351	RSR24_02342
STM2351	RSR24_00475
STM2351	RSR24_00541
STM2351	RSR24_03890
STM2351	RSR24_02207
STM2351	RSR24_04052
STM2351	RSR24_03481
STM2351	RSR24_01955
STM2472	RSR24_00691
STM2472	RSR24_00690
STM2472	RSR24_02218
STM2472	RSR24_02767
STM3560	RSR24_02494
STM3560	RSR24_04750
STM3560	RSR24_03530
STM2473	RSR24_02016
STM3563	RSR24_02497
STM3200	RSR24_00923
STM2474	RSR24_02750
STM3562	RSR24_02496
STM4414	RSR24_02400
STM2356	RSR24_02933
STM1193	RSR24_01081
STM3493	RSR24_02775
STM2162	RSR24_02566
STM1194	RSR24_01082
STM3250	RSR24_04098
STM4221	RSR24_01579
STM1195	RSR24_01540
STM1195	RSR24_01083
STM2164	RSR24_02566
STM1196	RSR24_01084
STM3134	RSR24_04102
STM3255	RSR24_02889
STM1197	RSR24_01085
STM1076	RSR24_02263
STM2289	RSR24_01461
STM2289	RSR24_04876
STM2168	RSR24_01478
STM4106	RSR24_00839
STM3379	RSR24_02785
STM4105	RSR24_00098
STM3380	RSR24_02786
STM2050	RSR24_02661
STM4230	RSR24_01988
STM4234	RSR24_02684
STM2297	RSR24_01895
STM4475	RSR24_02320
STM2298	RSR24_01896
STM4236	RSR24_02186
STM2299	RSR24_01898
STM4477	RSR24_02468
STM2028	RSR24_03933
STM2029	RSR24_03934
STM0088	RSR24_00738
STM0087	RSR24_00960
STM0086	RSR24_03161
STM1290	RSR24_02749
STM1291	RSR24_01601
STM1293	RSR24_01612
STM2384	RSR24_01433
STM3475	RSR24_04505
STM3474	RSR24_04506
STM3477	RSR24_02473
STM3598	RSR24_01911
STM2146	RSR24_00104
STM1057	RSR24_02220
STM1058	RSR24_01489
STM2389	RSR24_00598
STM3009	RSR24_01850
STM0091	RSR24_00577
STM3240	RSR24_03369
STM3483	RSR24_02908
STM3486	RSR24_03030
STM3244	RSR24_04724
STM3002	RSR24_02463
STM3001	RSR24_00961
STM2276	RSR24_00907
STM2155	RSR24_02438
STM3487	RSR24_03031
STM3248	RSR24_03356
STM4578	RSR24_01511
STM3295	RSR24_01344
STM3053	RSR24_03368
STM3294	RSR24_01345
STM3055	RSR24_03366
STM3054	RSR24_03367
STM2093	RSR24_03924
STM2094	RSR24_00742
STM2095	RSR24_00741
STM2096	RSR24_00740
STM3063	RSR24_02015
STM2097	RSR24_00739
STM3066	RSR24_00396
STM2098	RSR24_02321
STM2098	RSR24_03519
STM4275	RSR24_01283
STM4398	RSR24_00457
STM3069	RSR24_00639
STM3390	RSR24_00013
STM3391	RSR24_00012
STM2062	RSR24_00335
STM4483	RSR24_04037
STM4482	RSR24_04467
STM4485	RSR24_00497
STM4484	RSR24_04036
STM4366	RSR24_02022
STM4123	RSR24_02413
STM2189	RSR24_02757
STM2189	RSR24_04889
STM4247	RSR24_01849
STM4004	RSR24_03357
STM4007	RSR24_04156
STM4007	RSR24_01997
STM4007	RSR24_04192
STM4248	RSR24_01042
STM4248	RSR24_00442
STM3040	RSR24_01059
STM2072	RSR24_03012
STM2194	RSR24_00675
STM4131	RSR24_01279
STM2074	RSR24_03010
STM2196	RSR24_03369
STM2077	RSR24_03006
STM2078	RSR24_03005
STM4137	RSR24_02600
