STM0704	RSc3384
STM0106	RSp1145
STM1431	RSc2526
STM0226	RSc1414
STM2641	RSc2447
STM3731	RSc2463
STM1433	RSc2904
STM1796	RSp0277
STM2522	RSc1216
STM3866	RSc3318
STM0113	RSc2072
STM0112	RSc1988
STM3865	RSc3317
STM1446	RSc0495
STM1567	RSc3130
STM3626	RSc2866
STM3626	RSc1885
STM0353	RSc3348
STM0111	RSc1990
STM0232	RSc1169
STM2415	RSc1179
STM0110	RSc1989
STM3867	RSc3319
STM1448	RSc0767
STM3628	RSc1382
STM0472	RSp1012
STM3627	RSc2867
STM3627	RSc1884
STM3869	RSc3321
STM1209	RSc1068
STM3862	RSc0177
STM3982	RSc2252
STM3861	RSc0178
STM3740	RSc2155
STM1200	RSc1784
STM3864	RSp0810
STM3864	RSc3316
STM2774	RSc0478
STM2654	RSp0007
STM2654	RSp0075
STM3742	RSc2153
STM0443	RSc2917
STM0443	RSc1858
STM0322	RSc2741
STM3712	RSc0692
STM0442	RSc2916
STM0442	RSc1859
STM0321	RSc2819
STM2502	RSc1537
STM3711	RSc0565
STM0441	RSc2915
STM0441	RSc1860
STM1777	RSc2900
STM0440	RSc2914
STM1779	RSc0396
STM0689	RSc3060
STM0689	RSc3059
STM1772	RSc1127
STM3952	RSc2774
STM3710	RSc0915
STM0202	RSc0666
STM2500	RSc2454
STM0444	RSc0154
STM0686	RSc0791
STM3965	RSp0676
STM1303	RSc2435
STM3725	RSc0390
STM3724	RSc0693
STM3603	RSp0277
STM1427	RSp1446
STM0218	RSc1406
STM1780	RSc0395
STM2991	RSc2539
STM2992	RSc1250
STM2510	RSc1431
STM2511	RSc1429
STM0213	RSc1393
STM1301	RSc2831
STM2204	RSc2863
STM0146	RSc2806
STM1479	RSc2730
STM1479	RSp0949
STM0145	RSc2448
STM3656	RSc0526
STM3535	RSp0242
STM3538	RSp0239
STM2327	RSc2061
STM1238	RSc2490
STM3537	RSp0238
STM3539	RSc1987
STM0140	RSc2828
STM0261	RSc1515
STM2440	RSc0917
STM2441	RSc1347
STM2200	RSc1758
STM2200	RSc1757
STM2321	RSc2054
STM2442	RSc1346
STM1232	RSc2720
STM2322	RSc2055
STM2443	RSc1345
STM2444	RSc1336
STM2565	RSc1722
STM3655	RSc0524
STM2324	RSc2057
STM1235	RSc2724
STM1489	RSc1479
STM3305	RSc2823
STM2578	RSc1066
STM2458	RSc3127
STM3307	RSc2953
STM0154	RSc1603
STM0153	RSc1601
STM0152	RSc1600
STM1480	RSp0954
STM1480	RSp0951
STM1480	RSc2733
STM3660	RSc2128
STM2450	RSc2539
STM2451	RSc2192
STM3542	RSc0441
STM1124	RSc3301
STM1004	RSc1031
STM0158	RSp0332
STM0245	RSc0922
STM0245	RSc3386
STM1577	RSp0974
STM0124	RSc2848
STM2546	RSc1160
STM2788	RSc0793
STM0123	RSc2849
STM1578	RSp0975
STM0122	RSc2850
STM1337	RSc1581
STM1338	RSc1582
STM0242	RSc2816
STM2427	RSc1398
STM0483	RSc0417
STM3871	RSc3323
STM3870	RSc3322
STM0129	RSc2843
STM0007	RSc1231
STM0128	RSc2844
STM2662	RSc1628
STM2783	RSp0628
STM0369	RSp0121
STM1211	RSc2229
STM0368	RSp0122
STM0368	RSc2000
STM3512	RSp1189
STM0247	RSc0920
STM2543	RSc1019
STM1333	RSc1577
STM0489	RSc2643
STM0246	RSc0921
STM0488	RSc2533
STM0125	RSc2847
STM1576	RSp0973
STM3646	RSc1034
STM3646	RSp0945
STM0498	RSc3348
STM1104	RSc2419
STM1347	RSc0743
STM1347	RSc2660
STM1226	RSc1734
STM0134	RSc2837
STM0255	RSc1154
STM1106	RSp1613
STM1106	RSc1591
STM1469	RSp1279
STM1349	RSc1421
STM1107	RSp1572
STM3526	RSc3045
STM2318	RSc2051
STM0372	RSc2989
STM3407	RSc0072
STM0130	RSc2842
STM0371	RSc1518
STM0370	RSc2002
STM3880	RSp1052
STM3880	RSc1621
STM1580	RSp0977
STM2791	RSc0028
STM2791	RSp1611
STM2670	RSc0743
STM2670	RSc2660
STM3882	RSc2757
STM3882	RSp1634
STM3882	RSc1242
STM2792	RSc0029
STM1340	RSc2399
STM2430	RSc0917
STM1341	RSc2674
STM2431	RSc2861
STM2431	RSp1282
STM1221	RSc1230
STM3883	RSc1243
STM2433	RSc2861
STM2433	RSp1282
STM0137	RSc2817
STM1102	RSp0890
STM2555	RSc0729
STM3401	RSc2777
STM3885	RSc1013
STM0067	RSc1521
STM0066	RSc1519
STM2009	RSp0214
STM0064	RSc2745
STM0183	RSc2628
STM0182	RSc2630
STM0181	RSc2387
STM0180	RSc2731
STM3330	RSc2965
STM3692	RSc0981
STM2362	RSc1976
STM2483	RSc1390
STM4421	RSc2536
STM4421	RSp1055
STM4420	RSc1237
STM2365	RSc1979
STM3334	RSc1594
STM2366	RSc1980
STM3699	RSc1162
STM3699	RSp1439
STM3457	RSc3096
STM4425	RSc1246
STM2489	RSc1145
STM3469	RSc2882
STM3106	RSc1306
STM2018	RSc2391
STM2019	RSc2390
STM1163	RSc0487
STM3103	RSc2160
STM2498	RSc2188
STM3468	RSc2435
STM2378	RSp0357
STM3316	RSc0412
STM0047	RSc2459
STM3315	RSc0413
STM0046	RSc2458
STM3557	RSc1264
STM0045	RSc2457
STM4408	RSc0764
STM1490	RSp0020
STM3551	RSp0274
STM3554	RSc2140
STM3554	RSc1267
STM3796	RSc2077
STM3553	RSc1268
STM0049	RSc2442
STM3556	RSc1265
STM4403	RSc3363
STM1135	RSc0262
STM3555	RSc1266
STM4416	RSc2782
STM4415	RSc2126
STM3205	RSc0701
STM0171	RSc0277
STM3680	RSc3128
STM3680	RSc2110
STM3561	RSc2438
STM2351	RSp0932
STM2351	RSc2260
STM2351	RSc3408
STM2351	RSc0484
STM2351	RSc2106
STM2472	RSc2767
STM2472	RSc2123
STM3560	RSc2437
STM3560	RSp0017
STM2473	RSc1231
STM3563	RSc2440
STM3200	RSc0914
STM2474	RSc2750
STM3562	RSc2439
STM4414	RSc2349
STM2356	RSc2905
STM1193	RSc1050
STM3493	RSc2776
STM2162	RSc2516
STM1194	RSc1051
STM3250	RSp0830
STM4221	RSc1719
STM4221	RSc2137
STM1195	RSc1052
STM2164	RSc2516
STM1196	RSc1053
STM3134	RSc1080
STM3134	RSp0834
STM3255	RSc2863
STM1197	RSc1054
STM1076	RSc2185
STM3257	RSc2145
STM2289	RSp1613
STM2289	RSc1591
STM2168	RSc1609
STM4106	RSc0775
STM3379	RSc2786
STM4105	RSc0091
STM3380	RSc2787
STM2050	RSc2663
STM4230	RSc2140
STM4230	RSc1267
STM4234	RSc2686
STM2297	RSc1322
STM4475	RSc2236
STM2298	RSc1321
STM4236	RSc2085
STM2299	RSc1319
STM4477	RSc2415
STM2028	RSp0619
STM2029	RSp0620
STM0088	RSc0681
STM0087	RSc0946
STM0086	RSc3096
STM1290	RSc2749
STM1291	RSc1747
STM1293	RSc1760
STM2384	RSc1566
STM3475	RSp1221
STM3474	RSp1222
STM3477	RSc2420
STM3598	RSc1306
STM2146	RSc0100
STM1057	RSc2125
STM1058	RSc1619
STM3009	RSc1370
STM0091	RSc0517
STM3240	RSc3296
STM3240	RSp0045
STM3240	RSc1100
STM3483	RSc2879
STM3486	RSc2969
STM3244	RSp1516
STM3002	RSc2410
STM3001	RSc0947
STM2276	RSc0898
STM2155	RSc2381
STM3487	RSc2970
STM3248	RSc3283
STM4578	RSc1640
STM3295	RSc1527
STM3053	RSc3295
STM3294	RSc1528
STM3055	RSc3293
STM3054	RSc3294
STM3179	RSc2329
STM2093	RSp0608
STM2094	RSc0685
STM2095	RSc0684
STM2096	RSc0683
STM3063	RSc1232
STM2097	RSc0682
STM3066	RSc0385
STM2098	RSp0006
STM2098	RSc2237
STM4275	RSc1952
STM3069	RSc0571
STM3390	RSc0011
STM3390	RSp0819
STM3391	RSp0312
STM3391	RSc0010
STM3391	RSp0818
STM2062	RSc0327
STM4483	RSp0947
STM4482	RSp1189
STM4485	RSc0441
STM4484	RSp0948
STM4366	RSc1226
STM4123	RSc2363
STM2189	RSc2757
STM2189	RSp1634
STM2189	RSc1242
STM4247	RSc1371
STM4004	RSc3284
STM4007	RSp0886
STM4007	RSc1258
STM4248	RSc1010
STM3040	RSc1028
STM2072	RSc2952
STM2194	RSc0604
STM4131	RSc1956
STM2074	RSc2950
STM2196	RSc3296
STM2196	RSp0045
STM2196	RSc1100
STM3165	RSc1500
STM2077	RSc2946
STM2078	RSc2945
STM4137	RSc2550
