STM0704	RSCFB2957_03155
STM0662	RSCFB2957_00444
STM0662	RSCFB2957_02156
STM0420	RSCFB2957_02568
STM0787	RSCFB2957_02459
STM0661	RSCFB2957_04647
STM1756	RSCFB2957_01838
STM0788	RSCFB2957_02460
STM3938	RSCFB2957_02205
STM1517	RSCFB2957_03025
STM0309	RSCFB2957_00502
STM0428	RSCFB2957_01559
STM2960	RSCFB2957_01008
STM0782	RSCFB2957_04428
STM0665	RSCFB2957_00441
STM0665	RSCFB2957_02157
STM2840	RSCFB2957_00666
STM0423	RSCFB2957_02123
STM2961	RSCFB2957_01008
STM1752	RSCFB2957_03231
STM1752	RSCFB2957_02138
STM0422	RSCFB2957_02122
STM2962	RSCFB2957_04081
STM0664	RSCFB2957_00442
STM1885	RSCFB2957_04841
STM1764	RSCFB2957_04772
STM1886	RSCFB2957_04840
STM3700	RSCFB2957_00313
STM0797	RSCFB2957_01455
STM1765	RSCFB2957_04773
STM3702	RSCFB2957_00311
STM1888	RSCFB2957_00538
STM1525	RSCFB2957_04427
STM3947	RSCFB2957_00133
STM1647	RSCFB2957_02946
STM3827	RSCFB2957_04081
STM3709	RSCFB2957_04144
STM0791	RSCFB2957_02461
STM2971	RSCFB2957_03063
STM1761	RSCFB2957_04769
STM0794	RSCFB2957_00220
STM0795	RSCFB2957_01454
STM1763	RSCFB2957_04771
STM1884	RSCFB2957_04464
STM0640	RSCFB2957_00067
STM3915	RSCFB2957_01162
STM2827	RSCFB2957_00790
STM0648	RSCFB2957_02554
STM0760	RSCFB2957_00741
STM0760	RSCFB2957_02475
STM0402	RSCFB2957_01649
STM0761	RSCFB2957_01868
STM0762	RSCFB2957_01868
STM1742	RSCFB2957_01850
STM1742	RSCFB2957_02663
STM2952	RSCFB2957_01096
STM2831	RSCFB2957_00848
STM3921	RSCFB2957_04262
STM1743	RSCFB2957_01849
STM1743	RSCFB2957_02664
STM3920	RSCFB2957_03695
STM3920	RSCFB2957_04263
STM2953	RSCFB2957_01093
STM0776	RSCFB2957_04396
STM3922	RSCFB2957_00681
STM2956	RSCFB2957_01734
STM3925	RSCFB2957_04252
STM1627	RSCFB2957_00574
STM0419	RSCFB2957_02567
STM0417	RSCFB2957_00713
STM0659	RSCFB2957_03706
STM0416	RSCFB2957_00716
STM0537	RSCFB2957_01134
STM0535	RSCFB2957_01130
STM0534	RSCFB2957_00541
STM0772	RSCFB2957_00309
STM3855	RSCFB2957_01792
STM3854	RSCFB2957_01791
STM3733	RSCFB2957_00135
STM2403	RSCFB2957_04838
STM1435	RSCFB2957_00482
STM0221	RSCFB2957_01377
STM0463	RSCFB2957_00299
STM3857	RSCFB2957_01794
STM3978	RSCFB2957_00709
STM3614	RSCFB2957_00286
STM2526	RSCFB2957_01186
STM0220	RSCFB2957_01379
STM3856	RSCFB2957_01793
STM1318	RSCFB2957_04861
STM2408	RSCFB2957_03705
STM3970	RSCFB2957_00418
STM0229	RSCFB2957_01386
STM0228	RSCFB2957_01385
STM0227	RSCFB2957_01384
STM3730	RSCFB2957_02314
STM3972	RSCFB2957_00421
STM0106	RSCFB2957_04429
STM1431	RSCFB2957_02393
STM0226	RSCFB2957_01383
STM2641	RSCFB2957_02300
STM0588	RSCFB2957_04146
STM3731	RSCFB2957_02342
STM3731	RSCFB2957_02316
STM3731	RSCFB2957_02343
STM1433	RSCFB2957_02705
STM1796	RSCFB2957_03484
STM2522	RSCFB2957_01191
STM3866	RSCFB2957_03092
STM0113	RSCFB2957_01980
STM0112	RSCFB2957_01899
STM3865	RSCFB2957_03091
STM1446	RSCFB2957_00456
STM1567	RSCFB2957_02945
STM0596	RSCFB2957_04285
STM3626	RSCFB2957_01850
STM3626	RSCFB2957_02663
STM0353	RSCFB2957_03123
STM0111	RSCFB2957_01901
STM0232	RSCFB2957_01136
STM2415	RSCFB2957_01147
STM0110	RSCFB2957_01900
STM3867	RSCFB2957_03093
STM1448	RSCFB2957_00765
STM3628	RSCFB2957_01352
STM0472	RSCFB2957_04258
STM3627	RSCFB2957_01849
STM3627	RSCFB2957_02664
STM3869	RSCFB2957_03095
STM1209	RSCFB2957_00993
STM3862	RSCFB2957_00171
STM3982	RSCFB2957_02148
STM3861	RSCFB2957_00172
STM3740	RSCFB2957_02038
STM1200	RSCFB2957_01517
STM3864	RSCFB2957_04060
STM3864	RSCFB2957_03090
STM2774	RSCFB2957_00438
STM2654	RSCFB2957_03232
STM2654	RSCFB2957_03277
STM3742	RSCFB2957_02036
STM0443	RSCFB2957_02718
STM0322	RSCFB2957_02551
STM3712	RSCFB2957_00691
STM0442	RSCFB2957_02717
STM0321	RSCFB2957_02615
STM2502	RSCFB2957_01786
STM3711	RSCFB2957_00531
STM0441	RSCFB2957_02716
STM1777	RSCFB2957_02701
STM0440	RSCFB2957_02715
STM1779	RSCFB2957_00352
STM0568	RSCFB2957_04237
STM0689	RSCFB2957_02871
STM0689	RSCFB2957_02872
STM1772	RSCFB2957_01094
STM3952	RSCFB2957_02572
STM3710	RSCFB2957_00845
STM0202	RSCFB2957_00665
STM2500	RSCFB2957_02307
STM0444	RSCFB2957_00147
STM0686	RSCFB2957_00785
STM3965	RSCFB2957_03945
STM1303	RSCFB2957_02288
STM3725	RSCFB2957_00345
STM3724	RSCFB2957_00692
STM3603	RSCFB2957_03484
STM0218	RSCFB2957_01375
STM1780	RSCFB2957_00350
STM2991	RSCFB2957_02405
STM2992	RSCFB2957_01229
STM2510	RSCFB2957_01400
STM2511	RSCFB2957_01398
STM0213	RSCFB2957_01361
STM1301	RSCFB2957_02628
STM2204	RSCFB2957_02660
STM0146	RSCFB2957_02602
STM1479	RSCFB2957_02540
STM1479	RSCFB2957_04177
STM0145	RSCFB2957_02301
STM3656	RSCFB2957_00488
STM3535	RSCFB2957_03439
STM3538	RSCFB2957_03435
STM2327	RSCFB2957_01969
STM1238	RSCFB2957_02352
STM3537	RSCFB2957_03434
STM3539	RSCFB2957_01897
STM0140	RSCFB2957_02625
STM0261	RSCFB2957_01808
STM2440	RSCFB2957_00847
STM2441	RSCFB2957_01322
STM2200	RSCFB2957_01539
STM2200	RSCFB2957_01540
STM2321	RSCFB2957_01962
STM2442	RSCFB2957_01321
STM1232	RSCFB2957_02530
STM2322	RSCFB2957_01963
STM2443	RSCFB2957_01320
STM2444	RSCFB2957_01315
STM2565	RSCFB2957_01622
STM3655	RSCFB2957_00486
STM2324	RSCFB2957_01965
STM1235	RSCFB2957_02534
STM1489	RSCFB2957_01455
STM3305	RSCFB2957_02619
STM2578	RSCFB2957_00991
STM2458	RSCFB2957_02942
STM3307	RSCFB2957_02761
STM0154	RSCFB2957_01697
STM0153	RSCFB2957_01699
STM0152	RSCFB2957_01700
STM0150	RSCFB2957_04237
STM1480	RSCFB2957_04175
STM1480	RSCFB2957_02543
STM2450	RSCFB2957_02405
STM2451	RSCFB2957_02091
STM3542	RSCFB2957_00401
STM1002	RSCFB2957_02515
STM1124	RSCFB2957_03075
STM1004	RSCFB2957_00956
STM0245	RSCFB2957_00852
STM0245	RSCFB2957_03157
STM1577	RSCFB2957_04772
STM0124	RSCFB2957_02645
STM2546	RSCFB2957_01127
STM2788	RSCFB2957_00786
STM0123	RSCFB2957_02646
STM1578	RSCFB2957_04771
STM0122	RSCFB2957_02647
STM1337	RSCFB2957_01728
STM1338	RSCFB2957_01727
STM0242	RSCFB2957_02612
STM2427	RSCFB2957_01367
STM0483	RSCFB2957_00373
STM3871	RSCFB2957_03097
STM3870	RSCFB2957_03096
STM0129	RSCFB2957_02640
STM0007	RSCFB2957_01207
STM0128	RSCFB2957_02641
STM2662	RSCFB2957_01669
STM2783	RSCFB2957_03909
STM0369	RSCFB2957_01912
STM0369	RSCFB2957_03312
STM1211	RSCFB2957_02130
STM0368	RSCFB2957_01911
STM0368	RSCFB2957_03313
STM3512	RSCFB2957_04463
STM0247	RSCFB2957_00850
STM2543	RSCFB2957_00945
STM1333	RSCFB2957_01732
STM0489	RSCFB2957_02458
STM0246	RSCFB2957_00851
STM0488	RSCFB2957_02401
STM0125	RSCFB2957_02644
STM1576	RSCFB2957_04773
STM3646	RSCFB2957_00959
STM3646	RSCFB2957_04181
STM0498	RSCFB2957_03123
STM1104	RSCFB2957_02271
STM1347	RSCFB2957_00741
STM1347	RSCFB2957_02475
STM1226	RSCFB2957_01559
STM0134	RSCFB2957_02634
STM0255	RSCFB2957_01121
STM1106	RSCFB2957_01708
STM1106	RSCFB2957_04884
STM1469	RSCFB2957_04562
STM1349	RSCFB2957_01390
STM1107	RSCFB2957_04852
STM3526	RSCFB2957_02859
STM2318	RSCFB2957_01959
STM0372	RSCFB2957_02797
STM3407	RSCFB2957_00077
STM0130	RSCFB2957_02639
STM0371	RSCFB2957_01806
STM0370	RSCFB2957_01914
STM3880	RSCFB2957_01677
STM3880	RSCFB2957_04336
STM1580	RSCFB2957_04769
STM2791	RSCFB2957_04882
STM2791	RSCFB2957_00708
STM2791	RSCFB2957_04292
STM2791	RSCFB2957_00033
STM2670	RSCFB2957_00741
STM2670	RSCFB2957_02475
STM3882	RSCFB2957_04905
STM3882	RSCFB2957_01221
STM2792	RSCFB2957_00034
STM1340	RSCFB2957_02256
STM2430	RSCFB2957_00847
STM1341	RSCFB2957_02488
STM2431	RSCFB2957_04350
STM2431	RSCFB2957_02658
STM1584	RSCFB2957_04237
STM1221	RSCFB2957_01206
STM3763	RSCFB2957_04199
STM3883	RSCFB2957_01222
STM2433	RSCFB2957_04350
STM2433	RSCFB2957_02658
STM0137	RSCFB2957_02613
STM2555	RSCFB2957_00729
STM3401	RSCFB2957_02575
STM3885	RSCFB2957_00939
STM0067	RSCFB2957_01803
STM0066	RSCFB2957_01805
STM2009	RSCFB2957_03402
STM0064	RSCFB2957_02555
STM0183	RSCFB2957_02444
STM0182	RSCFB2957_02446
STM0181	RSCFB2957_02245
STM0180	RSCFB2957_02541
STM3330	RSCFB2957_02773
STM3692	RSCFB2957_00908
STM2362	RSCFB2957_01886
STM2483	RSCFB2957_01358
STM4421	RSCFB2957_04339
STM4420	RSCFB2957_01226
STM2365	RSCFB2957_01889
STM3334	RSCFB2957_01705
STM2366	RSCFB2957_01890
STM3699	RSCFB2957_01129
STM3457	RSCFB2957_02910
STM2489	RSCFB2957_01112
STM3469	RSCFB2957_02682
STM3106	RSCFB2957_01284
STM2018	RSCFB2957_02248
STM2019	RSCFB2957_02247
STM1163	RSCFB2957_00448
STM3103	RSCFB2957_02043
STM2498	RSCFB2957_02087
STM3468	RSCFB2957_02288
STM2378	RSCFB2957_03565
STM3316	RSCFB2957_00368
STM0047	RSCFB2957_02312
STM3315	RSCFB2957_00369
STM0046	RSCFB2957_02311
STM3557	RSCFB2957_01243
STM0045	RSCFB2957_02310
STM4408	RSCFB2957_00762
STM0163	RSCFB2957_04517
STM1490	RSCFB2957_03245
STM3551	RSCFB2957_03478
STM3554	RSCFB2957_01246
STM3796	RSCFB2957_01985
STM3553	RSCFB2957_01247
STM0049	RSCFB2957_02295
STM3556	RSCFB2957_01244
STM4403	RSCFB2957_03137
STM1135	RSCFB2957_00216
STM3555	RSCFB2957_01245
STM4416	RSCFB2957_02580
STM4415	RSCFB2957_02028
STM3205	RSCFB2957_00700
STM0171	RSCFB2957_00231
STM3680	RSCFB2957_02507
STM3680	RSCFB2957_02943
STM3561	RSCFB2957_02291
STM2351	RSCFB2957_03185
STM2351	RSCFB2957_04194
STM2351	RSCFB2957_00444
STM2351	RSCFB2957_02156
STM2472	RSCFB2957_02566
STM2472	RSCFB2957_02025
STM3560	RSCFB2957_03242
STM3560	RSCFB2957_02290
STM2473	RSCFB2957_01207
STM3563	RSCFB2957_02293
STM3200	RSCFB2957_00844
STM2474	RSCFB2957_02560
STM3562	RSCFB2957_02292
STM4414	RSCFB2957_02197
STM2356	RSCFB2957_02706
STM1193	RSCFB2957_00975
STM3493	RSCFB2957_02574
STM2162	RSCFB2957_02381
STM1194	RSCFB2957_00976
STM3250	RSCFB2957_04083
STM4221	RSCFB2957_01625
STM1195	RSCFB2957_00977
STM2164	RSCFB2957_02381
STM1196	RSCFB2957_00978
STM3134	RSCFB2957_04087
STM3255	RSCFB2957_02660
STM1197	RSCFB2957_00979
STM1076	RSCFB2957_02084
STM2289	RSCFB2957_01708
STM2289	RSCFB2957_04884
STM2168	RSCFB2957_01690
STM4106	RSCFB2957_00770
STM4348	RSCFB2957_03466
STM3379	RSCFB2957_02584
STM4105	RSCFB2957_00098
STM3380	RSCFB2957_02585
STM2050	RSCFB2957_02478
STM4230	RSCFB2957_01246
STM4234	RSCFB2957_02500
STM2297	RSCFB2957_01300
STM4475	RSCFB2957_02137
STM2298	RSCFB2957_01299
STM4236	RSCFB2957_01993
STM2299	RSCFB2957_01297
STM4477	RSCFB2957_02267
STM2028	RSCFB2957_03899
STM2029	RSCFB2957_03900
STM0088	RSCFB2957_00680
STM0087	RSCFB2957_00887
STM0086	RSCFB2957_02910
STM1290	RSCFB2957_02559
STM1291	RSCFB2957_01549
STM1293	RSCFB2957_01537
STM2384	RSCFB2957_01743
STM3475	RSCFB2957_04494
STM3474	RSCFB2957_04495
STM3477	RSCFB2957_02272
STM3598	RSCFB2957_01284
STM2146	RSCFB2957_00104
STM1057	RSCFB2957_02027
STM1058	RSCFB2957_01679
STM3009	RSCFB2957_01341
STM0091	RSCFB2957_00479
STM3240	RSCFB2957_03063
STM3483	RSCFB2957_02679
STM3486	RSCFB2957_02777
STM3244	RSCFB2957_04795
STM3002	RSCFB2957_02262
STM3001	RSCFB2957_00888
STM2276	RSCFB2957_00828
STM2155	RSCFB2957_02239
STM4456	RSCFB2957_04199
STM3487	RSCFB2957_02778
STM3248	RSCFB2957_03047
STM4578	RSCFB2957_01655
STM3295	RSCFB2957_01796
STM3053	RSCFB2957_03062
STM3294	RSCFB2957_01795
STM3055	RSCFB2957_03060
STM3054	RSCFB2957_03061
STM2093	RSCFB2957_03880
STM2094	RSCFB2957_00684
STM2095	RSCFB2957_00683
STM2096	RSCFB2957_00682
STM3063	RSCFB2957_01208
STM2097	RSCFB2957_00681
STM3066	RSCFB2957_04411
STM2098	RSCFB2957_03231
STM2098	RSCFB2957_02138
STM4275	RSCFB2957_01866
STM4398	RSCFB2957_04237
STM3069	RSCFB2957_00537
STM3390	RSCFB2957_04069
STM3390	RSCFB2957_00015
STM3391	RSCFB2957_04068
STM3391	RSCFB2957_03519
STM3391	RSCFB2957_00014
STM2062	RSCFB2957_00283
STM4483	RSCFB2957_04179
STM4482	RSCFB2957_04463
STM4485	RSCFB2957_00401
STM4484	RSCFB2957_04178
STM4366	RSCFB2957_01201
STM4123	RSCFB2957_02212
STM2189	RSCFB2957_04905
STM2189	RSCFB2957_01221
STM4247	RSCFB2957_01342
STM4004	RSCFB2957_03050
STM4007	RSCFB2957_04142
STM4007	RSCFB2957_01237
STM4248	RSCFB2957_00936
STM3040	RSCFB2957_00953
STM3161	RSCFB2957_03893
STM2072	RSCFB2957_02759
STM2194	RSCFB2957_00573
STM4131	RSCFB2957_01869
STM2074	RSCFB2957_02757
STM2196	RSCFB2957_03063
STM2077	RSCFB2957_02753
STM2078	RSCFB2957_02752
STM4137	RSCFB2957_02415
